"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"
"128"	"114"	"136"	"15"	"1"	"29"	"1"	"3"	"2"	"1"	"0"	"1"	"136"	"1"	"2"	"2"	"3"	"5"	"3"	"1"	"0"	"0"	"342"	"0"	"3"	"345"	"0"
"129"	"115"	"127"	"64"	"2"	"141"	"3"	"3"	"0"	"2"	"0"	"1"	"52"	"11"	"6"	"0"	"3"	"3"	"3"	"1"	"0"	"0"	"422"	"0"	"2"	"424"	"0"
"130"	"116"	"82"	"34"	"5"	"432"	"8"	"3"	"2"	"1"	"3"	"1"	"3"	"0"	"2"	"2"	"1"	"11"	"7"	"4"	"3"	"9"	"613"	"0"	"2"	"615"	"0"
"131"	"117"	"171"	"36"	"0"	"124"	"2"	"1"	"0"	"0"	"2"	"0"	"12"	"2"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"353"	"0"	"0"	"353"	"0"
"132"	"118"	"21"	"3"	"1"	"199"	"4"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"1"	"1"	"2"	"4"	"1"	"0"	"3"	"243"	"0"	"2"	"245"	"0"
"133"	"119"	"168"	"20"	"32"	"260"	"5"	"2"	"0"	"1"	"7"	"1"	"20"	"13"	"4"	"2"	"2"	"21"	"4"	"0"	"0"	"1"	"563"	"0"	"5"	"568"	"0"
"134"	"120"	"287"	"39"	"6"	"227"	"4"	"1"	"0"	"0"	"12"	"5"	"3"	"8"	"6"	"2"	"5"	"9"	"6"	"2"	"1"	"2"	"625"	"0"	"1"	"626"	"0"
"135"	"121"	"221"	"31"	"7"	"294"	"3"	"12"	"2"	"3"	"5"	"9"	"55"	"10"	"12"	"4"	"10"	"28"	"7"	"0"	"0"	"1"	"714"	"0"	"11"	"725"	"0"
"136"	"122"	"69"	"80"	"7"	"239"	"5"	"2"	"1"	"0"	"4"	"1"	"19"	"2"	"4"	"0"	"2"	"6"	"1"	"1"	"0"	"2"	"445"	"0"	"5"	"450"	"0"
"137"	"123"	"103"	"29"	"2"	"240"	"4"	"1"	"1"	"0"	"4"	"0"	"2"	"3"	"5"	"2"	"2"	"3"	"4"	"1"	"0"	"2"	"408"	"0"	"0"	"408"	"0"
"138"	"124"	"349"	"49"	"28"	"160"	"1"	"2"	"1"	"3"	"3"	"1"	"2"	"3"	"2"	"2"	"5"	"7"	"5"	"0"	"0"	"0"	"623"	"0"	"2"	"625"	"0"
"139"	"125"	"296"	"13"	"7"	"197"	"3"	"1"	"0"	"3"	"5"	"3"	"13"	"9"	"7"	"2"	"3"	"28"	"5"	"3"	"2"	"0"	"600"	"0"	"3"	"603"	"0"
"140"	"126"	"181"	"41"	"47"	"289"	"2"	"7"	"3"	"1"	"7"	"5"	"3"	"12"	"7"	"6"	"10"	"19"	"1"	"1"	"1"	"0"	"643"	"0"	"1"	"644"	"0"
"141"	"127"	"426"	"14"	"2"	"71"	"1"	"0"	"1"	"0"	"3"	"1"	"2"	"1"	"2"	"1"	"1"	"6"	"1"	"0"	"0"	"0"	"533"	"0"	"0"	"533"	"0"
"142"	"128"	"178"	"182"	"3"	"301"	"6"	"3"	"3"	"1"	"5"	"3"	"20"	"11"	"10"	"3"	"6"	"26"	"7"	"17"	"3"	"9"	"797"	"0"	"7"	"804"	"0"
"143"	"129"	"161"	"110"	"34"	"188"	"3"	"3"	"0"	"3"	"0"	"1"	"46"	"6"	"3"	"1"	"2"	"6"	"8"	"3"	"3"	"3"	"584"	"0"	"3"	"587"	"0"
"144"	"130"	"187"	"139"	"10"	"238"	"4"	"5"	"2"	"14"	"4"	"1"	"8"	"1"	"9"	"3"	"6"	"14"	"7"	"2"	"4"	"4"	"662"	"0"	"2"	"664"	"0"
"145"	"131"	"146"	"91"	"2"	"93"	"2"	"3"	"3"	"2"	"3"	"0"	"29"	"6"	"1"	"1"	"1"	"4"	"3"	"3"	"2"	"1"	"396"	"0"	"2"	"398"	"0"
"146"	"132"	"120"	"99"	"2"	"384"	"7"	"6"	"0"	"2"	"0"	"2"	"19"	"5"	"2"	"0"	"1"	"1"	"3"	"1"	"0"	"2"	"656"	"0"	"4"	"660"	"0"
"147"	"133"	"178"	"77"	"12"	"340"	"6"	"11"	"2"	"3"	"5"	"2"	"25"	"21"	"8"	"7"	"10"	"27"	"3"	"2"	"0"	"3"	"742"	"0"	"4"	"746"	"0"
"148"	"134"	"142"	"27"	"27"	"290"	"6"	"3"	"3"	"1"	"4"	"6"	"13"	"8"	"14"	"7"	"3"	"21"	"1"	"0"	"1"	"2"	"579"	"0"	"4"	"583"	"0"
"149"	"135"	"235"	"64"	"3"	"265"	"4"	"3"	"0"	"1"	"0"	"0"	"7"	"4"	"1"	"0"	"0"	"11"	"1"	"0"	"1"	"4"	"604"	"0"	"2"	"606"	"0"
"150"	"136"	"104"	"59"	"5"	"199"	"3"	"2"	"0"	"1"	"3"	"1"	"4"	"0"	"1"	"0"	"2"	"5"	"8"	"4"	"2"	"5"	"408"	"0"	"4"	"412"	"0"
"151"	"137"	"191"	"79"	"6"	"308"	"5"	"4"	"3"	"1"	"2"	"2"	"34"	"7"	"4"	"5"	"10"	"16"	"2"	"0"	"2"	"1"	"682"	"0"	"0"	"682"	"0"
"152"	"138"	"182"	"74"	"2"	"232"	"8"	"1"	"2"	"0"	"3"	"2"	"10"	"8"	"7"	"2"	"12"	"25"	"9"	"3"	"2"	"7"	"591"	"0"	"3"	"594"	"0"
"153"	"139"	"173"	"36"	"3"	"233"	"4"	"2"	"0"	"2"	"2"	"2"	"7"	"1"	"1"	"0"	"1"	"9"	"3"	"0"	"0"	"0"	"479"	"0"	"3"	"482"	"0"
"154"	"140"	"76"	"44"	"3"	"503"	"2"	"0"	"1"	"1"	"1"	"0"	"10"	"5"	"3"	"1"	"1"	"2"	"6"	"3"	"4"	"8"	"674"	"0"	"4"	"678"	"0"
"155"	"141"	"53"	"71"	"8"	"229"	"2"	"3"	"3"	"5"	"2"	"4"	"182"	"4"	"5"	"4"	"4"	"13"	"0"	"1"	"0"	"4"	"597"	"0"	"4"	"601"	"0"
"156"	"142"	"393"	"13"	"2"	"47"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"2"	"0"	"2"	"10"	"5"	"1"	"0"	"2"	"483"	"0"	"1"	"484"	"0"
"157"	"143"	"270"	"13"	"0"	"137"	"1"	"1"	"2"	"0"	"1"	"0"	"5"	"0"	"0"	"0"	"1"	"1"	"5"	"0"	"1"	"2"	"440"	"0"	"1"	"441"	"0"
"158"	"144"	"128"	"119"	"65"	"318"	"1"	"1"	"1"	"2"	"26"	"0"	"3"	"3"	"1"	"3"	"6"	"14"	"2"	"0"	"0"	"2"	"695"	"0"	"1"	"696"	"0"
"159"	"145"	"130"	"45"	"3"	"706"	"5"	"1"	"0"	"0"	"3"	"1"	"0"	"1"	"2"	"0"	"4"	"5"	"4"	"3"	"1"	"4"	"918"	"0"	"1"	"919"	"0"
"160"	"146"	"163"	"46"	"62"	"284"	"4"	"3"	"1"	"2"	"18"	"2"	"1"	"4"	"3"	"4"	"3"	"10"	"2"	"3"	"4"	"2"	"621"	"0"	"1"	"622"	"0"
"161"	"147"	"284"	"199"	"7"	"124"	"4"	"6"	"5"	"0"	"5"	"4"	"135"	"7"	"6"	"5"	"7"	"12"	"1"	"0"	"0"	"1"	"812"	"0"	"1"	"813"	"0"
"162"	"148"	"177"	"68"	"69"	"36"	"1"	"2"	"0"	"1"	"1"	"1"	"57"	"1"	"2"	"1"	"3"	"6"	"4"	"1"	"1"	"1"	"433"	"0"	"1"	"434"	"0"
"163"	"149"	"255"	"28"	"4"	"206"	"1"	"6"	"1"	"0"	"0"	"0"	"55"	"1"	"3"	"0"	"4"	"3"	"3"	"1"	"0"	"3"	"574"	"0"	"0"	"574"	"0"
"164"	"150"	"45"	"63"	"25"	"223"	"2"	"4"	"0"	"4"	"16"	"1"	"12"	"7"	"4"	"2"	"1"	"5"	"5"	"1"	"1"	"1"	"422"	"0"	"5"	"427"	"0"
"165"	"151"	"180"	"16"	"15"	"6"	"1"	"4"	"0"	"0"	"1"	"2"	"81"	"3"	"2"	"1"	"0"	"4"	"4"	"0"	"0"	"0"	"320"	"0"	"2"	"322"	"0"
"166"	"152"	"76"	"8"	"1"	"183"	"2"	"1"	"1"	"0"	"1"	"1"	"2"	"1"	"2"	"1"	"0"	"4"	"2"	"0"	"0"	"2"	"288"	"0"	"2"	"290"	"0"
"167"	"153"	"174"	"22"	"58"	"328"	"7"	"4"	"3"	"2"	"5"	"1"	"16"	"5"	"5"	"28"	"2"	"9"	"3"	"1"	"2"	"4"	"679"	"0"	"6"	"685"	"0"
"168"	"154"	"106"	"14"	"1"	"351"	"6"	"0"	"1"	"0"	"2"	"0"	"2"	"3"	"6"	"3"	"3"	"3"	"4"	"0"	"0"	"0"	"505"	"0"	"1"	"506"	"0"
"169"	"155"	"78"	"117"	"6"	"190"	"2"	"5"	"3"	"1"	"3"	"0"	"58"	"8"	"7"	"8"	"5"	"15"	"1"	"2"	"1"	"1"	"511"	"0"	"1"	"512"	"0"
"170"	"156"	"192"	"46"	"13"	"204"	"1"	"2"	"2"	"0"	"2"	"0"	"35"	"3"	"1"	"5"	"3"	"10"	"4"	"2"	"1"	"2"	"528"	"0"	"0"	"528"	"0"
"171"	"157"	"93"	"107"	"17"	"246"	"4"	"4"	"1"	"7"	"4"	"6"	"74"	"4"	"1"	"4"	"4"	"5"	"3"	"1"	"0"	"0"	"585"	"0"	"0"	"585"	"0"
"172"	"158"	"95"	"59"	"5"	"257"	"2"	"2"	"0"	"3"	"3"	"0"	"29"	"6"	"3"	"19"	"1"	"10"	"0"	"1"	"0"	"1"	"496"	"0"	"1"	"497"	"0"
"173"	"159"	"290"	"210"	"21"	"140"	"5"	"3"	"0"	"0"	"4"	"0"	"2"	"4"	"0"	"1"	"1"	"4"	"0"	"0"	"0"	"0"	"685"	"0"	"0"	"685"	"0"
"174"	"160"	"377"	"132"	"10"	"292"	"5"	"3"	"0"	"0"	"6"	"2"	"10"	"6"	"5"	"3"	"4"	"16"	"1"	"1"	"0"	"1"	"874"	"0"	"3"	"877"	"0"
"175"	"161"	"72"	"95"	"2"	"91"	"1"	"3"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"5"	"1"	"2"	"0"	"0"	"279"	"0"	"2"	"281"	"0"
"176"	"162"	"75"	"48"	"0"	"532"	"2"	"10"	"1"	"0"	"0"	"1"	"1"	"3"	"1"	"1"	"2"	"0"	"0"	"1"	"0"	"0"	"678"	"0"	"1"	"679"	"0"
"177"	"163"	"641"	"48"	"0"	"14"	"1"	"5"	"2"	"1"	"1"	"0"	"1"	"3"	"1"	"3"	"3"	"27"	"15"	"3"	"0"	"1"	"770"	"0"	"2"	"772"	"0"
"178"	"164"	"210"	"97"	"106"	"293"	"6"	"7"	"1"	"6"	"2"	"0"	"4"	"7"	"3"	"4"	"1"	"9"	"2"	"1"	"2"	"1"	"762"	"0"	"2"	"764"	"0"
"179"	"165"	"30"	"29"	"12"	"149"	"9"	"7"	"2"	"6"	"3"	"4"	"216"	"9"	"2"	"3"	"3"	"3"	"8"	"1"	"1"	"6"	"503"	"0"	"3"	"506"	"0"
"180"	"166"	"91"	"24"	"1"	"250"	"4"	"4"	"3"	"2"	"4"	"4"	"140"	"5"	"2"	"33"	"4"	"6"	"4"	"0"	"2"	"0"	"583"	"0"	"1"	"584"	"0"
"181"	"167"	"78"	"9"	"3"	"418"	"4"	"6"	"2"	"4"	"4"	"4"	"145"	"13"	"11"	"32"	"3"	"20"	"1"	"1"	"0"	"1"	"759"	"0"	"1"	"760"	"0"
"182"	"168"	"223"	"10"	"3"	"174"	"1"	"0"	"3"	"3"	"2"	"1"	"12"	"4"	"7"	"7"	"5"	"17"	"5"	"1"	"2"	"8"	"488"	"0"	"3"	"491"	"0"
"183"	"169"	"137"	"54"	"7"	"215"	"9"	"6"	"0"	"1"	"5"	"2"	"26"	"11"	"6"	"5"	"3"	"18"	"5"	"3"	"1"	"3"	"517"	"0"	"4"	"521"	"0"
"184"	"170"	"348"	"26"	"3"	"220"	"4"	"2"	"2"	"3"	"5"	"3"	"55"	"6"	"1"	"4"	"3"	"6"	"4"	"0"	"0"	"3"	"698"	"0"	"1"	"699"	"0"
"185"	"171"	"54"	"213"	"29"	"140"	"3"	"6"	"3"	"4"	"5"	"9"	"94"	"19"	"10"	"7"	"15"	"24"	"2"	"4"	"5"	"2"	"648"	"0"	"7"	"655"	"0"
"186"	"172"	"26"	"43"	"0"	"161"	"2"	"4"	"2"	"0"	"0"	"2"	"0"	"0"	"4"	"3"	"4"	"4"	"3"	"0"	"1"	"0"	"259"	"0"	"3"	"262"	"0"
"187"	"173"	"105"	"29"	"2"	"363"	"4"	"2"	"0"	"1"	"0"	"1"	"21"	"1"	"0"	"3"	"1"	"5"	"10"	"0"	"0"	"16"	"564"	"0"	"2"	"566"	"0"
"188"	"174"	"71"	"3"	"5"	"330"	"2"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"1"	"6"	"1"	"4"	"3"	"432"	"0"	"1"	"433"	"0"
"189"	"175"	"197"	"106"	"2"	"11"	"3"	"1"	"0"	"1"	"0"	"0"	"27"	"1"	"3"	"0"	"2"	"18"	"7"	"1"	"0"	"0"	"380"	"0"	"0"	"380"	"0"
"190"	"176"	"31"	"51"	"72"	"260"	"1"	"3"	"2"	"0"	"4"	"0"	"23"	"3"	"4"	"2"	"4"	"5"	"2"	"2"	"1"	"1"	"471"	"0"	"5"	"476"	"0"
"191"	"177"	"176"	"48"	"5"	"116"	"6"	"3"	"1"	"0"	"1"	"3"	"1"	"3"	"12"	"0"	"4"	"13"	"8"	"2"	"1"	"2"	"405"	"0"	"1"	"406"	"0"
"192"	"178"	"172"	"190"	"4"	"205"	"4"	"1"	"2"	"0"	"1"	"0"	"23"	"4"	"2"	"2"	"6"	"5"	"5"	"0"	"0"	"1"	"627"	"0"	"3"	"630"	"0"
"193"	"179"	"265"	"13"	"3"	"55"	"1"	"3"	"1"	"0"	"1"	"0"	"24"	"1"	"1"	"0"	"1"	"13"	"13"	"1"	"0"	"2"	"398"	"0"	"2"	"400"	"0"
"194"	"180"	"115"	"32"	"87"	"210"	"9"	"3"	"2"	"0"	"0"	"0"	"3"	"6"	"5"	"0"	"2"	"4"	"2"	"2"	"1"	"5"	"488"	"0"	"1"	"489"	"0"
"195"	"181"	"13"	"141"	"6"	"98"	"6"	"6"	"2"	"1"	"2"	"3"	"82"	"7"	"5"	"1"	"4"	"6"	"0"	"1"	"0"	"1"	"385"	"0"	"1"	"386"	"0"
"196"	"182"	"21"	"193"	"47"	"136"	"3"	"5"	"4"	"2"	"9"	"0"	"16"	"4"	"5"	"4"	"6"	"15"	"1"	"3"	"2"	"3"	"479"	"0"	"1"	"480"	"0"
"197"	"183"	"192"	"253"	"13"	"90"	"6"	"4"	"4"	"10"	"9"	"9"	"141"	"8"	"6"	"3"	"9"	"19"	"5"	"3"	"1"	"1"	"786"	"0"	"5"	"791"	"0"
"198"	"184"	"48"	"131"	"2"	"47"	"0"	"6"	"4"	"0"	"0"	"5"	"74"	"4"	"5"	"3"	"14"	"12"	"5"	"9"	"4"	"3"	"376"	"0"	"8"	"384"	"0"
"199"	"185"	"176"	"51"	"11"	"208"	"5"	"3"	"5"	"5"	"2"	"1"	"157"	"3"	"8"	"5"	"2"	"10"	"8"	"2"	"1"	"11"	"674"	"0"	"15"	"689"	"0"
"200"	"186"	"290"	"91"	"66"	"109"	"6"	"7"	"4"	"5"	"4"	"5"	"14"	"9"	"12"	"15"	"12"	"25"	"11"	"5"	"3"	"6"	"699"	"0"	"8"	"707"	"0"
"201"	"187"	"100"	"28"	"4"	"136"	"0"	"3"	"1"	"0"	"2"	"2"	"14"	"3"	"3"	"3"	"6"	"14"	"1"	"0"	"0"	"1"	"321"	"0"	"3"	"324"	"0"
"202"	"188"	"266"	"113"	"4"	"208"	"9"	"3"	"1"	"0"	"14"	"4"	"9"	"14"	"8"	"2"	"3"	"24"	"4"	"2"	"0"	"3"	"691"	"0"	"3"	"694"	"0"
"203"	"189"	"192"	"91"	"9"	"132"	"9"	"1"	"3"	"2"	"3"	"1"	"22"	"9"	"8"	"6"	"4"	"12"	"8"	"2"	"2"	"2"	"518"	"0"	"7"	"525"	"0"
"204"	"190"	"60"	"60"	"7"	"382"	"5"	"2"	"3"	"1"	"1"	"1"	"49"	"4"	"4"	"2"	"1"	"4"	"3"	"0"	"1"	"7"	"597"	"0"	"8"	"605"	"0"
"205"	"191"	"6"	"11"	"2"	"357"	"1"	"1"	"1"	"1"	"5"	"1"	"7"	"1"	"1"	"4"	"0"	"4"	"0"	"0"	"0"	"0"	"403"	"0"	"0"	"403"	"0"
"206"	"192"	"176"	"85"	"7"	"195"	"4"	"5"	"3"	"0"	"3"	"4"	"96"	"8"	"4"	"3"	"7"	"6"	"4"	"2"	"4"	"6"	"622"	"0"	"4"	"626"	"0"
"207"	"193"	"121"	"81"	"7"	"156"	"2"	"4"	"3"	"4"	"8"	"5"	"16"	"6"	"7"	"2"	"9"	"10"	"4"	"1"	"2"	"2"	"450"	"0"	"3"	"453"	"0"
"208"	"194"	"143"	"52"	"8"	"180"	"7"	"2"	"1"	"4"	"2"	"0"	"52"	"5"	"6"	"1"	"1"	"7"	"12"	"4"	"2"	"9"	"498"	"0"	"11"	"509"	"0"
"209"	"195"	"126"	"22"	"8"	"300"	"2"	"2"	"0"	"2"	"1"	"0"	"31"	"5"	"0"	"2"	"2"	"4"	"8"	"5"	"1"	"10"	"531"	"0"	"5"	"536"	"0"
"210"	"196"	"233"	"116"	"3"	"62"	"2"	"4"	"2"	"0"	"3"	"2"	"4"	"2"	"2"	"2"	"10"	"16"	"2"	"3"	"2"	"2"	"472"	"0"	"2"	"474"	"0"
"211"	"197"	"5"	"3"	"2"	"478"	"2"	"2"	"0"	"0"	"0"	"0"	"7"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"504"	"0"	"2"	"506"	"0"
"212"	"198"	"42"	"29"	"14"	"63"	"5"	"12"	"6"	"7"	"2"	"9"	"245"	"7"	"5"	"3"	"5"	"11"	"1"	"2"	"1"	"1"	"470"	"0"	"2"	"472"	"0"
"213"	"199"	"288"	"60"	"23"	"297"	"6"	"6"	"2"	"0"	"1"	"1"	"32"	"2"	"2"	"0"	"0"	"8"	"7"	"1"	"3"	"4"	"743"	"0"	"2"	"745"	"0"
"214"	"200"	"501"	"101"	"1"	"12"	"1"	"3"	"1"	"1"	"1"	"0"	"0"	"0"	"3"	"2"	"3"	"11"	"16"	"3"	"0"	"1"	"661"	"0"	"2"	"663"	"0"
"215"	"201"	"465"	"71"	"1"	"7"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"3"	"0"	"0"	"2"	"3"	"3"	"0"	"0"	"0"	"559"	"0"	"1"	"560"	"0"
"216"	"202"	"219"	"82"	"2"	"121"	"2"	"2"	"4"	"2"	"1"	"1"	"1"	"6"	"2"	"0"	"3"	"6"	"3"	"0"	"2"	"0"	"459"	"0"	"1"	"460"	"0"
"217"	"203"	"313"	"120"	"1"	"79"	"2"	"0"	"0"	"0"	"4"	"1"	"1"	"6"	"6"	"3"	"4"	"17"	"7"	"4"	"0"	"1"	"569"	"0"	"1"	"570"	"0"
"218"	"204"	"247"	"113"	"1"	"74"	"0"	"5"	"0"	"0"	"0"	"2"	"3"	"0"	"0"	"1"	"0"	"3"	"7"	"2"	"0"	"6"	"464"	"0"	"0"	"464"	"0"
"219"	"205"	"298"	"180"	"1"	"9"	"0"	"2"	"0"	"1"	"1"	"1"	"4"	"1"	"0"	"0"	"1"	"2"	"2"	"3"	"0"	"0"	"506"	"0"	"1"	"507"	"0"
"220"	"206"	"506"	"141"	"4"	"18"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"3"	"0"	"0"	"5"	"10"	"9"	"2"	"0"	"1"	"703"	"0"	"3"	"706"	"0"
"221"	"207"	"247"	"23"	"1"	"72"	"3"	"2"	"2"	"1"	"2"	"1"	"54"	"3"	"1"	"0"	"1"	"10"	"8"	"2"	"0"	"3"	"436"	"0"	"0"	"436"	"0"
"222"	"208"	"379"	"68"	"1"	"32"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"484"	"0"	"0"	"484"	"0"
"223"	"209"	"298"	"7"	"2"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"6"	"8"	"0"	"1"	"1"	"349"	"0"	"2"	"351"	"0"
"224"	"210"	"30"	"3"	"1"	"336"	"4"	"1"	"1"	"4"	"0"	"0"	"0"	"4"	"1"	"20"	"1"	"8"	"1"	"2"	"1"	"5"	"423"	"0"	"4"	"427"	"0"
"225"	"211"	"177"	"68"	"18"	"144"	"3"	"5"	"0"	"0"	"2"	"2"	"8"	"3"	"1"	"1"	"3"	"2"	"3"	"2"	"2"	"2"	"446"	"0"	"3"	"449"	"0"
"226"	"212"	"111"	"77"	"129"	"136"	"1"	"1"	"2"	"2"	"2"	"2"	"8"	"6"	"2"	"2"	"1"	"12"	"3"	"0"	"4"	"0"	"501"	"0"	"7"	"508"	"0"
"227"	"213"	"360"	"31"	"5"	"31"	"1"	"0"	"0"	"2"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"8"	"0"	"0"	"1"	"1"	"444"	"0"	"0"	"444"	"0"
"228"	"214"	"548"	"19"	"5"	"62"	"2"	"0"	"2"	"1"	"0"	"1"	"1"	"2"	"2"	"1"	"4"	"13"	"14"	"1"	"0"	"0"	"678"	"0"	"0"	"678"	"0"
"229"	"215"	"295"	"15"	"8"	"260"	"5"	"2"	"0"	"0"	"7"	"3"	"22"	"14"	"11"	"3"	"4"	"18"	"6"	"0"	"0"	"4"	"677"	"0"	"3"	"680"	"0"
"230"	"216"	"419"	"10"	"3"	"46"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"1"	"2"	"1"	"4"	"14"	"0"	"4"	"3"	"510"	"0"	"0"	"510"	"0"
"231"	"217"	"98"	"53"	"0"	"145"	"3"	"3"	"1"	"0"	"1"	"1"	"13"	"4"	"1"	"2"	"1"	"3"	"4"	"2"	"0"	"0"	"335"	"0"	"0"	"335"	"0"
"232"	"218"	"9"	"32"	"15"	"190"	"3"	"3"	"2"	"1"	"2"	"8"	"297"	"4"	"2"	"2"	"3"	"3"	"1"	"1"	"0"	"0"	"578"	"0"	"4"	"582"	"0"
"233"	"219"	"332"	"82"	"19"	"122"	"3"	"4"	"4"	"3"	"2"	"5"	"54"	"5"	"3"	"5"	"8"	"36"	"12"	"4"	"2"	"5"	"710"	"0"	"4"	"714"	"0"
"234"	"220"	"18"	"28"	"2"	"6"	"0"	"7"	"3"	"0"	"2"	"4"	"163"	"4"	"1"	"5"	"1"	"7"	"1"	"0"	"0"	"1"	"253"	"0"	"1"	"254"	"0"
"235"	"221"	"169"	"88"	"9"	"41"	"3"	"8"	"4"	"5"	"6"	"3"	"222"	"4"	"7"	"7"	"9"	"27"	"10"	"10"	"0"	"2"	"634"	"0"	"6"	"640"	"0"
"236"	"222"	"209"	"51"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"7"	"1"	"1"	"0"	"0"	"279"	"0"	"0"	"279"	"0"
"237"	"223"	"48"	"10"	"6"	"173"	"5"	"4"	"2"	"0"	"2"	"3"	"96"	"0"	"2"	"0"	"0"	"5"	"1"	"0"	"0"	"2"	"359"	"0"	"0"	"359"	"0"
"238"	"224"	"12"	"19"	"2"	"216"	"5"	"0"	"1"	"25"	"0"	"1"	"22"	"3"	"1"	"0"	"0"	"1"	"1"	"2"	"1"	"7"	"319"	"0"	"4"	"323"	"0"
"239"	"225"	"169"	"24"	"3"	"131"	"1"	"0"	"0"	"5"	"1"	"0"	"51"	"3"	"2"	"1"	"0"	"10"	"2"	"0"	"1"	"0"	"404"	"0"	"0"	"404"	"0"
"240"	"226"	"258"	"16"	"6"	"22"	"1"	"0"	"0"	"1"	"1"	"1"	"18"	"1"	"2"	"1"	"14"	"2"	"1"	"0"	"0"	"0"	"345"	"0"	"0"	"345"	"0"
"241"	"227"	"122"	"13"	"2"	"81"	"1"	"1"	"1"	"0"	"1"	"0"	"74"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"2"	"302"	"0"	"2"	"304"	"0"
"242"	"228"	"220"	"82"	"4"	"170"	"6"	"3"	"1"	"4"	"2"	"1"	"0"	"5"	"3"	"1"	"6"	"7"	"5"	"2"	"0"	"4"	"526"	"0"	"1"	"527"	"0"
"243"	"229"	"208"	"53"	"2"	"42"	"2"	"0"	"1"	"0"	"1"	"0"	"3"	"1"	"3"	"2"	"1"	"8"	"10"	"2"	"0"	"1"	"340"	"0"	"0"	"340"	"0"
"244"	"230"	"94"	"136"	"9"	"115"	"1"	"5"	"1"	"2"	"3"	"2"	"2"	"4"	"5"	"2"	"10"	"3"	"7"	"14"	"2"	"2"	"419"	"0"	"1"	"420"	"0"
"245"	"231"	"116"	"132"	"0"	"110"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"3"	"1"	"2"	"0"	"1"	"370"	"0"	"2"	"372"	"0"
"246"	"232"	"18"	"53"	"3"	"282"	"3"	"1"	"1"	"0"	"2"	"3"	"62"	"4"	"4"	"3"	"0"	"1"	"0"	"1"	"1"	"3"	"445"	"0"	"0"	"445"	"0"
"247"	"233"	"166"	"5"	"1"	"221"	"1"	"1"	"3"	"3"	"1"	"2"	"114"	"7"	"2"	"5"	"5"	"13"	"16"	"2"	"0"	"2"	"570"	"0"	"2"	"572"	"0"
"248"	"234"	"257"	"34"	"15"	"36"	"4"	"1"	"3"	"0"	"0"	"0"	"5"	"3"	"2"	"3"	"3"	"9"	"3"	"1"	"1"	"0"	"380"	"0"	"0"	"380"	"0"
"249"	"235"	"226"	"81"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"22"	"0"	"0"	"0"	"3"	"13"	"7"	"4"	"0"	"0"	"359"	"0"	"1"	"360"	"0"
"250"	"236"	"157"	"52"	"9"	"77"	"0"	"1"	"0"	"0"	"0"	"0"	"13"	"4"	"0"	"2"	"5"	"6"	"4"	"0"	"0"	"0"	"330"	"0"	"1"	"331"	"0"
"251"	"237"	"12"	"12"	"3"	"212"	"2"	"1"	"0"	"0"	"3"	"0"	"1"	"13"	"8"	"2"	"1"	"4"	"2"	"2"	"0"	"1"	"279"	"0"	"0"	"279"	"0"
"252"	"238"	"63"	"180"	"5"	"155"	"4"	"2"	"1"	"0"	"3"	"2"	"35"	"2"	"7"	"1"	"8"	"9"	"3"	"7"	"1"	"1"	"489"	"0"	"1"	"490"	"0"
"253"	"239"	"107"	"87"	"1"	"176"	"2"	"1"	"2"	"0"	"2"	"1"	"4"	"0"	"3"	"2"	"2"	"15"	"7"	"4"	"1"	"4"	"421"	"0"	"2"	"423"	"0"
"254"	"240"	"112"	"56"	"17"	"196"	"4"	"3"	"3"	"3"	"0"	"3"	"71"	"5"	"2"	"4"	"3"	"20"	"2"	"0"	"2"	"3"	"509"	"0"	"0"	"509"	"0"
"255"	"241"	"75"	"113"	"13"	"78"	"7"	"7"	"6"	"1"	"2"	"4"	"157"	"4"	"5"	"3"	"2"	"11"	"0"	"0"	"2"	"1"	"491"	"0"	"2"	"493"	"0"
