"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"
"96"	"82"	"288"	"278"	"5"	"46"	"7"	"13"	"2"	"2"	"0"	"2"	"1"	"4"	"4"	"6"	"8"	"17"	"14"	"7"	"3"	"8"	"3"	"9"	"2"	"1"	"1"	"2"	"4"	"3"	"5"	"745"	"0"	"10"	"755"	"0"
"97"	"83"	"243"	"40"	"2"	"9"	"10"	"3"	"0"	"0"	"1"	"2"	"2"	"2"	"5"	"2"	"6"	"16"	"5"	"9"	"1"	"1"	"1"	"3"	"1"	"1"	"3"	"5"	"1"	"2"	"2"	"378"	"0"	"7"	"385"	"0"
"98"	"84"	"308"	"11"	"4"	"70"	"3"	"7"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"2"	"0"	"5"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"420"	"0"	"1"	"421"	"0"
"99"	"85"	"335"	"176"	"6"	"39"	"4"	"18"	"3"	"4"	"8"	"2"	"2"	"3"	"4"	"1"	"2"	"8"	"3"	"4"	"1"	"1"	"0"	"1"	"2"	"0"	"0"	"1"	"0"	"2"	"2"	"632"	"0"	"1"	"633"	"0"
"100"	"86"	"80"	"249"	"4"	"34"	"47"	"21"	"1"	"3"	"4"	"0"	"3"	"2"	"8"	"5"	"8"	"9"	"1"	"5"	"2"	"2"	"1"	"13"	"1"	"3"	"4"	"5"	"7"	"0"	"5"	"527"	"0"	"9"	"536"	"0"
"101"	"87"	"141"	"231"	"9"	"44"	"3"	"19"	"6"	"2"	"3"	"1"	"1"	"1"	"0"	"2"	"1"	"1"	"9"	"4"	"6"	"4"	"3"	"7"	"1"	"1"	"0"	"2"	"0"	"2"	"0"	"504"	"0"	"3"	"507"	"0"
"102"	"88"	"124"	"306"	"8"	"58"	"37"	"15"	"5"	"1"	"2"	"1"	"3"	"5"	"11"	"3"	"5"	"8"	"3"	"0"	"3"	"1"	"2"	"5"	"3"	"0"	"2"	"1"	"0"	"2"	"0"	"614"	"0"	"3"	"617"	"0"
"103"	"89"	"43"	"457"	"8"	"19"	"4"	"5"	"2"	"1"	"2"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"556"	"0"	"0"	"556"	"0"
"104"	"90"	"160"	"408"	"10"	"18"	"11"	"8"	"9"	"3"	"5"	"5"	"2"	"5"	"6"	"7"	"6"	"15"	"4"	"2"	"2"	"0"	"3"	"16"	"3"	"4"	"5"	"4"	"2"	"1"	"6"	"730"	"0"	"9"	"739"	"0"
"105"	"91"	"47"	"702"	"8"	"23"	"14"	"6"	"1"	"0"	"0"	"1"	"1"	"3"	"2"	"3"	"2"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"818"	"0"	"0"	"818"	"0"
"106"	"92"	"34"	"305"	"9"	"27"	"16"	"13"	"2"	"1"	"1"	"1"	"2"	"1"	"3"	"2"	"4"	"3"	"2"	"2"	"3"	"1"	"3"	"12"	"3"	"2"	"3"	"5"	"3"	"6"	"5"	"474"	"0"	"4"	"478"	"0"
"107"	"93"	"33"	"477"	"14"	"22"	"46"	"12"	"3"	"4"	"1"	"3"	"2"	"5"	"4"	"8"	"9"	"8"	"0"	"8"	"4"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"1"	"3"	"3"	"675"	"0"	"4"	"679"	"0"
"108"	"94"	"35"	"403"	"7"	"17"	"3"	"12"	"1"	"6"	"2"	"2"	"3"	"4"	"1"	"4"	"6"	"6"	"0"	"2"	"0"	"0"	"0"	"0"	"4"	"0"	"1"	"1"	"1"	"1"	"0"	"522"	"0"	"2"	"524"	"0"
"109"	"95"	"78"	"437"	"10"	"42"	"6"	"22"	"4"	"5"	"3"	"3"	"2"	"5"	"6"	"2"	"10"	"5"	"1"	"9"	"1"	"1"	"0"	"3"	"3"	"1"	"4"	"3"	"1"	"4"	"1"	"672"	"0"	"5"	"677"	"0"
"110"	"96"	"47"	"499"	"9"	"25"	"26"	"13"	"3"	"2"	"2"	"4"	"1"	"3"	"2"	"7"	"2"	"1"	"2"	"44"	"1"	"2"	"1"	"2"	"0"	"0"	"0"	"7"	"0"	"0"	"1"	"706"	"0"	"3"	"709"	"0"
"111"	"97"	"26"	"210"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"6"	"0"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"255"	"0"	"0"	"255"	"0"
"112"	"98"	"23"	"278"	"2"	"18"	"5"	"9"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"2"	"2"	"3"	"8"	"1"	"0"	"1"	"2"	"1"	"0"	"1"	"3"	"0"	"1"	"0"	"364"	"0"	"2"	"366"	"0"
"113"	"99"	"187"	"102"	"5"	"15"	"9"	"10"	"1"	"3"	"3"	"5"	"6"	"4"	"5"	"3"	"5"	"13"	"14"	"151"	"4"	"10"	"3"	"12"	"3"	"4"	"3"	"20"	"5"	"7"	"7"	"619"	"0"	"18"	"637"	"0"
"114"	"100"	"73"	"210"	"5"	"76"	"8"	"9"	"3"	"1"	"0"	"1"	"4"	"0"	"2"	"1"	"1"	"0"	"4"	"1"	"1"	"2"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"409"	"0"	"2"	"411"	"0"
"115"	"101"	"109"	"301"	"12"	"33"	"34"	"8"	"2"	"2"	"5"	"2"	"1"	"4"	"0"	"1"	"6"	"7"	"8"	"8"	"7"	"5"	"2"	"17"	"5"	"3"	"5"	"4"	"5"	"2"	"6"	"604"	"0"	"10"	"614"	"0"
"116"	"102"	"47"	"295"	"9"	"107"	"9"	"19"	"2"	"3"	"2"	"2"	"0"	"1"	"5"	"2"	"4"	"2"	"2"	"1"	"4"	"2"	"0"	"4"	"1"	"4"	"1"	"4"	"2"	"2"	"5"	"541"	"0"	"1"	"542"	"0"
"117"	"103"	"134"	"279"	"2"	"7"	"19"	"4"	"1"	"1"	"2"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"6"	"29"	"5"	"8"	"5"	"18"	"2"	"5"	"3"	"11"	"5"	"2"	"9"	"561"	"0"	"13"	"574"	"0"
"118"	"104"	"65"	"356"	"12"	"11"	"4"	"11"	"0"	"1"	"4"	"1"	"4"	"3"	"13"	"3"	"6"	"7"	"1"	"12"	"1"	"0"	"0"	"6"	"1"	"0"	"1"	"2"	"0"	"2"	"2"	"529"	"0"	"1"	"530"	"0"
"119"	"105"	"138"	"10"	"1"	"51"	"0"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"4"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"219"	"0"	"2"	"221"	"0"
"120"	"106"	"10"	"225"	"7"	"4"	"0"	"3"	"1"	"3"	"1"	"0"	"0"	"3"	"5"	"2"	"8"	"5"	"0"	"1"	"0"	"0"	"0"	"10"	"2"	"1"	"1"	"1"	"2"	"0"	"4"	"299"	"0"	"6"	"305"	"0"
"121"	"107"	"234"	"336"	"10"	"22"	"41"	"8"	"3"	"3"	"4"	"0"	"15"	"4"	"2"	"4"	"9"	"8"	"3"	"5"	"0"	"0"	"2"	"11"	"2"	"2"	"4"	"1"	"2"	"2"	"2"	"739"	"0"	"2"	"741"	"0"
"122"	"108"	"210"	"121"	"6"	"4"	"1"	"6"	"2"	"2"	"1"	"1"	"2"	"6"	"7"	"1"	"4"	"25"	"9"	"2"	"1"	"1"	"0"	"8"	"0"	"1"	"2"	"1"	"3"	"0"	"4"	"431"	"0"	"9"	"440"	"0"
"123"	"109"	"256"	"177"	"6"	"56"	"32"	"14"	"5"	"2"	"4"	"3"	"7"	"3"	"7"	"3"	"8"	"19"	"2"	"2"	"5"	"3"	"4"	"7"	"2"	"3"	"1"	"7"	"2"	"2"	"5"	"647"	"0"	"4"	"651"	"0"
"124"	"110"	"214"	"130"	"2"	"27"	"12"	"12"	"2"	"1"	"1"	"0"	"0"	"1"	"4"	"6"	"9"	"14"	"2"	"2"	"1"	"2"	"2"	"2"	"1"	"3"	"0"	"2"	"2"	"4"	"2"	"460"	"0"	"10"	"470"	"0"
"125"	"111"	"200"	"72"	"4"	"28"	"53"	"12"	"1"	"2"	"2"	"5"	"5"	"9"	"3"	"1"	"8"	"15"	"5"	"4"	"2"	"3"	"6"	"5"	"1"	"2"	"4"	"6"	"4"	"2"	"3"	"467"	"0"	"5"	"472"	"0"
"126"	"111
A"	"216"	"64"	"1"	"38"	"16"	"16"	"2"	"0"	"1"	"6"	"6"	"7"	"9"	"4"	"7"	"24"	"6"	"6"	"2"	"0"	"3"	"4"	"2"	"3"	"3"	"3"	"1"	"7"	"4"	"461"	"0"	"12"	"473"	"0"
"127"	"112"	"223"	"44"	"2"	"21"	"4"	"6"	"2"	"0"	"1"	"0"	"0"	"0"	"6"	"0"	"1"	"0"	"4"	"1"	"0"	"3"	"1"	"3"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"325"	"0"	"3"	"328"	"0"
"128"	"113"	"66"	"543"	"16"	"35"	"10"	"10"	"1"	"6"	"2"	"5"	"2"	"2"	"4"	"1"	"4"	"2"	"1"	"10"	"1"	"3"	"0"	"9"	"0"	"1"	"1"	"1"	"0"	"1"	"3"	"740"	"0"	"0"	"740"	"0"
"129"	"114"	"33"	"292"	"3"	"13"	"6"	"2"	"0"	"2"	"0"	"0"	"0"	"2"	"1"	"1"	"1"	"1"	"0"	"3"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"364"	"0"	"0"	"364"	"0"
"130"	"115"	"44"	"253"	"6"	"3"	"7"	"5"	"1"	"3"	"1"	"1"	"0"	"1"	"1"	"0"	"6"	"7"	"7"	"13"	"0"	"1"	"1"	"7"	"2"	"2"	"2"	"0"	"3"	"2"	"10"	"389"	"0"	"13"	"402"	"0"
"131"	"116"	"83"	"263"	"1"	"12"	"0"	"7"	"3"	"1"	"2"	"1"	"2"	"0"	"0"	"0"	"1"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"381"	"0"	"0"	"381"	"0"
"132"	"117"	"57"	"509"	"9"	"19"	"1"	"7"	"2"	"1"	"0"	"1"	"2"	"1"	"4"	"7"	"6"	"10"	"14"	"52"	"12"	"3"	"10"	"34"	"11"	"7"	"8"	"15"	"8"	"10"	"21"	"841"	"0"	"24"	"865"	"0"
"133"	"118"	"131"	"409"	"4"	"15"	"4"	"4"	"0"	"2"	"2"	"0"	"2"	"4"	"9"	"0"	"6"	"4"	"1"	"5"	"3"	"3"	"5"	"20"	"0"	"3"	"4"	"3"	"4"	"8"	"6"	"661"	"0"	"5"	"666"	"0"
"134"	"119"	"552"	"161"	"12"	"31"	"6"	"21"	"3"	"5"	"1"	"5"	"7"	"8"	"14"	"9"	"17"	"39"	"14"	"3"	"2"	"3"	"3"	"9"	"2"	"6"	"2"	"4"	"4"	"6"	"6"	"955"	"0"	"38"	"993"	"0"
"135"	"120"	"291"	"249"	"10"	"34"	"8"	"11"	"3"	"2"	"3"	"2"	"1"	"0"	"4"	"6"	"6"	"27"	"26"	"7"	"6"	"2"	"0"	"13"	"4"	"3"	"4"	"4"	"3"	"11"	"8"	"748"	"0"	"29"	"777"	"0"
"136"	"121"	"303"	"10"	"1"	"9"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"2"	"6"	"5"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"1"	"2"	"1"	"347"	"0"	"1"	"348"	"0"
"137"	"122"	"367"	"137"	"5"	"8"	"3"	"8"	"3"	"1"	"1"	"1"	"0"	"5"	"7"	"9"	"9"	"33"	"9"	"3"	"0"	"0"	"0"	"6"	"0"	"1"	"1"	"2"	"1"	"5"	"3"	"628"	"0"	"11"	"639"	"0"
"138"	"123"	"383"	"170"	"3"	"30"	"2"	"17"	"2"	"1"	"4"	"6"	"7"	"4"	"7"	"10"	"15"	"18"	"13"	"3"	"6"	"4"	"1"	"10"	"3"	"5"	"2"	"4"	"2"	"2"	"10"	"744"	"0"	"13"	"757"	"0"
"139"	"124"	"117"	"210"	"10"	"97"	"7"	"42"	"3"	"3"	"6"	"4"	"4"	"4"	"5"	"5"	"7"	"31"	"3"	"1"	"1"	"1"	"0"	"2"	"4"	"2"	"2"	"5"	"2"	"4"	"5"	"587"	"0"	"6"	"593"	"0"
"140"	"125"	"240"	"168"	"4"	"96"	"3"	"28"	"5"	"1"	"1"	"1"	"0"	"3"	"4"	"1"	"0"	"3"	"7"	"8"	"4"	"8"	"3"	"14"	"4"	"8"	"6"	"8"	"4"	"11"	"10"	"653"	"0"	"13"	"666"	"0"
"141"	"126"	"162"	"217"	"10"	"33"	"2"	"15"	"2"	"0"	"2"	"0"	"1"	"4"	"7"	"5"	"5"	"18"	"3"	"0"	"3"	"1"	"1"	"2"	"2"	"2"	"2"	"4"	"3"	"4"	"1"	"511"	"0"	"4"	"515"	"0"
"142"	"127"	"239"	"232"	"6"	"54"	"3"	"11"	"2"	"0"	"0"	"2"	"0"	"5"	"4"	"2"	"3"	"2"	"6"	"3"	"1"	"5"	"2"	"18"	"4"	"5"	"0"	"8"	"2"	"5"	"4"	"628"	"0"	"6"	"634"	"0"
"143"	"128"	"67"	"321"	"3"	"35"	"5"	"11"	"0"	"1"	"0"	"0"	"1"	"0"	"3"	"1"	"0"	"1"	"8"	"4"	"5"	"4"	"2"	"8"	"3"	"5"	"3"	"5"	"2"	"3"	"4"	"505"	"0"	"5"	"510"	"0"
"144"	"129"	"328"	"130"	"6"	"15"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"3"	"3"	"1"	"2"	"3"	"7"	"2"	"3"	"2"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"513"	"0"	"3"	"516"	"0"
"145"	"130"	"75"	"207"	"7"	"28"	"1"	"5"	"1"	"3"	"1"	"1"	"0"	"0"	"1"	"3"	"4"	"6"	"0"	"4"	"3"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"353"	"0"	"1"	"354"	"0"
"146"	"131"	"85"	"201"	"3"	"119"	"7"	"28"	"2"	"1"	"2"	"3"	"3"	"2"	"5"	"2"	"1"	"4"	"3"	"2"	"1"	"4"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"483"	"0"	"0"	"483"	"0"
"147"	"132"	"124"	"237"	"9"	"35"	"5"	"17"	"3"	"2"	"5"	"6"	"4"	"3"	"10"	"6"	"7"	"12"	"4"	"8"	"3"	"2"	"1"	"18"	"5"	"2"	"5"	"3"	"5"	"8"	"7"	"556"	"0"	"10"	"566"	"0"
"148"	"133"	"305"	"224"	"8"	"37"	"5"	"23"	"7"	"1"	"5"	"2"	"2"	"4"	"10"	"4"	"7"	"38"	"13"	"10"	"2"	"4"	"1"	"6"	"2"	"4"	"4"	"5"	"1"	"4"	"8"	"746"	"0"	"10"	"756"	"0"
"149"	"134"	"118"	"180"	"7"	"104"	"2"	"20"	"2"	"1"	"1"	"3"	"1"	"3"	"8"	"4"	"6"	"11"	"7"	"10"	"8"	"6"	"2"	"6"	"1"	"2"	"4"	"3"	"2"	"5"	"6"	"533"	"0"	"7"	"540"	"0"
"150"	"135"	"32"	"323"	"3"	"66"	"1"	"28"	"0"	"0"	"1"	"4"	"2"	"0"	"3"	"1"	"3"	"6"	"0"	"1"	"0"	"0"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"480"	"0"	"1"	"481"	"0"
"151"	"136"	"22"	"200"	"4"	"86"	"5"	"45"	"5"	"0"	"1"	"3"	"1"	"2"	"3"	"7"	"3"	"11"	"3"	"0"	"0"	"0"	"1"	"3"	"1"	"3"	"0"	"0"	"3"	"4"	"1"	"417"	"0"	"1"	"418"	"0"
"152"	"136
A"	"31"	"249"	"4"	"52"	"3"	"25"	"0"	"0"	"2"	"3"	"1"	"1"	"2"	"4"	"6"	"5"	"2"	"3"	"0"	"2"	"2"	"3"	"1"	"2"	"1"	"1"	"0"	"2"	"3"	"410"	"0"	"8"	"418"	"0"
"153"	"137"	"191"	"523"	"12"	"72"	"6"	"22"	"2"	"3"	"3"	"2"	"4"	"10"	"4"	"6"	"9"	"18"	"3"	"8"	"3"	"0"	"1"	"9"	"3"	"2"	"2"	"1"	"2"	"1"	"3"	"925"	"0"	"6"	"931"	"0"
"154"	"138"	"29"	"548"	"15"	"14"	"5"	"4"	"0"	"0"	"1"	"0"	"3"	"1"	"1"	"0"	"1"	"1"	"6"	"7"	"3"	"2"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"653"	"0"	"6"	"659"	"0"
"155"	"139"	"16"	"456"	"15"	"59"	"2"	"22"	"3"	"1"	"3"	"1"	"4"	"9"	"7"	"3"	"11"	"11"	"1"	"7"	"2"	"0"	"0"	"9"	"1"	"1"	"1"	"3"	"2"	"3"	"6"	"659"	"0"	"5"	"664"	"0"
"156"	"140"	"25"	"257"	"3"	"56"	"8"	"17"	"2"	"0"	"2"	"2"	"3"	"0"	"6"	"6"	"12"	"11"	"1"	"4"	"2"	"1"	"0"	"6"	"0"	"0"	"2"	"2"	"3"	"3"	"4"	"438"	"0"	"8"	"446"	"0"
"157"	"141"	"51"	"330"	"7"	"149"	"11"	"40"	"2"	"1"	"0"	"1"	"0"	"8"	"6"	"5"	"4"	"8"	"4"	"4"	"0"	"3"	"4"	"5"	"3"	"0"	"2"	"2"	"3"	"1"	"0"	"654"	"0"	"3"	"657"	"0"
"158"	"142"	"17"	"216"	"5"	"132"	"1"	"20"	"6"	"0"	"0"	"0"	"0"	"3"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"410"	"0"	"3"	"413"	"0"
"159"	"143"	"96"	"327"	"9"	"111"	"4"	"40"	"3"	"3"	"2"	"4"	"4"	"4"	"11"	"2"	"5"	"19"	"7"	"15"	"4"	"7"	"6"	"16"	"4"	"5"	"3"	"3"	"4"	"12"	"6"	"736"	"0"	"9"	"745"	"0"
"160"	"144"	"15"	"455"	"8"	"53"	"8"	"19"	"5"	"3"	"4"	"1"	"2"	"4"	"10"	"8"	"20"	"29"	"3"	"5"	"1"	"0"	"0"	"7"	"1"	"3"	"2"	"0"	"3"	"1"	"3"	"673"	"0"	"5"	"678"	"0"
"161"	"145"	"290"	"48"	"2"	"8"	"1"	"3"	"3"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"5"	"0"	"2"	"3"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"376"	"0"	"5"	"381"	"0"
"162"	"146"	"17"	"233"	"2"	"27"	"4"	"8"	"1"	"1"	"2"	"2"	"0"	"2"	"6"	"4"	"3"	"7"	"2"	"2"	"2"	"2"	"1"	"4"	"0"	"1"	"0"	"2"	"2"	"4"	"5"	"346"	"0"	"4"	"350"	"0"
"163"	"147"	"266"	"518"	"18"	"38"	"7"	"12"	"1"	"3"	"2"	"5"	"2"	"2"	"6"	"4"	"8"	"8"	"6"	"6"	"2"	"1"	"3"	"12"	"0"	"2"	"1"	"0"	"4"	"5"	"8"	"950"	"0"	"4"	"954"	"0"
"164"	"148"	"72"	"518"	"5"	"14"	"4"	"3"	"0"	"1"	"0"	"1"	"2"	"2"	"6"	"2"	"10"	"13"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"1"	"659"	"0"	"3"	"662"	"0"
"165"	"148
A"	"50"	"479"	"8"	"12"	"1"	"4"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"1"	"9"	"5"	"0"	"4"	"1"	"1"	"1"	"1"	"0"	"0"	"2"	"2"	"0"	"1"	"0"	"585"	"0"	"3"	"588"	"0"
"166"	"149"	"254"	"205"	"7"	"62"	"3"	"28"	"1"	"1"	"6"	"2"	"0"	"3"	"17"	"7"	"10"	"17"	"2"	"3"	"2"	"2"	"2"	"4"	"2"	"0"	"1"	"0"	"0"	"4"	"2"	"647"	"0"	"10"	"657"	"0"
"167"	"150"	"222"	"119"	"11"	"175"	"4"	"25"	"0"	"1"	"1"	"1"	"0"	"3"	"6"	"2"	"1"	"3"	"5"	"2"	"0"	"4"	"1"	"3"	"1"	"1"	"0"	"1"	"2"	"2"	"1"	"597"	"0"	"2"	"599"	"0"
"168"	"151"	"159"	"232"	"3"	"63"	"2"	"8"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"476"	"0"	"1"	"477"	"0"
"169"	"152"	"71"	"263"	"4"	"28"	"1"	"14"	"0"	"1"	"2"	"2"	"0"	"2"	"10"	"3"	"4"	"4"	"22"	"2"	"2"	"1"	"0"	"8"	"0"	"0"	"4"	"3"	"0"	"3"	"3"	"457"	"0"	"6"	"463"	"0"
"170"	"153"	"29"	"679"	"4"	"31"	"4"	"10"	"1"	"1"	"3"	"2"	"0"	"0"	"1"	"2"	"1"	"4"	"1"	"3"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"779"	"0"	"1"	"780"	"0"
"171"	"154"	"14"	"503"	"7"	"59"	"4"	"21"	"5"	"2"	"2"	"1"	"1"	"3"	"7"	"2"	"6"	"3"	"15"	"3"	"0"	"2"	"1"	"4"	"0"	"0"	"0"	"0"	"2"	"2"	"1"	"670"	"0"	"2"	"672"	"0"
"172"	"155"	"16"	"474"	"3"	"11"	"10"	"12"	"2"	"0"	"2"	"1"	"0"	"1"	"6"	"3"	"16"	"11"	"5"	"10"	"0"	"1"	"1"	"11"	"0"	"4"	"3"	"3"	"0"	"2"	"9"	"617"	"0"	"8"	"625"	"0"
"173"	"156"	"211"	"435"	"10"	"125"	"6"	"31"	"6"	"4"	"0"	"2"	"3"	"9"	"6"	"12"	"16"	"26"	"47"	"7"	"2"	"5"	"2"	"13"	"0"	"3"	"4"	"1"	"3"	"2"	"5"	"996"	"0"	"11"	"100
7"	"0"
"174"	"157"	"289"	"279"	"11"	"101"	"5"	"29"	"5"	"2"	"5"	"1"	"2"	"4"	"13"	"13"	"15"	"26"	"13"	"11"	"7"	"7"	"5"	"27"	"4"	"10"	"4"	"5"	"4"	"12"	"15"	"924"	"0"	"34"	"958"	"0"
"175"	"158"	"87"	"336"	"7"	"59"	"14"	"22"	"5"	"7"	"3"	"9"	"4"	"4"	"9"	"6"	"11"	"16"	"13"	"1"	"0"	"3"	"0"	"7"	"1"	"3"	"1"	"0"	"2"	"3"	"0"	"633"	"0"	"6"	"639"	"0"
"176"	"159"	"248"	"404"	"20"	"137"	"9"	"27"	"4"	"2"	"3"	"5"	"6"	"3"	"5"	"1"	"4"	"7"	"17"	"3"	"2"	"0"	"2"	"7"	"0"	"0"	"1"	"2"	"2"	"5"	"2"	"928"	"0"	"5"	"933"	"0"
"177"	"160"	"124"	"229"	"4"	"28"	"2"	"17"	"2"	"3"	"1"	"5"	"2"	"1"	"5"	"6"	"5"	"9"	"6"	"2"	"3"	"3"	"2"	"5"	"2"	"3"	"2"	"0"	"2"	"5"	"4"	"482"	"0"	"7"	"489"	"0"
"178"	"161"	"50"	"376"	"7"	"24"	"5"	"11"	"3"	"4"	"3"	"0"	"1"	"6"	"5"	"2"	"9"	"12"	"4"	"3"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"4"	"2"	"534"	"0"	"4"	"538"	"0"
"179"	"162"	"40"	"133"	"2"	"66"	"3"	"15"	"3"	"3"	"1"	"1"	"4"	"4"	"4"	"2"	"5"	"6"	"1"	"1"	"0"	"1"	"1"	"4"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"304"	"0"	"5"	"309"	"0"
"180"	"163"	"104"	"121"	"2"	"77"	"4"	"24"	"5"	"1"	"0"	"1"	"1"	"1"	"5"	"3"	"3"	"14"	"4"	"0"	"1"	"5"	"1"	"4"	"2"	"0"	"2"	"0"	"4"	"4"	"1"	"394"	"0"	"6"	"400"	"0"
"181"	"164"	"75"	"140"	"3"	"8"	"2"	"0"	"3"	"2"	"1"	"1"	"0"	"0"	"1"	"1"	"4"	"8"	"2"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"256"	"0"	"1"	"257"	"0"
"182"	"165"	"174"	"204"	"8"	"153"	"5"	"29"	"2"	"0"	"3"	"3"	"6"	"2"	"9"	"7"	"2"	"8"	"10"	"2"	"2"	"12"	"2"	"12"	"0"	"10"	"3"	"11"	"14"	"4"	"7"	"704"	"0"	"6"	"710"	"0"
"183"	"166"	"50"	"537"	"15"	"65"	"6"	"16"	"1"	"4"	"4"	"5"	"2"	"12"	"9"	"9"	"18"	"43"	"1"	"8"	"4"	"0"	"0"	"13"	"0"	"3"	"2"	"3"	"1"	"6"	"1"	"838"	"0"	"3"	"841"	"0"
"184"	"167"	"41"	"362"	"19"	"48"	"7"	"8"	"1"	"0"	"0"	"2"	"2"	"3"	"7"	"3"	"4"	"17"	"0"	"4"	"2"	"4"	"0"	"7"	"1"	"0"	"1"	"2"	"0"	"0"	"6"	"551"	"0"	"5"	"556"	"0"
"185"	"168"	"188"	"183"	"8"	"105"	"0"	"15"	"3"	"1"	"4"	"4"	"4"	"3"	"6"	"5"	"6"	"28"	"11"	"6"	"2"	"1"	"3"	"5"	"1"	"6"	"3"	"3"	"2"	"6"	"4"	"616"	"0"	"17"	"633"	"0"
"186"	"169"	"31"	"186"	"5"	"51"	"7"	"15"	"1"	"3"	"0"	"1"	"3"	"0"	"3"	"1"	"8"	"10"	"5"	"3"	"2"	"4"	"1"	"15"	"0"	"1"	"1"	"6"	"0"	"0"	"6"	"369"	"0"	"11"	"380"	"0"
"187"	"170"	"381"	"66"	"1"	"16"	"1"	"6"	"5"	"0"	"1"	"5"	"1"	"9"	"2"	"3"	"5"	"20"	"5"	"5"	"4"	"3"	"1"	"1"	"0"	"3"	"5"	"1"	"3"	"0"	"3"	"556"	"0"	"8"	"564"	"0"
"188"	"171"	"61"	"273"	"11"	"7"	"2"	"7"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"8"	"7"	"9"	"3"	"2"	"0"	"18"	"1"	"1"	"4"	"1"	"1"	"7"	"11"	"438"	"0"	"17"	"455"	"0"
"189"	"172"	"668"	"55"	"2"	"9"	"3"	"3"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"758"	"0"	"2"	"760"	"0"
"190"	"173"	"87"	"156"	"8"	"30"	"1"	"30"	"2"	"7"	"2"	"4"	"1"	"5"	"4"	"4"	"6"	"12"	"5"	"7"	"4"	"4"	"5"	"19"	"1"	"5"	"5"	"6"	"3"	"6"	"15"	"444"	"0"	"19"	"463"	"0"
