"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"138"	"121"	"59"	"1"	"95"	"465"	"6"	"5"	"0"	"1"	"4"	"2"	"2"	"1"	"2"	"0"	"0"	"7"	"7"	"2"	"659"	"0"	"12"	"671"	"0"
"139"	"122"	"12"	"0"	"40"	"156"	"0"	"2"	"0"	"1"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"0"	"2"	"221"	"0"
"140"	"123"	"57"	"11"	"274"	"326"	"7"	"22"	"3"	"2"	"6"	"3"	"1"	"5"	"6"	"2"	"3"	"19"	"1"	"3"	"751"	"0"	"6"	"757"	"0"
"141"	"124"	"15"	"1"	"115"	"671"	"10"	"2"	"1"	"0"	"9"	"3"	"0"	"2"	"6"	"1"	"0"	"7"	"2"	"4"	"849"	"0"	"5"	"854"	"0"
"142"	"125"	"21"	"9"	"428"	"206"	"5"	"2"	"9"	"3"	"3"	"1"	"3"	"4"	"18"	"6"	"6"	"21"	"3"	"7"	"755"	"0"	"16"	"771"	"0"
"143"	"126"	"30"	"3"	"116"	"689"	"15"	"4"	"1"	"1"	"5"	"3"	"4"	"5"	"6"	"5"	"8"	"25"	"11"	"9"	"940"	"0"	"15"	"955"	"0"
"144"	"127"	"24"	"0"	"77"	"435"	"7"	"4"	"1"	"0"	"1"	"0"	"0"	"1"	"2"	"1"	"2"	"12"	"1"	"0"	"568"	"0"	"2"	"570"	"0"
"145"	"128"	"55"	"0"	"24"	"243"	"1"	"0"	"2"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"330"	"0"	"2"	"332"	"0"
"146"	"129"	"121"	"2"	"243"	"451"	"4"	"3"	"0"	"1"	"12"	"0"	"2"	"5"	"4"	"2"	"1"	"6"	"7"	"1"	"865"	"0"	"6"	"871"	"0"
"147"	"130"	"196"	"5"	"107"	"217"	"9"	"1"	"0"	"2"	"5"	"0"	"1"	"4"	"5"	"2"	"3"	"23"	"5"	"0"	"585"	"0"	"3"	"588"	"0"
"148"	"131"	"114"	"4"	"107"	"269"	"3"	"4"	"1"	"0"	"6"	"0"	"3"	"3"	"9"	"3"	"2"	"12"	"4"	"0"	"544"	"0"	"3"	"547"	"0"
"149"	"132"	"64"	"0"	"56"	"352"	"1"	"0"	"0"	"2"	"3"	"0"	"1"	"0"	"3"	"1"	"0"	"4"	"0"	"1"	"488"	"0"	"9"	"497"	"0"
"150"	"133"	"42"	"4"	"216"	"130"	"3"	"0"	"0"	"3"	"4"	"1"	"0"	"2"	"7"	"2"	"0"	"8"	"0"	"0"	"422"	"0"	"1"	"423"	"0"
"151"	"134"	"40"	"1"	"125"	"420"	"8"	"1"	"8"	"0"	"2"	"1"	"0"	"1"	"0"	"0"	"4"	"2"	"0"	"0"	"613"	"0"	"1"	"614"	"0"
"152"	"135"	"18"	"0"	"50"	"436"	"2"	"0"	"1"	"0"	"9"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"5"	"3"	"527"	"0"	"3"	"530"	"0"
"153"	"136"	"15"	"4"	"254"	"458"	"3"	"3"	"1"	"4"	"9"	"2"	"6"	"5"	"7"	"8"	"5"	"9"	"1"	"1"	"795"	"0"	"1"	"796"	"0"
"154"	"137"	"18"	"0"	"66"	"433"	"2"	"2"	"2"	"1"	"5"	"1"	"1"	"2"	"1"	"2"	"0"	"2"	"0"	"0"	"538"	"0"	"1"	"539"	"0"
"155"	"138"	"65"	"8"	"285"	"207"	"3"	"2"	"1"	"4"	"9"	"6"	"2"	"4"	"10"	"8"	"3"	"8"	"2"	"2"	"629"	"0"	"5"	"634"	"0"
"156"	"139"	"60"	"1"	"78"	"273"	"7"	"0"	"0"	"0"	"3"	"2"	"6"	"1"	"1"	"3"	"1"	"4"	"1"	"0"	"441"	"0"	"3"	"444"	"0"
"157"	"140"	"50"	"4"	"369"	"130"	"2"	"1"	"1"	"2"	"1"	"0"	"2"	"5"	"15"	"4"	"5"	"6"	"0"	"2"	"599"	"0"	"2"	"601"	"0"
"158"	"141"	"35"	"6"	"258"	"493"	"7"	"3"	"1"	"1"	"14"	"1"	"1"	"2"	"13"	"6"	"4"	"9"	"0"	"1"	"855"	"0"	"5"	"860"	"0"
"159"	"142"	"57"	"1"	"128"	"337"	"5"	"2"	"0"	"0"	"2"	"1"	"1"	"3"	"6"	"1"	"1"	"4"	"0"	"1"	"550"	"0"	"0"	"550"	"0"
"160"	"143"	"23"	"1"	"73"	"287"	"4"	"2"	"0"	"0"	"5"	"1"	"1"	"1"	"4"	"3"	"1"	"6"	"1"	"1"	"414"	"0"	"1"	"415"	"0"
"161"	"144"	"60"	"0"	"89"	"271"	"5"	"2"	"2"	"0"	"1"	"2"	"0"	"1"	"3"	"1"	"0"	"3"	"2"	"1"	"443"	"0"	"9"	"452"	"0"
"162"	"145"	"37"	"0"	"80"	"327"	"4"	"1"	"3"	"0"	"1"	"0"	"0"	"1"	"3"	"0"	"2"	"2"	"0"	"1"	"462"	"0"	"2"	"464"	"0"
"163"	"146"	"27"	"0"	"53"	"255"	"4"	"1"	"2"	"0"	"3"	"0"	"0"	"2"	"2"	"0"	"2"	"0"	"6"	"0"	"357"	"0"	"1"	"358"	"0"
"164"	"147"	"50"	"10"	"361"	"156"	"1"	"2"	"0"	"2"	"6"	"1"	"0"	"3"	"8"	"4"	"2"	"7"	"0"	"0"	"613"	"0"	"1"	"614"	"0"
"165"	"148"	"71"	"5"	"135"	"376"	"4"	"2"	"0"	"3"	"5"	"0"	"0"	"2"	"4"	"3"	"1"	"12"	"2"	"0"	"625"	"0"	"4"	"629"	"0"
"166"	"148A"	"66"	"5"	"121"	"261"	"6"	"3"	"0"	"3"	"3"	"2"	"1"	"1"	"12"	"3"	"7"	"10"	"5"	"4"	"513"	"0"	"19"	"532"	"0"
"167"	"149"	"73"	"1"	"79"	"283"	"1"	"0"	"3"	"0"	"7"	"1"	"2"	"0"	"5"	"3"	"1"	"8"	"3"	"0"	"470"	"0"	"1"	"471"	"0"
"168"	"150"	"38"	"1"	"107"	"279"	"4"	"2"	"2"	"1"	"12"	"1"	"1"	"1"	"1"	"3"	"3"	"8"	"6"	"2"	"472"	"0"	"11"	"483"	"0"
"169"	"151"	"48"	"3"	"192"	"336"	"7"	"3"	"6"	"2"	"5"	"1"	"3"	"2"	"12"	"2"	"3"	"19"	"3"	"1"	"648"	"0"	"11"	"659"	"0"
"170"	"152"	"87"	"3"	"174"	"328"	"6"	"1"	"4"	"1"	"13"	"1"	"3"	"8"	"9"	"2"	"7"	"17"	"0"	"2"	"666"	"0"	"3"	"669"	"0"
"171"	"153"	"139"	"14"	"231"	"526"	"13"	"3"	"2"	"4"	"7"	"2"	"4"	"7"	"7"	"5"	"11"	"22"	"5"	"7"	"1009"	"0"	"3"	"1012"	"0"
"172"	"154"	"68"	"1"	"159"	"273"	"0"	"1"	"0"	"4"	"1"	"0"	"1"	"4"	"2"	"3"	"4"	"7"	"3"	"3"	"534"	"0"	"3"	"537"	"0"
"173"	"154A"	"125"	"5"	"150"	"191"	"10"	"1"	"1"	"0"	"3"	"1"	"2"	"2"	"1"	"3"	"3"	"3"	"1"	"0"	"502"	"0"	"3"	"505"	"0"
"174"	"155"	"133"	"12"	"293"	"98"	"3"	"1"	"0"	"1"	"2"	"2"	"3"	"4"	"6"	"5"	"2"	"14"	"6"	"6"	"591"	"0"	"8"	"599"	"0"
"175"	"155A"	"45"	"4"	"249"	"52"	"2"	"0"	"0"	"1"	"0"	"0"	"2"	"2"	"15"	"12"	"3"	"5"	"2"	"0"	"394"	"0"	"3"	"397"	"0"
"176"	"156"	"60"	"10"	"91"	"454"	"7"	"3"	"4"	"1"	"17"	"2"	"7"	"3"	"6"	"6"	"6"	"16"	"6"	"2"	"701"	"0"	"6"	"707"	"0"
"177"	"157"	"173"	"7"	"266"	"46"	"1"	"2"	"1"	"0"	"5"	"4"	"0"	"1"	"7"	"9"	"5"	"15"	"3"	"3"	"548"	"0"	"6"	"554"	"0"
"178"	"158"	"102"	"9"	"370"	"46"	"0"	"1"	"0"	"0"	"3"	"1"	"0"	"1"	"5"	"4"	"5"	"10"	"8"	"10"	"575"	"0"	"19"	"594"	"0"
"179"	"159"	"21"	"2"	"201"	"379"	"11"	"1"	"1"	"1"	"4"	"2"	"5"	"5"	"9"	"0"	"7"	"13"	"2"	"4"	"668"	"0"	"24"	"692"	"0"
"180"	"160"	"154"	"5"	"88"	"134"	"5"	"1"	"1"	"2"	"3"	"2"	"1"	"5"	"5"	"0"	"6"	"23"	"6"	"1"	"442"	"0"	"7"	"449"	"0"
"181"	"161"	"92"	"17"	"140"	"170"	"11"	"2"	"2"	"3"	"12"	"7"	"7"	"6"	"10"	"9"	"9"	"19"	"7"	"6"	"529"	"0"	"10"	"539"	"0"
"182"	"162"	"166"	"14"	"92"	"46"	"2"	"3"	"5"	"4"	"6"	"2"	"2"	"6"	"8"	"9"	"7"	"30"	"21"	"4"	"427"	"0"	"10"	"437"	"0"
"183"	"163"	"3"	"2"	"765"	"26"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"5"	"0"	"1"	"1"	"0"	"808"	"0"	"3"	"811"	"0"
"184"	"164"	"72"	"15"	"409"	"203"	"9"	"1"	"7"	"6"	"7"	"4"	"6"	"5"	"21"	"4"	"4"	"14"	"15"	"13"	"815"	"0"	"9"	"824"	"0"
"185"	"165"	"46"	"8"	"547"	"203"	"8"	"1"	"3"	"3"	"6"	"3"	"3"	"8"	"12"	"13"	"4"	"11"	"4"	"2"	"885"	"0"	"23"	"908"	"0"
"186"	"166"	"169"	"0"	"147"	"21"	"2"	"0"	"0"	"0"	"2"	"2"	"2"	"1"	"5"	"1"	"0"	"10"	"22"	"3"	"387"	"0"	"9"	"396"	"0"
"187"	"167"	"15"	"1"	"13"	"346"	"5"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"6"	"0"	"6"	"7"	"2"	"0"	"404"	"0"	"5"	"409"	"0"
"188"	"168"	"8"	"19"	"206"	"157"	"5"	"3"	"3"	"3"	"4"	"0"	"2"	"3"	"15"	"12"	"4"	"17"	"4"	"3"	"468"	"0"	"1"	"469"	"0"
"189"	"169"	"33"	"20"	"290"	"154"	"2"	"1"	"2"	"2"	"2"	"5"	"4"	"0"	"9"	"2"	"1"	"2"	"3"	"1"	"533"	"0"	"0"	"533"	"0"
"190"	"170"	"101"	"2"	"155"	"374"	"8"	"4"	"1"	"2"	"5"	"2"	"1"	"10"	"13"	"6"	"5"	"31"	"2"	"1"	"723"	"0"	"7"	"730"	"0"
"191"	"171"	"43"	"2"	"199"	"303"	"6"	"1"	"2"	"3"	"6"	"1"	"1"	"4"	"12"	"8"	"3"	"18"	"3"	"0"	"615"	"0"	"6"	"621"	"0"
"192"	"172"	"19"	"4"	"308"	"113"	"3"	"1"	"4"	"1"	"9"	"1"	"0"	"2"	"10"	"11"	"2"	"26"	"12"	"17"	"543"	"0"	"27"	"570"	"0"
"193"	"173"	"13"	"6"	"258"	"197"	"7"	"1"	"1"	"0"	"4"	"4"	"6"	"4"	"19"	"8"	"4"	"16"	"3"	"6"	"557"	"0"	"7"	"564"	"0"
"194"	"174"	"140"	"3"	"167"	"59"	"1"	"5"	"4"	"1"	"2"	"3"	"3"	"6"	"12"	"3"	"1"	"9"	"4"	"0"	"423"	"0"	"6"	"429"	"0"
"195"	"175"	"12"	"3"	"666"	"18"	"1"	"0"	"1"	"2"	"0"	"1"	"2"	"1"	"6"	"4"	"5"	"1"	"1"	"5"	"729"	"0"	"2"	"731"	"0"
"196"	"176"	"46"	"2"	"302"	"142"	"11"	"2"	"4"	"3"	"10"	"3"	"5"	"8"	"18"	"8"	"8"	"9"	"1"	"1"	"583"	"0"	"2"	"585"	"0"
"197"	"177"	"139"	"7"	"125"	"179"	"5"	"3"	"3"	"4"	"13"	"6"	"5"	"6"	"9"	"8"	"5"	"25"	"9"	"3"	"554"	"0"	"6"	"560"	"0"
"198"	"178"	"58"	"7"	"273"	"186"	"11"	"5"	"2"	"2"	"3"	"4"	"4"	"2"	"13"	"8"	"2"	"14"	"2"	"2"	"598"	"0"	"3"	"601"	"0"
"199"	"179"	"51"	"5"	"218"	"219"	"9"	"3"	"0"	"0"	"3"	"1"	"2"	"6"	"5"	"11"	"7"	"14"	"3"	"0"	"557"	"0"	"3"	"560"	"0"
"200"	"180"	"44"	"9"	"214"	"120"	"5"	"1"	"2"	"0"	"1"	"3"	"6"	"1"	"9"	"2"	"1"	"3"	"9"	"3"	"433"	"0"	"4"	"437"	"0"
"201"	"181"	"69"	"3"	"152"	"490"	"14"	"3"	"3"	"2"	"2"	"1"	"4"	"6"	"13"	"6"	"4"	"9"	"1"	"0"	"782"	"0"	"3"	"785"	"0"
"202"	"182"	"289"	"39"	"215"	"202"	"15"	"6"	"8"	"3"	"9"	"8"	"13"	"20"	"26"	"10"	"17"	"70"	"8"	"2"	"960"	"0"	"3"	"963"	"0"
"203"	"183"	"236"	"1"	"44"	"230"	"8"	"1"	"1"	"2"	"4"	"1"	"1"	"2"	"3"	"1"	"1"	"12"	"5"	"2"	"555"	"0"	"5"	"560"	"0"
"204"	"184"	"251"	"3"	"182"	"210"	"8"	"0"	"0"	"1"	"5"	"4"	"2"	"3"	"9"	"1"	"4"	"12"	"6"	"0"	"701"	"0"	"1"	"702"	"0"
"205"	"185"	"46"	"6"	"279"	"68"	"6"	"2"	"4"	"4"	"3"	"3"	"8"	"4"	"29"	"7"	"9"	"17"	"3"	"4"	"502"	"0"	"4"	"506"	"0"
"206"	"186"	"48"	"3"	"179"	"67"	"0"	"4"	"4"	"2"	"3"	"3"	"1"	"6"	"11"	"2"	"9"	"11"	"3"	"3"	"359"	"0"	"11"	"370"	"0"
"207"	"187"	"154"	"9"	"339"	"135"	"11"	"1"	"1"	"7"	"8"	"3"	"2"	"8"	"9"	"9"	"5"	"24"	"6"	"0"	"731"	"0"	"6"	"737"	"0"
"208"	"188"	"202"	"4"	"48"	"300"	"4"	"1"	"1"	"1"	"5"	"1"	"2"	"5"	"2"	"1"	"4"	"10"	"1"	"0"	"592"	"0"	"2"	"594"	"0"
"209"	"189"	"157"	"6"	"143"	"174"	"3"	"1"	"1"	"3"	"5"	"5"	"4"	"4"	"8"	"5"	"4"	"24"	"14"	"5"	"566"	"0"	"12"	"578"	"0"
"210"	"190"	"128"	"6"	"113"	"219"	"5"	"6"	"1"	"3"	"6"	"4"	"2"	"6"	"10"	"3"	"8"	"24"	"1"	"2"	"547"	"0"	"6"	"553"	"0"
"211"	"191"	"104"	"0"	"52"	"71"	"0"	"1"	"1"	"1"	"2"	"0"	"0"	"3"	"3"	"5"	"3"	"12"	"5"	"1"	"264"	"0"	"3"	"267"	"0"
"212"	"192"	"97"	"1"	"135"	"40"	"5"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"2"	"2"	"2"	"7"	"1"	"0"	"296"	"0"	"0"	"296"	"0"
"213"	"193"	"208"	"3"	"130"	"88"	"3"	"0"	"3"	"1"	"3"	"4"	"4"	"4"	"8"	"6"	"1"	"26"	"6"	"0"	"498"	"0"	"9"	"507"	"0"
"214"	"194"	"364"	"4"	"31"	"35"	"1"	"0"	"0"	"1"	"3"	"1"	"3"	"5"	"6"	"0"	"0"	"20"	"10"	"5"	"489"	"0"	"1"	"490"	"0"
"215"	"195"	"171"	"40"	"115"	"185"	"6"	"0"	"0"	"2"	"7"	"0"	"1"	"3"	"7"	"4"	"2"	"12"	"0"	"0"	"555"	"0"	"2"	"557"	"0"
"216"	"196"	"22"	"4"	"119"	"306"	"7"	"1"	"1"	"0"	"3"	"2"	"2"	"1"	"5"	"1"	"0"	"4"	"1"	"0"	"479"	"0"	"6"	"485"	"0"
"217"	"197"	"30"	"4"	"225"	"149"	"3"	"2"	"1"	"1"	"5"	"3"	"1"	"2"	"10"	"6"	"3"	"8"	"4"	"5"	"462"	"0"	"15"	"477"	"0"
"218"	"198"	"4"	"2"	"119"	"150"	"3"	"0"	"1"	"1"	"1"	"0"	"1"	"2"	"2"	"0"	"0"	"2"	"0"	"1"	"289"	"0"	"0"	"289"	"0"
"219"	"199"	"44"	"5"	"322"	"131"	"6"	"2"	"0"	"2"	"2"	"0"	"1"	"5"	"8"	"9"	"3"	"16"	"2"	"4"	"562"	"0"	"15"	"577"	"0"
"220"	"200"	"20"	"16"	"362"	"49"	"5"	"5"	"0"	"2"	"3"	"3"	"5"	"1"	"15"	"7"	"8"	"8"	"0"	"1"	"510"	"0"	"8"	"518"	"0"
"221"	"201"	"85"	"22"	"153"	"63"	"3"	"1"	"1"	"3"	"2"	"2"	"6"	"2"	"12"	"6"	"9"	"24"	"2"	"1"	"397"	"0"	"5"	"402"	"0"
"222"	"202"	"100"	"6"	"346"	"43"	"3"	"0"	"2"	"4"	"7"	"6"	"5"	"4"	"23"	"16"	"4"	"16"	"6"	"4"	"595"	"0"	"8"	"603"	"0"
"223"	"203"	"179"	"7"	"71"	"258"	"7"	"3"	"2"	"2"	"3"	"1"	"1"	"2"	"5"	"1"	"8"	"9"	"16"	"18"	"593"	"0"	"34"	"627"	"0"
"224"	"204"	"49"	"1"	"75"	"124"	"2"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"2"	"0"	"0"	"0"	"5"	"262"	"0"	"2"	"264"	"0"
"225"	"205"	"14"	"49"	"297"	"217"	"9"	"1"	"5"	"3"	"4"	"0"	"4"	"5"	"17"	"6"	"8"	"20"	"3"	"10"	"672"	"0"	"13"	"685"	"0"
"226"	"206"	"88"	"15"	"202"	"213"	"11"	"2"	"1"	"4"	"7"	"4"	"4"	"4"	"15"	"2"	"6"	"20"	"13"	"4"	"615"	"0"	"10"	"625"	"0"
"227"	"207"	"61"	"1"	"37"	"161"	"6"	"0"	"0"	"1"	"6"	"1"	"1"	"0"	"0"	"3"	"1"	"1"	"2"	"0"	"282"	"0"	"3"	"285"	"0"
"228"	"208"	"199"	"0"	"20"	"49"	"0"	"0"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"9"	"0"	"282"	"0"	"0"	"282"	"0"
"229"	"209"	"158"	"1"	"25"	"86"	"4"	"4"	"1"	"1"	"3"	"0"	"2"	"1"	"3"	"5"	"3"	"20"	"12"	"2"	"331"	"0"	"4"	"335"	"0"
"230"	"210"	"18"	"5"	"100"	"292"	"5"	"4"	"5"	"3"	"4"	"2"	"3"	"9"	"21"	"7"	"5"	"23"	"7"	"9"	"522"	"0"	"16"	"538"	"0"
"231"	"211"	"40"	"3"	"102"	"235"	"11"	"1"	"1"	"3"	"1"	"0"	"0"	"1"	"3"	"1"	"1"	"3"	"4"	"5"	"415"	"0"	"6"	"421"	"0"
"232"	"212"	"142"	"7"	"56"	"210"	"5"	"4"	"0"	"3"	"5"	"1"	"3"	"5"	"5"	"2"	"3"	"15"	"12"	"2"	"480"	"0"	"5"	"485"	"0"
"233"	"213"	"70"	"5"	"184"	"71"	"4"	"2"	"1"	"0"	"0"	"3"	"0"	"2"	"2"	"3"	"4"	"10"	"6"	"1"	"368"	"0"	"2"	"370"	"0"
"234"	"214"	"23"	"7"	"308"	"40"	"1"	"2"	"0"	"2"	"0"	"4"	"1"	"7"	"10"	"7"	"4"	"4"	"1"	"1"	"422"	"0"	"28"	"450"	"0"
"235"	"215"	"40"	"3"	"172"	"264"	"3"	"0"	"5"	"0"	"1"	"8"	"3"	"0"	"3"	"2"	"0"	"4"	"1"	"0"	"509"	"0"	"5"	"514"	"0"
"236"	"216"	"80"	"75"	"287"	"109"	"8"	"4"	"3"	"2"	"1"	"2"	"1"	"5"	"12"	"2"	"8"	"16"	"3"	"0"	"618"	"0"	"6"	"624"	"0"
"237"	"217"	"122"	"22"	"353"	"128"	"6"	"4"	"3"	"4"	"10"	"4"	"8"	"12"	"24"	"13"	"12"	"21"	"6"	"4"	"756"	"0"	"5"	"761"	"0"
"238"	"218"	"41"	"11"	"293"	"152"	"12"	"6"	"3"	"7"	"5"	"6"	"4"	"5"	"26"	"10"	"11"	"17"	"1"	"6"	"616"	"0"	"18"	"634"	"0"
"239"	"219"	"53"	"13"	"375"	"107"	"5"	"0"	"2"	"3"	"9"	"5"	"2"	"1"	"11"	"8"	"6"	"13"	"2"	"2"	"617"	"0"	"14"	"631"	"0"
"240"	"220"	"49"	"8"	"328"	"126"	"6"	"1"	"0"	"2"	"10"	"1"	"1"	"5"	"20"	"6"	"3"	"14"	"1"	"1"	"582"	"0"	"10"	"592"	"0"
"241"	"221"	"147"	"1"	"34"	"92"	"1"	"0"	"2"	"0"	"4"	"0"	"2"	"2"	"1"	"3"	"5"	"6"	"6"	"2"	"308"	"0"	"0"	"308"	"0"
"242"	"222"	"164"	"10"	"210"	"120"	"2"	"2"	"1"	"1"	"3"	"0"	"3"	"2"	"14"	"12"	"11"	"29"	"9"	"3"	"596"	"0"	"11"	"607"	"0"
"243"	"223"	"83"	"28"	"165"	"173"	"5"	"4"	"2"	"0"	"6"	"3"	"8"	"11"	"11"	"4"	"9"	"9"	"1"	"0"	"522"	"0"	"1"	"523"	"0"
"244"	"224"	"20"	"1"	"113"	"412"	"17"	"1"	"1"	"2"	"3"	"2"	"0"	"4"	"7"	"6"	"3"	"16"	"0"	"1"	"609"	"0"	"8"	"617"	"0"
"245"	"225"	"34"	"6"	"148"	"210"	"6"	"4"	"0"	"2"	"12"	"0"	"2"	"5"	"7"	"3"	"1"	"8"	"0"	"0"	"448"	"0"	"1"	"449"	"0"
"246"	"226"	"8"	"3"	"169"	"66"	"2"	"2"	"0"	"1"	"1"	"0"	"0"	"2"	"2"	"2"	"4"	"3"	"8"	"7"	"280"	"0"	"35"	"315"	"0"
"247"	"227"	"44"	"4"	"249"	"223"	"17"	"4"	"0"	"5"	"5"	"1"	"6"	"4"	"16"	"8"	"3"	"21"	"2"	"1"	"613"	"0"	"1"	"614"	"0"
"248"	"228"	"29"	"43"	"70"	"361"	"11"	"3"	"3"	"0"	"3"	"3"	"1"	"4"	"4"	"2"	"4"	"9"	"2"	"1"	"553"	"0"	"3"	"556"	"0"
"249"	"229"	"70"	"2"	"135"	"400"	"17"	"3"	"3"	"2"	"6"	"3"	"1"	"6"	"15"	"6"	"7"	"22"	"4"	"5"	"707"	"0"	"9"	"716"	"0"
"250"	"230"	"35"	"3"	"83"	"216"	"11"	"4"	"2"	"2"	"4"	"2"	"1"	"5"	"8"	"6"	"2"	"13"	"1"	"0"	"398"	"0"	"3"	"401"	"0"
"251"	"231"	"10"	"6"	"512"	"46"	"8"	"1"	"2"	"2"	"0"	"3"	"2"	"5"	"13"	"4"	"2"	"5"	"2"	"7"	"630"	"0"	"12"	"642"	"0"
"252"	"232"	"53"	"4"	"171"	"16"	"0"	"0"	"0"	"2"	"2"	"3"	"0"	"1"	"7"	"9"	"2"	"21"	"2"	"1"	"294"	"0"	"4"	"298"	"0"
"253"	"233"	"92"	"12"	"278"	"92"	"8"	"2"	"1"	"2"	"7"	"1"	"2"	"3"	"13"	"6"	"4"	"7"	"7"	"3"	"540"	"0"	"4"	"544"	"0"
"254"	"234"	"113"	"3"	"105"	"191"	"4"	"2"	"1"	"0"	"2"	"1"	"1"	"3"	"11"	"1"	"4"	"14"	"2"	"0"	"458"	"0"	"0"	"458"	"0"
"255"	"235"	"36"	"7"	"333"	"119"	"12"	"2"	"5"	"2"	"6"	"3"	"2"	"5"	"12"	"3"	"4"	"11"	"8"	"6"	"576"	"0"	"16"	"592"	"0"
"256"	"236"	"74"	"4"	"179"	"206"	"9"	"1"	"3"	"3"	"3"	"3"	"2"	"5"	"12"	"10"	"2"	"11"	"1"	"2"	"530"	"0"	"3"	"533"	"0"
"257"	"237"	"294"	"4"	"73"	"163"	"2"	"2"	"1"	"0"	"3"	"5"	"1"	"2"	"3"	"1"	"2"	"22"	"8"	"2"	"588"	"0"	"4"	"592"	"0"
"258"	"238"	"579"	"6"	"65"	"105"	"4"	"3"	"0"	"1"	"9"	"4"	"5"	"7"	"9"	"5"	"8"	"47"	"32"	"5"	"894"	"0"	"11"	"905"	"0"
"259"	"239"	"176"	"6"	"268"	"72"	"5"	"1"	"1"	"2"	"4"	"1"	"2"	"4"	"9"	"1"	"3"	"10"	"1"	"3"	"569"	"0"	"1"	"570"	"0"
"260"	"240"	"298"	"30"	"50"	"110"	"5"	"3"	"3"	"0"	"10"	"1"	"1"	"6"	"3"	"1"	"5"	"22"	"8"	"3"	"559"	"0"	"5"	"564"	"0"
"261"	"241"	"272"	"3"	"47"	"60"	"0"	"2"	"4"	"2"	"10"	"4"	"2"	"8"	"4"	"2"	"9"	"45"	"14"	"3"	"491"	"0"	"9"	"500"	"0"
"262"	"242"	"359"	"3"	"61"	"108"	"3"	"2"	"3"	"0"	"4"	"3"	"4"	"8"	"2"	"1"	"4"	"31"	"12"	"3"	"611"	"0"	"3"	"614"	"0"
"263"	"243"	"248"	"1"	"90"	"113"	"4"	"2"	"1"	"1"	"8"	"3"	"0"	"3"	"5"	"3"	"6"	"21"	"14"	"2"	"525"	"0"	"3"	"528"	"0"
"264"	"244"	"76"	"113"	"131"	"474"	"9"	"4"	"4"	"5"	"3"	"3"	"2"	"4"	"9"	"4"	"6"	"13"	"5"	"6"	"871"	"0"	"21"	"892"	"0"
"265"	"245"	"68"	"22"	"492"	"164"	"10"	"6"	"5"	"2"	"11"	"8"	"6"	"4"	"23"	"11"	"11"	"24"	"9"	"2"	"878"	"0"	"20"	"898"	"0"
"266"	"246"	"28"	"4"	"155"	"239"	"4"	"3"	"0"	"2"	"3"	"3"	"1"	"2"	"7"	"3"	"4"	"7"	"2"	"1"	"468"	"0"	"3"	"471"	"0"
"267"	"247"	"17"	"3"	"76"	"251"	"6"	"1"	"2"	"1"	"3"	"2"	"0"	"6"	"7"	"2"	"2"	"3"	"2"	"1"	"385"	"0"	"3"	"388"	"0"
"268"	"248"	"88"	"3"	"158"	"53"	"0"	"2"	"2"	"1"	"1"	"1"	"1"	"6"	"9"	"4"	"3"	"8"	"8"	"5"	"353"	"0"	"14"	"367"	"0"
"269"	"249"	"60"	"1"	"95"	"269"	"8"	"5"	"1"	"0"	"1"	"0"	"3"	"2"	"5"	"3"	"3"	"13"	"2"	"2"	"473"	"0"	"9"	"482"	"0"
"270"	"250"	"95"	"5"	"181"	"55"	"5"	"3"	"0"	"3"	"4"	"5"	"1"	"4"	"4"	"9"	"3"	"19"	"4"	"1"	"401"	"0"	"4"	"405"	"0"
"271"	"251"	"137"	"2"	"208"	"124"	"11"	"2"	"2"	"1"	"2"	"5"	"0"	"2"	"10"	"3"	"1"	"6"	"1"	"0"	"517"	"0"	"0"	"517"	"0"
"272"	"252"	"8"	"13"	"537"	"96"	"1"	"2"	"0"	"1"	"3"	"0"	"2"	"3"	"14"	"8"	"6"	"14"	"4"	"7"	"719"	"0"	"24"	"743"	"0"
"273"	"253"	"27"	"33"	"342"	"82"	"3"	"2"	"0"	"1"	"4"	"3"	"1"	"2"	"5"	"2"	"0"	"1"	"0"	"1"	"509"	"0"	"3"	"512"	"0"
"274"	"254"	"109"	"9"	"355"	"330"	"15"	"7"	"3"	"2"	"8"	"3"	"3"	"0"	"9"	"2"	"1"	"6"	"4"	"5"	"871"	"0"	"3"	"874"	"0"
"275"	"255"	"32"	"42"	"551"	"112"	"5"	"4"	"2"	"2"	"2"	"1"	"0"	"1"	"12"	"2"	"1"	"3"	"1"	"4"	"777"	"0"	"8"	"785"	"0"
