District	Assembly_Id	Assembly_Name	Parliamentary_Name	Development_Parameter	Development_Parameter_Score
DARBHANGA	87	JALE	MADHUBANI	COMMUNAL POLARISATION	5
MADHUBANI 	31	HARLAKHI	MADHUBANI	ELECTRICITY	3
MADHUBANI 	31	HARLAKHI	MADHUBANI	WATER	4
MADHUBANI 	31	HARLAKHI	MADHUBANI	ROAD	3
MADHUBANI 	31	HARLAKHI	MADHUBANI	HEALTH SERVICES	1
MADHUBANI 	31	HARLAKHI	MADHUBANI	EDUCATION	2
MADHUBANI 	31	HARLAKHI	MADHUBANI	EMPLOYMENT GROWTH	4
MADHUBANI 	31	HARLAKHI	MADHUBANI	PUBLIC TRANSPORT	5
MADHUBANI 	31	HARLAKHI	MADHUBANI	LAW & ORDER	3
MADHUBANI 	31	HARLAKHI	MADHUBANI	CASTE POLARISTION	5
MADHUBANI 	31	HARLAKHI	MADHUBANI	COMMUNAL POLARISATION	4
MADHUBANI 	31	HARLAKHI	MADHUBANI	COMMUNAL POLARISATION	4
MADHUBANI 	32	BENIPATTI	MADHUBANI	ELECTRICITY	3
MADHUBANI 	32	BENIPATTI	MADHUBANI	WATER	4
MADHUBANI 	32	BENIPATTI	MADHUBANI	ROAD	5
MADHUBANI 	32	BENIPATTI	MADHUBANI	HEALTH SERVICES	4
MADHUBANI 	32	BENIPATTI	MADHUBANI	EDUCATION	5
MADHUBANI 	32	BENIPATTI	MADHUBANI	EMPLOYMENT GROWTH	2
MADHUBANI 	32	BENIPATTI	MADHUBANI	PUBLIC TRANSPORT	3
MADHUBANI 	32	BENIPATTI	MADHUBANI	LAW & ORDER	4
MADHUBANI 	32	BENIPATTI	MADHUBANI	CASTE POLARISTION	5
MADHUBANI 	32	BENIPATTI	MADHUBANI	COMMUNAL POLARISATION	6
MADHUBANI 	32	BENIPATTI	MADHUBANI	COMMUNAL POLARISATION	4
MADHUBANI 	33	KHAJAULI	JHANJHARPUR	ELECTRICITY	3
MADHUBANI 	33	KHAJAULI	JHANJHARPUR	WATER	2
MADHUBANI 	33	KHAJAULI	JHANJHARPUR	ROAD	3
MADHUBANI 	33	KHAJAULI	JHANJHARPUR	HEALTH SERVICES	4
MADHUBANI 	33	KHAJAULI	JHANJHARPUR	EDUCATION	5
MADHUBANI 	33	KHAJAULI	JHANJHARPUR	EMPLOYMENT GROWTH	4
MADHUBANI 	33	KHAJAULI	JHANJHARPUR	PUBLIC TRANSPORT	3
MADHUBANI 	33	KHAJAULI	JHANJHARPUR	LAW & ORDER	4
MADHUBANI 	33	KHAJAULI	JHANJHARPUR	CASTE POLARISTION	6
MADHUBANI 	33	KHAJAULI	JHANJHARPUR	COMMUNAL POLARISATION	6
MADHUBANI 	33	KHAJAULI	JHANJHARPUR	COMMUNAL POLARISATION	4
MADHUBANI 	34	BABUBARHI	JHANJHARPUR	ELECTRICITY	1
MADHUBANI 	34	BABUBARHI	JHANJHARPUR	WATER	2
MADHUBANI 	34	BABUBARHI	JHANJHARPUR	ROAD	2
MADHUBANI 	34	BABUBARHI	JHANJHARPUR	HEALTH SERVICES	2
MADHUBANI 	34	BABUBARHI	JHANJHARPUR	EDUCATION	2
MADHUBANI 	34	BABUBARHI	JHANJHARPUR	EMPLOYMENT GROWTH	3
MADHUBANI 	34	BABUBARHI	JHANJHARPUR	PUBLIC TRANSPORT	3
MADHUBANI 	34	BABUBARHI	JHANJHARPUR	LAW & ORDER	4
MADHUBANI 	34	BABUBARHI	JHANJHARPUR	CASTE POLARISTION	5
MADHUBANI 	34	BABUBARHI	JHANJHARPUR	COMMUNAL POLARISATION	5
MADHUBANI 	34	BABUBARHI	JHANJHARPUR	COMMUNAL POLARISATION	2
MADHUBANI 	35	BISFI	MADHUBANI	ELECTRICITY	3
MADHUBANI 	35	BISFI	MADHUBANI	WATER	4
MADHUBANI 	35	BISFI	MADHUBANI	ROAD	4
MADHUBANI 	35	BISFI	MADHUBANI	HEALTH SERVICES	3
MADHUBANI 	35	BISFI	MADHUBANI	EDUCATION	6
MADHUBANI 	35	BISFI	MADHUBANI	EMPLOYMENT GROWTH	4
MADHUBANI 	35	BISFI	MADHUBANI	PUBLIC TRANSPORT	5
MADHUBANI 	35	BISFI	MADHUBANI	LAW & ORDER	5
MADHUBANI 	35	BISFI	MADHUBANI	CASTE POLARISTION	4
MADHUBANI 	35	BISFI	MADHUBANI	COMMUNAL POLARISATION	4
MADHUBANI 	35	BISFI	MADHUBANI	COMMUNAL POLARISATION	3
MADHUBANI 	36	MADHUBANI	MADHUBANI	ELECTRICITY	6
MADHUBANI 	36	MADHUBANI	MADHUBANI	WATER	3
MADHUBANI 	36	MADHUBANI	MADHUBANI	ROAD	6
MADHUBANI 	36	MADHUBANI	MADHUBANI	HEALTH SERVICES	6
MADHUBANI 	36	MADHUBANI	MADHUBANI	EDUCATION	6
MADHUBANI 	36	MADHUBANI	MADHUBANI	EMPLOYMENT GROWTH	6
MADHUBANI 	36	MADHUBANI	MADHUBANI	PUBLIC TRANSPORT	7
MADHUBANI 	36	MADHUBANI	MADHUBANI	LAW & ORDER	7
MADHUBANI 	36	MADHUBANI	MADHUBANI	CASTE POLARISTION	6
MADHUBANI 	36	MADHUBANI	MADHUBANI	COMMUNAL POLARISATION	6
MADHUBANI 	36	MADHUBANI	MADHUBANI	COMMUNAL POLARISATION	6
MADHUBANI 	37	RAJNAGAR	JHANJHARPUR	ELECTRICITY	2
MADHUBANI 	37	RAJNAGAR	JHANJHARPUR	WATER	2
MADHUBANI 	37	RAJNAGAR	JHANJHARPUR	ROAD	2
MADHUBANI 	37	RAJNAGAR	JHANJHARPUR	HEALTH SERVICES	2
MADHUBANI 	37	RAJNAGAR	JHANJHARPUR	EDUCATION	3
MADHUBANI 	37	RAJNAGAR	JHANJHARPUR	EMPLOYMENT GROWTH	3
MADHUBANI 	37	RAJNAGAR	JHANJHARPUR	PUBLIC TRANSPORT	4
MADHUBANI 	37	RAJNAGAR	JHANJHARPUR	LAW & ORDER	3
MADHUBANI 	37	RAJNAGAR	JHANJHARPUR	CASTE POLARISTION	6
MADHUBANI 	37	RAJNAGAR	JHANJHARPUR	COMMUNAL POLARISATION	6
MADHUBANI 	37	RAJNAGAR	JHANJHARPUR	COMMUNAL POLARISATION	3
MADHUBANI 	38	JHANJHARPUR	JHANJHARPUR	ELECTRICITY	3
MADHUBANI 	38	JHANJHARPUR	JHANJHARPUR	WATER	4
MADHUBANI 	38	JHANJHARPUR	JHANJHARPUR	ROAD	4
MADHUBANI 	38	JHANJHARPUR	JHANJHARPUR	HEALTH SERVICES	4
MADHUBANI 	38	JHANJHARPUR	JHANJHARPUR	EDUCATION	5
MADHUBANI 	38	JHANJHARPUR	JHANJHARPUR	EMPLOYMENT GROWTH	5
MADHUBANI 	38	JHANJHARPUR	JHANJHARPUR	PUBLIC TRANSPORT	4
MADHUBANI 	38	JHANJHARPUR	JHANJHARPUR	LAW & ORDER	5
MADHUBANI 	38	JHANJHARPUR	JHANJHARPUR	CASTE POLARISTION	5
MADHUBANI 	38	JHANJHARPUR	JHANJHARPUR	COMMUNAL POLARISATION	6
MADHUBANI 	38	JHANJHARPUR	JHANJHARPUR	COMMUNAL POLARISATION	4
MADHUBANI 	39	PHULPARAS	JHANJHARPUR	ELECTRICITY	4
MADHUBANI 	39	PHULPARAS	JHANJHARPUR	WATER	4
MADHUBANI 	39	PHULPARAS	JHANJHARPUR	ROAD	3
MADHUBANI 	39	PHULPARAS	JHANJHARPUR	HEALTH SERVICES	4
MADHUBANI 	39	PHULPARAS	JHANJHARPUR	EDUCATION	4
MADHUBANI 	39	PHULPARAS	JHANJHARPUR	EMPLOYMENT GROWTH	4
MADHUBANI 	39	PHULPARAS	JHANJHARPUR	PUBLIC TRANSPORT	4
MADHUBANI 	39	PHULPARAS	JHANJHARPUR	LAW & ORDER	5
MADHUBANI 	39	PHULPARAS	JHANJHARPUR	CASTE POLARISTION	4
MADHUBANI 	39	PHULPARAS	JHANJHARPUR	COMMUNAL POLARISATION	4
MADHUBANI 	39	PHULPARAS	JHANJHARPUR	COMMUNAL POLARISATION	5
MADHUBANI 	40	LAUKAHA	JHANJHARPUR	ELECTRICITY	3
MADHUBANI 	40	LAUKAHA	JHANJHARPUR	WATER	3
MADHUBANI 	40	LAUKAHA	JHANJHARPUR	ROAD	3
MADHUBANI 	40	LAUKAHA	JHANJHARPUR	HEALTH SERVICES	3
MADHUBANI 	40	LAUKAHA	JHANJHARPUR	EDUCATION	3
MADHUBANI 	40	LAUKAHA	JHANJHARPUR	EMPLOYMENT GROWTH	3
MADHUBANI 	40	LAUKAHA	JHANJHARPUR	PUBLIC TRANSPORT	3
MADHUBANI 	40	LAUKAHA	JHANJHARPUR	LAW & ORDER	3
MADHUBANI 	40	LAUKAHA	JHANJHARPUR	CASTE POLARISTION	6
MADHUBANI 	40	LAUKAHA	JHANJHARPUR	COMMUNAL POLARISATION	6
MADHUBANI 	40	LAUKAHA	JHANJHARPUR	COMMUNAL POLARISATION	3
SITAMARHI 	23	RIGA	SHEOHAR	ELECTRICITY	3
SITAMARHI 	23	RIGA	SHEOHAR	WATER	3
SITAMARHI 	23	RIGA	SHEOHAR	ROAD	3
SITAMARHI 	23	RIGA	SHEOHAR	HEALTH SERVICES	4
SITAMARHI 	23	RIGA	SHEOHAR	EDUCATION	4
SITAMARHI 	23	RIGA	SHEOHAR	EMPLOYMENT GROWTH	4
SITAMARHI 	23	RIGA	SHEOHAR	PUBLIC TRANSPORT	4
SITAMARHI 	23	RIGA	SHEOHAR	LAW & ORDER	5
SITAMARHI 	23	RIGA	SHEOHAR	CASTE POLARISTION	6
SITAMARHI 	23	RIGA	SHEOHAR	COMMUNAL POLARISATION	6
SITAMARHI 	23	RIGA	SHEOHAR	COMMUNAL POLARISATION	4
SITAMARHI 	24	BATHNAHA	SITAMARHI	ELECTRICITY	3
SITAMARHI 	24	BATHNAHA	SITAMARHI	WATER	4
SITAMARHI 	24	BATHNAHA	SITAMARHI	ROAD	4
SITAMARHI 	24	BATHNAHA	SITAMARHI	HEALTH SERVICES	3
SITAMARHI 	24	BATHNAHA	SITAMARHI	EDUCATION	3
SITAMARHI 	24	BATHNAHA	SITAMARHI	EMPLOYMENT GROWTH	4
SITAMARHI 	24	BATHNAHA	SITAMARHI	PUBLIC TRANSPORT	5
SITAMARHI 	24	BATHNAHA	SITAMARHI	LAW & ORDER	4
SITAMARHI 	24	BATHNAHA	SITAMARHI	CASTE POLARISTION	6
SITAMARHI 	24	BATHNAHA	SITAMARHI	COMMUNAL POLARISATION	7
SITAMARHI 	24	BATHNAHA	SITAMARHI	COMMUNAL POLARISATION	3
SITAMARHI 	25	PARIHAR	SITAMARHI	ELECTRICITY	3
SITAMARHI 	25	PARIHAR	SITAMARHI	WATER	3
SITAMARHI 	25	PARIHAR	SITAMARHI	ROAD	4
SITAMARHI 	25	PARIHAR	SITAMARHI	HEALTH SERVICES	3
SITAMARHI 	25	PARIHAR	SITAMARHI	EDUCATION	4
SITAMARHI 	25	PARIHAR	SITAMARHI	EMPLOYMENT GROWTH	5
SITAMARHI 	25	PARIHAR	SITAMARHI	PUBLIC TRANSPORT	5
SITAMARHI 	25	PARIHAR	SITAMARHI	LAW & ORDER	5
SITAMARHI 	25	PARIHAR	SITAMARHI	CASTE POLARISTION	6
SITAMARHI 	25	PARIHAR	SITAMARHI	COMMUNAL POLARISATION	6
SITAMARHI 	25	PARIHAR	SITAMARHI	COMMUNAL POLARISATION	4
SITAMARHI 	26	SURSAND	SITAMARHI	ELECTRICITY	3
SITAMARHI 	26	SURSAND	SITAMARHI	WATER	3
SITAMARHI 	26	SURSAND	SITAMARHI	ROAD	3
SITAMARHI 	26	SURSAND	SITAMARHI	HEALTH SERVICES	5
SITAMARHI 	26	SURSAND	SITAMARHI	EDUCATION	5
SITAMARHI 	26	SURSAND	SITAMARHI	EMPLOYMENT GROWTH	5
SITAMARHI 	26	SURSAND	SITAMARHI	PUBLIC TRANSPORT	5
SITAMARHI 	26	SURSAND	SITAMARHI	LAW & ORDER	5
SITAMARHI 	26	SURSAND	SITAMARHI	CASTE POLARISTION	6
SITAMARHI 	26	SURSAND	SITAMARHI	COMMUNAL POLARISATION	6
SITAMARHI 	26	SURSAND	SITAMARHI	COMMUNAL POLARISATION	4
SITAMARHI 	27	BAJPATTI	SITAMARHI	ELECTRICITY	3
SITAMARHI 	27	BAJPATTI	SITAMARHI	WATER	3
SITAMARHI 	27	BAJPATTI	SITAMARHI	ROAD	4
SITAMARHI 	27	BAJPATTI	SITAMARHI	HEALTH SERVICES	4
SITAMARHI 	27	BAJPATTI	SITAMARHI	EDUCATION	5
SITAMARHI 	27	BAJPATTI	SITAMARHI	EMPLOYMENT GROWTH	5
SITAMARHI 	27	BAJPATTI	SITAMARHI	PUBLIC TRANSPORT	5
SITAMARHI 	27	BAJPATTI	SITAMARHI	LAW & ORDER	5
SITAMARHI 	27	BAJPATTI	SITAMARHI	CASTE POLARISTION	6
SITAMARHI 	27	BAJPATTI	SITAMARHI	COMMUNAL POLARISATION	6
SITAMARHI 	27	BAJPATTI	SITAMARHI	COMMUNAL POLARISATION	4
SITAMARHI 	28	SITAMARHI	SITAMARHI	ELECTRICITY	3
SITAMARHI 	28	SITAMARHI	SITAMARHI	WATER	5
SITAMARHI 	28	SITAMARHI	SITAMARHI	ROAD	5
SITAMARHI 	28	SITAMARHI	SITAMARHI	HEALTH SERVICES	5
SITAMARHI 	28	SITAMARHI	SITAMARHI	EDUCATION	6
SITAMARHI 	28	SITAMARHI	SITAMARHI	EMPLOYMENT GROWTH	5
SITAMARHI 	28	SITAMARHI	SITAMARHI	PUBLIC TRANSPORT	6
SITAMARHI 	28	SITAMARHI	SITAMARHI	LAW & ORDER	4
SITAMARHI 	28	SITAMARHI	SITAMARHI	CASTE POLARISTION	5
SITAMARHI 	28	SITAMARHI	SITAMARHI	COMMUNAL POLARISATION	6
SITAMARHI 	28	SITAMARHI	SITAMARHI	COMMUNAL POLARISATION	5
SITAMARHI 	29	RUNNISAIDPUR	SITAMARHI	ELECTRICITY	4
SITAMARHI 	29	RUNNISAIDPUR	SITAMARHI	WATER	4
SITAMARHI 	29	RUNNISAIDPUR	SITAMARHI	ROAD	2
SITAMARHI 	29	RUNNISAIDPUR	SITAMARHI	HEALTH SERVICES	4
SITAMARHI 	29	RUNNISAIDPUR	SITAMARHI	EDUCATION	4
SITAMARHI 	29	RUNNISAIDPUR	SITAMARHI	EMPLOYMENT GROWTH	3
SITAMARHI 	29	RUNNISAIDPUR	SITAMARHI	PUBLIC TRANSPORT	4
SITAMARHI 	29	RUNNISAIDPUR	SITAMARHI	LAW & ORDER	4
SITAMARHI 	29	RUNNISAIDPUR	SITAMARHI	CASTE POLARISTION	6
SITAMARHI 	29	RUNNISAIDPUR	SITAMARHI	COMMUNAL POLARISATION	6
SITAMARHI 	29	RUNNISAIDPUR	SITAMARHI	COMMUNAL POLARISATION	4
SITAMARHI 	30	BELSAND	SHEOHAR	ELECTRICITY	4
SITAMARHI 	30	BELSAND	SHEOHAR	WATER	4
SITAMARHI 	30	BELSAND	SHEOHAR	ROAD	3
SITAMARHI 	30	BELSAND	SHEOHAR	HEALTH SERVICES	4
SITAMARHI 	30	BELSAND	SHEOHAR	EDUCATION	4
SITAMARHI 	30	BELSAND	SHEOHAR	EMPLOYMENT GROWTH	5
SITAMARHI 	30	BELSAND	SHEOHAR	PUBLIC TRANSPORT	5
SITAMARHI 	30	BELSAND	SHEOHAR	LAW & ORDER	5
SITAMARHI 	30	BELSAND	SHEOHAR	CASTE POLARISTION	7
SITAMARHI 	30	BELSAND	SHEOHAR	COMMUNAL POLARISATION	7
SITAMARHI 	30	BELSAND	SHEOHAR	COMMUNAL POLARISATION	3
BHAGALPUR 	155	KAHALGAON	BHAGALPUR	ELECTRICITY	9
BHAGALPUR 	155	KAHALGAON	BHAGALPUR	WATER	5
BHAGALPUR 	155	KAHALGAON	BHAGALPUR	ROAD	4
BHAGALPUR 	155	KAHALGAON	BHAGALPUR	HEALTH SERVICES	5
BHAGALPUR 	155	KAHALGAON	BHAGALPUR	EDUCATION	3
BHAGALPUR 	155	KAHALGAON	BHAGALPUR	EMPLOYMENT GROWTH	2
BHAGALPUR 	155	KAHALGAON	BHAGALPUR	PUBLIC TRANSPORT	4
BHAGALPUR 	155	KAHALGAON	BHAGALPUR	LAW & ORDER	5
BHAGALPUR 	155	KAHALGAON	BHAGALPUR	CASTE POLARISTION	5
BHAGALPUR 	155	KAHALGAON	BHAGALPUR	COMMUNAL POLARISATION	2
BHAGALPUR 	155	KAHALGAON	BHAGALPUR	COMMUNAL POLARISATION	3
BHAGALPUR 	156	BHAGALPUR	BHAGALPUR	ELECTRICITY	4
BHAGALPUR 	156	BHAGALPUR	BHAGALPUR	WATER	5
BHAGALPUR 	156	BHAGALPUR	BHAGALPUR	ROAD	8
BHAGALPUR 	156	BHAGALPUR	BHAGALPUR	HEALTH SERVICES	6
BHAGALPUR 	156	BHAGALPUR	BHAGALPUR	EDUCATION	8
BHAGALPUR 	156	BHAGALPUR	BHAGALPUR	EMPLOYMENT GROWTH	5
BHAGALPUR 	156	BHAGALPUR	BHAGALPUR	PUBLIC TRANSPORT	4
BHAGALPUR 	156	BHAGALPUR	BHAGALPUR	LAW & ORDER	8
BHAGALPUR 	156	BHAGALPUR	BHAGALPUR	CASTE POLARISTION	7
BHAGALPUR 	156	BHAGALPUR	BHAGALPUR	COMMUNAL POLARISATION	9
BHAGALPUR 	156	BHAGALPUR	BHAGALPUR	COMMUNAL POLARISATION	5
BHAGALPUR 	158	NATHNAGAR	BHAGALPUR	ELECTRICITY	4
BHAGALPUR 	158	NATHNAGAR	BHAGALPUR	WATER	6
BHAGALPUR 	158	NATHNAGAR	BHAGALPUR	ROAD	8
BHAGALPUR 	158	NATHNAGAR	BHAGALPUR	HEALTH SERVICES	6
BHAGALPUR 	158	NATHNAGAR	BHAGALPUR	EDUCATION	5
BHAGALPUR 	158	NATHNAGAR	BHAGALPUR	EMPLOYMENT GROWTH	4
BHAGALPUR 	158	NATHNAGAR	BHAGALPUR	PUBLIC TRANSPORT	3
BHAGALPUR 	158	NATHNAGAR	BHAGALPUR	LAW & ORDER	8
BHAGALPUR 	158	NATHNAGAR	BHAGALPUR	CASTE POLARISTION	4
BHAGALPUR 	158	NATHNAGAR	BHAGALPUR	COMMUNAL POLARISATION	8
BHAGALPUR 	158	NATHNAGAR	BHAGALPUR	COMMUNAL POLARISATION	5
BANKA	159	AMARPUR	BANKA	ELECTRICITY	2
BANKA	159	AMARPUR	BANKA	WATER	4
BANKA	159	AMARPUR	BANKA	ROAD	6
BANKA	159	AMARPUR	BANKA	HEALTH SERVICES	5
BANKA	159	AMARPUR	BANKA	EDUCATION	4
BANKA	159	AMARPUR	BANKA	EMPLOYMENT GROWTH	2
BANKA	159	AMARPUR	BANKA	PUBLIC TRANSPORT	3
BANKA	159	AMARPUR	BANKA	LAW & ORDER	6
BANKA	159	AMARPUR	BANKA	CASTE POLARISTION	6
BANKA	159	AMARPUR	BANKA	COMMUNAL POLARISATION	3
BANKA	159	AMARPUR	BANKA	COMMUNAL POLARISATION	4
BANKA	160	DHAURAIYA	BANKA	ELECTRICITY	3
BANKA	160	DHAURAIYA	BANKA	WATER	5
BANKA	160	DHAURAIYA	BANKA	ROAD	7
BANKA	160	DHAURAIYA	BANKA	HEALTH SERVICES	5
BANKA	160	DHAURAIYA	BANKA	EDUCATION	4
BANKA	160	DHAURAIYA	BANKA	EMPLOYMENT GROWTH	3
BANKA	160	DHAURAIYA	BANKA	PUBLIC TRANSPORT	2
BANKA	160	DHAURAIYA	BANKA	LAW & ORDER	7
BANKA	160	DHAURAIYA	BANKA	CASTE POLARISTION	5
BANKA	160	DHAURAIYA	BANKA	COMMUNAL POLARISATION	2
BANKA	160	DHAURAIYA	BANKA	COMMUNAL POLARISATION	3
BANKA	161	BANKA	BANKA	ELECTRICITY	3
BANKA	161	BANKA	BANKA	WATER	5
BANKA	161	BANKA	BANKA	ROAD	7
BANKA	161	BANKA	BANKA	HEALTH SERVICES	5
BANKA	161	BANKA	BANKA	EDUCATION	5
BANKA	161	BANKA	BANKA	EMPLOYMENT GROWTH	3
BANKA	161	BANKA	BANKA	PUBLIC TRANSPORT	5
BANKA	161	BANKA	BANKA	LAW & ORDER	8
BANKA	161	BANKA	BANKA	CASTE POLARISTION	7
BANKA	161	BANKA	BANKA	COMMUNAL POLARISATION	4
BANKA	161	BANKA	BANKA	COMMUNAL POLARISATION	5
BANKA	162	KATORIA	BANKA	ELECTRICITY	2
BANKA	162	KATORIA	BANKA	WATER	4
BANKA	162	KATORIA	BANKA	ROAD	5
BANKA	162	KATORIA	BANKA	HEALTH SERVICES	4
BANKA	162	KATORIA	BANKA	EDUCATION	3
BANKA	162	KATORIA	BANKA	EMPLOYMENT GROWTH	2
BANKA	162	KATORIA	BANKA	PUBLIC TRANSPORT	2
BANKA	162	KATORIA	BANKA	LAW & ORDER	6
BANKA	162	KATORIA	BANKA	CASTE POLARISTION	3
BANKA	162	KATORIA	BANKA	COMMUNAL POLARISATION	1
BANKA	162	KATORIA	BANKA	COMMUNAL POLARISATION	2
BANKA	163	BELHAR	BANKA	ELECTRICITY	3
BANKA	163	BELHAR	BANKA	WATER	5
BANKA	163	BELHAR	BANKA	ROAD	6
BANKA	163	BELHAR	BANKA	HEALTH SERVICES	5
BANKA	163	BELHAR	BANKA	EDUCATION	4
BANKA	163	BELHAR	BANKA	EMPLOYMENT GROWTH	2
BANKA	163	BELHAR	BANKA	PUBLIC TRANSPORT	3
BANKA	163	BELHAR	BANKA	LAW & ORDER	7
BANKA	163	BELHAR	BANKA	CASTE POLARISTION	8
BANKA	163	BELHAR	BANKA	COMMUNAL POLARISATION	4
BANKA	163	BELHAR	BANKA	COMMUNAL POLARISATION	5
MUNGER	164	TARAPUR	JAMUI	ELECTRICITY	3
MUNGER	164	TARAPUR	JAMUI	WATER	6
MUNGER	164	TARAPUR	JAMUI	ROAD	7
MUNGER	164	TARAPUR	JAMUI	HEALTH SERVICES	5
MUNGER	164	TARAPUR	JAMUI	EDUCATION	3
MUNGER	164	TARAPUR	JAMUI	EMPLOYMENT GROWTH	2
MUNGER	164	TARAPUR	JAMUI	PUBLIC TRANSPORT	2
MUNGER	164	TARAPUR	JAMUI	LAW & ORDER	7
MUNGER	164	TARAPUR	JAMUI	CASTE POLARISTION	6
MUNGER	164	TARAPUR	JAMUI	COMMUNAL POLARISATION	2
MUNGER	164	TARAPUR	JAMUI	COMMUNAL POLARISATION	4
MUNGER	165	MUNGER	MUNGER	ELECTRICITY	4
MUNGER	165	MUNGER	MUNGER	WATER	4
MUNGER	165	MUNGER	MUNGER	ROAD	8
MUNGER	165	MUNGER	MUNGER	HEALTH SERVICES	6
MUNGER	165	MUNGER	MUNGER	EDUCATION	5
MUNGER	165	MUNGER	MUNGER	EMPLOYMENT GROWTH	3
MUNGER	165	MUNGER	MUNGER	PUBLIC TRANSPORT	4
MUNGER	165	MUNGER	MUNGER	LAW & ORDER	8
MUNGER	165	MUNGER	MUNGER	CASTE POLARISTION	6
MUNGER	165	MUNGER	MUNGER	COMMUNAL POLARISATION	8
MUNGER	165	MUNGER	MUNGER	COMMUNAL POLARISATION	4
MUNGER	166	JAMALPUR	MUNGER	ELECTRICITY	3
MUNGER	166	JAMALPUR	MUNGER	WATER	6
MUNGER	166	JAMALPUR	MUNGER	ROAD	8
MUNGER	166	JAMALPUR	MUNGER	HEALTH SERVICES	5
MUNGER	166	JAMALPUR	MUNGER	EDUCATION	4
MUNGER	166	JAMALPUR	MUNGER	EMPLOYMENT GROWTH	3
MUNGER	166	JAMALPUR	MUNGER	PUBLIC TRANSPORT	2
MUNGER	166	JAMALPUR	MUNGER	LAW & ORDER	8
MUNGER	166	JAMALPUR	MUNGER	CASTE POLARISTION	8
MUNGER	166	JAMALPUR	MUNGER	COMMUNAL POLARISATION	5
MUNGER	166	JAMALPUR	MUNGER	COMMUNAL POLARISATION	5
BEGUSARAI 	141	CHERIA BARIARPUR	BEGUSARAI	ELECTRICITY	3
BEGUSARAI 	141	CHERIA BARIARPUR	BEGUSARAI	WATER	6
BEGUSARAI 	141	CHERIA BARIARPUR	BEGUSARAI	ROAD	8
BEGUSARAI 	141	CHERIA BARIARPUR	BEGUSARAI	HEALTH SERVICES	5
BEGUSARAI 	141	CHERIA BARIARPUR	BEGUSARAI	EDUCATION	3
BEGUSARAI 	141	CHERIA BARIARPUR	BEGUSARAI	EMPLOYMENT GROWTH	2
BEGUSARAI 	141	CHERIA BARIARPUR	BEGUSARAI	PUBLIC TRANSPORT	2
BEGUSARAI 	141	CHERIA BARIARPUR	BEGUSARAI	LAW & ORDER	8
BEGUSARAI 	141	CHERIA BARIARPUR	BEGUSARAI	CASTE POLARISTION	7
BEGUSARAI 	141	CHERIA BARIARPUR	BEGUSARAI	COMMUNAL POLARISATION	2
BEGUSARAI 	141	CHERIA BARIARPUR	BEGUSARAI	COMMUNAL POLARISATION	3
BEGUSARAI 	142	BACHHWARA	BEGUSARAI	ELECTRICITY	3
BEGUSARAI 	142	BACHHWARA	BEGUSARAI	WATER	5
BEGUSARAI 	142	BACHHWARA	BEGUSARAI	ROAD	7
BEGUSARAI 	142	BACHHWARA	BEGUSARAI	HEALTH SERVICES	4
BEGUSARAI 	142	BACHHWARA	BEGUSARAI	EDUCATION	3
BEGUSARAI 	142	BACHHWARA	BEGUSARAI	EMPLOYMENT GROWTH	2
BEGUSARAI 	142	BACHHWARA	BEGUSARAI	PUBLIC TRANSPORT	2
BEGUSARAI 	142	BACHHWARA	BEGUSARAI	LAW & ORDER	7
BEGUSARAI 	142	BACHHWARA	BEGUSARAI	CASTE POLARISTION	6
BEGUSARAI 	142	BACHHWARA	BEGUSARAI	COMMUNAL POLARISATION	2
BEGUSARAI 	142	BACHHWARA	BEGUSARAI	COMMUNAL POLARISATION	3
BEGUSARAI 	143	TEGHRA	BEGUSARAI	ELECTRICITY	4
BEGUSARAI 	143	TEGHRA	BEGUSARAI	WATER	7
BEGUSARAI 	143	TEGHRA	BEGUSARAI	ROAD	8
BEGUSARAI 	143	TEGHRA	BEGUSARAI	HEALTH SERVICES	5
BEGUSARAI 	143	TEGHRA	BEGUSARAI	EDUCATION	5
BEGUSARAI 	143	TEGHRA	BEGUSARAI	EMPLOYMENT GROWTH	4
BEGUSARAI 	143	TEGHRA	BEGUSARAI	PUBLIC TRANSPORT	4
BEGUSARAI 	143	TEGHRA	BEGUSARAI	LAW & ORDER	9
BEGUSARAI 	143	TEGHRA	BEGUSARAI	CASTE POLARISTION	7
BEGUSARAI 	143	TEGHRA	BEGUSARAI	COMMUNAL POLARISATION	2
BEGUSARAI 	143	TEGHRA	BEGUSARAI	COMMUNAL POLARISATION	5
BEGUSARAI 	144	MATIHANI	BEGUSARAI	ELECTRICITY	3
BEGUSARAI 	144	MATIHANI	BEGUSARAI	WATER	7
BEGUSARAI 	144	MATIHANI	BEGUSARAI	ROAD	8
BEGUSARAI 	144	MATIHANI	BEGUSARAI	HEALTH SERVICES	5
BEGUSARAI 	144	MATIHANI	BEGUSARAI	EDUCATION	5
BEGUSARAI 	144	MATIHANI	BEGUSARAI	EMPLOYMENT GROWTH	2
BEGUSARAI 	144	MATIHANI	BEGUSARAI	PUBLIC TRANSPORT	2
BEGUSARAI 	144	MATIHANI	BEGUSARAI	LAW & ORDER	8
BEGUSARAI 	144	MATIHANI	BEGUSARAI	CASTE POLARISTION	6
BEGUSARAI 	144	MATIHANI	BEGUSARAI	COMMUNAL POLARISATION	2
BEGUSARAI 	144	MATIHANI	BEGUSARAI	COMMUNAL POLARISATION	4
