"ANNEURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"147"	"121"	"PRIMARY SCHOOL KHANDAVA CHATURBHUJ (NOR"	"13"	"15"	"8"	"0"	"7"	"270"	"9"	"4"	"9"	"7"	"28"	"370"	"0"	"370"	"0"
"148"	"122"	"PRIMARY SCHOOL KHANDAVA CHARTBURG SOUT"	"12"	"45"	"7"	"8"	"10"	"23"	"1"	"1"	"6"	"3"	"214"	"330"	"0"	"330"	"0"
"149"	"123"	"PRIMARY SCHOOL KHANDAVA BUJURG (WEST OF"	"19"	"6"	"23"	"6"	"11"	"196"	"11"	"8"	"10"	"10"	"59"	"359"	"0"	"359"	"0"
"150"	"124"	"PRIMARY SCHOOL KHANDAVA BUJURG (WEST OF"	"13"	"5"	"25"	"0"	"5"	"231"	"5"	"6"	"9"	"6"	"45"	"350"	"0"	"350"	"0"
"151"	"125"	"PRIMARY SCHOOL LODIPUR"	"9"	"37"	"5"	"2"	"5"	"158"	"8"	"1"	"3"	"1"	"8"	"237"	"0"	"237"	"0"
"152"	"126"	"PRIMARY SCHOOL SAKUAANA"	"5"	"22"	"29"	"6"	"2"	"229"	"2"	"1"	"3"	"2"	"6"	"307"	"0"	"307"	"0"
"153"	"127"	"PRIMARY SCHOOL DHAVARI NAVE BAHWAN"	"13"	"48"	"41"	"6"	"6"	"236"	"6"	"2"	"6"	"1"	"9"	"374"	"0"	"374"	"0"
"154"	"128"	"MIDDLE SCHOOL DHANCHUAA EAST PART"	"8"	"11"	"29"	"3"	"10"	"167"	"11"	"23"	"16"	"6"	"68"	"352"	"0"	"352"	"0"
"155"	"129"	"MIDDLE SCHOOL DHANCHAA MEDIAL PART"	"10"	"66"	"80"	"2"	"6"	"381"	"9"	"5"	"11"	"6"	"19"	"595"	"0"	"595"	"0"
"156"	"130"	"PRIMARY SCHOOL PATALPURA"	"9"	"52"	"2"	"2"	"10"	"194"	"8"	"7"	"3"	"7"	"14"	"308"	"0"	"308"	"0"
"157"	"131"	"MIDDLE SCHOOL CHAKCHOUDHARI WEST PART"	"8"	"66"	"11"	"5"	"10"	"182"	"13"	"6"	"3"	"12"	"14"	"330"	"0"	"330"	"0"
"158"	"132"	"MIDDLE SCHOOL CHAKCHOUDHARI EAST PART"	"3"	"30"	"41"	"0"	"4"	"161"	"10"	"3"	"7"	"9"	"64"	"332"	"0"	"332"	"0"
"159"	"133"	"MIDDLE SCHOOL CHAURI"	"10"	"33"	"23"	"3"	"10"	"276"	"7"	"2"	"8"	"10"	"113"	"495"	"0"	"495"	"0"
"160"	"134"	"PRIMARY SCHOOL TAGPUR CHAPARA"	"5"	"24"	"4"	"4"	"1"	"77"	"0"	"0"	"0"	"0"	"2"	"117"	"0"	"117"	"0"
"161"	"135"	"PRIMARY SCHOOL BAHUARA"	"24"	"137"	"17"	"6"	"6"	"219"	"5"	"6"	"4"	"3"	"9"	"436"	"0"	"436"	"0"
"162"	"136"	"PRIMARY SCHOOL BANGOATI"	"15"	"152"	"8"	"1"	"2"	"206"	"3"	"1"	"1"	"1"	"8"	"398"	"0"	"398"	"0"
"163"	"137"	"MIDDLE SCHOOL PURHRA"	"15"	"31"	"12"	"2"	"6"	"201"	"7"	"6"	"10"	"2"	"135"	"427"	"0"	"427"	"0"
"164"	"138"	"PRIMARY SCHOOL NIMA HARIZAN TOLA"	"6"	"7"	"26"	"1"	"5"	"155"	"9"	"21"	"4"	"5"	"15"	"254"	"0"	"254"	"0"
"165"	"139"	"PRIMARY SCHOOL AMRUHAON (EAST PART)"	"7"	"5"	"16"	"2"	"16"	"265"	"6"	"3"	"4"	"3"	"89"	"416"	"0"	"416"	"0"
"166"	"140"	"PRIMARY SCHOOL BHATBIGHA"	"15"	"108"	"11"	"3"	"7"	"189"	"9"	"6"	"3"	"12"	"20"	"383"	"0"	"383"	"0"
"167"	"141"	"MIDDLE SCHOOL KOOSIYR(NORTH PART)"	"10"	"2"	"9"	"3"	"8"	"145"	"5"	"2"	"2"	"2"	"26"	"214"	"0"	"214"	"0"
"168"	"142"	"MIDDLE SCHOOL KOOSIYR(SOUTH PART)"	"11"	"34"	"23"	"4"	"5"	"130"	"6"	"6"	"4"	"2"	"21"	"246"	"0"	"246"	"0"
"169"	"143"	"HIGH SCHOOL GORPA"	"23"	"80"	"13"	"3"	"4"	"42"	"0"	"0"	"2"	"6"	"76"	"249"	"0"	"249"	"0"
"170"	"144"	"PRIMARY SCHOOL BHIKHAMPUR"	"6"	"65"	"2"	"0"	"3"	"219"	"3"	"2"	"5"	"1"	"1"	"307"	"0"	"307"	"0"
"171"	"145"	"MIDDLE SCHOOL YOOGA KHRAICHA"	"3"	"7"	"4"	"1"	"1"	"297"	"4"	"0"	"2"	"2"	"7"	"328"	"0"	"328"	"0"
"172"	"146"	"PRIMARY SCHOOL VISHANBERPUR"	"2"	"20"	"11"	"11"	"5"	"161"	"4"	"0"	"1"	"0"	"6"	"221"	"0"	"221"	"0"
"173"	"No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"174"	""	""	"NAGENDRA KUMAR VIKAL"	"RAMBABU PASWAN"	"SHAKUNTA LA DEVI"	"SHAILENDR A KUAMR"	"CHINTA DEVI"	"RAM NARESH RAM"	"RAM BRIJH RAM"	"VIJAY KUMAR"	"UPENDRA KUMAR"	"RAM LAGAN LAL"	"LAL BABU"	""	""	""	""
"175"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"176"	"147"	"PRIMARY SCHOOL  CHIRALI"	"4"	"269"	"16"	"2"	"1"	"151"	"6"	"5"	"4"	"1"	"3"	"462"	"0"	"462"	"0"
"177"	"148"	"PANCHAYAT BHAWAN DILIYA (NORTH PART)"	"7"	"60"	"8"	"3"	"2"	"148"	"3"	"4"	"4"	"0"	"4"	"243"	"0"	"243"	"0"
"178"	"149"	"PANCHAYAT BHAWAN DILIYA (SOUTH PART)"	"1"	"14"	"27"	"5"	"5"	"148"	"5"	"6"	"4"	"6"	"37"	"258"	"0"	"258"	"0"
"179"	"150"	"PRIMARY SCHOOL BAGHUAI"	"17"	"134"	"6"	"2"	"5"	"106"	"3"	"3"	"1"	"1"	"3"	"281"	"0"	"281"	"0"
"180"	"151"	"MIDDLE SCHOOL MARANPUR (SOUTH PART)"	"5"	"59"	"58"	"1"	"2"	"48"	"1"	"0"	"1"	"3"	"3"	"181"	"0"	"181"	"0"
"181"	"152"	"MIDDLE SCHOOL MARANPUR (NORTH PART)"	"15"	"32"	"20"	"2"	"6"	"242"	"11"	"7"	"11"	"5"	"16"	"367"	"0"	"367"	"0"
"182"	"153"	"MIDDLE SCHOOL MARANPUR (MIDDLE PART)"	"7"	"0"	"38"	"5"	"6"	"225"	"9"	"2"	"4"	"0"	"7"	"303"	"0"	"303"	"0"
"183"	"154"	"PRIMARY SCHOOL SETUHARI"	"11"	"29"	"16"	"5"	"8"	"308"	"14"	"6"	"6"	"10"	"71"	"484"	"0"	"484"	"0"
"184"	"155"	"PRIMARY SCHOOL BARUNA NORTH PART"	"11"	"45"	"4"	"4"	"4"	"237"	"5"	"4"	"7"	"5"	"7"	"333"	"0"	"333"	"0"
"185"	"156"	"PRIMARY SCHOOL BARUNA (SOUTH PART)"	"7"	"51"	"8"	"3"	"3"	"147"	"3"	"2"	"2"	"2"	"5"	"233"	"0"	"233"	"0"
"186"	"157"	"PRIMARY SANSKRIT SCHOOL EKWARI"	"23"	"17"	"29"	"2"	"15"	"351"	"20"	"12"	"5"	"16"	"176"	"666"	"0"	"666"	"0"
"187"	"158"	"URDE PRIMARY SCHOOL EKWARI (NORTH PART)"	"12"	"8"	"18"	"6"	"6"	"173"	"6"	"4"	"7"	"5"	"126"	"371"	"0"	"371"	"0"
"188"	"159"	"MIDDLE SCHOOL EKWARI"	"23"	"119"	"10"	"4"	"7"	"231"	"2"	"2"	"3"	"1"	"71"	"473"	"0"	"473"	"0"
"189"	"160"	"SINKRIT SCHOOL EKWARI (SOUTH PART)"	"6"	"4"	"7"	"4"	"7"	"131"	"1"	"2"	"2"	"1"	"145"	"310"	"0"	"310"	"0"
"190"	"161"	"PRIMARY SCHOOL HANUMAN CHAPRA"	"33"	"116"	"32"	"10"	"16"	"537"	"19"	"13"	"15"	"7"	"23"	"821"	"0"	"821"	"0"
"191"	"162"	"SINKRIT SCHOOL AKVAREE (NORTH PART)"	"17"	"17"	"40"	"4"	"10"	"197"	"11"	"2"	"5"	"8"	"117"	"428"	"0"	"428"	"0"
"192"	"163"	"HIGH SCHOOL AKVAREE (SOUTH PART)"	"4"	"4"	"5"	"2"	"6"	"320"	"10"	"5"	"6"	"2"	"32"	"396"	"0"	"396"	"0"
"193"	"164"	"MIDDLE SCHOOL PAIRHAP (WEST PART)"	"6"	"19"	"17"	"8"	"5"	"215"	"4"	"2"	"2"	"2"	"19"	"299"	"0"	"299"	"0"
"194"	"165"	"MIDDLE SCHOOL PAIRHAP  MIDDLE PART"	"9"	"115"	"39"	"3"	"2"	"219"	"5"	"1"	"1"	"1"	"36"	"431"	"0"	"431"	"0"
"195"	"166"	"MIDDLE SCHOOL PAIRHAP EAST PART"	"4"	"17"	"45"	"2"	"5"	"315"	"3"	"0"	"3"	"1"	"23"	"418"	"0"	"418"	"0"
"196"	"167"	"DUDH UTPDAN SHYAGE SAMATI PAIRHAP"	"5"	"1"	"62"	"1"	"3"	"131"	"22"	"6"	"7"	"2"	"31"	"271"	"0"	"271"	"0"
"197"	"168"	"PRIMARY  SCHOOL KHAIRA"	"11"	"162"	"16"	"53"	"10"	"180"	"7"	"4"	"9"	"13"	"18"	"483"	"0"	"483"	"0"
"198"	"169"	"PRIMARY SCHOOL KARVASIN"	"7"	"30"	"117"	"2"	"3"	"222"	"5"	"1"	"4"	"1"	"1"	"393"	"0"	"393"	"0"
"199"	"170"	"PRIMARY SCHOOL GULJARPUR (NORTH PART)"	"8"	"36"	"50"	"5"	"7"	"311"	"3"	"7"	"6"	"1"	"20"	"454"	"0"	"454"	"0"
"200"	"171"	"PRIMARY SCHOOL GULJARPUR (SOUTH PART)"	"7"	"16"	"92"	"2"	"2"	"118"	"3"	"1"	"2"	"0"	"2"	"245"	"0"	"245"	"0"
"201"	"172"	"PANCHYT BHWAN GULJARPUR"	"17"	"13"	"109"	"5"	"4"	"139"	"8"	"2"	"3"	"0"	"15"	"315"	"0"	"315"	"0"
"202"	"No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"203"	""	""	"NAGENDRA KUMAR VIKAL"	"RAMBABU PASWAN"	"SHAKUNTA LA DEVI"	"SHAILENDR A KUAMR"	"CHINTA DEVI"	"RAM NARESH RAM"	"RAM BRIJH RAM"	"VIJAY KUMAR"	"UPENDRA KUMAR"	"RAM LAGAN LAL"	"LAL BABU"	""	""	""	""
"204"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"205"	"173"	"PRIMARY SCHOOL ANUAA"	"15"	"78"	"56"	"2"	"2"	"240"	"7"	"1"	"1"	"4"	"64"	"470"	"0"	"470"	"0"
"206"	"174"	"PRIMARY SCHOOL INURKHEE"	"11"	"158"	"10"	"4"	"5"	"313"	"14"	"5"	"3"	"7"	"8"	"538"	"0"	"538"	"0"
"207"	"175"	"PRIMARY SCHOOL MISRICHAK"	"7"	"59"	"62"	"3"	"7"	"414"	"10"	"3"	"4"	"7"	"1"	"577"	"0"	"577"	"0"
"208"	"176"	"PRIMARY SCHOOL MATHURAPUR"	"3"	"38"	"4"	"4"	"2"	"353"	"5"	"1"	"3"	"2"	"6"	"421"	"0"	"421"	"0"
"209"	"177"	"SAHAR DAKBANGLA"	"37"	"53"	"26"	"5"	"14"	"355"	"19"	"8"	"11"	"7"	"8"	"543"	"0"	"543"	"0"
"210"	"178"	"MIDDLE SCHOOL SAHAR"	"31"	"51"	"132"	"19"	"9"	"473"	"16"	"8"	"13"	"8"	"16"	"776"	"0"	"776"	"0"
"211"	"179"	"URDU PRIMARY SCHOOL SAHAR(EASTERN PART)"	"28"	"16"	"70"	"16"	"2"	"296"	"3"	"5"	"4"	"1"	"3"	"444"	"0"	"444"	"0"
"212"	"180"	"URDU PRIMARY SCHOOL SAHAR WESTERN PART"	"42"	"15"	"48"	"8"	"3"	"267"	"13"	"2"	"9"	"5"	"14"	"426"	"0"	"426"	"0"
"213"	"181"	"KANYA PRIMARY SCHOOL KORANDIHARI"	"6"	"2"	"67"	"4"	"3"	"194"	"12"	"2"	"6"	"2"	"50"	"348"	"0"	"348"	"0"
"214"	"182"	"KANYA PRIMARY SCHOOL KORANDIHARI(NEW BH"	"15"	"7"	"82"	"4"	"4"	"308"	"10"	"2"	"2"	"1"	"36"	"471"	"0"	"471"	"0"
"215"	"183"	"PRIMARY SCHOOL PEUAR"	"4"	"20"	"18"	"4"	"2"	"201"	"4"	"0"	"1"	"1"	"1"	"256"	"0"	"256"	"0"
"216"	"184"	"URDU MAKHTAB PEUAR"	"8"	"24"	"40"	"23"	"2"	"217"	"7"	"4"	"5"	"1"	"5"	"336"	"0"	"336"	"0"
"217"	"185"	"PRIMARY SCHOOL BANSHIDIHARI"	"9"	"93"	"6"	"3"	"7"	"238"	"9"	"7"	"3"	"7"	"123"	"505"	"0"	"505"	"0"
"218"	"186"	"KANYA PRIMARY SCHOOL PATRIHAON"	"9"	"56"	"75"	"7"	"8"	"284"	"4"	"3"	"5"	"4"	"2"	"457"	"0"	"457"	"0"
"219"	"187"	"PRIMARY SCHOOL NAWADA(NORTHERN PART)"	"3"	"39"	"34"	"2"	"0"	"126"	"4"	"6"	"1"	"1"	"5"	"221"	"0"	"221"	"0"
"220"	"188"	"ADARSH MIDDLE SCHOOL NAWADA(SOUTHERN P"	"6"	"83"	"12"	"2"	"2"	"251"	"11"	"6"	"3"	"6"	"27"	"409"	"0"	"409"	"0"
"221"	"189"	"MIDDLE SCHOOL BARUHI(EASTERN PART)"	"11"	"6"	"30"	"3"	"6"	"170"	"9"	"6"	"9"	"12"	"171"	"433"	"0"	"433"	"0"
"222"	"190"	"MIDDLE SCHOOL BARUHI(WESTERN PART)"	"16"	"34"	"41"	"2"	"5"	"150"	"6"	"6"	"9"	"8"	"33"	"310"	"0"	"310"	"0"
"223"	"191"	"PRIMARY SCHOOL KUSHWAHATOLA(NORTHERN P"	"10"	"18"	"32"	"6"	"10"	"649"	"19"	"6"	"8"	"4"	"9"	"771"	"0"	"771"	"0"
"224"	"192"	"PRIMARY SCHOOL BAJREYAN"	"13"	"181"	"57"	"3"	"2"	"197"	"3"	"1"	"4"	"5"	"5"	"471"	"0"	"471"	"0"
"225"	"193"	"PRIMARY SCHOOL BISHUNPURA"	"1"	"54"	"11"	"2"	"5"	"156"	"7"	"2"	"0"	"1"	"1"	"240"	"0"	"240"	"0"
"226"	"194"	"MIDDLE SCHOOL NARHI(EASTERN PART)"	"7"	"12"	"3"	"6"	"11"	"382"	"15"	"6"	"3"	"2"	"56"	"503"	"0"	"503"	"0"
"227"	"195"	"PRIMARY SCHOOL NARHI(WESTERN PART)"	"7"	"8"	"9"	"6"	"16"	"305"	"22"	"6"	"26"	"7"	"200"	"612"	"0"	"612"	"0"
"228"	"196"	"PRIMARY SCHOOL MUJFFARPUR"	"14"	"35"	"5"	"10"	"12"	"401"	"10"	"5"	"8"	"7"	"93"	"600"	"0"	"600"	"0"
"229"	"197"	"PRIMARY SCHOOL NONUR"	"15"	"3"	"9"	"4"	"14"	"215"	"10"	"2"	"2"	"8"	"102"	"384"	"0"	"384"	"0"
"230"	"198"	"PRIMARY SCHOOL NONUR GANJPAR"	"7"	"43"	"3"	"5"	"10"	"398"	"13"	"3"	"9"	"2"	"8"	"501"	"0"	"501"	"0"
"231"	"No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"232"	""	""	"NAGENDRA KUMAR VIKAL"	"RAMBABU PASWAN"	"SHAKUNTA LA DEVI"	"SHAILENDR A KUAMR"	"CHINTA DEVI"	"RAM NARESH RAM"	"RAM BRIJH RAM"	"VIJAY KUMAR"	"UPENDRA KUMAR"	"RAM LAGAN LAL"	"LAL BABU"	""	""	""	""
"233"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"234"	"199"	"PRIMARY SCHOOL KARWASIN"	"20"	"33"	"16"	"3"	"11"	"267"	"13"	"2"	"12"	"3"	"10"	"390"	"0"	"390"	"0"
"235"	"200"	"PRIMARY SCHOOL TARACHAK"	"2"	"154"	"2"	"1"	"3"	"199"	"3"	"2"	"5"	"1"	"6"	"378"	"0"	"378"	"0"
"236"	"201"	"PRIMARY SCHOOL BARHAMPUR(NORTHERN PART"	"9"	"11"	"31"	"3"	"6"	"186"	"7"	"20"	"5"	"7"	"79"	"364"	"0"	"364"	"0"
"237"	"202"	"PRIMARY SCHOOL BARAHMPUR(SOUTHERN PART"	"6"	"11"	"17"	"3"	"4"	"219"	"4"	"2"	"2"	"1"	"76"	"345"	"0"	"345"	"0"
"238"	"203"	"PRIMARY SCHOOL LATIYAR GANJ"	"7"	"12"	"15"	"4"	"4"	"319"	"4"	"0"	"0"	"3"	"1"	"369"	"0"	"369"	"0"
"239"	"204"	"PRIMARY SCHOOL GODIHAN"	"3"	"41"	"26"	"5"	"6"	"127"	"7"	"2"	"0"	"1"	"1"	"219"	"0"	"219"	"0"
"240"	"205"	"PRIMARY SCHOOL BANULI(NORTHERN PART)"	"19"	"1"	"16"	"2"	"10"	"186"	"3"	"6"	"4"	"4"	"101"	"352"	"0"	"352"	"0"
"241"	"206"	"PRIMARY SCHOOL BANULI(SOUTHERN APRT)"	"12"	"69"	"3"	"3"	"8"	"186"	"12"	"3"	"5"	"2"	"9"	"312"	"0"	"312"	"0"
"242"	"207"	"PARIMARY SCHOOL CHASI"	"12"	"121"	"1"	"1"	"2"	"75"	"2"	"1"	"0"	"3"	"11"	"229"	"0"	"229"	"0"
"243"	"208"	"PANCHAYAT BHAWAN CHASI"	"8"	"72"	"6"	"3"	"9"	"119"	"5"	"3"	"3"	"8"	"219"	"455"	"0"	"455"	"0"
"244"	"209"	"MIDDLE SCHOOL CHAPRAPUR"	"0"	"42"	"58"	"1"	"0"	"247"	"2"	"0"	"1"	"2"	"3"	"356"	"0"	"356"	"0"
"245"	"210"	"PRIMARY SCHOOL BHALUNI"	"3"	"103"	"29"	"2"	"0"	"176"	"2"	"0"	"1"	"0"	"1"	"317"	"0"	"317"	"0"
"246"	"211"	"PRIMARY SCHOOL SEWTHRA"	"4"	"64"	"4"	"0"	"8"	"321"	"2"	"2"	"2"	"0"	"4"	"411"	"0"	"411"	"0"
"247"	"212"	"SARVJANIK LIBRARY SEWATHA"	"14"	"46"	"52"	"6"	"5"	"341"	"10"	"2"	"7"	"3"	"39"	"525"	"0"	"525"	"0"
"248"	"213"	"HIGH SCHOOL BAGHI"	"4"	"12"	"26"	"1"	"1"	"209"	"3"	"1"	"4"	"1"	"6"	"268"	"0"	"268"	"0"
"249"	"214"	"PRIMARY SCHOOL LASARHI"	"13"	"98"	"4"	"2"	"2"	"208"	"0"	"0"	"1"	"2"	"2"	"332"	"0"	"332"	"0"
"250"	"215"	"PRIMARY SCHOOL BISHAMBHARA"	"0"	"62"	"4"	"3"	"1"	"48"	"3"	"4"	"0"	"0"	"3"	"128"	"0"	"128"	"0"
"251"	"216"	"MIDDLE SCHOOL NARAYANPUR(EASTERN PART)"	"3"	"59"	"28"	"1"	"2"	"82"	"0"	"1"	"2"	"0"	"4"	"182"	"0"	"182"	"0"
"252"	"217"	"MIDDLE SCHOOL NARAYANPUR(WESTERN PART)"	"17"	"27"	"82"	"8"	"2"	"249"	"7"	"0"	"3"	"5"	"18"	"418"	"0"	"418"	"0"
"253"	"218"	"UTPADAN BIKRI KENDRA NARAYANPUR"	"21"	"55"	"43"	"5"	"9"	"220"	"11"	"3"	"11"	"5"	"19"	"402"	"0"	"402"	"0"
"254"	"Total"	""	"3092"	"12248"	"10566"	"1182"	"1092"	"46288"	"1372"	"777"	"1221"	"826"	"7167"	"85831"	"0"	"85831"	"0"
"255"	"Postal Votes"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"6"	"0"
"256"	"Grand Total"	""	"3092"	"12248"	"10566"	"1182"	"1092"	"46288"	"1372"	"777"	"1221"	"826"	"7167"	"85831"	"6"	"85837"	"0"
"257"	"Place  :    Arrah                                                                                                                                                                                                                      Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"259"	""	""	"NAGENDRA KUMAR VIKAL"	"RAMBABU PASWAN"	"SHAKUNTA LA DEVI"	"SHAILENDR A KUAMR"	"CHINTA DEVI"	"RAM NARESH RAM"	"RAM BRIJH RAM"	"VIJAY KUMAR"	"UPENDRA KUMAR"	"RAM LAGAN LAL"	"LAL BABU"	""	""	""	""
"260"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"261"	"Date  : 27-02-2005                                                                                                                                                                                                206 - Sahar Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
