"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"	"X..111"	"X..112"	"X..113"	"X..114"	"X..115"	"X..116"	"X..117"	"X..118"	"X..119"	"X..120"	"X..121"	"X..122"	"X..123"	"X..124"	"X..125"	"X..126"
"38"	"23"	""	"10"	""	""	"17"	""	""	"1"	""	""	""	""	"174"	""	""	"3"	""	""	""	""	"7"	""	""	""	"16"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"2"	""	""	"3"	""	""	""	"9"	""	""	""	"295"	""	""	"16"	""	""	""	"8"	""	""	"10"	""	""	""	""	"9"	""	""	""	"1"	""	""	""	"4"	""	""	""	"4"	""	""	""	"3"	""	""	""	"1"	""	""	""	""	"2"	""	"0"	""	""	""	""	"24"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"624"	""	""	""	""	"0"	""	""	"624"	""	"0"	""	""	""	""
"39"	"24"	""	"7"	""	""	"40"	""	""	"4"	""	""	""	""	"47"	""	""	"2"	""	""	""	""	"12"	""	""	""	"9"	""	""	""	"6"	""	""	""	""	"2"	""	""	""	"4"	""	""	"89"	""	""	""	"16"	""	""	""	"261"	""	""	"6"	""	""	""	"20"	""	""	"32"	""	""	""	""	"5"	""	""	""	"2"	""	""	""	"4"	""	""	""	"1"	""	""	""	"8"	""	""	""	"2"	""	""	""	""	"2"	""	"1"	""	""	""	""	"39"	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"5"	""	""	""	"630"	""	""	""	""	"0"	""	""	"630"	""	"0"	""	""	""	""
"40"	"25"	""	"2"	""	""	"36"	""	""	"6"	""	""	""	""	"29"	""	""	"0"	""	""	""	""	"3"	""	""	""	"4"	""	""	""	"7"	""	""	""	""	"6"	""	""	""	"3"	""	""	"61"	""	""	""	"16"	""	""	""	"193"	""	""	"13"	""	""	""	"6"	""	""	"33"	""	""	""	""	"4"	""	""	""	"5"	""	""	""	"0"	""	""	""	"5"	""	""	""	"14"	""	""	""	"2"	""	""	""	""	"9"	""	"4"	""	""	""	""	"94"	""	""	""	"6"	""	""	""	""	"2"	""	""	""	"12"	""	""	""	"575"	""	""	""	""	"0"	""	""	"575"	""	"0"	""	""	""	""
"41"	"26"	""	"5"	""	""	"8"	""	""	"2"	""	""	""	""	"73"	""	""	"8"	""	""	""	""	"5"	""	""	""	"11"	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"6"	""	""	"86"	""	""	""	"14"	""	""	""	"160"	""	""	"9"	""	""	""	"5"	""	""	"36"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	"3"	""	""	""	"7"	""	""	""	"1"	""	""	""	""	"1"	""	"1"	""	""	""	""	"19"	""	""	""	"3"	""	""	""	""	"3"	""	""	""	"11"	""	""	""	"490"	""	""	""	""	"0"	""	""	"490"	""	"0"	""	""	""	""
"42"	"27"	""	"7"	""	""	"76"	""	""	"11"	""	""	""	""	"19"	""	""	"5"	""	""	""	""	"6"	""	""	""	"8"	""	""	""	"5"	""	""	""	""	"8"	""	""	""	"5"	""	""	"4"	""	""	""	"16"	""	""	""	"151"	""	""	"11"	""	""	""	"7"	""	""	"21"	""	""	""	""	"19"	""	""	""	"11"	""	""	""	"8"	""	""	""	"48"	""	""	""	"80"	""	""	""	"7"	""	""	""	""	"13"	""	"8"	""	""	""	""	"130"	""	""	""	"11"	""	""	""	""	"3"	""	""	""	"19"	""	""	""	"717"	""	""	""	""	"0"	""	""	"717"	""	"0"	""	""	""	""
"43"	"28"	""	"12"	""	""	"40"	""	""	"7"	""	""	""	""	"27"	""	""	"5"	""	""	""	""	"1"	""	""	""	"9"	""	""	""	"14"	""	""	""	""	"6"	""	""	""	"5"	""	""	"84"	""	""	""	"5"	""	""	""	"111"	""	""	"8"	""	""	""	"4"	""	""	"22"	""	""	""	""	"20"	""	""	""	"10"	""	""	""	"14"	""	""	""	"10"	""	""	""	"21"	""	""	""	"7"	""	""	""	""	"7"	""	"10"	""	""	""	""	"67"	""	""	""	"5"	""	""	""	""	"7"	""	""	""	"25"	""	""	""	"563"	""	""	""	""	"0"	""	""	"563"	""	"0"	""	""	""	""
"44"	"FORM - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	"[See rule 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"(To be used for recording the result of voting at polling stations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"Election to the Legislative assembly from the 141-BARARI constituency.                                  Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"(To be used both for Parliamentary and Assembly elections                                            Total No. of Electors in Assembly constituency/Segment ............................. Name of the Assembly segment(in the case of election from a parliamentary constituency) ............................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"Serial No. of Polling Station"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	""	""	"No. of rejected votes"	""	""	"TOTAL"	""	""	""	""	"No. of tendered Votes"	""	""	""	""	""	""	""	""
"51"	""	""	"ABDUL HAMID"	""	"MANSOOR ALAM"	""	""	""	"MUHAMMAD SAKUR"	""	""	""	"VIBHASH CHAND CHOUDHARY"	""	""	"SITARA PARVIN"	""	""	""	""	"DINA YADAV"	""	""	""	"PABHAT KUMAR"	""	""	""	"PRAKASH GUPTA"	""	""	""	"PREMNATH JAISWAL"	""	""	""	"MOHAMMAD ISRAIL"	""	""	""	"VIMAL KUMAR MANDAL"	""	""	"SHAMBHU MAHALDAR"	""	""	""	"SAYOGITA SINGH"	""	""	"SURYANARAYAN SINGH"	""	""	""	"ARVIND KUMAR SINGH"	""	""	"KALYAN MITRA"	""	""	"KAILASH PODDAR"	""	""	""	""	"CHANDRA SHEKHAR YADAV"	""	""	"TANWEER"	""	""	""	""	"NIRAJ KUMAR KASHYAP"	""	""	"PARSHURAM PASWAN"	""	""	"YAMUNA PRASAD YADAV"	""	""	""	""	"RAJESHWAR CHOUDHARY"	""	""	"SAVIRURAHAMAN KHAN"	""	""	"SHIV PUJAN PASWAN"	""	""	""	""	"SANJAY SINGH"	""	""	""	"SAMSAD"	""	""	""	""	"SUBODH VYAS"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"29"	""	"4"	""	"57"	""	""	""	"6"	""	""	""	"91"	""	""	"0"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"5"	""	""	""	"2"	""	""	""	"0"	""	""	""	"8"	""	""	"4"	""	""	""	"240"	""	""	"1"	""	""	""	"1"	""	""	"6"	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"2"	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	"30"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	"463"	""	""	""	"0"	""	""	"463"	""	""	""	""	"0"	""	""	""	""	""	""	""	""
"53"	"30"	""	"7"	""	"128"	""	""	""	"10"	""	""	""	"23"	""	""	"0"	""	""	""	""	"5"	""	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	"1"	""	""	""	"7"	""	""	"3"	""	""	""	"149"	""	""	"5"	""	""	""	"9"	""	""	"8"	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"2"	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	"5"	""	""	""	""	"0"	""	""	""	"3"	""	""	""	""	"0"	""	""	"370"	""	""	""	"0"	""	""	"370"	""	""	""	""	"0"	""	""	""	""	""	""	""	""
"54"	"31"	""	"8"	""	"50"	""	""	""	"4"	""	""	""	"19"	""	""	"2"	""	""	""	""	"1"	""	""	""	"5"	""	""	""	"7"	""	""	""	"8"	""	""	""	"8"	""	""	""	"18"	""	""	"13"	""	""	""	"174"	""	""	"16"	""	""	""	"9"	""	""	"29"	""	""	"5"	""	""	""	""	"2"	""	""	"1"	""	""	""	""	"0"	""	""	"6"	""	""	"1"	""	""	""	""	"3"	""	""	"6"	""	""	"45"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	""	"15"	""	""	"461"	""	""	""	"0"	""	""	"461"	""	""	""	""	"0"	""	""	""	""	""	""	""	""
"55"	"32"	""	"19"	""	"207"	""	""	""	"8"	""	""	""	"82"	""	""	"7"	""	""	""	""	"9"	""	""	""	"22"	""	""	""	"25"	""	""	""	"2"	""	""	""	"4"	""	""	""	"7"	""	""	"8"	""	""	""	"209"	""	""	"10"	""	""	""	"5"	""	""	"24"	""	""	"3"	""	""	""	""	"7"	""	""	"7"	""	""	""	""	"1"	""	""	"6"	""	""	"0"	""	""	""	""	"2"	""	""	"3"	""	""	"55"	""	""	""	""	"2"	""	""	""	"3"	""	""	""	""	"12"	""	""	"749"	""	""	""	"0"	""	""	"749"	""	""	""	""	"0"	""	""	""	""	""	""	""	""
"56"	"33"	""	"5"	""	"43"	""	""	""	"6"	""	""	""	"50"	""	""	"14"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"10"	""	""	""	"1"	""	""	""	"5"	""	""	""	"46"	""	""	"14"	""	""	""	"168"	""	""	"13"	""	""	""	"10"	""	""	"25"	""	""	"2"	""	""	""	""	"1"	""	""	"1"	""	""	""	""	"2"	""	""	"2"	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	"43"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"4"	""	""	"473"	""	""	""	"0"	""	""	"473"	""	""	""	""	"0"	""	""	""	""	""	""	""	""
"57"	"34"	""	"4"	""	"102"	""	""	""	"1"	""	""	""	"55"	""	""	"1"	""	""	""	""	"16"	""	""	""	"0"	""	""	""	"12"	""	""	""	"1"	""	""	""	"1"	""	""	""	"123"	""	""	"6"	""	""	""	"162"	""	""	"1"	""	""	""	"9"	""	""	"21"	""	""	"10"	""	""	""	""	"5"	""	""	"5"	""	""	""	""	"3"	""	""	"5"	""	""	"2"	""	""	""	""	"6"	""	""	"6"	""	""	"55"	""	""	""	""	"8"	""	""	""	"9"	""	""	""	""	"25"	""	""	"654"	""	""	""	"0"	""	""	"654"	""	""	""	""	"0"	""	""	""	""	""	""	""	""
"58"	"35"	""	"7"	""	"26"	""	""	""	"4"	""	""	""	"25"	""	""	"0"	""	""	""	""	"13"	""	""	""	"3"	""	""	""	"7"	""	""	""	"5"	""	""	""	"3"	""	""	""	"148"	""	""	"8"	""	""	""	"114"	""	""	"6"	""	""	""	"8"	""	""	"24"	""	""	"5"	""	""	""	""	"1"	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	"1"	""	""	""	""	"0"	""	""	"3"	""	""	"5"	""	""	""	""	"1"	""	""	""	"3"	""	""	""	""	"5"	""	""	"426"	""	""	""	"0"	""	""	"426"	""	""	""	""	"0"	""	""	""	""	""	""	""	""
"59"	"36"	""	"4"	""	"17"	""	""	""	"10"	""	""	""	"57"	""	""	"2"	""	""	""	""	"2"	""	""	""	"6"	""	""	""	"3"	""	""	""	"0"	""	""	""	"3"	""	""	""	"115"	""	""	"5"	""	""	""	"87"	""	""	"6"	""	""	""	"3"	""	""	"15"	""	""	"28"	""	""	""	""	"8"	""	""	"15"	""	""	""	""	"10"	""	""	"11"	""	""	"14"	""	""	""	""	"9"	""	""	"10"	""	""	"129"	""	""	""	""	"12"	""	""	""	"5"	""	""	""	""	"12"	""	""	"598"	""	""	""	"0"	""	""	"598"	""	""	""	""	"0"	""	""	""	""	""	""	""	""
"60"	"37"	""	"7"	""	"59"	""	""	""	"15"	""	""	""	"187"	""	""	"1"	""	""	""	""	"12"	""	""	""	"3"	""	""	""	"16"	""	""	""	"2"	""	""	""	"1"	""	""	""	"12"	""	""	"0"	""	""	""	"159"	""	""	"1"	""	""	""	"1"	""	""	"5"	""	""	"5"	""	""	""	""	"2"	""	""	"5"	""	""	""	""	"3"	""	""	"3"	""	""	"3"	""	""	""	""	"2"	""	""	"3"	""	""	"57"	""	""	""	""	"5"	""	""	""	"0"	""	""	""	""	"5"	""	""	"574"	""	""	""	"0"	""	""	"574"	""	""	""	""	"0"	""	""	""	""	""	""	""	""
"61"	"38"	""	"3"	""	"19"	""	""	""	"15"	""	""	""	"244"	""	""	"5"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	"28"	""	""	""	"0"	""	""	""	"0"	""	""	""	"7"	""	""	"0"	""	""	""	"85"	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	"3"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"2"	""	""	"0"	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	"7"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	"425"	""	""	""	"0"	""	""	"425"	""	""	""	""	"0"	""	""	""	""	""	""	""	""
"62"	"39"	""	"17"	""	"18"	""	""	""	"12"	""	""	""	"265"	""	""	"7"	""	""	""	""	"13"	""	""	""	"8"	""	""	""	"10"	""	""	""	"7"	""	""	""	"3"	""	""	""	"132"	""	""	"4"	""	""	""	"109"	""	""	"5"	""	""	""	"5"	""	""	"12"	""	""	"8"	""	""	""	""	"2"	""	""	"2"	""	""	""	""	"3"	""	""	"4"	""	""	"3"	""	""	""	""	"2"	""	""	"2"	""	""	"53"	""	""	""	""	"2"	""	""	""	"3"	""	""	""	""	"6"	""	""	"717"	""	""	""	"0"	""	""	"717"	""	""	""	""	"0"	""	""	""	""	""	""	""	""
"63"	"40"	""	"49"	""	"52"	""	""	""	"4"	""	""	""	"56"	""	""	"2"	""	""	""	""	"7"	""	""	""	"4"	""	""	""	"4"	""	""	""	"23"	""	""	""	"7"	""	""	""	"39"	""	""	"1"	""	""	""	"95"	""	""	"5"	""	""	""	"3"	""	""	"4"	""	""	"9"	""	""	""	""	"3"	""	""	"3"	""	""	""	""	"1"	""	""	"0"	""	""	"2"	""	""	""	""	"4"	""	""	"1"	""	""	"21"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	""	"46"	""	""	"447"	""	""	""	"0"	""	""	"447"	""	""	""	""	"0"	""	""	""	""	""	""	""	""
"64"	"41"	""	"18"	""	"228"	""	""	""	"26"	""	""	""	"5"	""	""	"3"	""	""	""	""	"21"	""	""	""	"4"	""	""	""	"2"	""	""	""	"3"	""	""	""	"3"	""	""	""	"7"	""	""	"6"	""	""	""	"113"	""	""	"4"	""	""	""	"9"	""	""	"17"	""	""	"4"	""	""	""	""	"7"	""	""	"8"	""	""	""	""	"0"	""	""	"4"	""	""	"2"	""	""	""	""	"6"	""	""	"1"	""	""	"41"	""	""	""	""	"3"	""	""	""	"4"	""	""	""	""	"10"	""	""	"559"	""	""	""	"0"	""	""	"559"	""	""	""	""	"0"	""	""	""	""	""	""	""	""
"65"	"42"	""	"1"	""	"0"	""	""	""	"0"	""	""	""	"164"	""	""	"2"	""	""	""	""	"18"	""	""	""	"3"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"2"	""	""	""	"64"	""	""	"0"	""	""	""	"1"	""	""	"2"	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	"11"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"3"	""	""	"275"	""	""	""	"0"	""	""	"275"	""	""	""	""	"0"	""	""	""	""	""	""	""	""
"66"	"FORM - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"[See rule 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"(To be used for recording the result of voting at polling stations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"Election to the Legislative assembly from the 141-BARARI constituency.                                  Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"(To be used both for Parliamentary and Assembly elections                                            Total No. of Electors in Assembly constituency/Segment ............................. Name of the Assembly segment(in the case of election from a parliamentary constituency) ............................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"Serial No. of Polling Station"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	""	""	""	"No. of rejected votes"	"TOTAL"	""	""	"No. of tendered Votes"	""	""
"73"	""	""	"ABDUL HAMID"	""	""	"MANSOOR ALAM"	""	""	""	"MUHAMMAD SAKUR"	""	""	""	"VIBHASH CHAND CHOUDHARY"	""	""	""	"SITARA PARVIN"	""	""	""	""	"DINA YADAV"	""	""	""	"PABHAT KUMAR"	""	""	""	"PRAKASH GUPTA"	""	""	""	""	"PREMNATH JAISWAL"	""	""	"MOHAMMAD ISRAIL"	""	""	""	"VIMAL KUMAR MANDAL"	""	""	"SHAMBHU MAHALDAR"	""	""	""	"SAYOGITA SINGH"	""	""	""	"SURYANARAYAN SINGH"	""	""	""	"ARVIND KUMAR SINGH"	""	""	"KALYAN MITRA"	""	""	""	""	"KAILASH PODDAR"	""	""	""	"CHANDRA SHEKHAR YADAV"	""	""	""	""	"TANWEER"	""	""	"NIRAJ KUMAR KASHYAP"	""	""	""	"PARSHURAM PASWAN"	""	""	""	""	"YAMUNA PRASAD YADAV"	""	""	""	"RAJESHWAR CHOUDHARY"	""	""	"SAVIRURAHAMAN KHAN"	""	""	""	""	"SHIV PUJAN PASWAN"	""	""	""	""	"SANJAY SINGH"	""	""	"SAMSAD"	""	""	""	""	"SUBODH VYAS"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"43"	""	"27"	""	""	"23"	""	""	""	"4"	""	""	""	"49"	""	""	""	"9"	""	""	""	""	"230"	""	""	""	"11"	""	""	""	"13"	""	""	""	""	"5"	""	""	"4"	""	""	""	"4"	""	""	"10"	""	""	""	"176"	""	""	""	"3"	""	""	""	"2"	""	""	"10"	""	""	""	""	"12"	""	""	""	"6"	""	""	""	""	"4"	""	""	"1"	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"3"	""	""	"2"	""	""	""	""	"25"	""	""	""	""	"1"	""	""	"2"	""	""	""	""	"4"	""	""	""	""	"644"	""	""	""	""	"0"	"644"	""	""	"0"	""	""
"75"	"44"	""	"3"	""	""	"11"	""	""	""	"10"	""	""	""	"36"	""	""	""	"2"	""	""	""	""	"60"	""	""	""	"2"	""	""	""	"6"	""	""	""	""	"0"	""	""	"2"	""	""	""	"0"	""	""	"8"	""	""	""	"226"	""	""	""	"2"	""	""	""	"1"	""	""	"7"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"0"	""	""	"2"	""	""	""	""	"33"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"417"	""	""	""	""	"0"	"417"	""	""	"0"	""	""
"76"	"45"	""	"22"	""	""	"80"	""	""	""	"9"	""	""	""	"311"	""	""	""	"17"	""	""	""	""	"11"	""	""	""	"15"	""	""	""	"8"	""	""	""	""	"9"	""	""	"8"	""	""	""	"20"	""	""	"16"	""	""	""	"184"	""	""	""	"4"	""	""	""	"3"	""	""	"14"	""	""	""	""	"12"	""	""	""	"4"	""	""	""	""	"8"	""	""	"7"	""	""	""	"4"	""	""	""	""	"4"	""	""	""	"1"	""	""	"1"	""	""	""	""	"35"	""	""	""	""	"2"	""	""	"2"	""	""	""	""	"7"	""	""	""	""	"818"	""	""	""	""	"0"	"818"	""	""	"0"	""	""
"77"	"46"	""	"1"	""	""	"55"	""	""	""	"8"	""	""	""	"31"	""	""	""	"5"	""	""	""	""	"80"	""	""	""	"6"	""	""	""	"56"	""	""	""	""	"5"	""	""	"3"	""	""	""	"47"	""	""	"4"	""	""	""	"47"	""	""	""	"3"	""	""	""	"1"	""	""	"10"	""	""	""	""	"4"	""	""	""	"3"	""	""	""	""	"4"	""	""	"2"	""	""	""	"4"	""	""	""	""	"2"	""	""	""	"1"	""	""	"3"	""	""	""	""	"23"	""	""	""	""	"9"	""	""	"7"	""	""	""	""	"12"	""	""	""	""	"436"	""	""	""	""	"0"	"436"	""	""	"0"	""	""
