"fuokZpuksa..dk..lapkyu..fu.e...1961"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"ºdkuwuh  fu;e  vkSj  vkns'kΩ  øiz:i  20¿"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"øfu;e  56  º7Ω  nsf[k,¿"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"vafre ifj.kke&i="	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ºvf/klwfpr ernku dsUnzksa ls fHkÈ ernku dsUnzksa ij ernku dk ifj.kke vfHkfyf[kr djus ds fy, mi;ksx esa yk;k tk,Ω"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"150  &  Hkkxyiqj  fo/kku  LkHkk  {kss=  ds  fy,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Hkkx   1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"º lalnh; vkSj fo/kku lHkk nkssuksa fuokZpuksa ds fy, mi;ksx esa yk;k tk,Ω"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k ------------------------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"fo/kku lHkk [kaM dk uke ºlalnh; fuokZpu {ks= ls fuokZpu dh n'kk esa --------------------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"ernku dsUnz dh
ÿe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnŸk erksa dh la[;k"
"180"	"108"	"62"	"379"	"2"	"138"	"3"	"1"	"1"	"0"	"1"	"0"	"1"	"588"	""	""
"181"	"109"	"119"	"215"	"1"	"143"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"480"	""	""
"182"	"110"	"273"	"177"	"6"	"147"	"5"	"3"	"5"	"1"	"3"	"5"	"15"	"640"	""	""
"183"	"111"	"237"	"31"	"4"	"325"	"5"	"1"	"2"	"3"	"2"	"3"	"5"	"618"	""	""
"184"	"112"	"183"	"101"	"4"	"293"	"1"	"1"	"4"	"2"	"1"	"3"	"3"	"596"	""	""
"185"	"113"	"47"	"436"	"8"	"50"	"0"	"1"	"4"	"1"	"1"	"1"	"8"	"557"	""	""
"186"	"114"	"37"	"214"	"22"	"64"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"340"	""	""
"187"	"115"	"60"	"167"	"102"	"44"	"1"	"0"	"0"	"1"	"0"	"0"	"2"	"377"	""	""
"188"	"116"	"30"	"153"	"2"	"210"	"7"	"1"	"3"	"1"	"4"	"2"	"8"	"421"	""	""
"189"	"117"	"148"	"161"	"8"	"366"	"4"	"8"	"6"	"11"	"7"	"4"	"16"	"739"	""	""
"190"	"118"	"57"	"297"	"6"	"73"	"3"	"2"	"1"	"2"	"0"	"0"	"7"	"448"	""	""
"191"	"119"	"134"	"218"	"4"	"390"	"16"	"4"	"3"	"5"	"3"	"5"	"5"	"787"	""	""
"192"	"120"	"105"	"429"	"11"	"150"	"7"	"2"	"2"	"11"	"4"	"7"	"12"	"740"	""	""
"193"	"121"	"98"	"162"	"2"	"197"	"2"	"2"	"2"	"2"	"2"	"3"	"6"	"478"	""	""
"194"	";ksx  &"	"1590"	"3140"	"182"	"2590"	"55"	"29"	"33"	"40"	"29"	"33"	"88"	"7809"	""	""
"195"	"xr  Ik`\"B  dk  ;ksx&"	"17156"	"24230"	"519"	"12835"	"343"	"197"	"223"	"154"	"224"	"219"	"626"	"56726"	""	""
"196"	"dqy  ;ksx  &"	"18746"	"27370"	"701"	"15425"	"398"	"226"	"256"	"194"	"253"	"252"	"714"	"64535"	""	""
"197"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"ernku dsUnz dh
ÿe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnŸk erksa dh la[;k"
"199"	""	"vthr 'kekZ"	"vf'ouh dqekj pkScs"	"izrki lkg"	"'kaHkqn;ky [ksrku"	",l vln bdcky"	"ukxjey cktksfj;k /kM+rhidM+"	"'kSysUnz dqekj 'kekZ"	"müke dqekj jk;"	"izHkkdj 'kekZ"	"jkds'k dqekj nqcs"	"'kkjnk uUnu iksnkj"	""	""	""
"200"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"201"	"122"	"117"	"457"	"12"	"121"	"3"	"1"	"5"	"4"	"4"	"6"	"13"	"743"	""	""
"202"	"123"	"115"	"365"	"14"	"146"	"5"	"3"	"9"	"3"	"2"	"6"	"10"	"678"	""	""
"203"	"124"	"75"	"212"	"3"	"187"	"2"	"3"	"4"	"8"	"2"	"4"	"14"	"514"	""	""
"204"	"125"	"84"	"253"	"1"	"32"	"0"	"0"	"1"	"0"	"0"	"0"	"3"	"374"	""	""
"205"	"125 ºdΩ"	"40"	"168"	"2"	"46"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"258"	""	""
"206"	"126"	"120"	"287"	"7"	"176"	"1"	"0"	"2"	"3"	"0"	"1"	"1"	"598"	""	""
"207"	"127"	"50"	"354"	"0"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"437"	""	""
"208"	"128"	"136"	"281"	"2"	"133"	"3"	"0"	"0"	"0"	"0"	"2"	"3"	"560"	""	""
"209"	"129"	"189"	"409"	"5"	"46"	"3"	"2"	"5"	"0"	"1"	"2"	"6"	"668"	""	""
"210"	"130"	"100"	"450"	"3"	"47"	"0"	"0"	"2"	"0"	"0"	"1"	"2"	"605"	""	""
"211"	"131"	"305"	"151"	"3"	"121"	"5"	"9"	"2"	"6"	"6"	"8"	"15"	"631"	""	""
"212"	"132"	"264"	"273"	"10"	"137"	"5"	"2"	"4"	"7"	"12"	"2"	"11"	"727"	""	""
"213"	"133"	"89"	"273"	"6"	"52"	"1"	"0"	"7"	"0"	"0"	"0"	"0"	"428"	""	""
"214"	"134"	"92"	"411"	"3"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"545"	""	""
"215"	";ksx  &"	"1776"	"4344"	"71"	"1314"	"28"	"21"	"42"	"31"	"27"	"32"	"80"	"7766"	""	""
"216"	"xr  Ik`\"B  dk  ;ksx&"	"18746"	"27370"	"701"	"15425"	"398"	"226"	"256"	"194"	"253"	"252"	"714"	"64535"	""	""
"217"	"dqy  ;ksx  &"	"20522"	"31714"	"772"	"16739"	"426"	"247"	"298"	"225"	"280"	"284"	"794"	"72301"	""	""
"218"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"ernku dsUnz dh
ÿe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnŸk erksa dh la[;k"
"220"	""	"vthr 'kekZ"	"vf'ouh dqekj pkScs"	"izrki lkg"	"'kaHkqn;ky [ksrku"	",l vln bdcky"	"ukxjey cktksfj;k /kM+rhidM+"	"'kSysUnz dqekj 'kekZ"	"müke dqekj jk;"	"izHkkdj 'kekZ"	"jkds'k dqekj nqcs"	"'kkjnk uUnu iksnkj"	""	""	""
"221"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"222"	"135"	"395"	"9"	"1"	"232"	"2"	"2"	"0"	"0"	"1"	"4"	"10"	"656"	""	""
"223"	"136"	"364"	"7"	"2"	"63"	"2"	"0"	"1"	"0"	"1"	"0"	"4"	"444"	""	""
"224"	"137"	"310"	"10"	"3"	"23"	"2"	"0"	"0"	"1"	"1"	"3"	"3"	"356"	""	""
"225"	"138"	"549"	"12"	"2"	"80"	"2"	"1"	"4"	"2"	"1"	"1"	"2"	"656"	""	""
"226"	"139"	"532"	"78"	"1"	"56"	"5"	"2"	"1"	"0"	"0"	"0"	"3"	"678"	""	""
"227"	"140"	"322"	"7"	"1"	"48"	"8"	"2"	"0"	"2"	"2"	"2"	"6"	"400"	""	""
"228"	"141"	"400"	"18"	"3"	"123"	"5"	"1"	"5"	"0"	"4"	"3"	"10"	"572"	""	""
"229"	"142"	"136"	"644"	"14"	"27"	"2"	"0"	"0"	"1"	"1"	"1"	"6"	"832"	""	""
"230"	"143"	"209"	"343"	"6"	"20"	"2"	"1"	"1"	"1"	"0"	"0"	"3"	"586"	""	""
"231"	"144"	"251"	"348"	"30"	"33"	"1"	"0"	"1"	"1"	"2"	"2"	"14"	"683"	""	""
"232"	"145"	"184"	"228"	"1"	"11"	"0"	"1"	"3"	"1"	"0"	"0"	"6"	"435"	""	""
"233"	"146"	"139"	"456"	"4"	"32"	"1"	"0"	"1"	"0"	"2"	"1"	"2"	"638"	""	""
"234"	"147"	"117"	"272"	"8"	"40"	"2"	"1"	"1"	"0"	"0"	"0"	"3"	"444"	""	""
"235"	"148"	"163"	"335"	"2"	"28"	"0"	"0"	"3"	"1"	"1"	"3"	"10"	"546"	""	""
"236"	";ksx  &"	"4071"	"2767"	"78"	"816"	"34"	"11"	"21"	"10"	"16"	"20"	"82"	"7926"	""	""
"237"	"xr  Ik`\"B  dk  ;ksx&"	"20522"	"31714"	"772"	"16739"	"426"	"247"	"298"	"225"	"280"	"284"	"794"	"72301"	""	""
"238"	"dqy  ;ksx  &"	"24593"	"34481"	"850"	"17555"	"460"	"258"	"319"	"235"	"296"	"304"	"876"	"80227"	""	""
"239"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"ernku dsUnz dh
ÿe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnŸk erksa dh la[;k"
"241"	""	"vthr 'kekZ"	"vf'ouh dqekj pkScs"	"izrki lkg"	"kaHkqn;ky [ksrku"	",l vln bdcky"	"ukxjey cktksfj;k /kM+rhidM+"	"kSysUnz dqekj 'kekZ"	"müke dqekj jk;"	"izHkkdj 'kekZ"	"jkds'k dqekj nqcs"	"kkjnk uUnu iksnkj"	""	""	""
"242"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"243"	"149"	"100"	"537"	"7"	"90"	"0"	"2"	"0"	"1"	"2"	"1"	"6"	"746"	""	""
"244"	"150"	"163"	"601"	"6"	"70"	"5"	"0"	"2"	"2"	"1"	"0"	"1"	"851"	""	""
"245"	"151"	"45"	"390"	"6"	"40"	"0"	"0"	"1"	"1"	"2"	"0"	"3"	"488"	""	""
"246"	"152"	"78"	"436"	"14"	"62"	"1"	"0"	"1"	"0"	"0"	"0"	"2"	"594"	""	""
"247"	"153"	"167"	"325"	"11"	"58"	"1"	"3"	"3"	"0"	"1"	"1"	"3"	"573"	""	""
"248"	"154"	"193"	"304"	"3"	"53"	"1"	"3"	"1"	"0"	"6"	"3"	"2"	"569"	""	""
"249"	"155"	"45"	"579"	"4"	"133"	"5"	"2"	"0"	"0"	"1"	"2"	"6"	"777"	""	""
"250"	"156"	"162"	"491"	"6"	"112"	"3"	"1"	"2"	"2"	"1"	"3"	"1"	"784"	""	""
"251"	"157"	"58"	"584"	"6"	"119"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"771"	""	""
"252"	"158"	"21"	"413"	"1"	"125"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"563"	""	""
"253"	"159"	"306"	"10"	"1"	"106"	"0"	"0"	"1"	"2"	"3"	"1"	"4"	"434"	""	""
"254"	"160"	"501"	"10"	"1"	"86"	"0"	"0"	"0"	"1"	"0"	"0"	"6"	"605"	""	""
"255"	"161"	"321"	"8"	"2"	"90"	"6"	"2"	"1"	"0"	"1"	"3"	"2"	"436"	""	""
"256"	"162"	"302"	"8"	"0"	"165"	"2"	"2"	"2"	"3"	"3"	"0"	"7"	"494"	""	""
"257"	";ksx  &"	"2462"	"4696"	"68"	"1309"	"26"	"16"	"14"	"12"	"21"	"17"	"44"	"8685"	""	""
"258"	"xr  Ik`\"B  dk  ;ksx&"	"24593"	"34481"	"850"	"17555"	"460"	"258"	"319"	"235"	"296"	"304"	"876"	"80227"	""	""
"259"	"dqy  ;ksx  &"	"27055"	"39177"	"918"	"18864"	"486"	"274"	"333"	"247"	"317"	"321"	"920"	"88912"	""	""
"260"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"ernku dsUnz dh
ÿe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnŸk erksa dh la[;k"
"262"	""	"vthr 'kekZ"	"vf'ouh dqekj pkScs"	"izrki lkg"	"kaHkqn;ky [ksrku"	",l vln bdcky"	"ukxjey cktksfj;k /kM+rhidM+"	"kSysUnz dqekj 'kekZ"	"müke dqekj jk;"	"izHkkdj 'kekZ"	"jkds'k dqekj nqcs"	"kkjnk uUnu iksnkj"	""	""	""
"263"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"264"	"163"	"215"	"227"	"8"	"43"	"2"	"3"	"6"	"0"	"0"	"3"	"4"	"511"	""	""
"265"	"164"	"232"	"0"	"0"	"130"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"366"	""	""
"266"	"165"	"292"	"11"	"2"	"198"	"4"	"1"	"2"	"2"	"2"	"1"	"7"	"522"	""	""
"267"	"166"	"489"	"54"	"2"	"100"	"4"	"3"	"0"	"2"	"2"	"2"	"18"	"676"	""	""
"268"	"167"	"65"	"141"	"7"	"144"	"6"	"1"	"2"	"5"	"0"	"4"	"18"	"393"	""	""
"269"	"168"	"4"	"2"	"138"	"16"	"0"	"1"	"0"	"1"	"3"	"8"	"8"	"181"	""	""
"270"	"169"	"114"	"459"	"8"	"69"	"3"	"3"	"0"	"3"	"0"	"0"	"2"	"661"	""	""
"271"	"170"	"69"	"346"	"3"	"64"	"2"	"1"	"0"	"0"	"0"	"1"	"4"	"490"	""	""
"272"	"171"	"56"	"463"	"11"	"45"	"2"	"3"	"0"	"0"	"2"	"2"	"1"	"585"	""	""
"273"	"172"	"35"	"235"	"4"	"21"	"2"	"0"	"1"	"0"	"1"	"0"	"2"	"301"	""	""
"274"	"173"	"155"	"536"	"2"	"47"	"0"	"1"	"7"	"1"	"1"	"2"	"3"	"755"	""	""
"275"	"174"	"149"	"329"	"52"	"27"	"1"	"3"	"3"	"5"	"8"	"6"	"12"	"595"	""	""
"276"	"175"	"52"	"526"	"10"	"20"	"0"	"1"	"2"	"1"	"2"	"4"	"9"	"627"	""	""
"277"	"176"	"115"	"324"	"55"	"51"	"4"	"2"	"2"	"0"	"4"	"1"	"17"	"575"	""	""
"278"	";ksx  &"	"2042"	"3653"	"302"	"975"	"30"	"23"	"25"	"20"	"25"	"35"	"108"	"7238"	""	""
"279"	"xr  Ik`\"B  dk  ;ksx&"	"27055"	"39177"	"918"	"18864"	"486"	"274"	"333"	"247"	"317"	"321"	"920"	"88912"	""	""
"280"	"dqy  ;ksx  &"	"29097"	"42830"	"1220"	"19839"	"516"	"297"	"358"	"267"	"342"	"356"	"1028"	"96150"	""	""
"281"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"ernku dsUnz dh
ÿe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnŸk erksa dh la[;k"
"283"	""	"vthr 'kekZ"	"vf'ouh dqekj pkScs"	"izrki lkg"	"'kaHkqn;ky [ksrku"	",l vln bdcky"	"ukxjey cktksfj;k /kM+rhidM+"	"'kSysUnz dqekj 'kekZ"	"müke dqekj jk;"	"izHkkdj 'kekZ"	"jkds'k dqekj nqcs"	"'kkjnk uUnu iksnkj"	""	""	""
"284"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"285"	"177"	"60"	"377"	"5"	"75"	"4"	"3"	"0"	"3"	"1"	"1"	"7"	"536"	""	""
"286"	"178"	"99"	"322"	"55"	"62"	"0"	"3"	"2"	"0"	"0"	"0"	"4"	"547"	""	""
"287"	"179"	"82"	"489"	"49"	"30"	"5"	"2"	"3"	"7"	"2"	"2"	"10"	"681"	""	""
"288"	"180"	"103"	"83"	"7"	"165"	"8"	"2"	"3"	"2"	"3"	"5"	"7"	"388"	""	""
"289"	"181"	"161"	"6"	"11"	"260"	"15"	"5"	"4"	"2"	"3"	"2"	"16"	"485"	""	""
"290"	"182"	"276"	"6"	"29"	"169"	"4"	"1"	"1"	"1"	"1"	"0"	"2"	"490"	""	""
"291"	"183"	"117"	"82"	"5"	"233"	"8"	"1"	"1"	"1"	"1"	"0"	"3"	"452"	""	""
"292"	"184"	"53"	"220"	"6"	"115"	"3"	"5"	"3"	"1"	"0"	"1"	"4"	"411"	""	""
"293"	"184 ºdΩ"	"68"	"287"	"2"	"36"	"1"	"0"	"0"	"0"	"1"	"0"	"5"	"400"	""	""
"294"	"185"	"97"	"494"	"7"	"41"	"2"	"1"	"2"	"2"	"1"	"2"	"6"	"655"	""	""
"295"	"186"	"25"	"202"	"3"	"59"	"2"	"1"	"0"	"0"	"0"	"2"	"3"	"297"	""	""
"296"	"187"	"78"	"350"	"14"	"44"	"2"	"0"	"1"	"1"	"3"	"4"	"8"	"505"	""	""
"297"	"188"	"314"	"229"	"48"	"99"	"3"	"5"	"4"	"3"	"3"	"1"	"10"	"719"	""	""
"298"	"189"	"177"	"314"	"173"	"63"	"4"	"1"	"4"	"2"	"0"	"6"	"5"	"749"	""	""
"299"	";ksx  &"	"1710"	"3461"	"414"	"1451"	"61"	"30"	"28"	"25"	"19"	"26"	"90"	"7315"	""	""
"300"	"xr  Ik`\"B  dk  ;ksx&"	"29097"	"42830"	"1220"	"19839"	"516"	"297"	"358"	"267"	"342"	"356"	"1028"	"96150"	""	""
"301"	"dqy  ;ksx  &"	"30807"	"46291"	"1634"	"21290"	"577"	"327"	"386"	"292"	"361"	"382"	"1118"	"103465"	""	""
"302"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"ernku dsUnz dh
ÿe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnŸk erksa dh la[;k"
"304"	""	"vthr 'kekZ"	"vf'ouh dqekj pkScs"	"izrki lkg"	"kaHkqn;ky [ksrku"	",l vln bdcky"	"ukxjey cktksfj;k /kM+rhidM+"	"kSysUnz dqekj 'kekZ"	"müke dqekj jk;"	"izHkkdj 'kekZ"	"jkds'k dqekj nqcs"	"kkjnk uUnu iksnkj"	""	""	""
"305"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"306"	"190"	"239"	"7"	"2"	"136"	"5"	"1"	"2"	"0"	"0"	"1"	"17"	"410"	""	""
"307"	"191"	"230"	"176"	"3"	"116"	"0"	"0"	"0"	"1"	"1"	"3"	"8"	"538"	""	""
"308"	"192"	"76"	"417"	"31"	"78"	"3"	"0"	"1"	"0"	"0"	"1"	"2"	"609"	""	""
"309"	"193"	"51"	"451"	"9"	"89"	"5"	"0"	"1"	"1"	"3"	"0"	"8"	"618"	""	""
"310"	"194"	"96"	"328"	"15"	"65"	"2"	"2"	"8"	"5"	"0"	"7"	"7"	"535"	""	""
"311"	"195"	"67"	"486"	"9"	"91"	"1"	"2"	"2"	"1"	"4"	"4"	"9"	"676"	""	""
"312"	"196"	"160"	"355"	"6"	"53"	"4"	"2"	"3"	"0"	"0"	"0"	"1"	"584"	""	""
"313"	"197"	"62"	"320"	"2"	"109"	"5"	"0"	"1"	"3"	"2"	"4"	"2"	"510"	""	""
"314"	"198"	"122"	"494"	"8"	"75"	"0"	"0"	"9"	"4"	"4"	"0"	"6"	"722"	""	""
"315"	"199"	"117"	"317"	"1"	"46"	"4"	"2"	"7"	"3"	"3"	"1"	"2"	"503"	""	""
"316"	"200"	"100"	"192"	"6"	"179"	"5"	"4"	"1"	"2"	"1"	"0"	"7"	"497"	""	""
"317"	"201"	"83"	"246"	"10"	"51"	"5"	"1"	"4"	"1"	"7"	"3"	"19"	"430"	""	""
"318"	"202"	"154"	"71"	"4"	"165"	"9"	"4"	"1"	"2"	"2"	"2"	"6"	"420"	""	""
"319"	"203"	"167"	"80"	"6"	"249"	"7"	"5"	"3"	"8"	"6"	"2"	"7"	"540"	""	""
"320"	";ksx  &"	"1724"	"3940"	"112"	"1502"	"55"	"23"	"43"	"31"	"33"	"28"	"101"	"7592"	""	""
"321"	"xr  Ik`\"B  dk  ;ksx&"	"30807"	"46291"	"1634"	"21290"	"577"	"327"	"386"	"292"	"361"	"382"	"1118"	"103465"	""	""
"322"	"dqy  ;ksx  &"	"32531"	"50231"	"1746"	"22792"	"632"	"350"	"429"	"323"	"394"	"410"	"1219"	"111057"	""	""
"323"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"ernku dsUnz dh
ÿe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnŸk erksa dh la[;k"
"325"	""	"vthr 'kekZ"	"vf'ouh dqekj pkScs"	"izrki lkg"	"kaHkqn;ky [ksrku"	",l vln bdcky"	"ukxjey cktksfj;k /kM+rhidM+"	"kSysUnz dqekj 'kekZ"	"müke dqekj jk;"	"izHkkdj 'kekZ"	"jkds'k dqekj nqcs"	"kkjnk uUnu iksnkj"	""	""	""
"326"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"327"	"204"	"117"	"394"	"10"	"117"	"8"	"3"	"14"	"6"	"3"	"3"	"13"	"688"	""	""
"328"	"205"	"152"	"256"	"12"	"232"	"6"	"4"	"4"	"6"	"6"	"1"	"8"	"687"	""	""
"329"	"206"	"72"	"399"	"6"	"35"	"6"	"1"	"2"	"1"	"1"	"3"	"7"	"533"	""	""
"330"	"207"	"117"	"521"	"5"	"34"	"2"	"1"	"5"	"0"	"5"	"2"	"24"	"716"	""	""
"331"	"208"	"98"	"232"	"43"	"18"	"3"	"2"	"4"	"2"	"1"	"1"	"8"	"412"	""	""
"332"	"209"	"47"	"303"	"5"	"64"	"3"	"1"	"1"	"0"	"1"	"1"	"1"	"427"	""	""
"333"	"210"	"111"	"253"	"15"	"36"	"0"	"1"	"1"	"0"	"1"	"4"	"2"	"424"	""	""
"334"	"211"	"144"	"375"	"9"	"91"	"3"	"4"	"2"	"5"	"2"	"1"	"7"	"643"	""	""
"335"	"212"	"71"	"323"	"2"	"36"	"1"	"0"	"1"	"1"	"0"	"2"	"3"	"440"	""	""
"336"	"213"	"95"	"476"	"16"	"67"	"6"	"2"	"3"	"4"	"3"	"5"	"8"	"685"	""	""
"337"	";ksx  &"	"1024"	"3532"	"123"	"730"	"38"	"19"	"37"	"25"	"23"	"23"	"81"	"5655"	""	""
"338"	"xr  Ik`\"B  dk  ;ksx&"	"32531"	"50231"	"1746"	"22792"	"632"	"350"	"429"	"323"	"394"	"410"	"1219"	"111057"	""	""
"339"	"ernku  dsUnzksa ij
vfHkfyf[kr erksa  dh dqy  la[;k  &"	"33555"	"53763"	"1869"	"23522"	"670"	"369"	"466"	"348"	"417"	"433"	"1300"	"116712"	""	""
"340"	"Mkd  er  I=ksa  ij
vfHkfyf[kr erksa  dh la[;k  &"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	""	""
"341"	"Mkys  x;s  dqy  er  &"	"33555"	"53765"	"1869"	"23522"	"670"	"369"	"466"	"348"	"417"	"433"	"1300"	"116714"	""	""
"342"	"LFkku  &  jktdh;  iksyfVdfud  cjkjh]  Hkkxyiqj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"343"	"rkfj[k  &  ----27@02@2005--------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"344"	"fuokZph  inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"345"	"&lg& vuqe.My inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"346"	"lnj  Hkkxyiqj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
