"Total.No..of.Electors.in.Asembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"Name of the Assembly Constituency : - 89 Darbhanga"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [(SEE RULE 56C (2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"172"	"152"	"152"	"12"	"150"	"336"	"14"	"2"	"12"	"135"	"3"	"4"	"8"	"4"	"10"	"690"	"-"	"690"	""
"173"	"153"	"153"	"4"	"83"	"230"	"9"	"7"	"40"	"134"	"3"	"2"	"11"	"2"	"23"	"548"	"-"	"548"	""
"174"	"154"	"154"	"3"	"56"	"124"	"3"	"5"	"6"	"78"	"5"	"1"	"3"	"1"	"2"	"287"	"-"	"287"	""
"175"	"155"	"155"	"20"	"172"	"101"	"5"	"7"	"8"	"119"	"15"	"1"	"5"	"6"	"24"	"483"	"-"	"483"	""
"176"	"156"	"156"	"6"	"42"	"382"	"14"	"2"	"3"	"43"	"4"	"2"	"2"	"1"	"1"	"502"	"-"	"502"	""
"177"	"157"	"157"	"14"	"16"	"239"	"19"	"2"	"12"	"55"	"11"	"8"	"7"	"13"	"25"	"421"	"-"	"421"	""
"178"	"158"	"158"	"14"	"169"	"85"	"4"	"1"	"3"	"67"	"4"	"10"	"9"	"14"	"26"	"406"	"-"	"406"	""
"179"	"159"	"159"	"15"	"91"	"82"	"118"	"14"	"11"	"102"	"15"	"13"	"10"	"7"	"25"	"503"	"-"	"503"	""
"180"	"160"	"160"	"10"	"210"	"17"	"3"	"1"	"2"	"135"	"5"	"1"	"2"	"3"	"4"	"393"	"-"	"393"	""
"181"	"161"	"161"	"13"	"155"	"64"	"9"	"16"	"13"	"181"	"21"	"8"	"5"	"5"	"15"	"505"	"-"	"505"	""
"182"	"162"	"162"	"9"	"342"	"10"	"1"	"1"	"1"	"21"	"4"	"0"	"0"	"3"	"13"	"405"	"-"	"405"	""
"183"	"163"	"163"	"20"	"138"	"16"	"1"	"3"	"10"	"183"	"27"	"6"	"0"	"5"	"18"	"427"	"-"	"427"	""
"184"	"164"	"164"	"16"	"302"	"62"	"3"	"7"	"116"	"131"	"17"	"3"	"7"	"12"	"11"	"687"	"-"	"687"	""
"185"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"186"	""	""	"Madhuri Ranjeeta Mahabir Devi"	"Md. Mumtaz Alam"	"Sanjay Sarawagi"	"Kamod Prasad"	"Vijay Kumar Mahto"	"Shivan Yadav"	"Satya Narayan Gami"	"Abdul Allam"	"Kapildev Mahaset h"	"Bharat Yadav"	"Baidhnath khandelbal Patwa"	"Sanjay Kumar Roy"	""	""	""	""
"187"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"188"	"165"	"165"	"32"	"29"	"54"	"6"	"3"	"25"	"379"	"35"	"7"	"17"	"6"	"31"	"624"	"-"	"624"	""
"189"	"166"	"166"	"6"	"57"	"29"	"2"	"3"	"234"	"157"	"12"	"1"	"0"	"20"	"8"	"529"	"-"	"529"	""
"190"	"167"	"167"	"21"	"48"	"376"	"17"	"8"	"52"	"73"	"8"	"6"	"10"	"7"	"11"	"637"	"-"	"637"	""
"191"	"168"	"168"	"25"	"222"	"100"	"7"	"4"	"34"	"80"	"17"	"7"	"8"	"14"	"22"	"540"	"-"	"540"	""
"192"	"169"	"169"	"24"	"106"	"327"	"7"	"1"	"5"	"65"	"8"	"4"	"3"	"2"	"8"	"560"	"-"	"560"	""
"193"	"170"	"170"	"19"	"131"	"78"	"6"	"3"	"11"	"169"	"9"	"6"	"2"	"2"	"6"	"442"	"-"	"442"	""
"194"	"171"	"171"	"9"	"53"	"293"	"5"	"1"	"10"	"133"	"5"	"5"	"7"	"3"	"8"	"532"	"-"	"532"	""
"195"	"Total No. of votes recording at polling Stations"	""	"1636"	"28887"	"43075"	"915"	"422"	"1516"	"23908"	"1339"	"554"	"738"	"773"	"1824"	"105587"	"-"	"105587"	""
"196"	"No. of votes recorded on postal ballot papers (To be election from an assembly constituency)"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	""
"197"	"Total Votes polled"	""	"1636"	"28887"	"43075"	"915"	"422"	"1516"	"23908"	"1339"	"554"	"738"	"773"	"1824"	"105587"	"-"	"105587"	""
"198"	"Place :   DARBHANGA                                                                                                                                                                                              Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"Date  :   27.02.2005                                                                                                                                                                                                 89 - Darbhanga"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
