"Serial.No.of.Polling.Station."	"Dilip.Kumar.Raj.Kushwaha"	"Ramnath.Thakur"	"Shahid.Ahmed"	"Arun.Kumar.Singh"	"Asha.Devi"	"Umesh.Kumar"	"Asho.k.Singh"	"Umes.h.Mahto"	"Naresh.Paswan"	"Total.of.valid.Votes"	"No.of.rejected.votes"	"Total"	"No.of.Tendered.Votes"
"225"	"184"	"10"	"216"	"265"	"60"	"16"	"9"	"8"	"3"	"7"	"594"	""	"594"	""
"226"	"185"	"20"	"318"	"156"	"69"	"7"	"8"	"12"	"14"	"31"	"635"	""	"635"	""
"227"	"186"	"12"	"189"	"330"	"48"	"5"	"8"	"5"	"3"	"5"	"605"	""	"605"	""
"228"	"187"	"41"	"146"	"158"	"164"	"11"	"14"	"17"	"8"	"15"	"574"	""	"574"	""
"229"	"188"	"11"	"65"	"222"	"55"	"38"	"4"	"3"	"4"	"13"	"415"	""	"415"	""
"230"	"189"	"17"	"151"	"38"	"214"	"17"	"16"	"20"	"9"	"13"	"495"	""	"495"	""
"231"	"190"	"24"	"162"	"82"	"32"	"5"	"4"	"3"	"3"	"12"	"327"	""	"327"	""
"232"	"191"	"50"	"303"	"73"	"30"	"3"	"11"	"9"	"13"	"7"	"499"	""	"499"	""
"233"	"192"	"2"	"445"	"72"	"34"	"3"	"2"	"1"	"0"	"1"	"560"	""	"560"	""
"234"	"193"	"25"	"167"	"127"	"184"	"5"	"9"	"7"	"6"	"16"	"546"	""	"546"	""
"235"	"194"	"12"	"203"	"139"	"29"	"1"	"1"	"8"	"5"	"5"	"403"	""	"403"	""
"236"	"195"	"16"	"292"	"102"	"77"	"6"	"4"	"4"	"2"	"2"	"505"	""	"505"	""
"237"	"196"	"14"	"208"	"127"	"74"	"3"	"27"	"12"	"3"	"8"	"476"	""	"476"	""
"238"	"Page Total"	"3406"	"47987"	"24194"	"10809"	"952"	"1724"	"1135"	"1011"	"1749"	"92967"	"0"	"92967"	"0"
"239"	"B.F."	"3406"	"47987"	"24194"	"10809"	"952"	"1724"	"1135"	"1011"	"1749"	"92967"	"0"	"92967"	"0"
"240"	"Serial No.of Polling Station*"	"Dilip Kumar Raj Kushwaha"	"Ramnath Thakur"	"Shahid Ahmed"	"Arun Kumar Singh"	"Asha Devi"	"Umesh Kumar"	"Asho k Singh"	"Umes h Mahto"	"Naresh Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"241"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"242"	"197"	"26"	"113"	"288"	"173"	"11"	"64"	"17"	"5"	"7"	"704"	""	"704"	""
"243"	"198"	"18"	"59"	"378"	"140"	"10"	"28"	"10"	"8"	"19"	"670"	""	"670"	""
"244"	"199"	"59"	"71"	"367"	"48"	"5"	"21"	"5"	"12"	"14"	"602"	""	"602"	""
"245"	"200"	"21"	"194"	"274"	"56"	"7"	"13"	"14"	"13"	"33"	"625"	""	"625"	""
"246"	"201"	"7"	"66"	"446"	"28"	"1"	"8"	"7"	"1"	"15"	"579"	""	"579"	""
"247"	"202"	"28"	"34"	"337"	"54"	"8"	"10"	"5"	"2"	"13"	"491"	""	"491"	""
"248"	"203"	"2"	"13"	"499"	"45"	"0"	"4"	"0"	"2"	"0"	"565"	""	"565"	""
"249"	"204"	"28"	"513"	"67"	"185"	"8"	"23"	"14"	"11"	"7"	"856"	""	"856"	""
"250"	"205"	"38"	"83"	"314"	"84"	"9"	"16"	"15"	"11"	"32"	"602"	""	"602"	""
"251"	"206"	"2"	"202"	"33"	"32"	"4"	"8"	"4"	"4"	"0"	"289"	""	"289"	""
"252"	"207"	"30"	"267"	"66"	"73"	"4"	"20"	"10"	"1"	"19"	"490"	""	"490"	""
"253"	"208"	"14"	"76"	"402"	"43"	"7"	"9"	"8"	"2"	"9"	"570"	""	"570"	""
"254"	"209"	"25"	"218"	"352"	"48"	"11"	"30"	"9"	"17"	"11"	"721"	""	"721"	""
"255"	"210"	"5"	"45"	"519"	"59"	"3"	"18"	"3"	"1"	"5"	"658"	""	"658"	""
"256"	"Page Total"	"3709"	"49941"	"28536"	"11877"	"1040"	"1996"	"1256"	"1101"	"1933"	"101389"	"0"	"101389"	"0"
"257"	"B.F."	"3709"	"49941"	"28536"	"11877"	"1040"	"1996"	"1256"	"1101"	"1933"	"101389"	"0"	"101389"	"0"
"258"	"211"	"26"	"229"	"174"	"249"	"10"	"13"	"16"	"9"	"16"	"742"	""	"742"	""
"259"	"212"	"42"	"168"	"71"	"124"	"11"	"22"	"17"	"11"	"46"	"512"	""	"512"	""
"260"	"213"	"21"	"347"	"80"	"42"	"6"	"13"	"5"	"4"	"1"	"519"	""	"519"	""
"261"	"214"	"11"	"221"	"84"	"42"	"4"	"4"	"2"	"5"	"7"	"380"	""	"380"	""
"262"	"215"	"28"	"255"	"113"	"34"	"6"	"9"	"2"	"4"	"4"	"455"	""	"455"	""
"263"	"216"	"18"	"137"	"318"	"144"	"10"	"6"	"3"	"3"	"6"	"645"	""	"645"	""
"264"	"217"	"20"	"183"	"189"	"134"	"16"	"22"	"12"	"17"	"18"	"611"	""	"611"	""
"265"	"218"	"23"	"122"	"31"	"38"	"4"	"13"	"4"	"4"	"6"	"245"	""	"245"	""
"266"	"219"	"6"	"750"	"31"	"6"	"1"	"3"	"0"	"1"	"3"	"801"	""	"801"	""
"267"	"220"	"21"	"187"	"93"	"53"	"14"	"70"	"10"	"6"	"33"	"487"	""	"487"	""
"268"	"221"	"13"	"95"	"46"	"120"	"4"	"10"	"11"	"4"	"10"	"313"	""	"313"	""
"269"	"222"	"22"	"88"	"171"	"17"	"7"	"39"	"10"	"7"	"15"	"376"	""	"376"	""
"270"	"Serial No.of Polling Station*"	"Dilip Kumar Raj Kushwaha"	"Ramnath Thakur"	"Shahid Ahmed"	"Arun Kumar Singh"	"Asha Devi"	"Umesh Kumar"	"Asho k Singh"	"Umes h Mahto"	"Naresh Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"271"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"272"	"223"	"1"	"461"	"5"	"13"	"0"	"1"	"0"	"0"	"0"	"481"	""	"481"	""
"273"	"224"	"5"	"16"	"23"	"53"	"4"	"0"	"2"	"3"	"0"	"106"	""	"106"	""
"274"	"Page Total"	"3966"	"53200"	"29965"	"12946"	"1137"	"2221"	"1350"	"1179"	"2098"	"108062"	"0"	"108062"	"0"
"275"	"Total No of votes recorded at Polling Stations"	"3966"	"53200"	"29965"	"12946"	"1137"	"2221"	"1350"	"1179"	"2098"	"108062"	"0"	"108062"	"0"
"276"	"No. of Votes recorded on Postal ballot Papers"	"0"	"2"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"5"	""	"5"	""
"277"	"Total Votes Polled"	"3966"	"53202"	"29965"	"12946"	"1139"	"2222"	"1350"	"1179"	"2098"	"108067"	"0"	"108067"	"0"
"278"	"Place :- SAMASTIPUE COLLEGE, SAMASTIPUR                                                                Asstt. R.O."	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"95-Samastipur"	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"Date:- 27th Feb 2005                                                                                                                                                      Samastipur"	""	""	""	""	""	""	""	""	""	""	""	""	""
