"Sl.No.of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"Total.of.valid.votes"	"No.of.Rejected.votes"	"Total"	"No.of.Tendered.votes"
"185"	"143"	"20"	"66"	"57"	"5"	"154"	"4"	"5"	"1"	"0"	"0"	"3"	"315"	"0"	"315"	"0"
"186"	"144"	"30"	"90"	"36"	"22"	"288"	"8"	"20"	"4"	"5"	"7"	"15"	"525"	"0"	"525"	"0"
"187"	"145"	"67"	"214"	"14"	"2"	"124"	"9"	"11"	"93"	"5"	"10"	"6"	"555"	"0"	"555"	"0"
"188"	"146"	"43"	"57"	"34"	"2"	"97"	"4"	"4"	"8"	"4"	"5"	"8"	"266"	"0"	"266"	"0"
"189"	"147"	"36"	"304"	"219"	"22"	"101"	"14"	"6"	"2"	"19"	"6"	"35"	"764"	"0"	"764"	"0"
"190"	"148"	"60"	"386"	"139"	"10"	"78"	"7"	"6"	"6"	"14"	"26"	"25"	"757"	"0"	"757"	"0"
"191"	"149"	"39"	"236"	"130"	"5"	"76"	"3"	"3"	"3"	"1"	"4"	"9"	"509"	"0"	"509"	"0"
"192"	"150"	"56"	"250"	"96"	"12"	"70"	"5"	"3"	"6"	"7"	"5"	"6"	"516"	"0"	"516"	"0"
"193"	"151"	"32"	"112"	"164"	"5"	"72"	"98"	"8"	"7"	"11"	"12"	"24"	"545"	"0"	"545"	"0"
"194"	"152"	"33"	"58"	"99"	"13"	"140"	"49"	"9"	"3"	"2"	"10"	"18"	"434"	"0"	"434"	"0"
"195"	"153"	"55"	"104"	"117"	"9"	"114"	"33"	"7"	"6"	"8"	"8"	"20"	"481"	"0"	"481"	"0"
"196"	"154"	"76"	"215"	"145"	"17"	"144"	"26"	"16"	"9"	"8"	"8"	"12"	"676"	"0"	"676"	"0"
"197"	"Total"	"663"	"2510"	"1421"	"141"	"1701"	"269"	"113"	"223"	"93"	"108"	"204"	"7446"	"0"	"7446"	"0"
"198"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"199"	""	"Rajendra Paswan"	"Ram Binod Paswan"	"Ramanan d Ram"	"Shiv Narayan Ram"	"Dhirendra Kumar"	"Nand Kishor Sada"	"Paltan Sada"	"Raja Ram Arya"	"Arun Paswan"	"Upendra Paswan"	"Ram Shankar Paswan"	""	""	""	""
"200"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"201"	"155"	"58"	"186"	"87"	"9"	"175"	"10"	"8"	"5"	"3"	"8"	"11"	"560"	"0"	"560"	"0"
"202"	"156"	"116"	"78"	"213"	"40"	"103"	"11"	"5"	"8"	"4"	"3"	"9"	"590"	"0"	"590"	"0"
"203"	"157"	"22"	"51"	"107"	"36"	"247"	"22"	"11"	"9"	"11"	"13"	"12"	"541"	"0"	"541"	"0"
"204"	"158"	"51"	"289"	"20"	"15"	"289"	"17"	"10"	"4"	"4"	"6"	"9"	"714"	"0"	"714"	"0"
"205"	"159"	"129"	"127"	"72"	"10"	"129"	"18"	"8"	"10"	"4"	"12"	"20"	"539"	"0"	"539"	"0"
"206"	"160"	"150"	"91"	"44"	"37"	"83"	"10"	"10"	"16"	"4"	"12"	"43"	"500"	"0"	"500"	"0"
"207"	"161"	"168"	"207"	"94"	"6"	"130"	"10"	"5"	"24"	"2"	"9"	"8"	"663"	"0"	"663"	"0"
"208"	"162"	"81"	"157"	"183"	"11"	"105"	"29"	"5"	"7"	"6"	"7"	"13"	"604"	"0"	"604"	"0"
"209"	"163"	"42"	"193"	"89"	"12"	"162"	"26"	"22"	"12"	"5"	"17"	"15"	"595"	"0"	"595"	"0"
"210"	"164"	"93"	"120"	"143"	"6"	"55"	"2"	"3"	"2"	"1"	"4"	"0"	"429"	"0"	"429"	"0"
"211"	"165"	"67"	"303"	"125"	"10"	"99"	"6"	"5"	"1"	"6"	"14"	"14"	"650"	"0"	"650"	"0"
"212"	"166"	"58"	"168"	"173"	"16"	"92"	"51"	"10"	"3"	"6"	"10"	"12"	"599"	"0"	"599"	"0"
"213"	"167"	"40"	"253"	"96"	"13"	"157"	"21"	"20"	"13"	"10"	"30"	"62"	"715"	"0"	"715"	"0"
"214"	"168"	"22"	"64"	"55"	"5"	"205"	"4"	"10"	"4"	"6"	"8"	"12"	"395"	"0"	"395"	"0"
"215"	"Total"	"1097"	"2287"	"1501"	"226"	"2031"	"237"	"132"	"118"	"72"	"153"	"240"	"8094"	"0"	"8094"	"0"
"216"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"217"	""	"Rajendra Paswan"	"Ram Binod Paswan"	"Ramanan d Ram"	"Shiv Narayan Ram"	"Dhirendra Kumar"	"Nand Kishor Sada"	"Paltan Sada"	"Raja Ram Arya"	"Arun Paswan"	"Upendra Paswan"	"Ram Shankar Paswan"	""	""	""	""
"218"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"219"	"169"	"21"	"159"	"153"	"9"	"121"	"13"	"10"	"11"	"8"	"7"	"17"	"529"	"0"	"529"	"0"
"220"	"170"	"120"	"233"	"22"	"5"	"216"	"7"	"5"	"1"	"6"	"9"	"10"	"634"	"0"	"634"	"0"
"221"	"171"	"35"	"244"	"123"	"19"	"193"	"8"	"8"	"3"	"4"	"10"	"15"	"662"	"0"	"662"	"0"
"222"	"172"	"43"	"85"	"82"	"10"	"109"	"5"	"3"	"3"	"8"	"12"	"20"	"380"	"0"	"380"	"0"
"223"	"173"	"43"	"140"	"27"	"38"	"195"	"17"	"18"	"9"	"6"	"11"	"18"	"522"	"0"	"522"	"0"
"224"	"Total"	"262"	"861"	"407"	"81"	"834"	"50"	"44"	"27"	"32"	"49"	"80"	"2727"	"0"	"2727"	"0"
"225"	"Total No. of Votes recorded on Polling
Stations"	"10514"	"33637"	"19207"	"2325"	"17899"	"2832"	"1146"	"2175"	"993"	"1429"	"2214"	"94371"	"0"	"94371"	"0"
"226"	"No. of Votes recorded on Postal Ballot papers"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"4"	"0"
"227"	"Total Votes
Polled"	"10514"	"33639"	"19207"	"2325"	"17899"	"2832"	"1146"	"2175"	"993"	"1429"	"2214"	"94373"	"2"	"94375"	"0"
"228"	"Place :       Bazar Samitee Begusarai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"Date :         02/27/2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"Assistant Returning Officer                                    Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"109- Bakhri (A.C) A.C.                                     109- Bakhri (A.C) A.C."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
