"ANNEURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"124"	"96"	"PANCHAYAT BHAWAN BABURA"	"140"	"5"	"246"	"0"	"0"	"4"	"4"	"0"	"1"	"2"	"0"	"15"	"4"	"3"	"4"	"86"	"514"	"0"	"514"	"0"
"125"	"97"	"PRIMARY SCHOOL SHIVANCHAK"	"16"	"2"	"87"	"0"	"3"	"13"	"2"	"3"	"0"	"1"	"1"	"58"	"0"	"1"	"8"	"82"	"277"	"0"	"277"	"0"
"126"	"98"	"MIDDLE SCHOOL FUHAN (NORTH PART)"	"256"	"1"	"116"	"2"	"1"	"11"	"1"	"0"	"1"	"1"	"2"	"1"	"0"	"0"	"2"	"6"	"401"	"0"	"401"	"0"
"127"	"99"	"MIDDLE SCHOOL FUHAN (SOUTH PART)"	"337"	"3"	"117"	"6"	"2"	"43"	"14"	"9"	"1"	"3"	"2"	"0"	"0"	"0"	"2"	"15"	"554"	"0"	"554"	"0"
"128"	"100"	"KANYA PRIMARY SCHOOL FUHAN"	"230"	"3"	"144"	"1"	"3"	"17"	"51"	"5"	"3"	"4"	"4"	"3"	"2"	"2"	"0"	"20"	"492"	"0"	"492"	"0"
"129"	"101"	"PRIMARY SCHOOL KOLAHA RAMPUR (NOR"	"20"	"2"	"135"	"2"	"0"	"35"	"3"	"3"	"0"	"3"	"1"	"54"	"2"	"1"	"352"	"25"	"638"	"0"	"638"	"0"
"130"	"102"	"PRIMARY SCHOOL KOLAHA RAMPUR (SOU"	"18"	"2"	"212"	"5"	"0"	"28"	"2"	"29"	"1"	"1"	"0"	"98"	"4"	"1"	"329"	"4"	"734"	"0"	"734"	"0"
"131"	"103"	"PURANA PRIMARY SCHOOL SABALPUR"	"118"	"1"	"24"	"2"	"1"	"2"	"50"	"2"	"5"	"10"	"3"	"1"	"1"	"3"	"21"	"58"	"302"	"0"	"302"	"0"
"132"	"104"	"NAYA PRIMARY SCHOOL SABALPUR"	"302"	"2"	"290"	"0"	"0"	"0"	"1"	"0"	"0"	"18"	"0"	"0"	"0"	"0"	"0"	"9"	"622"	"0"	"622"	"0"
"133"	"105"	"SAMUDAYIK BHAWAN BANDHU CHHAPRA"	"166"	"0"	"62"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"2"	"2"	"8"	"162"	"404"	"0"	"404"	"0"
"134"	"106"	"PRIMARY SCHOOL WISHUANPUR(SOUTH P"	"260"	"6"	"141"	"4"	"2"	"5"	"8"	"1"	"3"	"8"	"6"	"4"	"3"	"7"	"4"	"71"	"533"	"0"	"533"	"0"
"135"	"107"	"PRIMARY SCHOOL WINDGAWA"	"388"	"1"	"55"	"0"	"0"	"1"	"0"	"1"	"0"	"5"	"0"	"1"	"1"	"0"	"1"	"89"	"543"	"0"	"543"	"0"
"136"	"108"	"PRIMARY SCHOOL SEMRA"	"82"	"1"	"139"	"1"	"0"	"2"	"7"	"0"	"1"	"0"	"3"	"81"	"0"	"4"	"6"	"10"	"337"	"0"	"337"	"0"
"137"	"109"	"SAMUDAYIK BHAWAN MANICHHAPRA"	"143"	"6"	"238"	"4"	"6"	"9"	"6"	"2"	"3"	"2"	"2"	"8"	"8"	"22"	"12"	"93"	"564"	"0"	"564"	"0"
"138"	"110"	"PRIMARY SCHOOL BARHARA (EAST PART)"	"126"	"5"	"164"	"5"	"6"	"0"	"2"	"2"	"2"	"3"	"1"	"16"	"4"	"2"	"5"	"232"	"575"	"0"	"575"	"0"
"139"	"111"	"PRIMARY SCHOOL BARHARA (WEST PART"	"39"	"2"	"144"	"2"	"0"	"26"	"2"	"4"	"1"	"6"	"2"	"29"	"5"	"2"	"14"	"187"	"465"	"0"	"465"	"0"
"140"	"112"	"PRIMARY SCHOOL RAMPUR"	"338"	"1"	"62"	"1"	"1"	"0"	"1"	"0"	"0"	"4"	"1"	"2"	"1"	"0"	"2"	"61"	"475"	"0"	"475"	"0"
"141"	"113"	"PRIMARY SCHOOL ALAKHI TOLA"	"9"	"1"	"7"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"2"	"7"	"578"	"607"	"0"	"607"	"0"
"142"	"114"	"PRIMARY SCHOOL JIWAROY KA TOLA"	"2"	"0"	"58"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"24"	"1"	"1"	"3"	"584"	"676"	"0"	"676"	"0"
"143"	"115"	"PRIMARY SCHOOL NAKNAM TOLA"	"249"	"2"	"97"	"4"	"1"	"3"	"0"	"3"	"0"	"0"	"2"	"8"	"2"	"3"	"10"	"305"	"689"	"0"	"689"	"0"
"144"	"Serial"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total"	"No. of"	"Total"	"No. of"
"145"	"No. of Polling Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	"rejecte d votes"	""	"tendered votes"
"146"	""	""	"ASHA DEVI"	"KAMESH WAR SINGH"	"RAGHVEN DRA PRATAP"	"RANA RANJIT SINGH"	"RAMADH AR SINGH"	"LETAPHAT HUSEN"	"SARYAU YADAV"	"KAMLES H KUMAR SINGH"	"NIRMAL SINGH"	"PASUPATI SINGH"	"RAJ NARAYA N SINGH"	"RAM SAKAL SINGH"	"VIJAY KUMAR SINGH"	"VIJAY NAND KUMAR"	"DR. SIYAMA TI ROY"	"HAKIM PRASAD"	""	""	""	""
"147"	""	""	""	""	"SINGH"	""	""	""	""	""	""	""	""	"YADAV"	""	"RAM"	""	""	""	""	""	""
"148"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"149"	"116"	"PRIMARY SCHOOL SHEMRA BINDGAWA"	"375"	"1"	"53"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"2"	"438"	"0"	"438"	"0"
"150"	"117"	"PRIMARY SCHOOL PICHROKHIYA KALA"	"75"	"3"	"71"	"0"	"2"	"23"	"8"	"2"	"2"	"3"	"4"	"355"	"6"	"2"	"12"	"28"	"596"	"0"	"596"	"0"
"151"	"118"	"BHARTYA JANTA HIGH SCHOOL RAJAPUR"	"430"	"1"	"171"	"1"	"0"	"49"	"1"	"1"	"0"	"1"	"4"	"5"	"0"	"1"	"2"	"34"	"701"	"0"	"701"	"0"
"152"	"119"	"MEDDLA SCHOOL MANIKPUR"	"443"	"1"	"12"	"0"	"2"	"153"	"5"	"6"	"1"	"0"	"2"	"81"	"0"	"0"	"0"	"27"	"733"	"0"	"733"	"0"
"153"	"120"	"PRIMARY SCHOOL TOLA ENGLISH"	"117"	"5"	"66"	"0"	"2"	"72"	"2"	"3"	"0"	"3"	"5"	"25"	"1"	"1"	"5"	"14"	"321"	"0"	"321"	"0"
"154"	"121"	"MIDDLE SCHOOL DHOLATPUR SOUTH PAR"	"239"	"12"	"136"	"2"	"1"	"38"	"69"	"1"	"3"	"8"	"5"	"28"	"4"	"3"	"5"	"217"	"771"	"0"	"771"	"0"
"155"	"122"	"MIDDLE SCHOOL DOALATPUR NORTH PAR"	"188"	"7"	"139"	"2"	"2"	"10"	"3"	"2"	"0"	"2"	"4"	"29"	"1"	"1"	"7"	"44"	"441"	"0"	"441"	"0"
"156"	"123"	"BALAK PRIMARY SCHOOL NARAYANPUR"	"153"	"17"	"193"	"1"	"3"	"48"	"6"	"1"	"1"	"7"	"6"	"201"	"0"	"3"	"5"	"114"	"759"	"0"	"759"	"0"
"157"	"124"	"URDU SCHOOL JAMALPUR"	"258"	"9"	"186"	"2"	"6"	"42"	"27"	"1"	"1"	"7"	"2"	"10"	"6"	"6"	"4"	"73"	"640"	"0"	"640"	"0"
"158"	"125"	"BALIRAM BHAGAT HIGH SCHOOL BABHNA"	"110"	"2"	"125"	"2"	"0"	"22"	"0"	"0"	"0"	"0"	"0"	"8"	"0"	"0"	"14"	"27"	"310"	"0"	"310"	"0"
"159"	"126"	"SAMUDIYK BHAWAN SUNDHARPUR"	"107"	"0"	"95"	"1"	"0"	"107"	"2"	"0"	"1"	"0"	"2"	"0"	"1"	"2"	"2"	"55"	"375"	"0"	"375"	"0"
"160"	"127"	"PANCHYAT BHAWAN BAGMAJHAUA"	"428"	"0"	"122"	"2"	"1"	"33"	"0"	"0"	"0"	"3"	"4"	"1"	"1"	"0"	"0"	"7"	"602"	"0"	"602"	"0"
"161"	"128"	"PRIMARY SCHOOL DAWARIYA"	"106"	"1"	"134"	"6"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"3"	"254"	"0"	"254"	"0"
"162"	"129"	"PRIMARY SCHOOL MATHURAPUR LAWGA"	"61"	"1"	"86"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"23"	"2"	"2"	"0"	"1"	"178"	"0"	"178"	"0"
"163"	"130"	"PRIMARY SCHOOL DORJANCHAK"	"53"	"1"	"111"	"1"	"0"	"30"	"0"	"0"	"0"	"0"	"0"	"91"	"1"	"1"	"0"	"8"	"297"	"0"	"297"	"0"
"164"	"131"	"PRIMARY SCHOOL BISANPURA"	"169"	"5"	"117"	"6"	"2"	"3"	"4"	"6"	"3"	"1"	"0"	"6"	"3"	"1"	"1"	"46"	"373"	"0"	"373"	"0"
"165"	"132"	"PRIMARY SCHOOL,SHRIPALPUR"	"107"	"2"	"64"	"3"	"2"	"54"	"3"	"1"	"2"	"4"	"3"	"29"	"0"	"1"	"4"	"61"	"340"	"0"	"340"	"0"
"166"	"133"	"PRIMARY SCHOOL , JALPURA"	"125"	"1"	"162"	"0"	"0"	"7"	"1"	"6"	"0"	"3"	"0"	"0"	"0"	"0"	"1"	"46"	"352"	"0"	"352"	"0"
"167"	"134"	"PRIMARY SCHOOL , BHOPATPUR"	"51"	"5"	"251"	"2"	"4"	"92"	"47"	"7"	"3"	"11"	"11"	"59"	"4"	"9"	"5"	"112"	"673"	"0"	"673"	"0"
"168"	"135"	"MIDDLE SCHOOL , KASARHIYA"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"169"	"136"	"PRIMARY SCHOOL , MAHAKKAMPUR"	"100"	"1"	"209"	"2"	"1"	"34"	"2"	"2"	"0"	"4"	"3"	"109"	"6"	"11"	"13"	"127"	"624"	"0"	"624"	"0"
"170"	"137"	"PRIMARY SCHOOL , BISUNPURA"	"82"	"2"	"97"	"8"	"8"	"21"	"3"	"3"	"3"	"4"	"5"	"75"	"3"	"3"	"5"	"74"	"396"	"0"	"396"	"0"
"171"	"138"	"PRIMARY SCHOOL , BIRAMPUR"	"253"	"4"	"336"	"7"	"4"	"44"	"2"	"2"	"3"	"2"	"5"	"12"	"3"	"4"	"3"	"24"	"708"	"0"	"708"	"0"
"172"	"139"	"MIDDLE SCHOOL , BIRAMPUR"	"130"	"5"	"263"	"5"	"5"	"92"	"4"	"4"	"2"	"5"	"7"	"33"	"3"	"12"	"16"	"141"	"727"	"0"	"727"	"0"
"173"	"140"	"RAMANAND HIGH SCHOOL , BIRAMPUR , K"	"216"	"4"	"167"	"1"	"0"	"48"	"5"	"0"	"0"	"0"	"1"	"6"	"0"	"0"	"6"	"63"	"517"	"0"	"517"	"0"
"174"	"141"	"RAMANAND HIGH SCHOOL , BIRAMPUR , K"	"197"	"6"	"115"	"2"	"5"	"110"	"3"	"8"	"3"	"3"	"8"	"44"	"2"	"6"	"6"	"37"	"555"	"0"	"555"	"0"
"175"	"142"	"PRIMARY SCHOOL , MOKHLISHA"	"109"	"6"	"279"	"4"	"3"	"56"	"9"	"2"	"2"	"4"	"12"	"13"	"3"	"4"	"13"	"156"	"675"	"0"	"675"	"0"
"176"	"143"	"PRIMARY SCHOOL , GIYANPURA"	"9"	"1"	"55"	"0"	"3"	"154"	"27"	"2"	"5"	"8"	"9"	"156"	"7"	"2"	"9"	"103"	"550"	"0"	"550"	"0"
"177"	"144"	"PRIMARY SCHOOL , KAYAMNAGAR TOLA M"	"439"	"12"	"154"	"6"	"3"	"36"	"19"	"3"	"1"	"7"	"6"	"171"	"7"	"2"	"13"	"34"	"913"	"0"	"913"	"0"
"178"	"145"	"URDU PRIMARY SCHOOL , PURDILGANJ"	"4"	"1"	"180"	"2"	"1"	"37"	"1"	"2"	"0"	"0"	"0"	"116"	"0"	"4"	"4"	"26"	"378"	"0"	"378"	"0"
"179"	"146"	"MIDDLE SCHOOL , KAYAMNAGAR (NORTH"	"222"	"10"	"66"	"4"	"5"	"325"	"14"	"20"	"5"	"13"	"15"	"19"	"11"	"11"	"14"	"55"	"809"	"0"	"809"	"0"
"180"	"Serial"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total"	"No. of"	"Total"	"No. of"
"181"	"No. of Polling Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	"rejecte d votes"	""	"tendered votes"
"182"	""	""	"ASHA DEVI"	"KAMESH WAR SINGH"	"RAGHVEN DRA PRATAP"	"RANA RANJIT SINGH"	"RAMADH AR SINGH"	"LETAPHAT HUSEN"	"SARYAU YADAV"	"KAMLES H KUMAR SINGH"	"NIRMAL SINGH"	"PASUPATI SINGH"	"RAJ NARAYA N SINGH"	"RAM SAKAL SINGH"	"VIJAY KUMAR SINGH"	"VIJAY NAND KUMAR"	"DR. SIYAMA TI ROY"	"HAKIM PRASAD"	""	""	""	""
"183"	""	""	""	""	"SINGH"	""	""	""	""	""	""	""	""	"YADAV"	""	"RAM"	""	""	""	""	""	""
"184"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"185"	"147"	"MIDDLE SCHOOL , KAYAMNAGAR (MIDDLE"	"343"	"12"	"410"	"6"	"2"	"49"	"8"	"2"	"2"	"1"	"1"	"4"	"5"	"2"	"1"	"14"	"862"	"0"	"862"	"0"
"186"	"148"	"MIDDLE SCHOOL , GIDHA (SOUTH PART)"	"260"	"4"	"137"	"3"	"2"	"73"	"10"	"3"	"4"	"15"	"13"	"7"	"3"	"9"	"8"	"53"	"604"	"0"	"604"	"0"
"187"	"149"	"MIDDLE SCHOOL , GIDHA (NORTH PART)"	"192"	"13"	"209"	"5"	"5"	"67"	"9"	"5"	"1"	"10"	"7"	"19"	"0"	"4"	"5"	"51"	"602"	"0"	"602"	"0"
"188"	"150"	"PRIMARY SCHOOL ,SONGHATA"	"215"	"4"	"168"	"8"	"4"	"3"	"1"	"1"	"0"	"1"	"3"	"33"	"2"	"6"	"3"	"50"	"502"	"0"	"502"	"0"
"189"	"151"	"PRIMARY SCHOOL , PACHYANA"	"140"	"3"	"172"	"1"	"0"	"2"	"3"	"4"	"0"	"2"	"0"	"27"	"2"	"2"	"1"	"20"	"379"	"0"	"379"	"0"
"190"	"152"	"PRIMART SCHOOL , MAHUE , TOLA GOLAK"	"145"	"1"	"178"	"2"	"1"	"94"	"15"	"3"	"0"	"5"	"2"	"11"	"1"	"3"	"21"	"158"	"640"	"0"	"640"	"0"
"191"	"153"	"PRIMARY SCHOOL , BARKA CHANDA"	"79"	"3"	"97"	"5"	"3"	"18"	"6"	"3"	"5"	"8"	"10"	"190"	"9"	"6"	"12"	"75"	"529"	"0"	"529"	"0"
"192"	"154"	"PRIMARY SCHOOL , HARIPUR"	"270"	"2"	"61"	"3"	"3"	"74"	"6"	"2"	"0"	"4"	"4"	"36"	"2"	"4"	"9"	"64"	"544"	"0"	"544"	"0"
"193"	"155"	"PRIMARY SCHOOL , PACAYNA BAJAR , SH"	"83"	"1"	"8"	"0"	"1"	"64"	"4"	"0"	"1"	"1"	"5"	"17"	"1"	"5"	"7"	"525"	"723"	"0"	"723"	"0"
"194"	"156"	"PRIMARY SCHOOL , KAJECHAK"	"49"	"2"	"143"	"6"	"1"	"19"	"19"	"5"	"4"	"2"	"4"	"157"	"2"	"0"	"12"	"46"	"471"	"0"	"471"	"0"
"195"	"157"	"MIDDLE SCHOOL ,KULHARIYA"	"394"	"0"	"104"	"3"	"0"	"11"	"0"	"1"	"0"	"0"	"0"	"4"	"1"	"1"	"2"	"19"	"540"	"0"	"540"	"0"
"196"	"158"	"PANCHYAT BAWAN , KULHARIYA"	"150"	"10"	"155"	"9"	"3"	"34"	"1"	"1"	"1"	"3"	"7"	"37"	"4"	"9"	"10"	"15"	"449"	"0"	"449"	"0"
"197"	"159"	"URDU PRIMARY SCHOOL , KULHARIYA"	"204"	"9"	"488"	"5"	"4"	"11"	"0"	"0"	"2"	"0"	"3"	"19"	"1"	"2"	"2"	"12"	"762"	"0"	"762"	"0"
"198"	"160"	"BHAGWAN SAAH TARAMANI HIGH SCHOOL"	"203"	"3"	"131"	"3"	"4"	"98"	"12"	"1"	"3"	"4"	"10"	"333"	"3"	"1"	"3"	"73"	"885"	"0"	"885"	"0"
"199"	"161"	"BHAGWAN SAH TARAMANI H.S. KOILWER ("	"160"	"13"	"104"	"8"	"3"	"29"	"6"	"3"	"1"	"4"	"14"	"369"	"7"	"4"	"6"	"31"	"762"	"0"	"762"	"0"
"200"	"162"	"PRKHAND KARYALAY KOILWAR"	"83"	"0"	"94"	"3"	"1"	"57"	"9"	"3"	"1"	"3"	"8"	"310"	"4"	"4"	"2"	"33"	"615"	"0"	"615"	"0"
"201"	"163"	"HINDKANKYA PRIMARY SCHOOL KOILWAR"	"9"	"0"	"7"	"1"	"0"	"21"	"0"	"1"	"0"	"3"	"1"	"354"	"1"	"0"	"0"	"3"	"401"	"0"	"401"	"0"
"202"	"164"	"KAJIWHIAD ASRAK MIDDLE SCHOOL,KOIL"	"50"	"9"	"246"	"9"	"4"	"137"	"11"	"1"	"4"	"6"	"14"	"260"	"11"	"4"	"1"	"3"	"770"	"0"	"770"	"0"
"203"	"165"	"PRIMARY SCHOOL , KATKAYRA"	"57"	"2"	"41"	"3"	"1"	"3"	"0"	"0"	"1"	"0"	"1"	"283"	"2"	"0"	"3"	"20"	"417"	"0"	"417"	"0"
"204"	"166"	"STAT BORING NO. 11 , KUBER CHAK DHAN"	"54"	"18"	"423"	"5"	"1"	"4"	"7"	"0"	"1"	"3"	"3"	"93"	"1"	"2"	"2"	"8"	"625"	"0"	"625"	"0"
"205"	"167"	"PRIMARY SCHOOL, DHANDIHA"	"271"	"3"	"109"	"2"	"1"	"3"	"1"	"0"	"0"	"0"	"2"	"15"	"0"	"1"	"0"	"18"	"426"	"0"	"426"	"0"
"206"	"168"	"PANCHYAT BHAWAN , DHANDIHA"	"258"	"16"	"72"	"2"	"0"	"3"	"2"	"0"	"1"	"1"	"1"	"11"	"0"	"0"	"1"	"15"	"383"	"0"	"383"	"0"
"207"	"169"	"KANYA HIGH SCHOOL , DHANDIHA"	"364"	"4"	"206"	"1"	"1"	"26"	"1"	"0"	"0"	"2"	"1"	"6"	"3"	"3"	"1"	"10"	"629"	"0"	"629"	"0"
"208"	"170"	"KANYA PRIMARY SCHOOL , FARHAGPUR"	"347"	"11"	"118"	"8"	"2"	"159"	"10"	"3"	"4"	"9"	"20"	"5"	"7"	"9"	"12"	"59"	"783"	"0"	"783"	"0"
"209"	"171"	"PRIMARY SCHOOL , BHADWAR(EAST PART"	"145"	"8"	"212"	"2"	"3"	"10"	"8"	"9"	"2"	"3"	"5"	"195"	"2"	"5"	"5"	"30"	"644"	"0"	"644"	"0"
"210"	"172"	"PRIMARY SCHOOL , BHADWEAR (WEST PA"	"234"	"3"	"217"	"1"	"1"	"60"	"2"	"0"	"0"	"2"	"1"	"85"	"0"	"2"	"4"	"39"	"651"	"0"	"651"	"0"
"211"	"173"	"PANCHYAT BAWAN , BHADWEAR"	"331"	"5"	"318"	"3"	"0"	"29"	"37"	"0"	"1"	"3"	"0"	"19"	"1"	"1"	"2"	"55"	"805"	"0"	"805"	"0"
"212"	"174"	"URDU SCHOOL , BAHIYARA"	"172"	"9"	"23"	"2"	"3"	"98"	"7"	"3"	"4"	"4"	"13"	"1"	"2"	"3"	"10"	"154"	"508"	"0"	"508"	"0"
"213"	"175"	"MIDDLE SCHOOL , SAKADDI (EAST PART)"	"178"	"2"	"101"	"1"	"0"	"6"	"0"	"7"	"0"	"0"	"0"	"9"	"1"	"1"	"0"	"24"	"330"	"0"	"330"	"0"
"214"	"176"	"MIDDLE SCHOOL , SAKADDI ( WEST PART)"	"52"	"2"	"208"	"3"	"2"	"10"	"2"	"1"	"0"	"2"	"0"	"92"	"1"	"1"	"1"	"3"	"380"	"0"	"380"	"0"
"215"	"177"	"PANCHAYAT BHAWAN , SAKADDI"	"352"	"51"	"146"	"5"	"2"	"28"	"6"	"0"	"2"	"2"	"2"	"65"	"2"	"1"	"5"	"18"	"687"	"0"	"687"	"0"
"216"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejecte d votes"	"Total"	"No. of tendered votes"
"217"	""	""	"ASHA DEVI"	"KAMESH WAR SINGH"	"RAGHVEN DRA PRATAP SINGH"	"RANA RANJIT SINGH"	"RAMADH AR SINGH"	"LETAPHAT HUSEN"	"SARYAU YADAV"	"KAMLES H KUMAR SINGH"	"NIRMAL SINGH"	"PASUPATI SINGH"	"RAJ NARAYA N SINGH"	"RAM SAKAL SINGH YADAV"	"VIJAY KUMAR SINGH"	"VIJAY NAND KUMAR RAM"	"DR. SIYAMA TI ROY"	"HAKIM PRASAD"	""	""	""	""
"218"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"219"	"178"	"MIDDLE SCHOOL , NARAHI (NORTH PART)"	"240"	"6"	"140"	"9"	"1"	"1"	"4"	"2"	"0"	"1"	"1"	"9"	"1"	"1"	"0"	"35"	"451"	"0"	"451"	"0"
"220"	"179"	"MIDDLE SCHOOL , NARHI (SOUTH PART)"	"293"	"0"	"52"	"0"	"1"	"15"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"4"	"31"	"398"	"0"	"398"	"0"
"221"	"180"	"RAJKYEA NALKUP BAWAN , AMBA. NARBE"	"46"	"2"	"382"	"3"	"1"	"3"	"6"	"0"	"1"	"0"	"5"	"61"	"1"	"2"	"3"	"30"	"546"	"0"	"546"	"0"
"222"	"181"	"HARWANS HIGH SCHOOL , CHANDI NARBI"	"185"	"51"	"172"	"4"	"2"	"29"	"37"	"19"	"10"	"10"	"5"	"12"	"5"	"1"	"4"	"19"	"565"	"0"	"565"	"0"
"223"	"182"	"HARWANS HIGH SCHOOL , CHANDI NARBI"	"134"	"24"	"263"	"2"	"0"	"4"	"8"	"13"	"0"	"0"	"0"	"14"	"0"	"0"	"2"	"11"	"475"	"0"	"475"	"0"
"224"	"183"	"BRIDHED BAHUDHANDE SAHYOG SAMETY"	"176"	"16"	"63"	"5"	"3"	"48"	"5"	"4"	"4"	"6"	"8"	"32"	"0"	"7"	"5"	"70"	"452"	"0"	"452"	"0"
"225"	"184"	"KANYA MIDDLE SCHOOL , CHANDI"	"159"	"0"	"115"	"0"	"1"	"76"	"3"	"0"	"0"	"0"	"0"	"52"	"0"	"0"	"1"	"26"	"433"	"0"	"433"	"0"
"226"	"185"	"BRIHAD BAHUDHANDI SAHYOG SAMETY G"	"272"	"6"	"50"	"1"	"2"	"223"	"11"	"4"	"0"	"1"	"7"	"15"	"2"	"0"	"0"	"23"	"617"	"0"	"617"	"0"
"227"	"186"	"MIDDLE SCHOOL KANGON (NORTH PART0"	"249"	"0"	"76"	"0"	"0"	"13"	"6"	"0"	"1"	"3"	"3"	"33"	"0"	"1"	"5"	"36"	"426"	"0"	"426"	"0"
"228"	"187"	"MIDDLE SCHOOL , KANGON (SOUTH PART)"	"197"	"9"	"62"	"0"	"5"	"105"	"9"	"3"	"2"	"3"	"8"	"7"	"3"	"0"	"2"	"137"	"552"	"0"	"552"	"0"
"229"	"188"	"PRIMARY SCHOOL , ROOPCAKYA"	"246"	"6"	"91"	"4"	"3"	"28"	"3"	"0"	"1"	"3"	"2"	"6"	"0"	"1"	"9"	"79"	"482"	"0"	"482"	"0"
"230"	"189"	"PRIMARY SCHOOL ROOPCAKIYA . NAYA B"	"105"	"10"	"95"	"2"	"0"	"84"	"3"	"1"	"1"	"5"	"6"	"52"	"2"	"4"	"43"	"51"	"464"	"0"	"464"	"0"
"231"	"190"	"PRIMARY SCHOOL , RAMNAGAR"	"79"	"1"	"179"	"2"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"18"	"2"	"5"	"5"	"156"	"451"	"0"	"451"	"0"
"232"	"191"	"PRIMARY SCHOOL , LODIPUR"	"230"	"1"	"92"	"1"	"1"	"1"	"2"	"9"	"0"	"5"	"0"	"1"	"0"	"2"	"5"	"129"	"479"	"0"	"479"	"0"
"233"	"192"	"PRIMARY SCHOOL , GOPALPUR"	"199"	"25"	"226"	"7"	"2"	"34"	"6"	"2"	"1"	"2"	"8"	"25"	"2"	"6"	"9"	"49"	"603"	"0"	"603"	"0"
"234"	"193"	"URDU SCHOOL , KOSIHAN"	"57"	"0"	"222"	"2"	"2"	"28"	"4"	"17"	"2"	"2"	"2"	"51"	"1"	"4"	"32"	"24"	"450"	"0"	"450"	"0"
"235"	"194"	"PRIMARY SCHOOL , BAGWATPUR"	"119"	"2"	"381"	"1"	"0"	"9"	"2"	"1"	"0"	"2"	"2"	"2"	"0"	"2"	"0"	"12"	"535"	"0"	"535"	"0"
"236"	"195"	"PRIMARY SCHOOL , BISUNPUR"	"292"	"5"	"108"	"1"	"3"	"38"	"9"	"2"	"2"	"3"	"4"	"7"	"2"	"6"	"9"	"42"	"533"	"0"	"533"	"0"
"237"	"196"	"PANCHYAT BAWAN , JALPURA"	"370"	"0"	"39"	"0"	"3"	"48"	"2"	"1"	"1"	"2"	"5"	"1"	"2"	"1"	"0"	"31"	"506"	"0"	"506"	"0"
"238"	"197"	"PRIMARY SCHOOL , JALPURA (EAST PART"	"290"	"4"	"59"	"4"	"2"	"45"	"3"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"3"	"40"	"452"	"0"	"452"	"0"
"239"	"198"	"PRIMARY SCHOOL , JALPURA (WEST PART"	"388"	"7"	"110"	"1"	"0"	"5"	"1"	"0"	"1"	"0"	"2"	"16"	"0"	"1"	"2"	"88"	"622"	"0"	"622"	"0"
"240"	"199"	"PRIMARY SCHOOL , SALAMPUR (NORTH P"	"60"	"2"	"364"	"1"	"13"	"1"	"5"	"0"	"0"	"0"	"1"	"201"	"0"	"0"	"6"	"91"	"745"	"0"	"745"	"0"
"241"	"200"	"PRIMARY SCHOOL , SALAMPUR (SOUTH P"	"2"	"0"	"231"	"1"	"0"	"1"	"0"	"4"	"0"	"0"	"0"	"118"	"1"	"1"	"3"	"48"	"410"	"0"	"410"	"0"
"242"	"201"	"PRIMARY SCHOOL , RAMPUR"	"9"	"2"	"183"	"3"	"3"	"54"	"4"	"2"	"1"	"2"	"2"	"108"	"2"	"2"	"200"	"72"	"649"	"0"	"649"	"0"
"243"	"202"	"HIGH SCHOOL , JOGTA"	"38"	"0"	"217"	"2"	"0"	"15"	"5"	"5"	"1"	"3"	"6"	"65"	"4"	"7"	"54"	"85"	"507"	"0"	"507"	"0"
