"ernku..dsUnz.dh..la..k"	"fuEufyf.kr..vH.fFkZ.ks..ds..Ik.k..esa..fn...x...fof.kekU...erksa..dh..la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"fufonr..erks..dh..la..k"	"izfr.ksfir..eri.ksa..dh..la."	"dqy..fof.kekU....oa..izfr.ksfir.erks..dh..la..k"
"161"	"B.F.->"	"13608"	"13144"	""	"377"	"2318"	"395"	"594"	"479"	"307"	"903"	"561"	"707"	"17825"	"51218"	"0"	"0"	"51218"
"162"	"113"	"669"	"39"	""	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"105"	"815"	""	""	"815"
"163"	"114"	"124"	"0"	""	"0"	"369"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"24"	"519"	""	""	"519"
"164"	"115"	"73"	"1"	""	"1"	"238"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"315"	""	""	"315"
"165"	"116"	"69"	"17"	""	"2"	"122"	"6"	"6"	"4"	"1"	"3"	"6"	"10"	"35"	"281"	""	""	"281"
"166"	"117"	"191"	"0"	""	"0"	"114"	"4"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"311"	""	""	"311"
"167"	"118"	"505"	"11"	""	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"17"	"537"	""	""	"537"
"168"	"119"	"779"	"3"	""	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"9"	"792"	""	""	"792"
"169"	"120"	"690"	"1"	""	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"28"	"725"	""	""	"725"
"170"	"121"	"701"	"8"	""	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"3"	"0"	"6"	"721"	""	""	"721"
"171"	"122"	"439"	"6"	""	"0"	"1"	"1"	"0"	"1"	"0"	"3"	"0"	"0"	"0"	"451"	""	""	"451"
"172"	"123"	"246"	"6"	""	"2"	"9"	"1"	"4"	"2"	"0"	"2"	"1"	"3"	"152"	"428"	""	""	"428"
"173"	"124"	"89"	"27"	""	"4"	"13"	"3"	"0"	"3"	"1"	"2"	"7"	"11"	"272"	"432"	""	""	"432"
"174"	"125"	"108"	"13"	""	"4"	"3"	"1"	"1"	"1"	"1"	"1"	"5"	"9"	"268"	"415"	""	""	"415"
"175"	"126"	"66"	"269"	""	"10"	"76"	"3"	"3"	"6"	"3"	"19"	"6"	"8"	"116"	"585"	""	""	"585"
"176"	"Round Total"	"4749"	"401"	""	"24"	"953"	"24"	"14"	"17"	"6"	"32"	"32"	"43"	"1032"	"7327"	"0"	"0"	"7327"
"177"	"C.F.->"	"18357"	"13545"	""	"401"	"3271"	"419"	"608"	"496"	"313"	"935"	"593"	"750"	"18857"	"58545"	"0"	"0"	"58545"
"178"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"179"	""	"Mk0  vCnqy  xQqj"	"xqats'oj  lkg"	""	"iz.ko  dqekj  nkl"	"vdhy  vgen"	"y{eh ukjk;.k >k"	"dkS'kY;k nsoh"	"xaxk jke  lknk"	"nsosUnz  esgrk"	"eks0  eghmnhu"	"'kf'k Hkw\"k.k"	"lq[knso  eqf[k;k"	"lqjsUnz  ;kno"	"dqy  fof/kekU;  er"	""	""	""
"180"	"ROUND -X"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"B.F.->"	"18357"	"13545"	""	"401"	"3271"	"419"	"608"	"496"	"313"	"935"	"593"	"750"	"18857"	"58545"	"0"	"0"	"58545"
"182"	"127"	"59"	"120"	""	"3"	"77"	"9"	"2"	"3"	"5"	"17"	"7"	"7"	"102"	"411"	""	""	"411"
"183"	"128"	"28"	"34"	""	"3"	"279"	"9"	"0"	"2"	"1"	"2"	"3"	"2"	"45"	"408"	""	""	"408"
"184"	"129"	"49"	"26"	""	"6"	"190"	"11"	"2"	"2"	"4"	"6"	"10"	"4"	"130"	"440"	""	""	"440"
"185"	"130"	"94"	"53"	""	"2"	"1"	"3"	"3"	"4"	"5"	"0"	"3"	"8"	"246"	"422"	""	""	"422"
"186"	"131"	"138"	"21"	""	"3"	"4"	"4"	"1"	"1"	"1"	"3"	"3"	"7"	"246"	"432"	""	""	"432"
"187"	"132"	"132"	"420"	""	"5"	"7"	"5"	"16"	"2"	"2"	"15"	"0"	"5"	"8"	"617"	""	""	"617"
"188"	"133"	"55"	"442"	""	"4"	"91"	"4"	"3"	"3"	"2"	"10"	"15"	"16"	"0"	"645"	""	""	"645"
"189"	"134"	"60"	"289"	""	"10"	"126"	"13"	"2"	"9"	"7"	"24"	"20"	"16"	"76"	"652"	""	""	"652"
"190"	"135"	"75"	"390"	""	"9"	"13"	"6"	"12"	"2"	"7"	"28"	"10"	"10"	"29"	"591"	""	""	"591"
"191"	"136"	"43"	"103"	""	"3"	"62"	"3"	"3"	"2"	"4"	"18"	"14"	"13"	"90"	"358"	""	""	"358"
"192"	"137"	"12"	"319"	""	"0"	"11"	"2"	"0"	"2"	"0"	"2"	"0"	"1"	"21"	"370"	""	""	"370"
"193"	"138"	"51"	"67"	""	"1"	"55"	"8"	"4"	"1"	"5"	"5"	"2"	"8"	"167"	"374"	""	""	"374"
"194"	"139"	"50"	"98"	""	"1"	"13"	"7"	"1"	"2"	"2"	"6"	"4"	"5"	"178"	"367"	""	""	"367"
"195"	"140"	"138"	"68"	""	"13"	"105"	"2"	"1"	"1"	"2"	"3"	"9"	"3"	"210"	"555"	""	""	"555"
"196"	"Round Total"	"984"	"2450"	""	"63"	"1034"	"86"	"50"	"36"	"47"	"139"	"100"	"105"	"1548"	"6642"	"0"	"0"	"6642"
"197"	"C.F.->"	"19341"	"15995"	""	"464"	"4305"	"505"	"658"	"532"	"360"	"1074"	"693"	"855"	"20405"	"65187"	"0"	"0"	"65187"
"198"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"199"	""	"Mk0  vCnqy  xQqj"	"xqats'oj  lkg"	""	"iz.ko  dqekj  nkl"	"vdhy  vgen"	"y{eh ukjk;.k >k"	"dkS'kY;k nsoh"	"xaxk jke  lknk"	"nsosUnz  esgrk"	"eks0  eghmnhu"	"'kf'k Hkw\"k.k"	"lq[knso  eqf[k;k"	"lqjsUnz  ;kno"	"dqy  fof/kekU;  er"	""	""	""
"200"	"ROUND- XI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"B.F.->"	"19341"	"15995"	""	"464"	"4305"	"505"	"658"	"532"	"360"	"1074"	"693"	"855"	"20405"	"65187"	"0"	"0"	"65187"
"202"	"141"	"61"	"37"	""	"0"	"1"	"3"	"1"	"0"	"1"	"1"	"0"	"8"	"194"	"307"	""	""	"307"
"203"	"142"	"100"	"25"	""	"0"	"4"	"1"	"1"	"1"	"1"	"0"	"2"	"0"	"98"	"233"	""	""	"233"
"204"	"143"	"126"	"55"	""	"15"	"461"	"26"	"8"	"7"	"6"	"9"	"15"	"11"	"34"	"773"	""	""	"773"
"205"	"144"	"22"	"197"	""	"4"	"4"	"1"	"5"	"3"	"1"	"6"	"0"	"3"	"86"	"332"	""	""	"332"
"206"	"145"	"23"	"124"	""	"3"	"0"	"1"	"1"	"1"	"9"	"9"	"5"	"9"	"225"	"410"	""	""	"410"
"207"	"146"	"32"	"83"	""	"8"	"4"	"4"	"6"	"1"	"2"	"7"	"5"	"25"	"129"	"306"	""	""	"306"
"208"	"147"	"289"	"85"	""	"7"	"8"	"2"	"4"	"4"	"3"	"5"	"5"	"14"	"92"	"518"	""	""	"518"
"209"	"148"	"137"	"69"	""	"7"	"25"	"3"	"6"	"7"	"3"	"8"	"5"	"9"	"152"	"431"	""	""	"431"
"210"	"149"	"92"	"14"	""	"1"	"160"	"15"	"0"	"1"	"1"	"1"	"5"	"4"	"48"	"342"	""	""	"342"
"211"	"150"	"35"	"40"	""	"1"	"12"	"1"	"3"	"4"	"2"	"3"	"5"	"8"	"287"	"401"	""	""	"401"
"212"	"151"	"0"	"1"	""	"0"	"1"	"2"	"1"	"0"	"0"	"1"	"2"	"0"	"513"	"521"	""	""	"521"
"213"	"152"	"50"	"29"	""	"2"	"4"	"2"	"1"	"3"	"3"	"6"	"2"	"6"	"337"	"445"	""	""	"445"
"214"	"153"	"132"	"47"	""	"4"	"49"	"3"	"2"	"2"	"4"	"11"	"19"	"20"	"188"	"481"	""	""	"481"
"215"	"154"	"130"	"190"	""	"5"	"46"	"6"	"4"	"3"	"6"	"20"	"3"	"10"	"62"	"485"	""	""	"485"
"216"	"Round Total"	"1229"	"996"	""	"57"	"779"	"70"	"43"	"37"	"42"	"87"	"73"	"127"	"2445"	"5985"	"0"	"0"	"5985"
"217"	"C.F.->"	"20570"	"16991"	""	"521"	"5084"	"575"	"701"	"569"	"402"	"1161"	"766"	"982"	"22850"	"71172"	"0"	"0"	"71172"
"218"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"219"	""	"Mk0  vCnqy  xQqj"	"xqats'oj  lkg"	""	"iz.ko  dqekj  nkl"	"vdhy  vgen"	"y{eh ukjk;.k >k"	"dkS'kY;k nsoh"	"xaxk jke  lknk"	"nsosUnz  esgrk"	"eks0  eghmnhu"	"'kf'k Hkw\"k.k"	"lq[knso  eqf[k;k"	"lqjsUnz  ;kno"	"dqy  fof/kekU;  er"	""	""	""
"220"	"ROUND -XII"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"B.F.->"	"20570"	"16991"	""	"521"	"5084"	"575"	"701"	"569"	"402"	"1161"	"766"	"982"	"22850"	"71172"	"0"	"0"	"71172"
"222"	"155"	"71"	"10"	""	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"3"	"2"	"434"	"524"	""	""	"524"
"223"	"156"	"102"	"45"	""	"5"	"2"	"1"	"1"	"0"	"4"	"1"	"1"	"0"	"191"	"353"	""	""	"353"
"224"	"157"	"133"	"89"	""	"0"	"0"	"1"	"2"	"0"	"2"	"5"	"6"	"8"	"158"	"404"	""	""	"404"
"225"	"158"	"44"	"11"	""	"3"	"3"	"0"	"3"	"1"	"0"	"0"	"3"	"6"	"308"	"382"	""	""	"382"
"226"	"159"	"43"	"85"	""	"7"	"96"	"3"	"10"	"1"	"9"	"6"	"13"	"10"	"337"	"620"	""	""	"620"
"227"	"160"	"52"	"77"	""	"2"	"3"	"0"	"1"	"2"	"1"	"12"	"2"	"10"	"501"	"663"	""	""	"663"
"228"	"161"	"221"	"209"	""	"3"	"73"	"4"	"1"	"0"	"7"	"10"	"1"	"1"	"14"	"544"	""	""	"544"
"229"	"162"	"114"	"149"	""	"10"	"18"	"8"	"11"	"3"	"6"	"25"	"18"	"19"	"200"	"581"	""	""	"581"
"230"	"163"	"75"	"47"	""	"1"	"7"	"2"	"12"	"3"	"1"	"5"	"2"	"4"	"112"	"271"	""	""	"271"
"231"	"164"	"39"	"148"	""	"4"	"76"	"5"	"11"	"1"	"1"	"6"	"0"	"5"	"31"	"327"	""	""	"327"
"232"	"165"	"31"	"76"	""	"1"	"2"	"18"	"1"	"1"	"0"	"8"	"1"	"0"	"49"	"188"	""	""	"188"
"233"	"166"	"95"	"54"	""	"1"	"4"	"21"	"6"	"1"	"1"	"4"	"2"	"8"	"143"	"340"	""	""	"340"
"234"	"167"	"22"	"60"	""	"2"	"21"	"4"	"2"	"0"	"1"	"4"	"1"	"2"	"70"	"189"	""	""	"189"
"235"	"168"	"84"	"132"	""	"5"	"4"	"29"	"3"	"2"	"2"	"10"	"10"	"5"	"98"	"384"	""	""	"384"
"236"	"Round Total"	"1126"	"1192"	""	"44"	"310"	"96"	"64"	"15"	"35"	"99"	"63"	"80"	"2646"	"5770"	"0"	"0"	"5770"
"237"	"C.F.->"	"21696"	"18183"	""	"565"	"5394"	"671"	"765"	"584"	"437"	"1260"	"829"	"1062"	"25496"	"76942"	"0"	"0"	"76942"
"238"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"239"	""	"Mk0  vCnqy  xQqj"	"xqats'oj  lkg"	""	"iz.ko  dqekj  nkl"	"vdhy  vgen"	"y{eh ukjk;.k >k"	"dkS'kY;k nsoh"	"xaxk jke  lknk"	"nsosUnz  esgrk"	"eks0  eghmnhu"	"'kf'k Hkw\"k.k"	"lq[knso  eqf[k;k"	"lqjsUnz  ;kno"	"dqy  fof/kekU;  er"	""	""	""
"240"	"ROUND- XIII"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"B.F.->"	"21696"	"18183"	""	"565"	"5394"	"671"	"765"	"584"	"437"	"1260"	"829"	"1062"	"25496"	"76942"	"0"	"0"	"76942"
"242"	"169"	"43"	"84"	""	"1"	"2"	"26"	"3"	"1"	"1"	"8"	"3"	"1"	"62"	"235"	""	""	"235"
"243"	"170"	"84"	"62"	""	"0"	"10"	"10"	"1"	"1"	"1"	"9"	"6"	"5"	"299"	"488"	""	""	"488"
"244"	"171"	"43"	"144"	""	"3"	"28"	"3"	"0"	"2"	"1"	"5"	"6"	"5"	"69"	"309"	""	""	"309"
"245"	"172"	"59"	"60"	""	"6"	"114"	"12"	"1"	"3"	"0"	"8"	"25"	"5"	"74"	"367"	""	""	"367"
"246"	"173"	"57"	"38"	""	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"4"	"199"	"302"	""	""	"302"
"247"	"174"	"40"	"22"	""	"1"	"2"	"3"	"2"	"3"	"2"	"1"	"4"	"8"	"64"	"152"	""	""	"152"
"248"	"175"	"94"	"321"	""	"0"	"4"	"0"	"3"	"0"	"1"	"3"	"2"	"2"	"75"	"505"	""	""	"505"
"249"	"176"	"144"	"95"	""	"2"	"1"	"2"	"0"	"0"	"2"	"8"	"0"	"2"	"197"	"453"	""	""	"453"
"250"	"177"	"32"	"1"	""	"1"	"0"	"0"	"2"	"3"	"1"	"0"	"0"	"3"	"480"	"523"	""	""	"523"
"251"	"178"	"43"	"11"	""	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"846"	"901"	""	""	"901"
"252"	"179"	"56"	"51"	""	"3"	"20"	"2"	"0"	"1"	"4"	"8"	"4"	"9"	"338"	"496"	""	""	"496"
"253"	"180"	"331"	"14"	""	"2"	"6"	"0"	"1"	"2"	"0"	"0"	"2"	"6"	"153"	"517"	""	""	"517"
"254"	"181"	"191"	"20"	""	"1"	"4"	"3"	"3"	"6"	"5"	"3"	"8"	"4"	"144"	"392"	""	""	"392"
"255"	"182"	"129"	"13"	""	"4"	"2"	"2"	"2"	"4"	"2"	"2"	"2"	"10"	"180"	"352"	""	""	"352"
"256"	"Round Total"	"1346"	"936"	""	"25"	"194"	"64"	"18"	"26"	"21"	"55"	"63"	"64"	"3180"	"5992"	"0"	"0"	"5992"
"257"	"C.F.->"	"23042"	"19119"	""	"590"	"5588"	"735"	"783"	"610"	"458"	"1315"	"892"	"1126"	"28676"	"82934"	"0"	"0"	"82934"
"258"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"259"	""	"Mk0  vCnqy  xQqj"	"xqats'oj  lkg"	""	"iz.ko  dqekj  nkl"	"vdhy  vgen"	"y{eh ukjk;.k >k"	"dkS'kY;k nsoh"	"xaxk jke  lknk"	"nsosUnz  esgrk"	"eks0  eghmnhu"	"'kf'k Hkw\"k.k"	"lq[knso  eqf[k;k"	"lqjsUnz  ;kno"	"dqy  fof/kekU;  er"	""	""	""
"260"	"ROUND -XIV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"B.F.->"	"23042"	"19119"	""	"590"	"5588"	"735"	"783"	"610"	"458"	"1315"	"892"	"1126"	"28676"	"82934"	"0"	"0"	"82934"
"262"	"183"	"70"	"190"	""	"6"	"4"	"1"	"4"	"2"	"2"	"10"	"1"	"11"	"235"	"536"	""	""	"536"
"263"	"184"	"203"	"55"	""	"2"	"5"	"1"	"12"	"3"	"4"	"7"	"6"	"16"	"341"	"655"	""	""	"655"
"264"	"185"	"120"	"98"	""	"3"	"3"	"2"	"2"	"2"	"3"	"13"	"1"	"6"	"67"	"320"	""	""	"320"
"265"	"186"	"127"	"62"	""	"3"	"0"	"2"	"2"	"2"	"4"	"4"	"2"	"6"	"55"	"269"	""	""	"269"
"266"	"187"	"29"	"7"	""	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"387"	"426"	""	""	"426"
"267"	"188"	"311"	"78"	""	"8"	"4"	"0"	"6"	"2"	"2"	"7"	"2"	"5"	"61"	"486"	""	""	"486"
"268"	"189"	"5"	"42"	""	"0"	"1"	"0"	"1"	"0"	"1"	"2"	"0"	"2"	"396"	"450"	""	""	"450"
"269"	"190"	"4"	"2"	""	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"353"	"361"	""	""	"361"
"270"	"191"	"240"	"78"	""	"4"	"13"	"1"	"2"	"4"	"4"	"4"	"2"	"14"	"143"	"509"	""	""	"509"
"271"	"192"	"52"	"167"	""	"2"	"22"	"2"	"2"	"1"	"0"	"8"	"5"	"7"	"147"	"415"	""	""	"415"
"272"	"193"	"17"	"4"	""	"0"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"660"	"686"	""	""	"686"
"273"	"194"	"22"	"536"	""	"7"	"3"	"0"	"3"	"1"	"0"	"4"	"1"	"1"	"35"	"613"	""	""	"613"
"274"	"195"	"160"	"223"	""	"8"	"61"	"7"	"4"	"3"	"0"	"7"	"15"	"5"	"15"	"508"	""	""	"508"
"275"	"196"	"69"	"201"	""	"6"	"55"	"5"	"2"	"2"	"7"	"8"	"12"	"7"	"96"	"470"	""	""	"470"
"276"	"Round Total"	"1429"	"1743"	""	"50"	"175"	"22"	"42"	"23"	"27"	"74"	"47"	"81"	"2991"	"6704"	"0"	"0"	"6704"
"277"	"C.F.->"	"24471"	"20862"	""	"640"	"5763"	"757"	"825"	"633"	"485"	"1389"	"939"	"1207"	"31667"	"89638"	"0"	"0"	"89638"
"278"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"279"	""	"Mk0  vCnqy  xQqj"	"xqats'oj  lkg"	""	"iz.ko  dqekj  nkl"	"vdhy  vgen"	"y{eh ukjk;.k >k"	"dkS'kY;k nsoh"	"xaxk jke  lknk"	"nsosUnz  esgrk"	"eks0  eghmnhu"	"'kf'k Hkw\"k.k"	"lq[knso  eqf[k;k"	"lqjsUnz  ;kno"	"dqy  fof/kekU;  er"	""	""	""
"280"	"ROUND- XV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"B.F.->"	"24471"	"20862"	""	"640"	"5763"	"757"	"825"	"633"	"485"	"1389"	"939"	"1207"	"31667"	"89638"	"0"	"0"	"89638"
"282"	"197"	"63"	"46"	""	"2"	"15"	"4"	"4"	"4"	"0"	"5"	"3"	"9"	"263"	"418"	""	""	"418"
"283"	"198"	"23"	"2"	""	"3"	"189"	"2"	"0"	"0"	"1"	"2"	"2"	"4"	"73"	"301"	""	""	"301"
"284"	"199"	"16"	"8"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"386"	"410"	""	""	"410"
"285"	"200"	"31"	"8"	""	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"5"	"331"	"378"	""	""	"378"
"286"	"201"	"50"	"13"	""	"3"	"1"	"1"	"2"	"3"	"1"	"3"	"0"	"7"	"149"	"233"	""	""	"233"
"287"	"202"	"2"	"0"	""	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"559"	"565"	""	""	"565"
"288"	"203"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"637"	"638"	""	""	"638"
"289"	"204"	"3"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"506"	"511"	""	""	"511"
"290"	"205"	"1"	"8"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"402"	"411"	""	""	"411"
"291"	"206"	"0"	"5"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"669"	"675"	""	""	"675"
"292"	"207"	"28"	"82"	""	"2"	"6"	"0"	"2"	"6"	"2"	"29"	"13"	"23"	"329"	"522"	""	""	"522"
"293"	"208"	"37"	"334"	""	"5"	"21"	"3"	"6"	"2"	"3"	"5"	"6"	"4"	"82"	"508"	""	""	"508"
"294"	"209"	"170"	"3"	""	"0"	"4"	"0"	"0"	"0"	"0"	"3"	"2"	"13"	"415"	"610"	""	""	"610"
"295"	"210"	"77"	"30"	""	"2"	"1"	"2"	"2"	"0"	"2"	"6"	"3"	"3"	"327"	"455"	""	""	"455"
"296"	"Round Total"	"501"	"539"	""	"18"	"238"	"12"	"17"	"16"	"10"	"54"	"30"	"72"	"5128"	"6635"	"0"	"0"	"6635"
"297"	"C.F.->"	"24972"	"21401"	""	"658"	"6001"	"769"	"842"	"649"	"495"	"1443"	"969"	"1279"	"36795"	"96273"	"0"	"0"	"96273"
"298"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"299"	""	"Mk0  vCnqy  xQqj"	"xqats'oj  lkg"	""	"iz.ko  dqekj  nkl"	"vdhy  vgen"	"y{eh ukjk;.k >k"	"dkS'kY;k nsoh"	"xaxk jke  lknk"	"nsosUnz  esgrk"	"eks0  eghmnhu"	"'kf'k Hkw\"k.k"	"lq[knso  eqf[k;k"	"lqjsUnz  ;kno"	"dqy  fof/kekU;  er"	""	""	""
"300"	"ROUND -XVI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"B.F.->"	"24972"	"21401"	""	"658"	"6001"	"769"	"842"	"649"	"495"	"1443"	"969"	"1279"	"36795"	"96273"	"0"	"0"	"96273"
"302"	"211"	"16"	"99"	""	"4"	"0"	"1"	"0"	"1"	"0"	"4"	"1"	"8"	"342"	"476"	""	""	"476"
"303"	"212"	"81"	"82"	""	"4"	"2"	"5"	"7"	"3"	"7"	"15"	"2"	"6"	"92"	"306"	""	""	"306"
"304"	"213"	"27"	"61"	""	"3"	"1"	"7"	"1"	"0"	"3"	"9"	"3"	"6"	"317"	"438"	""	""	"438"
"305"	"214"	"9"	"16"	""	"0"	"5"	"2"	"0"	"0"	"1"	"1"	"2"	"3"	"335"	"374"	""	""	"374"
"306"	"215"	"24"	"38"	""	"2"	"2"	"2"	"0"	"1"	"2"	"2"	"1"	"6"	"479"	"559"	""	""	"559"
"307"	"216"	"57"	"97"	""	"3"	"2"	"2"	"2"	"0"	"1"	"2"	"1"	"1"	"160"	"328"	""	""	"328"
"308"	"217"	"5"	"1"	""	"0"	"7"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"450"	"465"	""	""	"465"
"309"	"218"	"36"	"359"	""	"4"	"4"	"0"	"7"	"5"	"5"	"37"	"8"	"13"	"155"	"633"	""	""	"633"
"310"	"219"	"24"	"10"	""	"2"	"4"	"0"	"1"	"1"	"0"	"4"	"2"	"9"	"411"	"468"	""	""	"468"
"311"	"220"	"52"	"3"	""	"1"	"3"	"1"	"0"	"0"	"3"	"0"	"4"	"1"	"224"	"292"	""	""	"292"
"312"	"221"	"88"	"106"	""	"11"	"70"	"9"	"13"	"6"	"10"	"10"	"13"	"6"	"138"	"480"	""	""	"480"
"313"	"222"	"30"	"57"	""	"0"	"49"	"6"	"1"	"0"	"0"	"7"	"5"	"4"	"84"	"243"	""	""	"243"
"314"	"223"	"59"	"4"	""	"0"	"0"	"2"	"2"	"1"	"1"	"1"	"3"	"1"	"158"	"232"	""	""	"232"
"315"	"224"	"9"	"25"	""	"1"	"0"	"0"	"2"	"0"	"1"	"0"	"3"	"2"	"277"	"320"	""	""	"320"
"316"	"Round Total"	"517"	"958"	""	"35"	"149"	"37"	"37"	"18"	"34"	"92"	"49"	"66"	"3622"	"5614"	"0"	"0"	"5614"
"317"	"Mkd  eri=ks dh  la[;k"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"1"	"0"	"0"	"1"
"318"	"Grand Total"	"25489"	"22359"	""	"693"	"6151"	"806"	"879"	"667"	"529"	"1535"	"1018"	"1345"	"40417"	"101888"	"0"	"0"	"101888"
"319"	"ernku  dsUnz dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"Mk0  vCnqy  xQqj"	""	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"321"	"xqats'oj  lkg"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"322"	"iz.ko  dqekj  nkl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"vdhy  vgen"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"y{eh ukjk;.k >k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"dkS'kY;k nsoh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"xaxk jke  lknk"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"327"	"nsosUnz  esgrk"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"eks0  eghmnhu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"329"	"'kf'k Hkw\"k.k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"330"	"lq[knso  eqf[k;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
