"izi..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"fo/kku lHkk fuokZpu & 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ernku dsUnz
la[;k"	"tuknZu ;kno"	"eukst ;kno"	"lR;ukjk;.k
;kno"	"ghjkyky
eaMy"	"jktfd'kksj
izlkn mQZ iIiq
;kno"	"yqdkl lksjsu"	"misUnz izekf.kd"	"mekdkUr ;kno"	"ujs'k nkl"	"iyVu izlkn
;kno"	"erks dk ;ksx"	""
"233"	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"fo/kku lHkk fuokZpu & 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"ernku dsUnz
la[;k"	"tuknZu ;kno"	"eukst ;kno"	"lR;ukjk;.k
;kno"	"ghjkyky
eaMy"	"jktfd'kksj
izlkn mQZ iIiq
;kno"	"yqdkl lksjsu"	"misUnz izekf.kd"	"mekdkUr ;kno"	"ujs'k nkl"	"iyVu izlkn
;kno"	"erks dk ;ksx"	""
"239"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"240"	"127"	"98"	"83"	"24"	"7"	"129"	"14"	"8"	"15"	"26"	"48"	"452"	""
"241"	"128"	"99"	"308"	"73"	"14"	"119"	"12"	"4"	"7"	"7"	"35"	"678"	""
"242"	"129"	"44"	"65"	"161"	"19"	"131"	"12"	"4"	"8"	"9"	"14"	"467"	""
"243"	"130"	"46"	"178"	"4"	"6"	"202"	"7"	"3"	"10"	"13"	"18"	"487"	""
"244"	"131"	"93"	"108"	"147"	"23"	"142"	"13"	"3"	"4"	"15"	"8"	"556"	""
"245"	"132"	"167"	"41"	"134"	"8"	"104"	"6"	"3"	"7"	"4"	"11"	"485"	""
"246"	"133"	"14"	"727"	"4"	"2"	"20"	"1"	"0"	"4"	"3"	"1"	"776"	""
"247"	"134"	"215"	"161"	"21"	"9"	"66"	"4"	"2"	"6"	"18"	"12"	"514"	""
"248"	"135"	"243"	"167"	"15"	"32"	"95"	"2"	"2"	"6"	"9"	"14"	"585"	""
"249"	"136"	"131"	"115"	"10"	"12"	"53"	"2"	"3"	"0"	"9"	"3"	"338"	""
"250"	"137"	"133"	"175"	"13"	"22"	"8"	"3"	"1"	"0"	"6"	"23"	"384"	""
"251"	"138"	"120"	"192"	"64"	"11"	"110"	"13"	"7"	"6"	"19"	"35"	"577"	""
"252"	"139"	"309"	"91"	"19"	"7"	"115"	"6"	"5"	"8"	"19"	"23"	"602"	""
"253"	"140"	"3"	"23"	"4"	"3"	"537"	"3"	"0"	"0"	"1"	"1"	"575"	""
"254"	";ksx"	"1715"	"2434"	"693"	"175"	"1831"	"98"	"45"	"81"	"158"	"246"	"7476"	""
"255"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""
"256"	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"fnukad &"	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	"lgk;d fuokZph inkf/kdkjh"	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"258"	""	""	""	""	""	""	""	"dk gLrk{Kj"	""	""	"158 dVksfj;k fo/kku lHkk {ks="	""	""
"259"	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"fo/kku lHkk fuokZpu & 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"263"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"ernku dsUnz
la[;k"	"tuknZu ;kno"	"eukst ;kno"	"lR;ukjk;.k
;kno"	"ghjkyky
eaMy"	"jktfd'kksj
izlkn mQZ iIiq
;kno"	"yqdkl lksjsu"	"misUnz izekf.kd"	"mekdkUr ;kno"	"ujs'k nkl"	"iyVu izlkn
;kno"	"erks dk ;ksx"	""
"265"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"266"	"141"	"40"	"303"	"110"	"9"	"19"	"5"	"4"	"9"	"6"	"7"	"512"	""
"267"	"142"	"67"	"138"	"73"	"5"	"32"	"2"	"0"	"15"	"3"	"12"	"347"	""
"268"	"143"	"147"	"381"	"20"	"8"	"78"	"8"	"5"	"7"	"27"	"33"	"714"	""
"269"	"144"	"62"	"54"	"90"	"2"	"15"	"2"	"1"	"6"	"1"	"6"	"239"	""
"270"	"145"	"131"	"173"	"10"	"10"	"100"	"3"	"3"	"1"	"23"	"11"	"465"	""
"271"	"146"	"334"	"81"	"11"	"25"	"133"	"9"	"0"	"7"	"21"	"56"	"677"	""
"272"	"147"	"120"	"7"	"8"	"12"	"424"	"42"	"15"	"9"	"22"	"50"	"709"	""
"273"	"148"	"179"	"139"	"52"	"9"	"51"	"3"	"2"	"6"	"10"	"9"	"460"	""
"274"	"149"	"307"	"82"	"2"	"1"	"2"	"3"	"0"	"3"	"2"	"3"	"405"	""
"275"	"150"	"101"	"216"	"14"	"2"	"93"	"4"	"3"	"2"	"8"	"6"	"449"	""
"276"	"151"	"166"	"175"	"22"	"6"	"159"	"14"	"6"	"7"	"14"	"20"	"589"	""
"277"	"152"	"154"	"167"	"23"	"31"	"178"	"10"	"5"	"11"	"45"	"22"	"646"	""
"278"	"153"	"87"	"387"	"15"	"6"	"85"	"3"	"5"	"4"	"7"	"13"	"612"	""
"279"	"154"	"81"	"361"	"26"	"20"	"80"	"1"	"3"	"13"	"18"	"8"	"611"	""
"280"	";ksx"	"1976"	"2664"	"476"	"146"	"1449"	"109"	"52"	"100"	"207"	"256"	"7435"	""
"281"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""
"282"	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	"fnukad &"	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	"lgk;d fuokZph inkf/kdkjh"	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"284"	""	""	""	""	""	""	""	"dk gLrk{Kj"	""	""	"158 dVksfj;k fo/kku lHkk {ks="	""	""
"285"	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"fo/kku lHkk fuokZpu & 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"ernku dsUnz
la[;k"	"tuknZu ;kno"	"eukst ;kno"	"lR;ukjk;.k
;kno"	"ghjkyky
eaMy"	"jktfd'kksj
izlkn mQZ iIiq
;kno"	"yqdkl lksjsu"	"misUnz izekf.kd"	"mekdkUr ;kno"	"ujs'k nkl"	"iyVu izlkn
;kno"	"erks dk ;ksx"	""
"291"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"292"	"155"	"68"	"326"	"12"	"8"	"67"	"2"	"1"	"6"	"7"	"3"	"500"	""
"293"	"156"	"129"	"523"	"22"	"9"	"100"	"4"	"5"	"3"	"9"	"28"	"832"	""
"294"	"157"	"11"	"264"	"11"	"4"	"45"	"0"	"2"	"5"	"5"	"12"	"359"	""
"295"	"158"	"125"	"232"	"22"	"7"	"94"	"1"	"7"	"6"	"28"	"8"	"530"	""
"296"	"159"	"57"	"351"	"43"	"65"	"102"	"2"	"3"	"4"	"12"	"6"	"645"	""
"297"	"160"	"85"	"469"	"42"	"29"	"57"	"4"	"3"	"5"	"12"	"5"	"711"	""
"298"	"161"	"130"	"338"	"8"	"6"	"57"	"8"	"5"	"3"	"24"	"36"	"615"	""
"299"	"162"	"48"	"148"	"45"	"55"	"50"	"9"	"4"	"15"	"10"	"21"	"405"	""
"300"	"163"	"47"	"154"	"9"	"9"	"124"	"4"	"5"	"6"	"43"	"20"	"421"	""
"301"	"164"	"47"	"44"	"2"	"16"	"76"	"9"	"6"	"1"	"8"	"6"	"215"	""
"302"	"165"	"130"	"9"	"14"	"7"	"236"	"7"	"2"	"1"	"22"	"6"	"434"	""
"303"	"166"	"51"	"69"	"9"	"14"	"187"	"14"	"2"	"2"	"27"	"17"	"392"	""
"304"	"167"	"56"	"167"	"11"	"3"	"189"	"5"	"1"	"2"	"9"	"6"	"449"	""
"305"	"168"	"49"	"19"	"1"	"4"	"207"	"8"	"2"	"1"	"11"	"10"	"312"	""
"306"	";ksx"	"1033"	"3113"	"251"	"236"	"1591"	"77"	"48"	"60"	"227"	"184"	"6820"	""
"307"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""
"308"	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"fnukad &"	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	"lgk;d fuokZph inkf/kdkjh"	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"310"	""	""	""	""	""	""	""	"dk gLrk{Kj"	""	""	"158 dVksfj;k fo/kku lHkk {ks="	""	""
"311"	""	""	""	""	""	""	""	""	""	""	""	""	""
"312"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"fo/kku lHkk fuokZpu & 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""
"316"	"ernku dsUnz
la[;k"	"tuknZu ;kno"	"eukst ;kno"	"lR;ukjk;.k
;kno"	"ghjkyky
eaMy"	"jktfd'kksj
izlkn mQZ iIiq
;kno"	"yqdkl lksjsu"	"misUnz izekf.kd"	"mekdkUr ;kno"	"ujs'k nkl"	"iyVu izlkn
;kno"	"erks dk ;ksx"	""
"317"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"318"	"169"	"90"	"92"	"9"	"31"	"200"	"18"	"3"	"5"	"22"	"36"	"506"	""
"319"	"170"	"62"	"15"	"2"	"6"	"243"	"7"	"0"	"4"	"14"	"8"	"361"	""
"320"	"171"	"191"	"320"	"45"	"43"	"72"	"7"	"7"	"10"	"14"	"13"	"722"	""
"321"	"172"	"189"	"272"	"28"	"6"	"74"	"8"	"3"	"9"	"20"	"37"	"646"	""
"322"	"173"	"210"	"61"	"12"	"6"	"112"	"9"	"4"	"2"	"17"	"19"	"452"	""
"323"	"174"	"91"	"164"	"9"	"39"	"47"	"2"	"5"	"7"	"5"	"6"	"375"	""
"324"	"175"	"39"	"244"	"140"	"5"	"14"	"6"	"2"	"5"	"1"	"7"	"463"	""
"325"	"176"	"378"	"86"	"4"	"0"	"6"	"0"	"0"	"2"	"0"	"5"	"481"	""
"326"	"177"	"219"	"234"	"20"	"4"	"82"	"8"	"4"	"9"	"10"	"35"	"625"	""
"327"	"178"	"82"	"196"	"106"	"2"	"5"	"1"	"2"	"4"	"2"	"3"	"403"	""
"328"	"179"	"58"	"221"	"329"	"10"	"21"	"14"	"7"	"23"	"12"	"19"	"714"	""
"329"	"180"	"221"	"199"	"10"	"10"	"6"	"3"	"2"	"4"	"3"	"16"	"474"	""
"330"	"181"	"48"	"46"	"400"	"9"	"11"	"4"	"2"	"16"	"4"	"28"	"568"	""
"331"	"182"	"34"	"129"	"249"	"8"	"38"	"4"	"4"	"10"	"8"	"25"	"509"	""
"332"	";ksx"	"1912"	"2279"	"1363"	"179"	"931"	"91"	"45"	"110"	"132"	"257"	"7299"	""
"333"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""
"334"	""	""	""	""	""	""	""	""	""	""	""	""	""
"335"	"fnukad &"	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	"lgk;d fuokZph inkf/kdkjh"	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"336"	""	""	""	""	""	""	""	"dk gLrk{Kj"	""	""	"158 dVksfj;k fo/kku lHkk {ks="	""	""
"337"	""	""	""	""	""	""	""	""	""	""	""	""	""
"338"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"339"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""
"340"	"fo/kku lHkk fuokZpu & 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"341"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""
"342"	"ernku dsUnz
la[;k"	"tuknZu ;kno"	"eukst ;kno"	"lR;ukjk;.k
;kno"	"ghjkyky
eaMy"	"jktfd'kksj
izlkn mQZ iIiq
;kno"	"yqdkl lksjsu"	"misUnz izekf.kd"	"mekdkUr ;kno"	"ujs'k nkl"	"iyVu izlkn
;kno"	"erks dk ;ksx"	""
"343"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"344"	"183"	"86"	"59"	"223"	"6"	"1"	"2"	"1"	"8"	"1"	"8"	"395"	""
"345"	"184"	"100"	"211"	"21"	"3"	"11"	"3"	"0"	"1"	"3"	"6"	"359"	""
"346"	"185"	"50"	"249"	"5"	"28"	"3"	"1"	"1"	"3"	"2"	"3"	"345"	""
"347"	"186"	"569"	"41"	"1"	"3"	"131"	"1"	"0"	"0"	"1"	"2"	"749"	""
"348"	"187"	"163"	"105"	"2"	"0"	"55"	"0"	"0"	"0"	"3"	"2"	"330"	""
"349"	"188"	"155"	"234"	"6"	"3"	"5"	"0"	"2"	"3"	"1"	"3"	"412"	""
"350"	"189"	"180"	"224"	"35"	"11"	"16"	"0"	"2"	"1"	"7"	"18"	"494"	""
"351"	"190"	"148"	"170"	"12"	"9"	"10"	"2"	"3"	"0"	"7"	"24"	"385"	""
"352"	"191"	"125"	"318"	"21"	"52"	"9"	"6"	"1"	"6"	"6"	"27"	"571"	""
"353"	"192"	"493"	"231"	"45"	"4"	"240"	"4"	"1"	"2"	"6"	"3"	"1029"	""
"354"	"193"	"333"	"86"	"43"	"28"	"178"	"17"	"6"	"8"	"20"	"20"	"739"	""
"355"	"194"	"112"	"62"	"8"	"2"	"92"	"7"	"2"	"4"	"2"	"17"	"308"	""
"356"	"195"	"48"	"231"	"13"	"12"	"87"	"11"	"1"	"4"	"21"	"7"	"435"	""
"357"	"196"	"155"	"190"	"37"	"6"	"82"	"8"	"1"	"4"	"10"	"11"	"504"	""
"358"	";ksx"	"2717"	"2411"	"472"	"167"	"920"	"62"	"21"	"44"	"90"	"151"	"7055"	""
"359"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""
"360"	""	""	""	""	""	""	""	""	""	""	""	""	""
"361"	"fnukad &"	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	"lgk;d fuokZph inkf/kdkjh"	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"362"	""	""	""	""	""	""	""	"dk gLrk{Kj"	""	""	"158 dVksfj;k fo/kku lHkk {ks="	""	""
"363"	""	""	""	""	""	""	""	""	""	""	""	""	""
"364"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"365"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""
"366"	"fo/kku lHkk fuokZpu & 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"367"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""
"368"	"ernku dsUnz
la[;k"	"tuknZu ;kno"	"eukst ;kno"	"lR;ukjk;.k
;kno"	"ghjkyky
eaMy"	"jktfd'kksj
izlkn mQZ iIiq
;kno"	"yqdkl lksjsu"	"misUnz izekf.kd"	"mekdkUr ;kno"	"ujs'k nkl"	"iyVu izlkn
;kno"	"erks dk ;ksx"	""
"369"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"370"	"197"	"169"	"68"	"7"	"3"	"20"	"3"	"2"	"6"	"13"	"24"	"315"	""
"371"	"198"	"28"	"193"	"15"	"1"	"66"	"3"	"0"	"1"	"5"	"3"	"315"	""
"372"	"199"	"142"	"83"	"52"	"12"	"184"	"12"	"4"	"6"	"13"	"11"	"519"	""
"373"	"200"	"53"	"238"	"11"	"29"	"77"	"3"	"3"	"1"	"8"	"7"	"430"	""
"374"	"201"	"123"	"118"	"127"	"8"	"71"	"12"	"4"	"8"	"8"	"23"	"502"	""
"375"	"202"	"202"	"62"	"53"	"2"	"63"	"2"	"3"	"5"	"12"	"18"	"422"	""
"376"	"203"	"52"	"31"	"3"	"0"	"112"	"1"	"1"	"0"	"7"	"7"	"214"	""
"377"	"204"	"26"	"705"	"0"	"7"	"9"	"0"	"0"	"0"	"1"	"0"	"748"	""
"378"	"205"	"94"	"93"	"7"	"1"	"5"	"2"	"2"	"0"	"2"	"5"	"211"	""
"379"	"206"	"133"	"56"	"76"	"5"	"43"	"2"	"1"	"5"	"5"	"15"	"341"	""
"380"	"207"	"237"	"144"	"25"	"5"	"18"	"2"	"3"	"2"	"9"	"6"	"451"	""
"381"	"208"	"419"	"45"	"3"	"1"	"30"	"1"	"1"	"0"	"0"	"1"	"501"	""
"382"	"209"	"50"	"179"	"21"	"4"	"5"	"1"	"1"	"0"	"7"	"4"	"272"	""
"383"	"210"	"68"	"195"	"11"	"2"	"59"	"3"	"2"	"2"	"13"	"21"	"376"	""
"384"	";ksx"	"1796"	"2210"	"411"	"80"	"762"	"47"	"27"	"36"	"103"	"145"	"5617"	""
"385"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""
"386"	""	""	""	""	""	""	""	""	""	""	""	""	""
"387"	"fnukad &"	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	"lgk;d fuokZph inkf/kdkjh"	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"388"	""	""	""	""	""	""	""	"dk gLrk{Kj"	""	""	"158 dVksfj;k fo/kku lHkk {ks="	""	""
"389"	""	""	""	""	""	""	""	""	""	""	""	""	""
"390"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"391"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""
"392"	"fo/kku lHkk fuokZpu & 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"393"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""
"394"	"ernku dsUnz
la[;k"	"tuknZu ;kno"	"eukst ;kno"	"lR;ukjk;.k
;kno"	"ghjkyky
eaMy"	"jktfd'kksj
izlkn mQZ iIiq
;kno"	"yqdkl lksjsu"	"misUnz izekf.kd"	"mekdkUr ;kno"	"ujs'k nkl"	"iyVu izlkn
;kno"	"erks dk ;ksx"	""
"395"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"396"	"211"	"111"	"9"	"55"	"9"	"162"	"9"	"7"	"5"	"11"	"19"	"397"	""
"397"	"212"	"94"	"30"	"4"	"11"	"159"	"28"	"2"	"4"	"3"	"23"	"358"	""
"398"	"213"	"127"	"52"	"51"	"10"	"145"	"22"	"6"	"3"	"15"	"47"	"478"	""
"399"	"214"	"90"	"98"	"47"	"11"	"102"	"12"	"3"	"2"	"16"	"28"	"409"	""
"400"	"215"	"84"	"91"	"45"	"12"	"214"	"10"	"6"	"8"	"16"	"19"	"505"	""
"401"	"216"	"43"	"162"	"21"	"7"	"197"	"9"	"2"	"4"	"13"	"10"	"468"	""
"402"	"217"	"23"	"252"	"181"	"15"	"33"	"25"	"4"	"15"	"14"	"27"	"589"	""
"403"	"218"	"73"	"51"	"303"	"4"	"39"	"6"	"1"	"11"	"1"	"9"	"498"	""
"404"	"219"	"47"	"236"	"15"	"4"	"123"	"4"	"3"	"0"	"6"	"13"	"451"	""
"405"	"220"	"17"	"118"	"85"	"6"	"5"	"1"	"0"	"6"	"5"	"10"	"253"	""
"406"	"221"	"13"	"175"	"181"	"5"	"16"	"2"	"1"	"7"	"3"	"2"	"405"	""
"407"	"222"	"161"	"294"	"50"	"8"	"45"	"10"	"4"	"2"	"17"	"14"	"605"	""
"408"	"223"	"83"	"258"	"173"	"3"	"2"	"3"	"4"	"10"	"7"	"9"	"552"	""
"409"	"224"	"238"	"180"	"22"	"1"	"16"	"4"	"2"	"5"	"5"	"43"	"516"	""
"410"	";ksx"	"1204"	"2006"	"1233"	"106"	"1258"	"145"	"45"	"82"	"132"	"273"	"6484"	""
"411"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""
"412"	""	""	""	""	""	""	""	""	""	""	""	""	""
"413"	"fnukad &"	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	"lgk;d fuokZph inkf/kdkjh"	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"414"	""	""	""	""	""	""	""	"dk gLrk{Kj"	""	""	"158 dVksfj;k fo/kku lHkk {ks="	""	""
"415"	""	""	""	""	""	""	""	""	""	""	""	""	""
"416"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"417"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""
"418"	"fo/kku lHkk fuokZpu & 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"419"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""
"420"	"ernku dsUnz
la[;k"	"tuknZu ;kno"	"eukst ;kno"	"lR;ukjk;.k
;kno"	"ghjkyky
eaMy"	"jktfd'kksj
izlkn mQZ iIiq
;kno"	"yqdkl lksjsu"	"misUnz izekf.kd"	"mekdkUr ;kno"	"ujs'k nkl"	"iyVu izlkn
;kno"	"erks dk ;ksx"	""
"421"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"422"	"225"	"109"	"112"	"74"	"5"	"44"	"3"	"2"	"5"	"8"	"17"	"379"	""
"423"	"226"	"131"	"58"	"181"	"3"	"15"	"4"	"3"	"7"	"4"	"3"	"409"	""
"424"	"227"	"212"	"140"	"157"	"12"	"14"	"6"	"5"	"16"	"9"	"14"	"585"	""
"425"	"228"	"176"	"231"	"69"	"11"	"30"	"8"	"8"	"5"	"15"	"46"	"599"	""
"426"	";ksx"	"628"	"541"	"481"	"31"	"103"	"21"	"18"	"33"	"36"	"80"	"1972"	""
"427"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""
"428"	""	""	""	""	""	""	""	""	""	""	""	""	""
"429"	"fnukad &"	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	"lgk;d fuokZph inkf/kdkjh"	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"430"	""	""	""	""	""	""	""	"dk gLrk{Kj"	""	""	"158 dVksfj;k fo/kku lHkk {ks="	""	""
