"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [(SEE RULE 56C (2)(c)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency - 220844"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Name of the Assembly :- 101 - SINGHIA (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"208"	"185"	"185"	"169"	"302"	"6"	"15"	"24"	"11"	"161"	"13"	"74"	"775"	"0"	"775"	""
"209"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"210"	""	""	"Dr. Ashok Kumar"	"Dasai Choudhary"	"Bhageshwar Paswan"	"Laliteshwar Paswan"	"Pratibha kumari"	"Raghunath Sada"	"Ratnesh Sada"	"Sunil Kumar Rajak"	"Ramotar Paswan"	""	""	""	""
"211"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"212"	"186"	"186"	"138"	"197"	"11"	"167"	"41"	"170"	"67"	"15"	"38"	"844"	"0"	"844"	""
"213"	"187"	"187"	"240"	"46"	"5"	"44"	"5"	"3"	"34"	"2"	"26"	"405"	"0"	"405"	""
"214"	"188"	"188"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"215"	"189"	"189"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"216"	"190"	"190"	"105"	"245"	"1"	"8"	"3"	"1"	"165"	"2"	"2"	"532"	"0"	"532"	""
"217"	"191"	"191"	"39"	"319"	"6"	"7"	"15"	"4"	"26"	"3"	"31"	"450"	"0"	"450"	""
"218"	"192"	"192"	"99"	"18"	"13"	"16"	"8"	"8"	"137"	"23"	"131"	"453"	"0"	"453"	""
"219"	"193"	"193"	"101"	"2"	"0"	"20"	"0"	"1"	"9"	"2"	"114"	"249"	"0"	"249"	""
"220"	"194"	"194"	"114"	"22"	"11"	"62"	"17"	"12"	"101"	"27"	"72"	"438"	"0"	"438"	""
"221"	"195"	"195"	"65"	"49"	"11"	"15"	"16"	"12"	"177"	"14"	"30"	"389"	"0"	"389"	""
"222"	"196"	"196"	"56"	"263"	"8"	"5"	"10"	"5"	"115"	"15"	"19"	"496"	"0"	"496"	""
"223"	"Total No. of votes recording at polling Stations"	""	"35514"	"15746"	"1695"	"9236"	"2380"	"1604"	"5707"	"2579"	"16973"	"91434"	"0"	"91434"	""
"224"	"No. of votes recorded on postal ballot papers (To be election from an assembly constituency)"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	""
"225"	"Total votes polled"	""	"35514"	"15746"	"1695"	"9236"	"2380"	"1604"	"5707"	"2579"	"16973"	"91434"	"0"	"91434"	""
"226"	"Place -  Darbhanga"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"Date - 27.2.2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"Returning Officer,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"101- Singhia (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
