"ernku..dsUnz.dh..la..k"	"fuEufyf.kr..vH.fFkZ.ks..ds..Ik.k..esa..fn...x...fof.kekU...erksa..dh..la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"fufonr..erks..dh..la..k"	"izfr.ksfir..eri.ksa..dh..la."	"dqy..fof.kekU....oa..izfr.ksfir.erks..dh..la..k"
"196"	"Round Total"	"2783"	"189"	"170"	"100"	"68"	"188"	"2735"	"130"	"227"	"6590"	"0"	"0"	"6590"
"197"	"C.F.->"	"20915"	"1474"	"4412"	"1127"	"630"	"1749"	"33464"	"1255"	"1895"	"66921"	"0"	"0"	"66921"
"198"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"199"	""	"v'kksd  dqekj  flag
¼fojkViqj½"	"johUnz  jke"	"jktsUnz  izlkn  ;kno"	"f'kf'kj  dqekj  >k"	"v[kykadqj  jgeku"	"v'kksd  dqekj  flag
¼jkSrkoa'kh½"	"fd'kksj  dqekj"	"feJh yky  ;kno"	"ehjk nsoh"	"dqy  fof/kekU;  er"	""	""	""
"200"	"ROUND- XI"	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"B.F.->"	"20915"	"1474"	"4412"	"1127"	"630"	"1749"	"33464"	"1255"	"1895"	"66921"	"0"	"0"	"66921"
"202"	"141"	"214"	"13"	"8"	"17"	"6"	"10"	"227"	"8"	"13"	"516"	""	""	"516"
"203"	"142"	"175"	"19"	"67"	"12"	"7"	"23"	"279"	"23"	"31"	"636"	""	""	"636"
"204"	"143"	"164"	"6"	"29"	"2"	"2"	"2"	"25"	"5"	"5"	"240"	""	""	"240"
"205"	"144"	"182"	"12"	"49"	"26"	"5"	"22"	"144"	"7"	"17"	"464"	""	""	"464"
"206"	"145"	"162"	"14"	"54"	"15"	"6"	"20"	"210"	"12"	"13"	"506"	""	""	"506"
"207"	"146"	"221"	"19"	"28"	"11"	"3"	"24"	"224"	"7"	"14"	"551"	""	""	"551"
"208"	"147"	"228"	"24"	"52"	"15"	"10"	"14"	"171"	"9"	"17"	"540"	""	""	"540"
"209"	"148"	"80"	"8"	"12"	"9"	"5"	"40"	"335"	"14"	"37"	"540"	""	""	"540"
"210"	"149"	"24"	"2"	"7"	"16"	"1"	"2"	"266"	"6"	"4"	"328"	""	""	"328"
"211"	"150"	"41"	"11"	"8"	"11"	"9"	"15"	"285"	"14"	"25"	"419"	""	""	"419"
"212"	"151"	"315"	"20"	"15"	"9"	"2"	"15"	"249"	"8"	"11"	"644"	""	""	"644"
"213"	"152"	"158"	"13"	"5"	"2"	"2"	"6"	"216"	"8"	"5"	"415"	""	""	"415"
"214"	"153"	"21"	"2"	"2"	"0"	"0"	"1"	"46"	"2"	"1"	"75"	""	""	"75"
"215"	"154"	"116"	"11"	"30"	"10"	"5"	"15"	"174"	"8"	"8"	"377"	""	""	"377"
"216"	"Round Total"	"2101"	"174"	"366"	"155"	"63"	"209"	"2851"	"131"	"201"	"6251"	"0"	"0"	"6251"
"217"	"C.F.->"	"23016"	"1648"	"4778"	"1282"	"693"	"1958"	"36315"	"1386"	"2096"	"73172"	"0"	"0"	"73172"
"218"	"13299"	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"220"	""	"v'kksd  dqekj  flag
¼fojkViqj½"	"johUnz  jke"	"jktsUnz  izlkn  ;kno"	"f'kf'kj  dqekj  >k"	"v[kykadqj  jgeku"	"v'kksd  dqekj  flag
¼jkSrkoa'kh½"	"fd'kksj  dqekj"	"feJh yky  ;kno"	"ehjk nsoh"	"dqy  fof/kekU;  er"	""	""	""
"221"	"ROUND -XII"	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"B.F.->"	"23016"	"1648"	"4778"	"1282"	"693"	"1958"	"36315"	"1386"	"2096"	"73172"	"0"	"0"	"73172"
"223"	"155"	"166"	"9"	"19"	"5"	"6"	"20"	"276"	"22"	"21"	"544"	""	""	"544"
"224"	"156"	"96"	"4"	"28"	"47"	"2"	"9"	"80"	"7"	"10"	"283"	""	""	"283"
"225"	"157"	"40"	"4"	"12"	"13"	"2"	"8"	"156"	"12"	"10"	"257"	""	""	"257"
"226"	"158"	"43"	"7"	"28"	"25"	"1"	"16"	"170"	"6"	"6"	"302"	""	""	"302"
"227"	"159"	"115"	"21"	"25"	"14"	"12"	"21"	"303"	"19"	"31"	"561"	""	""	"561"
"228"	"160"	"107"	"13"	"60"	"77"	"13"	"33"	"247"	"14"	"19"	"583"	""	""	"583"
"229"	"161"	"86"	"9"	"78"	"4"	"5"	"14"	"156"	"6"	"10"	"368"	""	""	"368"
"230"	"162"	"11"	"3"	"16"	"74"	"12"	"14"	"99"	"11"	"13"	"253"	""	""	"253"
"231"	"163"	"119"	"6"	"11"	"4"	"2"	"11"	"240"	"8"	"23"	"424"	""	""	"424"
"232"	"164"	"27"	"1"	"14"	"56"	"8"	"5"	"140"	"15"	"9"	"275"	""	""	"275"
"233"	"165"	"99"	"20"	"16"	"20"	"5"	"5"	"55"	"6"	"4"	"230"	""	""	"230"
"234"	"166"	"155"	"20"	"13"	"47"	"6"	"17"	"116"	"12"	"24"	"410"	""	""	"410"
"235"	"167"	"44"	"5"	"7"	"69"	"9"	"6"	"323"	"6"	"14"	"483"	""	""	"483"
"236"	"168"	"35"	"5"	"8"	"220"	"18"	"10"	"81"	"13"	"27"	"417"	""	""	"417"
"237"	"Round Total"	"1143"	"127"	"335"	"675"	"101"	"189"	"2442"	"157"	"221"	"5390"	"0"	"0"	"5390"
"238"	"C.F.->"	"24159"	"1775"	"5113"	"1957"	"794"	"2147"	"38757"	"1543"	"2317"	"78562"	"0"	"0"	"78562"
"239"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"240"	""	"v'kksd  dqekj  flag
¼fojkViqj½"	"johUnz  jke"	"jktsUnz  izlkn  ;kno"	"f'kf'kj  dqekj  >k"	"v[kykadqj  jgeku"	"v'kksd  dqekj  flag
¼jkSrkoa'kh½"	"fd'kksj  dqekj"	"feJh yky  ;kno"	"ehjk nsoh"	"dqy  fof/kekU;  er"	""	""	""
"241"	"ROUND- XIII"	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"B.F.->"	"24159"	"1775"	"5113"	"1957"	"794"	"2147"	"38757"	"1543"	"2317"	"78562"	"0"	"0"	"78562"
"243"	"169"	"32"	"5"	"7"	"22"	"3"	"8"	"79"	"8"	"3"	"167"	""	""	"167"
"244"	"170"	"55"	"8"	"10"	"72"	"13"	"18"	"136"	"7"	"26"	"345"	""	""	"345"
"245"	"171"	"121"	"7"	"8"	"18"	"6"	"5"	"118"	"4"	"9"	"296"	""	""	"296"
"246"	"172"	"256"	"11"	"59"	"194"	"17"	"14"	"125"	"11"	"23"	"710"	""	""	"710"
"247"	"173"	"79"	"10"	"12"	"6"	"12"	"31"	"324"	"10"	"17"	"501"	""	""	"501"
"248"	"174"	"36"	"4"	"5"	"5"	"0"	"6"	"124"	"8"	"9"	"197"	""	""	"197"
"249"	"175"	"131"	"13"	"55"	"48"	"7"	"17"	"188"	"10"	"19"	"488"	""	""	"488"
"250"	"176"	"49"	"5"	"30"	"5"	"3"	"26"	"241"	"6"	"15"	"380"	""	""	"380"
"251"	"177"	"79"	"8"	"28"	"6"	"5"	"12"	"299"	"12"	"21"	"470"	""	""	"470"
"252"	"178"	"61"	"13"	"28"	"8"	"3"	"14"	"337"	"8"	"17"	"489"	""	""	"489"
"253"	"179"	"54"	"4"	"41"	"4"	"1"	"10"	"193"	"3"	"6"	"316"	""	""	"316"
"254"	"180"	"102"	"11"	"30"	"26"	"5"	"14"	"362"	"10"	"17"	"577"	""	""	"577"
"255"	"181"	"67"	"6"	"98"	"14"	"13"	"14"	"160"	"4"	"19"	"395"	""	""	"395"
"256"	"182"	"151"	"15"	"19"	"13"	"2"	"5"	"166"	"12"	"17"	"400"	""	""	"400"
"257"	"Round Total"	"1273"	"120"	"430"	"441"	"90"	"194"	"2852"	"113"	"218"	"5731"	"0"	"0"	"5731"
"258"	"C.F.->"	"25432"	"1895"	"5543"	"2398"	"884"	"2341"	"41609"	"1656"	"2535"	"84293"	"0"	"0"	"84293"
"259"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"260"	""	"v'kksd  dqekj  flag
¼fojkViqj½"	"johUnz  jke"	"jktsUnz  izlkn  ;kno"	"f'kf'kj  dqekj  >k"	"v[kykadqj  jgeku"	"v'kksd  dqekj  flag
¼jkSrkoa'kh½"	"fd'kksj  dqekj"	"feJh yky  ;kno"	"ehjk nsoh"	"dqy  fof/kekU;  er"	""	""	""
"261"	"ROUND -XIV"	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"B.F.->"	"25432"	"1895"	"5543"	"2398"	"884"	"2341"	"41609"	"1656"	"2535"	"84293"	"0"	"0"	"84293"
"263"	"183"	"108"	"14"	"22"	"18"	"5"	"20"	"255"	"9"	"12"	"463"	""	""	"463"
"264"	"184"	"148"	"13"	"10"	"10"	"2"	"13"	"152"	"12"	"34"	"394"	""	""	"394"
"265"	"185"	"123"	"11"	"23"	"6"	"5"	"11"	"230"	"9"	"17"	"435"	""	""	"435"
"266"	"186"	"608"	"5"	"10"	"4"	"1"	"6"	"108"	"1"	"0"	"743"	""	""	"743"
"267"	"187"	"88"	"10"	"5"	"7"	"4"	"14"	"148"	"17"	"29"	"322"	""	""	"322"
"268"	"188"	"83"	"19"	"13"	"3"	"10"	"16"	"162"	"16"	"28"	"350"	""	""	"350"
"269"	"189"	"113"	"12"	"34"	"16"	"7"	"40"	"268"	"17"	"28"	"535"	""	""	"535"
"270"	"190"	"95"	"12"	"10"	"7"	"6"	"14"	"299"	"20"	"27"	"490"	""	""	"490"
"271"	"191"	"97"	"10"	"14"	"9"	"3"	"14"	"319"	"17"	"30"	"513"	""	""	"513"
"272"	"192"	"71"	"25"	"23"	"53"	"14"	"33"	"225"	"13"	"30"	"487"	""	""	"487"
"273"	"193"	"136"	"21"	"67"	"14"	"8"	"12"	"140"	"16"	"22"	"436"	""	""	"436"
"274"	"194"	"71"	"14"	"14"	"5"	"6"	"26"	"237"	"12"	"27"	"412"	""	""	"412"
"275"	"195"	"24"	"0"	"4"	"24"	"0"	"6"	"254"	"2"	"2"	"316"	""	""	"316"
"276"	"196"	"99"	"15"	"10"	"14"	"12"	"30"	"192"	"11"	"30"	"413"	""	""	"413"
"277"	"Round Total"	"1864"	"181"	"259"	"190"	"83"	"255"	"2989"	"172"	"316"	"6309"	"0"	"0"	"6309"
"278"	"C.F.->"	"27296"	"2076"	"5802"	"2588"	"967"	"2596"	"44598"	"1828"	"2851"	"90602"	"0"	"0"	"90602"
"279"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"280"	""	"v'kksd  dqekj  flag
¼fojkViqj½"	"johUnz  jke"	"jktsUnz  izlkn  ;kno"	"f'kf'kj  dqekj  >k"	"v[kykadqj  jgeku"	"v'kksd  dqekj  flag
¼jkSrkoa'kh½"	"fd'kksj  dqekj"	"feJh yky  ;kno"	"ehjk nsoh"	"dqy  fof/kekU;  er"	""	""	""
"281"	"ROUND- XV"	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"B.F.->"	"27296"	"2076"	"5802"	"2588"	"967"	"2596"	"44598"	"1828"	"2851"	"90602"	"0"	"0"	"90602"
"283"	"197"	"129"	"12"	"10"	"9"	"4"	"28"	"326"	"8"	"11"	"537"	""	""	"537"
"284"	"198"	"146"	"4"	"6"	"5"	"1"	"13"	"263"	"8"	"14"	"460"	""	""	"460"
"285"	"199"	"74"	"7"	"5"	"5"	"2"	"16"	"158"	"9"	"13"	"289"	""	""	"289"
"286"	"200"	"413"	"25"	"13"	"15"	"7"	"23"	"286"	"16"	"27"	"825"	""	""	"825"
"287"	"201"	"184"	"12"	"17"	"16"	"7"	"28"	"358"	"18"	"20"	"660"	""	""	"660"
"288"	"202"	"140"	"27"	"14"	"16"	"15"	"31"	"382"	"23"	"26"	"674"	""	""	"674"
"289"	"203"	"110"	"17"	"7"	"13"	"12"	"34"	"369"	"20"	"14"	"596"	""	""	"596"
"290"	"204"	"142"	"12"	"12"	"4"	"7"	"22"	"132"	"11"	"18"	"360"	""	""	"360"
"291"	"205"	"83"	"18"	"6"	"9"	"5"	"16"	"137"	"8"	"4"	"286"	""	""	"286"
"292"	"206"	"95"	"3"	"7"	"6"	"4"	"14"	"322"	"3"	"8"	"462"	""	""	"462"
"293"	"207"	"72"	"6"	"5"	"1"	"2"	"14"	"341"	"10"	"21"	"472"	""	""	"472"
"294"	"208"	"163"	"25"	"30"	"8"	"11"	"19"	"323"	"10"	"22"	"611"	""	""	"611"
"295"	"209"	"111"	"6"	"10"	"18"	"6"	"23"	"359"	"17"	"20"	"570"	""	""	"570"
"296"	"210"	"123"	"13"	"11"	"29"	"4"	"27"	"276"	"9"	"13"	"505"	""	""	"505"
"297"	"Round Total"	"1985"	"187"	"153"	"154"	"87"	"308"	"4032"	"170"	"231"	"7307"	"0"	"0"	"7307"
"298"	"C.F.->"	"29281"	"2263"	"5955"	"2742"	"1054"	"2904"	"48630"	"1998"	"3082"	"97909"	"0"	"0"	"97909"
"299"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"300"	""	"v'kksd  dqekj  flag
¼fojkViqj½"	"johUnz  jke"	"jktsUnz  izlkn  ;kno"	"f'kf'kj  dqekj  >k"	"v[kykadqj  jgeku"	"v'kksd  dqekj  flag
¼jkSrkoa'kh½"	"fd'kksj  dqekj"	"feJh yky  ;kno"	"ehjk nsoh"	"dqy  fof/kekU;  er"	""	""	""
"301"	"ROUND -XVI"	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"B.F.->"	"29281"	"2263"	"5955"	"2742"	"1054"	"2904"	"48630"	"1998"	"3082"	"97909"	"0"	"0"	"97909"
"303"	"211"	"171"	"23"	"15"	"6"	"8"	"28"	"361"	"9"	"32"	"653"	""	""	"653"
"304"	"212"	"94"	"8"	"12"	"12"	"8"	"10"	"194"	"12"	"12"	"362"	""	""	"362"
"305"	"213"	"180"	"15"	"6"	"7"	"4"	"9"	"225"	"12"	"25"	"483"	""	""	"483"
"306"	"214"	"273"	"24"	"15"	"12"	"8"	"32"	"362"	"12"	"20"	"758"	""	""	"758"
"307"	"215"	"161"	"7"	"8"	"8"	"6"	"15"	"345"	"22"	"35"	"607"	""	""	"607"
"308"	"Round Total"	"879"	"77"	"56"	"45"	"34"	"94"	"1487"	"67"	"124"	"2863"	"0"	"0"	"2863"
"309"	"Mkd  eri=ks dh  la[;k"	""	""	""	""	""	""	""	""	""	"0"	""	""	"0"
"310"	"Grand Total"	"30160"	"2340"	"6011"	"2787"	"1088"	"2998"	"50117"	"2065"	"3206"	"100772"	"0"	"0"	"100772"
