"Conduct.of.Election.Rules.1961"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"163"	"87"	"61"	"109"	"107"	"34"	"10"	"92"	"119"	"43"	"4"	"4"	"4"	"10"	"8"	"4"	"5"	"614"	""	"614"	""
"164"	"88"	"122"	"12"	"45"	"5"	"17"	"281"	"79"	"10"	"4"	"4"	"0"	"6"	"4"	"7"	"5"	"601"	""	"601"	""
"165"	"89"	"34"	"3"	"13"	"3"	"5"	"43"	"436"	"15"	"8"	"10"	"7"	"11"	"7"	"2"	"10"	"607"	""	"607"	""
"166"	"90"	"274"	"31"	"61"	"2"	"8"	"58"	"7"	"122"	"5"	"5"	"4"	"1"	"4"	"2"	"17"	"601"	""	"601"	""
"167"	"91"	"30"	"71"	"50"	"4"	"6"	"84"	"17"	"159"	"5"	"5"	"5"	"18"	"1"	"5"	"4"	"464"	""	"464"	""
"168"	"92"	"135"	"31"	"85"	"13"	"4"	"191"	"29"	"2"	"2"	"11"	"6"	"8"	"3"	"4"	"8"	"532"	""	"532"	""
"169"	"93"	"147"	"23"	"38"	"5"	"6"	"110"	"65"	"138"	"7"	"5"	"2"	"12"	"3"	"1"	"6"	"568"	""	"568"	""
"170"	"94"	"364"	"18"	"20"	"5"	"6"	"121"	"83"	"8"	"2"	"0"	"4"	"6"	"5"	"10"	"11"	"663"	""	"663"	""
"171"	"95"	"166"	"48"	"122"	"94"	"6"	"154"	"30"	"7"	"4"	"7"	"6"	"5"	"3"	"4"	"10"	"666"	""	"666"	""
"172"	"96"	"43"	"10"	"231"	"76"	"4"	"51"	"16"	"6"	"2"	"2"	"7"	"2"	"7"	"4"	"7"	"468"	""	"468"	""
"173"	"97"	"175"	"9"	"55"	"7"	"10"	"237"	"17"	"10"	"3"	"3"	"2"	"4"	"1"	"2"	"3"	"538"	""	"538"	""
"174"	"98"	"166"	"29"	"31"	"6"	"3"	"134"	"56"	"6"	"1"	"3"	"1"	"4"	"5"	"3"	"5"	"453"	""	"453"	""
"175"	"Current Round Total"	"1799"	"483"	"1093"	"276"	"390"	"1660"	"1017"	"872"	"66"	"87"	"76"	"105"	"60"	"67"	"127"	"8178"	"0"	"8178"	"0"
"176"	"Previous Round Total"	"5341"	"1696"	"12391"	"565"	"721"	"8490"	"9657"	"2521"	"1038"	"4243"	"910"	"1659"	"564"	"842"	"767"	"51405"	"0"	"51405"	"0"
"177"	"TOTAL"	"7140"	"2179"	"13484"	"841"	"1111"	"10150"	"10674"	"3393"	"1104"	"4330"	"986"	"1764"	"624"	"909"	"894"	"59583"	"0"	"59583"	"0"
"178"	"(Statutory Rules and Order)                                                       ROUND : EIGHTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"184"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"JANARDAN YADAV"	"JAI RAM MANDAL"	"KAPILDE O RAI"	"DAYANAND YADAV"	"HADIS"	"ANANT KUMAR ROY"	"UMAR FAROOQUE"	"JAHANGHEER KHAN"	"DINANATH YADAV"	"VIKAS KUMAR TANTI"	"SADIQUE"	"SATYA NARAYAN YADAV"	"SEMIDUR RAHMAN"	""	""	""	""
"185"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"186"	"99"	"24"	"6"	"0"	"2"	"6"	"3"	"243"	"7"	"9"	"93"	"1"	"10"	"9"	"7"	"9"	"429"	""	"429"	""
"187"	"100"	"212"	"9"	"42"	"51"	"4"	"49"	"45"	"22"	"9"	"5"	"4"	"149"	"5"	"5"	"9"	"620"	""	"620"	""
"188"	"101"	"53"	"3"	"90"	"72"	"3"	"55"	"32"	"8"	"1"	"39"	"5"	"2"	"2"	"5"	"4"	"374"	""	"374"	""
"189"	"102"	"3"	"88"	"26"	"1"	"4"	"9"	"223"	"14"	"6"	"23"	"3"	"13"	"2"	"9"	"17"	"441"	""	"441"	""
"190"	"103"	"26"	"1"	"17"	"181"	"10"	"14"	"249"	"99"	"8"	"3"	"7"	"19"	"7"	"14"	"50"	"705"	""	"705"	""
"191"	"104"	"23"	"42"	"190"	"127"	"6"	"71"	"7"	"10"	"6"	"10"	"3"	"4"	"3"	"14"	"21"	"537"	""	"537"	""
"192"	"105"	"20"	"5"	"145"	"43"	"7"	"94"	"12"	"17"	"20"	"6"	"4"	"25"	"5"	"6"	"18"	"427"	""	"427"	""
"193"	"106"	"148"	"10"	"206"	"5"	"6"	"159"	"9"	"55"	"3"	"4"	"5"	"0"	"8"	"8"	"9"	"635"	""	"635"	""
"194"	"107"	"45"	"2"	"44"	"3"	"4"	"300"	"40"	"33"	"2"	"2"	"2"	"3"	"1"	"8"	"6"	"495"	""	"495"	""
"195"	"108"	"69"	"0"	"13"	"1"	"8"	"237"	"41"	"25"	"4"	"11"	"2"	"6"	"1"	"7"	"28"	"453"	""	"453"	""
"196"	"109"	"64"	"5"	"14"	"7"	"10"	"363"	"61"	"6"	"6"	"3"	"3"	"3"	"8"	"6"	"28"	"587"	""	"587"	""
"197"	"110"	"55"	"2"	"42"	"0"	"6"	"470"	"32"	"16"	"6"	"1"	"1"	"4"	"3"	"5"	"14"	"657"	""	"657"	""
"198"	"111"	"23"	"6"	"60"	"5"	"9"	"331"	"38"	"11"	"4"	"3"	"4"	"4"	"6"	"4"	"10"	"518"	""	"518"	""
"199"	"112"	"39"	"4"	"39"	"0"	"8"	"247"	"16"	"6"	"1"	"3"	"2"	"2"	"9"	"7"	"15"	"398"	""	"398"	""
"200"	"Current Round Total"	"804"	"183"	"928"	"498"	"91"	"2402"	"1048"	"329"	"85"	"206"	"46"	"244"	"69"	"105"	"238"	"7276"	"0"	"7276"	"0"
"201"	"Previous Round Total"	"7140"	"2179"	"13484"	"841"	"1111"	"10150"	"10674"	"3393"	"1104"	"4330"	"986"	"1764"	"624"	"909"	"894"	"59583"	"0"	"59583"	"0"
"202"	"TOTAL"	"7944"	"2362"	"14412"	"1339"	"1202"	"12552"	"11722"	"3722"	"1189"	"4536"	"1032"	"2008"	"693"	"1014"	"1132"	"66859"	"0"	"66859"	"0"
"203"	"(Statutory Rules and Order)                                                       ROUND : NINTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"206"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"207"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"209"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"JANARDAN YADAV"	"JAI RAM MANDAL"	"KAPILDE O RAI"	"DAYANAND YADAV"	"HADIS"	"ANANT KUMAR ROY"	"UMAR FAROOQUE"	"JAHANGHEER KHAN"	"DINANATH YADAV"	"VIKAS KUMAR TANTI"	"SADIQUE"	"SATYA NARAYAN YADAV"	"SEMIDUR RAHMAN"	""	""	""	""
"210"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"211"	"113"	"41"	"1"	"78"	"4"	"7"	"472"	"23"	"11"	"3"	"1"	"8"	"8"	"2"	"15"	"31"	"705"	""	"705"	""
"212"	"114"	"407"	"19"	"66"	"2"	"2"	"149"	"19"	"1"	"1"	"5"	"1"	"4"	"5"	"15"	"12"	"708"	""	"708"	""
"213"	"115"	"265"	"14"	"150"	"6"	"5"	"163"	"74"	"12"	"4"	"7"	"6"	"8"	"5"	"9"	"23"	"751"	""	"751"	""
"214"	"116"	"27"	"3"	"220"	"10"	"5"	"89"	"181"	"33"	"5"	"4"	"1"	"16"	"16"	"19"	"21"	"650"	""	"650"	""
"215"	"117"	"24"	"37"	"210"	"6"	"5"	"9"	"131"	"19"	"6"	"38"	"2"	"10"	"3"	"14"	"6"	"520"	""	"520"	""
"216"	"118"	"177"	"8"	"10"	"1"	"3"	"97"	"72"	"4"	"4"	"57"	"2"	"5"	"2"	"12"	"8"	"462"	""	"462"	""
"217"	"119"	"59"	"3"	"19"	"6"	"7"	"127"	"42"	"149"	"10"	"8"	"11"	"8"	"2"	"5"	"9"	"465"	""	"465"	""
"218"	"120"	"31"	"6"	"168"	"12"	"4"	"21"	"95"	"85"	"6"	"87"	"2"	"7"	"6"	"7"	"4"	"541"	""	"541"	""
"219"	"121"	"52"	"8"	"216"	"5"	"7"	"29"	"214"	"19"	"3"	"11"	"11"	"15"	"7"	"12"	"11"	"620"	""	"620"	""
"220"	"122"	"151"	"5"	"11"	"3"	"3"	"30"	"293"	"6"	"1"	"73"	"9"	"8"	"4"	"7"	"1"	"605"	""	"605"	""
"221"	"123"	"235"	"9"	"3"	"1"	"3"	"85"	"116"	"7"	"9"	"25"	"1"	"7"	"7"	"4"	"3"	"515"	""	"515"	""
"222"	"123A"	"41"	"5"	"16"	"4"	"4"	"138"	"12"	"11"	"3"	"3"	"3"	"1"	"3"	"4"	"4"	"252"	""	"252"	""
"223"	"124"	"125"	"4"	"186"	"5"	"2"	"45"	"66"	"10"	"5"	"22"	"5"	"9"	"10"	"2"	"4"	"500"	""	"500"	""
"224"	"125"	"165"	"5"	"89"	"5"	"2"	"199"	"24"	"80"	"10"	"2"	"3"	"11"	"8"	"8"	"16"	"627"	""	"627"	""
"225"	"Current Round Total"	"1800"	"127"	"1442"	"70"	"59"	"1653"	"1362"	"447"	"70"	"343"	"65"	"117"	"80"	"133"	"153"	"7921"	"0"	"7921"	"0"
"226"	"Previous Round Total"	"7944"	"2362"	"14412"	"1339"	"1202"	"12552"	"11722"	"3722"	"1189"	"4536"	"1032"	"2008"	"693"	"1014"	"1132"	"66859"	"0"	"66859"	"0"
"227"	"TOTAL"	"9744"	"2489"	"15854"	"1409"	"1261"	"14205"	"13084"	"4169"	"1259"	"4879"	"1097"	"2125"	"773"	"1147"	"1285"	"74780"	"0"	"74780"	"0"
"228"	"(Statutory Rules and Order)                                                       ROUND : TENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"234"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"JANARDAN YADAV"	"JAI RAM MANDAL"	"KAPILDE O RAI"	"DAYANAND YADAV"	"HADIS"	"ANANT KUMAR ROY"	"UMAR FAROOQUE"	"JAHANGHEER KHAN"	"DINANATH YADAV"	"VIKAS KUMAR TANTI"	"SADIQUE"	"SATYA NARAYAN YADAV"	"SEMIDUR RAHMAN"	""	""	""	""
"235"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"236"	"126"	"26"	"13"	"32"	"3"	"9"	"51"	"27"	"532"	"22"	"5"	"5"	"1"	"2"	"4"	"9"	"741"	""	"741"	""
"237"	"127"	"122"	"6"	"119"	"8"	"7"	"97"	"22"	"158"	"8"	"9"	"10"	"43"	"5"	"10"	"3"	"627"	""	"627"	""
"238"	"128"	"52"	"1"	"42"	"0"	"4"	"109"	"5"	"3"	"2"	"7"	"4"	"98"	"2"	"11"	"21"	"361"	""	"361"	""
"239"	"129"	"103"	"6"	"32"	"3"	"6"	"152"	"114"	"21"	"23"	"10"	"12"	"13"	"11"	"14"	"54"	"574"	""	"574"	""
"240"	"130"	"18"	"6"	"89"	"2"	"1"	"82"	"16"	"268"	"4"	"2"	"2"	"2"	"1"	"4"	"5"	"502"	""	"502"	""
"241"	"131"	"7"	"0"	"27"	"2"	"1"	"4"	"33"	"1"	"0"	"12"	"1"	"3"	"1"	"23"	"385"	"500"	""	"500"	""
"242"	"132"	"30"	"17"	"41"	"67"	"5"	"132"	"21"	"3"	"3"	"2"	"1"	"5"	"3"	"6"	"155"	"491"	""	"491"	""
"243"	"133"	"11"	"10"	"36"	"6"	"0"	"39"	"12"	"2"	"1"	"40"	"0"	"3"	"1"	"2"	"24"	"187"	""	"187"	""
"244"	"134"	"18"	"18"	"2"	"1"	"1"	"34"	"94"	"5"	"3"	"4"	"4"	"4"	"5"	"13"	"115"	"321"	""	"321"	""
"245"	"135"	"56"	"4"	"3"	"0"	"4"	"99"	"91"	"2"	"3"	"31"	"2"	"7"	"1"	"5"	"68"	"376"	""	"376"	""
"246"	"136"	"8"	"6"	"178"	"53"	"2"	"78"	"9"	"3"	"4"	"2"	"5"	"42"	"6"	"6"	"16"	"418"	""	"418"	""
"247"	"137"	"178"	"28"	"176"	"76"	"9"	"27"	"13"	"18"	"12"	"6"	"3"	"13"	"4"	"13"	"17"	"593"	""	"593"	""
"248"	"138"	"45"	"10"	"50"	"168"	"24"	"20"	"4"	"5"	"4"	"4"	"3"	"6"	"5"	"6"	"10"	"364"	""	"364"	""
"249"	"139"	"67"	"5"	"87"	"5"	"5"	"5"	"33"	"70"	"5"	"2"	"2"	"2"	"1"	"7"	"52"	"348"	""	"348"	""
"250"	"Current Round Total"	"741"	"130"	"914"	"394"	"78"	"929"	"494"	"1091"	"94"	"136"	"54"	"242"	"48"	"124"	"934"	"6403"	"0"	"6403"	"0"
"251"	"Previous Round Total"	"9744"	"2489"	"15854"	"1409"	"1261"	"14205"	"13084"	"4169"	"1259"	"4879"	"1097"	"2125"	"773"	"1147"	"1285"	"74780"	"0"	"74780"	"0"
"252"	"TOTAL"	"10485"	"2619"	"16768"	"1803"	"1339"	"15134"	"13578"	"5260"	"1353"	"5015"	"1151"	"2367"	"821"	"1271"	"2219"	"81183"	"0"	"81183"	"0"
"253"	"(Statutory Rules and Order)                                                       ROUND : ELEVENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"259"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"JANARDAN YADAV"	"JAI RAM MANDAL"	"KAPILDE O RAI"	"DAYANAND YADAV"	"HADIS"	"ANANT KUMAR ROY"	"UMAR FAROOQUE"	"JAHANGHEER KHAN"	"DINANATH YADAV"	"VIKAS KUMAR TANTI"	"SADIQUE"	"SATYA NARAYAN YADAV"	"SEMIDUR RAHMAN"	""	""	""	""
"260"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"261"	"140"	"74"	"6"	"76"	"3"	"0"	"191"	"14"	"7"	"2"	"17"	"3"	"3"	"1"	"4"	"0"	"401"	""	"401"	""
"262"	"141"	"197"	"9"	"83"	"2"	"0"	"32"	"14"	"6"	"4"	"6"	"1"	"1"	"4"	"7"	"9"	"375"	""	"375"	""
"263"	"142"	"84"	"44"	"109"	"96"	"10"	"40"	"13"	"6"	"12"	"13"	"4"	"7"	"3"	"11"	"11"	"463"	""	"463"	""
"264"	"143"	"87"	"3"	"152"	"3"	"2"	"59"	"7"	"3"	"2"	"0"	"3"	"5"	"4"	"3"	"6"	"339"	""	"339"	""
"265"	"144"	"94"	"15"	"182"	"2"	"4"	"64"	"3"	"1"	"0"	"3"	"1"	"8"	"7"	"6"	"9"	"399"	""	"399"	""
"266"	"145"	"154"	"36"	"148"	"2"	"1"	"11"	"94"	"4"	"2"	"1"	"3"	"9"	"6"	"4"	"1"	"476"	""	"476"	""
"267"	"146"	"87"	"13"	"146"	"14"	"11"	"20"	"19"	"143"	"11"	"11"	"6"	"12"	"6"	"18"	"18"	"535"	""	"535"	""
"268"	"147"	"54"	"16"	"389"	"6"	"5"	"33"	"4"	"17"	"5"	"2"	"5"	"11"	"3"	"7"	"4"	"561"	""	"561"	""
"269"	"148"	"119"	"20"	"125"	"3"	"3"	"101"	"5"	"26"	"10"	"3"	"4"	"6"	"2"	"4"	"7"	"438"	""	"438"	""
"270"	"149"	"59"	"2"	"377"	"4"	"5"	"38"	"4"	"27"	"3"	"2"	"6"	"8"	"8"	"1"	"5"	"549"	""	"549"	""
"271"	"150"	"154"	"3"	"116"	"4"	"6"	"8"	"22"	"5"	"2"	"0"	"4"	"46"	"4"	"6"	"6"	"386"	""	"386"	""
"272"	"151"	"325"	"11"	"72"	"6"	"1"	"13"	"107"	"6"	"3"	"6"	"8"	"195"	"7"	"7"	"10"	"777"	""	"777"	""
"273"	"152"	"231"	"14"	"255"	"8"	"5"	"15"	"4"	"4"	"4"	"5"	"4"	"150"	"9"	"7"	"24"	"739"	""	"739"	""
"274"	"153"	"176"	"11"	"69"	"5"	"3"	"26"	"2"	"12"	"3"	"3"	"5"	"218"	"4"	"6"	"7"	"550"	""	"550"	""
"275"	"Current Round Total"	"1895"	"203"	"2299"	"158"	"56"	"651"	"312"	"267"	"63"	"72"	"57"	"679"	"68"	"91"	"117"	"6988"	"0"	"6988"	"0"
"276"	"Previous Round Total"	"10485"	"2619"	"16768"	"1803"	"1339"	"15134"	"13578"	"5260"	"1353"	"5015"	"1151"	"2367"	"821"	"1271"	"2219"	"81183"	"0"	"81183"	"0"
"277"	"TOTAL"	"12380"	"2822"	"19067"	"1961"	"1395"	"15785"	"13890"	"5527"	"1416"	"5087"	"1208"	"3046"	"889"	"1362"	"2336"	"88171"	"0"	"88171"	"0"
"278"	"(Statutory Rules and Order)                                                       ROUND : TWELVETH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"284"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"JANARDAN YADAV"	"JAI RAM MANDAL"	"KAPILDE O RAI"	"DAYANAND YADAV"	"HADIS"	"ANANT KUMAR ROY"	"UMAR FAROOQUE"	"JAHANGHEER KHAN"	"DINANATH YADAV"	"VIKAS KUMAR TANTI"	"SADIQUE"	"SATYA NARAYAN YADAV"	"SEMIDUR RAHMAN"	""	""	""	""
"285"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"286"	"154"	"264"	"30"	"25"	"7"	"1"	"49"	"12"	"1"	"3"	"1"	"3"	"191"	"5"	"5"	"3"	"600"	""	"600"	""
"287"	"155"	"293"	"15"	"82"	"6"	"3"	"18"	"13"	"4"	"1"	"1"	"1"	"79"	"1"	"5"	"2"	"524"	""	"524"	""
"288"	"156"	"51"	"4"	"152"	"0"	"3"	"50"	"0"	"1"	"0"	"3"	"0"	"1"	"0"	"4"	"1"	"270"	""	"270"	""
"289"	"157"	"239"	"15"	"186"	"3"	"4"	"11"	"10"	"1"	"0"	"4"	"4"	"0"	"0"	"2"	"5"	"484"	""	"484"	""
"290"	"158"	"122"	"11"	"251"	"36"	"3"	"40"	"9"	"41"	"7"	"8"	"5"	"12"	"6"	"7"	"12"	"570"	""	"570"	""
"291"	"159"	"304"	"8"	"145"	"9"	"5"	"22"	"16"	"5"	"3"	"1"	"0"	"4"	"5"	"4"	"15"	"546"	""	"546"	""
"292"	"160"	"102"	"7"	"422"	"19"	"4"	"70"	"36"	"35"	"2"	"4"	"1"	"11"	"3"	"6"	"8"	"730"	""	"730"	""
"293"	"161"	"58"	"4"	"206"	"10"	"7"	"86"	"33"	"17"	"7"	"6"	"12"	"274"	"5"	"6"	"7"	"738"	""	"738"	""
"294"	"162"	"169"	"7"	"255"	"30"	"2"	"19"	"11"	"8"	"4"	"6"	"3"	"109"	"5"	"2"	"8"	"638"	""	"638"	""
"295"	"163"	"252"	"12"	"218"	"5"	"3"	"24"	"33"	"3"	"7"	"2"	"6"	"7"	"5"	"9"	"18"	"604"	""	"604"	""
"296"	"164"	"141"	"11"	"168"	"15"	"2"	"8"	"48"	"1"	"14"	"3"	"4"	"5"	"10"	"10"	"14"	"454"	""	"454"	""
"297"	"165"	"247"	"13"	"136"	"21"	"1"	"57"	"29"	"8"	"4"	"7"	"1"	"4"	"6"	"3"	"7"	"544"	""	"544"	""
"298"	"166"	"303"	"17"	"255"	"3"	"12"	"245"	"38"	"6"	"2"	"3"	"5"	"28"	"2"	"3"	"7"	"929"	""	"929"	""
"299"	"167"	"113"	"13"	"87"	"3"	"7"	"295"	"7"	"3"	"2"	"1"	"4"	"65"	"3"	"2"	"4"	"609"	""	"609"	""
"300"	"Current Round Total"	"2658"	"167"	"2588"	"167"	"57"	"994"	"295"	"134"	"56"	"50"	"49"	"790"	"56"	"68"	"111"	"8240"	"0"	"8240"	"0"
"301"	"Previous Round Total"	"12380"	"2822"	"19067"	"1961"	"1395"	"15785"	"13890"	"5527"	"1416"	"5087"	"1208"	"3046"	"889"	"1362"	"2336"	"88171"	"0"	"88171"	"0"
"302"	"TOTAL"	"15038"	"2989"	"21655"	"2128"	"1452"	"16779"	"14185"	"5661"	"1472"	"5137"	"1257"	"3836"	"945"	"1430"	"2447"	"96411"	"0"	"96411"	"0"
"303"	"(Statutory Rules and Order)                                                       ROUND : THIRTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"306"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"307"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"308"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"309"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"JANARDAN YADAV"	"JAI RAM MANDAL"	"KAPILDE O RAI"	"DAYANAND YADAV"	"HADIS"	"ANANT KUMAR ROY"	"UMAR FAROOQUE"	"JAHANGHEER KHAN"	"DINANATH YADAV"	"VIKAS KUMAR TANTI"	"SADIQUE"	"SATYA NARAYAN YADAV"	"SEMIDUR RAHMAN"	""	""	""	""
"310"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"311"	"168"	"111"	"5"	"95"	"8"	"7"	"169"	"3"	"4"	"0"	"3"	"1"	"9"	"0"	"3"	"6"	"424"	""	"424"	""
"312"	"169"	"200"	"13"	"96"	"9"	"10"	"208"	"81"	"5"	"1"	"1"	"7"	"41"	"4"	"2"	"4"	"682"	""	"682"	""
"313"	"170"	"75"	"1"	"79"	"89"	"2"	"68"	"8"	"5"	"4"	"7"	"2"	"8"	"2"	"6"	"17"	"373"	""	"373"	""
"314"	"171"	"126"	"9"	"183"	"44"	"5"	"61"	"38"	"6"	"4"	"6"	"9"	"26"	"7"	"2"	"12"	"538"	""	"538"	""
"315"	"172"	"205"	"14"	"67"	"180"	"6"	"42"	"18"	"5"	"2"	"6"	"8"	"68"	"11"	"2"	"12"	"646"	""	"646"	""
"316"	"173"	"355"	"10"	"30"	"10"	"4"	"145"	"30"	"3"	"1"	"2"	"6"	"42"	"0"	"8"	"5"	"651"	""	"651"	""
"317"	"174"	"494"	"17"	"18"	"9"	"1"	"1"	"1"	"3"	"4"	"1"	"2"	"40"	"2"	"5"	"7"	"605"	""	"605"	""
"318"	"175"	"37"	"5"	"35"	"295"	"9"	"33"	"57"	"5"	"3"	"8"	"10"	"17"	"8"	"6"	"6"	"534"	""	"534"	""
"319"	"176"	"226"	"64"	"24"	"105"	"5"	"14"	"34"	"14"	"9"	"6"	"6"	"15"	"4"	"11"	"17"	"554"	""	"554"	""
"320"	"177"	"253"	"10"	"70"	"4"	"1"	"90"	"8"	"8"	"4"	"5"	"4"	"2"	"8"	"11"	"17"	"495"	""	"495"	""
"321"	"178"	"253"	"19"	"49"	"6"	"4"	"73"	"7"	"5"	"7"	"5"	"0"	"113"	"3"	"3"	"0"	"547"	""	"547"	""
"322"	"179"	"361"	"12"	"72"	"5"	"1"	"57"	"7"	"3"	"6"	"3"	"8"	"82"	"13"	"13"	"32"	"675"	""	"675"	""
"323"	"180"	"269"	"73"	"38"	"9"	"6"	"211"	"5"	"5"	"1"	"2"	"4"	"9"	"2"	"2"	"7"	"643"	""	"643"	""
"324"	"181"	"346"	"32"	"36"	"9"	"7"	"64"	"6"	"5"	"0"	"0"	"0"	"111"	"1"	"1"	"14"	"632"	""	"632"	""
