"Sl.No..of.Polling.Station"	"Name.of.Polling.Station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"Total.of.Valid.Votes"	"No..of.Tendered.Votes"
"174"	"104"	"mPp fo|ky;] uheh ¼i0 Hkkx½"	"99"	"117"	"7"	"64"	"4"	"5"	"6"	"3"	"3"	"12"	"320"	""
"175"	"104d"	"mPp fo|ky;] uheh ¼n0 Hkkx½"	"92"	"67"	"0"	"33"	"0"	"0"	"2"	"1"	"0"	"3"	"198"	""
"176"	"105"	"izkFkfed fo|ky;] igfM+;k"	"349"	"5"	"2"	"58"	"4"	"3"	"3"	"4"	"0"	"3"	"431"	""
"177"	"106"	"izkFkfed fo|ky;] fe;uch?kk"	"197"	"123"	"10"	"30"	"4"	"17"	"5"	"3"	"7"	"14"	"410"	""
"178"	"107"	"izkFkfed fo|ky; vkSjs;k"	"160"	"46"	"1"	"3"	"2"	"1"	"2"	"0"	"1"	"6"	"222"	""
"179"	"Total No. of Votes recorded at Polling Stations"	""	"1894"	"1280"	"48"	"234"	"30"	"42"	"35"	"92"	"32"	"73"	"3760"	"0"
"180"	"No. of votes recorded on postal ballot papers ( to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tendered Votes"
"183"	""	""	"Ashok Chaudhary"	"Mithalesh Kumar"	"Raghuna ndan Prasad"	"Nandlal Chaudhary"	"Ujjawalka nt Hunkar"	"Babita Bhushan"	"Ravindra Ku Chaudhary"	"Rajendra Prasad"	"Santi Devi"	"Shiv Shankar Paswan"	""	""
"184"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"185"	"108"	"e/; fo|ky; ekQks ¼iwohZ Hkkx½"	"179"	"98"	"14"	"4"	"4"	"2"	"8"	"6"	"10"	"43"	"368"	""
"186"	"109"	"e/; fo|ky; ekQks ¼i0 Hkkx½"	"208"	"166"	"2"	"2"	"2"	"1"	"3"	"3"	"4"	"14"	"405"	""
"187"	"110"	"iapk;r Hkou ekQks"	"169"	"162"	"6"	"2"	"6"	"1"	"3"	"3"	"7"	"16"	"375"	""
"188"	"111"	"e/; fo|ky; dkssjek"	"273"	"183"	"6"	"5"	"2"	"4"	"6"	"1"	"5"	"16"	"501"	""
"189"	"112"	"izkFkfed fo|ky; csykSuh"	"253"	"173"	"16"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"445"	""
"190"	"113"	"e/; fo|ky; xxkSj"	"320"	"289"	"7"	"3"	"4"	"2"	"6"	"3"	"0"	"8"	"642"	""
"191"	"114"	"lkeqnkf;d Hkou xxkSj"	"301"	"157"	"17"	"8"	"6"	"2"	"8"	"6"	"6"	"29"	"540"	""
"192"	"115"	"e/; fo|ky; MhgdqlqEHkk"	"355"	"61"	"2"	"2"	"1"	"3"	"2"	"7"	"1"	"5"	"439"	""
"193"	"116"	"rglhy dpgjh MhgdqlqEHkk"	"239"	"90"	"2"	"3"	"1"	"1"	"2"	"2"	"1"	"3"	"344"	""
"194"	"117"	"yfyr ukjk;.k mPp fo|ky;
?kkVdqlqEHkk"	"174"	"77"	"3"	"5"	"3"	"3"	"4"	"3"	"4"	"24"	"300"	""
"195"	"Total No. of Votes recorded at Polling Stations"	""	"2471"	"1456"	"75"	"35"	"30"	"19"	"43"	"34"	"38"	"158"	"4359"	"0"
"196"	"No. of votes recorded on postal ballot papers ( to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tendered Votes"
"199"	""	""	"Ashok Chaudhary"	"Mithalesh Kumar"	"Raghuna ndan Prasad"	"Nandlal Chaudhary"	"Ujjawalka nt Hunkar"	"Babita Bhushan"	"Ravindra Ku Chaudhary"	"Rajendra Prasad"	"Santi Devi"	"Shiv Shankar Paswan"	""	""
"200"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"201"	"118"	"yfyr ukjk;.k mPp fo|ky;
?kkVdqlqEHkk"	"253"	"97"	"3"	"3"	"1"	"2"	"4"	"3"	"6"	"18"	"390"	""
"202"	"119"	"izkFkfed fo|ky; lqtkoyiqj"	"193"	"71"	"2"	"3"	"2"	"1"	"5"	"1"	"1"	"7"	"286"	""
"203"	"120"	"izkFkfed fo|ky; HknkSlh"	"345"	"204"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"552"	""
"204"	"121"	"izkFkfed fo|ky; dks;yk"	"236"	"54"	"2"	"0"	"0"	"1"	"2"	"2"	"1"	"6"	"304"	""
"205"	"122"	"izkFkfed fo|ky; okm?kkV"	"478"	"143"	"5"	"0"	"0"	"2"	"1"	"3"	"1"	"0"	"633"	""
"206"	"123"	"e/;fo|ky; HknkSl"	"263"	"148"	"2"	"0"	"1"	"0"	"3"	"1"	"0"	"5"	"423"	""
"207"	"124"	"iapk;r Hkou HknkSl"	"834"	"12"	"0"	"2"	"0"	"0"	"0"	"2"	"0"	"0"	"850"	""
"208"	"125"	"izkFkfed fo|ky; nfj;kiqj"	"523"	"4"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"530"	""
"209"	"126"	"izkFkfed fo|ky;] [k[kM+k"	"630"	"37"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"3"	"673"	""
"210"	"127"	"izkFkfed fo|ky;] dksljk"	"113"	"124"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"2"	"242"	""
"211"	"Total No. of Votes recorded at Polling Stations"	""	"3868"	"894"	"14"	"9"	"5"	"11"	"15"	"13"	"11"	"43"	"4883"	"0"
"212"	"No. of votes recorded on postal ballot papers ( to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"213"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""
"214"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tendered Votes"
"215"	""	""	"Ashok Chaudhary"	"Mithalesh Kumar"	"Raghuna ndan Prasad"	"Nandlal Chaudhary"	"Ujjawalka nt Hunkar"	"Babita Bhushan"	"Ravindra Ku Chaudhary"	"Rajendra Prasad"	"Santi Devi"	"Shiv Shankar Paswan"	""	""
"216"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"217"	"128"	"lkeqnkf;d Hkou] dksljk"	"217"	"58"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"3"	"283"	""
"218"	"129"	"izkFkfed fo|ky;] th;uch?kk"	"32"	"592"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"625"	""
"219"	"130"	"izkFkfed fo|ky;] xksihpd"	"355"	"117"	"1"	"0"	"2"	"2"	"1"	"3"	"0"	"0"	"481"	""
"220"	"131"	"g0 lkeq0 Hkou] ckadjiqj ckad"	"475"	"28"	"2"	"1"	"2"	"1"	"1"	"3"	"0"	"0"	"513"	""
"221"	"132"	"izkFkfed fo|ky;] cjS;kch?kk"	"102"	"127"	"2"	"1"	"2"	"3"	"2"	"0"	"0"	"4"	"243"	""
"222"	"133"	"iapk;r Hkou] dqlqEHkk"	"217"	"99"	"30"	"2"	"4"	"3"	"5"	"1"	"3"	"8"	"372"	""
"223"	"134"	"izkFkfde fo|ky;] vekuriqj"	"270"	"20"	"5"	"1"	"4"	"3"	"3"	"5"	"2"	"8"	"321"	""
"224"	"135"	"izkFkfde fo|ky;] eVks[kj"	"143"	"101"	"41"	"2"	"1"	"4"	"6"	"2"	"0"	"5"	"305"	""
"225"	"136"	"izkFkfde fo|ky;] dfjgks"	"293"	"50"	"6"	"1"	"0"	"0"	"0"	"4"	"1"	"3"	"358"	""
"226"	"137"	"izkFkfed fo|ky;] okftniqj ¼mÙkj
Hkkx½"	"243"	"17"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"6"	"274"	""
"227"	"Total No. of Votes recorded at Polling Stations"	""	"2347"	"1209"	"90"	"10"	"17"	"18"	"20"	"19"	"8"	"37"	"3775"	"0"
"228"	"No. of votes recorded on postal ballot papers ( to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tendered Votes"
"231"	""	""	"Ashok Chaudhary"	"Mithalesh Kumar"	"Raghuna ndan Prasad"	"Nandlal Chaudhary"	"Ujjawalka nt Hunkar"	"Babita Bhushan"	"Ravindra Ku Chaudhary"	"Rajendra Prasad"	"Santi Devi"	"Shiv Shankar Paswan"	""	""
"232"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"233"	"138"	"izkFkfed fo|ky;] okftniqj ¼nf{k.k
Hkkx½"	"209"	"51"	"2"	"1"	"2"	"1"	"2"	"2"	"6"	"9"	"285"	""
"234"	"139"	"e/; fo|ky;] dkjs ¼mÙkj Hkkx½"	"90"	"126"	"27"	"3"	"2"	"1"	"3"	"0"	"2"	"14"	"268"	""
"235"	"140"	"e/; fo|ky;] dkjs ¼nf{k.k Hkkx½"	"154"	"60"	"11"	"2"	"1"	"2"	"1"	"1"	"4"	"10"	"246"	""
"236"	"140d"	"e/; fo|ky;] dkjs ¼iw0 Hkkx½"	"117"	"63"	"35"	"1"	"0"	"3"	"4"	"0"	"4"	"6"	"233"	""
"237"	"141"	"izkFkfed fo|ky;] yksnhiqj"	"85"	"809"	"2"	"0"	"1"	"0"	"0"	"2"	"0"	"3"	"902"	""
"238"	"142"	"lkeqnkf;d Hkou] nsoys"	"244"	"201"	"10"	"1"	"1"	"3"	"2"	"5"	"5"	"9"	"481"	""
"239"	"143"	"izkFkfed fo|ky;] /ksolkch?kk"	"217"	"77"	"0"	"2"	"1"	"0"	"0"	"1"	"0"	"5"	"303"	""
"240"	"144"	"izkFkfed fo|ky;] /ksolkMhg"	"118"	"480"	"1"	"4"	"1"	"2"	"4"	"7"	"1"	"8"	"626"	""
"241"	"145"	"izkFkfed fo|ky;] nsojk"	"261"	"47"	"4"	"0"	"0"	"2"	"0"	"8"	"0"	"0"	"322"	""
"242"	"146"	"e/; fo|ky;] iSu ¼e/; Hkkx½"	"475"	"28"	"1"	"2"	"0"	"0"	"2"	"0"	"1"	"12"	"521"	""
"243"	"Total No. of Votes recorded at
Polling Stations"	""	"1970"	"1942"	"93"	"16"	"9"	"14"	"18"	"26"	"23"	"76"	"4187"	"0"
"244"	"No. of votes recorded on postal ballot papers ( to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tendered Votes"
"247"	""	""	"Ashok Chaudhary"	"Mithalesh Kumar"	"Raghuna ndan Prasad"	"Nandlal Chaudhary"	"Ujjawalka nt Hunkar"	"Babita Bhushan"	"Ravindra Ku Chaudhary"	"Rajendra Prasad"	"Santi Devi"	"Shiv Shankar Paswan"	""	""
"248"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"249"	"147"	"e/; fo|ky;] iSu ¼iwjc Hkkx½"	"286"	"61"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"352"	""
"250"	"148"	"e/; fo|ky;] iSu ¼if'pe Hkkx½"	"150"	"115"	"4"	"0"	"1"	"2"	"2"	"1"	"2"	"31"	"308"	""
"251"	"149"	"izkFkfed fo|ky;] fMgjh"	"335"	"28"	"2"	"0"	"0"	"2"	"0"	"1"	"0"	"2"	"370"	""
"252"	"150"	"e/; fo|ky;] ckn'kkgiqj"	"111"	"182"	"4"	"3"	"1"	"2"	"2"	"4"	"4"	"17"	"330"	""
"253"	"151"	"izkFkfed fo|ky;] xkslk;e<+h"	"306"	"83"	"21"	"3"	"4"	"24"	"12"	"8"	"6"	"39"	"506"	""
"254"	"152"	"e/; fo|ky;] vkS/ks"	"154"	"139"	"2"	"2"	"2"	"2"	"11"	"11"	"5"	"250"	"578"	""
"255"	"153"	"e/; fo|ky;] nqYykiqj"	"214"	"53"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"295"	"565"	""
"256"	"154"	"izkFkfed fo|ky;] fcgVk"	"290"	"39"	"3"	"1"	"1"	"2"	"1"	"2"	"2"	"7"	"348"	""
"257"	"155"	"mPp fo|ky;] xo;"	"158"	"250"	"2"	"3"	"2"	"0"	"1"	"0"	"1"	"1"	"418"	""
"258"	"156"	"izkFkfed fo|ky;] xo;"	"103"	"218"	"3"	"3"	"1"	"0"	"6"	"5"	"3"	"33"	"375"	""
"259"	"Total No. of Votes recorded at Polling Stations"	""	"2107"	"1168"	"43"	"15"	"12"	"34"	"35"	"33"	"26"	"677"	"4150"	"0"
"260"	"No. of votes recorded on postal ballot papers ( to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tendered Votes"
"263"	""	""	"Ashok Chaudhary"	"Mithalesh Kumar"	"Raghuna ndan Prasad"	"Nandlal Chaudhary"	"Ujjawalka nt Hunkar"	"Babita Bhushan"	"Ravindra Ku Chaudhary"	"Rajendra Prasad"	"Santi Devi"	"Shiv Shankar Paswan"	""	""
"264"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"265"	"157"	"e/; fo|ky;] yksnhiqj"	"172"	"260"	"3"	"5"	"0"	"0"	"1"	"0"	"7"	"9"	"457"	""
"266"	"158"	"yksfg;k Hkou] lfjdk"	"94"	"396"	"2"	"1"	"1"	"0"	"1"	"2"	"1"	"8"	"506"	""
"267"	"159"	"izkFkfed fo|ky;] efu;kSM+h"	"368"	"116"	"7"	"3"	"3"	"6"	"11"	"0"	"4"	"14"	"532"	""
"268"	"160"	"izkFkfed fo|ky;] ljeSnku"	"776"	"47"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"823"	""
"269"	"161"	"e/; fo|ky;] esgql ¼iwjc Hkkx½"	"268"	"192"	"3"	"1"	"1"	"0"	"0"	"1"	"2"	"3"	"471"	""
"270"	"162"	"e/; fo|ky;] esgql ¼if'pe Hkkx½"	"215"	"247"	"3"	"2"	"1"	"2"	"1"	"0"	"5"	"8"	"484"	""
"271"	"163"	"e/; fo|ky;] jeuqch?kk"	"391"	"116"	"3"	"1"	"1"	"0"	"2"	"17"	"3"	"8"	"542"	""
"272"	"164"	"izkFkfed fo|ky;] dqjkSuh"	"481"	"67"	"2"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"552"	""
"273"	"165"	"izkFkfed fo|ky;] eglkj"	"212"	"553"	"4"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"772"	""
"274"	"166"	"izkFkfed fo|ky;] t;eaxyk"	"99"	"361"	"2"	"0"	"0"	"1"	"0"	"1"	"1"	"5"	"470"	""
"275"	"Total No. of Votes recorded at Polling Stations"	""	"3076"	"2355"	"29"	"13"	"7"	"9"	"18"	"22"	"24"	"56"	"5609"	"0"
"276"	"No. of votes recorded on postal ballot papers ( to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tendered Votes"
"279"	""	""	"Ashok Chaudhary"	"Mithalesh Kumar"	"Raghuna ndan Prasad"	"Nandlal Chaudhary"	"Ujjawalka nt Hunkar"	"Babita Bhushan"	"Ravindra Ku Chaudhary"	"Rajendra Prasad"	"Santi Devi"	"Shiv Shankar Paswan"	""	""
"280"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"281"	"167"	"izkFkfed fo|ky;] enkjh"	"757"	"50"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"811"	""
"282"	"168"	"mPp fo|ky;] fljkjh"	"246"	"301"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"3"	"554"	""
"283"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""
"284"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""
"285"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""
"286"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""
"287"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""
"288"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""
"289"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""
"290"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""
"291"	"Total No. of Votes recorded at Polling Stations"	""	"1003"	"351"	"2"	"1"	"0"	"2"	"0"	"1"	"1"	"4"	"1365"	"0"
"292"	"No. of votes recorded on postal ballot papers ( to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""
