"X.Statutory.Rules.and.Order.......................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"220"	"119"	"381"	"27"	"9"	"0"	"1"	"1"	"2"	"3"	"2"	"426"	""	"426"	""
"221"	"120"	"349"	"238"	"25"	"11"	"9"	"9"	"3"	"8"	"24"	"676"	""	"676"	""
"222"	"Current Round"	"4713"	"3373"	"204"	"96"	"75"	"49"	"37"	"44"	"123"	"8714"	"0"	"8714"	"0"
"223"	"Previous Round"	"29245"	"40175"	"2761"	"777"	"567"	"499"	"366"	"715"	"1345"	"76450"	"0"	"76450"	"0"
"224"	"TOTAL"	"33958"	"43548"	"2965"	"873"	"642"	"548"	"403"	"759"	"1468"	"85164"	"0"	"85164"	"0"
"225"	"(Statutory Rules and Order)                                                      ROUND : TENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"231"	""	"ZAKIR HUSSAIN KHAN"	"LAXMI NARAYAN MEHTA"	"SHAMBHU NATH MISHRA"	"SUBHASH PRASAD SAH"	"RAJA RAMAN BHASKAR"	"ISHTEYAQU E ALAM"	"KAPIL DEO SADA"	"SATYA NARAYAN WRITER"	"SURENDRA MANDAL"	""	""	""	""
"232"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"233"	"121"	"244"	"354"	"11"	"7"	"5"	"9"	"6"	"6"	"17"	"659"	""	"659"	""
"234"	"122"	"395"	"348"	"9"	"3"	"3"	"1"	"3"	"4"	"4"	"770"	""	"770"	""
"235"	"123"	"154"	"581"	"21"	"4"	"6"	"10"	"4"	"11"	"26"	"817"	""	"817"	""
"236"	"124"	"630"	"119"	"6"	"3"	"4"	"5"	"3"	"3"	"10"	"783"	""	"783"	""
"237"	"125"	"91"	"423"	"9"	"9"	"3"	"3"	"4"	"3"	"11"	"556"	""	"556"	""
"238"	"126"	"117"	"312"	"20"	"4"	"8"	"3"	"0"	"4"	"7"	"475"	""	"475"	""
"239"	"127"	"675"	"54"	"22"	"6"	"3"	"4"	"3"	"2"	"4"	"773"	""	"773"	""
"240"	"128"	"636"	"9"	"4"	"3"	"5"	"7"	"0"	"2"	"7"	"673"	""	"673"	""
"241"	"129"	"57"	"496"	"18"	"5"	"4"	"16"	"4"	"17"	"17"	"634"	""	"634"	""
"242"	"130"	"136"	"603"	"14"	"10"	"4"	"83"	"0"	"2"	"6"	"858"	""	"858"	""
"243"	"131"	"470"	"292"	"11"	"13"	"10"	"12"	"3"	"6"	"10"	"827"	""	"827"	""
"244"	"132"	"215"	"182"	"3"	"4"	"6"	"150"	"5"	"4"	"10"	"579"	""	"579"	""
"245"	"133"	"324"	"44"	"6"	"2"	"3"	"19"	"2"	"5"	"8"	"413"	""	"413"	""
"246"	"134"	"872"	"13"	"9"	"0"	"8"	"0"	"1"	"4"	"14"	"921"	""	"921"	""
"247"	"Current Round"	"5016"	"3830"	"163"	"73"	"72"	"322"	"38"	"73"	"151"	"9738"	"0"	"9738"	"0"
"248"	"Previous Round"	"33958"	"43548"	"2965"	"873"	"642"	"548"	"403"	"759"	"1468"	"85164"	"0"	"85164"	"0"
"249"	"TOTAL"	"38974"	"47378"	"3128"	"946"	"714"	"870"	"441"	"832"	"1619"	"94902"	"0"	"94902"	"0"
"250"	"(Statutory Rules and Order)                                                      ROUND : ELEVENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"256"	""	"ZAKIR HUSSAIN KHAN"	"LAXMI NARAYAN MEHTA"	"SHAMBHU NATH MISHRA"	"SUBHASH PRASAD SAH"	"RAJA RAMAN BHASKAR"	"ISHTEYAQU E ALAM"	"KAPIL DEO SADA"	"SATYA NARAYAN WRITER"	"SURENDRA MANDAL"	""	""	""	""
"257"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"258"	"135"	"623"	"15"	"3"	"3"	"1"	"2"	"1"	"3"	"14"	"665"	""	"665"	""
"259"	"136"	"691"	"25"	"5"	"3"	"3"	"1"	"1"	"2"	"1"	"732"	""	"732"	""
"260"	"137"	"279"	"233"	"21"	"2"	"8"	"63"	"3"	"3"	"6"	"618"	""	"618"	""
"261"	"138"	"87"	"406"	"72"	"27"	"3"	"1"	"2"	"4"	"8"	"610"	""	"610"	""
"262"	"139"	"335"	"172"	"11"	"5"	"6"	"5"	"10"	"2"	"7"	"553"	""	"553"	""
"263"	"140"	"250"	"511"	"7"	"5"	"12"	"3"	"4"	"8"	"6"	"806"	""	"806"	""
"264"	"141"	"616"	"17"	"9"	"5"	"8"	"36"	"2"	"2"	"5"	"700"	""	"700"	""
"265"	"142"	"311"	"54"	"10"	"6"	"9"	"209"	"5"	"10"	"19"	"633"	""	"633"	""
"266"	"143"	"554"	"15"	"3"	"1"	"3"	"33"	"1"	"6"	"9"	"625"	""	"625"	""
"267"	"144"	"568"	"60"	"16"	"5"	"9"	"4"	"0"	"1"	"19"	"682"	""	"682"	""
"268"	"145"	"645"	"20"	"14"	"2"	"3"	"20"	"2"	"5"	"37"	"748"	""	"748"	""
"269"	"146"	"788"	"103"	"33"	"16"	"6"	"3"	"3"	"9"	"25"	"986"	""	"986"	""
"270"	"147"	"432"	"348"	"21"	"7"	"7"	"8"	"3"	"13"	"56"	"895"	""	"895"	""
"271"	"148"	"605"	"277"	"13"	"4"	"7"	"3"	"4"	"7"	"14"	"934"	""	"934"	""
"272"	"Current Round"	"6784"	"2256"	"238"	"91"	"85"	"391"	"41"	"75"	"226"	"10187"	"0"	"10187"	"0"
"273"	"Previous Round"	"38974"	"47378"	"3128"	"946"	"714"	"870"	"441"	"832"	"1619"	"94902"	"0"	"94902"	"0"
"274"	"TOTAL"	"45758"	"49634"	"3366"	"1037"	"799"	"1261"	"482"	"907"	"1845"	"105089"	"0"	"105089"	"0"
"275"	"(Statutory Rules and Order)                                                      ROUND : TWELVETH"	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"281"	""	"ZAKIR HUSSAIN KHAN"	"LAXMI NARAYAN MEHTA"	"SHAMBHU NATH MISHRA"	"SUBHASH PRASAD SAH"	"RAJA RAMAN BHASKAR"	"ISHTEYAQU E ALAM"	"KAPIL DEO SADA"	"SATYA NARAYAN WRITER"	"SURENDRA MANDAL"	""	""	""	""
"282"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"283"	"149"	"376"	"36"	"1"	"0"	"0"	"0"	"2"	"3"	"6"	"424"	""	"424"	""
"284"	"149A"	"388"	"230"	"11"	"4"	"3"	"4"	"3"	"7"	"11"	"661"	""	"661"	""
"285"	"150"	"219"	"174"	"2"	"0"	"3"	"3"	"4"	"1"	"6"	"412"	""	"412"	""
"286"	"150A"	"196"	"402"	"14"	"8"	"2"	"0"	"1"	"4"	"5"	"632"	""	"632"	""
"287"	"151"	"394"	"303"	"20"	"3"	"6"	"2"	"1"	"2"	"1"	"732"	""	"732"	""
"288"	"152"	"354"	"427"	"29"	"10"	"5"	"6"	"1"	"9"	"16"	"857"	""	"857"	""
"289"	"153"	"167"	"270"	"14"	"3"	"1"	"2"	"0"	"7"	"8"	"472"	""	"472"	""
"290"	"154"	"733"	"144"	"4"	"8"	"5"	"1"	"3"	"7"	"17"	"922"	""	"922"	""
"291"	"155"	"361"	"471"	"19"	"10"	"8"	"4"	"3"	"3"	"8"	"887"	""	"887"	""
"292"	"156"	"696"	"90"	"22"	"8"	"12"	"3"	"3"	"7"	"25"	"866"	""	"866"	""
"293"	"157"	"378"	"314"	"10"	"21"	"12"	"9"	"1"	"8"	"9"	"762"	""	"762"	""
"294"	"158"	"447"	"217"	"17"	"13"	"9"	"6"	"6"	"10"	"22"	"747"	""	"747"	""
"295"	"159"	"363"	"247"	"22"	"4"	"1"	"0"	"3"	"4"	"3"	"647"	""	"647"	""
"296"	"160"	"59"	"611"	"15"	"6"	"0"	"1"	"3"	"2"	"8"	"705"	""	"705"	""
"297"	"Current Round"	"5131"	"3936"	"200"	"98"	"67"	"41"	"34"	"74"	"145"	"9726"	"0"	"9726"	"0"
"298"	"Previous Round"	"45758"	"49634"	"3366"	"1037"	"799"	"1261"	"482"	"907"	"1845"	"105089"	"0"	"105089"	"0"
"299"	"TOTAL"	"50889"	"53570"	"3566"	"1135"	"866"	"1302"	"516"	"981"	"1990"	"114815"	"0"	"114815"	"0"
"300"	"(Statutory Rules and Order)                                                      ROUND : THIRTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"306"	""	"ZAKIR HUSSAIN KHAN"	"LAXMI NARAYAN MEHTA"	"SHAMBHU NATH MISHRA"	"SUBHASH PRASAD SAH"	"RAJA RAMAN BHASKAR"	"ISHTEYAQU E ALAM"	"KAPIL DEO SADA"	"SATYA NARAYAN WRITER"	"SURENDRA MANDAL"	""	""	""	""
"307"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"308"	"161"	"42"	"310"	"10"	"0"	"2"	"0"	"0"	"0"	"2"	"366"	""	"366"	""
"309"	"161A"	"49"	"319"	"25"	"1"	"3"	"0"	"0"	"5"	"6"	"408"	""	"408"	""
"310"	"162"	"62"	"451"	"25"	"5"	"3"	"3"	"1"	"2"	"5"	"557"	""	"557"	""
"311"	"163"	"77"	"431"	"64"	"10"	"0"	"1"	"0"	"1"	"0"	"584"	""	"584"	""
"312"	"164"	"190"	"501"	"31"	"3"	"2"	"1"	"3"	"3"	"0"	"734"	""	"734"	""
"313"	"165"	"115"	"569"	"36"	"3"	"2"	"1"	"0"	"9"	"5"	"740"	""	"740"	""
"314"	"166"	"53"	"437"	"32"	"17"	"1"	"1"	"0"	"2"	"5"	"548"	""	"548"	""
"315"	"167"	"131"	"569"	"17"	"6"	"0"	"0"	"2"	"4"	"11"	"740"	""	"740"	""
"316"	"168"	"139"	"549"	"12"	"10"	"2"	"1"	"3"	"3"	"7"	"726"	""	"726"	""
"317"	"169"	"82"	"625"	"22"	"1"	"1"	"2"	"0"	"0"	"2"	"735"	""	"735"	""
"318"	"170"	"239"	"420"	"10"	"2"	"3"	"1"	"1"	"3"	"16"	"695"	""	"695"	""
"319"	"171"	"378"	"11"	"2"	"2"	"2"	"0"	"0"	"1"	"8"	"404"	""	"404"	""
"320"	"172"	"495"	"211"	"8"	"1"	"1"	"1"	"1"	"5"	"11"	"734"	""	"734"	""
"321"	"173"	"432"	"308"	"7"	"0"	"1"	"0"	"0"	"1"	"3"	"752"	""	"752"	""
"322"	"Current Round"	"2484"	"5711"	"301"	"61"	"23"	"12"	"11"	"39"	"81"	"8723"	"0"	"8723"	"0"
"323"	"Previous Round"	"50889"	"53570"	"3566"	"1135"	"866"	"1302"	"516"	"981"	"1990"	"114815"	"0"	"114815"	"0"
"324"	"TOTAL"	"53373"	"59281"	"3867"	"1196"	"889"	"1314"	"527"	"1020"	"2071"	"123538"	"0"	"123538"	"0"
"325"	"(Statutory Rules and Order)                                                      ROUND : FOURTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"327"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"329"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"330"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"331"	""	"ZAKIR HUSSAIN KHAN"	"LAXMI NARAYAN MEHTA"	"SHAMBHU NATH MISHRA"	"SUBHASH PRASAD SAH"	"RAJA RAMAN BHASKAR"	"ISHTEYAQU E ALAM"	"KAPIL DEO SADA"	"SATYA NARAYAN WRITER"	"SURENDRA MANDAL"	""	""	""	""
"332"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"333"	"174"	"336"	"176"	"9"	"2"	"2"	"0"	"0"	"2"	"14"	"541"	""	"541"	""
"334"	"175"	"80"	"389"	"12"	"2"	"0"	"0"	"0"	"1"	"1"	"485"	""	"485"	""
"335"	"176"	"236"	"466"	"14"	"4"	"1"	"0"	"2"	"1"	"2"	"726"	""	"726"	""
"336"	"177"	"194"	"354"	"22"	"2"	"3"	"1"	"1"	"0"	"2"	"579"	""	"579"	""
"337"	"178"	"410"	"522"	"28"	"7"	"7"	"5"	"2"	"3"	"2"	"986"	""	"986"	""
"338"	"179"	"311"	"414"	"27"	"9"	"5"	"1"	"2"	"4"	"4"	"777"	""	"777"	""
"339"	"180"	"510"	"236"	"12"	"1"	"6"	"1"	"2"	"4"	"13"	"785"	""	"785"	""
"340"	"181"	"542"	"255"	"10"	"3"	"7"	"1"	"4"	"5"	"8"	"835"	""	"835"	""
"341"	"182"	"81"	"573"	"19"	"25"	"5"	"2"	"0"	"3"	"7"	"715"	""	"715"	""
"342"	"183"	"225"	"524"	"28"	"4"	"3"	"0"	"4"	"2"	"1"	"791"	""	"791"	""
"343"	"184"	"86"	"464"	"6"	"2"	"15"	"2"	"0"	"2"	"1"	"578"	""	"578"	""
"344"	"Current Round"	"3011"	"4373"	"187"	"61"	"54"	"13"	"17"	"27"	"55"	"7798"	"0"	"7798"	"0"
"345"	"Previous Round"	"53373"	"59281"	"3867"	"1196"	"889"	"1314"	"527"	"1020"	"2071"	"123538"	"0"	"123538"	"0"
"346"	"TOTAL"	"56384"	"63654"	"4054"	"1257"	"943"	"1327"	"544"	"1047"	"2126"	"131336"	"0"	"131336"	"0"
"347"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""
"348"	"129-FORBESGANJ"	""	""	""	""	""	""	""	""	""	""	""	""	""
