"ernku..dsUnz.dh..la..k"	"fuEufyf.kr..vH.fFkZ.ks..ds..Ik.k..esa..fn...x...fof.kekU...erksa..dh..la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"dqy..fof.kekU...er"	"fufonr..erks..dh..la..k"	"izfr.ksfir..eri.ksa..dh..la."	"dqy..fof.kekU....oa..izfr.ksfir.erks..dh..la..k"
"242"	"B.F.->"	"42055"	"25059"	"1734"	"1742"	"9710"	"2346"	"82646"	"0"	"0"	"82646"
"243"	"169"	"53"	"52"	"7"	"10"	"171"	"19"	"312"	""	""	"312"
"244"	"170"	"83"	"12"	"0"	"3"	"319"	"3"	"420"	""	""	"420"
"245"	"171"	"174"	"153"	"12"	"19"	"191"	"44"	"593"	""	""	"593"
"246"	"172"	"23"	"23"	"6"	"9"	"335"	"25"	"421"	""	""	"421"
"247"	"173"	"12"	"48"	"4"	"9"	"162"	"20"	"255"	""	""	"255"
"248"	"174"	"178"	"87"	"9"	"22"	"251"	"63"	"610"	""	""	"610"
"249"	"175"	"33"	"220"	"7"	"4"	"210"	"11"	"485"	""	""	"485"
"250"	"176"	"108"	"197"	"9"	"8"	"68"	"11"	"401"	""	""	"401"
"251"	"177"	"101"	"84"	"4"	"2"	"184"	"5"	"380"	""	""	"380"
"252"	"178"	"235"	"39"	"3"	"5"	"60"	"8"	"350"	""	""	"350"
"253"	"179"	"124"	"189"	"20"	"8"	"377"	"63"	"781"	""	""	"781"
"254"	"180"	"390"	"170"	"7"	"17"	"24"	"9"	"617"	""	""	"617"
"255"	"181"	"347"	"107"	"21"	"29"	"80"	"21"	"605"	""	""	"605"
"256"	"182"	"386"	"76"	"6"	"7"	"6"	"20"	"501"	""	""	"501"
"257"	"Round Total"	"2247"	"1457"	"115"	"152"	"2438"	"322"	"6731"	"0"	"0"	"6731"
"258"	"C.F.->"	"44302"	"26516"	"1849"	"1894"	"12148"	"2668"	"89377"	"0"	"0"	"89377"
"259"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"260"	""	"fnus'k pUnz  ;kno"	"pkS/kjh egcwc  vyh dSlj"	"lqHkk\"k pkS/kjh"	"xksiky  d`\".k flag"	"tQj  vkye"	"uteqy  gqnk m|hu"	""	""	""	""
"261"	"ROUND -XIV"	""	""	""	""	""	""	""	""	""	""
"262"	"B.F.->"	"44302"	"26516"	"1849"	"1894"	"12148"	"2668"	"89377"	"0"	"0"	"89377"
"263"	"183"	"258"	"90"	"13"	"11"	"14"	"33"	"419"	""	""	"419"
"264"	"184"	"264"	"112"	"9"	"10"	"48"	"19"	"462"	""	""	"462"
"265"	"185"	"673"	"59"	"2"	"7"	"11"	"1"	"753"	""	""	"753"
"266"	"186"	"439"	"22"	"0"	"0"	"4"	"1"	"466"	""	""	"466"
"267"	"187"	"452"	"87"	"7"	"9"	"16"	"24"	"595"	""	""	"595"
"268"	"188"	"486"	"156"	"15"	"12"	"22"	"8"	"699"	""	""	"699"
"269"	"189"	"396"	"25"	"2"	"7"	"14"	"2"	"446"	""	""	"446"
"270"	"190"	"208"	"127"	"24"	"10"	"69"	"17"	"455"	""	""	"455"
"271"	"191"	"91"	"69"	"5"	"11"	"12"	"1"	"189"	""	""	"189"
"272"	"192"	"486"	"49"	"8"	"15"	"29"	"14"	"601"	""	""	"601"
"273"	"193"	"155"	"143"	"21"	"24"	"81"	"22"	"446"	""	""	"446"
"274"	"194"	"35"	"785"	"4"	"2"	"16"	"3"	"845"	""	""	"845"
"275"	"195"	"341"	"92"	"7"	"25"	"53"	"17"	"535"	""	""	"535"
"276"	"196"	"342"	"32"	"4"	"11"	"6"	"6"	"401"	""	""	"401"
"277"	"Round Total"	"4626"	"1848"	"121"	"154"	"395"	"168"	"7312"	"0"	"0"	"7312"
"278"	"C.F.->"	"48928"	"28364"	"1970"	"2048"	"12543"	"2836"	"96689"	"0"	"0"	"96689"
"279"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"280"	""	"fnus'k pUnz  ;kno"	"pkS/kjh egcwc  vyh dSlj"	"lqHkk\"k pkS/kjh"	"xksiky  d`\".k flag"	"tQj  vkye"	"uteqy  gqnk m|hu"	""	""	""	""
"281"	"ROUND- XV"	""	""	""	""	""	""	""	""	""	""
"282"	"B.F.->"	"48928"	"28364"	"1970"	"2048"	"12543"	"2836"	"96689"	"0"	"0"	"96689"
"283"	"197"	"269"	"179"	"11"	"14"	"12"	"13"	"498"	""	""	"498"
"284"	"198"	"53"	"391"	"11"	"3"	"26"	"6"	"490"	""	""	"490"
"285"	"199"	"425"	"115"	"0"	"1"	"4"	"1"	"546"	""	""	"546"
"286"	"200"	"347"	"109"	"17"	"23"	"20"	"14"	"530"	""	""	"530"
"287"	"201"	"488"	"46"	"9"	"11"	"27"	"14"	"595"	""	""	"595"
"288"	"202"	"48"	"153"	"4"	"5"	"100"	"15"	"325"	""	""	"325"
"289"	"203"	"252"	"157"	"15"	"8"	"134"	"36"	"602"	""	""	"602"
"290"	"204"	"207"	"186"	"17"	"16"	"16"	"2"	"444"	""	""	"444"
"291"	"205"	"384"	"60"	"8"	"20"	"70"	"25"	"567"	""	""	"567"
"292"	"206"	"335"	"75"	"5"	"5"	"55"	"15"	"490"	""	""	"490"
"293"	"207"	"388"	"35"	"1"	"4"	"27"	"13"	"468"	""	""	"468"
"294"	"208"	"262"	"41"	"5"	"4"	"9"	"2"	"323"	""	""	"323"
"295"	"209"	"185"	"21"	"4"	"0"	"3"	"4"	"217"	""	""	"217"
"296"	"Round Total"	"3643"	"1568"	"107"	"114"	"503"	"160"	"6095"	"0"	"0"	"6095"
"297"	"Mkd  eri=ks dh  la[;k"	"1"	""	""	""	""	""	"1"	""	""	"1"
"298"	"Grand Total"	"52572"	"29932"	"2077"	"2162"	"13046"	"2996"	"102785"	"0"	"0"	"102785"
