"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"136"	"Table No."	"No. & Name of Polling Station"	"BRAJESH KUMAR"	"RAJBALLABH PRASAD"	"SHATRUGHAN PRASAD SINGH"	"SANJAY KUMAR"	"FAKHRUDDIN ALI AHMAD"	"SIDHESHWAR SHARMA"	"ARUN KUMAR"	"MD. ANWAR KHAN"	"ISHTEKHAR AHMAD"	"DILIP KUMAR"	"NIRANJAN KUMAR SINGH"	"PURNIMA YADAV"	"BIRENDRA YADAV"	"MAHENDRA YADAV"	"MUNDRIKA PRASAD"	"MOHAN SAW"	"RAJKUMAR VERMA"	"RAJENDRA SINGH"	"RAMBALAK PRASAD"	"RITESH KUMAR"	"SURESH PRASAD YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"137"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"138"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"1"	"57"	"15"	"235"	"7"	"42"	"17"	"3"	"2"	"2"	"0"	"2"	"3"	"77"	"0"	"2"	"0"	"7"	"9"	"38"	"6"	"4"	"12"	"483"	"0"	"483"	"0"
"140"	"2"	"58-R"	"0"	"264"	"0"	"17"	"5"	"1"	"0"	"1"	"1"	"1"	"4"	"210"	"4"	"3"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"515"	"0"	"515"	"0"
"141"	"3"	"59"	"3"	"246"	"2"	"3"	"18"	"1"	"3"	"0"	"1"	"8"	"5"	"196"	"4"	"0"	"2"	"3"	"1"	"0"	"1"	"1"	"0"	"498"	"0"	"498"	"0"
"142"	"4"	"60"	"7"	"171"	"4"	"10"	"17"	"3"	"5"	"3"	"0"	"3"	"10"	"337"	"6"	"7"	"8"	"12"	"0"	"1"	"0"	"0"	"0"	"604"	"0"	"604"	"0"
"143"	"5"	"61"	"7"	"164"	"5"	"14"	"23"	"2"	"4"	"0"	"1"	"2"	"4"	"131"	"2"	"1"	"5"	"5"	"0"	"0"	"1"	"0"	"2"	"373"	"0"	"373"	"0"
"144"	"6"	"62"	"8"	"289"	"3"	"7"	"6"	"3"	"3"	"1"	"0"	"3"	"8"	"189"	"1"	"2"	"7"	"91"	"1"	"0"	"1"	"0"	"7"	"630"	"0"	"630"	"0"
"145"	"7"	"63"	"0"	"21"	"9"	"4"	"15"	"1"	"0"	"1"	"0"	"1"	"1"	"274"	"1"	"0"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"334"	"0"	"334"	"0"
"146"	"8"	"64"	"6"	"72"	"17"	"2"	"9"	"0"	"1"	"0"	"2"	"6"	"4"	"381"	"6"	"3"	"0"	"8"	"2"	"0"	"0"	"1"	"10"	"530"	"0"	"530"	"0"
"147"	"9"	"65"	"0"	"19"	"1"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"1"	"522"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"553"	"0"	"553"	"0"
"148"	"10"	"66"	"1"	"35"	"0"	"8"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"548"	"2"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"601"	"0"	"601"	"0"
"149"	"11"	"67"	"13"	"46"	"0"	"3"	"7"	"0"	"1"	"0"	"0"	"0"	"5"	"360"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"1"	"2"	"441"	"0"	"441"	"0"
"150"	"12"	"68"	"10"	"149"	"3"	"10"	"7"	"13"	"1"	"0"	"0"	"3"	"5"	"246"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"450"	"0"	"450"	"0"
"151"	"13"	"69"	"12"	"182"	"12"	"13"	"27"	"4"	"12"	"1"	"0"	"0"	"3"	"277"	"4"	"5"	"4"	"3"	"0"	"2"	"1"	"2"	"2"	"566"	"0"	"566"	"0"
"152"	"14"	"70"	"0"	"108"	"2"	"6"	"5"	"3"	"0"	"0"	"0"	"0"	"1"	"471"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"597"	"0"	"597"	"0"
"153"	"Total Votes Polled"	""	"82"	"2001"	"65"	"143"	"162"	"34"	"32"	"9"	"6"	"30"	"54"	"4219"	"32"	"24"	"31"	"138"	"17"	"42"	"10"	"9"	"35"	"7175"	"0"	"7175"	"0"
"154"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"Date - 08/05/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"Assistant Retuning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	"239- Nawada Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"163"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"164"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"Table No."	"No. & Name of Polling Station"	"BRAJESH KUMAR"	"RAJBALLABH PRASAD"	"SHATRUGHAN PRASAD SINGH"	"SANJAY KUMAR"	"FAKHRUDDIN ALI AHMAD"	"SIDHESHWAR SHARMA"	"ARUN KUMAR"	"MD. ANWAR KHAN"	"ISHTEKHAR AHMAD"	"DILIP KUMAR"	"NIRANJAN KUMAR SINGH"	"PURNIMA YADAV"	"BIRENDRA YADAV"	"MAHENDRA YADAV"	"MUNDRIKA PRASAD"	"MOHAN SAW"	"RAJKUMAR VERMA"	"RAJENDRA SINGH"	"RAMBALAK PRASAD"	"RITESH KUMAR"	"SURESH PRASAD YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"169"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"170"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"1"	"71"	"0"	"119"	"3"	"7"	"10"	"1"	"0"	"0"	"0"	"0"	"1"	"542"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"685"	"0"	"685"	"0"
"172"	"2"	"72"	"16"	"103"	"0"	"4"	"8"	"2"	"2"	"3"	"2"	"4"	"4"	"312"	"7"	"10"	"0"	"11"	"0"	"0"	"0"	"1"	"1"	"490"	"0"	"490"	"0"
"173"	"3"	"73-R"	"11"	"80"	"1"	"4"	"18"	"1"	"1"	"1"	"2"	"4"	"6"	"131"	"8"	"7"	"2"	"10"	"2"	"1"	"0"	"2"	"4"	"296"	"0"	"296"	"0"
"174"	"4"	"74-R"	"4"	"105"	"5"	"17"	"15"	"2"	"0"	"3"	"2"	"6"	"5"	"131"	"2"	"4"	"6"	"5"	"1"	"3"	"2"	"0"	"5"	"323"	"0"	"323"	"0"
"175"	"5"	"75"	"3"	"168"	"1"	"12"	"15"	"1"	"1"	"0"	"1"	"2"	"3"	"158"	"1"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"371"	"0"	"371"	"0"
"176"	"6"	"76"	"1"	"1"	"0"	"1"	"8"	"0"	"1"	"0"	"0"	"0"	"0"	"445"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"460"	"0"	"460"	"0"
"177"	"7"	"77-R"	"3"	"253"	"3"	"60"	"10"	"3"	"1"	"0"	"1"	"0"	"1"	"224"	"1"	"5"	"11"	"3"	"0"	"0"	"0"	"0"	"1"	"580"	"0"	"580"	"0"
"178"	"8"	"78"	"5"	"251"	"5"	"12"	"8"	"1"	"0"	"0"	"2"	"4"	"12"	"65"	"0"	"2"	"4"	"2"	"4"	"1"	"0"	"2"	"3"	"383"	"0"	"383"	"0"
"179"	"9"	"79-R"	"4"	"165"	"0"	"26"	"39"	"1"	"0"	"0"	"0"	"4"	"0"	"195"	"0"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"438"	"0"	"438"	"0"
"180"	"10"	"80"	"1"	"75"	"4"	"7"	"9"	"1"	"5"	"2"	"0"	"2"	"2"	"722"	"1"	"4"	"2"	"3"	"0"	"0"	"0"	"0"	"1"	"841"	"0"	"841"	"0"
"181"	"11"	"81"	"1"	"225"	"0"	"18"	"7"	"1"	"0"	"0"	"0"	"2"	"0"	"31"	"3"	"1"	"0"	"3"	"1"	"2"	"0"	"0"	"2"	"297"	"0"	"297"	"0"
"182"	"12"	"82"	"11"	"198"	"7"	"22"	"20"	"3"	"2"	"4"	"3"	"6"	"5"	"105"	"2"	"1"	"1"	"2"	"1"	"2"	"3"	"2"	"5"	"405"	"0"	"405"	"0"
"183"	"13"	"83-R"	"5"	"167"	"1"	"0"	"20"	"4"	"4"	"0"	"1"	"7"	"10"	"161"	"5"	"4"	"5"	"5"	"1"	"5"	"1"	"0"	"0"	"406"	"0"	"406"	"0"
"184"	"14"	"84-R"	"20"	"160"	"9"	"6"	"46"	"5"	"6"	"3"	"3"	"4"	"7"	"262"	"4"	"1"	"2"	"3"	"0"	"0"	"0"	"0"	"3"	"544"	"0"	"544"	"0"
"185"	"Total Votes Polled"	""	"85"	"2070"	"39"	"196"	"233"	"26"	"23"	"16"	"17"	"45"	"56"	"3484"	"36"	"44"	"34"	"50"	"10"	"15"	"6"	"7"	"27"	"6519"	"0"	"6519"	"0"
"186"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"187"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	"Date - 08/05/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"189"	"Assistant Retuning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"239- Nawada Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Table No."	"No. & Name of Polling Station"	"BRAJESH KUMAR"	"RAJBALLABH PRASAD"	"SHATRUGHAN PRASAD SINGH"	"SANJAY KUMAR"	"FAKHRUDDIN ALI AHMAD"	"SIDHESHWAR SHARMA"	"ARUN KUMAR"	"MD. ANWAR KHAN"	"ISHTEKHAR AHMAD"	"DILIP KUMAR"	"NIRANJAN KUMAR SINGH"	"PURNIMA YADAV"	"BIRENDRA YADAV"	"MAHENDRA YADAV"	"MUNDRIKA PRASAD"	"MOHAN SAW"	"RAJKUMAR VERMA"	"RAJENDRA SINGH"	"RAMBALAK PRASAD"	"RITESH KUMAR"	"SURESH PRASAD YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"201"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"202"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"1"	"85"	"0"	"11"	"0"	"6"	"10"	"0"	"0"	"0"	"0"	"1"	"0"	"330"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"361"	"0"	"361"	"0"
"204"	"2"	"86"	"9"	"114"	"3"	"16"	"19"	"1"	"3"	"1"	"1"	"2"	"2"	"340"	"4"	"2"	"0"	"2"	"1"	"0"	"1"	"0"	"5"	"526"	"0"	"526"	"0"
"205"	"3"	"87"	"1"	"29"	"3"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"160"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"0"	"205"	"0"
"206"	"4"	"88"	"46"	"56"	"3"	"14"	"11"	"3"	"6"	"1"	"3"	"1"	"4"	"55"	"3"	"4"	"7"	"19"	"8"	"5"	"2"	"1"	"16"	"268"	"0"	"268"	"0"
"207"	"5"	"89"	"30"	"85"	"5"	"15"	"28"	"3"	"4"	"2"	"2"	"8"	"4"	"248"	"6"	"3"	"6"	"23"	"1"	"2"	"3"	"3"	"3"	"484"	"0"	"484"	"0"
"208"	"6"	"90"	"25"	"201"	"15"	"13"	"10"	"1"	"3"	"1"	"1"	"2"	"8"	"113"	"6"	"2"	"6"	"12"	"1"	"0"	"0"	"0"	"3"	"423"	"0"	"423"	"0"
"209"	"7"	"90A"	"4"	"125"	"2"	"14"	"11"	"1"	"1"	"1"	"1"	"1"	"4"	"43"	"0"	"2"	"1"	"4"	"8"	"6"	"2"	"1"	"7"	"239"	"0"	"239"	"0"
"210"	"8"	"91"	"5"	"41"	"34"	"7"	"5"	"6"	"3"	"2"	"3"	"0"	"1"	"83"	"1"	"0"	"0"	"7"	"2"	"0"	"0"	"0"	"1"	"201"	"0"	"201"	"0"
"211"	"9"	"92"	"9"	"185"	"11"	"9"	"7"	"5"	"3"	"2"	"1"	"4"	"4"	"40"	"0"	"1"	"3"	"7"	"9"	"15"	"3"	"3"	"20"	"341"	"0"	"341"	"0"
"212"	"10"	"93"	"7"	"156"	"11"	"18"	"28"	"4"	"4"	"3"	"0"	"4"	"8"	"370"	"6"	"2"	"2"	"12"	"0"	"1"	"0"	"2"	"4"	"642"	"0"	"642"	"0"
"213"	"11"	"94"	"2"	"6"	"0"	"4"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"691"	"1"	"0"	"0"	"3"	"2"	"1"	"0"	"0"	"1"	"713"	"0"	"713"	"0"
"214"	"12"	"95"	"7"	"51"	"0"	"47"	"21"	"3"	"6"	"3"	"2"	"4"	"8"	"657"	"8"	"1"	"2"	"3"	"0"	"0"	"0"	"0"	"2"	"825"	"0"	"825"	"0"
"215"	"13"	"96"	"6"	"155"	"3"	"19"	"7"	"0"	"2"	"0"	"3"	"6"	"9"	"740"	"2"	"3"	"1"	"5"	"0"	"1"	"0"	"1"	"2"	"965"	"0"	"965"	"0"
"216"	"14"	"97R"	"13"	"98"	"6"	"12"	"18"	"3"	"5"	"1"	"2"	"7"	"6"	"196"	"6"	"2"	"1"	"4"	"5"	"5"	"0"	"0"	"5"	"395"	"0"	"395"	"0"
"217"	"Total Votes Polled"	""	"164"	"1313"	"96"	"200"	"177"	"31"	"40"	"17"	"20"	"40"	"59"	"4066"	"45"	"22"	"30"	"102"	"37"	"36"	"11"	"11"	"71"	"6588"	"0"	"6588"	"0"
"218"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"Date - 08/05/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"Assistant Retuning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"239- Nawada Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"Table No."	"No. & Name of Polling Station"	"BRAJESH KUMAR"	"RAJBALLABH PRASAD"	"SHATRUGHAN PRASAD SINGH"	"SANJAY KUMAR"	"FAKHRUDDIN ALI AHMAD"	"SIDHESHWAR SHARMA"	"ARUN KUMAR"	"MD. ANWAR KHAN"	"ISHTEKHAR AHMAD"	"DILIP KUMAR"	"NIRANJAN KUMAR SINGH"	"PURNIMA YADAV"	"BIRENDRA YADAV"	"MAHENDRA YADAV"	"MUNDRIKA PRASAD"	"MOHAN SAW"	"RAJKUMAR VERMA"	"RAJENDRA SINGH"	"RAMBALAK PRASAD"	"RITESH KUMAR"	"SURESH PRASAD YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"233"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"234"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"1"	"98"	"8"	"159"	"3"	"22"	"18"	"1"	"5"	"2"	"1"	"4"	"12"	"171"	"0"	"2"	"0"	"2"	"0"	"0"	"1"	"2"	"7"	"420"	"0"	"420"	"0"
"236"	"2"	"99"	"0"	"16"	"2"	"3"	"9"	"0"	"2"	"0"	"0"	"1"	"0"	"466"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"503"	"0"	"503"	"0"
"237"	"3"	"100"	"2"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"364"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"376"	"0"	"376"	"0"
"238"	"4"	"101"	"4"	"53"	"105"	"86"	"29"	"89"	"1"	"0"	"3"	"0"	"2"	"90"	"4"	"2"	"0"	"2"	"0"	"2"	"0"	"0"	"0"	"472"	"0"	"472"	"0"
"239"	"5"	"102"	"7"	"144"	"8"	"25"	"11"	"42"	"8"	"0"	"3"	"4"	"5"	"40"	"4"	"8"	"5"	"25"	"3"	"11"	"5"	"2"	"7"	"367"	"0"	"367"	"0"
"240"	"6"	"103"	"12"	"189"	"17"	"67"	"20"	"8"	"4"	"2"	"7"	"6"	"7"	"102"	"6"	"2"	"0"	"7"	"0"	"0"	"2"	"0"	"0"	"458"	"0"	"458"	"0"
"241"	"7"	"104"	"0"	"12"	"0"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"562"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"581"	"0"	"581"	"0"
"242"	"8"	"105"	"6"	"71"	"73"	"21"	"26"	"1"	"4"	"2"	"1"	"3"	"0"	"23"	"1"	"2"	"2"	"3"	"0"	"0"	"0"	"0"	"1"	"240"	"0"	"240"	"0"
"243"	"9"	"106"	"10"	"38"	"32"	"2"	"6"	"2"	"0"	"0"	"3"	"1"	"3"	"79"	"2"	"1"	"1"	"9"	"1"	"9"	"5"	"3"	"6"	"213"	"0"	"213"	"0"
"244"	"10"	"107"	"1"	"718"	"2"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"742"	"0"	"742"	"0"
"245"	"11"	"108"	"2"	"721"	"0"	"0"	"22"	"1"	"0"	"0"	"0"	"0"	"3"	"13"	"0"	"0"	"0"	"1"	"1"	"5"	"0"	"1"	"1"	"771"	"0"	"771"	"0"
"246"	"12"	"109"	"8"	"104"	"7"	"39"	"41"	"2"	"4"	"2"	"0"	"2"	"3"	"262"	"1"	"2"	"0"	"1"	"1"	"1"	"0"	"0"	"3"	"483"	"0"	"483"	"0"
"247"	"13"	"110"	"7"	"105"	"2"	"3"	"15"	"1"	"1"	"1"	"0"	"4"	"4"	"122"	"4"	"4"	"2"	"13"	"0"	"0"	"1"	"1"	"2"	"292"	"0"	"292"	"0"
"248"	"14"	"111"	"11"	"142"	"6"	"15"	"86"	"2"	"2"	"2"	"0"	"1"	"2"	"16"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"288"	"0"	"288"	"0"
"249"	"Total Votes Polled"	""	"78"	"2476"	"257"	"287"	"286"	"149"	"32"	"11"	"19"	"27"	"43"	"2328"	"29"	"24"	"10"	"65"	"6"	"28"	"14"	"9"	"28"	"6206"	"0"	"6206"	"0"
"250"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"Date - 08/05/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"Assistant Retuning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"239- Nawada Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"263"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"Table No."	"No. & Name of Polling Station"	"BRAJESH KUMAR"	"RAJBALLABH PRASAD"	"SHATRUGHAN PRASAD SINGH"	"SANJAY KUMAR"	"FAKHRUDDIN ALI AHMAD"	"SIDHESHWAR SHARMA"	"ARUN KUMAR"	"MD. ANWAR KHAN"	"ISHTEKHAR AHMAD"	"DILIP KUMAR"	"NIRANJAN KUMAR SINGH"	"PURNIMA YADAV"	"BIRENDRA YADAV"	"MAHENDRA YADAV"	"MUNDRIKA PRASAD"	"MOHAN SAW"	"RAJKUMAR VERMA"	"RAJENDRA SINGH"	"RAMBALAK PRASAD"	"RITESH KUMAR"	"SURESH PRASAD YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"265"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"266"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"1"	"112"	"1"	"707"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"715"	"0"	"715"	"0"
"268"	"2"	"113"	"16"	"347"	"39"	"48"	"41"	"1"	"3"	"1"	"3"	"1"	"2"	"58"	"1"	"0"	"4"	"8"	"2"	"2"	"1"	"1"	"12"	"591"	"0"	"591"	"0"
