"See.rule.56..7."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"259"	"190"	"325"	"8"	"3"	"1"	"4"	"63"	"-404"	"0"	"-404"	"0"
"260"	"191"	"269"	"0"	"0"	"0"	"0"	"51"	"-320"	"0"	"-320"	"0"
"261"	"192"	"9"	"1"	"1"	"1"	"1"	"497"	"-510"	"0"	"-510"	"0"
"262"	"193"	"124"	"7"	"13"	"2"	"7"	"138"	"-291"	"0"	"-291"	"0"
"263"	"194"	"133"	"13"	"15"	"6"	"9"	"267"	"-443"	"0"	"-443"	"0"
"264"	"195"	"247"	"3"	"3"	"2"	"1"	"57"	"-313"	"0"	"-313"	"0"
"265"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""
"266"	"Election to the Bihar Legislative Assembly from the 228 - Ghoshi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""
"267"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"268"	""	"Ajay Singh"	"Suryadeo Prasad"	"Kunti Devi"	"Sadhu Sinha"	"Abhay Kumar Anil"	"Jagdish Sharma"	""	""	""	""
"269"	"196"	"59"	"0"	"1"	"0"	"3"	"338"	"-401"	"0"	"-401"	"0"
"270"	"197"	"62"	"0"	"6"	"1"	"2"	"101"	"-172"	"0"	"-172"	"0"
"271"	"198"	"18"	"1"	"0"	"0"	"2"	"1020"	"-1041"	"0"	"-1041"	"0"
"272"	"199"	"205"	"8"	"2"	"2"	"8"	"465"	"-690"	"0"	"-690"	"0"
"273"	"200"	"67"	"17"	"59"	"5"	"4"	"282"	"-434"	"0"	"-434"	"0"
"274"	"201"	"133"	"4"	"184"	"4"	"7"	"322"	"-654"	"0"	"-654"	"0"
"275"	"202"	"71"	"2"	"3"	"1"	"3"	"206"	"-286"	"0"	"-286"	"0"
"276"	"203"	"44"	"1"	"20"	"1"	"2"	"343"	"-411"	"0"	"-411"	"0"
"277"	"204"	"40"	"1"	"1"	"0"	"0"	"45"	"-87"	"0"	"-87"	"0"
"278"	"205"	"150"	"17"	"30"	"2"	"13"	"369"	"-581"	"0"	"-581"	"0"
"279"	"206"	"214"	"12"	"6"	"2"	"3"	"420"	"-657"	"0"	"-657"	"0"
"280"	"207"	"86"	"6"	"198"	"6"	"5"	"274"	"-575"	"0"	"-575"	"0"
"281"	"208"	"157"	"16"	"37"	"5"	"18"	"444"	"-677"	"0"	"-677"	"0"
"282"	"209"	"259"	"3"	"6"	"1"	"3"	"118"	"-390"	"0"	"-390"	"0"
"283"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""
"284"	"Election to the Bihar Legislative Assembly from the 228 - Ghoshi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""
"285"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"286"	""	"Ajay Singh"	"Suryadeo Prasad"	"Kunti Devi"	"Sadhu Sinha"	"Abhay Kumar Anil"	"Jagdish Sharma"	""	""	""	""
"287"	"210"	"386"	"3"	"6"	"3"	"3"	"194"	"-595"	"0"	"-595"	"0"
"288"	"211"	"463"	"0"	"0"	"1"	"0"	"15"	"-479"	"0"	"-479"	"0"
"289"	"212"	"662"	"10"	"97"	"17"	"5"	"170"	"-961"	"0"	"-961"	"0"
"290"	"213"	"160"	"3"	"212"	"8"	"5"	"102"	"-490"	"0"	"-490"	"0"
"291"	"214"	"341"	"0"	"0"	"0"	"0"	"12"	"-353"	"0"	"-353"	"0"
"292"	"215"	"172"	"35"	"104"	"10"	"12"	"363"	"-696"	"0"	"-696"	"0"
"293"	"216"	"114"	"57"	"56"	"4"	"9"	"292"	"-532"	"0"	"-532"	"0"
"294"	"217"	"252"	"5"	"3"	"3"	"2"	"49"	"-314"	"0"	"-314"	"0"
"295"	"218"	"1"	"0"	"0"	"0"	"4"	"620"	"-625"	"0"	"-625"	"0"
"296"	"219"	"137"	"3"	"2"	"2"	"4"	"117"	"-265"	"0"	"-265"	"0"
"297"	"220"	"360"	"26"	"10"	"6"	"15"	"166"	"-583"	"0"	"-583"	"0"
"298"	"221"	"274"	"7"	"18"	"5"	"9"	"153"	"-466"	"0"	"-466"	"0"
"299"	"222"	"74"	"21"	"14"	"7"	"6"	"280"	"-402"	"0"	"-402"	"0"
"300"	"223"	"210"	"17"	"12"	"2"	"10"	"258"	"-509"	"0"	"-509"	"0"
"301"	"ASSEMBLY ELECTION - 2005"	""	""	""	""	""	""	""	""	""	""
"302"	"228-GHOSI ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""
"303"	"PART - 1"	""	""	""	""	""	""	""	""	""	""
"304"	"Form - 20"	""	""	""	""	""	""	""	""	""	""
"305"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""
"306"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""
"307"	"Election to the Bihar Legislative Assembly from the 228 - Ghoshi Assembly Constituency"	""	""	""	""	""	""	""	""	""	""
"308"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"309"	""	"Ajay Singh"	"Suryadeo Prasad"	"Kunti Devi"	"Sadhu Sinha"	"Abhay Kumar Anil"	"Jagdish Sharma"	""	""	""	""
"310"	"224"	"30"	"3"	"1"	"2"	"3"	"362"	"-401"	"0"	"-401"	"0"
"311"	"225"	"12"	"1"	"0"	"0"	"2"	"548"	"-563"	"0"	"-563"	"0"
"312"	"226"	"13"	"1"	"12"	"0"	"1"	"593"	"-620"	"0"	"-620"	"0"
"313"	"227"	"84"	"3"	"34"	"5"	"4"	"317"	"-447"	"0"	"-447"	"0"
"314"	"228"	"59"	"9"	"15"	"3"	"8"	"531"	"-625"	"0"	"-625"	"0"
"315"	"Total"	"30388"	"1281"	"10769"	"966"	"897"	"55260"	"-99561"	"0"	"-99561"	"0"
"316"	"Postal Ballot Paper"	"1"	"0"	"0"	"0"	"0"	"2"	"-3"	"-4"	"-7"	"0"
"317"	"Grand Total"	"30389"	"1281"	"10769"	"966"	"897"	"55262"	"-99564"	"-4"	"-99568"	"0"
