"FINAL.RESULTSHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"172"	"142"	"132"	"96"	"0"	"0"	"61"	"5"	"5"	"0"	"1"	"2"	"3"	"2"	"2"	"309"	"0"	"309"	""	""
"173"	"143"	"144"	"84"	"1"	"0"	"17"	"3"	"2"	"1"	"0"	"1"	"2"	"0"	"5"	"260"	"0"	"260"	""	""
"174"	"144"	"64"	"68"	"8"	"3"	"76"	"7"	"8"	"5"	"0"	"2"	"3"	"2"	"5"	"251"	"0"	"251"	""	""
"175"	"145"	"431"	"3"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"440"	"0"	"440"	""	""
"176"	"146"	"341"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"345"	"0"	"345"	""	""
"177"	"147"	"157"	"70"	"2"	"3"	"83"	"5"	"2"	"4"	"3"	"2"	"2"	"3"	"13"	"349"	"0"	"349"	""	""
"178"	"148"	"302"	"39"	"26"	"2"	"32"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"405"	"0"	"405"	""	""
"179"	"149"	"445"	"9"	"4"	"0"	"16"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"478"	"0"	"478"	""	""
"180"	"150"	"284"	"17"	"0"	"1"	"9"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"2"	"316"	"0"	"316"	""	""
"181"	"151"	"113"	"1"	"2"	"2"	"63"	"8"	"7"	"0"	"2"	"0"	"1"	"1"	"5"	"205"	"0"	"205"	""	""
"182"	"152"	"96"	"107"	"1"	"2"	"56"	"10"	"2"	"3"	"4"	"3"	"11"	"5"	"7"	"307"	"0"	"307"	""	""
"183"	"153"	"74"	"40"	"1"	"2"	"28"	"5"	"3"	"2"	"0"	"0"	"8"	"1"	"3"	"167"	"0"	"167"	""	""
"184"	"154"	"81"	"180"	"0"	"2"	"23"	"3"	"4"	"0"	"2"	"2"	"9"	"3"	"8"	"317"	"0"	"317"	""	""
"185"	"Round  11"	"19720"	"20783"	"892"	"273"	"7288"	"544"	"433"	"256"	"250"	"184"	"489"	"507"	"950"	"52569"	"0"	"52569"	""	""
"186"	"155"	"62"	"43"	"2"	"0"	"16"	"2"	"4"	"0"	"1"	"2"	"4"	"4"	"6"	"146"	"0"	"146"	""	""
"187"	"156"	"113"	"143"	"4"	"0"	"126"	"7"	"6"	"0"	"1"	"2"	"2"	"2"	"7"	"413"	"0"	"413"	""	""
"188"	"157"	"229"	"0"	"0"	"0"	"99"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"328"	"0"	"328"	""	""
"189"	"158"	"164"	"31"	"4"	"0"	"12"	"1"	"2"	"0"	"1"	"2"	"0"	"2"	"2"	"221"	"0"	"221"	""	""
"190"	"159"	"126"	"136"	"2"	"3"	"14"	"0"	"1"	"1"	"1"	"2"	"3"	"1"	"2"	"292"	"0"	"292"	""	""
"191"	"160"	"84"	"216"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"5"	"310"	"0"	"310"	""	""
"192"	"161"	"87"	"21"	"20"	"0"	"2"	"1"	"2"	"3"	"0"	"0"	"0"	"0"	"1"	"137"	"0"	"137"	""	""
"193"	"162"	"6"	"319"	"1"	"1"	"3"	"0"	"0"	"0"	"7"	"1"	"0"	"1"	"1"	"340"	"0"	"340"	""	""
"194"	"163"	"151"	"37"	"4"	"0"	"7"	"1"	"6"	"0"	"2"	"1"	"1"	"3"	"8"	"221"	"0"	"221"	""	""
"195"	"164"	"166"	"42"	"9"	"1"	"9"	"1"	"4"	"0"	"1"	"2"	"4"	"9"	"25"	"273"	"0"	"273"	""	""
"196"	"165"	"136"	"10"	"0"	"37"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"0"	"188"	""	""
"197"	"166"	"3"	"148"	"1"	"5"	"114"	"9"	"2"	"0"	"3"	"3"	"9"	"2"	"6"	"305"	"0"	"305"	""	""
"198"	"167"	"3"	"458"	"2"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"466"	"0"	"466"	""	""
"199"	"168"	"10"	"468"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"1"	"1"	"1"	"0"	"485"	"0"	"485"	""	""
"200"	"Round  12"	"21060"	"22855"	"941"	"322"	"7696"	"567"	"464"	"261"	"267"	"200"	"514"	"534"	"1013"	"56694"	"0"	"56694"	""	""
"201"	"169"	"39"	"245"	"9"	"0"	"9"	"0"	"3"	"0"	"0"	"1"	"4"	"7"	"2"	"319"	"0"	"319"	""	""
"202"	"170"	"116"	"206"	"1"	"1"	"18"	"3"	"2"	"0"	"6"	"2"	"3"	"23"	"4"	"385"	"0"	"385"	""	""
"203"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"204"	""	"Dr. Kumar Pushpanjay"	"Jitendra Kumar"	"Suren Das"	"Kiran Devi"	"Mukesh Kumar"	"Krishna Ballabh Prasad Singh"	"Naushad"	"Bhushan Singh"	"Manoj Prasad Singh"	"Vidya Sagar Singh"	"Shailendra Kumar"	"Sanjay Paswan"	"Sudhir Pandey"	""	""	""	""	""
"205"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"2"	"3"	"4"	"5"	"6"
"206"	"171"	"21"	"264"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"290"	"0"	"290"	""	""
"207"	"172"	"96"	"200"	"3"	"0"	"33"	"3"	"1"	"2"	"1"	"3"	"8"	"6"	"5"	"361"	"0"	"361"	""	""
"208"	"173"	"4"	"270"	"0"	"0"	"48"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"323"	"0"	"323"	""	""
"209"	"174"	"11"	"109"	"2"	"0"	"58"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"0"	"188"	""	""
"210"	"175"	"19"	"164"	"1"	"1"	"109"	"7"	"2"	"1"	"1"	"1"	"1"	"1"	"3"	"311"	"0"	"311"	""	""
"211"	"176"	"491"	"25"	"0"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"525"	"0"	"525"	""	""
"212"	"177"	"77"	"51"	"0"	"1"	"25"	"7"	"1"	"2"	"0"	"0"	"0"	"1"	"1"	"166"	"0"	"166"	""	""
"213"	"178"	"20"	"231"	"2"	"0"	"46"	"5"	"1"	"0"	"1"	"1"	"2"	"1"	"1"	"311"	"0"	"311"	""	""
"214"	"179"	"3"	"181"	"5"	"0"	"42"	"2"	"3"	"0"	"0"	"0"	"5"	"0"	"0"	"241"	"0"	"241"	""	""
"215"	"180"	"23"	"237"	"1"	"0"	"4"	"0"	"2"	"0"	"33"	"0"	"1"	"0"	"0"	"301"	"0"	"301"	""	""
"216"	"181"	"60"	"212"	"3"	"0"	"15"	"3"	"2"	"0"	"21"	"0"	"2"	"1"	"5"	"324"	"0"	"324"	""	""
"217"	"182"	"263"	"9"	"6"	"1"	"12"	"1"	"5"	"0"	"0"	"1"	"0"	"3"	"4"	"305"	"0"	"305"	""	""
"218"	"Round  13"	"22303"	"25259"	"975"	"327"	"8125"	"602"	"490"	"266"	"330"	"209"	"541"	"578"	"1039"	"61044"	"0"	"61044"	""	""
"219"	"183"	"107"	"74"	"1"	"3"	"3"	"1"	"2"	"0"	"0"	"0"	"1"	"5"	"2"	"199"	"0"	"199"	""	""
"220"	"184"	"47"	"143"	"2"	"4"	"70"	"6"	"9"	"1"	"5"	"4"	"9"	"8"	"13"	"321"	"0"	"321"	""	""
"221"	"185"	"254"	"115"	"6"	"1"	"46"	"2"	"2"	"1"	"1"	"1"	"0"	"2"	"7"	"438"	"0"	"438"	""	""
"222"	"186"	"55"	"84"	"0"	"2"	"13"	"5"	"2"	"0"	"60"	"4"	"5"	"1"	"5"	"236"	"0"	"236"	""	""
"223"	"187"	"53"	"271"	"7"	"3"	"31"	"4"	"4"	"1"	"1"	"1"	"3"	"3"	"4"	"386"	"0"	"386"	""	""
"224"	"188"	"20"	"444"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"466"	"0"	"466"	""	""
"225"	"189"	"20"	"270"	"6"	"0"	"23"	"2"	"1"	"0"	"1"	"2"	"1"	"2"	"1"	"329"	"0"	"329"	""	""
"226"	"190"	"15"	"255"	"4"	"0"	"20"	"1"	"0"	"0"	"3"	"0"	"0"	"1"	"2"	"301"	"0"	"301"	""	""
"227"	"191"	"60"	"179"	"2"	"3"	"64"	"10"	"3"	"2"	"2"	"2"	"5"	"4"	"16"	"352"	"0"	"352"	""	""
"228"	"192"	"12"	"122"	"2"	"1"	"156"	"7"	"5"	"0"	"14"	"5"	"3"	"1"	"4"	"332"	"0"	"332"	""	""
"229"	"193"	"4"	"52"	"0"	"1"	"197"	"14"	"3"	"1"	"3"	"3"	"0"	"2"	"2"	"282"	"0"	"282"	""	""
"230"	"194"	"203"	"80"	"3"	"3"	"44"	"2"	"1"	"2"	"2"	"2"	"3"	"1"	"4"	"350"	"0"	"350"	""	""
"231"	"195"	"181"	"70"	"23"	"0"	"29"	"1"	"2"	"0"	"0"	"0"	"0"	"3"	"1"	"310"	"0"	"310"	""	""
"232"	"196"	"235"	"12"	"0"	"0"	"2"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"253"	"0"	"253"	""	""
"233"	"Round  14"	"23569"	"27430"	"1031"	"348"	"8823"	"657"	"524"	"278"	"424"	"233"	"571"	"611"	"1100"	"65599"	"0"	"65599"	""	""
"234"	"197"	"271"	"7"	"0"	"1"	"19"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"303"	"0"	"303"	""	""
"235"	"198"	"133"	"160"	"4"	"0"	"40"	"3"	"2"	"0"	"0"	"1"	"5"	"2"	"5"	"355"	"0"	"355"	""	""
"236"	"199"	"220"	"63"	"3"	"1"	"30"	"7"	"2"	"3"	"4"	"1"	"5"	"6"	"5"	"350"	"0"	"350"	""	""
"237"	"200"	"35"	"117"	"4"	"6"	"86"	"7"	"6"	"3"	"2"	"1"	"3"	"1"	"4"	"275"	"0"	"275"	""	""
"238"	"201"	"57"	"56"	"4"	"0"	"34"	"1"	"2"	"2"	"0"	"2"	"4"	"0"	"4"	"166"	"0"	"166"	""	""
"239"	"202"	"7"	"120"	"4"	"0"	"50"	"5"	"7"	"3"	"4"	"2"	"4"	"2"	"11"	"219"	"0"	"219"	""	""
"240"	"203"	"66"	"120"	"1"	"2"	"86"	"10"	"5"	"3"	"6"	"2"	"5"	"8"	"13"	"327"	"0"	"327"	""	""
"241"	"204"	"46"	"224"	"0"	"0"	"52"	"2"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"327"	"0"	"327"	""	""
"242"	"205"	"155"	"96"	"38"	"4"	"86"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"384"	"0"	"384"	""	""
"243"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"244"	""	"Dr. Kumar Pushpanjay"	"Jitendra Kumar"	"Suren Das"	"Kiran Devi"	"Mukesh Kumar"	"Krishna Ballabh Prasad Singh"	"Naushad"	"Bhushan Singh"	"Manoj Prasad Singh"	"Vidya Sagar Singh"	"Shailendra Kumar"	"Sanjay Paswan"	"Sudhir Pandey"	""	""	""	""	""
"245"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"2"	"3"	"4"	"5"	"6"
"246"	"206"	"84"	"289"	"1"	"1"	"9"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"388"	"0"	"388"	""	""
"247"	"207"	"19"	"210"	"2"	"1"	"74"	"4"	"1"	"1"	"0"	"2"	"1"	"1"	"4"	"320"	"0"	"320"	""	""
"248"	"208"	"204"	"167"	"7"	"6"	"87"	"17"	"8"	"3"	"6"	"3"	"4"	"7"	"14"	"533"	"0"	"533"	""	""
"249"	"209"	"113"	"158"	"2"	"5"	"112"	"20"	"10"	"7"	"4"	"6"	"11"	"9"	"29"	"486"	"0"	"486"	""	""
"250"	"210"	"120"	"102"	"2"	"3"	"58"	"4"	"1"	"1"	"1"	"1"	"2"	"4"	"14"	"313"	"0"	"313"	""	""
"251"	"Round  15"	"25099"	"29319"	"1103"	"378"	"9646"	"743"	"569"	"305"	"452"	"257"	"616"	"652"	"1206"	"70345"	"0"	"70345"	""	""
"252"	"211"	"280"	"25"	"4"	"0"	"9"	"1"	"0"	"0"	"3"	"0"	"3"	"3"	"35"	"363"	"0"	"363"	""	""
"253"	"212"	"258"	"85"	"1"	"0"	"15"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"1"	"363"	"0"	"363"	""	""
"254"	"213"	"227"	"44"	"2"	"0"	"15"	"2"	"2"	"0"	"2"	"0"	"3"	"2"	"5"	"304"	"0"	"304"	""	""
"255"	"214"	"99"	"75"	"4"	"0"	"48"	"5"	"5"	"1"	"14"	"1"	"3"	"2"	"11"	"268"	"0"	"268"	""	""
"256"	"215"	"28"	"127"	"3"	"1"	"46"	"8"	"3"	"1"	"4"	"2"	"6"	"12"	"11"	"252"	"0"	"252"	""	""
"257"	"216"	"35"	"109"	"0"	"3"	"169"	"3"	"8"	"1"	"4"	"2"	"4"	"4"	"3"	"345"	"0"	"345"	""	""
"258"	"217"	"15"	"606"	"3"	"1"	"28"	"3"	"1"	"0"	"0"	"2"	"0"	"1"	"0"	"660"	"0"	"660"	""	""
"259"	"218"	"192"	"16"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"8"	"220"	"0"	"220"	""	""
"260"	"219"	"333"	"14"	"8"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"21"	"380"	"0"	"380"	""	""
"261"	"220"	"421"	"16"	"4"	"1"	"18"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"5"	"469"	"0"	"469"	""	""
"262"	"221"	"91"	"17"	"1"	"1"	"63"	"5"	"3"	"1"	"2"	"1"	"3"	"4"	"13"	"205"	"0"	"205"	""	""
"263"	"222"	"103"	"74"	"7"	"2"	"7"	"3"	"3"	"3"	"2"	"1"	"3"	"3"	"6"	"217"	"0"	"217"	""	""
"264"	"223"	"76"	"126"	"3"	"2"	"43"	"3"	"0"	"1"	"0"	"1"	"0"	"3"	"1"	"259"	"0"	"259"	""	""
"265"	"224"	"160"	"26"	"4"	"0"	"44"	"8"	"2"	"3"	"0"	"1"	"2"	"2"	"8"	"260"	"0"	"260"	""	""
"266"	"Round  16"	"27417"	"30679"	"1147"	"389"	"10155"	"786"	"596"	"316"	"483"	"272"	"643"	"693"	"1334"	"74910"	"0"	"74910"	""	""
"267"	"225"	"101"	"182"	"2"	"3"	"34"	"4"	"3"	"2"	"1"	"0"	"4"	"1"	"9"	"346"	"0"	"346"	""	""
"268"	"226"	"64"	"80"	"2"	"1"	"70"	"4"	"3"	"1"	"0"	"0"	"0"	"1"	"0"	"226"	"0"	"226"	""	""
"269"	"227"	"53"	"32"	"2"	"0"	"143"	"13"	"6"	"2"	"4"	"3"	"7"	"11"	"24"	"300"	"0"	"300"	""	""
"270"	"228"	"134"	"101"	"4"	"1"	"5"	"4"	"1"	"1"	"3"	"6"	"7"	"4"	"17"	"288"	"0"	"288"	""	""
"271"	"229"	"137"	"60"	"1"	"0"	"19"	"3"	"0"	"0"	"0"	"2"	"2"	"0"	"0"	"224"	"0"	"224"	""	""
"272"	"230"	"144"	"68"	"3"	"3"	"7"	"0"	"3"	"1"	"1"	"2"	"4"	"3"	"13"	"252"	"0"	"252"	""	""
"273"	"231"	"67"	"73"	"0"	"0"	"148"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"290"	"0"	"290"	""	""
"274"	"232"	"23"	"24"	"1"	"3"	"109"	"12"	"11"	"2"	"1"	"0"	"2"	"2"	"9"	"199"	"0"	"199"	""	""
"275"	"233"	"8"	"33"	"2"	"0"	"134"	"7"	"6"	"1"	"0"	"2"	"4"	"2"	"5"	"204"	"0"	"204"	""	""
"276"	"234"	"28"	"55"	"1"	"2"	"64"	"3"	"4"	"1"	"1"	"1"	"1"	"4"	"8"	"173"	"0"	"173"	""	""
"277"	"Round  17"	"28176"	"31387"	"1165"	"402"	"10888"	"837"	"633"	"327"	"494"	"288"	"675"	"721"	"1419"	"77412"	"0"	"77412"	""	""
"278"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"279"	""	"Dr. Kumar Pushpanjay"	"Jitendra Kumar"	"Suren Das"	"Kiran Devi"	"Mukesh Kumar"	"Krishna Ballabh Prasad Singh"	"Naushad"	"Bhushan Singh"	"Manoj Prasad Singh"	"Vidya Sagar Singh"	"Shailendra Kumar"	"Sanjay Paswan"	"Sudhir Pandey"	""	""	""	""	""
"280"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"2"	"3"	"4"	"5"	"6"
"281"	"Total No. of voters recorded on Polling Stations"	"28176"	"31387"	"1165"	"402"	"10888"	"837"	"633"	"327"	"494"	"288"	"675"	"721"	"1419"	"77412"	"0"	"77412"	""	""
"282"	"No. of voters recorded on postal ballot papers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""
"283"	"Total votes polled"	"28436"	"31647"	"1165"	"402"	"10888"	"837"	"633"	"327"	"494"	"288"	"675"	"721"	"1419"	"77412"	"0"	"77412"	""	""
"284"	"Place :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"Date  :                                                                                                                                                                                                                                                                                                             Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
