"izi......20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"6&ykSfj;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 192053"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ernku    dsUnz la0"	"iznhi flag"	"eksgEen tkosn"	"fo'o     eksgu 'kekZ"	"'kEHkw frokjh"	"fou; fcgkjh"	"vt; ;kno"	"fnus'k lkg"	"egEen xkth"	"j.k       fot; 'kkgh"	"fot; dqekj"	"lqnkek cSBk"	"oS|   erksa   dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr
eri=ksa      dh la[;k"	""
"175"	";ksx"	"1071"	"82"	"885"	"1392"	"4377"	"87"	"109"	"879"	"108"	"42"	"147"	"9179"	"0"	"9179"	"0"	""
"176"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"6&ykSfj;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 192053"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"ernku    dsUnz la0"	"iznhi flag"	"eksgEen tkosn"	"fo'o     eksgu 'kekZ"	"'kEHkw frokjh"	"fou; fcgkjh"	"vt; ;kno"	"fnus'k lkg"	"egEen xkth"	"j.k       fot; 'kkgh"	"fot; dqekj"	"lqnkek cSBk"	"oS|   erksa   dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr
eri=ksa      dh la[;k"	""
"182"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"183"	"113"	"67"	"2"	"62"	"25"	"208"	"9"	"5"	"360"	"6"	"7"	"10"	"761"	"0"	"761"	"0"	""
"184"	"114"	"132"	"4"	"56"	"70"	"126"	"4"	"11"	"24"	"3"	"8"	"21"	"459"	"0"	"459"	"0"	""
"185"	"115"	"199"	"8"	"64"	"92"	"53"	"2"	"3"	"4"	"2"	"1"	"2"	"430"	"0"	"430"	"0"	""
"186"	"116"	"299"	"13"	"63"	"41"	"50"	"7"	"11"	"203"	"16"	"6"	"23"	"732"	"0"	"732"	"0"	""
"187"	"117"	"373"	"12"	"31"	"101"	"74"	"7"	"6"	"6"	"12"	"11"	"17"	"650"	"0"	"650"	"0"	""
"188"	"118"	"217"	"11"	"13"	"21"	"98"	"1"	"14"	"79"	"20"	"7"	"22"	"503"	"0"	"503"	"0"	""
"189"	"119"	"39"	"5"	"72"	"25"	"108"	"12"	"12"	"43"	"22"	"5"	"15"	"358"	"0"	"358"	"0"	""
"190"	"120"	"168"	"4"	"152"	"85"	"51"	"2"	"10"	"8"	"12"	"1"	"2"	"495"	"0"	"495"	"0"	""
"191"	"121"	"228"	"10"	"211"	"86"	"34"	"6"	"12"	"15"	"13"	"15"	"33"	"663"	"0"	"663"	"0"	""
"192"	"122"	"253"	"10"	"20"	"14"	"26"	"3"	"8"	"157"	"5"	"5"	"6"	"507"	"0"	"507"	"0"	""
"193"	"123"	"13"	"3"	"33"	"42"	"393"	"3"	"4"	"11"	"0"	"0"	"1"	"503"	"0"	"503"	"0"	""
"194"	"124"	"9"	"3"	"88"	"109"	"159"	"14"	"7"	"3"	"3"	"6"	"5"	"406"	"0"	"406"	"0"	""
"195"	"125"	"84"	"7"	"26"	"107"	"105"	"2"	"3"	"6"	"4"	"3"	"3"	"350"	"0"	"350"	"0"	""
"196"	"126"	"26"	"6"	"167"	"165"	"168"	"4"	"5"	"8"	"1"	"2"	"8"	"560"	"0"	"560"	"0"	""
"197"	";ksx"	"2107"	"98"	"1058"	"983"	"1653"	"76"	"111"	"927"	"119"	"77"	"168"	"7377"	"0"	"7377"	"0"	""
"198"	"9                                                                                                                 fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"6&ykSfj;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 192053"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"ernku    dsUnz la0"	"iznhi flag"	"eksgEen tkosn"	"fo'o     eksgu 'kekZ"	"'kEHkw frokjh"	"fou; fcgkjh"	"vt; ;kno"	"fnus'k lkg"	"egEen xkth"	"j.k       fot; 'kkgh"	"fot; dqekj"	"lqnkek cSBk"	"oS|   erksa   dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr
eri=ksa      dh la[;k"	""
"205"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"206"	"127"	"24"	"5"	"96"	"98"	"218"	"6"	"6"	"6"	"3"	"8"	"7"	"477"	"0"	"477"	"0"	""
"207"	"128"	"42"	"4"	"170"	"147"	"196"	"11"	"5"	"3"	"7"	"11"	"12"	"608"	"0"	"608"	"0"	""
"208"	"129"	"55"	"7"	"170"	"75"	"175"	"2"	"4"	"18"	"2"	"1"	"5"	"514"	"0"	"514"	"0"	""
"209"	"130"	"61"	"8"	"156"	"29"	"266"	"6"	"10"	"32"	"8"	"9"	"12"	"597"	"0"	"597"	"0"	""
"210"	"131"	"40"	"5"	"83"	"117"	"240"	"7"	"4"	"33"	"11"	"4"	"16"	"560"	"0"	"560"	"0"	""
"211"	"132"	"250"	"7"	"99"	"23"	"72"	"8"	"4"	"6"	"2"	"6"	"13"	"490"	"0"	"490"	"0"	""
"212"	"133"	"38"	"6"	"19"	"37"	"276"	"10"	"12"	"111"	"10"	"11"	"9"	"539"	"0"	"539"	"0"	""
"213"	"134"	"212"	"6"	"60"	"5"	"86"	"2"	"15"	"23"	"2"	"4"	"3"	"418"	"0"	"418"	"0"	""
"214"	"135"	"153"	"9"	"77"	"136"	"92"	"7"	"8"	"6"	"2"	"3"	"10"	"503"	"0"	"503"	"0"	""
"215"	"136"	"84"	"4"	"29"	"57"	"227"	"10"	"14"	"11"	"2"	"9"	"6"	"453"	"0"	"453"	"0"	""
"216"	"137"	"83"	"7"	"89"	"58"	"107"	"5"	"7"	"4"	"1"	"3"	"3"	"367"	"0"	"367"	"0"	""
"217"	"138"	"77"	"1"	"24"	"27"	"51"	"4"	"15"	"36"	"8"	"12"	"20"	"275"	"0"	"275"	"0"	""
"218"	"139"	"182"	"4"	"30"	"67"	"68"	"2"	"6"	"36"	"1"	"2"	"7"	"405"	"0"	"405"	"0"	""
"219"	"140"	"71"	"6"	"19"	"23"	"184"	"8"	"11"	"192"	"7"	"8"	"11"	"540"	"0"	"540"	"0"	""
"220"	";ksx"	"1372"	"79"	"1121"	"899"	"2258"	"88"	"121"	"517"	"66"	"91"	"134"	"6746"	"0"	"6746"	"0"	""
"221"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"6&ykSfj;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 192053"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"ernku    dsUnz la0"	"iznhi flag"	"eksgEen tkosn"	"fo'o     eksgu 'kekZ"	"'kEHkw frokjh"	"fou; fcgkjh"	"vt; ;kno"	"fnus'k lkg"	"egEen xkth"	"j.k       fot; 'kkgh"	"fot; dqekj"	"lqnkek cSBk"	"oS|   erksa   dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr
eri=ksa      dh la[;k"	""
"227"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"228"	"141"	"118"	"12"	"22"	"86"	"232"	"8"	"6"	"11"	"12"	"6"	"7"	"520"	"0"	"520"	"0"	""
"229"	"142"	"92"	"14"	"29"	"118"	"245"	"7"	"9"	"5"	"4"	"10"	"5"	"538"	"0"	"538"	"0"	""
"230"	"143"	"277"	"11"	"166"	"38"	"125"	"6"	"23"	"56"	"16"	"19"	"45"	"782"	"0"	"782"	"0"	""
"231"	"144"	"114"	"11"	"18"	"134"	"129"	"8"	"12"	"315"	"14"	"2"	"8"	"765"	"0"	"765"	"0"	""
"232"	"145"	"70"	"0"	"27"	"9"	"33"	"5"	"8"	"394"	"4"	"3"	"8"	"561"	"0"	"561"	"0"	""
"233"	"146"	"156"	"3"	"53"	"211"	"120"	"7"	"2"	"21"	"3"	"7"	"15"	"598"	"0"	"598"	"0"	""
"234"	"147"	"147"	"6"	"31"	"82"	"119"	"13"	"14"	"18"	"1"	"10"	"8"	"449"	"0"	"449"	"0"	""
"235"	"148"	"9"	"2"	"24"	"15"	"575"	"14"	"10"	"10"	"6"	"3"	"8"	"676"	"0"	"676"	"0"	""
"236"	"149"	"22"	"2"	"10"	"19"	"551"	"15"	"14"	"15"	"15"	"4"	"19"	"686"	"0"	"686"	"0"	""
"237"	"150"	"17"	"0"	"12"	"5"	"275"	"7"	"1"	"6"	"76"	"0"	"0"	"399"	"0"	"399"	"0"	""
"238"	"151"	"92"	"2"	"34"	"85"	"309"	"10"	"10"	"22"	"17"	"6"	"8"	"595"	"0"	"595"	"0"	""
"239"	"152"	"145"	"9"	"27"	"110"	"309"	"4"	"9"	"29"	"3"	"5"	"4"	"654"	"0"	"654"	"0"	""
"240"	"153"	"151"	"10"	"34"	"98"	"157"	"12"	"9"	"46"	"7"	"9"	"6"	"539"	"0"	"539"	"0"	""
"241"	"154"	"39"	"12"	"167"	"130"	"357"	"12"	"5"	"13"	"2"	"4"	"28"	"769"	"0"	"769"	"0"	""
"242"	";ksx"	"1449"	"94"	"654"	"1140"	"3536"	"128"	"132"	"961"	"180"	"88"	"169"	"8531"	"0"	"8531"	"0"	""
"243"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"6&ykSfj;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 192053"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"ernku    dsUnz la0"	"iznhi flag"	"eksgEen tkosn"	"fo'o     eksgu 'kekZ"	"'kEHkw frokjh"	"fou; fcgkjh"	"vt; ;kno"	"fnus'k lkg"	"egEen xkth"	"j.k       fot; 'kkgh"	"fot; dqekj"	"lqnkek cSBk"	"oS|   erksa   dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr
eri=ksa      dh la[;k"	""
"249"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"250"	"155"	"69"	"7"	"12"	"33"	"231"	"6"	"4"	"137"	"11"	"1"	"1"	"512"	"0"	"512"	"0"	""
"251"	"156"	"2"	"1"	"7"	"9"	"107"	"6"	"5"	"249"	"40"	"3"	"8"	"437"	"0"	"437"	"0"	""
"252"	"157"	"99"	"7"	"61"	"230"	"136"	"6"	"12"	"99"	"14"	"7"	"2"	"673"	"0"	"673"	"0"	""
"253"	"158"	"20"	"0"	"11"	"8"	"130"	"6"	"9"	"271"	"20"	"3"	"5"	"483"	"0"	"483"	"0"	""
"254"	"159"	"29"	"4"	"10"	"49"	"174"	"7"	"5"	"133"	"3"	"0"	"1"	"415"	"0"	"415"	"0"	""
"255"	"160"	"136"	"3"	"19"	"65"	"220"	"9"	"19"	"88"	"18"	"9"	"9"	"595"	"0"	"595"	"0"	""
"256"	"161"	"40"	"1"	"7"	"57"	"91"	"3"	"8"	"41"	"8"	"3"	"4"	"263"	"0"	"263"	"0"	""
"257"	"162"	"151"	"9"	"59"	"50"	"95"	"21"	"13"	"23"	"19"	"6"	"12"	"458"	"0"	"458"	"0"	""
"258"	"163"	"9"	"2"	"22"	"135"	"82"	"53"	"2"	"5"	"16"	"0"	"2"	"328"	"0"	"328"	"0"	""
"259"	"164"	"149"	"9"	"51"	"11"	"93"	"3"	"9"	"32"	"4"	"5"	"9"	"375"	"0"	"375"	"0"	""
"260"	"165"	"110"	"4"	"125"	"34"	"272"	"9"	"6"	"6"	"2"	"6"	"9"	"583"	"0"	"583"	"0"	""
"261"	"166"	"50"	"2"	"62"	"7"	"308"	"8"	"7"	"59"	"47"	"7"	"35"	"592"	"0"	"592"	"0"	""
"262"	"167"	"14"	"1"	"41"	"18"	"30"	"266"	"5"	"1"	"3"	"6"	"2"	"387"	"0"	"387"	"0"	""
"263"	"168"	"44"	"1"	"28"	"6"	"102"	"16"	"7"	"12"	"8"	"4"	"3"	"231"	"0"	"231"	"0"	""
"264"	";ksx"	"922"	"51"	"515"	"712"	"2071"	"419"	"111"	"1156"	"213"	"60"	"102"	"6332"	"0"	"6332"	"0"	""
"265"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"6&ykSfj;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 192053"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"270"	"ernku    dsUnz la0"	"iznhi flag"	"eksgEen tkosn"	"fo'o     eksgu 'kekZ"	"'kEHkw frokjh"	"fou; fcgkjh"	"vt; ;kno"	"fnus'k lkg"	"egEen xkth"	"j.k       fot; 'kkgh"	"fot; dqekj"	"lqnkek cSBk"	"oS|   erksa   dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr
eri=ksa      dh la[;k"	""
"271"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"272"	"169"	"41"	"5"	"33"	"18"	"249"	"7"	"2"	"23"	"16"	"1"	"5"	"400"	"0"	"400"	"0"	""
"273"	"170"	"172"	"7"	"73"	"59"	"82"	"4"	"6"	"72"	"3"	"5"	"8"	"491"	"0"	"491"	"0"	""
"274"	"171"	"166"	"2"	"24"	"29"	"106"	"2"	"7"	"15"	"7"	"4"	"1"	"363"	"0"	"363"	"0"	""
"275"	"172"	"277"	"7"	"16"	"104"	"46"	"2"	"23"	"14"	"3"	"6"	"18"	"516"	"0"	"516"	"0"	""
"276"	"173"	"351"	"22"	"34"	"59"	"89"	"5"	"24"	"53"	"12"	"13"	"18"	"680"	"0"	"680"	"0"	""
"277"	"174"	"80"	"1"	"62"	"32"	"15"	"3"	"0"	"79"	"8"	"2"	"4"	"286"	"0"	"286"	"0"	""
"278"	"175"	"158"	"8"	"121"	"47"	"130"	"12"	"22"	"249"	"19"	"9"	"26"	"801"	"0"	"801"	"0"	""
"279"	"176"	"164"	"9"	"40"	"128"	"45"	"7"	"20"	"199"	"8"	"5"	"11"	"636"	"0"	"636"	"0"	""
"280"	"177"	"122"	"3"	"61"	"7"	"56"	"3"	"5"	"88"	"3"	"2"	"6"	"356"	"0"	"356"	"0"	""
"281"	"178"	"67"	"3"	"9"	"11"	"98"	"4"	"5"	"178"	"22"	"2"	"1"	"400"	"0"	"400"	"0"	""
"282"	";ksx"	"1598"	"67"	"473"	"494"	"916"	"49"	"114"	"970"	"101"	"49"	"98"	"4929"	"0"	"4929"	"0"	""
"283"	"fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"284"	"6&ykSfj;k fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"6&ykSfj;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 192053"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"ernku    dsUnz la0"	"iznhi flag"	"eksgEen tkosn"	"fo'o     eksgu 'kekZ"	"'kEHkw frokjh"	"fou; fcgkjh"	"vt; ;kno"	"fnus'k lkg"	"egEen xkth"	"j.k       fot; 'kkgh"	"fot; dqekj"	"lqnkek cSBk"	"oS|   erksa   dk
;ksx"	"vLohd`r  erksa dk ;ksx"	";ksx"	"fufonr
eri=ksa      dh la[;k"	""
"291"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"292"	"dqy ;ksx"	"21775"	"2931"	"12271"	"21721"	"17909"	"1269"	"1514"	"11411"	"2379"	"1092"	"1538"	"95810"	"0"	"95810"	"0"	""
"293"	"Mkd eri="	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"294"	"dqy ;ksx"	"21775"	"2931"	"12271"	"21721"	"17909"	"1269"	"1514"	"11411"	"2379"	"1092"	"1538"	"95810"	"0"	"95810"	"0"	""
"295"	"fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"296"	"6&ykSfj;k fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
