"Total.No..of.Electors.in.Assembly.Constituency......188947"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"154"	"138"	"138"	"6"	"11"	"0"	"10"	"218"	"10"	"1"	"8"	"2"	"0"	"109"	"1"	"1"	"5"	"10"	"392"	"0"	"392"	""
"155"	"139"	"139"	"88"	"26"	"6"	"26"	"194"	"33"	"10"	"4"	"6"	"11"	"102"	"10"	"9"	"9"	"35"	"569"	"0"	"569"	""
"156"	"140"	"140"	"72"	"2"	"8"	"2"	"348"	"26"	"3"	"0"	"3"	"2"	"18"	"3"	"3"	"4"	"7"	"501"	"0"	"501"	""
"157"	"141"	"141"	"83"	"9"	"42"	"8"	"264"	"6"	"3"	"3"	"0"	"5"	"56"	"4"	"4"	"5"	"18"	"510"	"0"	"510"	""
"158"	"142"	"142"	"72"	"18"	"19"	"46"	"189"	"60"	"18"	"15"	"18"	"26"	"173"	"10"	"13"	"15"	"33"	"725"	"0"	"725"	""
"159"	"143"	"143"	"12"	"33"	"3"	"12"	"101"	"101"	"3"	"1"	"2"	"15"	"131"	"10"	"3"	"15"	"10"	"452"	"0"	"452"	""
"160"	"144"	"144"	"29"	"79"	"9"	"10"	"85"	"102"	"10"	"8"	"5"	"4"	"84"	"3"	"2"	"12"	"12"	"454"	"0"	"454"	""
"161"	"145"	"145"	"113"	"10"	"1"	"4"	"92"	"0"	"2"	"2"	"1"	"2"	"51"	"3"	"0"	"0"	"4"	"285"	"0"	"285"	""
"162"	"146"	"146"	"44"	"15"	"2"	"22"	"141"	"13"	"1"	"12"	"3"	"5"	"171"	"3"	"4"	"7"	"26"	"469"	"0"	"469"	""
"163"	"147"	"147"	"48"	"86"	"3"	"13"	"61"	"7"	"0"	"3"	"2"	"1"	"46"	"4"	"1"	"3"	"6"	"284"	"0"	"284"	""
"164"	"148"	"148"	"45"	"148"	"4"	"20"	"23"	"8"	"0"	"4"	"1"	"4"	"27"	"1"	"0"	"8"	"11"	"304"	"0"	"304"	""
"165"	"149"	"149"	"27"	"366"	"5"	"8"	"51"	"7"	"5"	"7"	"69"	"1"	"3"	"5"	"5"	"8"	"7"	"574"	"0"	"574"	""
"166"	"150"	"150"	"9"	"49"	"4"	"11"	"33"	"45"	"6"	"4"	"23"	"5"	"126"	"7"	"5"	"12"	"21"	"360"	"0"	"360"	""
"167"	"151"	"151"	"14"	"32"	"1"	"5"	"41"	"36"	"0"	"3"	"5"	"4"	"101"	"5"	"14"	"4"	"15"	"280"	"0"	"280"	""
"168"	"152"	"152"	"7"	"25"	"3"	"11"	"58"	"25"	"6"	"5"	"32"	"16"	"344"	"6"	"5"	"16"	"36"	"595"	"0"	"595"	""
"169"	"153"	"153"	"25"	"55"	"4"	"11"	"99"	"28"	"2"	"6"	"5"	"6"	"100"	"19"	"6"	"22"	"37"	"425"	"0"	"425"	""
"170"	"154"	"154"	"8"	"44"	"2"	"26"	"48"	"15"	"2"	"2"	"4"	"6"	"192"	"11"	"4"	"14"	"27"	"405"	"0"	"405"	""
"171"	"155"	"155"	"26"	"40"	"4"	"7"	"62"	"8"	"0"	"2"	"1"	"2"	"182"	"0"	"1"	"2"	"12"	"349"	"0"	"349"	""
"172"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"173"	""	""	"Ambar Imam Hashmi"	"Uma Kant Choudhar y"	"Mansur Alam"	"Lalan Choudhar y"	"Hari Nandan Yadav"	"Jagannat h Singh"	"Jhingur Sahu"	"Nilambar Jha"	"Ram Nandan Bhagat"	"Vipin Kumar Rai"	"Umadhar Prasad Singh"	"Ghanshy am Prasad"	"Mahendra Yadav"	"Raj Kumar Ram"	"Lakshmi Giri"	""	""	""	""
"174"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"175"	"156"	"156"	"86"	"32"	"7"	"12"	"46"	"22"	"144"	"17"	"5"	"21"	"32"	"15"	"9"	"16"	"30"	"494"	"0"	"494"	""
"176"	"157"	"157"	"58"	"323"	"5"	"34"	"12"	"15"	"2"	"3"	"7"	"0"	"3"	"17"	"2"	"3"	"6"	"490"	"0"	"490"	""
"177"	"158"	"158"	"35"	"263"	"14"	"28"	"5"	"3"	"2"	"1"	"0"	"0"	"8"	"2"	"1"	"3"	"12"	"377"	"0"	"377"	""
"178"	"159"	"159"	"104"	"56"	"8"	"25"	"57"	"55"	"18"	"1"	"23"	"11"	"28"	"40"	"11"	"10"	"21"	"468"	"0"	"468"	""
"179"	"160"	"160"	"20"	"6"	"7"	"110"	"157"	"15"	"10"	"6"	"12"	"3"	"21"	"6"	"0"	"3"	"6"	"382"	"0"	"382"	""
"180"	"161"	"161"	"28"	"10"	"8"	"31"	"59"	"9"	"8"	"13"	"9"	"3"	"100"	"5"	"2"	"3"	"2"	"290"	"0"	"290"	""
"181"	"162"	"162"	"11"	"18"	"1"	"8"	"182"	"21"	"2"	"1"	"3"	"4"	"43"	"8"	"6"	"3"	"26"	"337"	"0"	"337"	""
"182"	"163"	"163"	"13"	"3"	"3"	"8"	"253"	"10"	"7"	"2"	"2"	"1"	"5"	"0"	"2"	"3"	"7"	"319"	"0"	"319"	""
"183"	"164"	"164"	"34"	"27"	"4"	"14"	"27"	"4"	"1"	"5"	"2"	"8"	"184"	"3"	"5"	"9"	"33"	"360"	"0"	"360"	""
"184"	"165"	"165"	"10"	"4"	"1"	"7"	"57"	"4"	"0"	"3"	"4"	"9"	"210"	"6"	"6"	"8"	"58"	"387"	"0"	"387"	""
"185"	"166"	"166"	"6"	"9"	"0"	"30"	"58"	"8"	"1"	"3"	"6"	"1"	"126"	"5"	"0"	"1"	"6"	"260"	"0"	"260"	""
"186"	"167"	"167"	"19"	"22"	"5"	"73"	"72"	"6"	"4"	"11"	"20"	"10"	"176"	"13"	"5"	"17"	"45"	"498"	"0"	"498"	""
"187"	"168"	"168"	"11"	"109"	"0"	"113"	"91"	"18"	"4"	"14"	"5"	"3"	"181"	"12"	"6"	"8"	"15"	"590"	"0"	"590"	""
"188"	"169"	"169"	"10"	"183"	"3"	"36"	"27"	"2"	"0"	"5"	"1"	"0"	"79"	"2"	"2"	"0"	"5"	"355"	"0"	"355"	""
"189"	"170"	"170"	"17"	"296"	"7"	"152"	"40"	"8"	"2"	"26"	"12"	"2"	"11"	"24"	"3"	"6"	"12"	"618"	"0"	"618"	""
"190"	"171"	"171"	"19"	"204"	"5"	"270"	"34"	"3"	"0"	"20"	"3"	"0"	"40"	"5"	"2"	"2"	"8"	"615"	"0"	"615"	""
"191"	"Total No. of votes"	""	"9421"	"17198"	"805"	"3120"	"23737"	"2448"	"1077"	"898"	"1828"	"721"	"14215"	"1112"	"519"	"1065"	"2643"	"80807"	"0"	"80807"	""
"192"	"No. of votes recorded"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	""
"193"	"Total votes polled"	""	"9421"	"17198"	"805"	"3120"	"23737"	"2448"	"1077"	"898"	"1828"	"721"	"14215"	"1112"	"519"	"1065"	"2643"	"80807"	"0"	"80807"	""
"194"	"Date - 27.2.2005                                                                                                                                                                                                  Returning Officer,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"92- Hayaghat"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
