"Total.No..of.Electors.in.Assembly.Constituency....218467"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"175"	""	""	"ASHARFI SADAY"	"JAGAT NARAYAN SINGH"	"MAHAVIR PRASAD MAHTO"	"RAM PR. YADAV"	"SHOBHENDRA KUMAR"	"SANTOSH KUMAR JHA"	"ASHOK KUMAR MANDAL"	"GULAB YADAV"	"DIVAKER PRASAD YADAV"	"YOGNATH MANDAL"	"ROOP NARAYAN JHA"	"VIJAY KUMAR JHA"	""	""	""	""	""
"176"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""	""
"177"	"1"	"99"	"28"	"63"	"19"	"1"	"2"	"20"	"5"	"2"	"12"	"1"	"374"	"7"	""	"534"	""	""	""
"178"	"2"	"100"	"3"	"14"	"13"	"1"	"0"	"34"	"0"	"2"	"8"	"4"	"166"	"8"	""	"253"	""	""	""
"179"	"3"	"101"	"90"	"163"	"17"	"1"	"11"	"29"	"7"	"12"	"25"	"9"	"127"	"40"	""	"531"	""	""	""
"180"	"4"	"102"	"43"	"32"	"26"	"7"	"2"	"60"	"5"	"11"	"10"	"6"	"181"	"21"	""	"404"	""	""	""
"181"	"5"	"103"	"2"	"55"	"2"	"0"	"0"	"28"	"1"	"16"	"3"	"3"	"284"	"7"	""	"401"	""	""	""
"182"	"6"	"104"	"9"	"53"	"97"	"5"	"8"	"14"	"2"	"9"	"6"	"4"	"197"	"28"	""	"432"	""	""	""
"183"	"7"	"105"	"6"	"28"	"363"	"6"	"1"	"25"	"2"	"15"	"15"	"10"	"87"	"16"	""	"574"	""	""	""
"184"	"8"	"106"	"10"	"84"	"43"	"9"	"1"	"36"	"3"	"5"	"8"	"7"	"81"	"12"	""	"299"	""	""	""
"185"	"9"	"107"	"7"	"10"	"10"	"1"	"1"	"16"	"1"	"3"	"4"	"6"	"218"	"16"	""	"293"	""	""	""
"186"	"10"	"108"	"42"	"92"	"204"	"11"	"9"	"4"	"6"	"12"	"13"	"4"	"11"	"2"	""	"410"	""	""	""
"187"	"11"	"109"	"2"	"9"	"129"	"7"	"2"	"3"	"1"	"4"	"4"	"4"	"13"	"1"	""	"179"	""	""	""
"188"	"12"	"110"	"35"	"231"	"106"	"6"	"8"	"23"	"7"	"14"	"11"	"10"	"50"	"23"	""	"524"	""	""	""
"189"	"13"	"111"	"10"	"282"	"11"	"2"	"2"	"18"	"0"	"1"	"6"	"2"	"12"	"5"	""	"351"	""	""	""
"190"	"14"	"112"	"60"	"147"	"12"	"7"	"10"	"19"	"5"	"5"	"8"	"5"	"79"	"14"	""	"371"	""	""	""
"191"	""	"Total Round 8"	"347"	"1263"	"1052"	"64"	"57"	"329"	"45"	"111"	"133"	"75"	"1880"	"200"	"0"	"5556"	"0"	""	""
"192"	"Total No. of Electors in Assembly Constituency :- 218467"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 83  MADHEPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"Table No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"No. of Rejected Votes"	"Total Votes"	"No. of Tendered Votes"	"Initial of RO"	"Initial of OBS"
"199"	""	""	"ASHARFI SADAY"	"JAGAT NARAYAN SINGH"	"MAHAVIR PRASAD MAHTO"	"RAM PR. YADAV"	"SHOBHENDRA KUMAR"	"SANTOSH KUMAR JHA"	"ASHOK KUMAR MANDAL"	"GULAB YADAV"	"DIVAKER PRASAD YADAV"	"YOGNATH MANDAL"	"ROOP NARAYAN JHA"	"VIJAY KUMAR JHA"	""	""	""	""	""
"200"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""	""
"201"	"1"	"113"	"5"	"36"	"140"	"3"	"0"	"7"	"1"	"7"	"3"	"2"	"50"	"7"	""	"261"	""	""	""
"202"	"2"	"114"	"17"	"35"	"179"	"6"	"5"	"45"	"6"	"14"	"13"	"7"	"67"	"25"	""	"419"	""	""	""
"203"	"3"	"115"	"6"	"59"	"76"	"3"	"5"	"45"	"7"	"9"	"9"	"6"	"176"	"9"	""	"410"	""	""	""
"204"	"4"	"116"	"10"	"82"	"158"	"6"	"4"	"35"	"4"	"16"	"21"	"7"	"89"	"16"	""	"448"	""	""	""
"205"	"5"	"117"	"7"	"75"	"188"	"1"	"0"	"36"	"6"	"7"	"18"	"4"	"82"	"21"	""	"445"	""	""	""
"206"	"6"	"118"	"57"	"63"	"73"	"4"	"6"	"44"	"6"	"5"	"13"	"3"	"67"	"12"	""	"353"	""	""	""
"207"	"7"	"119"	"15"	"77"	"137"	"4"	"4"	"35"	"3"	"6"	"6"	"2"	"212"	"29"	""	"530"	""	""	""
"208"	"8"	"120"	"9"	"62"	"88"	"2"	"1"	"38"	"4"	"10"	"35"	"8"	"296"	"13"	""	"566"	""	""	""
"209"	"9"	"121"	"4"	"79"	"35"	"3"	"3"	"92"	"6"	"3"	"11"	"4"	"74"	"2"	""	"316"	""	""	""
"210"	"10"	"122"	"22"	"57"	"19"	"11"	"4"	"97"	"11"	"26"	"50"	"23"	"184"	"64"	""	"568"	""	""	""
"211"	"11"	"123"	"108"	"158"	"69"	"3"	"7"	"27"	"8"	"27"	"2"	"1"	"16"	"9"	""	"435"	""	""	""
"212"	"12"	"124"	"28"	"138"	"286"	"8"	"5"	"13"	"5"	"28"	"10"	"4"	"32"	"25"	""	"582"	""	""	""
"213"	"13"	"125"	"13"	"59"	"34"	"3"	"1"	"17"	"5"	"14"	"38"	"7"	"233"	"12"	""	"436"	""	""	""
"214"	"14"	"126"	"6"	"57"	"24"	"3"	"1"	"31"	"0"	"4"	"2"	"4"	"166"	"9"	""	"307"	""	""	""
"215"	""	"Total Round 9"	"307"	"1037"	"1506"	"60"	"46"	"562"	"72"	"176"	"231"	"82"	"1744"	"253"	"0"	"6076"	"0"	""	""
"216"	"Total No. of Electors in Assembly Constituency :- 218467"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 83  MADHEPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"Table No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"No. of Rejected Votes"	"Total Votes"	"No. of Tendered Votes"	"Initial of RO"	"Initial of OBS"
"223"	""	""	"ASHARFI SADAY"	"JAGAT NARAYAN SINGH"	"MAHAVIR PRASAD MAHTO"	"RAM PR. YADAV"	"SHOBHENDRA KUMAR"	"SANTOSH KUMAR JHA"	"ASHOK KUMAR MANDAL"	"GULAB YADAV"	"DIVAKER PRASAD YADAV"	"YOGNATH MANDAL"	"ROOP NARAYAN JHA"	"VIJAY KUMAR JHA"	""	""	""	""	""
"224"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""	""
"225"	"1"	"127"	"14"	"59"	"58"	"6"	"1"	"26"	"5"	"16"	"28"	"5"	"252"	"12"	""	"482"	""	""	""
"226"	"2"	"128"	"28"	"171"	"53"	"4"	"5"	"21"	"4"	"9"	"13"	"9"	"70"	"16"	""	"403"	""	""	""
"227"	"3"	"129"	"24"	"160"	"28"	"1"	"5"	"41"	"9"	"7"	"9"	"6"	"132"	"22"	""	"444"	""	""	""
"228"	"4"	"130"	"7"	"142"	"60"	"11"	"15"	"23"	"6"	"8"	"4"	"7"	"61"	"21"	""	"365"	""	""	""
"229"	"5"	"131"	"13"	"12"	"210"	"6"	"1"	"28"	"3"	"6"	"7"	"9"	"147"	"38"	""	"480"	""	""	""
"230"	"6"	"132"	"24"	"259"	"72"	"8"	"24"	"76"	"8"	"19"	"18"	"7"	"82"	"27"	""	"624"	""	""	""
"231"	"7"	"133"	"36"	"81"	"136"	"3"	"6"	"53"	"7"	"11"	"68"	"5"	"127"	"15"	""	"548"	""	""	""
"232"	"8"	"134"	"16"	"168"	"85"	"2"	"5"	"19"	"5"	"8"	"11"	"9"	"116"	"26"	""	"470"	""	""	""
"233"	"9"	"135"	"28"	"85"	"23"	"3"	"3"	"84"	"4"	"4"	"4"	"5"	"147"	"6"	""	"396"	""	""	""
"234"	"10"	"136"	"44"	"48"	"13"	"2"	"11"	"39"	"8"	"6"	"15"	"10"	"98"	"17"	""	"311"	""	""	""
"235"	"11"	"137"	"27"	"43"	"25"	"3"	"14"	"7"	"5"	"27"	"28"	"5"	"156"	"20"	""	"360"	""	""	""
"236"	"12"	"138"	"17"	"90"	"119"	"7"	"4"	"16"	"9"	"14"	"65"	"16"	"102"	"26"	""	"485"	""	""	""
"237"	"13"	"139"	"16"	"38"	"108"	"5"	"5"	"31"	"8"	"15"	"31"	"10"	"134"	"53"	""	"454"	""	""	""
"238"	"14"	"140"	"21"	"48"	"41"	"3"	"0"	"11"	"3"	"4"	"6"	"9"	"181"	"22"	""	"349"	""	""	""
"239"	""	"Total Round
10"	"315"	"1404"	"1031"	"64"	"99"	"475"	"84"	"154"	"307"	"112"	"1805"	"321"	"0"	"6171"	"0"	""	""
"240"	"Total No. of Electors in Assembly Constituency :- 218467"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 83  MADHEPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"Table No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"No. of Rejected Votes"	"Total Votes"	"No. of Tendered Votes"	"Initial of RO"	"Initial of OBS"
"247"	""	""	"ASHARFI SADAY"	"JAGAT NARAYAN SINGH"	"MAHAVIR PRASAD MAHTO"	"RAM PR. YADAV"	"SHOBHENDRA KUMAR"	"SANTOSH KUMAR JHA"	"ASHOK KUMAR MANDAL"	"GULAB YADAV"	"DIVAKER PRASAD YADAV"	"YOGNATH MANDAL"	"ROOP NARAYAN JHA"	"VIJAY KUMAR JHA"	""	""	""	""	""
"248"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""	""
"249"	"1"	"141"	"60"	"102"	"67"	"5"	"7"	"11"	"2"	"6"	"8"	"4"	"70"	"12"	""	"354"	""	""	""
"250"	"2"	"142"	"61"	"109"	"140"	"6"	"5"	"11"	"5"	"2"	"6"	"2"	"50"	"7"	""	"404"	""	""	""
"251"	"3"	"143"	"9"	"65"	"62"	"1"	"2"	"15"	"3"	"10"	"15"	"7"	"99"	"28"	""	"316"	""	""	""
"252"	"4"	"144"	"11"	"106"	"101"	"8"	"5"	"26"	"13"	"16"	"18"	"7"	"68"	"11"	""	"390"	""	""	""
"253"	"5"	"145"	"12"	"108"	"59"	"3"	"1"	"7"	"4"	"6"	"12"	"6"	"237"	"15"	""	"470"	""	""	""
"254"	"6"	"146"	"1"	"6"	"127"	"3"	"1"	"12"	"0"	"2"	"0"	"0"	"134"	"4"	""	"290"	""	""	""
"255"	"7"	"147"	"20"	"119"	"46"	"5"	"6"	"6"	"2"	"1"	"4"	"8"	"140"	"18"	""	"375"	""	""	""
"256"	"8"	"148"	"28"	"77"	"60"	"6"	"5"	"11"	"4"	"10"	"8"	"1"	"103"	"12"	""	"325"	""	""	""
"257"	"9"	"149"	"18"	"146"	"29"	"6"	"27"	"5"	"2"	"9"	"305"	"0"	"31"	"2"	""	"580"	""	""	""
"258"	"10"	"150"	"87"	"83"	"20"	"10"	"6"	"151"	"14"	"5"	"20"	"9"	"37"	"11"	""	"453"	""	""	""
"259"	"11"	"151"	"41"	"52"	"15"	"4"	"3"	"25"	"0"	"9"	"58"	"9"	"186"	"8"	""	"410"	""	""	""
"260"	"12"	"152"	"54"	"108"	"28"	"6"	"5"	"36"	"11"	"5"	"12"	"5"	"242"	"14"	""	"526"	""	""	""
"261"	"13"	"153"	"13"	"91"	"11"	"1"	"2"	"8"	"1"	"4"	"3"	"3"	"267"	"1"	""	"405"	""	""	""
"262"	"14"	"154"	"6"	"19"	"41"	"4"	"2"	"70"	"5"	"6"	"14"	"6"	"249"	"29"	""	"451"	""	""	""
"263"	""	"Total Round
11"	"421"	"1191"	"806"	"68"	"77"	"394"	"66"	"91"	"483"	"67"	"1913"	"172"	"0"	"5749"	"0"	""	""
"264"	"Total No. of Electors in Assembly Constituency :- 218467"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 83  MADHEPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"270"	"Table No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"No. of Rejected Votes"	"Total Votes"	"No. of Tendered Votes"	"Initial of RO"	"Initial of OBS"
"271"	""	""	"ASHARFI SADAY"	"JAGAT NARAYAN SINGH"	"MAHAVIR PRASAD MAHTO"	"RAM PR. YADAV"	"SHOBHENDRA KUMAR"	"SANTOSH KUMAR JHA"	"ASHOK KUMAR MANDAL"	"GULAB YADAV"	"DIVAKER PRASAD YADAV"	"YOGNATH MANDAL"	"ROOP NARAYAN JHA"	"VIJAY KUMAR JHA"	""	""	""	""	""
"272"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""	""
"273"	"1"	"155"	"173"	"29"	"48"	"2"	"7"	"29"	"4"	"2"	"7"	"5"	"86"	"20"	""	"412"	""	""	""
"274"	"2"	"156"	"2"	"45"	"1"	"0"	"1"	"8"	"0"	"17"	"3"	"5"	"277"	"1"	""	"360"	""	""	""
"275"	"3"	"157"	"81"	"81"	"18"	"4"	"5"	"97"	"12"	"6"	"22"	"13"	"191"	"29"	""	"559"	""	""	""
"276"	"4"	"158"	"10"	"48"	"9"	"4"	"2"	"3"	"0"	"22"	"13"	"6"	"157"	"31"	""	"305"	""	""	""
"277"	"5"	"159"	"0"	"6"	"2"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"4"	"0"	""	"14"	""	""	""
"278"	"6"	"160"	"48"	"92"	"11"	"10"	"23"	"8"	"8"	"63"	"289"	"6"	"24"	"4"	""	"586"	""	""	""
"279"	"7"	"161"	"18"	"157"	"11"	"4"	"12"	"7"	"5"	"67"	"211"	"3"	"53"	"3"	""	"551"	""	""	""
"280"	"8"	"162"	"24"	"22"	"7"	"3"	"4"	"9"	"2"	"4"	"434"	"3"	"43"	"5"	""	"560"	""	""	""
"281"	"9"	"163"	"8"	"83"	"8"	"1"	"2"	"11"	"1"	"1"	"287"	"1"	"31"	"2"	""	"436"	""	""	""
"282"	"10"	"164"	"5"	"50"	"19"	"3"	"1"	"20"	"0"	"3"	"6"	"11"	"169"	"16"	""	"303"	""	""	""
"283"	"11"	"165"	"60"	"46"	"4"	"3"	"3"	"36"	"1"	"6"	"16"	"12"	"167"	"35"	""	"389"	""	""	""
"284"	"12"	"166"	"7"	"26"	"8"	"2"	"2"	"6"	"1"	"5"	"14"	"13"	"165"	"28"	""	"277"	""	""	""
"285"	"13"	"167"	"20"	"40"	"14"	"1"	"5"	"28"	"2"	"2"	"10"	"11"	"156"	"40"	""	"329"	""	""	""
"286"	"14"	"168"	"27"	"90"	"4"	"2"	"4"	"49"	"2"	"1"	"7"	"2"	"237"	"7"	""	"432"	""	""	""
"287"	""	"Total Round
12"	"483"	"815"	"164"	"39"	"71"	"312"	"38"	"200"	"1319"	"91"	"1760"	"221"	"0"	"5513"	"0"	""	""
"288"	"Total No. of Electors in Assembly Constituency :- 218467"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 83  MADHEPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"Table No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"No. of Rejected Votes"	"Total Votes"	"No. of Tendered Votes"	"Initial of RO"	"Initial of OBS"
"295"	""	""	"ASHARFI SADAY"	"JAGAT NARAYAN SINGH"	"MAHAVIR PRASAD MAHTO"	"RAM PR. YADAV"	"SHOBHENDRA KUMAR"	"SANTOSH KUMAR JHA"	"ASHOK KUMAR MANDAL"	"GULAB YADAV"	"DIVAKER PRASAD YADAV"	"YOGNATH MANDAL"	"ROOP NARAYAN JHA"	"VIJAY KUMAR JHA"	""	""	""	""	""
"296"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""	""
"297"	"1"	"169"	"75"	"158"	"25"	"4"	"7"	"24"	"6"	"19"	"30"	"7"	"62"	"16"	""	"433"	""	""	""
"298"	"2"	"170"	"28"	"117"	"90"	"0"	"4"	"32"	"7"	"32"	"3"	"7"	"114"	"12"	""	"446"	""	""	""
"299"	"3"	"171"	"11"	"27"	"70"	"3"	"3"	"26"	"2"	"7"	"4"	"9"	"114"	"10"	""	"286"	""	""	""
"300"	"4"	"172"	"34"	"90"	"48"	"5"	"6"	"28"	"8"	"28"	"23"	"8"	"116"	"27"	""	"421"	""	""	""
"301"	"5"	"173"	"36"	"33"	"147"	"2"	"1"	"46"	"2"	"9"	"11"	"5"	"38"	"8"	""	"338"	""	""	""
"302"	"6"	"174"	"19"	"4"	"205"	"2"	"1"	"57"	"7"	"6"	"2"	"5"	"83"	"11"	""	"402"	""	""	""
"303"	"7"	"175"	"43"	"24"	"88"	"5"	"3"	"32"	"2"	"4"	"10"	"5"	"59"	"26"	""	"301"	""	""	""
"304"	"8"	"176"	"215"	"31"	"16"	"0"	"4"	"23"	"3"	"2"	"2"	"2"	"12"	"3"	""	"313"	""	""	""
"305"	"9"	"177"	"47"	"50"	"48"	"10"	"9"	"40"	"7"	"16"	"28"	"3"	"81"	"22"	""	"361"	""	""	""
"306"	"10"	"178"	"38"	"56"	"19"	"11"	"5"	"63"	"6"	"15"	"90"	"8"	"67"	"23"	""	"401"	""	""	""
"307"	"11"	"179"	"63"	"57"	"42"	"9"	"2"	"60"	"6"	"14"	"8"	"11"	"182"	"29"	""	"483"	""	""	""
"308"	"12"	"180"	"34"	"104"	"21"	"3"	"7"	"43"	"3"	"7"	"8"	"16"	"325"	"94"	""	"665"	""	""	""
"309"	"13"	"181"	"29"	"46"	"10"	"1"	"11"	"47"	"2"	"46"	"15"	"10"	"175"	"14"	""	"406"	""	""	""
"310"	"14"	"182"	"4"	"113"	"17"	"1"	"3"	"4"	"1"	"2"	"3"	"2"	"46"	"5"	""	"201"	""	""	""
"311"	""	"Total Round
13"	"676"	"910"	"846"	"56"	"66"	"525"	"62"	"207"	"237"	"98"	"1474"	"300"	"0"	"5457"	"0"	""	""
"312"	"Total No. of Electors in Assembly Constituency :- 218467"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 83  MADHEPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"316"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"317"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"318"	"Table No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"No. of Rejected Votes"	"Total Votes"	"No. of Tendered Votes"	"Initial of RO"	"Initial of OBS"
"319"	""	""	"ASHARFI SADAY"	"JAGAT NARAYAN SINGH"	"MAHAVIR PRASAD MAHTO"	"RAM PR. YADAV"	"SHOBHENDRA KUMAR"	"SANTOSH KUMAR JHA"	"ASHOK KUMAR MANDAL"	"GULAB YADAV"	"DIVAKER PRASAD YADAV"	"YOGNATH MANDAL"	"ROOP NARAYAN JHA"	"VIJAY KUMAR JHA"	""	""	""	""	""
"320"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""	""
"321"	"1"	"183"	"8"	"142"	"135"	"5"	"3"	"13"	"4"	"11"	"29"	"6"	"35"	"18"	""	"409"	""	""	""
"322"	"2"	"184"	"5"	"106"	"28"	"2"	"3"	"48"	"2"	"2"	"6"	"10"	"286"	"12"	""	"510"	""	""	""
"323"	"3"	"185"	"17"	"98"	"7"	"5"	"3"	"38"	"1"	"3"	"16"	"6"	"138"	"14"	""	"346"	""	""	""
"324"	"4"	"186"	"3"	"43"	"4"	"2"	"3"	"6"	"5"	"5"	"12"	"13"	"172"	"19"	""	"287"	""	""	""
"325"	"5"	"187"	"15"	"121"	"42"	"3"	"6"	"5"	"3"	"4"	"18"	"1"	"87"	"5"	""	"310"	""	""	""
"326"	"6"	"188"	"10"	"111"	"25"	"2"	"5"	"56"	"3"	"5"	"21"	"5"	"128"	"6"	""	"377"	""	""	""
"327"	"7"	"189"	"16"	"73"	"146"	"5"	"10"	"58"	"19"	"18"	"42"	"9"	"90"	"17"	""	"503"	""	""	""
"328"	"8"	"190"	"49"	"30"	"31"	"9"	"7"	"21"	"4"	"8"	"60"	"3"	"79"	"7"	""	"308"	""	""	""
"329"	"9"	"191"	"7"	"25"	"29"	"6"	"10"	"74"	"7"	"14"	"130"	"27"	"289"	"20"	""	"638"	""	""	""
"330"	"10"	"192"	"1"	"8"	"35"	"2"	"1"	"16"	"1"	"4"	"161"	"4"	"39"	"1"	""	"273"	""	""	""
"331"	"11"	"193"	"9"	"189"	"18"	"1"	"12"	"7"	"1"	"0"	"4"	"1"	"53"	"4"	""	"299"	""	""	""
"332"	"12"	"194"	"1"	"149"	"6"	"3"	"0"	"22"	"2"	"13"	"48"	"2"	"28"	"16"	""	"290"	""	""	""
"333"	"13"	"195"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	""	""
"334"	"14"	"196"	"6"	"166"	"32"	"9"	"2"	"12"	"3"	"6"	"8"	"1"	"15"	"2"	""	"262"	""	""	""
"335"	""	"Total Round
14"	"147"	"1261"	"538"	"54"	"65"	"376"	"55"	"93"	"555"	"88"	"1439"	"141"	"0"	"4812"	"0"	""	""
"336"	"Total No. of Electors in Assembly Constituency :- 218467"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"337"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 83  MADHEPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"338"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"339"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"340"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"341"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"342"	"Table No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"No. of Rejected Votes"	"Total Votes"	"No. of Tendered Votes"	"Initial of RO"	"Initial of OBS"
"343"	""	""	"ASHARFI SADAY"	"JAGAT NARAYAN SINGH"	"MAHAVIR PRASAD MAHTO"	"RAM PR. YADAV"	"SHOBHENDRA KUMAR"	"SANTOSH KUMAR JHA"	"ASHOK KUMAR MANDAL"	"GULAB YADAV"	"DIVAKER PRASAD YADAV"	"YOGNATH MANDAL"	"ROOP NARAYAN JHA"	"VIJAY KUMAR JHA"	""	""	""	""	""
"344"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""	""
"345"	"1"	"197"	"6"	"53"	"47"	"2"	"1"	"5"	"2"	"9"	"20"	"3"	"65"	"4"	""	"217"	""	""	""
"346"	"2"	"198"	"20"	"102"	"191"	"8"	"22"	"5"	"3"	"4"	"18"	"3"	"7"	"5"	""	"388"	""	""	""
"347"	"3"	"199"	"15"	"73"	"41"	"6"	"10"	"52"	"5"	"10"	"43"	"7"	"218"	"19"	""	"499"	""	""	""
"348"	"4"	"200"	"6"	"45"	"31"	"6"	"6"	"56"	"5"	"5"	"20"	"6"	"135"	"23"	""	"344"	""	""	""
