"ANNEURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"121"	"101"	"BASIC SCHOOL RAJEYA (WEST PART)"	"2"	"568"	"0"	"0"	"0"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"605"	"0"	"605"	"0"
"122"	"102"	"PANCHAYAT BHAWAN MOTHI"	"133"	"268"	"3"	"0"	"7"	"14"	"1"	"1"	"1"	"2"	"2"	"0"	"1"	"1"	"5"	"2"	"441"	"0"	"441"	"0"
"123"	"103"	"PRIMARY SCHOOL PURAINI KALA"	"3"	"310"	"4"	"1"	"56"	"133"	"2"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"511"	"0"	"511"	"0"
"124"	"104"	"PRIMARY SCHOOL JAGDISHPUR PATHAK"	"39"	"99"	"2"	"5"	"243"	"82"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"476"	"0"	"476"	"0"
"125"	"105"	"PRIMARY SCHOOL VIJANTOLA"	"11"	"118"	"5"	"3"	"10"	"59"	"3"	"1"	"2"	"2"	"9"	"2"	"6"	"7"	"14"	"13"	"265"	"0"	"265"	"0"
"126"	"106"	"PRIMARY SCHOOL RAKTUTOLA"	"124"	"73"	"4"	"2"	"147"	"39"	"5"	"0"	"2"	"7"	"4"	"2"	"3"	"1"	"1"	"0"	"414"	"0"	"414"	"0"
"127"	"107"	"PRIMARY SCHOOL JITAURA"	"129"	"89"	"2"	"5"	"186"	"78"	"8"	"1"	"4"	"8"	"14"	"28"	"3"	"7"	"4"	"7"	"573"	"0"	"573"	"0"
"128"	"108"	"HIGH SCHOOL JITAURA (SOUTH PART)"	"22"	"363"	"2"	"2"	"103"	"28"	"0"	"1"	"0"	"4"	"0"	"0"	"3"	"0"	"1"	"0"	"529"	"0"	"529"	"0"
"129"	"109"	"PRIMARY SCHOOL HATPOKHAR"	"19"	"205"	"7"	"1"	"128"	"8"	"2"	"0"	"3"	"21"	"2"	"4"	"3"	"5"	"4"	"3"	"415"	"0"	"415"	"0"
"130"	"110"	"PRIMARY SCHOOL HARITOLA"	"103"	"49"	"1"	"2"	"262"	"6"	"0"	"1"	"0"	"2"	"1"	"2"	"0"	"0"	"0"	"1"	"430"	"0"	"430"	"0"
"131"	"111"	"HIGH SCHOOL JITAURA (NORTH PART)"	"48"	"190"	"10"	"2"	"48"	"106"	"3"	"3"	"5"	"27"	"9"	"10"	"1"	"6"	"7"	"11"	"486"	"0"	"486"	"0"
"132"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejecte d votes"	"Total"	"No. of tendered votes"
"133"	""	""	"KESHAV PRASAD SINGH"	"NARENDRA KUMAR PANDEY"	"NIRMAL KUMAR SINGH"	"KALIKA SINGH"	"KASHINA TH SINGH"	"CHANDRA DEEP SINGH"	"MADHURI DEVI"	"SRIRAM SINGH"	"SANJAY SINGH"	"SUNITA KUMARI"	"AJIT RAY"	"ATUL KUMAR SINGH"	"JANARDAN UPADHYAY"	"PARMA NAND SINGH"	"BAIJNATH UPADHYA"	"BAIJNATH PASWAN"	""	""	""	""
"134"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"135"	"112"	"PRIMARY SCHOOL SUNDARTOLA"	"2"	"172"	"2"	"1"	"10"	"155"	"1"	"0"	"1"	"2"	"0"	"2"	"0"	"1"	"0"	"0"	"349"	"0"	"349"	"0"
"136"	"113"	"GIRLS SCHOOL BARAWN"	"25"	"301"	"2"	"1"	"99"	"17"	"1"	"1"	"2"	"5"	"0"	"8"	"1"	"3"	"3"	"4"	"473"	"0"	"473"	"0"
"137"	"114"	"PANCHAYAT BHAWAN BARAWN"	"11"	"168"	"10"	"4"	"47"	"370"	"3"	"3"	"0"	"7"	"1"	"1"	"1"	"1"	"1"	"0"	"628"	"0"	"628"	"0"
"138"	"115"	"PRIMARY SCHOOL BARAWAN NO. 2"	"45"	"40"	"0"	"1"	"299"	"127"	"2"	"1"	"1"	"1"	"3"	"6"	"0"	"0"	"1"	"2"	"529"	"0"	"529"	"0"
"139"	"116"	"PRIMARY SCHOOL DHANPOKHAR"	"50"	"192"	"3"	"1"	"11"	"33"	"0"	"0"	"0"	"3"	"2"	"0"	"1"	"10"	"5"	"2"	"313"	"0"	"313"	"0"
"140"	"117"	"PRIMARY SCHOOL KASER"	"9"	"98"	"1"	"1"	"114"	"15"	"1"	"3"	"2"	"4"	"3"	"19"	"1"	"1"	"5"	"4"	"281"	"0"	"281"	"0"
"141"	"118"	"PRIMARY SCHOOL MOHAN TOLA"	"17"	"147"	"0"	"1"	"16"	"26"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"211"	"0"	"211"	"0"
"142"	"119"	"PRIMARY SCHOOL DEOCHANDA"	"43"	"379"	"6"	"0"	"0"	"8"	"0"	"1"	"2"	"3"	"3"	"0"	"4"	"11"	"21"	"12"	"493"	"0"	"493"	"0"
"143"	"120"	"MIDDLE SCHOOL TILADH"	"23"	"413"	"1"	"1"	"1"	"11"	"1"	"1"	"0"	"5"	"3"	"0"	"2"	"7"	"7"	"3"	"479"	"0"	"479"	"0"
"144"	"121"	"PRIMARY SCHOOL DUSADHI BADHAR"	"631"	"8"	"0"	"1"	"20"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"662"	"0"	"662"	"0"
"145"	"122"	"VYAPAR MANDAL PIRO"	"69"	"360"	"1"	"0"	"35"	"7"	"1"	"0"	"1"	"4"	"2"	"2"	"1"	"1"	"5"	"2"	"491"	"0"	"491"	"0"
"146"	"123"	"VYAPAR MANDAL PIRO (SOUTH PART)"	"55"	"284"	"0"	"1"	"7"	"4"	"2"	"1"	"0"	"4"	"1"	"0"	"4"	"2"	"3"	"3"	"371"	"0"	"371"	"0"
"147"	"124"	"URDU PRIMARY SCHOOL BHAGALPUR (NOR"	"270"	"223"	"4"	"0"	"13"	"4"	"1"	"0"	"0"	"4"	"1"	"0"	"2"	"2"	"3"	"2"	"529"	"0"	"529"	"0"
"148"	"125"	"URDU PRIMARY SCHOOL BHAGALPUR (WES"	"239"	"218"	"1"	"1"	"26"	"4"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"2"	"0"	"2"	"497"	"0"	"497"	"0"
"149"	"126"	"MD AFTAB KHAN KA BHAWAN WARD NO. 4"	"235"	"188"	"3"	"2"	"18"	"1"	"0"	"1"	"0"	"4"	"1"	"1"	"1"	"1"	"1"	"2"	"459"	"0"	"459"	"0"
"150"	"127"	"PRIMARY SCHOOL IBRAHIMPUR"	"41"	"100"	"3"	"14"	"323"	"35"	"1"	"2"	"3"	"27"	"8"	"13"	"1"	"2"	"5"	"7"	"585"	"0"	"585"	"0"
"151"	"128"	"MIDDLE SCHOOL PIRO (BALAK) (EAST PART"	"28"	"447"	"3"	"1"	"30"	"4"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"515"	"0"	"515"	"0"
"152"	"129"	"MIDDLE SCHOOL PIRO (WEST PART)"	"34"	"207"	"2"	"4"	"179"	"11"	"1"	"8"	"4"	"0"	"1"	"4"	"2"	"1"	"4"	"3"	"465"	"0"	"465"	"0"
"153"	"130"	"GIRLS MIDDLE SCHOOL PIRO"	"133"	"634"	"1"	"4"	"48"	"15"	"1"	"0"	"0"	"4"	"4"	"6"	"4"	"8"	"4"	"8"	"874"	"0"	"874"	"0"
"154"	"131"	"PUSHPA MIDDLE SCHOOL PIRO (NORTH PA"	"85"	"340"	"5"	"0"	"17"	"27"	"0"	"0"	"0"	"3"	"3"	"0"	"1"	"3"	"2"	"3"	"489"	"0"	"489"	"0"
"155"	"132"	"PUSHPA MIDDLE SCHOOL PIRO (SOUTH PA"	"46"	"479"	"3"	"2"	"13"	"9"	"0"	"1"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"557"	"0"	"557"	"0"
"156"	"133"	"AHMAD ALI KA BHAWAN PIRO WARD NO. 9"	"260"	"274"	"6"	"3"	"121"	"33"	"2"	"0"	"4"	"1"	"3"	"9"	"1"	"4"	"2"	"2"	"725"	"0"	"725"	"0"
"157"	"134"	"URDU MIDDLE SCHOOL PIRO"	"205"	"217"	"1"	"1"	"8"	"7"	"0"	"1"	"2"	"6"	"1"	"0"	"2"	"2"	"3"	"0"	"456"	"0"	"456"	"0"
"158"	"135"	"SRI SANTOSH PANDEY KA BHAWAN PIRO W"	"270"	"407"	"4"	"2"	"36"	"36"	"1"	"2"	"3"	"6"	"2"	"1"	"2"	"1"	"3"	"4"	"780"	"0"	"780"	"0"
"159"	"136"	"PRIMARY SCHOOL BALUA TOLA"	"444"	"41"	"13"	"3"	"63"	"32"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"599"	"0"	"599"	"0"
"160"	"137"	"PRIMARY SCHOOL ITIMAHAN GANESH"	"55"	"341"	"6"	"1"	"30"	"64"	"4"	"0"	"1"	"0"	"2"	"2"	"2"	"0"	"1"	"0"	"509"	"0"	"509"	"0"
"161"	"138"	"PRIMARY SCHOOL DHANPURA"	"17"	"95"	"1"	"3"	"50"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"169"	"0"	"169"	"0"
"162"	"139"	"MIDDLE SCHOOL BACHARI (NORTH PART)"	"40"	"577"	"2"	"0"	"4"	"81"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"1"	"0"	"710"	"0"	"710"	"0"
"163"	"140"	"MIDDLE SCHOOL BACHARI (SOUTH PART)"	"21"	"472"	"3"	"1"	"1"	"21"	"0"	"0"	"0"	"1"	"2"	"0"	"1"	"2"	"10"	"3"	"538"	"0"	"538"	"0"
"164"	"141"	"PRIMARY SCHOOL GOVIND DIH"	"116"	"20"	"0"	"3"	"196"	"3"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"2"	"344"	"0"	"344"	"0"
"165"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejecte d votes"	"Total"	"No. of tendered votes"
"166"	""	""	"KESHAV PRASAD SINGH"	"NARENDRA KUMAR PANDEY"	"NIRMAL KUMAR SINGH"	"KALIKA SINGH"	"KASHINA TH SINGH"	"CHANDRA DEEP SINGH"	"MADHURI DEVI"	"SRIRAM SINGH"	"SANJAY SINGH"	"SUNITA KUMARI"	"AJIT RAY"	"ATUL KUMAR SINGH"	"JANARDAN UPADHYAY"	"PARMA NAND SINGH"	"BAIJNATH UPADHYA"	"BAIJNATH PASWAN"	""	""	""	""
"167"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"168"	"142"	"PRIMARY SCHOOL LAHRITIWARI DIH"	"8"	"293"	"5"	"2"	"94"	"20"	"2"	"2"	"1"	"3"	"9"	"15"	"4"	"5"	"6"	"11"	"480"	"0"	"480"	"0"
"169"	"143"	"PRIMARY SCHOOL BHULUKUYAN"	"47"	"304"	"8"	"3"	"112"	"10"	"2"	"1"	"2"	"58"	"6"	"6"	"1"	"0"	"5"	"2"	"567"	"0"	"567"	"0"
"170"	"144"	"PRIMARY SCHOOL JAISIDIH"	"2"	"495"	"3"	"3"	"111"	"26"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"641"	"0"	"641"	"0"
"171"	"145"	"MIDDLE SCHOOL BHADSAR (EAST PART)"	"30"	"244"	"5"	"5"	"155"	"10"	"1"	"1"	"2"	"0"	"2"	"15"	"1"	"1"	"11"	"7"	"490"	"0"	"490"	"0"
"172"	"146"	"MIDDLE SCHOOL BHADSAR (WEST PART)"	"37"	"256"	"2"	"0"	"70"	"5"	"0"	"1"	"3"	"1"	"3"	"3"	"1"	"7"	"8"	"2"	"399"	"0"	"399"	"0"
"173"	"147"	"MIDDLE SCHOOL THAKURI"	"258"	"227"	"0"	"10"	"18"	"177"	"1"	"3"	"0"	"2"	"2"	"2"	"0"	"1"	"1"	"1"	"703"	"0"	"703"	"0"
"174"	"148"	"PRIMARY SCHOOL KANAI"	"146"	"181"	"4"	"3"	"5"	"44"	"0"	"0"	"1"	"1"	"1"	"2"	"4"	"3"	"3"	"5"	"403"	"0"	"403"	"0"
"175"	"149"	"PRIMARY SCHOOL KASMARIA"	"47"	"136"	"6"	"3"	"14"	"205"	"3"	"1"	"1"	"3"	"5"	"3"	"2"	"1"	"0"	"1"	"431"	"0"	"431"	"0"
"176"	"150"	"PRIMARY SCHOOL DHRUBDIHA"	"121"	"193"	"0"	"1"	"37"	"7"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"365"	"0"	"365"	"0"
"177"	"151"	"SAHKARITA GODAM MADRAHAN"	"324"	"3"	"0"	"6"	"20"	"17"	"2"	"0"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"383"	"0"	"383"	"0"
"178"	"152"	"PRIMARY SCHOOL PADARIYA"	"43"	"373"	"0"	"0"	"28"	"43"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"490"	"0"	"490"	"0"
"179"	"153"	"PRIMARY SCHOOL LILARI"	"94"	"191"	"1"	"0"	"50"	"158"	"7"	"1"	"5"	"17"	"9"	"5"	"1"	"2"	"4"	"7"	"552"	"0"	"552"	"0"
"180"	"154"	"PRIMARY SCHOOL DUMARIYA"	"11"	"7"	"0"	"3"	"82"	"8"	"2"	"252"	"3"	"1"	"2"	"5"	"1"	"3"	"2"	"8"	"390"	"0"	"390"	"0"
"181"	"155"	"PRIMARY SCHOOL MADRIHAN (EAST PART)"	"144"	"164"	"12"	"2"	"105"	"37"	"3"	"2"	"2"	"3"	"1"	"6"	"2"	"3"	"8"	"6"	"500"	"0"	"500"	"0"
"182"	"156"	"PRIMARY SCHOOL AMAURJA"	"266"	"100"	"5"	"7"	"68"	"115"	"6"	"17"	"0"	"2"	"3"	"7"	"5"	"3"	"9"	"5"	"618"	"0"	"618"	"0"
"183"	"157"	"PRIMARY SCHOOL PASAUR HARIJAN TOLA"	"175"	"49"	"1"	"2"	"11"	"204"	"8"	"3"	"0"	"3"	"9"	"4"	"9"	"1"	"2"	"13"	"494"	"0"	"494"	"0"
"184"	"158"	"PRIMARY SCHOOL PASAUR"	"20"	"236"	"2"	"3"	"12"	"250"	"16"	"5"	"1"	"3"	"11"	"2"	"1"	"1"	"0"	"1"	"564"	"0"	"564"	"0"
"185"	"159"	"MIDDLE SCHOOL PASAUR"	"42"	"279"	"1"	"2"	"12"	"246"	"2"	"1"	"4"	"3"	"9"	"1"	"1"	"3"	"1"	"1"	"608"	"0"	"608"	"0"
"186"	"160"	"PRIMARY SCHOOL HARPUR"	"32"	"199"	"3"	"0"	"20"	"145"	"3"	"4"	"4"	"35"	"5"	"3"	"4"	"7"	"7"	"1"	"472"	"0"	"472"	"0"
"187"	"161"	"PRIMARY SCHOOL PALIA"	"231"	"19"	"2"	"3"	"50"	"15"	"0"	"4"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"326"	"0"	"326"	"0"
"188"	"162"	"PRIMARY SCHOOL MADAI"	"213"	"265"	"7"	"4"	"34"	"64"	"2"	"1"	"3"	"32"	"8"	"1"	"0"	"2"	"4"	"3"	"643"	"0"	"643"	"0"
"189"	"163"	"MIDDLE SCHOOL MUKUNDPUR (WEST PART"	"120"	"567"	"7"	"0"	"5"	"35"	"3"	"0"	"3"	"10"	"7"	"2"	"2"	"24"	"24"	"13"	"822"	"0"	"822"	"0"
"190"	"164"	"PRIMARY SCHOOL MUKUNDPUR (EAST PAR"	"136"	"348"	"3"	"3"	"28"	"4"	"0"	"1"	"0"	"68"	"1"	"1"	"0"	"1"	"0"	"1"	"595"	"0"	"595"	"0"
"191"	"165"	"PRIMARY SCHOOL JAITPURA"	"66"	"329"	"0"	"0"	"26"	"56"	"3"	"0"	"0"	"0"	"0"	"2"	"2"	"0"	"1"	"0"	"485"	"0"	"485"	"0"
"192"	"166"	"MIDDLE SCHOOL MALAUR"	"46"	"335"	"3"	"1"	"13"	"50"	"1"	"0"	"0"	"0"	"7"	"2"	"2"	"1"	"7"	"2"	"470"	"0"	"470"	"0"
"193"	"167"	"PRIMARY SCHOOL MALAUR"	"127"	"379"	"5"	"0"	"9"	"114"	"4"	"5"	"2"	"52"	"3"	"1"	"1"	"1"	"2"	"1"	"706"	"0"	"706"	"0"
"194"	"168"	"PRIMARY SCHOOL KHANRATI"	"83"	"31"	"1"	"1"	"69"	"1"	"2"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"191"	"0"	"191"	"0"
"195"	"169"	"PRIMARY SCHOOL BALIHARI"	"229"	"70"	"2"	"6"	"65"	"77"	"4"	"0"	"2"	"0"	"1"	"1"	"0"	"1"	"2"	"1"	"461"	"0"	"461"	"0"
"196"	"170"	"PRIMARY SCHOOL EKAUNI"	"84"	"118"	"4"	"3"	"73"	"71"	"3"	"2"	"0"	"0"	"6"	"4"	"0"	"0"	"0"	"2"	"370"	"0"	"370"	"0"
"197"	"171"	"PRIMARY SCHOOL DEKUDA"	"11"	"344"	"1"	"0"	"20"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"386"	"0"	"386"	"0"
"198"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejecte d votes"	"Total"	"No. of tendered votes"
"199"	""	""	"KESHAV PRASAD SINGH"	"NARENDRA KUMAR PANDEY"	"NIRMAL KUMAR SINGH"	"KALIKA SINGH"	"KASHINA TH SINGH"	"CHANDRA DEEP SINGH"	"MADHURI DEVI"	"SRIRAM SINGH"	"SANJAY SINGH"	"SUNITA KUMARI"	"AJIT RAY"	"ATUL KUMAR SINGH"	"JANARDAN UPADHYAY"	"PARMA NAND SINGH"	"BAIJNATH UPADHYA"	"BAIJNATH PASWAN"	""	""	""	""
"200"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"201"	"172"	"PRIMARY SCHOOL BARAR"	"108"	"284"	"1"	"1"	"84"	"11"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"1"	"2"	"0"	"495"	"0"	"495"	"0"
"202"	"173"	"HALKA GODAM BHAIRODIH"	"18"	"414"	"0"	"1"	"2"	"14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"450"	"0"	"450"	"0"
"203"	"174"	"MIDDLE SCHOOL SAROPUR"	"56"	"285"	"4"	"0"	"3"	"1"	"0"	"0"	"2"	"2"	"1"	"0"	"0"	"0"	"2"	"2"	"358"	"0"	"358"	"0"
"204"	"175"	"PRIMARY SCHOOL DHANAUTI"	"229"	"78"	"3"	"1"	"30"	"31"	"1"	"3"	"1"	"2"	"4"	"2"	"0"	"2"	"8"	"6"	"401"	"0"	"401"	"0"
"205"	"176"	"PRIMARY SCHOOL NAGRAWN"	"167"	"251"	"1"	"2"	"54"	"23"	"0"	"1"	"0"	"2"	"0"	"3"	"4"	"4"	"6"	"5"	"523"	"0"	"523"	"0"
"206"	"177"	"PRIMARY SCHOOL NAGRI (SOUTH PART)"	"48"	"381"	"7"	"2"	"356"	"8"	"4"	"1"	"1"	"14"	"1"	"7"	"1"	"1"	"3"	"5"	"840"	"0"	"840"	"0"
"207"	"178"	"PRIMARY SCHOOL NAGRI (NORTH PART)"	"34"	"453"	"35"	"5"	"187"	"50"	"1"	"0"	"2"	"4"	"3"	"12"	"4"	"5"	"5"	"3"	"803"	"0"	"803"	"0"
"208"	"179"	"PRIMARY SCHOOL DUBEYDIHRA"	"104"	"41"	"0"	"0"	"42"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"191"	"0"	"191"	"0"
"209"	"180"	"MIDDLE SCHOOL KUMHAILA (EAST PART)"	"453"	"62"	"7"	"2"	"15"	"107"	"4"	"1"	"0"	"0"	"2"	"3"	"1"	"0"	"0"	"3"	"660"	"0"	"660"	"0"
"210"	"181"	"MIDDLE SCHOOL KUMHAILA (WEST PART)"	"5"	"8"	"0"	"1"	"11"	"190"	"3"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"220"	"0"	"220"	"0"
"211"	"182"	"PRIMARY SCHOOL KORI"	"55"	"330"	"8"	"5"	"50"	"32"	"3"	"2"	"3"	"3"	"4"	"7"	"1"	"2"	"2"	"1"	"508"	"0"	"508"	"0"
"212"	"183"	"PRIMARY SCHOOL DHERHA"	"134"	"6"	"1"	"4"	"20"	"0"	"0"	"1"	"0"	"1"	"2"	"3"	"0"	"0"	"0"	"3"	"175"	"0"	"175"	"0"
"213"	"184"	"MIDDLE SCHOOL KOYAL (WEST PART)"	"135"	"223"	"4"	"2"	"65"	"32"	"5"	"0"	"0"	"7"	"1"	"2"	"3"	"2"	"3"	"6"	"490"	"0"	"490"	"0"
"214"	"185"	"MIDDLE SCHOOL KOYAL (EAST PART)"	"52"	"162"	"4"	"1"	"71"	"230"	"4"	"1"	"0"	"1"	"0"	"6"	"0"	"0"	"0"	"3"	"535"	"0"	"535"	"0"
"215"	"186"	"MIDDLE SCHOOL SIYADIH (NORTH PART)"	"28"	"351"	"3"	"1"	"55"	"165"	"10"	"1"	"2"	"7"	"8"	"4"	"4"	"4"	"3"	"7"	"653"	"0"	"653"	"0"
"216"	"187"	"MIDDLE SCHOOL SIYADIH (SOUTH PART)"	"11"	"381"	"0"	"0"	"2"	"109"	"6"	"6"	"4"	"49"	"2"	"3"	"0"	"0"	"1"	"2"	"576"	"0"	"576"	"0"
"217"	"188"	"PRIMARY SCHOOL BAGUSRA"	"59"	"81"	"1"	"1"	"8"	"123"	"4"	"1"	"0"	"0"	"4"	"3"	"4"	"2"	"4"	"2"	"297"	"0"	"297"	"0"
"218"	"189"	"PRIMARY SCHOOL CHARPOKHARI"	"50"	"417"	"5"	"1"	"55"	"20"	"12"	"1"	"2"	"6"	"4"	"8"	"3"	"6"	"6"	"5"	"601"	"0"	"601"	"0"
"219"	"190"	"MIDDLE SCHOOL BARNI"	"162"	"164"	"3"	"3"	"90"	"66"	"6"	"1"	"1"	"1"	"2"	"2"	"4"	"2"	"5"	"3"	"515"	"0"	"515"	"0"
"220"	"191"	"PRIMARY SCHOOL KATHRAI"	"31"	"501"	"10"	"2"	"68"	"16"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"630"	"0"	"630"	"0"
"221"	"192"	"PRIMARY SCHOOL BRAHARA"	"213"	"194"	"2"	"6"	"15"	"113"	"4"	"10"	"6"	"14"	"5"	"3"	"1"	"3"	"3"	"0"	"592"	"0"	"592"	"0"
"222"	"193"	"SARYU VIDHYA MANDIR SEMRAON"	"119"	"364"	"3"	"2"	"12"	"37"	"3"	"0"	"0"	"4"	"3"	"0"	"0"	"4"	"10"	"6"	"567"	"0"	"567"	"0"
"223"	"194"	"PRIMARY SCHOOL DULAUR TOLA SEMRAON"	"243"	"198"	"8"	"3"	"28"	"48"	"2"	"0"	"1"	"8"	"5"	"5"	"3"	"2"	"6"	"3"	"563"	"0"	"563"	"0"
"224"	"195"	"MIDDLE SCHOOL ENGLISH TOLA"	"254"	"15"	"1"	"2"	"31"	"8"	"1"	"2"	"0"	"13"	"1"	"7"	"1"	"1"	"2"	"1"	"340"	"0"	"340"	"0"
"225"	"196"	"MIDDLE SCHOOL CHHAPRA TOLA SEMRAON"	"273"	"252"	"2"	"1"	"2"	"13"	"0"	"1"	"0"	"3"	"0"	"0"	"2"	"3"	"4"	"8"	"564"	"0"	"564"	"0"
"226"	"197"	"PRIMARY SCHOOL BHALUANA"	"25"	"473"	"3"	"0"	"22"	"61"	"4"	"1"	"0"	"2"	"0"	"1"	"2"	"1"	"5"	"1"	"601"	"0"	"601"	"0"
"227"	"198"	"PRIMARY SCHOOL PRITAMPUR"	"476"	"148"	"3"	"3"	"99"	"4"	"0"	"2"	"1"	"1"	"1"	"4"	"0"	"0"	"1"	"1"	"744"	"0"	"744"	"0"
"228"	"199"	"PRIMARY SCHOOL BABUBANDH"	"161"	"146"	"1"	"2"	"3"	"48"	"3"	"0"	"2"	"51"	"5"	"1"	"1"	"1"	"1"	"1"	"427"	"0"	"427"	"0"
"229"	"200"	"PRIMARY SCHOOL BAJEN"	"87"	"320"	"7"	"2"	"14"	"51"	"1"	"1"	"2"	"4"	"7"	"0"	"2"	"2"	"2"	"1"	"503"	"0"	"503"	"0"
"230"	"201"	"PRIMARY SCHOOL MANAINI"	"72"	"181"	"1"	"0"	"9"	"55"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"321"	"0"	"321"	"0"
"231"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejecte d votes"	"Total"	"No. of tendered votes"
"232"	""	""	"KESHAV PRASAD SINGH"	"NARENDRA KUMAR PANDEY"	"NIRMAL KUMAR SINGH"	"KALIKA SINGH"	"KASHINA TH SINGH"	"CHANDRA DEEP SINGH"	"MADHURI DEVI"	"SRIRAM SINGH"	"SANJAY SINGH"	"SUNITA KUMARI"	"AJIT RAY"	"ATUL KUMAR SINGH"	"JANARDAN UPADHYAY"	"PARMA NAND SINGH"	"BAIJNATH UPADHYA"	"BAIJNATH PASWAN"	""	""	""	""
"233"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"234"	"202"	"PRIMARY SCHOOL BAGAHI"	"64"	"100"	"4"	"7"	"38"	"59"	"3"	"1"	"1"	"4"	"4"	"0"	"1"	"0"	"5"	"4"	"295"	"0"	"295"	"0"
"235"	"203"	"PRIMARY SCHOOL BETARI"	"3"	"237"	"5"	"2"	"31"	"4"	"2"	"1"	"0"	"0"	"2"	"4"	"0"	"3"	"8"	"1"	"303"	"0"	"303"	"0"
"236"	"204"	"PRIMARY SCHOOL PANDEY DIH"	"33"	"150"	"3"	"0"	"50"	"49"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"288"	"0"	"288"	"0"
"237"	"205"	"PRIMARY SCHOOL MAJHIAON"	"68"	"561"	"2"	"0"	"4"	"128"	"4"	"6"	"1"	"3"	"10"	"2"	"3"	"2"	"2"	"6"	"802"	"0"	"802"	"0"
"238"	"206"	"COPRETIV GODAM HALKA MANSAGAR"	"102"	"214"	"5"	"3"	"7"	"202"	"6"	"1"	"2"	"9"	"34"	"6"	"8"	"10"	"14"	"25"	"648"	"0"	"648"	"0"
"239"	"207"	"PRIMARY SCHOOL ETAUR"	"16"	"634"	"3"	"0"	"5"	"72"	"3"	"6"	"1"	"3"	"8"	"1"	"2"	"0"	"0"	"11"	"765"	"0"	"765"	"0"
