"Election.to.the.Bihar.Legislative.Assembly.from.the.230..Konch.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"
"54"	"of"	""	"MAHESH SINGH YADAV"	""	"RAJESH KUMAR ALIAS MUNNA RAJ"	""	""	"LALITA SINGH"	""	""	""	"DR. ANIL KUMAR"	""	""	""	"JAGDISH YADAV"	""	""	""	""	"JITENDRA YADAV"	""	""	""	""	""	""	"MD. NAUSHAD ALAM"	""	""	""	""	""	"BHOLA PASWAN"	""	""	""	""	""	""	""	"RAJENDRA YADAV"	""	""	""	""	""	""	"BAGESH SHARMA"	""	""	""	""	""	"SHEO BACHAN YADAV"	""	""	""	""	""	"SANJAY KUMAR"	""	""	""	""	""	""	"No. of valid"	""	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""	""
"55"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""
"56"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"1"	""	"2"	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	""	""
"58"	"28"	""	"73"	""	"36"	""	""	"15"	""	""	""	"239"	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	"37"	""	""	""	""	""	"4"	""	""	""	""	""	""	"417"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"417"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"29"	""	"225"	""	"6"	""	""	"20"	""	""	""	"122"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	"16"	""	""	""	""	""	"1"	""	""	""	""	""	""	"403"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"403"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"30"	""	"71"	""	"4"	""	""	"188"	""	""	""	"22"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	"107"	""	""	""	""	""	"1"	""	""	""	""	""	""	"405"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"405"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"31"	""	"174"	""	"24"	""	""	"3"	""	""	""	"65"	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	""	""	"6"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"2"	""	""	""	""	""	"56"	""	""	""	""	""	"10"	""	""	""	""	""	""	"355"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"355"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"32"	""	"240"	""	"226"	""	""	"40"	""	""	""	"36"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"48"	""	""	""	""	""	""	"1"	""	""	""	""	""	"63"	""	""	""	""	""	"5"	""	""	""	""	""	""	"667"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"667"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"33"	""	"58"	""	"183"	""	""	"50"	""	""	""	"106"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"30"	""	""	""	""	""	""	"1"	""	""	""	""	""	"60"	""	""	""	""	""	"1"	""	""	""	""	""	""	"493"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"493"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"34"	""	"28"	""	"1"	""	""	"23"	""	""	""	"553"	""	""	""	"8"	""	""	""	""	"0"	""	""	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	"623"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"623"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"35"	""	"166"	""	"60"	""	""	"23"	""	""	""	"33"	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	""	"6"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"104"	""	""	""	""	""	""	"4"	""	""	""	""	""	"32"	""	""	""	""	""	"10"	""	""	""	""	""	""	"445"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"445"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"36"	""	"34"	""	"40"	""	""	"63"	""	""	""	"100"	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	""	""	"11"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"32"	""	""	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	""	"9"	""	""	""	""	""	""	"310"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"310"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"37"	""	"53"	""	"24"	""	""	"51"	""	""	""	"187"	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	""	"8"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"0"	""	""	""	""	""	"7"	""	""	""	""	""	"3"	""	""	""	""	""	""	"352"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"352"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"38"	""	"117"	""	"5"	""	""	"61"	""	""	""	"130"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"0"	""	""	""	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	""	""	"338"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"338"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"39"	""	"27"	""	"117"	""	""	"48"	""	""	""	"332"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"23"	""	""	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	""	""	"555"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"555"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"40"	""	"42"	""	"65"	""	""	"131"	""	""	""	"129"	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	""	""	"10"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"18"	""	""	""	""	""	""	"1"	""	""	""	""	""	"13"	""	""	""	""	""	"6"	""	""	""	""	""	""	"426"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"426"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"41"	""	"58"	""	"5"	""	""	"120"	""	""	""	"111"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"4"	""	""	""	""	""	"7"	""	""	""	""	""	"13"	""	""	""	""	""	""	"337"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"337"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"Total"	""	"1366"	""	"796"	""	""	"836"	""	""	""	"2165"	""	""	""	"33"	""	""	""	""	"12"	""	""	""	""	""	""	"73"	""	""	""	""	""	"38"	""	""	""	""	""	""	""	"306"	""	""	""	""	""	""	"21"	""	""	""	""	""	"414"	""	""	""	""	""	"66"	""	""	""	""	""	""	"6126"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"6126"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no. of"	""	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""
"74"	"of"	"MAHESH SINGH YADAV"	""	""	"RAJESH KUMAR ALIAS MUNNA RAJ"	""	""	"LALITA SINGH"	""	""	""	"DR. ANIL KUMAR"	""	""	""	""	""	"JAGDISH YADAV"	""	""	""	"JITENDRA YADAV"	""	""	""	""	""	""	"MD. NAUSHAD ALAM"	""	""	""	""	""	""	"BHOLA PASWAN"	""	""	""	""	""	""	"RAJENDRA YADAV"	""	""	""	""	""	""	"BAGESH SHARMA"	""	""	""	""	""	"SHEO BACHAN YADAV"	""	""	""	""	""	"SANJAY KUMAR"	""	""	""	""	""	""	"No. of valid"	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""
"75"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""
"76"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	""
"78"	"42"	"168"	""	""	"133"	""	""	"174"	""	""	""	"202"	""	""	""	""	""	"12"	""	""	""	"6"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"20"	""	""	""	""	""	""	"3"	""	""	""	""	""	"31"	""	""	""	""	""	"21"	""	""	""	""	""	""	"791"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"791"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"43"	"172"	""	""	"19"	""	""	"104"	""	""	""	"111"	""	""	""	""	""	"3"	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	"15"	""	""	""	""	""	"0"	""	""	""	""	""	""	"432"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"432"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"44"	"59"	""	""	"20"	""	""	"124"	""	""	""	"94"	""	""	""	""	""	"3"	""	""	""	"1"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"20"	""	""	""	""	""	""	"5"	""	""	""	""	""	"49"	""	""	""	""	""	"22"	""	""	""	""	""	""	"412"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"412"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"45"	"417"	""	""	"13"	""	""	"53"	""	""	""	"26"	""	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"24"	""	""	""	""	""	""	"2"	""	""	""	""	""	"56"	""	""	""	""	""	"0"	""	""	""	""	""	""	"598"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"598"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"46"	"411"	""	""	"8"	""	""	"3"	""	""	""	"112"	""	""	""	""	""	"7"	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"109"	""	""	""	""	""	""	"2"	""	""	""	""	""	"53"	""	""	""	""	""	"1"	""	""	""	""	""	""	"711"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"711"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"47"	"52"	""	""	"48"	""	""	"31"	""	""	""	"182"	""	""	""	""	""	"4"	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"0"	""	""	""	""	""	"7"	""	""	""	""	""	"0"	""	""	""	""	""	""	"340"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"340"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"48"	"267"	""	""	"60"	""	""	"59"	""	""	""	"91"	""	""	""	""	""	"2"	""	""	""	"1"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"2"	""	""	""	""	""	"14"	""	""	""	""	""	"2"	""	""	""	""	""	""	"518"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"518"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"49"	"403"	""	""	"18"	""	""	"19"	""	""	""	"116"	""	""	""	""	""	"7"	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"20"	""	""	""	""	""	""	"1"	""	""	""	""	""	"12"	""	""	""	""	""	"5"	""	""	""	""	""	""	"603"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"603"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"50"	"115"	""	""	"6"	""	""	"36"	""	""	""	"129"	""	""	""	""	""	"4"	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"0"	""	""	""	""	""	"6"	""	""	""	""	""	"4"	""	""	""	""	""	""	"315"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"315"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"51"	"147"	""	""	"1"	""	""	"0"	""	""	""	"60"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	"215"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"215"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"52"	"131"	""	""	"31"	""	""	"73"	""	""	""	"190"	""	""	""	""	""	"6"	""	""	""	"1"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"8"	""	""	""	""	""	"88"	""	""	""	""	""	"17"	""	""	""	""	""	""	"576"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"576"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"53"	"109"	""	""	"151"	""	""	"50"	""	""	""	"142"	""	""	""	""	""	"2"	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"1"	""	""	""	""	""	"62"	""	""	""	""	""	"1"	""	""	""	""	""	""	"526"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"526"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"54"	"92"	""	""	"74"	""	""	"53"	""	""	""	"171"	""	""	""	""	""	"16"	""	""	""	"6"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"5"	""	""	""	""	""	"72"	""	""	""	""	""	"6"	""	""	""	""	""	""	"527"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"527"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"55"	"220"	""	""	"28"	""	""	"3"	""	""	""	"103"	""	""	""	""	""	"3"	""	""	""	"0"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	"145"	""	""	""	""	""	"1"	""	""	""	""	""	""	"513"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"513"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"Total"	"2763"	""	""	"610"	""	""	"782"	""	""	""	"1729"	""	""	""	""	""	"70"	""	""	""	"23"	""	""	""	""	""	""	"84"	""	""	""	""	""	""	"35"	""	""	""	""	""	""	"258"	""	""	""	""	""	""	"30"	""	""	""	""	""	"612"	""	""	""	""	""	"81"	""	""	""	""	""	""	"7077"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"7077"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no. of"	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""
"94"	"of"	"MAHESH SINGH YADAV"	""	""	"RAJESH KUMAR ALIAS MUNNA RAJ"	""	""	""	"LALITA SINGH"	""	""	""	"DR. ANIL KUMAR"	""	""	""	""	""	"JAGDISH YADAV"	""	""	""	""	"JITENDRA YADAV"	""	""	""	""	""	""	"MD. NAUSHAD ALAM"	""	""	""	""	""	""	"BHOLA PASWAN"	""	""	""	""	""	""	"RAJENDRA YADAV"	""	""	""	""	""	""	"BAGESH SHARMA"	""	""	""	""	""	"SHEO BACHAN YADAV"	""	""	""	""	"SANJAY KUMAR"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""
"95"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""
"96"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"1"	"2"	""	""	"3"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""
"98"	"56"	"92"	""	""	"55"	""	""	""	"29"	""	""	""	"167"	""	""	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	"5"	""	""	""	""	"4"	""	""	""	""	""	""	""	"363"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"363"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"57"	"240"	""	""	"58"	""	""	""	"3"	""	""	""	"81"	""	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	"9"	""	""	""	""	"1"	""	""	""	""	""	""	""	"404"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"404"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"58"	"173"	""	""	"13"	""	""	""	"5"	""	""	""	"189"	""	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"2"	""	""	""	""	""	"20"	""	""	""	""	"1"	""	""	""	""	""	""	""	"437"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"437"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"59"	"154"	""	""	"5"	""	""	""	"11"	""	""	""	"82"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	"68"	""	""	""	""	"3"	""	""	""	""	""	""	""	"341"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"341"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"60"	"64"	""	""	"31"	""	""	""	"2"	""	""	""	"120"	""	""	""	""	""	"6"	""	""	""	""	"3"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"1"	""	""	""	""	""	"12"	""	""	""	""	"6"	""	""	""	""	""	""	""	"261"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"261"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"61"	"16"	""	""	"27"	""	""	""	"9"	""	""	""	"38"	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	"118"	""	""	""	""	"18"	""	""	""	""	""	""	""	"244"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"244"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	"62"	"216"	""	""	"59"	""	""	""	"7"	""	""	""	"38"	""	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"5"	""	""	""	""	""	"92"	""	""	""	""	"6"	""	""	""	""	""	""	""	"431"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"431"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"63"	"258"	""	""	"43"	""	""	""	"3"	""	""	""	"27"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"0"	""	""	""	""	""	"43"	""	""	""	""	"12"	""	""	""	""	""	""	""	"411"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"411"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"64"	"32"	""	""	"213"	""	""	""	"12"	""	""	""	"40"	""	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	""	"150"	""	""	""	""	"15"	""	""	""	""	""	""	""	"487"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"487"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"65"	"119"	""	""	"52"	""	""	""	"8"	""	""	""	"55"	""	""	""	""	""	"5"	""	""	""	""	"4"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"5"	""	""	""	""	"8"	""	""	""	""	""	""	""	"262"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"262"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"66"	"9"	""	""	"0"	""	""	""	"197"	""	""	""	"219"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	""	""	"429"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"429"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
