"fuokZpuksa..dk..lapkyu..fu.e...1961"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"1"	"¼dkuwuh  fu;e  vkSj  vkns'k½  ¿iz:i  20À"	""	""	""	""	""	""	""	""	""	""	""
"2"	"¿fu;e  56  ¼7½  nsf[k,À"	""	""	""	""	""	""	""	""	""	""	""
"3"	"vafre ifj.kke&i="	""	""	""	""	""	""	""	""	""	""	""
"4"	"¼vf/klwfpr ernku dsUnzksa ls fHké ernku dsUnzksa ij ernku dk ifj.kke vfHkfyf[kr djus ds fy, mi;ksx esa yk;k tk,½"	""	""	""	""	""	""	""	""	""	""	""
"5"	"153 & lqyrkuxat ¼v0 tk0½ fo/kku LkHkk {kss= ds fy, fuokZpu"	""	""	""	""	""	""	""	""	""	""	""
"6"	"Hkkx   1"	""	""	""	""	""	""	""	""	""	""	""
"7"	"¼ lalnh; vkSj fo/kku lHkk nkssuksa fuokZpuksa ds fy, mi;ksx esa yk;k tk,½"	""	""	""	""	""	""	""	""	""	""	""
"8"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k ------------------------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""
"9"	"                fo/kku lHkk [kaM dk uke ¼lalnh; fuokZpu {ks= ls fuokZpu dh n'kk esa -------------------------------------------------------------------- "	""	""	""	""	""	""	""	""	""	""	""
"10"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnÙk erksa dh la"	""
"238"	"148"	"258"	"20"	"170"	"21"	"22"	"20"	"151"	"662"	""	""	""
"239"	"149"	"113"	"10"	"362"	"18"	"9"	"7"	"28"	"547"	""	""	""
"240"	"150"	"409"	"20"	"101"	"10"	"14"	"12"	"31"	"597"	""	""	""
"241"	"151"	"114"	"8"	"393"	"14"	"7"	"2"	"13"	"551"	""	""	""
"242"	"152"	"25"	"1"	"312"	"3"	"2"	"0"	"5"	"348"	""	""	""
"243"	"153"	"194"	"5"	"33"	"3"	"9"	"2"	"4"	"250"	""	""	""
"244"	"154"	"104"	"6"	"641"	"8"	"1"	"1"	"0"	"761"	""	""	""
"245"	";ksx  &"	"2728"	"269"	"3988"	"215"	"126"	"89"	"416"	"7831"	""	""	""
"246"	"xr  I`k\"B dk  ;ksx  &"	"28127"	"1451"	"30642"	"2495"	"1387"	"922"	"8393"	"73417"	""	""	""
"247"	"dqy  ;ksx  &"	"30855"	"1720"	"34630"	"2710"	"1513"	"1011"	"8809"	"81248"	""	""	""
"248"	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"12"	""	""	""	""	""	""	""	""	""	""	""
"250"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnÙk erksa dh"	""
"251"	""	"x.ks'k ikloku"	"nsosUnz nkl"	"lq/kka'kq 'ks[kj HkkLdj"	"mes'k pkS/kjh"	"mfeZyk pkS/kjh"	"fuokl ikloku"	"QuhUnz pkS/kjh"	""	""	""	""
"252"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"13"	"14"	"15"	""
"253"	"155"	"255"	"13"	"340"	"20"	"10"	"12"	"30"	"680"	""	""	""
"254"	"156"	"193"	"17"	"429"	"13"	"4"	"6"	"17"	"679"	""	""	""
"255"	"157"	"174"	"4"	"219"	"14"	"8"	"9"	"30"	"458"	""	""	""
"256"	"158"	"216"	"12"	"207"	"17"	"7"	"5"	"9"	"473"	""	""	""
"257"	"159"	"314"	"18"	"85"	"10"	"5"	"4"	"25"	"461"	""	""	""
"258"	"160"	"254"	"18"	"291"	"14"	"11"	"9"	"27"	"624"	""	""	""
"259"	"161"	"8"	"2"	"393"	"5"	"1"	"1"	"1"	"411"	""	""	""
"260"	"162"	"287"	"24"	"260"	"16"	"6"	"5"	"35"	"633"	""	""	""
"261"	"163"	"137"	"3"	"137"	"11"	"4"	"2"	"2"	"296"	""	""	""
"262"	"164"	"149"	"4"	"173"	"12"	"3"	"2"	"11"	"354"	""	""	""
"263"	"165"	"75"	"0"	"334"	"4"	"0"	"1"	"1"	"415"	""	""	""
"264"	"166"	"437"	"11"	"42"	"7"	"4"	"5"	"15"	"521"	""	""	""
"265"	"167"	"211"	"9"	"679"	"43"	"9"	"10"	"10"	"971"	""	""	""
"266"	"168"	"90"	"12"	"97"	"12"	"10"	"53"	"14"	"288"	""	""	""
"267"	";ksx  &"	"2800"	"147"	"3686"	"198"	"82"	"124"	"227"	"7264"	""	""	""
"268"	"xr  I`k\"B dk  ;ksx  &"	"30855"	"1720"	"34630"	"2710"	"1513"	"1011"	"8809"	"81248"	""	""	""
"269"	"dqy  ;ksx  &"	"33655"	"1867"	"38316"	"2908"	"1595"	"1135"	"9036"	"88512"	""	""	""
"270"	""	""	""	""	""	""	""	""	""	""	""	""
"271"	"13"	""	""	""	""	""	""	""	""	""	""	""
"272"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnÙk erksa dh"	""
"273"	""	"x.ks'k ikloku"	"nsosUnz nkl"	"lq/kka'kq 'ks[kj HkkLdj"	"mes'k pkS/kjh"	"mfeZyk pkS/kjh"	"fuokl ikloku"	"QuhUnz pkS/kjh"	""	""	""	""
"274"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"13"	"14"	"15"	""
"275"	"169"	"88"	"18"	"315"	"24"	"7"	"3"	"18"	"473"	""	""	""
"276"	"170"	"8"	"0"	"447"	"2"	"1"	"0"	"2"	"460"	""	""	""
"277"	"171"	"332"	"25"	"119"	"13"	"13"	"11"	"30"	"543"	""	""	""
"278"	"172"	"53"	"7"	"245"	"32"	"12"	"6"	"14"	"369"	""	""	""
"279"	"173"	"152"	"9"	"232"	"13"	"15"	"8"	"10"	"439"	""	""	""
"280"	"174"	"41"	"5"	"201"	"13"	"3"	"0"	"3"	"266"	""	""	""
"281"	"175"	"427"	"14"	"11"	"0"	"0"	"1"	"8"	"461"	""	""	""
"282"	"176"	"276"	"4"	"14"	"1"	"1"	"2"	"3"	"301"	""	""	""
"283"	"177"	"97"	"21"	"322"	"31"	"24"	"8"	"11"	"514"	""	""	""
"284"	"178"	"169"	"32"	"231"	"31"	"17"	"16"	"23"	"519"	""	""	""
"285"	"179"	"136"	"17"	"393"	"19"	"3"	"3"	"5"	"576"	""	""	""
"286"	"180"	"113"	"31"	"209"	"45"	"19"	"13"	"57"	"487"	""	""	""
"287"	"181"	"192"	"13"	"51"	"8"	"9"	"14"	"242"	"529"	""	""	""
"288"	"182"	"118"	"15"	"206"	"30"	"8"	"6"	"15"	"398"	""	""	""
"289"	";ksx  &"	"2202"	"211"	"2996"	"262"	"132"	"91"	"441"	"6335"	""	""	""
"290"	"xr  I`k\"B dk  ;ksx  &"	"33655"	"1867"	"38316"	"2908"	"1595"	"1135"	"9036"	"88512"	""	""	""
"291"	"dqy  ;ksx  &"	"35857"	"2078"	"41312"	"3170"	"1727"	"1226"	"9477"	"94847"	""	""	""
"292"	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnÙk erksa dh la"	""
"294"	""	"x.ks'k ikloku"	"nsosUnz nkl"	"lq/kka'kq 'ks[kj HkkLdj"	"mes'k pkS/kjh"	"mfeZyk pkS/kjh"	"fuokl ikloku"	"QuhUnz pkS/kjh"	""	""	""	""
"295"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"13"	"14"	"15"	""
"296"	"183"	"64"	"26"	"341"	"21"	"7"	"4"	"12"	"475"	""	""	""
"297"	"184"	"80"	"4"	"348"	"20"	"3"	"4"	"11"	"470"	""	""	""
"298"	"185"	"184"	"14"	"321"	"34"	"14"	"7"	"35"	"609"	""	""	""
"299"	"186"	"90"	"4"	"205"	"21"	"6"	"1"	"7"	"334"	""	""	""
"300"	"187"	"477"	"9"	"35"	"5"	"0"	"3"	"26"	"555"	""	""	""
"301"	"188"	"84"	"8"	"417"	"51"	"18"	"12"	"14"	"604"	""	""	""
"302"	"189"	"198"	"10"	"336"	"14"	"9"	"5"	"18"	"590"	""	""	""
"303"	"190"	"238"	"9"	"262"	"26"	"7"	"5"	"17"	"564"	""	""	""
"304"	"191"	"228"	"12"	"224"	"31"	"13"	"5"	"18"	"531"	""	""	""
"305"	"192"	"275"	"23"	"336"	"21"	"19"	"9"	"16"	"699"	""	""	""
"306"	"193"	"319"	"22"	"300"	"37"	"9"	"5"	"21"	"713"	""	""	""
"307"	"194"	"181"	"2"	"236"	"21"	"7"	"8"	"8"	"463"	""	""	""
"308"	"195"	"252"	"9"	"128"	"3"	"1"	"3"	"6"	"402"	""	""	""
"309"	"196"	"374"	"13"	"53"	"4"	"2"	"9"	"26"	"481"	""	""	""
"310"	";ksx  &"	"3044"	"165"	"3542"	"309"	"115"	"80"	"235"	"7490"	""	""	""
"311"	"xr  I`k\"B dk  ;ksx  &"	"35857"	"2078"	"41312"	"3170"	"1727"	"1226"	"9477"	"94847"	""	""	""
"312"	"dqy  ;ksx  &"	"38901"	"2243"	"44854"	"3479"	"1842"	"1306"	"9712"	"102337"	""	""	""
"313"	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnÙk erksa dh"	""
"315"	""	"x.ks'k ikloku"	"nsosUnz nkl"	"lq/kka'kq 'ks[kj HkkLdj"	"mes'k pkS/kjh"	"mfeZyk pkS/kjh"	"fuokl ikloku"	"QuhUnz pkS/kjh"	""	""	""	""
"316"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"13"	"14"	"15"	""
"317"	"197"	"264"	"24"	"156"	"8"	"14"	"6"	"19"	"491"	""	""	""
"318"	"198"	"321"	"6"	"53"	"4"	"8"	"2"	"10"	"404"	""	""	""
"319"	"199"	"360"	"22"	"87"	"25"	"16"	"10"	"35"	"555"	""	""	""
"320"	"200"	"293"	"9"	"149"	"7"	"9"	"6"	"42"	"515"	""	""	""
"321"	"201"	"175"	"9"	"124"	"16"	"9"	"6"	"16"	"355"	""	""	""
"322"	"202"	"300"	"12"	"139"	"24"	"20"	"14"	"20"	"529"	""	""	""
"323"	"203"	"559"	"24"	"105"	"33"	"9"	"3"	"13"	"746"	""	""	""
"324"	"204"	"407"	"13"	"121"	"33"	"11"	"4"	"28"	"617"	""	""	""
"325"	"205"	"150"	"4"	"136"	"13"	"1"	"2"	"14"	"320"	""	""	""
"326"	"206"	"96"	"7"	"235"	"18"	"1"	"2"	"13"	"372"	""	""	""
"327"	"207"	"33"	"3"	"447"	"26"	"12"	"2"	"18"	"541"	""	""	""
"328"	"208"	"117"	"5"	"322"	"14"	"5"	"1"	"9"	"473"	""	""	""
"329"	"209"	"172"	"9"	"187"	"21"	"26"	"3"	"29"	"447"	""	""	""
"330"	"210"	"114"	"9"	"144"	"21"	"6"	"6"	"9"	"309"	""	""	""
"331"	";ksx  &"	"3361"	"156"	"2405"	"263"	"147"	"67"	"275"	"6674"	""	""	""
"332"	"xr  I`k\"B dk  ;ksx  &"	"38901"	"2243"	"44854"	"3479"	"1842"	"1306"	"9712"	"102337"	""	""	""
"333"	"dqy  ;ksx  &"	"42262"	"2399"	"47259"	"3742"	"1989"	"1373"	"9987"	"109011"	""	""	""
"334"	""	""	""	""	""	""	""	""	""	""	""	""
"335"	"16"	""	""	""	""	""	""	""	""	""	""	""
"336"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnÙk erksa dh"	""
"337"	""	"x.ks'k ikloku"	"nsosUnz nkl"	"lq/kka'kq 'ks[kj HkkLdj"	"mes'k pkS/kjh"	"mfeZyk pkS/kjh"	"fuokl ikloku"	"QuhUnz pkS/kjh"	""	""	""	""
"338"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"13"	"14"	"15"	""
"339"	"211"	"65"	"5"	"373"	"48"	"23"	"13"	"25"	"552"	""	""	""
"340"	"212"	"110"	"2"	"205"	"17"	"7"	"4"	"4"	"349"	""	""	""
"341"	"213"	"149"	"6"	"323"	"23"	"3"	"6"	"0"	"510"	""	""	""
"342"	"214"	"286"	"12"	"303"	"33"	"11"	"9"	"24"	"678"	""	""	""
"343"	"215"	"167"	"4"	"135"	"16"	"3"	"3"	"2"	"330"	""	""	""
"344"	"216"	"236"	"16"	"158"	"17"	"3"	"6"	"6"	"442"	""	""	""
"345"	"217"	"119"	"11"	"279"	"26"	"6"	"11"	"10"	"462"	""	""	""
"346"	"218"	"78"	"6"	"348"	"21"	"12"	"8"	"14"	"487"	""	""	""
"347"	"219"	"316"	"10"	"268"	"41"	"8"	"16"	"43"	"702"	""	""	""
"348"	"220"	"172"	"8"	"173"	"22"	"15"	"18"	"20"	"428"	""	""	""
"349"	"221"	"224"	"10"	"186"	"29"	"7"	"14"	"18"	"488"	""	""	""
"350"	"222"	"178"	"12"	"364"	"42"	"26"	"14"	"31"	"667"	""	""	""
"351"	"223"	"142"	"19"	"453"	"68"	"25"	"9"	"11"	"727"	""	""	""
"352"	";ksx  &"	"2242"	"121"	"3568"	"403"	"149"	"131"	"208"	"6822"	""	""	""
"353"	"xr  I`k\"B dk  ;ksx  &"	"42262"	"2399"	"47259"	"3742"	"1989"	"1373"	"9987"	"109011"	""	""	""
"354"	"ernku  dsUnzksa ij
vfHkfyf[kr erksa  dh dqy  la[;k  &"	"44504"	"2520"	"50827"	"4145"	"2138"	"1504"	"10195"	"115833"	""	""	""
"355"	"Mkd  er  I=ksa  ij
vfHkfyf[kr erksa  dh la[;k"	"3"	"0"	"0"	"2"	"2"	"0"	"1"	"8"	""	""	""
"356"	"Mkys  x;s  dqy  er  &"	"44507"	"2520"	"50827"	"4147"	"2140"	"1504"	"10196"	"115841"	""	""	""
"357"	"LFkku  &  jktdh;  iksyfVdfud  cjkjh]  Hkkxyiqj"	""	""	""	""	""	""	""	""	""	""	""
"358"	"rkfj[k  &  ----27@02@2005--------------"	""	""	""	""	""	""	""	""	""	""	""
"359"	"fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""
"360"	"&lg&"	""	""	""	""	""	""	""	""	""	""	""
