"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"
"48"	"26"	"192"	""	"2"	""	""	"2"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	""	"122"	""	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"334"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"334"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"27"	"170"	""	"15"	""	""	"11"	""	""	""	"8"	""	""	""	""	"37"	""	""	""	""	"7"	""	""	""	""	"207"	""	""	""	""	""	""	"22"	""	""	""	""	""	"9"	""	""	""	""	""	""	"2"	""	""	""	""	""	"9"	""	""	""	""	""	"7"	""	""	""	""	""	"13"	""	""	""	""	""	""	"50"	""	""	""	""	""	"567"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"567"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"28"	"24"	""	"7"	""	""	"6"	""	""	""	"6"	""	""	""	""	"11"	""	""	""	""	"2"	""	""	""	""	"214"	""	""	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	"280"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"280"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"Total"	"1560"	""	"320"	""	""	"49"	""	""	""	"30"	""	""	""	""	"99"	""	""	""	""	"35"	""	""	""	""	"4136"	""	""	""	""	""	""	"51"	""	""	""	""	""	"32"	""	""	""	""	""	""	"11"	""	""	""	""	""	"24"	""	""	""	""	""	"14"	""	""	""	""	""	"26"	""	""	""	""	""	""	"90"	""	""	""	""	""	"6477"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"6477"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"Place    Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"Date     27-02-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no. of"	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"of"	""	"DR. BINOD KUMAR YADVENDU"	""	"DR. RAM KUMAR MEHTA"	""	""	"VENNA   RAY"	""	""	""	"JUGAL KISHOR PRASAD"	""	""	""	"RAM KESHWAR PRASAD YADAV"	""	""	""	""	"SAROJ  DEVI"	""	""	""	""	""	"AWADHESH KUMAR SINGH"	""	""	""	""	""	"ADITYA PASWAN"	""	""	""	""	""	""	"GOPAL SHARAN CHAUDHARY"	""	""	""	""	""	""	"PURAN CHAUDHARY"	""	""	""	""	"MAHAVEER RAM"	""	""	""	""	""	"MOHAN PRASAD"	""	""	""	""	""	""	"RAM ASHISH SINGH"	""	""	""	""	""	""	"VINOD KUMAR SINGH"	""	""	""	""	""	"No. of valid"	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"1"	""	"2"	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	"16"	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	"18"	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"29"	""	"258"	""	"60"	""	""	"11"	""	""	""	"4"	""	""	""	"8"	""	""	""	""	"2"	""	""	""	""	""	"90"	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"7"	""	""	""	""	""	"449"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"449"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"30"	""	"99"	""	"4"	""	""	"2"	""	""	""	"2"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	"138"	""	""	""	""	""	"4"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	"7"	""	""	""	""	""	"5"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"17"	""	""	""	""	""	"298"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"298"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"31"	""	"116"	""	"30"	""	""	"0"	""	""	""	"1"	""	""	""	"8"	""	""	""	""	"3"	""	""	""	""	""	"360"	""	""	""	""	""	"4"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"13"	""	""	""	""	""	"553"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"553"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"32"	""	"96"	""	"28"	""	""	"2"	""	""	""	"4"	""	""	""	"6"	""	""	""	""	"6"	""	""	""	""	""	"156"	""	""	""	""	""	"10"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"12"	""	""	""	""	""	"338"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"338"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"33"	""	"244"	""	"12"	""	""	"3"	""	""	""	"2"	""	""	""	"4"	""	""	""	""	"2"	""	""	""	""	""	"100"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"11"	""	""	""	""	""	"382"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"382"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"34"	""	"0"	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"309"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"310"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"310"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"35"	""	"646"	""	"5"	""	""	"0"	""	""	""	"0"	""	""	""	"6"	""	""	""	""	"1"	""	""	""	""	""	"170"	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"831"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"831"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"36"	""	"233"	""	"6"	""	""	"2"	""	""	""	"1"	""	""	""	"46"	""	""	""	""	"2"	""	""	""	""	""	"141"	""	""	""	""	""	"4"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"7"	""	""	""	""	""	"455"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"455"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"37"	""	"244"	""	"11"	""	""	"5"	""	""	""	"4"	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	"81"	""	""	""	""	""	"4"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	"6"	""	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"12"	""	""	""	""	""	"382"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"382"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"38"	""	"260"	""	"16"	""	""	"4"	""	""	""	"2"	""	""	""	"39"	""	""	""	""	"1"	""	""	""	""	""	"360"	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"8"	""	""	""	""	""	"704"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"704"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"39"	""	"401"	""	"6"	""	""	"2"	""	""	""	"1"	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	""	"134"	""	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	"565"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"565"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"40"	""	"62"	""	"1"	""	""	"0"	""	""	""	"3"	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	"149"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"220"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"220"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"41"	""	"15"	""	"2"	""	""	"3"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"4"	""	""	""	""	""	"627"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"652"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"652"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"42"	""	"207"	""	"3"	""	""	"24"	""	""	""	"2"	""	""	""	"8"	""	""	""	""	"7"	""	""	""	""	""	"326"	""	""	""	""	""	"9"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"5"	""	""	""	""	""	"603"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"603"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"Total"	""	"2881"	""	"184"	""	""	"58"	""	""	""	"26"	""	""	""	"135"	""	""	""	""	"38"	""	""	""	""	""	"3141"	""	""	""	""	""	"47"	""	""	""	""	""	""	"35"	""	""	""	""	""	""	"17"	""	""	""	""	"33"	""	""	""	""	""	"23"	""	""	""	""	""	""	"28"	""	""	""	""	""	""	"96"	""	""	""	""	""	"6742"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"6742"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no. of"	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""	""	""	""
"76"	"of"	"DR. BINOD KUMAR YADVENDU"	""	""	"DR. RAM KUMAR MEHTA"	""	""	"VENNA   RAY"	""	""	""	"JUGAL KISHOR PRASAD"	""	""	""	""	""	"RAM KESHWAR PRASAD YADAV"	""	""	""	"SAROJ  DEVI"	""	""	""	""	""	"AWADHESH KUMAR SINGH"	""	""	""	""	""	""	"ADITYA PASWAN"	""	""	""	""	""	"GOPAL SHARAN CHAUDHARY"	""	""	""	""	""	""	"PURAN CHAUDHARY"	""	""	""	""	"MAHAVEER RAM"	""	""	""	""	""	"MOHAN PRASAD"	""	""	""	""	""	""	"RAM ASHISH SINGH"	""	""	""	""	""	"VINOD KUMAR SINGH"	""	""	""	""	""	""	"No. of valid"	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""	""	""	""
"77"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""
"78"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	"18"	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	""	""	""
"80"	"43"	"121"	""	""	"228"	""	""	"32"	""	""	""	"1"	""	""	""	""	""	"5"	""	""	""	"2"	""	""	""	""	""	"105"	""	""	""	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	""	"507"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"507"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"44"	"293"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"178"	""	""	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"4"	""	""	""	""	""	""	"483"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"483"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"82"	"45"	"429"	""	""	"14"	""	""	"65"	""	""	""	"6"	""	""	""	""	""	"49"	""	""	""	"4"	""	""	""	""	""	"81"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	"654"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"654"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"46"	"92"	""	""	"41"	""	""	"7"	""	""	""	"0"	""	""	""	""	""	"7"	""	""	""	"0"	""	""	""	""	""	"144"	""	""	""	""	""	""	"14"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"306"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"306"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"47"	"125"	""	""	"17"	""	""	"3"	""	""	""	"1"	""	""	""	""	""	"13"	""	""	""	"1"	""	""	""	""	""	"43"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	""	"207"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"207"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"48"	"317"	""	""	"6"	""	""	"8"	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	"3"	""	""	""	""	""	"422"	""	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"771"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"771"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"49"	"48"	""	""	"6"	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"326"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"382"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"382"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"50"	"65"	""	""	"2"	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"4"	""	""	""	""	""	"267"	""	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"4"	""	""	""	""	""	""	"348"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"348"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"51"	"6"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"841"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"20"	""	""	""	""	""	""	"869"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"869"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"52"	"358"	""	""	"6"	""	""	"12"	""	""	""	"4"	""	""	""	""	""	"22"	""	""	""	"4"	""	""	""	""	""	"38"	""	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	""	"7"	""	""	""	""	""	""	"0"	""	""	""	""	""	"18"	""	""	""	""	""	""	"477"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"477"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"53"	"284"	""	""	"8"	""	""	"2"	""	""	""	"4"	""	""	""	""	""	"42"	""	""	""	"1"	""	""	""	""	""	"165"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	"510"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"510"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"54"	"132"	""	""	"7"	""	""	"9"	""	""	""	"2"	""	""	""	""	""	"11"	""	""	""	"0"	""	""	""	""	""	"201"	""	""	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	""	""	"5"	""	""	""	""	"10"	""	""	""	""	""	"4"	""	""	""	""	""	""	"7"	""	""	""	""	""	"14"	""	""	""	""	""	""	"413"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"413"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"55"	"115"	""	""	"2"	""	""	"3"	""	""	""	"2"	""	""	""	""	""	"7"	""	""	""	"10"	""	""	""	""	""	"209"	""	""	""	""	""	""	"9"	""	""	""	""	""	"3"	""	""	""	""	""	""	"6"	""	""	""	""	"5"	""	""	""	""	""	"4"	""	""	""	""	""	""	"7"	""	""	""	""	""	"10"	""	""	""	""	""	""	"392"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"392"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"56"	"254"	""	""	"8"	""	""	"3"	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"124"	""	""	""	""	""	""	"3"	""	""	""	""	""	"4"	""	""	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"8"	""	""	""	""	""	""	"424"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"424"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"Total"	"2639"	""	""	"345"	""	""	"145"	""	""	""	"27"	""	""	""	""	""	"163"	""	""	""	"35"	""	""	""	""	""	"3144"	""	""	""	""	""	""	"47"	""	""	""	""	""	"26"	""	""	""	""	""	""	"21"	""	""	""	""	"25"	""	""	""	""	""	"21"	""	""	""	""	""	""	"17"	""	""	""	""	""	"88"	""	""	""	""	""	""	"6743"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"6743"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"Total no. of"	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""	""	""
