"ernku..dsUnz.dh..la..k"	"fuEufyf.kr..vH.fFkZ.ks..ds..Ik.k..esa..fn...x...fof.kekU...erksa..dh..la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"164"	"115"	"12"	"431"	"136"	"7"	"2"	"10"	"5"	"1"	"2"	"1"	"6"	"9"	"622"	""	""	"622"
"165"	"116"	"5"	"407"	"29"	"2"	"1"	"4"	"1"	"1"	"2"	"1"	"2"	"1"	"456"	""	""	"456"
"166"	"117"	"5"	"420"	"43"	"11"	"1"	"1"	"1"	"0"	"4"	"0"	"0"	"4"	"490"	""	""	"490"
"167"	"118"	"5"	"655"	"20"	"6"	"0"	"5"	"2"	"6"	"12"	"1"	"2"	"1"	"715"	""	""	"715"
"168"	"119"	"2"	"437"	"2"	"7"	"1"	"38"	"1"	"1"	"1"	"1"	"0"	"4"	"495"	""	""	"495"
"169"	"120"	"1"	"398"	"10"	"8"	"1"	"37"	"0"	"0"	"0"	"1"	"3"	"2"	"461"	""	""	"461"
"170"	"121"	"0"	"541"	"39"	"2"	"0"	"26"	"2"	"1"	"2"	"0"	"4"	"5"	"622"	""	""	"622"
"171"	"122"	"23"	"3"	"325"	"13"	"1"	"29"	"0"	"0"	"5"	"2"	"6"	"2"	"409"	""	""	"409"
"172"	"123"	"13"	"398"	"6"	"10"	"1"	"5"	"0"	"0"	"0"	"1"	"3"	"8"	"445"	""	""	"445"
"173"	"124"	"2"	"534"	"2"	"0"	"0"	"8"	"1"	"0"	"0"	"1"	"0"	"2"	"550"	""	""	"550"
"174"	"125"	"4"	"622"	"8"	"7"	"0"	"21"	"0"	"1"	"0"	"0"	"5"	"3"	"671"	""	""	"671"
"175"	"126"	"6"	"449"	"141"	"3"	"0"	"23"	"1"	"2"	"3"	"0"	"4"	"3"	"635"	""	""	"635"
"176"	"Round Total"	"109"	"5437"	"982"	"205"	"34"	"506"	"54"	"42"	"49"	"53"	"50"	"90"	"7611"	"0"	"0"	"7611"
"177"	"C.F.->"	"1523"	"24758"	"19793"	"2493"	"514"	"10050"	"739"	"490"	"3272"	"550"	"591"	"1294"	"66067"	"0"	"0"	"66067"
"178"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	""	"ujs'k izlkn  lkg"	"latho  dqekj  >k"	"lq;Z  ukjk;.k ;kno"	"vkyksd  feJ"	"y{eh ukjk;.k 'kekZ"	"'kadj  izlkn  Vsdjhoky"	"vPNks  jke"	"fueZy  feJ"	"fctsUnz  dqekj  ;kno"	"jes'k dqekj  'kekZ"	"fojsUnz  ;kno"	"fl;k 'kj.k 'kekZ"	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"180"	"ROUND -X"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"B.F.->"	"1523"	"24758"	"19793"	"2493"	"514"	"10050"	"739"	"490"	"3272"	"550"	"591"	"1294"	"66067"	"0"	"0"	"66067"
"182"	"127"	"12"	"288"	"105"	"8"	"5"	"27"	"7"	"3"	"13"	"3"	"0"	"9"	"480"	""	""	"480"
"183"	"128"	"16"	"4"	"265"	"14"	"0"	"133"	"5"	"1"	"47"	"6"	"3"	"7"	"501"	""	""	"501"
"184"	"129"	"1"	"3"	"815"	"1"	"0"	"8"	"0"	"0"	"24"	"3"	"1"	"6"	"862"	""	""	"862"
"185"	"130"	"127"	"39"	"44"	"64"	"3"	"18"	"5"	"6"	"94"	"22"	"10"	"19"	"451"	""	""	"451"
"186"	"131"	"13"	"10"	"231"	"18"	"36"	"38"	"13"	"9"	"11"	"8"	"9"	"35"	"431"	""	""	"431"
"187"	"132"	"4"	"316"	"49"	"0"	"0"	"58"	"0"	"0"	"6"	"0"	"1"	"3"	"437"	""	""	"437"
"188"	"133"	"14"	"685"	"225"	"8"	"2"	"40"	"1"	"2"	"1"	"3"	"2"	"7"	"990"	""	""	"990"
"189"	"134"	"2"	"10"	"113"	"8"	"13"	"102"	"3"	"3"	"3"	"5"	"6"	"19"	"287"	""	""	"287"
"190"	"135"	"1"	"22"	"194"	"11"	"20"	"19"	"4"	"3"	"6"	"3"	"18"	"18"	"319"	""	""	"319"
"191"	"136"	"15"	"154"	"105"	"10"	"4"	"78"	"8"	"2"	"9"	"12"	"7"	"18"	"422"	""	""	"422"
"192"	"137"	"16"	"188"	"130"	"9"	"2"	"77"	"4"	"5"	"3"	"8"	"12"	"7"	"461"	""	""	"461"
"193"	"138"	"43"	"97"	"100"	"10"	"3"	"39"	"6"	"3"	"31"	"3"	"6"	"13"	"354"	""	""	"354"
"194"	"139"	"60"	"39"	"458"	"17"	"7"	"111"	"6"	"7"	"108"	"4"	"11"	"23"	"851"	""	""	"851"
"195"	"140"	"77"	"6"	"72"	"59"	"3"	"38"	"11"	"1"	"33"	"1"	"3"	"5"	"309"	""	""	"309"
"196"	"Round Total"	"401"	"1861"	"2906"	"237"	"98"	"786"	"73"	"45"	"389"	"81"	"89"	"189"	"7155"	"0"	"0"	"7155"
"197"	"C.F.->"	"1924"	"26619"	"22699"	"2730"	"612"	"10836"	"812"	"535"	"3661"	"631"	"680"	"1483"	"73222"	"0"	"0"	"73222"
"198"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	""	"ujs'k izlkn  lkg"	"latho  dqekj  >k"	"lq;Z  ukjk;.k ;kno"	"vkyksd  feJ"	"y{eh ukjk;.k 'kekZ"	"'kadj  izlkn  Vsdjhoky"	"vPNks  jke"	"fueZy  feJ"	"fctsUnz  dqekj  ;kno"	"jes'k dqekj  'kekZ"	"fojsUnz  ;kno"	"fl;k 'kj.k 'kekZ"	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"200"	"ROUND- XI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"B.F.->"	"1924"	"26619"	"22699"	"2730"	"612"	"10836"	"812"	"535"	"3661"	"631"	"680"	"1483"	"73222"	"0"	"0"	"73222"
"202"	"141"	"1"	"54"	"31"	"2"	"0"	"212"	"2"	"0"	"39"	"0"	"1"	"0"	"342"	""	""	"342"
"203"	"142"	"17"	"195"	"223"	"24"	"9"	"141"	"9"	"8"	"5"	"11"	"21"	"17"	"680"	""	""	"680"
"204"	"143"	"8"	"134"	"164"	"14"	"6"	"41"	"5"	"2"	"2"	"4"	"9"	"15"	"404"	""	""	"404"
"205"	"144"	"6"	"45"	"302"	"25"	"1"	"15"	"2"	"3"	"2"	"2"	"4"	"4"	"411"	""	""	"411"
"206"	"145"	"2"	"6"	"409"	"5"	"0"	"8"	"2"	"1"	"38"	"0"	"1"	"7"	"479"	""	""	"479"
"207"	"146"	"22"	"183"	"39"	"2"	"2"	"7"	"4"	"3"	"3"	"0"	"14"	"384"	"663"	""	""	"663"
"208"	"147"	"34"	"116"	"143"	"15"	"7"	"85"	"10"	"5"	"3"	"8"	"38"	"9"	"473"	""	""	"473"
"209"	"148"	"15"	"13"	"222"	"17"	"4"	"53"	"3"	"1"	"11"	"5"	"2"	"26"	"372"	""	""	"372"
"210"	"149"	"2"	"25"	"251"	"8"	"3"	"6"	"2"	"2"	"0"	"1"	"4"	"5"	"309"	""	""	"309"
"211"	"150"	"6"	"14"	"401"	"24"	"1"	"32"	"7"	"1"	"5"	"3"	"10"	"12"	"516"	""	""	"516"
"212"	"151"	"13"	"57"	"74"	"18"	"4"	"325"	"17"	"8"	"2"	"5"	"7"	"13"	"543"	""	""	"543"
"213"	"152"	"51"	"226"	"132"	"14"	"39"	"18"	"10"	"4"	"7"	"35"	"3"	"20"	"559"	""	""	"559"
"214"	"153"	"12"	"176"	"172"	"13"	"66"	"6"	"7"	"11"	"5"	"20"	"8"	"18"	"514"	""	""	"514"
"215"	"154"	"2"	"78"	"108"	"6"	"6"	"33"	"2"	"1"	"0"	"0"	"2"	"3"	"241"	""	""	"241"
"216"	"Round Total"	"191"	"1322"	"2671"	"187"	"148"	"982"	"82"	"50"	"122"	"94"	"124"	"533"	"6506"	"0"	"0"	"6506"
"217"	"C.F.->"	"2115"	"27941"	"25370"	"2917"	"760"	"11818"	"894"	"585"	"3783"	"725"	"804"	"2016"	"79728"	"0"	"0"	"79728"
"218"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	""	"ujs'k izlkn  lkg"	"latho  dqekj  >k"	"lq;Z  ukjk;.k ;kno"	"vkyksd  feJ"	"y{eh ukjk;.k 'kekZ"	"'kadj  izlkn  Vsdjhoky"	"vPNks  jke"	"fueZy  feJ"	"fctsUnz  dqekj  ;kno"	"jes'k dqekj  'kekZ"	"fojsUnz  ;kno"	"fl;k 'kj.k 'kekZ"	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"220"	"ROUND -XII"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"B.F.->"	"2115"	"27941"	"25370"	"2917"	"760"	"11818"	"894"	"585"	"3783"	"725"	"804"	"2016"	"79728"	"0"	"0"	"79728"
"222"	"155"	"45"	"190"	"164"	"17"	"6"	"67"	"13"	"7"	"16"	"26"	"12"	"11"	"574"	""	""	"574"
"223"	"156"	"6"	"125"	"96"	"9"	"0"	"18"	"2"	"3"	"2"	"4"	"3"	"4"	"272"	""	""	"272"
"224"	"157"	"16"	"288"	"97"	"42"	"4"	"14"	"3"	"5"	"2"	"0"	"4"	"1"	"476"	""	""	"476"
"225"	"158"	"27"	"331"	"39"	"28"	"1"	"18"	"7"	"2"	"0"	"2"	"2"	"3"	"460"	""	""	"460"
"226"	"159"	"4"	"201"	"38"	"2"	"1"	"8"	"0"	"0"	"2"	"0"	"0"	"1"	"257"	""	""	"257"
"227"	"160"	"6"	"137"	"78"	"15"	"1"	"18"	"1"	"1"	"1"	"1"	"0"	"1"	"260"	""	""	"260"
"228"	"161"	"85"	"110"	"60"	"14"	"13"	"426"	"13"	"12"	"3"	"10"	"4"	"15"	"765"	""	""	"765"
"229"	"162"	"32"	"77"	"167"	"37"	"6"	"29"	"10"	"1"	"13"	"4"	"2"	"9"	"387"	""	""	"387"
"230"	"163"	"5"	"354"	"253"	"7"	"2"	"12"	"2"	"2"	"2"	"0"	"4"	"2"	"645"	""	""	"645"
"231"	"164"	"108"	"96"	"158"	"12"	"5"	"168"	"6"	"3"	"7"	"2"	"4"	"9"	"578"	""	""	"578"
"232"	"165"	"11"	"134"	"100"	"3"	"1"	"62"	"4"	"0"	"3"	"0"	"1"	"2"	"321"	""	""	"321"
"233"	"166"	"3"	"351"	"41"	"8"	"1"	"109"	"3"	"1"	"1"	"0"	"2"	"2"	"522"	""	""	"522"
"234"	"167"	"17"	"319"	"25"	"27"	"0"	"114"	"2"	"2"	"0"	"0"	"1"	"0"	"507"	""	""	"507"
"235"	"168"	"13"	"181"	"158"	"32"	"0"	"73"	"4"	"1"	"2"	"3"	"2"	"6"	"475"	""	""	"475"
"236"	"Round Total"	"378"	"2894"	"1474"	"253"	"41"	"1136"	"70"	"40"	"54"	"52"	"41"	"66"	"6499"	"0"	"0"	"6499"
"237"	"C.F.->"	"2493"	"30835"	"26844"	"3170"	"801"	"12954"	"964"	"625"	"3837"	"777"	"845"	"2082"	"86227"	"0"	"0"	"86227"
"238"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	""	"ujs'k izlkn  lkg"	"latho  dqekj  >k"	"lq;Z  ukjk;.k ;kno"	"vkyksd  feJ"	"y{eh ukjk;.k 'kekZ"	"'kadj  izlkn  Vsdjhoky"	"vPNks  jke"	"fueZy  feJ"	"fctsUnz  dqekj  ;kno"	"jes'k dqekj  'kekZ"	"fojsUnz  ;kno"	"fl;k 'kj.k 'kekZ"	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"240"	"ROUND- XIII"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"B.F.->"	"2493"	"30835"	"26844"	"3170"	"801"	"12954"	"964"	"625"	"3837"	"777"	"845"	"2082"	"86227"	"0"	"0"	"86227"
"242"	"169"	"23"	"166"	"91"	"10"	"0"	"54"	"4"	"0"	"1"	"1"	"2"	"2"	"354"	""	""	"354"
"243"	"170"	"9"	"208"	"51"	"1"	"0"	"6"	"1"	"0"	"2"	"1"	"2"	"4"	"285"	""	""	"285"
"244"	"171"	"0"	"214"	"34"	"51"	"0"	"14"	"5"	"4"	"7"	"1"	"5"	"3"	"338"	""	""	"338"
"245"	"172"	"11"	"376"	"51"	"29"	"4"	"88"	"4"	"3"	"2"	"6"	"4"	"7"	"585"	""	""	"585"
"246"	"173"	"2"	"179"	"56"	"80"	"6"	"17"	"6"	"5"	"3"	"2"	"4"	"14"	"374"	""	""	"374"
"247"	"174"	"8"	"311"	"137"	"77"	"5"	"23"	"2"	"4"	"7"	"1"	"4"	"2"	"581"	""	""	"581"
"248"	"175"	"1"	"168"	"67"	"45"	"3"	"8"	"3"	"2"	"2"	"2"	"3"	"3"	"307"	""	""	"307"
"249"	"176"	"10"	"469"	"79"	"14"	"0"	"20"	"2"	"3"	"0"	"2"	"2"	"1"	"602"	""	""	"602"
"250"	"177"	"6"	"501"	"78"	"27"	"1"	"41"	"3"	"3"	"3"	"9"	"4"	"4"	"680"	""	""	"680"
"251"	"178"	"3"	"331"	"99"	"16"	"2"	"30"	"5"	"2"	"3"	"12"	"1"	"7"	"511"	""	""	"511"
"252"	"179"	"3"	"289"	"66"	"8"	"1"	"19"	"0"	"0"	"1"	"1"	"0"	"0"	"388"	""	""	"388"
"253"	"180"	"2"	"310"	"163"	"12"	"1"	"30"	"4"	"2"	"1"	"6"	"1"	"3"	"535"	""	""	"535"
"254"	"181"	"5"	"261"	"134"	"30"	"3"	"12"	"2"	"1"	"2"	"1"	"3"	"0"	"454"	""	""	"454"
"255"	"182"	"30"	"170"	"187"	"8"	"4"	"83"	"3"	"1"	"4"	"5"	"4"	"3"	"502"	""	""	"502"
"256"	"Round Total"	"113"	"3953"	"1293"	"408"	"30"	"445"	"44"	"30"	"38"	"50"	"39"	"53"	"6496"	"0"	"0"	"6496"
"257"	"C.F.->"	"2606"	"34788"	"28137"	"3578"	"831"	"13399"	"1008"	"655"	"3875"	"827"	"884"	"2135"	"92723"	"0"	"0"	"92723"
"258"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	""	"ujs'k izlkn  lkg"	"latho  dqekj  >k"	"lq;Z  ukjk;.k ;kno"	"vkyksd  feJ"	"y{eh ukjk;.k 'kekZ"	"'kadj  izlkn  Vsdjhoky"	"vPNks  jke"	"fueZy  feJ"	"fctsUnz  dqekj  ;kno"	"jes'k dqekj  'kekZ"	"fojsUnz  ;kno"	"fl;k 'kj.k 'kekZ"	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"260"	"ROUND -XIV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"B.F.->"	"2606"	"34788"	"28137"	"3578"	"831"	"13399"	"1008"	"655"	"3875"	"827"	"884"	"2135"	"92723"	"0"	"0"	"92723"
"262"	"183"	"10"	"206"	"21"	"2"	"0"	"110"	"2"	"0"	"11"	"1"	"1"	"0"	"364"	""	""	"364"
"263"	"184"	"10"	"53"	"346"	"9"	"4"	"69"	"3"	"2"	"2"	"3"	"1"	"7"	"509"	""	""	"509"
"264"	"185"	"11"	"411"	"109"	"9"	"1"	"129"	"8"	"3"	"12"	"10"	"16"	"21"	"740"	""	""	"740"
"265"	"186"	"8"	"386"	"56"	"10"	"0"	"45"	"1"	"2"	"0"	"0"	"8"	"7"	"523"	""	""	"523"
"266"	"186A"	"6"	"187"	"31"	"6"	"0"	"12"	"4"	"0"	"1"	"1"	"7"	"4"	"259"	""	""	"259"
"267"	"187"	"9"	"61"	"82"	"42"	"5"	"276"	"10"	"5"	"6"	"8"	"10"	"13"	"527"	""	""	"527"
"268"	"188"	"8"	"156"	"182"	"36"	"2"	"52"	"3"	"1"	"8"	"3"	"3"	"4"	"458"	""	""	"458"
"269"	"188A"	"1"	"210"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	""	""	"222"
"270"	"189"	"6"	"113"	"212"	"10"	"9"	"50"	"8"	"2"	"4"	"142"	"3"	"8"	"567"	""	""	"567"
"271"	"190"	"2"	"104"	"23"	"6"	"1"	"11"	"1"	"0"	"1"	"1"	"1"	"2"	"153"	""	""	"153"
"272"	"191"	"24"	"323"	"61"	"31"	"3"	"68"	"11"	"2"	"6"	"12"	"39"	"8"	"588"	""	""	"588"
"273"	"192"	"12"	"141"	"48"	"13"	"4"	"9"	"6"	"1"	"3"	"7"	"73"	"11"	"328"	""	""	"328"
"274"	"193"	"13"	"68"	"30"	"7"	"3"	"21"	"3"	"3"	"7"	"70"	"24"	"17"	"266"	""	""	"266"
"275"	"193A"	"20"	"77"	"104"	"21"	"2"	"43"	"17"	"1"	"2"	"73"	"37"	"10"	"407"	""	""	"407"
"276"	"Round Total"	"140"	"2496"	"1314"	"204"	"34"	"895"	"77"	"22"	"63"	"331"	"223"	"112"	"5911"	"0"	"0"	"5911"
"277"	"C.F.->"	"2746"	"37284"	"29451"	"3782"	"865"	"14294"	"1085"	"677"	"3938"	"1158"	"1107"	"2247"	"98634"	"0"	"0"	"98634"
"278"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	""	"ujs'k izlkn  lkg"	"latho  dqekj  >k"	"lq;Z  ukjk;.k ;kno"	"vkyksd  feJ"	"y{eh ukjk;.k 'kekZ"	"'kadj  izlkn  Vsdjhoky"	"vPNks  jke"	"fueZy  feJ"	"fctsUnz  dqekj  ;kno"	"jes'k dqekj  'kekZ"	"fojsUnz  ;kno"	"fl;k 'kj.k 'kekZ"	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"280"	"ROUND- XV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"B.F.->"	"2746"	"37284"	"29451"	"3782"	"865"	"14294"	"1085"	"677"	"3938"	"1158"	"1107"	"2247"	"98634"	"0"	"0"	"98634"
"282"	"194"	"11"	"403"	"58"	"16"	"2"	"119"	"3"	"1"	"0"	"0"	"7"	"5"	"625"	""	""	"625"
"283"	"195"	"4"	"244"	"35"	"25"	"1"	"31"	"2"	"1"	"2"	"1"	"4"	"1"	"351"	""	""	"351"
"284"	"196"	"5"	"196"	"102"	"19"	"6"	"71"	"7"	"7"	"5"	"10"	"71"	"12"	"511"	""	""	"511"
"285"	"197"	"1"	"263"	"42"	"5"	"0"	"16"	"1"	"0"	"4"	"0"	"0"	"2"	"334"	""	""	"334"
"286"	"198"	"5"	"233"	"27"	"2"	"0"	"33"	"1"	"0"	"0"	"6"	"2"	"4"	"313"	""	""	"313"
"287"	"199"	"5"	"256"	"90"	"16"	"0"	"75"	"2"	"0"	"0"	"0"	"0"	"0"	"444"	""	""	"444"
"288"	"200"	"6"	"239"	"42"	"4"	"2"	"118"	"1"	"0"	"2"	"0"	"0"	"2"	"416"	""	""	"416"
"289"	"201"	"6"	"320"	"68"	"4"	"0"	"28"	"1"	"0"	"2"	"4"	"2"	"2"	"437"	""	""	"437"
"290"	"202"	"7"	"161"	"104"	"9"	"0"	"7"	"1"	"0"	"4"	"1"	"1"	"0"	"295"	""	""	"295"
"291"	"202A"	"2"	"175"	"41"	"10"	"0"	"24"	"0"	"0"	"1"	"1"	"0"	"1"	"255"	""	""	"255"
"292"	"203"	"1"	"336"	"100"	"16"	"0"	"32"	"0"	"1"	"1"	"0"	"3"	"0"	"490"	""	""	"490"
"293"	"204"	"26"	"250"	"132"	"14"	"2"	"127"	"10"	"4"	"21"	"6"	"11"	"12"	"615"	""	""	"615"
"294"	"205"	"5"	"81"	"179"	"16"	"2"	"273"	"10"	"0"	"6"	"2"	"6"	"5"	"585"	""	""	"585"
"295"	"206"	"8"	"210"	"41"	"8"	"2"	"45"	"0"	"2"	"2"	"1"	"0"	"2"	"321"	""	""	"321"
"296"	"Round Total"	"92"	"3367"	"1061"	"164"	"17"	"999"	"39"	"16"	"50"	"32"	"107"	"48"	"5992"	"0"	"0"	"5992"
"297"	"C.F.->"	"2838"	"40651"	"30512"	"3946"	"882"	"15293"	"1124"	"693"	"3988"	"1190"	"1214"	"2295"	"104626"	"0"	"0"	"104626"
"298"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	""	"ujs'k izlkn  lkg"	"latho  dqekj  >k"	"lq;Z  ukjk;.k ;kno"	"vkyksd  feJ"	"y{eh ukjk;.k 'kekZ"	"'kadj  izlkn  Vsdjhoky"	"vPNks  jke"	"fueZy  feJ"	"fctsUnz  dqekj  ;kno"	"jes'k dqekj  'kekZ"	"fojsUnz  ;kno"	"fl;k 'kj.k 'kekZ"	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"300"	"ROUND- XVI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"B.F.->"	"2838"	"40651"	"30512"	"3946"	"882"	"15293"	"1124"	"693"	"3988"	"1190"	"1214"	"2295"	"104626"	"0"	"0"	"104626"
"302"	"207"	"97"	"158"	"136"	"9"	"5"	"54"	"6"	"2"	"3"	"1"	"4"	"1"	"476"	""	""	"476"
"303"	"208"	"1"	"91"	"27"	"1"	"0"	"2"	"1"	"0"	"0"	"1"	"4"	"0"	"128"	""	""	"128"
"304"	"209"	"37"	"31"	"295"	"10"	"2"	"7"	"8"	"6"	"4"	"4"	"2"	"1"	"407"	""	""	"407"
"305"	"210"	"5"	"16"	"322"	"15"	"6"	"8"	"4"	"5"	"83"	"4"	"5"	"3"	"476"	""	""	"476"
"306"	"211"	"10"	"315"	"167"	"8"	"2"	"19"	"1"	"1"	"6"	"2"	"2"	"2"	"535"	""	""	"535"
"307"	"212"	"17"	"250"	"129"	"12"	"0"	"6"	"1"	"1"	"5"	"3"	"4"	"9"	"437"	""	""	"437"
"308"	"213"	"22"	"121"	"144"	"21"	"7"	"94"	"10"	"5"	"10"	"5"	"3"	"16"	"458"	""	""	"458"
"309"	"214"	"15"	"167"	"25"	"5"	"1"	"4"	"1"	"1"	"0"	"0"	"2"	"2"	"223"	""	""	"223"
"310"	"215"	"18"	"113"	"211"	"5"	"3"	"75"	"6"	"1"	"15"	"2"	"1"	"4"	"454"	""	""	"454"
"311"	"216"	"9"	"50"	"261"	"29"	"5"	"171"	"11"	"4"	"2"	"9"	"13"	"12"	"576"	""	""	"576"
"312"	"217"	"5"	"140"	"78"	"6"	"0"	"26"	"4"	"0"	"1"	"2"	"0"	"2"	"264"	""	""	"264"
"313"	"218"	"5"	"2"	"216"	"73"	"6"	"140"	"5"	"3"	"5"	"7"	"6"	"10"	"478"	""	""	"478"
"314"	"219"	"14"	"451"	"55"	"6"	"3"	"17"	"1"	"0"	"4"	"11"	"5"	"6"	"573"	""	""	"573"
"315"	"220"	"4"	"237"	"23"	"0"	"1"	"2"	"0"	"0"	"0"	"1"	"1"	"3"	"272"	""	""	"272"
"316"	"Round Total"	"259"	"2142"	"2089"	"200"	"41"	"625"	"59"	"29"	"138"	"52"	"52"	"71"	"5757"	"0"	"0"	"5757"
"317"	"C.F.->"	"3097"	"42793"	"32601"	"4146"	"923"	"15918"	"1183"	"722"	"4126"	"1242"	"1266"	"2366"	"110383"	"0"	"0"	"110383"
"318"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"319"	""	"ujs'k izlkn  lkg"	"latho  dqekj  >k"	"lq;Z  ukjk;.k ;kno"	"vkyksd  feJ"	"y{eh ukjk;.k 'kekZ"	"'kadj  izlkn  Vsdjhoky"	"vPNks  jke"	"fueZy  feJ"	"fctsUnz  dqekj  ;kno"	"jes'k dqekj  'kekZ"	"fojsUnz  ;kno"	"fl;k 'kj.k 'kekZ"	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"320"	"ROUND- XVII"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"321"	"B.F.->"	"3097"	"42793"	"32601"	"4146"	"923"	"15918"	"1183"	"722"	"4126"	"1242"	"1266"	"2366"	"110383"	"0"	"0"	"110383"
"322"	"221"	"17"	"173"	"139"	"16"	"14"	"144"	"23"	"6"	"8"	"86"	"21"	"17"	"664"	""	""	"664"
"323"	"222"	"12"	"88"	"25"	"4"	"21"	"68"	"7"	"9"	"18"	"31"	"10"	"199"	"492"	""	""	"492"
"324"	"223"	"7"	"206"	"131"	"9"	"2"	"69"	"4"	"2"	"11"	"12"	"8"	"16"	"477"	""	""	"477"
"325"	"224"	"10"	"16"	"422"	"71"	"2"	"66"	"9"	"1"	"4"	"3"	"1"	"0"	"605"	""	""	"605"
"326"	"225"	"6"	"51"	"251"	"9"	"1"	"53"	"0"	"1"	"3"	"3"	"0"	"7"	"385"	""	""	"385"
"327"	"226"	"13"	"10"	"281"	"16"	"1"	"32"	"2"	"5"	"4"	"2"	"0"	"4"	"370"	""	""	"370"
"328"	"227"	"6"	"183"	"41"	"12"	"5"	"35"	"8"	"7"	"5"	"46"	"4"	"39"	"391"	""	""	"391"
"329"	"228"	"37"	"101"	"106"	"40"	"23"	"69"	"20"	"13"	"12"	"82"	"8"	"24"	"535"	""	""	"535"
"330"	"229"	"5"	"17"	"235"	"10"	"0"	"27"	"4"	"1"	"15"	"14"	"9"	"27"	"364"	""	""	"364"
