"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"
"97"	"(To be used both for Parliamentary and Assembly elections                                                              Total No. of Electors in Assembly constituency/Segment ............. Name of the Assembly segment(in the case of election from a parliamentary constituency) ............................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	"No. of rejected votes"	""	""	"TOTAL"	""	""	"No. of tendered Votes"	""	""	""
"99"	""	"MANOJ KUMAR"	"MAHESH PASWAN"	""	"SANJAY RISHI"	""	"SITA RAM DAS"	""	""	"SUNITA DEVI"	""	""	"AITWARI RAVIDAS"	""	"GANESH DAS"	""	""	"WAKIL DAS"	""	""	"SURESH RAM"	""	""	"GAYA PRASAD SINGH"	""	"CHANDRA MOHAN PASWAN"	""	""	"PREM KISHORE PASWAN"	""	""	"MITHILESH DAS"	""	"RAGHUNANDAN RISHI"	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"71"	"12"	"33"	""	"3"	""	"3"	""	""	"78"	""	""	"0"	""	"2"	""	""	"21"	""	""	"0"	""	""	"2"	""	"2"	""	""	"2"	""	""	"1"	""	"2"	""	"161"	""	"0"	""	""	"161"	""	""	""	""	""	""
"101"	"72"	"20"	"135"	""	"5"	""	"27"	""	""	"72"	""	""	"2"	""	"3"	""	""	"16"	""	""	"1"	""	""	"1"	""	"2"	""	""	"2"	""	""	"0"	""	"3"	""	"289"	""	""	""	""	"289"	""	""	""	""	""	""
"102"	"73"	"12"	"103"	""	"16"	""	"56"	""	""	"265"	""	""	"5"	""	"2"	""	""	"2"	""	""	"0"	""	""	"2"	""	"2"	""	""	"1"	""	""	"2"	""	"9"	""	"477"	""	""	""	""	"477"	""	""	""	""	""	""
"103"	"74"	"9"	"69"	""	"1"	""	"5"	""	""	"225"	""	""	"9"	""	"0"	""	""	"2"	""	""	"1"	""	""	"1"	""	"2"	""	""	"1"	""	""	"2"	""	"6"	""	"333"	""	""	""	""	"333"	""	""	""	""	""	""
"104"	"75"	"10"	"83"	""	"4"	""	"9"	""	""	"273"	""	""	"4"	""	"0"	""	""	"0"	""	""	"0"	""	""	"6"	""	"1"	""	""	"2"	""	""	"2"	""	"3"	""	"397"	""	""	""	""	"397"	""	""	""	""	""	""
"105"	"76"	"26"	"62"	""	"16"	""	"22"	""	""	"311"	""	""	"14"	""	"6"	""	""	"19"	""	""	"3"	""	""	"2"	""	"2"	""	""	"4"	""	""	"3"	""	"6"	""	"496"	""	""	""	""	"496"	""	""	""	""	""	""
"106"	"77"	"13"	"162"	""	"6"	""	"23"	""	""	"321"	""	""	"9"	""	"1"	""	""	"7"	""	""	"3"	""	""	"1"	""	"0"	""	""	"2"	""	""	"6"	""	"8"	""	"562"	""	""	""	""	"562"	""	""	""	""	""	""
"107"	"78"	"0"	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""
"108"	"79"	"30"	"318"	""	"46"	""	"60"	""	""	"219"	""	""	"6"	""	"4"	""	""	"11"	""	""	"16"	""	""	"7"	""	"3"	""	""	"9"	""	""	"6"	""	"51"	""	"786"	""	""	""	""	"786"	""	""	""	""	""	""
"109"	"80"	"12"	"96"	""	"14"	""	"84"	""	""	"335"	""	""	"12"	""	"3"	""	""	"6"	""	""	"5"	""	""	"6"	""	"4"	""	""	"6"	""	""	"18"	""	"25"	""	"626"	""	""	""	""	"626"	""	""	""	""	""	""
"110"	"81"	"9"	"41"	""	"4"	""	"13"	""	""	"829"	""	""	"13"	""	"3"	""	""	"4"	""	""	"2"	""	""	"4"	""	"4"	""	""	"5"	""	""	"2"	""	"7"	""	"940"	""	""	""	""	"940"	""	""	""	""	""	""
"111"	"82"	"15"	"189"	""	"6"	""	"14"	""	""	"186"	""	""	"4"	""	"4"	""	""	"3"	""	""	"16"	""	""	"5"	""	"0"	""	""	"2"	""	""	"4"	""	"3"	""	"451"	""	""	""	""	"451"	""	""	""	""	""	""
"112"	"83"	"6"	"46"	""	"4"	""	"4"	""	""	"416"	""	""	"8"	""	"3"	""	""	"31"	""	""	"5"	""	""	"6"	""	"1"	""	""	"3"	""	""	"6"	""	"12"	""	"551"	""	""	""	""	"551"	""	""	""	""	""	""
"113"	"84"	"11"	"177"	""	"3"	""	"5"	""	""	"231"	""	""	"9"	""	"3"	""	""	"6"	""	""	"4"	""	""	"3"	""	"0"	""	""	"2"	""	""	"1"	""	"5"	""	"460"	""	""	""	""	"460"	""	""	""	""	""	""
"114"	"FORM - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"[See rule 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"(To be used for recording the result of voting at polling stations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"Election to the Legislative assembly from the 140-KORHA constituency.                               Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"(To be used both for Parliamentary and Assembly elections                                                            Total No. of Electors in Assembly constituency/Segment ............. Name of the Assembly segment(in the case of election from a parliamentary constituency) ............................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected votes"	""	""	"TOTAL"	""	""	"No. of tendered Votes"	""	""	""	""
"121"	""	"MANOJ KUMAR"	"MAHESH PASWAN"	""	"SANJAY RISHI"	""	"SITA RAM DAS"	""	"SUNITA DEVI"	""	""	"AITWARI RAVIDAS"	""	""	"GANESH DAS"	""	"WAKIL DAS"	""	""	"SURESH RAM"	""	""	"GAYA PRASAD SINGH"	""	""	"CHANDRA MOHAN PASWAN"	""	"PREM KISHORE PASWAN"	""	""	"MITHILESH DAS"	""	"RAGHUNANDAN RISHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"85"	"17"	"54"	""	"2"	""	"13"	""	"411"	""	""	"17"	""	""	"7"	""	"29"	""	""	"5"	""	""	"9"	""	""	"11"	""	"10"	""	""	"14"	""	"13"	""	""	"612"	"0"	""	""	"612"	""	""	""	""	""	""	""
"123"	"86"	"21"	"101"	""	"5"	""	"27"	""	"307"	""	""	"8"	""	""	"3"	""	"13"	""	""	"0"	""	""	"8"	""	""	"3"	""	"11"	""	""	"6"	""	"16"	""	""	"529"	""	""	""	"529"	""	""	""	""	""	""	""
"124"	"87"	"5"	"70"	""	"2"	""	"4"	""	"256"	""	""	"4"	""	""	"3"	""	"0"	""	""	"1"	""	""	"2"	""	""	"6"	""	"3"	""	""	"4"	""	"8"	""	""	"368"	""	""	""	"368"	""	""	""	""	""	""	""
"125"	"88"	"32"	"424"	""	"9"	""	"11"	""	"201"	""	""	"8"	""	""	"2"	""	"25"	""	""	"3"	""	""	"3"	""	""	"7"	""	"10"	""	""	"11"	""	"18"	""	""	"764"	""	""	""	"764"	""	""	""	""	""	""	""
"126"	"89"	"24"	"200"	""	"20"	""	"72"	""	"527"	""	""	"13"	""	""	"7"	""	"13"	""	""	"2"	""	""	"8"	""	""	"6"	""	"3"	""	""	"3"	""	"5"	""	""	"903"	""	""	""	"903"	""	""	""	""	""	""	""
"127"	"90"	"40"	"183"	""	"48"	""	"58"	""	"367"	""	""	"12"	""	""	"8"	""	"4"	""	""	"2"	""	""	"4"	""	""	"7"	""	"2"	""	""	"3"	""	"16"	""	""	"754"	""	""	""	"754"	""	""	""	""	""	""	""
"128"	"91"	"21"	"247"	""	"13"	""	"64"	""	"229"	""	""	"5"	""	""	"5"	""	"9"	""	""	"6"	""	""	"7"	""	""	"8"	""	"2"	""	""	"6"	""	"15"	""	""	"637"	""	""	""	"637"	""	""	""	""	""	""	""
"129"	"92"	"14"	"74"	""	"6"	""	"128"	""	"240"	""	""	"10"	""	""	"4"	""	"44"	""	""	"1"	""	""	"3"	""	""	"9"	""	"4"	""	""	"8"	""	"24"	""	""	"569"	""	""	""	"569"	""	""	""	""	""	""	""
"130"	"93"	"13"	"402"	""	"2"	""	"20"	""	"196"	""	""	"6"	""	""	"3"	""	"44"	""	""	"3"	""	""	"1"	""	""	"4"	""	"3"	""	""	"3"	""	"12"	""	""	"712"	""	""	""	"712"	""	""	""	""	""	""	""
"131"	"94"	"10"	"249"	""	"3"	""	"16"	""	"192"	""	""	"12"	""	""	"13"	""	"2"	""	""	"3"	""	""	"2"	""	""	"1"	""	"0"	""	""	"1"	""	"5"	""	""	"509"	""	""	""	"509"	""	""	""	""	""	""	""
"132"	"95"	"32"	"154"	""	"7"	""	"17"	""	"245"	""	""	"7"	""	""	"2"	""	"8"	""	""	"3"	""	""	"2"	""	""	"2"	""	"4"	""	""	"3"	""	"24"	""	""	"510"	""	""	""	"510"	""	""	""	""	""	""	""
"133"	"96"	"11"	"202"	""	"10"	""	"88"	""	"205"	""	""	"12"	""	""	"7"	""	"62"	""	""	"4"	""	""	"2"	""	""	"3"	""	"3"	""	""	"7"	""	"9"	""	""	"625"	""	""	""	"625"	""	""	""	""	""	""	""
"134"	"97"	"18"	"194"	""	"12"	""	"45"	""	"124"	""	""	"7"	""	""	"4"	""	"196"	""	""	"8"	""	""	"6"	""	""	"4"	""	"4"	""	""	"4"	""	"7"	""	""	"633"	""	""	""	"633"	""	""	""	""	""	""	""
"135"	"98"	"19"	"37"	""	"2"	""	"198"	""	"242"	""	""	"15"	""	""	"3"	""	"11"	""	""	"4"	""	""	"8"	""	""	"6"	""	"9"	""	""	"3"	""	"13"	""	""	"570"	""	""	""	"570"	""	""	""	""	""	""	""
"136"	"FORM - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"[See rule 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"138"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"(To be used for recording the result of voting at polling stations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"Election to the Legislative assembly from the 140-KORHA constituency.                               Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"(To be used both for Parliamentary and Assembly elections                                                            Total No. of Electors in Assembly constituency/Segment ............. Name of the Assembly segment(in the case of election from a parliamentary constituency) ............................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected votes"	""	""	"TOTAL"	""	""	"No. of tendered Votes"	""	""	""	""
"143"	""	"MANOJ KUMAR"	"MAHESH PASWAN"	""	"SANJAY RISHI"	""	"SITA RAM DAS"	""	"SUNITA DEVI"	""	""	"AITWARI RAVIDAS"	""	""	"GANESH DAS"	""	"WAKIL DAS"	""	""	"SURESH RAM"	""	""	"GAYA PRASAD SINGH"	""	""	"CHANDRA MOHAN PASWAN"	""	"PREM KISHORE PASWAN"	""	""	"MITHILESH DAS"	""	"RAGHUNANDAN RISHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"99"	"0"	"67"	""	"7"	""	"268"	""	"42"	""	""	"0"	""	""	"3"	""	"17"	""	""	"0"	""	""	"1"	""	""	"3"	""	"2"	""	""	"1"	""	"5"	""	""	"416"	"0"	""	""	"416"	""	""	""	""	""	""	""
"145"	"100"	"11"	"12"	""	"2"	""	"47"	""	"432"	""	""	"12"	""	""	"2"	""	"1"	""	""	"4"	""	""	"5"	""	""	"3"	""	"2"	""	""	"4"	""	"7"	""	""	"544"	""	""	""	"544"	""	""	""	""	""	""	""
"146"	"101"	"22"	"53"	""	"18"	""	"26"	""	"367"	""	""	"17"	""	""	"3"	""	"0"	""	""	"4"	""	""	"8"	""	""	"5"	""	"13"	""	""	"5"	""	"5"	""	""	"546"	""	""	""	"546"	""	""	""	""	""	""	""
"147"	"102"	"24"	"215"	""	"12"	""	"37"	""	"274"	""	""	"10"	""	""	"1"	""	"7"	""	""	"4"	""	""	"9"	""	""	"5"	""	"7"	""	""	"9"	""	"20"	""	""	"634"	""	""	""	"634"	""	""	""	""	""	""	""
"148"	"103"	"27"	"170"	""	"7"	""	"33"	""	"207"	""	""	"8"	""	""	"4"	""	"2"	""	""	"3"	""	""	"2"	""	""	"3"	""	"2"	""	""	"6"	""	"13"	""	""	"487"	""	""	""	"487"	""	""	""	""	""	""	""
"149"	"104"	"13"	"109"	""	"5"	""	"229"	""	"51"	""	""	"3"	""	""	"1"	""	"12"	""	""	"3"	""	""	"2"	""	""	"3"	""	"2"	""	""	"2"	""	"6"	""	""	"441"	""	""	""	"441"	""	""	""	""	""	""	""
"150"	"105"	"17"	"167"	""	"4"	""	"25"	""	"210"	""	""	"5"	""	""	"4"	""	"0"	""	""	"1"	""	""	"2"	""	""	"1"	""	"2"	""	""	"2"	""	"4"	""	""	"444"	""	""	""	"444"	""	""	""	""	""	""	""
"151"	"106"	"11"	"31"	""	"268"	""	"7"	""	"129"	""	""	"7"	""	""	"2"	""	"4"	""	""	"5"	""	""	"3"	""	""	"3"	""	"4"	""	""	"4"	""	"34"	""	""	"512"	""	""	""	"512"	""	""	""	""	""	""	""
"152"	"107"	"22"	"255"	""	"14"	""	"48"	""	"119"	""	""	"6"	""	""	"2"	""	"3"	""	""	"2"	""	""	"6"	""	""	"2"	""	"3"	""	""	"9"	""	"21"	""	""	"512"	""	""	""	"512"	""	""	""	""	""	""	""
"153"	"108"	"31"	"181"	""	"15"	""	"12"	""	"321"	""	""	"23"	""	""	"4"	""	"4"	""	""	"6"	""	""	"14"	""	""	"7"	""	"14"	""	""	"14"	""	"64"	""	""	"710"	""	""	""	"710"	""	""	""	""	""	""	""
"154"	"109"	"37"	"285"	""	"12"	""	"16"	""	"462"	""	""	"16"	""	""	"10"	""	"6"	""	""	"6"	""	""	"4"	""	""	"4"	""	"2"	""	""	"7"	""	"20"	""	""	"887"	""	""	""	"887"	""	""	""	""	""	""	""
"155"	"110"	"3"	"128"	""	"5"	""	"4"	""	"169"	""	""	"10"	""	""	"2"	""	"1"	""	""	"2"	""	""	"2"	""	""	"0"	""	"1"	""	""	"1"	""	"9"	""	""	"337"	""	""	""	"337"	""	""	""	""	""	""	""
"156"	"111"	"19"	"120"	""	"8"	""	"126"	""	"236"	""	""	"9"	""	""	"2"	""	"2"	""	""	"4"	""	""	"5"	""	""	"5"	""	"7"	""	""	"1"	""	"12"	""	""	"556"	""	""	""	"556"	""	""	""	""	""	""	""
"157"	"112"	"15"	"93"	""	"7"	""	"41"	""	"138"	""	""	"8"	""	""	"2"	""	"2"	""	""	"5"	""	""	"2"	""	""	"5"	""	"3"	""	""	"1"	""	"9"	""	""	"331"	""	""	""	"331"	""	""	""	""	""	""	""
"158"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected votes"	""	""	"TOTAL"	""	""	"No. of tendered Votes"	""	""	""	""
"159"	""	"MANOJ KUMAR"	"MAHESH PASWAN"	""	"SANJAY RISHI"	""	"SITA RAM DAS"	""	"SUNITA DEVI"	""	""	"AITWARI RAVIDAS"	""	""	"GANESH DAS"	""	"WAKIL DAS"	""	""	"SURESH RAM"	""	""	"GAYA PRASAD SINGH"	""	""	"CHANDRA MOHAN PASWAN"	""	"PREM KISHORE PASWAN"	""	""	"MITHILESH DAS"	""	"RAGHUNANDAN RISHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"113"	"7"	"123"	""	"9"	""	"98"	""	"274"	""	""	"1"	""	""	"4"	""	"2"	""	""	"4"	""	""	"2"	""	""	"3"	""	"4"	""	""	"5"	""	"9"	""	""	"545"	"0"	""	""	"545"	""	""	""	""	""	""	""
"161"	"114"	"9"	"150"	""	"10"	""	"43"	""	"283"	""	""	"3"	""	""	"1"	""	"2"	""	""	"2"	""	""	"3"	""	""	"1"	""	"1"	""	""	"2"	""	"7"	""	""	"517"	""	""	""	"517"	""	""	""	""	""	""	""
"162"	"115"	"15"	"386"	""	"5"	""	"2"	""	"109"	""	""	"4"	""	""	"0"	""	"2"	""	""	"2"	""	""	"3"	""	""	"3"	""	"2"	""	""	"7"	""	"15"	""	""	"555"	""	""	""	"555"	""	""	""	""	""	""	""
"163"	"116"	"3"	"64"	""	"2"	""	"44"	""	"348"	""	""	"15"	""	""	"43"	""	"9"	""	""	"6"	""	""	"9"	""	""	"7"	""	"3"	""	""	"3"	""	"3"	""	""	"559"	""	""	""	"559"	""	""	""	""	""	""	""
"164"	"117"	"20"	"108"	""	"27"	""	"9"	""	"244"	""	""	"16"	""	""	"7"	""	"7"	""	""	"1"	""	""	"3"	""	""	"3"	""	"2"	""	""	"4"	""	"3"	""	""	"454"	""	""	""	"454"	""	""	""	""	""	""	""
"165"	"118"	"8"	"45"	""	"21"	""	"98"	""	"252"	""	""	"10"	""	""	"0"	""	"4"	""	""	"2"	""	""	"1"	""	""	"3"	""	"5"	""	""	"3"	""	"7"	""	""	"459"	""	""	""	"459"	""	""	""	""	""	""	""
"166"	"119"	"4"	"78"	""	"5"	""	"93"	""	"108"	""	""	"5"	""	""	"1"	""	"1"	""	""	"1"	""	""	"3"	""	""	"1"	""	"3"	""	""	"3"	""	"4"	""	""	"310"	""	""	""	"310"	""	""	""	""	""	""	""
"167"	"120"	"9"	"30"	""	"6"	""	"11"	""	"510"	""	""	"11"	""	""	"1"	""	"4"	""	""	"1"	""	""	"3"	""	""	"1"	""	"1"	""	""	"1"	""	"9"	""	""	"598"	""	""	""	"598"	""	""	""	""	""	""	""
"168"	"121"	"7"	"10"	""	"67"	""	"11"	""	"242"	""	""	"6"	""	""	"1"	""	"6"	""	""	"1"	""	""	"2"	""	""	"1"	""	"2"	""	""	"6"	""	"11"	""	""	"373"	""	""	""	"373"	""	""	""	""	""	""	""
"169"	"122"	"21"	"101"	""	"107"	""	"10"	""	"150"	""	""	"9"	""	""	"2"	""	"4"	""	""	"3"	""	""	"5"	""	""	"0"	""	"2"	""	""	"1"	""	"7"	""	""	"422"	""	""	""	"422"	""	""	""	""	""	""	""
"170"	"123"	"11"	"56"	""	"3"	""	"7"	""	"253"	""	""	"17"	""	""	"6"	""	"2"	""	""	"7"	""	""	"5"	""	""	"2"	""	"3"	""	""	"3"	""	"8"	""	""	"383"	""	""	""	"383"	""	""	""	""	""	""	""
"171"	"124"	"32"	"100"	""	"7"	""	"25"	""	"129"	""	""	"1"	""	""	"0"	""	"9"	""	""	"2"	""	""	"5"	""	""	"4"	""	"1"	""	""	"4"	""	"8"	""	""	"327"	""	""	""	"327"	""	""	""	""	""	""	""
"172"	"125"	"5"	"76"	""	"7"	""	"72"	""	"355"	""	""	"8"	""	""	"1"	""	"0"	""	""	"3"	""	""	"3"	""	""	"4"	""	"1"	""	""	"2"	""	"5"	""	""	"542"	""	""	""	"542"	""	""	""	""	""	""	""
"173"	"126"	"29"	"115"	""	"80"	""	"94"	""	"214"	""	""	"10"	""	""	"4"	""	"1"	""	""	"7"	""	""	"2"	""	""	"2"	""	"2"	""	""	"2"	""	"4"	""	""	"566"	""	""	""	"566"	""	""	""	""	""	""	""
"174"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	"No. of rejected votes"	""	"TOTAL"	""	""	"No. of tendered Votes"	""	""	""	""
"175"	""	"MANOJ KUMAR"	"MAHESH PASWAN"	""	"SANJAY RISHI"	""	"SITA RAM DAS"	""	"SUNITA DEVI"	""	""	"AITWARI RAVIDAS"	""	""	"GANESH DAS"	""	""	"WAKIL DAS"	""	"SURESH RAM"	""	""	"GAYA PRASAD SINGH"	""	""	"CHANDRA MOHAN PASWAN"	""	""	"PREM KISHORE PASWAN"	""	"MITHILESH DAS"	""	"RAGHUNANDAN RISHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"127"	"26"	"195"	""	"84"	""	"9"	""	"219"	""	""	"15"	""	""	"4"	""	""	"2"	""	"8"	""	""	"13"	""	""	"9"	""	""	"7"	""	"10"	""	"46"	""	""	"647"	""	"0"	""	"647"	""	""	""	""	""	""	""
"177"	"128"	"20"	"75"	""	"13"	""	"91"	""	"222"	""	""	"8"	""	""	"7"	""	""	"8"	""	"30"	""	""	"7"	""	""	"5"	""	""	"3"	""	"6"	""	"7"	""	""	"502"	""	""	""	"502"	""	""	""	""	""	""	""
"178"	"129"	"14"	"254"	""	"28"	""	"99"	""	"135"	""	""	"3"	""	""	"0"	""	""	"3"	""	"4"	""	""	"2"	""	""	"5"	""	""	"5"	""	"4"	""	"5"	""	""	"561"	""	""	""	"561"	""	""	""	""	""	""	""
"179"	"130"	"12"	"55"	""	"26"	""	"18"	""	"316"	""	""	"8"	""	""	"5"	""	""	"16"	""	"2"	""	""	"2"	""	""	"7"	""	""	"1"	""	"8"	""	"8"	""	""	"484"	""	""	""	"484"	""	""	""	""	""	""	""
"180"	"131"	"28"	"108"	""	"21"	""	"6"	""	"353"	""	""	"15"	""	""	"5"	""	""	"2"	""	"10"	""	""	"1"	""	""	"3"	""	""	"1"	""	"5"	""	"4"	""	""	"562"	""	""	""	"562"	""	""	""	""	""	""	""
"181"	"132"	"14"	"98"	""	"5"	""	"13"	""	"149"	""	""	"7"	""	""	"1"	""	""	"4"	""	"0"	""	""	"4"	""	""	"1"	""	""	"4"	""	"4"	""	"12"	""	""	"316"	""	""	""	"316"	""	""	""	""	""	""	""
"182"	"133"	"19"	"153"	""	"11"	""	"19"	""	"331"	""	""	"7"	""	""	"5"	""	""	"5"	""	"3"	""	""	"12"	""	""	"3"	""	""	"5"	""	"3"	""	"14"	""	""	"590"	""	""	""	"590"	""	""	""	""	""	""	""
"183"	"134"	"4"	"24"	""	"0"	""	"19"	""	"340"	""	""	"21"	""	""	"6"	""	""	"13"	""	"7"	""	""	"11"	""	""	"2"	""	""	"6"	""	"11"	""	"15"	""	""	"479"	""	""	""	"479"	""	""	""	""	""	""	""
"184"	"135"	"7"	"31"	""	"2"	""	"40"	""	"277"	""	""	"12"	""	""	"1"	""	""	"3"	""	"2"	""	""	"5"	""	""	"2"	""	""	"12"	""	"1"	""	"8"	""	""	"403"	""	""	""	"403"	""	""	""	""	""	""	""
"185"	"136"	"15"	"149"	""	"6"	""	"9"	""	"276"	""	""	"13"	""	""	"2"	""	""	"9"	""	"8"	""	""	"5"	""	""	"11"	""	""	"5"	""	"14"	""	"36"	""	""	"558"	""	""	""	"558"	""	""	""	""	""	""	""
"186"	"137"	"18"	"97"	""	"16"	""	"10"	""	"324"	""	""	"15"	""	""	"3"	""	""	"5"	""	"5"	""	""	"6"	""	""	"3"	""	""	"4"	""	"12"	""	"19"	""	""	"537"	""	""	""	"537"	""	""	""	""	""	""	""
"187"	"138"	"20"	"18"	""	"8"	""	"19"	""	"363"	""	""	"7"	""	""	"4"	""	""	"3"	""	"6"	""	""	"2"	""	""	"1"	""	""	"1"	""	"2"	""	"3"	""	""	"457"	""	""	""	"457"	""	""	""	""	""	""	""
"188"	"139"	"3"	"69"	""	"8"	""	"97"	""	"303"	""	""	"8"	""	""	"5"	""	""	"3"	""	"6"	""	""	"3"	""	""	"3"	""	""	"5"	""	"5"	""	"19"	""	""	"537"	""	""	""	"537"	""	""	""	""	""	""	""
"189"	"140"	"9"	"109"	""	"5"	""	"60"	""	"564"	""	""	"15"	""	""	"6"	""	""	"16"	""	"7"	""	""	"23"	""	""	"7"	""	""	"3"	""	"6"	""	"8"	""	""	"838"	""	""	""	"838"	""	""	""	""	""	""	""
"190"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected votes"	""	""	"TOTAL"	""	""	"No. of tendered Votes"	""	""	""	""
"191"	""	"MANOJ KUMAR"	"MAHESH PASWAN"	""	"SANJAY RISHI"	""	"SITA RAM DAS"	""	"SUNITA DEVI"	""	""	"AITWARI RAVIDAS"	""	""	"GANESH DAS"	""	"WAKIL DAS"	""	""	"SURESH RAM"	""	""	"GAYA PRASAD SINGH"	""	""	"CHANDRA MOHAN PASWAN"	""	"PREM KISHORE PASWAN"	""	""	"MITHILESH DAS"	""	"RAGHUNANDAN RISHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"141"	"10"	"73"	""	"5"	""	"8"	""	"312"	""	""	"15"	""	""	"5"	""	"3"	""	""	"7"	""	""	"1"	""	""	"4"	""	"3"	""	""	"4"	""	"15"	""	""	"465"	"0"	""	""	"465"	""	""	""	""	""	""	""
"193"	"142"	"12"	"77"	""	"5"	""	"71"	""	"443"	""	""	"21"	""	""	"9"	""	"2"	""	""	"7"	""	""	"11"	""	""	"5"	""	"2"	""	""	"10"	""	"7"	""	""	"682"	""	""	""	"682"	""	""	""	""	""	""	""
