"ASSEMBLY.ELECTION...2005"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"147"	"86"	""	"201"	""	"6"	""	"4"	"63"	"2"	"3"	""	"1"	""	"0"	"1"	"1"	""	"1"	""	"5"	"-288"	""	""	"0"	""	"-288"	"0"
"148"	"87"	""	"12"	""	"1"	""	"1"	"263"	"9"	"3"	""	"0"	""	"1"	"5"	"1"	""	"4"	""	"12"	"-312"	""	""	"0"	""	"-312"	"0"
"149"	"88"	""	"4"	""	"1"	""	"1"	"474"	"2"	"1"	""	"0"	""	"1"	"0"	"26"	""	"4"	""	"6"	"-520"	""	""	"0"	""	"-520"	"0"
"150"	"89"	""	"0"	""	"0"	""	"9"	"758"	"3"	"1"	""	"0"	""	"0"	"0"	"0"	""	"0"	""	"0"	"-771"	""	""	"0"	""	"-771"	"0"
"151"	"90"	""	"15"	""	"0"	""	"0"	"486"	"3"	"0"	""	"0"	""	"0"	"1"	"0"	""	"0"	""	"0"	"-505"	""	""	"0"	""	"-505"	"0"
"152"	"91"	""	"18"	""	"3"	""	"4"	"380"	"8"	"3"	""	"0"	""	"1"	"5"	"6"	""	"4"	""	"12"	"-444"	""	""	"0"	""	"-444"	"0"
"153"	"92"	""	"14"	""	"0"	""	"1"	"395"	"2"	"10"	""	"0"	""	"0"	"0"	"1"	""	"0"	""	"0"	"-423"	""	""	"0"	""	"-423"	"0"
"154"	"93"	""	"0"	""	"0"	""	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"0"	""	"0"	""	"0"	"0"	""	""	"0"	""	"0"	"0"
"155"	"94"	""	"0"	""	"0"	""	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"0"	""	"0"	""	"0"	"0"	""	""	"0"	""	"0"	"0"
"156"	"95"	""	"22"	""	"3"	""	"2"	"68"	"2"	"1"	""	"0"	""	"0"	"0"	"2"	""	"2"	""	"3"	"-105"	""	""	"0"	""	"-105"	"0"
"157"	"96"	""	"393"	""	"12"	""	"3"	"422"	"5"	"2"	""	"0"	""	"0"	"2"	"2"	""	"4"	""	"3"	"-848"	""	""	"0"	""	"-848"	"0"
"158"	"97"	""	"173"	""	"6"	""	"7"	"57"	"4"	"0"	""	"0"	""	"4"	"2"	"0"	""	"1"	""	"0"	"-254"	""	""	"0"	""	"-254"	"0"
"159"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"163"	"Election to the Bihar Legislative Assembly from 226 - Makhdumpur Assembly Contituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"164"	"Serial No. of Polling station"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of Rejected Votes"	""	"Total"	"No. Tender Votes"
"165"	""	""	"Bagi Kumar Verma"	""	"Shantnu Paswan"	""	"Shyam Kishor"	"Ramashray Prasad Singh"	"Sheo Ratan Singh"	"Chitranjan Kumar"	""	"Tripurari Sharan"	""	"Manoj Kumar"	"Mahendra Prasad Yadav"	"Ranjan Kumar"	""	"Rama Kant Sharma"	""	"Sanjay Kumar"	""	""	""	""	""	""	""
"166"	"98"	""	"4"	""	"13"	""	"3"	"743"	"0"	"0"	""	"0"	""	"0"	"0"	"16"	""	"0"	""	"0"	"-779"	""	""	"0"	""	"-779"	"0"
"167"	"99"	""	"113"	""	"6"	""	"0"	"7"	"0"	"0"	""	"0"	""	"0"	"0"	"0"	""	"1"	""	"0"	"-127"	""	""	"0"	""	"-127"	"0"
"168"	"100"	""	"20"	""	"1"	""	"0"	"604"	"1"	"9"	""	"0"	""	"0"	"0"	"0"	""	"0"	""	"0"	"-635"	""	""	"0"	""	"-635"	"0"
"169"	"101"	""	"126"	""	"6"	""	"7"	"120"	"4"	"2"	""	"0"	""	"1"	"0"	"2"	""	"4"	""	"5"	"-277"	""	""	"0"	""	"-277"	"0"
"170"	"102"	""	"307"	""	"3"	""	"4"	"306"	"2"	"0"	""	"0"	""	"0"	"1"	"0"	""	"2"	""	"2"	"-627"	""	""	"0"	""	"-627"	"0"
"171"	"103"	""	"22"	""	"1"	""	"3"	"64"	"2"	"0"	""	"0"	""	"0"	"2"	"1"	""	"1"	""	"4"	"-100"	""	""	"0"	""	"-100"	"0"
"172"	"104"	""	"134"	""	"5"	""	"7"	"82"	"4"	"3"	""	"0"	""	"1"	"4"	"4"	""	"8"	""	"11"	"-263"	""	""	"0"	""	"-263"	"0"
"173"	"105"	""	"121"	""	"25"	""	"3"	"32"	"5"	"0"	""	"1"	""	"1"	"3"	"3"	""	"1"	""	"6"	"-201"	""	""	"0"	""	"-201"	"0"
"174"	"106"	""	"4"	""	"2"	""	"8"	"186"	"4"	"6"	""	"0"	""	"2"	"1"	"10"	""	"0"	""	"4"	"-227"	""	""	"0"	""	"-227"	"0"
"175"	"107"	""	"132"	""	"1"	""	"1"	"191"	"2"	"0"	""	"1"	""	"0"	"0"	"0"	""	"2"	""	"0"	"-330"	""	""	"0"	""	"-330"	"0"
"176"	"108"	""	"85"	""	"5"	""	"1"	"340"	"14"	"4"	""	"4"	""	"3"	"4"	"5"	""	"6"	""	"14"	"-485"	""	""	"0"	""	"-485"	"0"
"177"	"109"	""	"354"	""	"2"	""	"14"	"202"	"6"	"2"	""	"1"	""	"0"	"3"	"4"	""	"4"	""	"5"	"-597"	""	""	"0"	""	"-597"	"0"
"178"	"110"	""	"84"	""	"62"	""	"1"	"115"	"4"	"3"	""	"1"	""	"7"	"6"	"7"	""	"9"	""	"18"	"-317"	""	""	"0"	""	"-317"	"0"
"179"	"111"	""	"31"	""	"4"	""	"3"	"782"	"3"	"0"	""	"0"	""	"2"	"0"	"0"	""	"0"	""	"0"	"-825"	""	""	"0"	""	"-825"	"0"
"180"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"Election to the Bihar Legislative Assembly from 226 - Makhdumpur Assembly Contituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"185"	"Serial No. of Polling station"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of Rejected Votes"	""	"Total"	"No. Tender Votes"
"186"	""	""	"Bagi Kumar Verma"	""	"Shantnu Paswan"	""	"Shyam Kishor"	"Ramashray Prasad Singh"	"Sheo Ratan Singh"	"Chitranjan Kumar"	""	"Tripurari Sharan"	""	"Manoj Kumar"	"Mahendra Prasad Yadav"	"Ranjan Kumar"	""	"Rama Kant Sharma"	""	"Sanjay Kumar"	""	""	""	""	""	""	""
"187"	"112"	""	"114"	""	"5"	""	"22"	"308"	"10"	"2"	""	"3"	""	"3"	"4"	"5"	""	"6"	""	"4"	"-486"	""	""	"0"	""	"-486"	"0"
"188"	"113"	""	"56"	""	"2"	""	"6"	"656"	"9"	"2"	""	"1"	""	"4"	"6"	"7"	""	"7"	""	"0"	"-756"	""	""	"0"	""	"-756"	"0"
"189"	"114"	""	"70"	""	"3"	""	"10"	"366"	"11"	"8"	""	"5"	""	"4"	"2"	"10"	""	"10"	""	"2"	"-501"	""	""	"0"	""	"-501"	"0"
"190"	"115"	""	"40"	""	"0"	""	"0"	"339"	"2"	"1"	""	"0"	""	"0"	"1"	"2"	""	"0"	""	"0"	"-385"	""	""	"0"	""	"-385"	"0"
"191"	"116"	""	"428"	""	"20"	""	"4"	"109"	"4"	"2"	""	"2"	""	"3"	"3"	"5"	""	"6"	""	"12"	"-598"	""	""	"0"	""	"-598"	"0"
"192"	"117"	""	"164"	""	"6"	""	"1"	"21"	"4"	"1"	""	"1"	""	"1"	"2"	"2"	""	"2"	""	"10"	"-215"	""	""	"0"	""	"-215"	"0"
"193"	"118"	""	"217"	""	"3"	""	"1"	"213"	"2"	"2"	""	"0"	""	"0"	"0"	"3"	""	"0"	""	"2"	"-443"	""	""	"0"	""	"-443"	"0"
"194"	"119"	""	"158"	""	"21"	""	"5"	"26"	"1"	"0"	""	"0"	""	"0"	"1"	"0"	""	"0"	""	"1"	"-213"	""	""	"0"	""	"-213"	"0"
"195"	"120"	""	"259"	""	"21"	""	"3"	"31"	"0"	"1"	""	"0"	""	"0"	"0"	"1"	""	"3"	""	"7"	"-326"	""	""	"0"	""	"-326"	"0"
"196"	"121"	""	"126"	""	"7"	""	"2"	"47"	"1"	"1"	""	"0"	""	"0"	"3"	"1"	""	"2"	""	"11"	"-201"	""	""	"0"	""	"-201"	"0"
"197"	"122"	""	"228"	""	"2"	""	"0"	"10"	"1"	"0"	""	"0"	""	"0"	"0"	"0"	""	"0"	""	"1"	"-242"	""	""	"0"	""	"-242"	"0"
"198"	"123"	""	"213"	""	"11"	""	"5"	"103"	"2"	"2"	""	"0"	""	"2"	"2"	"4"	""	"6"	""	"5"	"-355"	""	""	"0"	""	"-355"	"0"
"199"	"124"	""	"183"	""	"42"	""	"10"	"179"	"5"	"7"	""	"2"	""	"3"	"2"	"7"	""	"8"	""	"11"	"-459"	""	""	"0"	""	"-459"	"0"
"200"	"125"	""	"328"	""	"6"	""	"0"	"46"	"1"	"0"	""	"0"	""	"0"	"0"	"1"	""	"1"	""	"0"	"-383"	""	""	"0"	""	"-383"	"0"
"201"	"ASSEMBLY ELECTION - 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"226-MAKHDUMPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"206"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"207"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"Election to the Bihar Legislative Assembly from 226 - Makhdumpur Assembly Contituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"Serial No. of Polling station"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of Rejected Votes"	""	"Total"	"No. Tender Votes"
"210"	""	""	"Bagi Kumar Verma"	""	"Shantnu Paswan"	""	"Shyam Kishor"	"Ramashray Prasad Singh"	"Sheo Ratan Singh"	"Chitranjan Kumar"	""	"Tripurari Sharan"	""	"Manoj Kumar"	"Mahendra Prasad Yadav"	"Ranjan Kumar"	""	"Rama Kant Sharma"	""	"Sanjay Kumar"	""	""	""	""	""	""	""
"211"	"126"	""	"230"	""	"10"	""	"3"	"34"	"5"	"1"	""	"0"	""	"0"	"0"	"3"	""	"3"	""	"9"	"-298"	""	""	"0"	""	"-298"	"0"
"212"	"127"	""	"8"	""	"0"	""	"0"	"492"	"1"	"0"	""	"0"	""	"0"	"0"	"0"	""	"0"	""	"0"	"-501"	""	""	"0"	""	"-501"	"0"
"213"	"128"	""	"55"	""	"19"	""	"3"	"534"	"0"	"0"	""	"0"	""	"0"	"0"	"2"	""	"0"	""	"2"	"-615"	""	""	"0"	""	"-615"	"0"
"214"	"129"	""	"311"	""	"17"	""	"4"	"132"	"10"	"1"	""	"3"	""	"3"	"6"	"2"	""	"4"	""	"12"	"-505"	""	""	"0"	""	"-505"	"0"
"215"	"130"	""	"722"	""	"11"	""	"1"	"94"	"13"	"7"	""	"1"	""	"1"	"1"	"4"	""	"4"	""	"4"	"-863"	""	""	"0"	""	"-863"	"0"
"216"	"131"	""	"235"	""	"8"	""	"4"	"199"	"33"	"2"	""	"2"	""	"1"	"2"	"4"	""	"4"	""	"5"	"-499"	""	""	"0"	""	"-499"	"0"
"217"	"132"	""	"233"	""	"71"	""	"7"	"318"	"14"	"4"	""	"0"	""	"2"	"3"	"3"	""	"5"	""	"2"	"-662"	""	""	"0"	""	"-662"	"0"
"218"	"133"	""	"375"	""	"3"	""	"9"	"167"	"6"	"1"	""	"0"	""	"11"	"2"	"0"	""	"0"	""	"1"	"-575"	""	""	"0"	""	"-575"	"0"
"219"	"134"	""	"3"	""	"0"	""	"3"	"821"	"1"	"31"	""	"0"	""	"0"	"0"	"16"	""	"0"	""	"0"	"-875"	""	""	"0"	""	"-875"	"0"
"220"	"135"	""	"150"	""	"4"	""	"2"	"289"	"30"	"2"	""	"3"	""	"3"	"2"	"3"	""	"1"	""	"1"	"-490"	""	""	"0"	""	"-490"	"0"
"221"	"136"	""	"113"	""	"0"	""	"1"	"407"	"31"	"41"	""	"0"	""	"11"	"8"	"32"	""	"1"	""	"2"	"-647"	""	""	"0"	""	"-647"	"0"
"222"	"137"	""	"76"	""	"5"	""	"4"	"124"	"6"	"1"	""	"0"	""	"1"	"4"	"2"	""	"3"	""	"16"	"-242"	""	""	"0"	""	"-242"	"0"
"223"	"138"	""	"326"	""	"1"	""	"1"	"35"	"0"	"1"	""	"0"	""	"0"	"9"	"0"	""	"2"	""	"1"	"-376"	""	""	"0"	""	"-376"	"0"
"224"	"139"	""	"373"	""	"6"	""	"9"	"196"	"11"	"0"	""	"2"	""	"1"	"1"	"3"	""	"1"	""	"5"	"-608"	""	""	"0"	""	"-608"	"0"
"225"	"ASSEMBLY ELECTION - 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"226-MAKHDUMPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"Election to the Bihar Legislative Assembly from 226 - Makhdumpur Assembly Contituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"Serial No. of Polling station"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of Rejected Votes"	""	"Total"	"No. Tender Votes"
"234"	""	""	"Bagi Kumar Verma"	""	"Shantnu Paswan"	""	"Shyam Kishor"	"Ramashray Prasad Singh"	"Sheo Ratan Singh"	"Chitranjan Kumar"	""	"Tripurari Sharan"	""	"Manoj Kumar"	"Mahendra Prasad Yadav"	"Ranjan Kumar"	""	"Rama Kant Sharma"	""	"Sanjay Kumar"	""	""	""	""	""	""	""
"235"	"140"	""	"85"	""	"15"	""	"4"	"258"	"10"	"5"	""	"1"	""	"0"	"2"	"4"	""	"12"	""	"5"	"-401"	""	""	"0"	""	"-401"	"0"
"236"	"141"	""	"36"	""	"1"	""	"1"	"347"	"3"	"2"	""	"0"	""	"0"	"2"	"0"	""	"3"	""	"0"	"-395"	""	""	"0"	""	"-395"	"0"
"237"	"142"	""	"2"	""	"0"	""	"2"	"352"	"5"	"3"	""	"0"	""	"0"	"0"	"0"	""	"0"	""	"0"	"-364"	""	""	"0"	""	"-364"	"0"
"238"	"143"	""	"416"	""	"0"	""	"4"	"9"	"29"	"0"	""	"0"	""	"0"	"6"	"0"	""	"1"	""	"0"	"-465"	""	""	"0"	""	"-465"	"0"
"239"	"144"	""	"183"	""	"7"	""	"4"	"29"	"6"	"1"	""	"1"	""	"1"	"3"	"1"	""	"0"	""	"5"	"-241"	""	""	"0"	""	"-241"	"0"
"240"	"145"	""	"197"	""	"7"	""	"5"	"53"	"29"	"2"	""	"1"	""	"1"	"4"	"9"	""	"7"	""	"21"	"-336"	""	""	"0"	""	"-336"	"0"
"241"	"146"	""	"272"	""	"34"	""	"4"	"27"	"41"	"4"	""	"2"	""	"4"	"1"	"1"	""	"1"	""	"5"	"-396"	""	""	"0"	""	"-396"	"0"
"242"	"147"	""	"222"	""	"2"	""	"6"	"90"	"14"	"4"	""	"3"	""	"4"	"2"	"3"	""	"5"	""	"14"	"-369"	""	""	"0"	""	"-369"	"0"
"243"	"148"	""	"143"	""	"0"	""	"0"	"120"	"70"	"1"	""	"0"	""	"0"	"0"	"0"	""	"0"	""	"0"	"-334"	""	""	"0"	""	"-334"	"0"
"244"	"149"	""	"165"	""	"3"	""	"7"	"161"	"36"	"1"	""	"1"	""	"1"	"2"	"1"	""	"2"	""	"4"	"-384"	""	""	"0"	""	"-384"	"0"
"245"	"150"	""	"336"	""	"8"	""	"16"	"152"	"78"	"1"	""	"0"	""	"2"	"0"	"1"	""	"2"	""	"12"	"-608"	""	""	"0"	""	"-608"	"0"
"246"	"151"	""	"58"	""	"0"	""	"1"	"270"	"15"	"1"	""	"0"	""	"1"	"0"	"1"	""	"0"	""	"0"	"-347"	""	""	"0"	""	"-347"	"0"
"247"	"152"	""	"85"	""	"1"	""	"5"	"122"	"58"	"12"	""	"5"	""	"6"	"5"	"5"	""	"3"	""	"26"	"-333"	""	""	"0"	""	"-333"	"0"
"248"	"153"	""	"113"	""	"2"	""	"3"	"30"	"3"	"0"	""	"0"	""	"2"	"1"	"0"	""	"2"	""	"8"	"-164"	""	""	"0"	""	"-164"	"0"
"249"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"Election to the Bihar Legislative Assembly from 226 - Makhdumpur Assembly Contituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"Serial No. of Polling station"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of Rejected Votes"	""	"Total"	"No. Tender Votes"
"255"	""	""	"Bagi Kumar Verma"	""	"Shantnu Paswan"	""	"Shyam Kishor"	"Ramashray Prasad Singh"	"Sheo Ratan Singh"	"Chitranjan Kumar"	""	"Tripurari Sharan"	""	"Manoj Kumar"	"Mahendra Prasad Yadav"	"Ranjan Kumar"	""	"Rama Kant Sharma"	""	"Sanjay Kumar"	""	""	""	""	""	""	""
"256"	"154"	""	"440"	""	"3"	""	"4"	"60"	"166"	"5"	""	"3"	""	"4"	"17"	"2"	""	"3"	""	"5"	"-712"	""	""	"0"	""	"-712"	"0"
"257"	"155"	""	"234"	""	"4"	""	"8"	"187"	"151"	"9"	""	"0"	""	"6"	"3"	"2"	""	"3"	""	"10"	"-617"	""	""	"0"	""	"-617"	"0"
"258"	"156"	""	"235"	""	"14"	""	"10"	"82"	"20"	"2"	""	"2"	""	"1"	"6"	"3"	""	"2"	""	"7"	"-384"	""	""	"0"	""	"-384"	"0"
"259"	"157"	""	"409"	""	"2"	""	"1"	"62"	"20"	"1"	""	"1"	""	"0"	"4"	"1"	""	"0"	""	"0"	"-501"	""	""	"0"	""	"-501"	"0"
"260"	"158"	""	"179"	""	"1"	""	"2"	"17"	"10"	"0"	""	"0"	""	"0"	"0"	"0"	""	"0"	""	"0"	"-209"	""	""	"0"	""	"-209"	"0"
"261"	"159"	""	"251"	""	"3"	""	"1"	"208"	"6"	"2"	""	"0"	""	"0"	"0"	"0"	""	"4"	""	"0"	"-475"	""	""	"0"	""	"-475"	"0"
"262"	"160"	""	"110"	""	"3"	""	"1"	"29"	"4"	"0"	""	"1"	""	"0"	"0"	"5"	""	"1"	""	"8"	"-162"	""	""	"0"	""	"-162"	"0"
"263"	"161"	""	"272"	""	"17"	""	"1"	"194"	"5"	"0"	""	"0"	""	"2"	"0"	"1"	""	"0"	""	"0"	"-492"	""	""	"0"	""	"-492"	"0"
"264"	"162"	""	"0"	""	"0"	""	"3"	"331"	"1"	"4"	""	"0"	""	"0"	"0"	"0"	""	"0"	""	"0"	"-339"	""	""	"0"	""	"-339"	"0"
"265"	"163"	""	"161"	""	"3"	""	"2"	"83"	"7"	"3"	""	"1"	""	"1"	"2"	"2"	""	"2"	""	"13"	"-280"	""	""	"0"	""	"-280"	"0"
"266"	"164"	""	"24"	""	"1"	""	"1"	"113"	"3"	"1"	""	"0"	""	"0"	"0"	"0"	""	"0"	""	"4"	"-147"	""	""	"0"	""	"-147"	"0"
"267"	"165"	""	"159"	""	"5"	""	"1"	"43"	"3"	"3"	""	"1"	""	"1"	"5"	"3"	""	"6"	""	"13"	"-243"	""	""	"0"	""	"-243"	"0"
"268"	"166"	""	"505"	""	"3"	""	"6"	"79"	"2"	"2"	""	"1"	""	"1"	"9"	"2"	""	"2"	""	"3"	"-615"	""	""	"0"	""	"-615"	"0"
"269"	"167"	""	"14"	""	"0"	""	"1"	"167"	"0"	"18"	""	"0"	""	"0"	"0"	"9"	""	"0"	""	"0"	"-209"	""	""	"0"	""	"-209"	"0"
"270"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"271"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"Election to the Bihar Legislative Assembly from 226 - Makhdumpur Assembly Contituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"Serial No. of Polling station"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of Rejected Votes"	""	"Total"	"No. Tender Votes"
"276"	""	""	"Bagi Kumar Verma"	""	"Shantnu Paswan"	""	"Shyam Kishor"	"Ramashray Prasad Singh"	"Sheo Ratan Singh"	"Chitranjan Kumar"	""	"Tripurari Sharan"	""	"Manoj Kumar"	"Mahendra Prasad Yadav"	"Ranjan Kumar"	""	"Rama Kant Sharma"	""	"Sanjay Kumar"	""	""	""	""	""	""	""
"277"	"168"	""	"95"	""	"0"	""	"1"	"360"	"1"	"0"	""	"0"	""	"0"	"0"	"1"	""	"1"	""	"0"	"-459"	""	""	"0"	""	"-459"	"0"
"278"	"169"	""	"4"	""	"0"	""	"5"	"631"	"13"	"7"	""	"0"	""	"0"	"0"	"0"	""	"1"	""	"1"	"-662"	""	""	"0"	""	"-662"	"0"
"279"	"170"	""	"223"	""	"8"	""	"3"	"7"	"0"	"0"	""	"3"	""	"0"	"0"	"0"	""	"3"	""	"6"	"-253"	""	""	"0"	""	"-253"	"0"
"280"	"171"	""	"180"	""	"1"	""	"1"	"342"	"4"	"0"	""	"0"	""	"0"	"0"	"0"	""	"0"	""	"2"	"-530"	""	""	"0"	""	"-530"	"0"
"281"	"172"	""	"304"	""	"1"	""	"0"	"39"	"0"	"0"	""	"0"	""	"0"	"0"	"2"	""	"0"	""	"0"	"-346"	""	""	"0"	""	"-346"	"0"
"282"	"173"	""	"268"	""	"14"	""	"3"	"21"	"3"	"0"	""	"0"	""	"0"	"1"	"0"	""	"0"	""	"0"	"-310"	""	""	"0"	""	"-310"	"0"
"283"	"174"	""	"181"	""	"19"	""	"1"	"42"	"0"	"2"	""	"1"	""	"1"	"0"	"8"	""	"3"	""	"18"	"-276"	""	""	"0"	""	"-276"	"0"
"284"	"175"	""	"721"	""	"3"	""	"14"	"165"	"8"	"0"	""	"2"	""	"1"	"0"	"2"	""	"0"	""	"3"	"-919"	""	""	"0"	""	"-919"	"0"
"285"	"176"	""	"341"	""	"21"	""	"18"	"188"	"6"	"0"	""	"1"	""	"0"	"7"	"9"	""	"4"	""	"5"	"-600"	""	""	"0"	""	"-600"	"0"
"286"	"177"	""	"153"	""	"4"	""	"4"	"39"	"6"	"4"	""	"1"	""	"1"	"3"	"50"	""	"3"	""	"8"	"-276"	""	""	"0"	""	"-276"	"0"
"287"	"178"	""	"1"	""	"0"	""	"4"	"541"	"1"	"1"	""	"0"	""	"1"	"0"	"1"	""	"1"	""	"0"	"-551"	""	""	"0"	""	"-551"	"0"
"288"	"179"	""	"838"	""	"4"	""	"1"	"10"	"0"	"0"	""	"0"	""	"0"	"1"	"0"	""	"0"	""	"1"	"-855"	""	""	"0"	""	"-855"	"0"
"289"	"180"	""	"202"	""	"17"	""	"14"	"94"	"14"	"3"	""	"2"	""	"2"	"2"	"2"	""	"3"	""	"26"	"-381"	""	""	"0"	""	"-381"	"0"
"290"	"181"	""	"37"	""	"1"	""	"7"	"215"	"10"	"2"	""	"2"	""	"2"	"10"	"5"	""	"2"	""	"4"	"-297"	""	""	"0"	""	"-297"	"0"
"291"	"ASSEMBLY ELECTION - 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"226-MAKHDUMPUR ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
