"izFke.pdz"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"
"1"	"fuokZpuksa dk lapkyu fu;e] 1961"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"izi= &20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"¼fu;e 56 ¼7½ nsf[k;s ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"vafre &ifj.kkei="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"¼ fu;e 59, ds v/khu fofufnZ\"V fuokZpu {ks= ds ernku dsUnzksa ij ernku ifj.kke dks vfHkfyf[kr djus ds fy, iz;ksx fd;s tkus gsrq½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"24 & xksikyxat fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ernku
dsUnz la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erksa dh l[;k"	""	"izfr{ksfir
erksa dh la[;k"	""	""	""	";ksx"	""	""	""	""
"8"	""	"vfEcdk
iz0 ;kno"	""	"js;ktqy
gd mQZ
^jktq*"	""	"gfjukjk;.k
flag"	""	"jkuh nsoh"	""	"lar Hkjr
Hkw\"k.kTkh egkjkt"	""	"lqck\"k
"124"	"87"	""	"73"	""	"158"	""	"10"	""	"9"	""	"18"	""	"111"	""	"5"	""	"91"	""	"6"	""	"5"	""	"486"	""	""	""	""	""	"486"	""	""	""
"125"	"88"	""	"33"	""	"63"	""	"4"	""	"7"	""	"16"	""	"51"	""	"13"	""	"236"	""	"18"	""	"36"	""	"477"	""	""	""	""	""	"477"	""	""	""
"126"	"89"	""	"18"	""	"17"	""	"6"	""	"7"	""	"6"	""	"111"	""	"17"	""	"125"	""	"10"	""	"20"	""	"337"	""	""	""	""	""	"337"	""	""	""
"127"	"90"	""	"42"	""	"96"	""	"24"	""	"11"	""	"21"	""	"26"	""	"13"	""	"232"	""	"14"	""	"5"	""	"484"	""	""	""	""	""	"484"	""	""	""
"128"	"91"	""	"25"	""	"124"	""	"10"	""	"6"	""	"11"	""	"72"	""	"4"	""	"83"	""	"13"	""	"20"	""	"368"	""	""	""	""	""	"368"	""	""	""
"129"	"92"	""	"43"	""	"211"	""	"17"	""	"6"	""	"15"	""	"110"	""	"11"	""	"75"	""	"18"	""	"20"	""	"526"	""	""	""	""	""	"526"	""	""	""
"130"	"93"	""	"90"	""	"116"	""	"24"	""	"12"	""	"17"	""	"107"	""	"9"	""	"195"	""	"12"	""	"19"	""	"601"	""	""	""	""	""	"601"	""	""	""
"131"	"94"	""	"5"	""	"123"	""	"5"	""	"4"	""	"14"	""	"162"	""	"3"	""	"46"	""	"4"	""	"12"	""	"378"	""	""	""	""	""	"378"	""	""	""
"132"	"95"	""	"11"	""	"122"	""	"11"	""	"9"	""	"12"	""	"109"	""	"4"	""	"104"	""	"2"	""	"15"	""	"399"	""	""	""	""	""	"399"	""	""	""
"133"	"96"	""	"33"	""	"225"	""	"17"	""	"10"	""	"20"	""	"132"	""	"17"	""	"173"	""	"23"	""	"17"	""	"667"	""	""	""	""	""	"667"	""	""	""
"134"	"97"	""	"34"	""	"132"	""	"12"	""	"5"	""	"19"	""	"169"	""	"9"	""	"163"	""	"10"	""	"8"	""	"561"	""	""	""	""	""	"561"	""	""	""
"135"	"98"	""	"38"	""	"66"	""	"15"	""	"7"	""	"11"	""	"20"	""	"6"	""	"146"	""	"13"	""	"11"	""	"333"	""	""	""	""	""	"333"	""	""	""
"136"	";ksx"	""	"528"	""	"1518"	""	"159"	""	"107"	""	"197"	""	"1367"	""	"125"	""	"2150"	""	"156"	""	"195"	""	"6502"	""	""	"0"	""	""	"6502"	""	""	""
"137"	"ernku dsUnz
la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erksa dh la[;k"	""	""	""	"izfr{ksfir
erksa dh la[;k"	""	""	";ksx"	""	""
"138"	""	""	"vfEcdk
iz0 ;kno"	""	"js;ktqy
gd mQZ
^jktq*"	""	"gfjukjk;.k
flag"	""	"jkuh nsoh"	""	"lar Hkjr
Hkw\"k.kTkh egkjkt"	""	"lqck\"k
flag"	""	"vk'kk iwtu
flag"	""	"bafnjk
;kno"	""	"d`\".kk
izLkkn"	""	"lrsUnz cSBk"	""	""	""	""	""	""	""	""	""	""	""
"139"	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	""	""	"13"	""	""	"14"	""	""
"140"	"99"	""	"65"	""	"245"	""	"11"	""	"3"	""	"38"	""	"166"	""	"13"	""	"50"	""	"10"	""	"26"	""	"627"	""	""	""	""	""	""	"627"	""	""
"141"	"100"	""	"48"	""	"142"	""	"18"	""	"4"	""	"17"	""	"214"	""	"13"	""	"263"	""	"8"	""	"8"	""	"735"	""	""	""	""	""	""	"735"	""	""
"142"	"101"	""	"20"	""	"95"	""	"16"	""	"8"	""	"7"	""	"122"	""	"3"	""	"214"	""	"13"	""	"11"	""	"509"	""	""	""	""	""	""	"509"	""	""
"143"	"102"	""	"24"	""	"45"	""	"55"	""	"4"	""	"13"	""	"142"	""	"7"	""	"52"	""	"6"	""	"18"	""	"366"	""	""	""	""	""	""	"366"	""	""
"144"	"103"	""	"27"	""	"109"	""	"36"	""	"9"	""	"12"	""	"95"	""	"10"	""	"252"	""	"14"	""	"11"	""	"575"	""	""	""	""	""	""	"575"	""	""
"145"	"104"	""	"15"	""	"48"	""	"15"	""	"2"	""	"3"	""	"222"	""	"7"	""	"122"	""	"7"	""	"5"	""	"446"	""	""	""	""	""	""	"446"	""	""
"146"	"105"	""	"61"	""	"150"	""	"12"	""	"9"	""	"7"	""	"27"	""	"6"	""	"213"	""	"17"	""	"20"	""	"522"	""	""	""	""	""	""	"522"	""	""
"147"	"106"	""	"25"	""	"135"	""	"28"	""	"7"	""	"8"	""	"79"	""	"9"	""	"167"	""	"17"	""	"15"	""	"490"	""	""	""	""	""	""	"490"	""	""
"148"	"107"	""	"46"	""	"136"	""	"25"	""	"12"	""	"22"	""	"152"	""	"8"	""	"162"	""	"10"	""	"8"	""	"581"	""	""	""	""	""	""	"581"	""	""
"149"	"108"	""	"24"	""	"61"	""	"40"	""	"6"	""	"10"	""	"112"	""	"6"	""	"195"	""	"16"	""	"10"	""	"480"	""	""	""	""	""	""	"480"	""	""
"150"	"109"	""	"37"	""	"72"	""	"13"	""	"36"	""	"16"	""	"228"	""	"6"	""	"84"	""	"10"	""	"8"	""	"510"	""	""	""	""	""	""	"510"	""	""
"151"	"110"	""	"18"	""	"141"	""	"9"	""	"3"	""	"22"	""	"169"	""	"8"	""	"138"	""	"12"	""	"29"	""	"549"	""	""	""	""	""	""	"549"	""	""
"152"	"111"	""	"32"	""	"103"	""	"15"	""	"7"	""	"18"	""	"122"	""	"0"	""	"84"	""	"4"	""	"4"	""	"389"	""	""	""	""	""	""	"389"	""	""
"153"	"112"	""	"15"	""	"292"	""	"18"	""	"12"	""	"28"	""	"162"	""	"8"	""	"132"	""	"13"	""	"34"	""	"714"	""	""	""	""	""	""	"714"	""	""
"154"	";ksx"	""	"457"	""	"1774"	""	"311"	""	"122"	""	"221"	""	"2012"	""	"104"	""	"2128"	""	"157"	""	"207"	""	"7493"	""	""	""	"0"	""	""	"7493"	""	""
"155"	"ernku dsUnz
la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erksa dh la[;k"	""	"izfr{ksfir
erksa dh la[;k"	""	""	""	";ksx"	""	""	""
"156"	""	""	"vfEcdk
iz0 ;kno"	""	"js;ktqy
gd mQZ
^jktq*"	""	"gfjukjk;.k
flag"	""	"jkuh nsoh"	""	"lar Hkjr
Hkw\"k.kTkh egkjkt"	""	"lqck\"k
flag"	""	"vk'kk iwtu
flag"	""	"bafnjk
;kno"	""	"d`\".kk
izLkkn"	""	"lrsUnz cSBk"	""	""	""	""	""	""	""	""	""	""	""
"157"	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	""	""	"14"	""	""	""
"158"	"113"	""	"99"	""	"215"	""	"18"	""	"10"	""	"40"	""	"206"	""	"7"	""	"61"	""	"5"	""	"11"	""	"672"	""	""	""	""	""	"672"	""	""	""
"159"	"114"	""	"24"	""	"38"	""	"10"	""	"4"	""	"6"	""	"76"	""	"6"	""	"81"	""	"5"	""	"7"	""	"257"	""	""	""	""	""	"257"	""	""	""
"160"	"115"	""	"22"	""	"299"	""	"13"	""	"1"	""	"12"	""	"184"	""	"7"	""	"58"	""	"7"	""	"5"	""	"608"	""	""	""	""	""	"608"	""	""	""
"161"	"116"	""	"34"	""	"173"	""	"14"	""	"7"	""	"15"	""	"256"	""	"5"	""	"53"	""	"7"	""	"15"	""	"579"	""	""	""	""	""	"579"	""	""	""
"162"	"117"	""	"52"	""	"403"	""	"28"	""	"28"	""	"20"	""	"119"	""	"12"	""	"44"	""	"20"	""	"35"	""	"761"	""	""	""	""	""	"761"	""	""	""
"163"	"118"	""	"23"	""	"127"	""	"11"	""	"2"	""	"27"	""	"250"	""	"9"	""	"37"	""	"10"	""	"10"	""	"506"	""	""	""	""	""	"506"	""	""	""
"164"	"119"	""	"28"	""	"146"	""	"15"	""	"11"	""	"20"	""	"80"	""	"16"	""	"201"	""	"33"	""	"28"	""	"578"	""	""	""	""	""	"578"	""	""	""
"165"	"120"	""	"16"	""	"248"	""	"21"	""	"7"	""	"7"	""	"89"	""	"1"	""	"52"	""	"1"	""	"6"	""	"448"	""	""	""	""	""	"448"	""	""	""
"166"	"121"	""	"67"	""	"189"	""	"12"	""	"7"	""	"18"	""	"94"	""	"6"	""	"56"	""	"16"	""	"26"	""	"491"	""	""	""	""	""	"491"	""	""	""
"167"	"122"	""	"26"	""	"109"	""	"141"	""	"3"	""	"12"	""	"179"	""	"5"	""	"177"	""	"9"	""	"9"	""	"670"	""	""	""	""	""	"670"	""	""	""
"168"	"123"	""	"11"	""	"248"	""	"11"	""	"7"	""	"16"	""	"58"	""	"6"	""	"109"	""	"10"	""	"16"	""	"492"	""	""	""	""	""	"492"	""	""	""
"169"	"124"	""	"70"	""	"229"	""	"22"	""	"22"	""	"19"	""	"32"	""	"5"	""	"148"	""	"11"	""	"7"	""	"565"	""	""	""	""	""	"565"	""	""	""
"170"	"125"	""	"6"	""	"4"	""	"1"	""	"1"	""	"5"	""	"367"	""	"6"	""	"5"	""	"0"	""	"8"	""	"403"	""	""	""	""	""	"403"	""	""	""
"171"	"126"	""	"4"	""	"6"	""	"1"	""	"2"	""	"6"	""	"544"	""	"3"	""	"1"	""	"1"	""	"6"	""	"574"	""	""	""	""	""	"574"	""	""	""
"172"	";ksx"	""	"482"	""	"2434"	""	"318"	""	"112"	""	"223"	""	"2534"	""	"94"	""	"1083"	""	"135"	""	"189"	""	"7604"	""	"0"	""	""	""	"7604"	""	""	""
"173"	"ernku dsUnz
la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erksa dh la[;k"	""	"izfr{ksfir
erksa dh la[;k"	""	""	""	";ksx"	""	""	""
"174"	""	""	"vfEcdk
iz0 ;kno"	""	"js;ktqy
gd mQZ
^jktq*"	""	"gfjukjk;.k
flag"	""	"jkuh nsoh"	""	"lar Hkjr
Hkw\"k.kTkh egkjkt"	""	"lqck\"k
flag"	""	"vk'kk iwtu
flag"	""	"bafnjk
;kno"	""	"d`\".kk
izLkkn"	""	"lrsUnz cSBk"	""	""	""	""	""	""	""	""	""	""	""
"175"	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	""	""	"14"	""	""	""
"176"	"127"	""	"8"	""	"60"	""	"7"	""	"1"	""	"16"	""	"490"	""	"5"	""	"41"	""	"2"	""	"6"	""	"636"	""	""	""	""	""	"636"	""	""	""
"177"	"128"	""	"23"	""	"6"	""	"4"	""	"5"	""	"20"	""	"300"	""	"6"	""	"57"	""	"2"	""	"10"	""	"433"	""	""	""	""	""	"433"	""	""	""
"178"	"129"	""	"46"	""	"17"	""	"18"	""	"4"	""	"9"	""	"56"	""	"3"	""	"118"	""	"3"	""	"3"	""	"277"	""	""	""	""	""	"277"	""	""	""
"179"	"130"	""	"33"	""	"131"	""	"21"	""	"9"	""	"17"	""	"207"	""	"3"	""	"77"	""	"4"	""	"1"	""	"503"	""	""	""	""	""	"503"	""	""	""
"180"	"131"	""	"55"	""	"121"	""	"20"	""	"15"	""	"19"	""	"134"	""	"10"	""	"146"	""	"20"	""	"25"	""	"565"	""	""	""	""	""	"565"	""	""	""
"181"	"132"	""	"21"	""	"321"	""	"19"	""	"5"	""	"13"	""	"63"	""	"6"	""	"62"	""	"12"	""	"16"	""	"538"	""	""	""	""	""	"538"	""	""	""
"182"	"133"	""	"32"	""	"60"	""	"12"	""	"8"	""	"14"	""	"216"	""	"10"	""	"77"	""	"7"	""	"7"	""	"443"	""	""	""	""	""	"443"	""	""	""
"183"	"134"	""	"29"	""	"64"	""	"5"	""	"5"	""	"21"	""	"227"	""	"10"	""	"121"	""	"9"	""	"8"	""	"499"	""	""	""	""	""	"499"	""	""	""
"184"	"135"	""	"29"	""	"191"	""	"27"	""	"3"	""	"13"	""	"167"	""	"4"	""	"71"	""	"12"	""	"8"	""	"525"	""	""	""	""	""	"525"	""	""	""
"185"	"136"	""	"10"	""	"273"	""	"15"	""	"4"	""	"7"	""	"24"	""	"2"	""	"26"	""	"5"	""	"17"	""	"383"	""	""	""	""	""	"383"	""	""	""
"186"	"137"	""	"11"	""	"112"	""	"22"	""	"6"	""	"13"	""	"214"	""	"5"	""	"98"	""	"10"	""	"13"	""	"504"	""	""	""	""	""	"504"	""	""	""
"187"	"138"	""	"18"	""	"102"	""	"25"	""	"5"	""	"11"	""	"260"	""	"6"	""	"98"	""	"6"	""	"16"	""	"547"	""	""	""	""	""	"547"	""	""	""
"188"	"139"	""	"17"	""	"72"	""	"22"	""	"2"	""	"10"	""	"180"	""	"4"	""	"45"	""	"2"	""	"1"	""	"355"	""	""	""	""	""	"355"	""	""	""
"189"	"140"	""	"23"	""	"55"	""	"40"	""	"8"	""	"15"	""	"309"	""	"3"	""	"101"	""	"1"	""	"5"	""	"560"	""	""	""	""	""	"560"	""	""	""
"190"	";ksx"	""	"355"	""	"1585"	""	"257"	""	"80"	""	"198"	""	"2847"	""	"77"	""	"1138"	""	"95"	""	"136"	""	"6768"	""	"0"	""	""	""	"6768"	""	""	""
"191"	"ernku dsUnz
la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erksa dh la[;k"	""	""	"izfr{ksfir
erksa dh la[;k"	""	""	""	";ksx"	""	""
"192"	""	""	"vfEcdk
iz0 ;kno"	""	"js;ktqy
gd mQZ
^jktq*"	""	"gfjukjk;.k
flag"	""	"jkuh nsoh"	""	"lar Hkjr
Hkw\"k.kTkh egkjkt"	""	"lqck\"k
flag"	""	"vk'kk iwtu
flag"	""	"bafnjk
;kno"	""	"d`\".kk
izLkkn"	""	"lrsUnz cSBk"	""	""	""	""	""	""	""	""	""	""	""
"193"	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	""	""	"14"	""	""
"194"	"141"	""	"14"	""	"31"	""	"47"	""	"3"	""	"10"	""	"189"	""	"0"	""	"50"	""	"0"	""	"1"	""	"345"	""	""	""	""	""	""	"345"	""	""
"195"	"142"	""	"19"	""	"108"	""	"11"	""	"1"	""	"9"	""	"148"	""	"4"	""	"122"	""	"2"	""	"7"	""	"431"	""	""	""	""	""	""	"431"	""	""
"196"	"143"	""	"6"	""	"51"	""	"14"	""	"7"	""	"17"	""	"100"	""	"0"	""	"120"	""	"6"	""	"3"	""	"324"	""	""	""	""	""	""	"324"	""	""
"197"	"144"	""	"22"	""	"109"	""	"21"	""	"0"	""	"5"	""	"114"	""	"3"	""	"122"	""	"1"	""	"3"	""	"400"	""	""	""	""	""	""	"400"	""	""
"198"	"145"	""	"4"	""	"47"	""	"20"	""	"0"	""	"3"	""	"59"	""	"1"	""	"60"	""	"0"	""	"0"	""	"194"	""	""	""	""	""	""	"194"	""	""
"199"	"146"	""	"6"	""	"48"	""	"83"	""	"1"	""	"3"	""	"223"	""	"5"	""	"38"	""	"0"	""	"1"	""	"408"	""	""	""	""	""	""	"408"	""	""
"200"	"147"	""	"10"	""	"370"	""	"12"	""	"1"	""	"2"	""	"63"	""	"2"	""	"46"	""	"1"	""	"4"	""	"511"	""	""	""	""	""	""	"511"	""	""
"201"	"148"	""	"27"	""	"205"	""	"14"	""	"5"	""	"5"	""	"39"	""	"2"	""	"50"	""	"3"	""	"5"	""	"355"	""	""	""	""	""	""	"355"	""	""
"202"	"149"	""	"23"	""	"74"	""	"42"	""	"3"	""	"11"	""	"86"	""	"3"	""	"163"	""	"2"	""	"3"	""	"410"	""	""	""	""	""	""	"410"	""	""
"203"	"150"	""	"15"	""	"34"	""	"32"	""	"2"	""	"4"	""	"159"	""	"3"	""	"74"	""	"1"	""	"3"	""	"327"	""	""	""	""	""	""	"327"	""	""
"204"	"151"	""	"97"	""	"60"	""	"32"	""	"7"	""	"11"	""	"115"	""	"3"	""	"228"	""	"7"	""	"9"	""	"569"	""	""	""	""	""	""	"569"	""	""
"205"	"152"	""	"46"	""	"170"	""	"39"	""	"4"	""	"16"	""	"172"	""	"7"	""	"155"	""	"3"	""	"7"	""	"619"	""	""	""	""	""	""	"619"	""	""
"206"	"153"	""	"56"	""	"79"	""	"38"	""	"2"	""	"7"	""	"205"	""	"5"	""	"216"	""	"14"	""	"11"	""	"633"	""	""	""	""	""	""	"633"	""	""
"207"	"154"	""	"104"	""	"48"	""	"26"	""	"6"	""	"12"	""	"63"	""	"10"	""	"95"	""	"4"	""	"13"	""	"381"	""	""	""	""	""	""	"381"	""	""
"208"	";ksx"	""	"449"	""	"1434"	""	"431"	""	"42"	""	"115"	""	"1735"	""	"48"	""	"1539"	""	"44"	""	"70"	""	"5907"	""	""	"0"	""	""	""	"5907"	""	""
"209"	"ernku dsUnz
la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erksa dh la[;k"	""	"izfr{ksfir
erksa dh la[;k"	""	""	""	";ksx"	""	""	""
"210"	""	""	"vfEcdk
iz0 ;kno"	""	"js;ktqy
gd mQZ
^jktq*"	""	"gfjukjk;.k
flag"	""	"jkuh nsoh"	""	"lar Hkjr
Hkw\"k.kTkh egkjkt"	""	"lqck\"k
flag"	""	"vk'kk iwtu
flag"	""	"bafnjk
;kno"	""	"d`\".kk
izLkkn"	""	"lrsUnz cSBk"	""	""	""	""	""	""	""	""	""	""	""
"211"	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	""	""	"14"	""	""	""
"212"	"155"	""	"90"	""	"81"	""	"21"	""	"3"	""	"17"	""	"187"	""	"3"	""	"125"	""	"8"	""	"16"	""	"551"	""	""	""	""	""	"551"	""	""	""
"213"	"156"	""	"248"	""	"192"	""	"20"	""	"11"	""	"4"	""	"65"	""	"2"	""	"81"	""	"5"	""	"7"	""	"635"	""	""	""	""	""	"635"	""	""	""
"214"	"157"	""	"38"	""	"200"	""	"13"	""	"4"	""	"11"	""	"82"	""	"0"	""	"112"	""	"5"	""	"2"	""	"467"	""	""	""	""	""	"467"	""	""	""
"215"	"158"	""	"41"	""	"89"	""	"36"	""	"11"	""	"22"	""	"181"	""	"9"	""	"124"	""	"7"	""	"4"	""	"524"	""	""	""	""	""	"524"	""	""	""
"216"	"159"	""	"12"	""	"58"	""	"24"	""	"3"	""	"10"	""	"62"	""	"1"	""	"119"	""	"3"	""	"3"	""	"295"	""	""	""	""	""	"295"	""	""	""
"217"	"160"	""	"25"	""	"94"	""	"399"	""	"21"	""	"10"	""	"81"	""	"2"	""	"162"	""	"10"	""	"13"	""	"817"	""	""	""	""	""	"817"	""	""	""
"218"	"161"	""	"42"	""	"72"	""	"99"	""	"12"	""	"12"	""	"59"	""	"13"	""	"217"	""	"28"	""	"9"	""	"563"	""	""	""	""	""	"563"	""	""	""
"219"	"162"	""	"32"	""	"149"	""	"52"	""	"24"	""	"38"	""	"266"	""	"11"	""	"319"	""	"14"	""	"7"	""	"912"	""	""	""	""	""	"912"	""	""	""
"220"	"163"	""	"47"	""	"112"	""	"24"	""	"17"	""	"17"	""	"75"	""	"11"	""	"193"	""	"8"	""	"24"	""	"528"	""	""	""	""	""	"528"	""	""	""
"221"	"164"	""	"14"	""	"204"	""	"12"	""	"4"	""	"10"	""	"88"	""	"2"	""	"26"	""	"1"	""	"11"	""	"372"	""	""	""	""	""	"372"	""	""	""
"222"	"165"	""	"14"	""	"302"	""	"7"	""	"2"	""	"5"	""	"79"	""	"1"	""	"12"	""	"2"	""	"6"	""	"430"	""	""	""	""	""	"430"	""	""	""
"223"	"166"	""	"58"	""	"178"	""	"12"	""	"6"	""	"3"	""	"63"	""	"7"	""	"113"	""	"6"	""	"7"	""	"453"	""	""	""	""	""	"453"	""	""	""
"224"	"167"	""	"10"	""	"230"	""	"2"	""	"4"	""	"6"	""	"10"	""	"2"	""	"60"	""	"3"	""	"3"	""	"330"	""	""	""	""	""	"330"	""	""	""
"225"	"168"	""	"22"	""	"154"	""	"29"	""	"6"	""	"13"	""	"132"	""	"7"	""	"198"	""	"7"	""	"12"	""	"580"	""	""	""	""	""	"580"	""	""	""
"226"	";ksx"	""	"693"	""	"2115"	""	"750"	""	"128"	""	"178"	""	"1430"	""	"71"	""	"1861"	""	"107"	""	"124"	""	"7457"	""	"0"	""	""	""	"7457"	""	""	""
"227"	"ernku dsUnz
la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erksa dh la[;k"	""	"izfr{ksfir
erksa dh la[;k"	""	""	""	";ksx"	""	""	""
"228"	""	""	"vfEcdk
iz0 ;kno"	""	"js;ktqy
gd mQZ
^jktq*"	""	"gfjukjk;.k
flag"	""	"jkuh nsoh"	""	"lar Hkjr
Hkw\"k.kTkh egkjkt"	""	"lqck\"k
flag"	""	"vk'kk iwtu
flag"	""	"bafnjk
;kno"	""	"d`\".kk
izLkkn"	""	"lrsUnz cSBk"	""	""	""	""	""	""	""	""	""	""	""
"229"	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	""	""	"14"	""	""	""
"230"	"169"	""	"303"	""	"59"	""	"7"	""	"3"	""	"6"	""	"208"	""	"5"	""	"46"	""	"2"	""	"5"	""	"644"	""	""	""	""	""	"644"	""	""	""
"231"	"170"	""	"3"	""	"443"	""	"8"	""	"6"	""	"5"	""	"28"	""	"2"	""	"20"	""	"0"	""	"1"	""	"516"	""	""	""	""	""	"516"	""	""	""
"232"	"171"	""	"2"	""	"325"	""	"0"	""	"0"	""	"3"	""	"18"	""	"1"	""	"1"	""	"1"	""	"0"	""	"351"	""	""	""	""	""	"351"	""	""	""
"233"	"172"	""	"23"	""	"156"	""	"2"	""	"24"	""	"9"	""	"72"	""	"6"	""	"126"	""	"6"	""	"6"	""	"430"	""	""	""	""	""	"430"	""	""	""
"234"	"173"	""	"19"	""	"263"	""	"9"	""	"5"	""	"7"	""	"82"	""	"5"	""	"29"	""	"6"	""	"10"	""	"435"	""	""	""	""	""	"435"	""	""	""
"235"	"174"	""	"16"	""	"38"	""	"25"	""	"4"	""	"5"	""	"45"	""	"6"	""	"246"	""	"6"	""	"4"	""	"395"	""	""	""	""	""	"395"	""	""	""
"236"	"175"	""	"26"	""	"134"	""	"9"	""	"6"	""	"8"	""	"78"	""	"5"	""	"123"	""	"10"	""	"5"	""	"404"	""	""	""	""	""	"404"	""	""	""
"237"	"176"	""	"17"	""	"382"	""	"4"	""	"2"	""	"0"	""	"14"	""	"1"	""	"24"	""	"2"	""	"1"	""	"447"	""	""	""	""	""	"447"	""	""	""
"238"	"177"	""	"14"	""	"312"	""	"10"	""	"6"	""	"4"	""	"38"	""	"2"	""	"69"	""	"0"	""	"1"	""	"456"	""	""	""	""	""	"456"	""	""	""
"239"	"178"	""	"9"	""	"321"	""	"3"	""	"12"	""	"6"	""	"29"	""	"0"	""	"17"	""	"1"	""	"0"	""	"398"	""	""	""	""	""	"398"	""	""	""
"240"	"179"	""	"17"	""	"296"	""	"8"	""	"8"	""	"3"	""	"29"	""	"4"	""	"114"	""	"3"	""	"6"	""	"488"	""	""	""	""	""	"488"	""	""	""
"241"	"180"	""	"66"	""	"43"	""	"32"	""	"11"	""	"15"	""	"226"	""	"3"	""	"100"	""	"6"	""	"9"	""	"511"	""	""	""	""	""	"511"	""	""	""
"242"	"181"	""	"29"	""	"87"	""	"13"	""	"2"	""	"8"	""	"96"	""	"3"	""	"81"	""	"4"	""	"9"	""	"332"	""	""	""	""	""	"332"	""	""	""
"243"	"182"	""	"67"	""	"25"	""	"13"	""	"10"	""	"12"	""	"90"	""	"3"	""	"80"	""	"7"	""	"9"	""	"316"	""	""	""	""	""	"316"	""	""	""
"244"	";ksx"	""	"611"	""	"2884"	""	"143"	""	"99"	""	"91"	""	"1053"	""	"46"	""	"1076"	""	"54"	""	"66"	""	"6123"	""	"0"	""	""	""	"6123"	""	""	""
"245"	"ernku dsUnz
la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erksa dh la[;k"	""	"izfr{ksfir
erksa dh la[;k"	""	""	""	";ksx"	""	""	""
"246"	""	""	"vfEcdk
iz0 ;kno"	""	"js;ktqy
gd mQZ
^jktq*"	""	"gfjukjk;.k
flag"	""	"jkuh nsoh"	""	"lar Hkjr
Hkw\"k.kTkh egkjkt"	""	"lqck\"k
flag"	""	"vk'kk iwtu
flag"	""	"bafnjk
;kno"	""	"d`\".kk
izLkkn"	""	"lrsUnz cSBk"	""	""	""	""	""	""	""	""	""	""	""
"247"	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	""	""	""	"14"	""	""	""
"248"	"183"	""	"31"	""	"118"	""	"18"	""	"8"	""	"19"	""	"111"	""	"7"	""	"53"	""	"5"	""	"5"	""	"375"	""	""	""	""	""	"375"	""	""	""
"249"	"184"	""	"20"	""	"136"	""	"12"	""	"6"	""	"8"	""	"105"	""	"11"	""	"59"	""	"6"	""	"12"	""	"375"	""	""	""	""	""	"375"	""	""	""
