"ROUND...1...CUMMULATIVE"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"
"307"	"1"	"UDO PRASAD RAJAK"	""	"Jharkhand Mukti Morcha"	"3674"	"0"	"3674"	""	""
"308"	"2"	"KRISHNA KUMAR RISHI"	""	"Bharatiya Janata Party"	"28406"	"0"	"28406"	""	""
"309"	"3"	"JAIKANT PASWAN"	""	"Indian National Congress"	"8220"	"0"	"8220"	""	""
"310"	"4"	"MANORAMA DEVI"	""	"Rashtriya Janata Dal"	"20171"	"0"	"20171"	""	""
"311"	"5"	"RAMDEO RISHI"	""	"Bahujan Samaj Party"	"1654"	"0"	"1654"	""	""
"312"	"6"	"ABHINANDAN RAJAK"	""	"Apna Dal"	"1984"	"0"	"1984"	""	""
"313"	"7"	"UMESH PASWAN"	""	"Lok Jan Shakti Party"	"5700"	"0"	"5700"	""	""
"314"	"8"	"NITYANAND RISHI"	""	"Communist Party of India (Marxist-Leninist)(Libration)"	"1486"	"0"	"1486"	""	""
"315"	"9"	"MANJU DEVI"	""	"Jharkhand Disom Party"	"2075"	"0"	"2075"	""	""
"316"	"10"	"GHANSHYAM DAS"	""	"Independent"	"1393"	"0"	"1393"	""	""
"317"	"11"	"DEO NARAYAN PASWAN"	""	"Independent"	"1141"	"0"	"1141"	""	""
"318"	"12"	"SHASHIKALA DEVI"	""	"Independent"	"1923"	"0"	"1923"	""	""
"319"	"13"	"SURESH BAITHA"	""	"Independent"	"3007"	"0"	"3007"	""	""
"320"	"Place -"	""	""	""	""	""	""	""	""
"321"	"Date  -"	""	""	""	""	""	""	""	""
"322"	"Returning Officer"	""	""	""	""	""	""	""	""
"323"	"126 - Banmankhi Assembly Constituency"	""	""	""	""	""	""	""	""
"324"	"ROUND - 13 - CUMMULATIVE"	""	""	""	""	""	""	""	""
"325"	"ANNEXURE - XL"	""	""	""	""	""	""	""	""
"326"	"[Para 22 ® Chapter - XIV-A]"	""	""	""	""	""	""	""	""
"327"	"FORM - 20"	""	""	""	""	""	""	""	""
"328"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""
"329"	"[See Rule 56 A (7)]"	""	""	""	""	""	""	""	""
"330"	"Election to the Legislative Assembly from the 126-BANMANKHI Assembly Constituency"	""	""	""	""	""	""	""	""
"331"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""
"332"	"Candidate Details"	""	""	""	"Votes Polled in AC"	""	""	""	""
"333"	"Sl. No"	"Name"	""	"Party Abbre."	"Tot Gen Votes."	"Postal Votes"	"Total Votes"	""	""
"334"	"1"	"UDO PRASAD RAJAK"	""	"Jharkhand Mukti Morcha"	"4005"	"0"	"4005"	""	""
"335"	"2"	"KRISHNA KUMAR RISHI"	""	"Bharatiya Janata Party"	"30937"	"0"	"30937"	""	""
"336"	"3"	"JAIKANT PASWAN"	""	"Indian National Congress"	"8537"	"0"	"8537"	""	""
"337"	"4"	"MANORAMA DEVI"	""	"Rashtriya Janata Dal"	"21468"	"0"	"21468"	""	""
"338"	"5"	"RAMDEO RISHI"	""	"Bahujan Samaj Party"	"1755"	"0"	"1755"	""	""
"339"	"6"	"ABHINANDAN RAJAK"	""	"Apna Dal"	"2042"	"0"	"2042"	""	""
"340"	"7"	"UMESH PASWAN"	""	"Lok Jan Shakti Party"	"6524"	"0"	"6524"	""	""
"341"	"8"	"NITYANAND RISHI"	""	"Communist Party of India (Marxist-Leninist)(Libration)"	"1589"	"0"	"1589"	""	""
"342"	"9"	"MANJU DEVI"	""	"Jharkhand Disom Party"	"2470"	"0"	"2470"	""	""
"343"	"10"	"GHANSHYAM DAS"	""	"Independent"	"1533"	"0"	"1533"	""	""
"344"	"11"	"DEO NARAYAN PASWAN"	""	"Independent"	"1192"	"0"	"1192"	""	""
"345"	"12"	"SHASHIKALA DEVI"	""	"Independent"	"2047"	"0"	"2047"	""	""
"346"	"13"	"SURESH BAITHA"	""	"Independent"	"3276"	"0"	"3276"	""	""
"347"	"Place -"	""	""	""	""	""	""	""	""
"348"	"Date  -"	""	""	""	""	""	""	""	""
"349"	"Returning Officer"	""	""	""	""	""	""	""	""
"350"	"126 - Banmankhi Assembly Constituency"	""	""	""	""	""	""	""	""
"351"	"ROUND - 14 - CUMMULATIVE"	""	""	""	""	""	""	""	""
"352"	"ANNEXURE - XL"	""	""	""	""	""	""	""	""
"353"	"[Para 22 ® Chapter - XIV-A]"	""	""	""	""	""	""	""	""
"354"	"FORM - 20"	""	""	""	""	""	""	""	""
"355"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""
"356"	"[See Rule 56 A (7)]"	""	""	""	""	""	""	""	""
"357"	"Election to the Legislative Assembly from the 126-BANMANKHI Assembly Constituency"	""	""	""	""	""	""	""	""
"358"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""
"359"	"Candidate Details"	""	""	""	"Votes Polled in AC"	""	""	""	""
"360"	"Sl. No"	"Name"	""	"Party Abbre."	"Tot Gen Votes."	"Postal Votes"	"Total Votes"	""	""
"361"	"1"	"UDO PRASAD RAJAK"	""	"Jharkhand Mukti Morcha"	"4107"	"0"	"4107"	""	""
"362"	"2"	"KRISHNA KUMAR RISHI"	""	"Bharatiya Janata Party"	"31723"	"0"	"31723"	""	""
"363"	"3"	"JAIKANT PASWAN"	""	"Indian National Congress"	"8736"	"0"	"8736"	""	""
"364"	"4"	"MANORAMA DEVI"	""	"Rashtriya Janata Dal"	"22077"	"0"	"22077"	""	""
"365"	"5"	"RAMDEO RISHI"	""	"Bahujan Samaj Party"	"1777"	"0"	"1777"	""	""
"366"	"6"	"ABHINANDAN RAJAK"	""	"Apna Dal"	"2057"	"0"	"2057"	""	""
"367"	"7"	"UMESH PASWAN"	""	"Lok Jan Shakti Party"	"6633"	"1"	"6634"	""	""
"368"	"8"	"NITYANAND RISHI"	""	"Communist Party of India (Marxist-Leninist)(Libration)"	"1607"	"0"	"1607"	""	""
"369"	"9"	"MANJU DEVI"	""	"Jharkhand Disom Party"	"2598"	"0"	"2598"	""	""
"370"	"10"	"GHANSHYAM DAS"	""	"Independent"	"1567"	"0"	"1567"	""	""
"371"	"11"	"DEO NARAYAN PASWAN"	""	"Independent"	"1235"	"0"	"1235"	""	""
"372"	"12"	"SHASHIKALA DEVI"	""	"Independent"	"2090"	"0"	"2090"	""	""
"373"	"13"	"SURESH BAITHA"	""	"Independent"	"3397"	"0"	"3397"	""	""
"374"	"Place -"	""	""	""	""	""	""	""	""
"375"	"Date  -"	""	""	""	""	""	""	""	""
"376"	"Returning Officer"	""	""	""	""	""	""	""	""
"377"	"126 - Banmankhi Assembly Constituency"	""	""	""	""	""	""	""	""
"378"	"ROUND - 15 - CUMMULATIVE"	""	""	""	""	""	""	""	""
"379"	"ANNEXURE - XL"	""	""	""	""	""	""	""	""
"380"	"[Para 22 ® Chapter - XIV-A]"	""	""	""	""	""	""	""	""
"381"	"FORM - 20"	""	""	""	""	""	""	""	""
"382"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""
"383"	"[See Rule 56 A (7)]"	""	""	""	""	""	""	""	""
"384"	"Election to the Legislative Assembly from the 126-BANMANKHI Assembly Constituency"	""	""	""	""	""	""	""	""
"385"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""
"386"	"Candidate Details"	""	""	""	"Votes Polled in AC"	""	""	""	""
"387"	"Sl. No"	"Name"	""	"Party Abbre."	"Tot Gen Votes."	"Postal Votes"	"Total Votes"	""	""
"388"	"1"	"UDO PRASAD RAJAK"	""	"Jharkhand Mukti Morcha"	"4107"	"0"	"4107"	""	""
"389"	"2"	"KRISHNA KUMAR RISHI"	""	"Bharatiya Janata Party"	"31723"	"0"	"31723"	""	""
"390"	"3"	"JAIKANT PASWAN"	""	"Indian National Congress"	"8736"	"0"	"8736"	""	""
"391"	"4"	"MANORAMA DEVI"	""	"Rashtriya Janata Dal"	"22077"	"0"	"22077"	""	""
"392"	"5"	"RAMDEO RISHI"	""	"Bahujan Samaj Party"	"1777"	"0"	"1777"	""	""
"393"	"6"	"ABHINANDAN RAJAK"	""	"Apna Dal"	"2057"	"0"	"2057"	""	""
"394"	"7"	"UMESH PASWAN"	""	"Lok Jan Shakti Party"	"6633"	"1"	"6634"	""	""
"395"	"8"	"NITYANAND RISHI"	""	"Communist Party of India (Marxist-Leninist)(Libration)"	"1607"	"0"	"1607"	""	""
"396"	"9"	"MANJU DEVI"	""	"Jharkhand Disom Party"	"2598"	"0"	"2598"	""	""
"397"	"10"	"GHANSHYAM DAS"	""	"Independent"	"1567"	"0"	"1567"	""	""
"398"	"11"	"DEO NARAYAN PASWAN"	""	"Independent"	"1235"	"0"	"1235"	""	""
"399"	"12"	"SHASHIKALA DEVI"	""	"Independent"	"2090"	"0"	"2090"	""	""
"400"	"13"	"SURESH BAITHA"	""	"Independent"	"3397"	"0"	"3397"	""	""
"401"	"Place -"	""	""	""	""	""	""	""	""
"402"	"Date  -"	""	""	""	""	""	""	""	""
"403"	"Returning Officer"	""	""	""	""	""	""	""	""
"404"	"126 - Banmankhi Assembly Constituency"	""	""	""	""	""	""	""	""
