"FINAL.RESULTSHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"[ SEE RULE 56C (2) © ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 176 - Bihar  ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[ To be used both for Parliamentary And Assembly Election ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Constituency / Segment  :-  2005 Name of the Assembly Segment     :-          176   Bihar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(the case of election from a Assembly Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"196"	"161"	"17"	"372"	"5"	"0"	"3"	"2"	"0"	"3"	"2"	"5"	"409"	"0"	"409"	""	""
"197"	"162"	"46"	"293"	"9"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"351"	"0"	"351"	""	""
"198"	"163"	"26"	"428"	"23"	"4"	"0"	"0"	"0"	"0"	"5"	"15"	"501"	"0"	"501"	""	""
"199"	"164"	"229"	"47"	"4"	"0"	"4"	"4"	"12"	"1"	"2"	"8"	"311"	"0"	"311"	""	""
"200"	"165"	"165"	"126"	"1"	"0"	"1"	"1"	"2"	"0"	"1"	"2"	"299"	"0"	"299"	""	""
"201"	"166"	"515"	"4"	"1"	"0"	"5"	"0"	"1"	"3"	"3"	"3"	"535"	"0"	"535"	""	""
"202"	"167"	"281"	"75"	"4"	"4"	"6"	"1"	"12"	"4"	"4"	"12"	"403"	"0"	"403"	""	""
"203"	"168"	"195"	"10"	"1"	"2"	"8"	"0"	"3"	"0"	"2"	"4"	"225"	"0"	"225"	""	""
"204"	"Round- 12"	"44727"	"34698"	"785"	"368"	"1712"	"186"	"927"	"340"	"468"	"973"	"85184"	"0"	"85184"	""	""
"205"	"169"	"202"	"10"	"4"	"1"	"2"	"0"	"1"	"0"	"3"	"5"	"228"	"0"	"228"	""	""
"206"	"170"	"316"	"69"	"0"	"0"	"1"	"1"	"9"	"0"	"2"	"6"	"404"	"0"	"404"	""	""
"207"	"171"	"558"	"126"	"17"	"1"	"13"	"2"	"3"	"1"	"1"	"15"	"737"	"0"	"737"	""	""
"208"	"172"	"449"	"8"	"8"	"2"	"66"	"6"	"4"	"4"	"4"	"10"	"561"	"0"	"561"	""	""
"209"	"173"	"818"	"9"	"31"	"4"	"40"	"2"	"6"	"0"	"1"	"5"	"916"	"0"	"916"	""	""
"210"	"174"	"51"	"265"	"7"	"2"	"3"	"2"	"2"	"4"	"1"	"0"	"337"	"0"	"337"	""	""
"211"	"175"	"264"	"106"	"6"	"2"	"29"	"0"	"11"	"6"	"0"	"11"	"435"	"0"	"435"	""	""
"212"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"213"	""	"Dr. Sunil Kumar"	"Syed Naushadun Nabi"	"Md.
Himayun Ansari"	"Anil Kumar"	"Jageshwar Yadav"	"Bhushan Mahto"	"Rajesh Kumar"	"Aafrin Sultana"	"Manoj Kumar"	"Heera Lal Sao"	""	""	""	""	""
"214"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"2"	"3"	"4"	"5"	"6"
"215"	"176"	"48"	"104"	"3"	"3"	"37"	"0"	"7"	"2"	"3"	"0"	"207"	"0"	"207"	""	""
"216"	"177"	"310"	"15"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"7"	"336"	"0"	"336"	""	""
"217"	"178"	"480"	"2"	"0"	"2"	"1"	"0"	"1"	"0"	"0"	"4"	"490"	"0"	"490"	""	""
"218"	"179"	"296"	"25"	"2"	"5"	"20"	"3"	"15"	"3"	"5"	"13"	"387"	"0"	"387"	""	""
"219"	"180"	"14"	"6"	"6"	"2"	"287"	"5"	"2"	"2"	"0"	"0"	"324"	"0"	"324"	""	""
"220"	"181"	"30"	"230"	"7"	"2"	"16"	"3"	"4"	"4"	"3"	"3"	"302"	"0"	"302"	""	""
"221"	"182"	"134"	"190"	"1"	"0"	"12"	"3"	"1"	"0"	"2"	"1"	"344"	"0"	"344"	""	""
"222"	"Round- 13"	"48697"	"35863"	"878"	"394"	"2240"	"213"	"994"	"366"	"494"	"1053"	"91192"	"0"	"91192"	""	""
"223"	"183"	"553"	"4"	"1"	"2"	"0"	"0"	"2"	"1"	"0"	"2"	"565"	"0"	"565"	""	""
"224"	"184"	"133"	"107"	"0"	"1"	"12"	"0"	"3"	"1"	"0"	"0"	"257"	"0"	"257"	""	""
"225"	"185"	"179"	"19"	"11"	"8"	"103"	"9"	"2"	"1"	"0"	"1"	"333"	"0"	"333"	""	""
"226"	"186"	"451"	"65"	"2"	"2"	"5"	"0"	"0"	"1"	"2"	"5"	"533"	"0"	"533"	""	""
"227"	"187"	"437"	"2"	"0"	"1"	"0"	"0"	"3"	"0"	"0"	"1"	"444"	"0"	"444"	""	""
"228"	"188"	"498"	"2"	"1"	"1"	"1"	"0"	"4"	"0"	"0"	"4"	"511"	"0"	"511"	""	""
"229"	"189"	"288"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"0"	"293"	""	""
"230"	"190"	"214"	"27"	"2"	"1"	"7"	"0"	"2"	"1"	"3"	"10"	"267"	"0"	"267"	""	""
"231"	"191"	"416"	"6"	"1"	"2"	"19"	"1"	"2"	"1"	"0"	"0"	"448"	"0"	"448"	""	""
"232"	"192"	"63"	"169"	"5"	"5"	"8"	"0"	"0"	"2"	"0"	"3"	"255"	"0"	"255"	""	""
"233"	"193"	"298"	"194"	"3"	"1"	"28"	"5"	"9"	"4"	"1"	"7"	"550"	"0"	"550"	""	""
"234"	"194"	"201"	"49"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"0"	"251"	""	""
"235"	"195"	"600"	"48"	"8"	"5"	"4"	"0"	"2"	"5"	"2"	"7"	"681"	"0"	"681"	""	""
"236"	"196"	"379"	"13"	"3"	"2"	"5"	"1"	"9"	"2"	"1"	"16"	"431"	"0"	"431"	""	""
"237"	"Round- 14"	"53407"	"36572"	"917"	"425"	"2432"	"229"	"1032"	"385"	"503"	"1109"	"97011"	"0"	"97011"	""	""
"238"	"197"	"328"	"32"	"1"	"2"	"1"	"0"	"9"	"0"	"3"	"6"	"382"	"0"	"382"	""	""
"239"	"198"	"171"	"60"	"2"	"8"	"238"	"3"	"3"	"6"	"4"	"4"	"499"	"0"	"499"	""	""
"240"	"199"	"356"	"17"	"4"	"6"	"20"	"1"	"2"	"1"	"0"	"0"	"407"	"0"	"407"	""	""
"241"	"200"	"224"	"323"	"6"	"0"	"5"	"3"	"6"	"4"	"8"	"9"	"588"	"0"	"588"	""	""
"242"	"201"	"677"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"705"	"0"	"705"	""	""
"243"	"202"	"200"	"47"	"3"	"5"	"44"	"3"	"7"	"2"	"11"	"15"	"337"	"0"	"337"	""	""
"244"	"203"	"698"	"70"	"2"	"2"	"1"	"2"	"4"	"2"	"0"	"9"	"790"	"0"	"790"	""	""
"245"	"204"	"353"	"62"	"4"	"8"	"4"	"4"	"12"	"9"	"5"	"9"	"470"	"0"	"470"	""	""
"246"	"205"	"291"	"5"	"1"	"0"	"46"	"3"	"0"	"3"	"0"	"1"	"350"	"0"	"350"	""	""
"247"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"248"	""	"Dr. Sunil Kumar"	"Syed Naushadun Nabi"	"Md.
Himayun Ansari"	"Anil Kumar"	"Jageshwar Yadav"	"Bhushan Mahto"	"Rajesh Kumar"	"Aafrin Sultana"	"Manoj Kumar"	"Heera Lal Sao"	""	""	""	""	""
"249"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"2"	"3"	"4"	"5"	"6"
"250"	"206"	"722"	"48"	"3"	"1"	"5"	"2"	"3"	"1"	"3"	"4"	"792"	"0"	"792"	""	""
"251"	"207"	"165"	"3"	"1"	"7"	"2"	"1"	"6"	"2"	"1"	"3"	"191"	"0"	"191"	""	""
"252"	"208"	"373"	"8"	"6"	"4"	"37"	"3"	"2"	"1"	"2"	"4"	"440"	"0"	"440"	""	""
"253"	"209"	"225"	"131"	"5"	"1"	"21"	"0"	"10"	"3"	"2"	"11"	"409"	"0"	"409"	""	""
"254"	"210"	"109"	"201"	"9"	"3"	"8"	"1"	"3"	"4"	"2"	"4"	"344"	"0"	"344"	""	""
"255"	"Round- 15"	"58299"	"37607"	"964"	"472"	"2864"	"255"	"1099"	"423"	"544"	"1188"	"103715"	"0"	"103715"	""	""
"256"	"211"	"136"	"161"	"5"	"3"	"29"	"1"	"3"	"6"	"6"	"17"	"367"	"0"	"367"	""	""
"257"	"212"	"66"	"310"	"4"	"4"	"9"	"0"	"2"	"3"	"1"	"3"	"402"	"0"	"402"	""	""
"258"	"213"	"461"	"9"	"2"	"0"	"6"	"0"	"2"	"0"	"0"	"1"	"481"	"0"	"481"	""	""
"259"	"214"	"314"	"133"	"19"	"3"	"9"	"1"	"4"	"3"	"7"	"13"	"506"	"0"	"506"	""	""
"260"	"215"	"622"	"18"	"0"	"2"	"0"	"1"	"4"	"2"	"1"	"1"	"651"	"0"	"651"	""	""
"261"	"216"	"701"	"13"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"718"	"0"	"718"	""	""
"262"	"217"	"469"	"22"	"1"	"0"	"9"	"0"	"0"	"0"	"1"	"0"	"502"	"0"	"502"	""	""
"263"	"218"	"160"	"474"	"2"	"0"	"11"	"0"	"1"	"3"	"0"	"0"	"651"	"0"	"651"	""	""
"264"	"219"	"228"	"245"	"10"	"21"	"11"	"2"	"14"	"0"	"3"	"8"	"542"	"0"	"542"	""	""
"265"	"220"	"94"	"282"	"17"	"3"	"27"	"2"	"3"	"3"	"8"	"7"	"446"	"0"	"446"	""	""
"266"	"221"	"302"	"33"	"2"	"12"	"4"	"2"	"4"	"1"	"2"	"3"	"365"	"0"	"365"	""	""
"267"	"222"	"210"	"35"	"0"	"1"	"13"	"1"	"5"	"0"	"0"	"11"	"276"	"0"	"276"	""	""
"268"	"223"	"285"	"37"	"5"	"9"	"47"	"11"	"8"	"2"	"7"	"4"	"415"	"0"	"415"	""	""
"269"	"224"	"235"	"38"	"0"	"8"	"2"	"0"	"1"	"1"	"1"	"4"	"290"	"0"	"290"	""	""
"270"	"Round- 16"	"62582"	"39417"	"1033"	"538"	"3041"	"277"	"1150"	"447"	"581"	"1261"	"110327"	"0"	"110327"	""	""
"271"	"225"	"120"	"273"	"4"	"1"	"1"	"0"	"4"	"5"	"4"	"8"	"420"	"0"	"420"	""	""
"272"	"226"	"613"	"4"	"1"	"0"	"10"	"1"	"4"	"1"	"2"	"8"	"644"	"0"	"644"	""	""
"273"	"227"	"387"	"28"	"6"	"4"	"36"	"0"	"9"	"2"	"4"	"4"	"480"	"0"	"480"	""	""
"274"	"228"	"396"	"130"	"3"	"2"	"10"	"1"	"9"	"3"	"8"	"1"	"563"	"0"	"563"	""	""
"275"	"229"	"37"	"360"	"10"	"0"	"7"	"0"	"2"	"4"	"0"	"2"	"422"	"0"	"422"	""	""
"276"	"230"	"35"	"193"	"15"	"9"	"23"	"2"	"2"	"4"	"5"	"6"	"294"	"0"	"294"	""	""
"277"	"231"	"338"	"28"	"21"	"4"	"142"	"4"	"4"	"1"	"1"	"6"	"549"	"0"	"549"	""	""
"278"	"232"	"181"	"127"	"7"	"4"	"53"	"7"	"8"	"2"	"2"	"16"	"407"	"0"	"407"	""	""
"279"	"233"	"274"	"0"	"0"	"0"	"6"	"0"	"1"	"0"	"0"	"0"	"281"	"0"	"281"	""	""
"280"	"234"	"232"	"407"	"6"	"1"	"20"	"3"	"1"	"0"	"2"	"5"	"677"	"0"	"677"	""	""
"281"	"235"	"598"	"15"	"3"	"2"	"15"	"0"	"1"	"0"	"0"	"0"	"634"	"0"	"634"	""	""
"282"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"283"	""	"Dr. Sunil Kumar"	"Syed Naushadun Nabi"	"Md.
Himayun Ansari"	"Anil Kumar"	"Jageshwar Yadav"	"Bhushan Mahto"	"Rajesh Kumar"	"Aafrin Sultana"	"Manoj Kumar"	"Heera Lal Sao"	""	""	""	""	""
"284"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"2"	"3"	"4"	"5"	"6"
"285"	"236"	"407"	"19"	"0"	"0"	"9"	"0"	"5"	"1"	"1"	"10"	"452"	"0"	"452"	""	""
"286"	"237"	"445"	"9"	"13"	"2"	"29"	"3"	"5"	"2"	"2"	"19"	"529"	"0"	"529"	""	""
"287"	"238"	"248"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"1"	"253"	"0"	"253"	""	""
"288"	"Round- 17"	"66893"	"41011"	"1122"	"567"	"3403"	"298"	"1205"	"472"	"614"	"1347"	"116932"	"0"	"116932"	""	""
"289"	"239"	"5"	"156"	"4"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"171"	"0"	"171"	""	""
"290"	"240"	"155"	"101"	"5"	"2"	"24"	"2"	"1"	"0"	"1"	"1"	"292"	"0"	"292"	""	""
"291"	"241"	"315"	"80"	"4"	"3"	"39"	"5"	"9"	"3"	"5"	"8"	"471"	"0"	"471"	""	""
"292"	"242"	"620"	"10"	"1"	"7"	"16"	"0"	"13"	"2"	"1"	"5"	"675"	"0"	"675"	""	""
"293"	"243"	"589"	"59"	"0"	"0"	"1"	"0"	"3"	"2"	"0"	"2"	"656"	"0"	"656"	""	""
"294"	"244"	"80"	"162"	"2"	"0"	"34"	"0"	"0"	"0"	"1"	"5"	"284"	"0"	"284"	""	""
"295"	"245"	"161"	"42"	"6"	"3"	"53"	"3"	"9"	"2"	"1"	"3"	"283"	"0"	"283"	""	""
"296"	"246"	"474"	"3"	"0"	"0"	"3"	"1"	"5"	"0"	"0"	"0"	"486"	"0"	"486"	""	""
"297"	"247"	"430"	"13"	"2"	"1"	"13"	"1"	"3"	"1"	"1"	"18"	"483"	"0"	"483"	""	""
"298"	"248"	"262"	"46"	"6"	"2"	"69"	"6"	"9"	"5"	"8"	"10"	"423"	"0"	"423"	""	""
"299"	"249"	"186"	"246"	"2"	"1"	"18"	"2"	"6"	"1"	"2"	"4"	"468"	"0"	"468"	""	""
"300"	"250"	"108"	"161"	"8"	"3"	"17"	"1"	"5"	"4"	"7"	"6"	"320"	"0"	"320"	""	""
"301"	"251"	"395"	"0"	"0"	"1"	"4"	"0"	"1"	"0"	"0"	"0"	"401"	"0"	"401"	""	""
"302"	"252"	"229"	"121"	"3"	"3"	"7"	"1"	"6"	"2"	"5"	"6"	"383"	"0"	"383"	""	""
"303"	"Round- 18"	"70902"	"42211"	"1165"	"593"	"3707"	"320"	"1275"	"494"	"646"	"1415"	"122728"	"0"	"122728"	""	""
"304"	"253"	"161"	"73"	"9"	"1"	"26"	"4"	"6"	"5"	"9"	"5"	"299"	"0"	"299"	""	""
"305"	"254"	"50"	"180"	"3"	"1"	"6"	"1"	"3"	"0"	"1"	"3"	"248"	"0"	"248"	""	""
"306"	"255"	"364"	"9"	"3"	"0"	"14"	"1"	"1"	"0"	"2"	"1"	"395"	"0"	"395"	""	""
"307"	"256"	"426"	"1"	"0"	"0"	"7"	"0"	"0"	"0"	"1"	"1"	"436"	"0"	"436"	""	""
"308"	"257"	"325"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"4"	"1"	"332"	"0"	"332"	""	""
"309"	"258"	"322"	"79"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"403"	"0"	"403"	""	""
"310"	"259"	"514"	"25"	"0"	"2"	"5"	"1"	"2"	"2"	"1"	"4"	"556"	"0"	"556"	""	""
"311"	"260"	"456"	"57"	"2"	"5"	"25"	"2"	"7"	"1"	"4"	"6"	"565"	"0"	"565"	""	""
"312"	"261"	"98"	"77"	"1"	"0"	"1"	"0"	"5"	"1"	"1"	"2"	"186"	"0"	"186"	""	""
"313"	"262"	"319"	"97"	"16"	"6"	"23"	"6"	"2"	"3"	"13"	"22"	"507"	"0"	"507"	""	""
"314"	"263"	"200"	"11"	"0"	"0"	"3"	"0"	"3"	"0"	"0"	"0"	"217"	"0"	"217"	""	""
"315"	"264"	"178"	"54"	"2"	"1"	"3"	"0"	"4"	"2"	"8"	"11"	"263"	"0"	"263"	""	""
"316"	"265"	"196"	"12"	"0"	"0"	"5"	"0"	"1"	"0"	"0"	"2"	"216"	"0"	"216"	""	""
"317"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"318"	""	"Dr. Sunil Kumar"	"Syed Naushadun Nabi"	"Md.
Himayun Ansari"	"Anil Kumar"	"Jageshwar Yadav"	"Bhushan Mahto"	"Rajesh Kumar"	"Aafrin Sultana"	"Manoj Kumar"	"Heera Lal Sao"	""	""	""	""	""
"319"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"2"	"3"	"4"	"5"	"6"
"320"	"266"	"241"	"52"	"19"	"8"	"32"	"3"	"5"	"5"	"9"	"10"	"384"	"0"	"384"	""	""
"321"	"Round- 19"	"74752"	"42939"	"1220"	"619"	"3857"	"338"	"1314"	"513"	"700"	"1483"	"127735"	"0"	"127735"	""	""
"322"	"Total No. of voters recorded on Polling Stations"	"74752"	"42939"	"1220"	"619"	"3857"	"338"	"1314"	"513"	"700"	"1483"	"127735"	"0"	"127735"	""	""
"323"	"No. of voters recorded on postal ballot papers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""
"324"	"Total votes polled"	"74752"	"42939"	"1220"	"619"	"3857"	"338"	"1314"	"513"	"700"	"1483"	"127735"	"0"	"127735"	""	""
"325"	"Place :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"Date  :                                                                                                                                                                                                                         Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
