"ANNEURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"137"	"114"	"URDU MAKHTAB TIRKAUL"	"3"	"13"	"119"	"0"	"2"	"282"	"17"	"36"	"0"	"8"	"1"	"0"	"0"	"481"	"0"	"481"	"0"
"138"	"115"	"MIDDLE SCHOOL SANDESH (EAST)"	"5"	"13"	"332"	"6"	"4"	"252"	"20"	"65"	"2"	"12"	"4"	"7"	"5"	"727"	"0"	"727"	"0"
"139"	"116"	"MIDDLE SCHOOL SANDESH (WEST)"	"1"	"29"	"141"	"5"	"3"	"562"	"37"	"53"	"2"	"10"	"6"	"2"	"3"	"854"	"0"	"854"	"0"
"140"	"117"	"HARIJAN PRIMARY SCHOOL SIRKICHAK"	"3"	"3"	"248"	"4"	"2"	"286"	"12"	"50"	"1"	"6"	"2"	"2"	"2"	"621"	"0"	"621"	"0"
"141"	"118"	"PRIMARY SCHOOL AHPURA"	"6"	"214"	"154"	"5"	"2"	"328"	"6"	"23"	"0"	"6"	"2"	"4"	"2"	"752"	"0"	"752"	"0"
"142"	"119"	"PRIMARY SCHOOL KANDHARPUR"	"4"	"40"	"75"	"1"	"6"	"348"	"28"	"39"	"1"	"12"	"3"	"2"	"2"	"561"	"0"	"561"	"0"
"143"	"120"	"PRIMARY SCHOOL SURANGAPUR"	"0"	"6"	"81"	"1"	"5"	"35"	"23"	"226"	"9"	"7"	"7"	"9"	"16"	"425"	"0"	"425"	"0"
"144"	"121"	"PRIMARY SCHOOL DALELGANJ"	"1"	"11"	"188"	"1"	"0"	"53"	"9"	"86"	"1"	"0"	"0"	"0"	"0"	"350"	"0"	"350"	"0"
"145"	"122"	"PRIMARY SCHOOL JANESARA"	"1"	"0"	"200"	"0"	"1"	"65"	"3"	"54"	"0"	"1"	"2"	"1"	"0"	"328"	"0"	"328"	"0"
"146"	"123"	"HIGH SCHOOL KHANDAUL (SOUTH)"	"10"	"7"	"89"	"1"	"3"	"288"	"11"	"13"	"4"	"5"	"3"	"4"	"5"	"443"	"0"	"443"	"0"
"147"	"124"	"HIGH SCHOOL KHANDAUL (NORTH)"	"3"	"2"	"47"	"1"	"5"	"495"	"11"	"10"	"3"	"7"	"4"	"1"	"5"	"594"	"0"	"594"	"0"
"148"	"125"	"RAJASW BHAWAN KHANDOL"	"23"	"23"	"155"	"3"	"1"	"334"	"10"	"181"	"5"	"11"	"1"	"6"	"1"	"754"	"0"	"754"	"0"
"149"	"126"	"MIDDLE SCHOOL PHULARI"	"6"	"30"	"132"	"7"	"8"	"340"	"11"	"19"	"1"	"5"	"0"	"2"	"5"	"566"	"0"	"566"	"0"
"150"	"127"	"PRIMARY GIRL SCHOOL PHULARI"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"151"	"128"	"PRIMARY URDU SCHOOL BAGA"	"1"	"13"	"71"	"1"	"2"	"148"	"7"	"137"	"1"	"4"	"1"	"1"	"1"	"388"	"0"	"388"	"0"
"152"	"129"	"MIDDLE SCHOOL BAGA"	"1"	"41"	"10"	"2"	"7"	"259"	"15"	"18"	"2"	"18"	"3"	"3"	"2"	"381"	"0"	"381"	"0"
"153"	"130"	"PRIMARY SCHOOL NURPUR TOLA AHIMAN CHAK"	"1"	"5"	"22"	"1"	"5"	"251"	"13"	"13"	"3"	"13"	"1"	"3"	"3"	"334"	"0"	"334"	"0"
"154"	"131"	"PRIMARY SCHOOL PINJROI"	"14"	"21"	"96"	"5"	"6"	"134"	"18"	"27"	"7"	"13"	"7"	"6"	"10"	"364"	"0"	"364"	"0"
"155"	"132"	"PRIMARY SCHOOL RAMASADH"	"1"	"26"	"147"	"2"	"3"	"233"	"35"	"126"	"4"	"16"	"8"	"7"	"5"	"613"	"0"	"613"	"0"
"156"	"133"	"SANSKRIT HIGH SCHOOL RAMASADH"	"3"	"90"	"166"	"2"	"2"	"278"	"14"	"96"	"1"	"15"	"4"	"1"	"3"	"675"	"0"	"675"	"0"
"157"	"134"	"HIGH SCHOOL BHATAULI"	"2"	"18"	"134"	"2"	"3"	"223"	"56"	"35"	"6"	"16"	"52"	"6"	"9"	"562"	"0"	"562"	"0"
"158"	"135"	"PRIMARY SCHOOL VARTIYAR"	"4"	"13"	"33"	"4"	"5"	"320"	"28"	"108"	"10"	"14"	"11"	"11"	"11"	"572"	"0"	"572"	"0"
"159"	"136"	"PRIMARY SCHOOL KORI SUNDARPUR"	"6"	"3"	"289"	"11"	"4"	"35"	"14"	"98"	"10"	"8"	"12"	"8"	"17"	"515"	"0"	"515"	"0"
"160"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"161"	""	""	"ANIL KUMAR TIWARI"	"KAMLA PRASAD SINGH"	"VIJENDRA KUMAR YADAV"	"DILEEP SINGH"	"MAMTA KUWAR"	"RAMESHWAR PRASAD"	"SHIVJEE SINGH"	"ANIL SAMRAT"	"JHULANI SINGH"	"VIRENDRA KUMAR PANDEY"	"VIJAY YADAV"	"SATYENDRA SINGH"	"SITA RAM SINGH"	""	""	""	""
"162"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"163"	"137"	"URDU PRIMARY SCHOOL KORI"	"11"	"7"	"167"	"5"	"5"	"141"	"26"	"274"	"8"	"13"	"7"	"5"	"9"	"678"	"0"	"678"	"0"
"164"	"138"	"MIDDLE SCHOOL KORI"	"3"	"10"	"78"	"1"	"10"	"394"	"58"	"196"	"8"	"17"	"8"	"9"	"8"	"800"	"0"	"800"	"0"
"165"	"139"	"PRIMARY SCHOOL CHELA"	"1"	"24"	"85"	"1"	"3"	"283"	"25"	"118"	"2"	"14"	"2"	"7"	"11"	"576"	"0"	"576"	"0"
"166"	"140"	"PRIMARY SCHOOL PANDEYPUR"	"1"	"34"	"30"	"1"	"2"	"106"	"108"	"67"	"3"	"7"	"8"	"7"	"4"	"378"	"0"	"378"	"0"
"167"	"141"	"PRIMARY SCHOOL KAKANDIHRA (NORTH)"	"3"	"55"	"110"	"4"	"2"	"247"	"36"	"41"	"1"	"8"	"8"	"1"	"14"	"530"	"0"	"530"	"0"
"168"	"142"	"PRIMARY SCHOOL KAKANDIHRA (SOUTH)"	"10"	"17"	"182"	"6"	"10"	"96"	"34"	"111"	"4"	"9"	"7"	"9"	"15"	"510"	"0"	"510"	"0"
"169"	"143"	"PRIMARY SCHOOL MANIYACH"	"4"	"13"	"93"	"2"	"0"	"582"	"24"	"26"	"0"	"2"	"2"	"2"	"0"	"750"	"0"	"750"	"0"
"170"	"144"	"MIDDLE SCHOOL BICHHIAON (WEST)"	"4"	"7"	"230"	"10"	"5"	"284"	"12"	"57"	"3"	"21"	"7"	"5"	"5"	"650"	"0"	"650"	"0"
"171"	"145"	"MIDDLE SCHOOL BICHHIAON (EAST)"	"0"	"11"	"62"	"0"	"0"	"257"	"6"	"15"	"2"	"3"	"0"	"6"	"0"	"362"	"0"	"362"	"0"
"172"	"146"	"PRIMARY SCHOOL DHARMPUR"	"1"	"47"	"169"	"5"	"4"	"80"	"19"	"80"	"5"	"29"	"7"	"2"	"2"	"450"	"0"	"450"	"0"
"173"	"147"	"SAMUDAIK BHAWAN PAWAR"	"8"	"4"	"181"	"5"	"1"	"77"	"4"	"68"	"1"	"25"	"2"	"1"	"6"	"383"	"0"	"383"	"0"
"174"	"148"	"PRIMARY SCHOOL PAWAR"	"1"	"15"	"46"	"2"	"1"	"290"	"30"	"32"	"6"	"2"	"2"	"0"	"1"	"428"	"0"	"428"	"0"
"175"	"149"	"PRIMARY SCHOOL RUDALPUR"	"1"	"7"	"150"	"7"	"1"	"18"	"5"	"110"	"3"	"4"	"3"	"5"	"9"	"323"	"0"	"323"	"0"
"176"	"150"	"PRIMARY SCHOOL DHOBAHA"	"4"	"14"	"154"	"7"	"5"	"142"	"10"	"54"	"7"	"11"	"10"	"12"	"24"	"454"	"0"	"454"	"0"
"177"	"151"	"PRIMARY SCHOOL KHANET"	"2"	"43"	"88"	"1"	"6"	"327"	"46"	"5"	"0"	"8"	"1"	"0"	"1"	"528"	"0"	"528"	"0"
"178"	"152"	"SAMUDAIK BHAWAN ARAILA"	"15"	"9"	"34"	"6"	"3"	"432"	"89"	"40"	"3"	"15"	"6"	"9"	"4"	"665"	"0"	"665"	"0"
"179"	"153"	"MIDDLE GIRL SCHOOL PAWANA"	"6"	"4"	"67"	"2"	"1"	"176"	"84"	"36"	"5"	"14"	"10"	"8"	"12"	"425"	"0"	"425"	"0"
"180"	"154"	"MIDDLE SCHOOL PAWANA"	"1"	"19"	"59"	"3"	"3"	"241"	"76"	"29"	"4"	"5"	"5"	"7"	"10"	"462"	"0"	"462"	"0"
"181"	"155"	"HIGH SCHOOL PAWANA"	"4"	"3"	"107"	"3"	"4"	"143"	"57"	"108"	"4"	"10"	"6"	"13"	"10"	"472"	"0"	"472"	"0"
"182"	"156"	"PRIMARY SCHOOL RANNI"	"0"	"16"	"99"	"0"	"1"	"63"	"5"	"96"	"0"	"2"	"1"	"2"	"0"	"285"	"0"	"285"	"0"
"183"	"157"	"PRIMARY SCHOOL MISHRAWLIYA"	"4"	"22"	"5"	"1"	"1"	"127"	"84"	"18"	"4"	"7"	"3"	"3"	"2"	"281"	"0"	"281"	"0"
"184"	"158"	"PRIMARY SCHOOL NARAUNI"	"4"	"26"	"28"	"1"	"0"	"164"	"104"	"10"	"3"	"3"	"0"	"5"	"2"	"350"	"0"	"350"	"0"
"185"	"159"	"PRIMARY SCHOOL BHAGWANPUR"	"23"	"4"	"268"	"9"	"1"	"23"	"4"	"68"	"2"	"4"	"5"	"5"	"20"	"436"	"0"	"436"	"0"
"186"	"160"	"MIDDLE SCHOOL KHOPIRA (SOUTH)"	"10"	"20"	"29"	"1"	"3"	"224"	"56"	"12"	"2"	"10"	"5"	"3"	"7"	"382"	"0"	"382"	"0"
"187"	"161"	"MIDDLE SCHOOL KHOPIRA (NORTH)"	"6"	"32"	"97"	"7"	"1"	"164"	"26"	"49"	"5"	"12"	"5"	"3"	"5"	"412"	"0"	"412"	"0"
"188"	"162"	"PRIMARY SCHOOL BANKAT"	"2"	"31"	"81"	"4"	"0"	"209"	"49"	"11"	"1"	"6"	"3"	"0"	"1"	"398"	"0"	"398"	"0"
"189"	"163"	"PRIMARY SCHOOL VISAMBHARA TOLA"	"0"	"1"	"149"	"1"	"0"	"0"	"0"	"189"	"1"	"0"	"0"	"0"	"0"	"341"	"0"	"341"	"0"
"190"	"164"	"PRIMARY SCHOOL KURKURI"	"6"	"4"	"255"	"8"	"8"	"482"	"43"	"38"	"3"	"18"	"8"	"4"	"9"	"886"	"0"	"886"	"0"
"191"	"165"	"PRIMARY SCHOOL PIPARA"	"0"	"9"	"457"	"1"	"0"	"51"	"1"	"78"	"1"	"2"	"1"	"0"	"0"	"601"	"0"	"601"	"0"
"192"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"193"	""	""	"ANIL KUMAR TIWARI"	"KAMLA PRASAD SINGH"	"VIJENDRA KUMAR YADAV"	"DILEEP SINGH"	"MAMTA KUWAR"	"RAMESHWAR PRASAD"	"SHIVJEE SINGH"	"ANIL SAMRAT"	"JHULANI SINGH"	"VIRENDRA KUMAR PANDEY"	"VIJAY YADAV"	"SATYENDRA SINGH"	"SITA RAM SINGH"	""	""	""	""
"194"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"195"	"166"	"HIGH SCHOOL DULARPUR"	"1"	"13"	"46"	"2"	"1"	"309"	"4"	"19"	"0"	"7"	"0"	"0"	"1"	"403"	"0"	"403"	"0"
"196"	"167"	"PRIMARY SCHOOL DUBAULI"	"3"	"6"	"61"	"0"	"0"	"46"	"2"	"181"	"3"	"4"	"0"	"2"	"1"	"309"	"0"	"309"	"0"
"197"	"168"	"PRIMARY SCHOOL LABHUANI"	"1"	"38"	"168"	"4"	"2"	"319"	"26"	"116"	"2"	"6"	"3"	"3"	"3"	"691"	"0"	"691"	"0"
"198"	"169"	"PRIMARY SCHOOL RAMPUR"	"7"	"14"	"68"	"4"	"1"	"103"	"21"	"62"	"0"	"10"	"3"	"1"	"1"	"295"	"0"	"295"	"0"
"199"	"170"	"PRIMARY GIRL SCHOOL RAMPUR"	"5"	"2"	"134"	"6"	"1"	"76"	"4"	"102"	"6"	"6"	"10"	"10"	"34"	"396"	"0"	"396"	"0"
"200"	"171"	"RAJASW GRAM KACHAHARI BAGVAN"	"8"	"14"	"238"	"6"	"3"	"333"	"14"	"29"	"3"	"13"	"12"	"13"	"11"	"697"	"0"	"697"	"0"
"201"	"172"	"PRIMARY SCHOOL SIKTI"	"6"	"16"	"67"	"4"	"1"	"158"	"7"	"11"	"0"	"5"	"1"	"1"	"1"	"278"	"0"	"278"	"0"
"202"	"173"	"PRIMARY SCHOOL BAGVAN"	"4"	"27"	"147"	"3"	"5"	"322"	"11"	"15"	"3"	"22"	"6"	"5"	"2"	"572"	"0"	"572"	"0"
"203"	"174"	"PRIMARY SCHOOL DHAMANIYA"	"6"	"85"	"93"	"7"	"3"	"259"	"13"	"81"	"4"	"38"	"9"	"8"	"10"	"616"	"0"	"616"	"0"
"204"	"175"	"PRIMARY GIRL SCHOOL BARAURA"	"11"	"18"	"180"	"12"	"4"	"240"	"13"	"174"	"6"	"22"	"7"	"5"	"15"	"707"	"0"	"707"	"0"
"205"	"176"	"HARIJAN PRIMARY SCHOOL BAHADURPUR"	"4"	"2"	"50"	"0"	"2"	"224"	"5"	"21"	"2"	"12"	"0"	"2"	"4"	"328"	"0"	"328"	"0"
"206"	"177"	"PRIMARY SCHOOL SUARI"	"0"	"1"	"505"	"1"	"0"	"3"	"0"	"6"	"0"	"1"	"0"	"0"	"0"	"517"	"0"	"517"	"0"
"207"	"178"	"PRIMARY SCHOOL SHIVPUR"	"10"	"10"	"217"	"5"	"2"	"225"	"9"	"29"	"5"	"10"	"4"	"6"	"10"	"542"	"0"	"542"	"0"
"208"	"179"	"PRIMARY SCHOOL CHAHIYACHAK BAYAN"	"8"	"6"	"207"	"2"	"6"	"163"	"14"	"36"	"4"	"19"	"6"	"11"	"13"	"495"	"0"	"495"	"0"
"209"	"180"	"PRIMARY SCHOOL PAHARPUR BHAG"	"1"	"12"	"159"	"3"	"5"	"137"	"38"	"222"	"5"	"10"	"5"	"2"	"12"	"611"	"0"	"611"	"0"
"210"	"181"	"PRIMARY SCHOOL PAHARPUR DAYAN BHAG"	"1"	"0"	"16"	"1"	"1"	"225"	"3"	"8"	"2"	"10"	"5"	"3"	"7"	"282"	"0"	"282"	"0"
"211"	"182"	"PRIMARY SCHOOL GAURA"	"2"	"9"	"215"	"0"	"0"	"50"	"11"	"68"	"0"	"2"	"2"	"1"	"1"	"361"	"0"	"361"	"0"
"212"	"183"	"PRIMARY SCHOOL SIKARIYA"	"1"	"3"	"104"	"6"	"3"	"51"	"8"	"141"	"8"	"5"	"6"	"11"	"28"	"375"	"0"	"375"	"0"
"213"	"184"	"PRIMARY SCHOOL RATNADH(NORTH)"	"20"	"14"	"113"	"3"	"5"	"285"	"46"	"78"	"9"	"22"	"8"	"7"	"23"	"633"	"0"	"633"	"0"
"214"	"185"	"PRIMARY SCHOOL RATNADH (SOUTH)"	"16"	"5"	"148"	"5"	"1"	"111"	"48"	"122"	"3"	"6"	"9"	"8"	"8"	"490"	"0"	"490"	"0"
"215"	"186"	"PRIMARY SCHOOL BERATH"	"11"	"61"	"164"	"13"	"5"	"160"	"10"	"58"	"4"	"12"	"8"	"3"	"5"	"514"	"0"	"514"	"0"
"216"	"187"	"MIDDLE SCHOOL BERATH"	"6"	"84"	"198"	"3"	"1"	"129"	"6"	"37"	"0"	"7"	"3"	"3"	"2"	"479"	"0"	"479"	"0"
"217"	"188"	"PRIMARY SCHOOL DHAKANI"	"7"	"1"	"440"	"4"	"2"	"13"	"12"	"269"	"3"	"2"	"1"	"5"	"4"	"763"	"0"	"763"	"0"
"218"	"189"	"PRIMARY SCHOOL SONA TOLA"	"6"	"9"	"104"	"5"	"6"	"197"	"13"	"24"	"6"	"9"	"2"	"5"	"13"	"399"	"0"	"399"	"0"
"219"	"190"	"RAJKIYA HIGH SCHOOL AGIAON (NORTH)"	"3"	"1"	"238"	"1"	"1"	"62"	"4"	"184"	"5"	"8"	"4"	"7"	"13"	"531"	"0"	"531"	"0"
"220"	"191"	"RAJKIYA HIGH SCHOOL AGIAON (SOUTH)"	"4"	"1"	"185"	"5"	"5"	"115"	"7"	"172"	"3"	"4"	"1"	"10"	"6"	"518"	"0"	"518"	"0"
"221"	"192"	"PRIMARY SCHOOL AGIAON"	"11"	"19"	"173"	"4"	"6"	"185"	"15"	"156"	"4"	"17"	"3"	"5"	"8"	"606"	"0"	"606"	"0"
"222"	"193"	"PRIMARY SCHOOL LAHARPA"	"0"	"2"	"464"	"0"	"1"	"3"	"0"	"34"	"0"	"0"	"1"	"0"	"0"	"505"	"0"	"505"	"0"
"223"	"194"	"PRIMARY SCHOOL KHARAICHA"	"0"	"1"	"734"	"0"	"0"	"35"	"3"	"46"	"1"	"3"	"0"	"0"	"0"	"823"	"0"	"823"	"0"
"224"	"Serial No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"225"	""	""	"ANIL KUMAR TIWARI"	"KAMLA PRASAD SINGH"	"VIJENDRA KUMAR YADAV"	"DILEEP SINGH"	"MAMTA KUWAR"	"RAMESHWAR PRASAD"	"SHIVJEE SINGH"	"ANIL SAMRAT"	"JHULANI SINGH"	"VIRENDRA KUMAR PANDEY"	"VIJAY YADAV"	"SATYENDRA SINGH"	"SITA RAM SINGH"	""	""	""	""
"226"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"227"	"195"	"PRIMARY SCHOOL POSHWA (EAST)"	"12"	"9"	"99"	"5"	"2"	"86"	"42"	"92"	"6"	"6"	"4"	"2"	"7"	"372"	"0"	"372"	"0"
"228"	"196"	"PRIMARY SCHOOL POSHWA (WEST)"	"7"	"24"	"76"	"4"	"5"	"302"	"27"	"125"	"4"	"10"	"2"	"3"	"3"	"592"	"0"	"592"	"0"
"229"	"197"	"PRIMARY SCHOOL AHILE"	"23"	"36"	"199"	"6"	"3"	"179"	"10"	"80"	"9"	"7"	"9"	"12"	"16"	"589"	"0"	"589"	"0"
"230"	"198"	"PRIMARY SCHOOL MEGHARIYA"	"6"	"3"	"85"	"3"	"3"	"268"	"18"	"54"	"3"	"8"	"1"	"1"	"4"	"457"	"0"	"457"	"0"
"231"	"199"	"PRIMARY SCHOOL KHEDHI"	"3"	"2"	"128"	"3"	"0"	"124"	"47"	"59"	"0"	"11"	"7"	"2"	"6"	"392"	"0"	"392"	"0"
"232"	"200"	"PRIMARY SCHOOL KURMICHAK"	"0"	"17"	"34"	"0"	"1"	"193"	"9"	"103"	"1"	"5"	"5"	"2"	"1"	"371"	"0"	"371"	"0"
"233"	"201"	"PRIMARY SCHOOLDHOBRI"	"2"	"4"	"193"	"4"	"1"	"151"	"14"	"105"	"4"	"15"	"8"	"8"	"18"	"527"	"0"	"527"	"0"
"234"	"202"	"SENA PATI HIGH SCHOOL BARGAON(WEST)"	"12"	"16"	"64"	"9"	"7"	"207"	"133"	"103"	"13"	"19"	"12"	"9"	"13"	"617"	"0"	"617"	"0"
"235"	"203"	"SENA PATI HIGH SCHOOL BARGAON (CENTRE)"	"11"	"4"	"22"	"2"	"9"	"471"	"31"	"80"	"8"	"15"	"2"	"4"	"3"	"662"	"0"	"662"	"0"
"236"	"204"	"MIDDLE SCHOOL BARGAON"	"1"	"6"	"104"	"4"	"0"	"71"	"5"	"21"	"2"	"9"	"1"	"4"	"6"	"234"	"0"	"234"	"0"
"237"	"205"	"PRIMARY SCHOOL DIHRA"	"0"	"1"	"12"	"0"	"0"	"13"	"4"	"553"	"1"	"0"	"0"	"1"	"0"	"585"	"0"	"585"	"0"
"238"	"206"	"PRIMARY SCHOOL KAMARIYA"	"8"	"69"	"130"	"4"	"4"	"190"	"13"	"126"	"6"	"16"	"9"	"5"	"21"	"601"	"0"	"601"	"0"
"239"	"207"	"MIDDLE SCHOOL CHILHAR"	"3"	"16"	"20"	"2"	"5"	"265"	"120"	"104"	"4"	"9"	"9"	"2"	"10"	"569"	"0"	"569"	"0"
"240"	"208"	"PRIMARY SCHOOL CHILHAR HARIJANTOLI"	"2"	"3"	"10"	"2"	"3"	"169"	"91"	"16"	"7"	"11"	"15"	"6"	"13"	"348"	"0"	"348"	"0"
"241"	"209"	"PRIMARY SCHOOL CHIPURA"	"5"	"2"	"79"	"5"	"2"	"330"	"72"	"168"	"3"	"6"	"9"	"6"	"9"	"696"	"0"	"696"	"0"
"242"	"210"	"URDU KANYA MAKHTAB AZIMABAD KIRKIRI"	"11"	"4"	"80"	"5"	"3"	"211"	"19"	"42"	"7"	"18"	"7"	"9"	"11"	"427"	"0"	"427"	"0"
"243"	"211"	"HIGH SCHOOL CHILHAR (NORTH PART)"	"1"	"1"	"284"	"6"	"4"	"122"	"6"	"38"	"2"	"7"	"6"	"1"	"13"	"491"	"0"	"491"	"0"
"244"	"Total"	""	"1515"	"10257"	"31071"	"666"	"581"	"33834"	"4524"	"16134"	"564"	"1475"	"883"	"681"	"1189"	"103374"	"0"	"103374"	"0"
"245"	"Postal Votes"	""	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"
"246"	"Grand Total"	""	"1515"	"10258"	"31071"	"666"	"581"	"33834"	"4524"	"16134"	"564"	"1475"	"883"	"681"	"1189"	"103374"	"0"	"103375"	"0"
"247"	"Place   :    Arrah                                                                                                                                                                                                                                                                                                                                        Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"Date    :     27-02-2005                                                                                                                                                                                                                                                                                                       196 - Sandesh Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
