"Sl.No.of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total.of.valid.votes"	"No.of.Rejected.votes"	"Total"	"No.of.Tendered.votes"
"177"	"144"	"17"	"8"	"1"	"2"	"1"	"5"	"14"	"84"	"6"	"6"	"312"	"10"	"466"	"0"	"466"	"0"
"178"	"145"	"126"	"17"	"3"	"0"	"4"	"1"	"15"	"6"	"5"	"3"	"142"	"11"	"333"	"0"	"333"	"0"
"179"	"146"	"109"	"43"	"7"	"3"	"9"	"3"	"47"	"75"	"10"	"5"	"196"	"22"	"529"	"0"	"529"	"0"
"180"	"147"	"78"	"64"	"4"	"10"	"3"	"6"	"11"	"9"	"1"	"13"	"405"	"29"	"633"	"0"	"633"	"0"
"181"	"148"	"50"	"9"	"4"	"5"	"6"	"5"	"128"	"6"	"10"	"11"	"364"	"46"	"644"	"0"	"644"	"0"
"182"	"149"	"33"	"82"	"5"	"5"	"2"	"4"	"96"	"6"	"13"	"6"	"206"	"33"	"491"	"0"	"491"	"0"
"183"	"150"	"40"	"51"	"7"	"6"	"123"	"0"	"9"	"2"	"5"	"19"	"384"	"25"	"671"	"0"	"671"	"0"
"184"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of
valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"185"	""	"Awadhesh Kumar Rai"	"Uttam Kumar Yadav"	"Lalita Paswan"	"Anil Singh"	"Ganga Prasad Yadav"	"MD.Moee n Ansari"	"Yugeshwa r Gop"	"Rajo Tanti"	"Ashok Rai"	"Tilakdhari Rai"	"Ramdeo Rai"	"Ramashray a Mahato"	""	""	""	""
"186"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"187"	"151"	"31"	"47"	"5"	"7"	"181"	"4"	"25"	"6"	"8"	"25"	"202"	"61"	"602"	"0"	"602"	"0"
"188"	"152"	"114"	"100"	"11"	"5"	"17"	"9"	"7"	"47"	"6"	"6"	"144"	"12"	"478"	"0"	"478"	"0"
"189"	"152A"	"70"	"59"	"4"	"6"	"14"	"0"	"6"	"9"	"4"	"4"	"220"	"4"	"400"	"0"	"400"	"0"
"190"	"153"	"246"	"29"	"1"	"2"	"3"	"0"	"69"	"1"	"9"	"3"	"183"	"24"	"570"	"0"	"570"	"0"
"191"	"Total"	"1302"	"649"	"62"	"57"	"369"	"47"	"497"	"652"	"98"	"123"	"3477"	"346"	"7679"	"0"	"7679"	"0"
"192"	"154"	"237"	"52"	"3"	"4"	"3"	"2"	"27"	"4"	"1"	"3"	"59"	"6"	"401"	"0"	"401"	"0"
"193"	"155"	"50"	"63"	"0"	"0"	"0"	"0"	"30"	"1"	"0"	"2"	"105"	"13"	"264"	"0"	"264"	"0"
"194"	"156"	"263"	"39"	"1"	"0"	"4"	"0"	"27"	"2"	"3"	"3"	"252"	"32"	"626"	"0"	"626"	"0"
"195"	"157"	"199"	"69"	"3"	"11"	"2"	"6"	"26"	"5"	"4"	"10"	"226"	"26"	"587"	"0"	"587"	"0"
"196"	"158"	"57"	"75"	"1"	"3"	"2"	"1"	"77"	"3"	"7"	"3"	"13"	"11"	"253"	"0"	"253"	"0"
"197"	"159"	"86"	"33"	"8"	"2"	"3"	"2"	"9"	"40"	"5"	"7"	"214"	"21"	"430"	"0"	"430"	"0"
"198"	"160"	"66"	"128"	"10"	"3"	"2"	"6"	"40"	"13"	"4"	"8"	"125"	"29"	"434"	"0"	"434"	"0"
"199"	"161"	"182"	"9"	"4"	"0"	"0"	"3"	"12"	"1"	"2"	"6"	"257"	"10"	"486"	"0"	"486"	"0"
"200"	"162"	"226"	"153"	"9"	"1"	"4"	"3"	"46"	"2"	"4"	"11"	"128"	"37"	"624"	"0"	"624"	"0"
"201"	"163"	"194"	"67"	"6"	"16"	"11"	"5"	"149"	"7"	"13"	"9"	"347"	"24"	"848"	"0"	"848"	"0"
"202"	"164"	"117"	"81"	"12"	"44"	"20"	"7"	"117"	"22"	"16"	"11"	"139"	"46"	"632"	"0"	"632"	"0"
"203"	"165"	"71"	"57"	"2"	"2"	"3"	"3"	"37"	"7"	"7"	"3"	"100"	"20"	"312"	"0"	"312"	"0"
"204"	"166"	"26"	"141"	"10"	"4"	"1"	"1"	"4"	"2"	"2"	"4"	"70"	"7"	"272"	"0"	"272"	"0"
"205"	"167"	"137"	"246"	"17"	"5"	"5"	"7"	"13"	"3"	"4"	"9"	"258"	"28"	"732"	"0"	"732"	"0"
"206"	"Total"	"1911"	"1213"	"86"	"95"	"60"	"46"	"614"	"112"	"72"	"89"	"2293"	"310"	"6901"	"0"	"6901"	"0"
"207"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of
valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"208"	""	"Awadhesh Kumar Rai"	"Uttam Kumar Yadav"	"Lalita Paswan"	"Anil Singh"	"Ganga Prasad Yadav"	"MD.Moee n Ansari"	"Yugeshwa r Gop"	"Rajo Tanti"	"Ashok Rai"	"Tilakdhari Rai"	"Ramdeo Rai"	"Ramashray a Mahato"	""	""	""	""
"209"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"210"	"168"	"107"	"46"	"1"	"2"	"3"	"55"	"36"	"1"	"1"	"4"	"229"	"26"	"511"	"0"	"511"	"0"
"211"	"169"	"205"	"46"	"4"	"2"	"2"	"8"	"8"	"80"	"4"	"5"	"222"	"5"	"591"	"0"	"591"	"0"
"212"	"170"	"150"	"34"	"3"	"1"	"3"	"6"	"16"	"138"	"9"	"16"	"322"	"28"	"726"	"0"	"726"	"0"
"213"	"171"	"164"	"34"	"1"	"6"	"1"	"6"	"14"	"6"	"7"	"13"	"348"	"18"	"618"	"0"	"618"	"0"
"214"	"172"	"225"	"30"	"4"	"3"	"1"	"4"	"14"	"5"	"0"	"8"	"173"	"27"	"494"	"0"	"494"	"0"
"215"	"173"	"113"	"103"	"5"	"2"	"3"	"1"	"32"	"5"	"4"	"9"	"156"	"17"	"450"	"0"	"450"	"0"
"216"	"174"	"18"	"66"	"11"	"1"	"1"	"7"	"5"	"7"	"1"	"2"	"211"	"19"	"349"	"0"	"349"	"0"
"217"	"175"	"29"	"32"	"12"	"1"	"7"	"6"	"345"	"17"	"18"	"10"	"214"	"27"	"718"	"0"	"718"	"0"
"218"	"176"	"77"	"22"	"10"	"3"	"8"	"12"	"86"	"28"	"17"	"19"	"473"	"42"	"797"	"0"	"797"	"0"
"219"	"177"	"78"	"43"	"11"	"2"	"2"	"6"	"53"	"6"	"5"	"7"	"405"	"12"	"630"	"0"	"630"	"0"
"220"	"178"	"86"	"10"	"1"	"5"	"0"	"2"	"11"	"18"	"4"	"5"	"370"	"28"	"540"	"0"	"540"	"0"
"221"	"179"	"107"	"10"	"0"	"2"	"2"	"2"	"11"	"1"	"1"	"9"	"569"	"26"	"740"	"0"	"740"	"0"
"222"	"Total"	"1359"	"476"	"63"	"30"	"33"	"115"	"631"	"312"	"71"	"107"	"3692"	"275"	"7164"	"0"	"7164"	"0"
"223"	"Total No. of Votes recorded on Polling
Stations"	"31058"	"13124"	"1045"	"1378"	"954"	"683"	"5783"	"2383"	"966"	"1418"	"39328"	"4061"	"102181"	"0"	"102181"	"0"
"224"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of
valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"225"	""	"Awadhesh Kumar Rai"	"Uttam Kumar Yadav"	"Lalita Paswan"	"Anil Singh"	"Ganga Prasad Yadav"	"MD.Moee n Ansari"	"Yugeshwa r Gop"	"Rajo Tanti"	"Ashok Rai"	"Tilakdhari Rai"	"Ramdeo Rai"	"Ramashray a Mahato"	""	""	""	""
"226"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"227"	"No. of Votes recorded on Postal Ballot papers"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"0"
"228"	"Total Votes
Polled"	"31058"	"13124"	"1045"	"1380"	"954"	"683"	"5783"	"2383"	"966"	"1418"	"39328"	"4061"	"102183"	"0"	"102183"	"0"
"229"	"Place :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"Date :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"Assistant Returning Officer                          Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"107- BACHHWARA A.C.                        107- BACHHWARA A.C."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
