"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"
"1"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the 229-Belaganj Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round No. ……         1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No. of Polling Station"	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""	""
"6"	""	""	"MUKESH KUMAR"	""	""	"RAMANAND UPADHAYA"	""	"SURENDRA PRASAD YADAV"	""	""	"MD. AMJAD"	""	""	"GANESH DAS"	""	""	"SUNIL KUMAR"	""	"AJAY KUMAR SINGH"	""	"MD. ABULAIS"	""	"ARVIND MISHRA"	""	"AWADHESH YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"72"	"11"	""	""	"5"	""	""	"273"	""	"32"	""	""	"2"	""	""	"6"	""	""	"4"	""	"4"	""	"4"	""	"11"	""	""	"352"	""	""	"0"	""	""	"352"	""	""	""	""	""	""	""	""	""
"102"	"73"	"8"	""	""	"1"	""	""	"107"	""	"56"	""	""	"4"	""	""	"57"	""	""	"2"	""	"10"	""	"3"	""	"3"	""	""	"251"	""	""	"0"	""	""	"251"	""	""	""	""	""	""	""	""	""
"103"	"74"	"6"	""	""	"3"	""	""	"74"	""	"184"	""	""	"9"	""	""	"6"	""	""	"5"	""	"0"	""	"0"	""	"0"	""	""	"287"	""	""	"0"	""	""	"287"	""	""	""	""	""	""	""	""	""
"104"	"75"	"17"	""	""	"9"	""	""	"253"	""	"96"	""	""	"8"	""	""	"3"	""	""	"7"	""	"2"	""	"4"	""	"5"	""	""	"404"	""	""	"0"	""	""	"404"	""	""	""	""	""	""	""	""	""
"105"	"76"	"12"	""	""	"0"	""	""	"53"	""	"285"	""	""	"2"	""	""	"7"	""	""	"5"	""	"0"	""	"0"	""	"1"	""	""	"365"	""	""	"0"	""	""	"365"	""	""	""	""	""	""	""	""	""
"106"	"77"	"1"	""	""	"1"	""	""	"328"	""	"6"	""	""	"1"	""	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"338"	""	""	"0"	""	""	"338"	""	""	""	""	""	""	""	""	""
"107"	"78"	"20"	""	""	"15"	""	""	"203"	""	"241"	""	""	"7"	""	""	"73"	""	""	"6"	""	"4"	""	"4"	""	"3"	""	""	"576"	""	""	"0"	""	""	"576"	""	""	""	""	""	""	""	""	""
"108"	"79"	"4"	""	""	"2"	""	""	"73"	""	"301"	""	""	"1"	""	""	"1"	""	""	"16"	""	"4"	""	"0"	""	"4"	""	""	"406"	""	""	"0"	""	""	"406"	""	""	""	""	""	""	""	""	""
"109"	"80"	"0"	""	""	"1"	""	""	"459"	""	"94"	""	""	"1"	""	""	"2"	""	""	"0"	""	"0"	""	"0"	""	"1"	""	""	"558"	""	""	"0"	""	""	"558"	""	""	""	""	""	""	""	""	""
"110"	"81"	"3"	""	""	"0"	""	""	"32"	""	"413"	""	""	"1"	""	""	"0"	""	""	"0"	""	"0"	""	"1"	""	"1"	""	""	"451"	""	""	"0"	""	""	"451"	""	""	""	""	""	""	""	""	""
"111"	"82"	"1"	""	""	"3"	""	""	"172"	""	"94"	""	""	"2"	""	""	"1"	""	""	"1"	""	"0"	""	"0"	""	"0"	""	""	"274"	""	""	"0"	""	""	"274"	""	""	""	""	""	""	""	""	""
"112"	"83"	"0"	""	""	"0"	""	""	"405"	""	"3"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"408"	""	""	"0"	""	""	"408"	""	""	""	""	""	""	""	""	""
"113"	"84"	"2"	""	""	"0"	""	""	"357"	""	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"360"	""	""	"0"	""	""	"360"	""	""	""	""	""	""	""	""	""
"114"	"Total"	"87"	""	""	"48"	""	""	"2942"	""	"1942"	""	""	"41"	""	""	"175"	""	""	"57"	""	"24"	""	"16"	""	"31"	""	""	"5363"	""	""	"0"	""	""	"5363"	""	""	""	""	""	""	""	""	""
"115"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"116"	""	"MUKESH KUMAR"	""	""	"RAMANAND UPADHAYA"	""	""	"SURENDRA PRASAD YADAV"	""	"MD. AMJAD"	""	""	"GANESH DAS"	""	""	"SUNIL KUMAR"	""	""	"AJAY KUMAR SINGH"	""	"MD. ABULAIS"	""	"ARVIND MISHRA"	""	"AWADHESH YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""	""
"118"	"85"	"13"	""	""	"5"	""	""	"200"	""	"158"	""	""	"9"	""	""	"5"	""	""	"7"	""	"2"	""	"4"	""	"4"	""	""	"407"	""	""	"0"	""	""	"407"	""	""	""	""	""	""	""	""	""
"119"	"86"	"0"	""	""	"3"	""	""	"382"	""	"9"	""	""	"2"	""	""	"0"	""	""	"1"	""	"0"	""	"1"	""	"0"	""	""	"398"	""	""	"0"	""	""	"398"	""	""	""	""	""	""	""	""	""
"120"	"87"	"20"	""	""	"0"	""	""	"171"	""	"422"	""	""	"3"	""	""	"4"	""	""	"4"	""	"1"	""	"2"	""	"0"	""	""	"627"	""	""	"0"	""	""	"627"	""	""	""	""	""	""	""	""	""
"121"	"88"	"3"	""	""	"0"	""	""	"68"	""	"224"	""	""	"1"	""	""	"1"	""	""	"1"	""	"0"	""	"1"	""	"5"	""	""	"304"	""	""	"0"	""	""	"304"	""	""	""	""	""	""	""	""	""
"122"	"89"	"19"	""	""	"6"	""	""	"341"	""	"126"	""	""	"6"	""	""	"0"	""	""	"18"	""	"3"	""	"3"	""	"1"	""	""	"523"	""	""	"0"	""	""	"523"	""	""	""	""	""	""	""	""	""
"123"	"90"	"0"	""	""	"0"	""	""	"87"	""	"47"	""	""	"0"	""	""	"4"	""	""	"4"	""	"0"	""	"0"	""	"0"	""	""	"142"	""	""	"0"	""	""	"142"	""	""	""	""	""	""	""	""	""
"124"	"91"	"2"	""	""	"1"	""	""	"140"	""	"83"	""	""	"24"	""	""	"5"	""	""	"4"	""	"2"	""	"1"	""	"2"	""	""	"264"	""	""	"0"	""	""	"264"	""	""	""	""	""	""	""	""	""
"125"	"92"	"6"	""	""	"26"	""	""	"120"	""	"109"	""	""	"83"	""	""	"5"	""	""	"4"	""	"0"	""	"1"	""	"3"	""	""	"357"	""	""	"0"	""	""	"357"	""	""	""	""	""	""	""	""	""
"126"	"93"	"30"	""	""	"36"	""	""	"139"	""	"144"	""	""	"66"	""	""	"11"	""	""	"22"	""	"5"	""	"7"	""	"9"	""	""	"469"	""	""	"0"	""	""	"469"	""	""	""	""	""	""	""	""	""
"127"	"94"	"22"	""	""	"5"	""	""	"377"	""	"55"	""	""	"6"	""	""	"7"	""	""	"9"	""	"14"	""	"3"	""	"10"	""	""	"508"	""	""	"0"	""	""	"508"	""	""	""	""	""	""	""	""	""
"128"	"95"	"27"	""	""	"15"	""	""	"142"	""	"92"	""	""	"4"	""	""	"3"	""	""	"7"	""	"1"	""	"1"	""	"2"	""	""	"294"	""	""	"0"	""	""	"294"	""	""	""	""	""	""	""	""	""
"129"	"96"	"256"	""	""	"2"	""	""	"577"	""	"25"	""	""	"1"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"861"	""	""	"0"	""	""	"861"	""	""	""	""	""	""	""	""	""
"130"	"97"	"2"	""	""	"0"	""	""	"637"	""	"3"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"642"	""	""	"0"	""	""	"642"	""	""	""	""	""	""	""	""	""
"131"	"98"	"17"	""	""	"2"	""	""	"20"	""	"330"	""	""	"11"	""	""	"5"	""	""	"13"	""	"1"	""	"5"	""	"6"	""	""	"410"	""	""	"0"	""	""	"410"	""	""	""	""	""	""	""	""	""
"132"	"Total"	"417"	""	""	"101"	""	""	"3401"	""	"1827"	""	""	"216"	""	""	"50"	""	""	"94"	""	"29"	""	"29"	""	"42"	""	""	"6206"	""	""	"0"	""	""	"6206"	""	""	""	""	""	""	""	""	""
"133"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"134"	""	"MUKESH KUMAR"	""	""	"RAMANAND UPADHAYA"	""	""	"SURENDRA PRASAD YADAV"	""	"MD. AMJAD"	""	""	"GANESH DAS"	""	""	"SUNIL KUMAR"	""	""	"AJAY KUMAR SINGH"	""	"MD. ABULAIS"	""	"ARVIND MISHRA"	""	"AWADHESH YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""	""
"136"	"99"	"3"	""	""	"1"	""	""	"13"	""	"136"	""	""	"2"	""	""	"0"	""	""	"3"	""	"1"	""	"0"	""	"0"	""	""	"159"	""	""	"0"	""	""	"159"	""	""	""	""	""	""	""	""	""
"137"	"100"	"0"	""	""	"0"	""	""	"45"	""	"236"	""	""	"0"	""	""	"1"	""	""	"7"	""	"0"	""	"0"	""	"3"	""	""	"292"	""	""	"0"	""	""	"292"	""	""	""	""	""	""	""	""	""
"138"	"101"	"1"	""	""	"1"	""	""	"145"	""	"121"	""	""	"1"	""	""	"0"	""	""	"3"	""	"0"	""	"0"	""	"1"	""	""	"273"	""	""	"0"	""	""	"273"	""	""	""	""	""	""	""	""	""
"139"	"102"	"0"	""	""	"2"	""	""	"460"	""	"2"	""	""	"2"	""	""	"1"	""	""	"1"	""	"0"	""	"1"	""	"6"	""	""	"475"	""	""	"0"	""	""	"475"	""	""	""	""	""	""	""	""	""
"140"	"103"	"3"	""	""	"2"	""	""	"149"	""	"123"	""	""	"6"	""	""	"2"	""	""	"15"	""	"0"	""	"1"	""	"0"	""	""	"301"	""	""	"0"	""	""	"301"	""	""	""	""	""	""	""	""	""
"141"	"104"	"7"	""	""	"4"	""	""	"156"	""	"131"	""	""	"5"	""	""	"8"	""	""	"12"	""	"7"	""	"5"	""	"23"	""	""	"358"	""	""	"0"	""	""	"358"	""	""	""	""	""	""	""	""	""
"142"	"105"	"17"	""	""	"4"	""	""	"167"	""	"113"	""	""	"5"	""	""	"10"	""	""	"14"	""	"2"	""	"1"	""	"1"	""	""	"334"	""	""	"0"	""	""	"334"	""	""	""	""	""	""	""	""	""
"143"	"106"	"6"	""	""	"1"	""	""	"162"	""	"463"	""	""	"4"	""	""	"0"	""	""	"1"	""	"1"	""	"2"	""	"0"	""	""	"640"	""	""	"0"	""	""	"640"	""	""	""	""	""	""	""	""	""
"144"	"107"	"4"	""	""	"0"	""	""	"5"	""	"260"	""	""	"2"	""	""	"0"	""	""	"4"	""	"0"	""	"1"	""	"0"	""	""	"276"	""	""	"0"	""	""	"276"	""	""	""	""	""	""	""	""	""
"145"	"108"	"7"	""	""	"10"	""	""	"35"	""	"167"	""	""	"2"	""	""	"3"	""	""	"4"	""	"0"	""	"2"	""	"1"	""	""	"231"	""	""	"0"	""	""	"231"	""	""	""	""	""	""	""	""	""
"146"	"109"	"0"	""	""	"1"	""	""	"519"	""	"44"	""	""	"0"	""	""	"0"	""	""	"1"	""	"0"	""	"0"	""	"0"	""	""	"565"	""	""	"0"	""	""	"565"	""	""	""	""	""	""	""	""	""
"147"	"110"	"4"	""	""	"13"	""	""	"469"	""	"175"	""	""	"4"	""	""	"2"	""	""	"6"	""	"0"	""	"2"	""	"0"	""	""	"675"	""	""	"0"	""	""	"675"	""	""	""	""	""	""	""	""	""
"148"	"111"	"9"	""	""	"0"	""	""	"109"	""	"173"	""	""	"5"	""	""	"3"	""	""	"12"	""	"3"	""	"2"	""	"4"	""	""	"320"	""	""	"0"	""	""	"320"	""	""	""	""	""	""	""	""	""
"149"	"112"	"1"	""	""	"1"	""	""	"411"	""	"246"	""	""	"1"	""	""	"0"	""	""	"3"	""	"0"	""	"0"	""	"0"	""	""	"663"	""	""	"0"	""	""	"663"	""	""	""	""	""	""	""	""	""
"150"	"Total"	"62"	""	""	"40"	""	""	"2845"	""	"2390"	""	""	"39"	""	""	"30"	""	""	"86"	""	"14"	""	"17"	""	"39"	""	""	"5562"	""	""	"0"	""	""	"5562"	""	""	""	""	""	""	""	""	""
"151"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"152"	""	"MUKESH KUMAR"	""	""	"RAMANAND UPADHAYA"	""	""	"SURENDRA PRASAD YADAV"	""	"MD. AMJAD"	""	""	"GANESH DAS"	""	""	"SUNIL KUMAR"	""	""	"AJAY KUMAR SINGH"	""	"MD. ABULAIS"	""	"ARVIND MISHRA"	""	"AWADHESH YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""	""
"154"	"113"	"2"	""	""	"4"	""	""	"415"	""	"40"	""	""	"2"	""	""	"1"	""	""	"1"	""	"0"	""	"0"	""	"2"	""	""	"467"	""	""	"0"	""	""	"467"	""	""	""	""	""	""	""	""	""
"155"	"114"	"9"	""	""	"10"	""	""	"63"	""	"158"	""	""	"22"	""	""	"0"	""	""	"17"	""	"3"	""	"3"	""	"4"	""	""	"289"	""	""	"0"	""	""	"289"	""	""	""	""	""	""	""	""	""
"156"	"115"	"14"	""	""	"4"	""	""	"199"	""	"94"	""	""	"4"	""	""	"3"	""	""	"14"	""	"2"	""	"2"	""	"1"	""	""	"337"	""	""	"0"	""	""	"337"	""	""	""	""	""	""	""	""	""
"157"	"116"	"55"	""	""	"1"	""	""	"8"	""	"504"	""	""	"2"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"570"	""	""	"0"	""	""	"570"	""	""	""	""	""	""	""	""	""
"158"	"117"	"3"	""	""	"3"	""	""	"126"	""	"2"	""	""	"2"	""	""	"0"	""	""	"1"	""	"6"	""	"2"	""	"2"	""	""	"147"	""	""	"0"	""	""	"147"	""	""	""	""	""	""	""	""	""
"159"	"118"	"6"	""	""	"0"	""	""	"16"	""	"535"	""	""	"0"	""	""	"0"	""	""	"3"	""	"0"	""	"0"	""	"0"	""	""	"560"	""	""	"0"	""	""	"560"	""	""	""	""	""	""	""	""	""
"160"	"119"	"2"	""	""	"0"	""	""	"622"	""	"14"	""	""	"2"	""	""	"0"	""	""	"0"	""	"2"	""	"0"	""	"1"	""	""	"643"	""	""	"0"	""	""	"643"	""	""	""	""	""	""	""	""	""
"161"	"120"	"11"	""	""	"5"	""	""	"132"	""	"163"	""	""	"4"	""	""	"3"	""	""	"6"	""	"3"	""	"1"	""	"1"	""	""	"329"	""	""	"0"	""	""	"329"	""	""	""	""	""	""	""	""	""
"162"	"121"	"3"	""	""	"1"	""	""	"654"	""	"69"	""	""	"1"	""	""	"2"	""	""	"6"	""	"1"	""	"1"	""	"5"	""	""	"743"	""	""	"0"	""	""	"743"	""	""	""	""	""	""	""	""	""
"163"	"122"	"10"	""	""	"4"	""	""	"723"	""	"80"	""	""	"7"	""	""	"9"	""	""	"12"	""	"1"	""	"0"	""	"1"	""	""	"847"	""	""	"0"	""	""	"847"	""	""	""	""	""	""	""	""	""
"164"	"123"	"4"	""	""	"1"	""	""	"207"	""	"31"	""	""	"0"	""	""	"2"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"245"	""	""	"0"	""	""	"245"	""	""	""	""	""	""	""	""	""
"165"	"124"	"2"	""	""	"1"	""	""	"227"	""	"80"	""	""	"2"	""	""	"0"	""	""	"1"	""	"0"	""	"1"	""	"0"	""	""	"314"	""	""	"0"	""	""	"314"	""	""	""	""	""	""	""	""	""
"166"	"125"	"10"	""	""	"2"	""	""	"305"	""	"84"	""	""	"3"	""	""	"3"	""	""	"7"	""	"4"	""	"1"	""	"4"	""	""	"423"	""	""	"0"	""	""	"423"	""	""	""	""	""	""	""	""	""
"167"	"126"	"20"	""	""	"14"	""	""	"86"	""	"392"	""	""	"8"	""	""	"1"	""	""	"6"	""	"1"	""	"0"	""	"3"	""	""	"531"	""	""	"0"	""	""	"531"	""	""	""	""	""	""	""	""	""
"168"	"Total"	"151"	""	""	"50"	""	""	"3783"	""	"2246"	""	""	"59"	""	""	"24"	""	""	"74"	""	"23"	""	"11"	""	"24"	""	""	"6445"	""	""	"0"	""	""	"6445"	""	""	""	""	""	""	""	""	""
"169"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"170"	""	"MUKESH KUMAR"	""	""	"RAMANAND UPADHAYA"	""	""	"SURENDRA PRASAD YADAV"	""	"MD. AMJAD"	""	""	"GANESH DAS"	""	""	"SUNIL KUMAR"	""	""	"AJAY KUMAR SINGH"	""	"MD. ABULAIS"	""	"ARVIND MISHRA"	""	"AWADHESH YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""	""
"172"	"127"	"14"	""	""	"1"	""	""	"119"	""	"268"	""	""	"4"	""	""	"4"	""	""	"15"	""	"2"	""	"1"	""	"2"	""	""	"430"	""	""	"0"	""	""	"430"	""	""	""	""	""	""	""	""	""
"173"	"128"	"18"	""	""	"99"	""	""	"459"	""	"95"	""	""	"7"	""	""	"3"	""	""	"8"	""	"7"	""	"4"	""	"7"	""	""	"707"	""	""	"0"	""	""	"707"	""	""	""	""	""	""	""	""	""
"174"	"129"	"6"	""	""	"42"	""	""	"292"	""	"42"	""	""	"5"	""	""	"3"	""	""	"3"	""	"2"	""	"4"	""	"5"	""	""	"404"	""	""	"0"	""	""	"404"	""	""	""	""	""	""	""	""	""
"175"	"130"	"7"	""	""	"2"	""	""	"356"	""	"150"	""	""	"4"	""	""	"2"	""	""	"11"	""	"2"	""	"0"	""	"6"	""	""	"540"	""	""	"0"	""	""	"540"	""	""	""	""	""	""	""	""	""
"176"	"131"	"13"	""	""	"2"	""	""	"425"	""	"63"	""	""	"2"	""	""	"2"	""	""	"3"	""	"1"	""	"0"	""	"1"	""	""	"512"	""	""	"0"	""	""	"512"	""	""	""	""	""	""	""	""	""
"177"	"132"	"17"	""	""	"27"	""	""	"175"	""	"284"	""	""	"39"	""	""	"4"	""	""	"22"	""	"4"	""	"5"	""	"5"	""	""	"582"	""	""	"0"	""	""	"582"	""	""	""	""	""	""	""	""	""
"178"	"133"	"5"	""	""	"12"	""	""	"367"	""	"81"	""	""	"11"	""	""	"6"	""	""	"8"	""	"4"	""	"2"	""	"10"	""	""	"506"	""	""	"0"	""	""	"506"	""	""	""	""	""	""	""	""	""
"179"	"134"	"4"	""	""	"2"	""	""	"340"	""	"155"	""	""	"4"	""	""	"3"	""	""	"3"	""	"0"	""	"0"	""	"2"	""	""	"513"	""	""	"0"	""	""	"513"	""	""	""	""	""	""	""	""	""
"180"	"135"	"2"	""	""	"1"	""	""	"17"	""	"482"	""	""	"3"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"505"	""	""	"0"	""	""	"505"	""	""	""	""	""	""	""	""	""
"181"	"136"	"4"	""	""	"4"	""	""	"417"	""	"62"	""	""	"4"	""	""	"0"	""	""	"9"	""	"2"	""	"0"	""	"1"	""	""	"503"	""	""	"0"	""	""	"503"	""	""	""	""	""	""	""	""	""
"182"	"137"	"3"	""	""	"5"	""	""	"131"	""	"116"	""	""	"2"	""	""	"5"	""	""	"9"	""	"4"	""	"2"	""	"8"	""	""	"285"	""	""	"0"	""	""	"285"	""	""	""	""	""	""	""	""	""
"183"	"138"	"37"	""	""	"0"	""	""	"19"	""	"404"	""	""	"0"	""	""	"0"	""	""	"1"	""	"0"	""	"0"	""	"0"	""	""	"461"	""	""	"0"	""	""	"461"	""	""	""	""	""	""	""	""	""
"184"	"139"	"4"	""	""	"1"	""	""	"204"	""	"32"	""	""	"1"	""	""	"1"	""	""	"0"	""	"0"	""	"0"	""	"2"	""	""	"245"	""	""	"0"	""	""	"245"	""	""	""	""	""	""	""	""	""
"185"	"140"	"1"	""	""	"0"	""	""	"203"	""	"222"	""	""	"1"	""	""	"2"	""	""	"2"	""	"1"	""	"0"	""	"0"	""	""	"432"	""	""	"0"	""	""	"432"	""	""	""	""	""	""	""	""	""
"186"	"Total"	"135"	""	""	"198"	""	""	"3524"	""	"2456"	""	""	"87"	""	""	"35"	""	""	"94"	""	"29"	""	"18"	""	"49"	""	""	"6625"	""	""	"0"	""	""	"6625"	""	""	""	""	""	""	""	""	""
"187"	"Sl. No. of Polling Station"	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"188"	""	"MUKESH KUMAR"	""	""	"RAMANAND UPADHAYA"	""	""	"SURENDRA PRASAD YADAV"	""	"MD. AMJAD"	""	""	"GANESH DAS"	""	""	"SUNIL KUMAR"	""	""	"AJAY KUMAR SINGH"	""	"MD. ABULAIS"	""	"ARVIND MISHRA"	""	"AWADHESH YADAV"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"189"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""	""
"190"	"141"	"8"	""	""	"4"	""	""	"330"	""	"187"	""	""	"5"	""	""	"1"	""	""	"7"	""	"1"	""	"4"	""	"3"	""	""	"550"	""	""	"0"	""	""	"550"	""	""	""	""	""	""	""	""	""
"191"	"142"	"1"	""	""	"5"	""	""	"1153"	""	"3"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"1162"	""	""	"0"	""	""	"1162"	""	""	""	""	""	""	""	""	""
"192"	"143"	"2"	""	""	"2"	""	""	"33"	""	"845"	""	""	"2"	""	""	"3"	""	""	"3"	""	"0"	""	"0"	""	"0"	""	""	"890"	""	""	"0"	""	""	"890"	""	""	""	""	""	""	""	""	""
"193"	"144"	"0"	""	""	"0"	""	""	"3"	""	"382"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"385"	""	""	"0"	""	""	"385"	""	""	""	""	""	""	""	""	""
"194"	"145"	"3"	""	""	"0"	""	""	"23"	""	"381"	""	""	"2"	""	""	"1"	""	""	"7"	""	"1"	""	"0"	""	"0"	""	""	"418"	""	""	"0"	""	""	"418"	""	""	""	""	""	""	""	""	""
"195"	"146"	"1"	""	""	"1"	""	""	"238"	""	"12"	""	""	"1"	""	""	"1"	""	""	"1"	""	"3"	""	"2"	""	"0"	""	""	"260"	""	""	"0"	""	""	"260"	""	""	""	""	""	""	""	""	""
"196"	"147"	"3"	""	""	"1"	""	""	"108"	""	"271"	""	""	"4"	""	""	"5"	""	""	"6"	""	"0"	""	"1"	""	"1"	""	""	"400"	""	""	"0"	""	""	"400"	""	""	""	""	""	""	""	""	""
"197"	"148"	"7"	""	""	"2"	""	""	"74"	""	"114"	""	""	"8"	""	""	"2"	""	""	"5"	""	"2"	""	"1"	""	"2"	""	""	"217"	""	""	"0"	""	""	"217"	""	""	""	""	""	""	""	""	""
"198"	"149"	"3"	""	""	"0"	""	""	"6"	""	"199"	""	""	"1"	""	""	"0"	""	""	"1"	""	"0"	""	"0"	""	"0"	""	""	"210"	""	""	"0"	""	""	"210"	""	""	""	""	""	""	""	""	""
"199"	"150"	"1"	""	""	"0"	""	""	"402"	""	"96"	""	""	"1"	""	""	"3"	""	""	"6"	""	"1"	""	"0"	""	"4"	""	""	"514"	""	""	"0"	""	""	"514"	""	""	""	""	""	""	""	""	""
"200"	"151"	"4"	""	""	"2"	""	""	"107"	""	"95"	""	""	"7"	""	""	"0"	""	""	"4"	""	"0"	""	"0"	""	"2"	""	""	"221"	""	""	"0"	""	""	"221"	""	""	""	""	""	""	""	""	""
"201"	"152"	"2"	""	""	"5"	""	""	"134"	""	"107"	""	""	"2"	""	""	"0"	""	""	"2"	""	"1"	""	"0"	""	"3"	""	""	"256"	""	""	"0"	""	""	"256"	""	""	""	""	""	""	""	""	""
"202"	"153"	"4"	""	""	"0"	""	""	"69"	""	"85"	""	""	"1"	""	""	"1"	""	""	"4"	""	"2"	""	"2"	""	"1"	""	""	"169"	""	""	"0"	""	""	"169"	""	""	""	""	""	""	""	""	""
"203"	"154"	"9"	""	""	"2"	""	""	"165"	""	"145"	""	""	"2"	""	""	"2"	""	""	"4"	""	"0"	""	"0"	""	"1"	""	""	"330"	""	""	"0"	""	""	"330"	""	""	""	""	""	""	""	""	""
