"FINAL.RESULTSHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"148"	"125"	"2"	"0"	"294"	"1"	"0"	"0"	"9"	"0"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"310"	"0"	"310"	""	""
"149"	"126"	"1"	"0"	"349"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"356"	"0"	"356"	""	""
"150"	"Round- 9"	"5472"	"2765"	"26827"	"808"	"147"	"904"	"7575"	"245"	"797"	"303"	"168"	"413"	"158"	"366"	"153"	"406"	"47507"	"0"	"47507"	""	""
"151"	"127"	"3"	"1"	"388"	"1"	"0"	"4"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"401"	"0"	"401"	""	""
"152"	"128"	"17"	"9"	"214"	"6"	"2"	"11"	"52"	"4"	"19"	"7"	"7"	"5"	"2"	"17"	"2"	"1"	"375"	"0"	"375"	""	""
"153"	"129"	"13"	"4"	"151"	"1"	"0"	"8"	"63"	"1"	"53"	"3"	"3"	"1"	"1"	"2"	"0"	"2"	"306"	"0"	"306"	""	""
"154"	"130"	"2"	"1"	"265"	"2"	"1"	"0"	"69"	"1"	"2"	"3"	"1"	"0"	"0"	"0"	"1"	"2"	"350"	"0"	"350"	""	""
"155"	"131"	"15"	"4"	"290"	"2"	"0"	"3"	"3"	"2"	"0"	"0"	"1"	"0"	"0"	"3"	"1"	"1"	"325"	"0"	"325"	""	""
"156"	"132"	"65"	"1"	"260"	"3"	"2"	"4"	"72"	"2"	"4"	"6"	"1"	"1"	"0"	"1"	"1"	"0"	"423"	"0"	"423"	""	""
"157"	"133"	"11"	"15"	"275"	"2"	"0"	"29"	"52"	"5"	"7"	"3"	"3"	"5"	"4"	"13"	"2"	"4"	"430"	"0"	"430"	""	""
"158"	"134"	"2"	"2"	"521"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"526"	"0"	"526"	""	""
"159"	"135"	"16"	"0"	"367"	"1"	"1"	"0"	"21"	"1"	"2"	"2"	"0"	"1"	"3"	"3"	"0"	"3"	"421"	"0"	"421"	""	""
"160"	"136"	"4"	"5"	"124"	"0"	"1"	"3"	"9"	"2"	"2"	"2"	"2"	"1"	"4"	"11"	"5"	"16"	"191"	"0"	"191"	""	""
"161"	"137"	"21"	"1"	"170"	"3"	"0"	"0"	"51"	"26"	"4"	"5"	"2"	"3"	"3"	"3"	"3"	"17"	"312"	"0"	"312"	""	""
"162"	"138"	"43"	"14"	"240"	"3"	"0"	"1"	"48"	"4"	"18"	"8"	"5"	"5"	"6"	"10"	"8"	"9"	"422"	"0"	"422"	""	""
"163"	"139"	"15"	"2"	"226"	"5"	"2"	"8"	"130"	"7"	"39"	"14"	"6"	"6"	"1"	"7"	"0"	"11"	"479"	"0"	"479"	""	""
"164"	"140"	"19"	"20"	"292"	"2"	"2"	"1"	"34"	"1"	"7"	"12"	"0"	"2"	"2"	"3"	"0"	"1"	"398"	"0"	"398"	""	""
"165"	"Round- 10"	"5718"	"2844"	"30610"	"840"	"158"	"976"	"8181"	"301"	"955"	"369"	"199"	"443"	"184"	"439"	"176"	"473"	"52866"	"0"	"52866"	""	""
"166"	"141"	"29"	"2"	"63"	"0"	"3"	"2"	"58"	"1"	"2"	"5"	"3"	"1"	"1"	"1"	"0"	"1"	"172"	"0"	"172"	""	""
"167"	"142"	"32"	"39"	"205"	"5"	"1"	"9"	"17"	"3"	"2"	"3"	"2"	"3"	"4"	"5"	"3"	"2"	"335"	"0"	"335"	""	""
"168"	"143"	"19"	"60"	"238"	"5"	"2"	"0"	"183"	"1"	"6"	"3"	"2"	"2"	"3"	"5"	"0"	"1"	"530"	"0"	"530"	""	""
"169"	"144"	"26"	"7"	"462"	"0"	"0"	"10"	"44"	"2"	"13"	"1"	"2"	"0"	"0"	"0"	"1"	"0"	"568"	"0"	"568"	""	""
"170"	"145"	"20"	"13"	"210"	"4"	"5"	"36"	"68"	"4"	"4"	"5"	"1"	"3"	"2"	"6"	"1"	"7"	"389"	"0"	"389"	""	""
"171"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"172"	""	"Upendra Kumar Singh"	"Sita Sharan Bind"	"Sunil Kumar"	"Jitendra Kumar"	"Rakesh Kumar"	"Bishb Mohan Chaudhar y"	"Sudhir Kumar"	"Amar Kant Paswan"	"Arun Kumar Singh"	"Arun Kumar"	"Awadhesh Kumar Nirala"	"Jay Narayan Prasad Sinha"	"Ranjeet Kumar"	"Sindhu Devi"	"Surendra Prasad Akela"	"Surya Prakash Purusharthi"	""	""	""	""	""
"173"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"174"	"146"	"5"	"5"	"281"	"0"	"0"	"6"	"90"	"0"	"9"	"1"	"0"	"0"	"0"	"1"	"1"	"2"	"401"	"0"	"401"	""	""
"175"	"147"	"13"	"93"	"169"	"2"	"0"	"2"	"30"	"0"	"5"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"316"	"0"	"316"	""	""
"176"	"148"	"90"	"1"	"68"	"1"	"1"	"1"	"31"	"0"	"0"	"4"	"1"	"1"	"1"	"1"	"0"	"2"	"203"	"0"	"203"	""	""
"177"	"149"	"4"	"5"	"333"	"3"	"1"	"1"	"2"	"3"	"8"	"14"	"1"	"1"	"2"	"6"	"1"	"7"	"392"	"0"	"392"	""	""
"178"	"150"	"20"	"7"	"255"	"2"	"2"	"3"	"4"	"10"	"16"	"22"	"4"	"1"	"2"	"8"	"4"	"5"	"365"	"0"	"365"	""	""
"179"	"151"	"137"	"26"	"150"	"3"	"2"	"47"	"69"	"6"	"36"	"73"	"8"	"6"	"2"	"4"	"2"	"5"	"576"	"0"	"576"	""	""
"180"	"152"	"35"	"14"	"319"	"2"	"2"	"35"	"88"	"5"	"28"	"11"	"6"	"5"	"2"	"1"	"1"	"1"	"555"	"0"	"555"	""	""
"181"	"153"	"20"	"6"	"322"	"2"	"0"	"36"	"11"	"1"	"13"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"415"	"0"	"415"	""	""
"182"	"154"	"41"	"4"	"222"	"2"	"0"	"8"	"100"	"2"	"0"	"10"	"1"	"2"	"3"	"9"	"0"	"15"	"419"	"0"	"419"	""	""
"183"	"Round- 11"	"6209"	"3126"	"33907"	"871"	"177"	"1172"	"8976"	"339"	"1097"	"521"	"232"	"468"	"206"	"489"	"191"	"521"	"58502"	"0"	"58502"	""	""
"184"	"155"	"224"	"18"	"43"	"1"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"290"	"0"	"290"	""	""
"185"	"156"	"124"	"3"	"93"	"4"	"1"	"25"	"30"	"2"	"1"	"3"	"1"	"2"	"2"	"6"	"1"	"2"	"300"	"0"	"300"	""	""
"186"	"157"	"63"	"37"	"242"	"5"	"2"	"7"	"55"	"3"	"4"	"15"	"3"	"4"	"4"	"22"	"7"	"11"	"484"	"0"	"484"	""	""
"187"	"158"	"96"	"2"	"119"	"1"	"0"	"7"	"162"	"3"	"18"	"7"	"1"	"5"	"1"	"7"	"5"	"11"	"445"	"0"	"445"	""	""
"188"	"159"	"9"	"0"	"116"	"0"	"1"	"41"	"22"	"1"	"3"	"0"	"2"	"3"	"0"	"0"	"0"	"1"	"199"	"0"	"199"	""	""
"189"	"160"	"106"	"2"	"123"	"0"	"0"	"29"	"3"	"1"	"3"	"2"	"0"	"0"	"1"	"1"	"2"	"1"	"274"	"0"	"274"	""	""
"190"	"161"	"12"	"82"	"89"	"1"	"0"	"14"	"5"	"7"	"14"	"1"	"0"	"2"	"1"	"4"	"1"	"1"	"234"	"0"	"234"	""	""
"191"	"162"	"0"	"0"	"176"	"1"	"0"	"35"	"0"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"0"	"219"	""	""
"192"	"163"	"37"	"10"	"209"	"1"	"1"	"1"	"80"	"3"	"26"	"0"	"2"	"2"	"0"	"1"	"1"	"0"	"374"	"0"	"374"	""	""
"193"	"164"	"2"	"0"	"299"	"1"	"0"	"1"	"10"	"0"	"38"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"355"	"0"	"355"	""	""
"194"	"165"	"47"	"18"	"169"	"1"	"0"	"0"	"1"	"0"	"25"	"3"	"1"	"0"	"0"	"1"	"0"	"1"	"267"	"0"	"267"	""	""
"195"	"166"	"62"	"2"	"145"	"3"	"3"	"2"	"52"	"1"	"22"	"2"	"2"	"8"	"0"	"2"	"2"	"6"	"314"	"0"	"314"	""	""
"196"	"167"	"35"	"31"	"261"	"4"	"2"	"5"	"21"	"5"	"4"	"8"	"3"	"8"	"3"	"9"	"2"	"3"	"404"	"0"	"404"	""	""
"197"	"168"	"12"	"40"	"316"	"4"	"3"	"0"	"31"	"0"	"0"	"1"	"0"	"3"	"0"	"2"	"1"	"2"	"415"	"0"	"415"	""	""
"198"	"Round- 12"	"7038"	"3371"	"36307"	"898"	"190"	"1339"	"9449"	"366"	"1263"	"565"	"249"	"505"	"218"	"544"	"213"	"561"	"63076"	"0"	"63076"	""	""
"199"	"169"	"25"	"3"	"211"	"1"	"1"	"58"	"74"	"0"	"3"	"2"	"1"	"3"	"0"	"7"	"1"	"17"	"407"	"0"	"407"	""	""
"200"	"170"	"65"	"7"	"222"	"4"	"0"	"9"	"32"	"1"	"9"	"3"	"0"	"4"	"3"	"4"	"0"	"7"	"370"	"0"	"370"	""	""
"201"	"171"	"19"	"6"	"282"	"2"	"2"	"1"	"73"	"1"	"4"	"2"	"1"	"1"	"4"	"7"	"1"	"7"	"413"	"0"	"413"	""	""
"202"	"172"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""
"203"	"173"	"131"	"48"	"117"	"3"	"1"	"9"	"48"	"5"	"6"	"2"	"1"	"6"	"3"	"8"	"8"	"12"	"408"	"0"	"408"	""	""
"204"	"174"	"158"	"37"	"29"	"5"	"1"	"4"	"87"	"2"	"3"	"4"	"6"	"7"	"0"	"1"	"0"	"2"	"346"	"0"	"346"	""	""
"205"	"175"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""
"206"	"176"	"65"	"74"	"221"	"0"	"1"	"13"	"189"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"569"	"0"	"569"	""	""
"207"	"177"	"43"	"66"	"22"	"2"	"2"	"11"	"145"	"2"	"3"	"6"	"0"	"4"	"1"	"4"	"2"	"5"	"318"	"0"	"318"	""	""
"208"	"178"	"86"	"5"	"98"	"3"	"1"	"20"	"39"	"0"	"7"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"262"	"0"	"262"	""	""
"209"	"179"	"197"	"31"	"25"	"2"	"3"	"24"	"66"	"4"	"2"	"1"	"1"	"1"	"2"	"2"	"1"	"4"	"366"	"0"	"366"	""	""
"210"	"180"	"32"	"23"	"391"	"1"	"0"	"4"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"455"	"0"	"455"	""	""
"211"	"181"	"24"	"3"	"183"	"4"	"1"	"4"	"14"	"2"	"0"	"1"	"1"	"1"	"1"	"4"	"0"	"0"	"243"	"0"	"243"	""	""
"212"	"182"	"17"	"8"	"198"	"1"	"1"	"35"	"56"	"1"	"1"	"5"	"0"	"3"	"0"	"8"	"1"	"2"	"337"	"0"	"337"	""	""
"213"	"Round- 13"	"7900"	"3682"	"38306"	"926"	"204"	"1531"	"10272"	"387"	"1305"	"592"	"260"	"535"	"232"	"591"	"227"	"620"	"67570"	"0"	"67570"	""	""
"214"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"215"	""	"Upendra Kumar Singh"	"Sita Sharan Bind"	"Sunil Kumar"	"Jitendra Kumar"	"Rakesh Kumar"	"Bishb Mohan Chaudhar y"	"Sudhir Kumar"	"Amar Kant Paswan"	"Arun Kumar Singh"	"Arun Kumar"	"Awadhesh Kumar Nirala"	"Jay Narayan Prasad Sinha"	"Ranjeet Kumar"	"Sindhu Devi"	"Surendra Prasad Akela"	"Surya Prakash Purusharthi"	""	""	""	""	""
"216"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"217"	"183"	"22"	"5"	"355"	"1"	"0"	"0"	"28"	"0"	"1"	"0"	"1"	"2"	"0"	"1"	"0"	"0"	"416"	"0"	"416"	""	""
"218"	"184"	"4"	"17"	"146"	"2"	"3"	"66"	"28"	"1"	"10"	"4"	"1"	"0"	"3"	"8"	"0"	"1"	"294"	"0"	"294"	""	""
"219"	"185"	"7"	"0"	"418"	"1"	"1"	"0"	"11"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"441"	"0"	"441"	""	""
"220"	"186"	"187"	"1"	"10"	"0"	"1"	"47"	"2"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"252"	"0"	"252"	""	""
"221"	"187"	"1"	"7"	"314"	"1"	"1"	"60"	"62"	"2"	"0"	"1"	"0"	"3"	"0"	"2"	"0"	"0"	"454"	"0"	"454"	""	""
"222"	"188"	"8"	"0"	"573"	"4"	"0"	"3"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"592"	"0"	"592"	""	""
"223"	"189"	"10"	"10"	"580"	"6"	"0"	"1"	"17"	"3"	"3"	"3"	"1"	"1"	"0"	"4"	"0"	"3"	"642"	"0"	"642"	""	""
"224"	"190"	"11"	"1"	"308"	"1"	"0"	"1"	"2"	"1"	"1"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"330"	"0"	"330"	""	""
"225"	"191"	"35"	"24"	"191"	"1"	"1"	"1"	"57"	"0"	"3"	"0"	"0"	"3"	"3"	"5"	"1"	"2"	"327"	"0"	"327"	""	""
"226"	"192"	"7"	"6"	"243"	"2"	"0"	"21"	"15"	"2"	"42"	"7"	"4"	"4"	"1"	"5"	"2"	"2"	"363"	"0"	"363"	""	""
"227"	"193"	"24"	"6"	"375"	"10"	"3"	"11"	"9"	"0"	"1"	"2"	"0"	"2"	"0"	"2"	"0"	"5"	"450"	"0"	"450"	""	""
"228"	"194"	"107"	"5"	"17"	"1"	"1"	"0"	"0"	"0"	"0"	"6"	"0"	"1"	"1"	"1"	"1"	"7"	"148"	"0"	"148"	""	""
"229"	"195"	"86"	"11"	"119"	"2"	"0"	"4"	"42"	"5"	"6"	"9"	"2"	"2"	"3"	"4"	"3"	"5"	"303"	"0"	"303"	""	""
"230"	"196"	"8"	"5"	"331"	"5"	"2"	"0"	"15"	"1"	"23"	"0"	"3"	"1"	"4"	"4"	"0"	"3"	"405"	"0"	"405"	""	""
"231"	"Round- 14"	"8417"	"3780"	"42286"	"963"	"217"	"1746"	"10561"	"403"	"1397"	"626"	"272"	"555"	"249"	"631"	"235"	"649"	"72987"	"0"	"72987"	""	""
"232"	"197"	"2"	"0"	"428"	"3"	"0"	"0"	"7"	"1"	"3"	"1"	"0"	"0"	"2"	"0"	"0"	"3"	"450"	"0"	"450"	""	""
"233"	"198"	"16"	"8"	"310"	"0"	"0"	"4"	"83"	"0"	"0"	"2"	"1"	"1"	"1"	"1"	"2"	"1"	"430"	"0"	"430"	""	""
"234"	"199"	"7"	"1"	"508"	"0"	"1"	"0"	"7"	"1"	"10"	"1"	"0"	"0"	"0"	"2"	"0"	"2"	"540"	"0"	"540"	""	""
"235"	"200"	"0"	"2"	"354"	"1"	"0"	"0"	"17"	"3"	"1"	"1"	"0"	"2"	"1"	"1"	"2"	"1"	"386"	"0"	"386"	""	""
"236"	"201"	"132"	"6"	"129"	"7"	"1"	"10"	"2"	"1"	"1"	"6"	"2"	"0"	"2"	"2"	"3"	"3"	"307"	"0"	"307"	""	""
"237"	"202"	"1"	"0"	"10"	"0"	"1"	"0"	"34"	"2"	"316"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"368"	"0"	"368"	""	""
"238"	"203"	"17"	"0"	"35"	"1"	"2"	"0"	"3"	"1"	"257"	"2"	"5"	"1"	"0"	"2"	"0"	"4"	"330"	"0"	"330"	""	""
"239"	"204"	"26"	"4"	"200"	"5"	"1"	"1"	"7"	"0"	"7"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"253"	"0"	"253"	""	""
"240"	"205"	"5"	"6"	"291"	"2"	"0"	"1"	"19"	"1"	"3"	"1"	"2"	"1"	"0"	"0"	"1"	"0"	"333"	"0"	"333"	""	""
"241"	"206"	"99"	"5"	"139"	"0"	"1"	"0"	"30"	"4"	"11"	"3"	"0"	"1"	"2"	"5"	"1"	"6"	"307"	"0"	"307"	""	""
"242"	"207"	"28"	"4"	"330"	"1"	"3"	"2"	"46"	"1"	"22"	"3"	"1"	"3"	"0"	"0"	"0"	"2"	"446"	"0"	"446"	""	""
"243"	"208"	"10"	"2"	"128"	"2"	"0"	"1"	"0"	"0"	"9"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"155"	"0"	"155"	""	""
"244"	"209"	"97"	"5"	"48"	"1"	"1"	"1"	"2"	"1"	"2"	"1"	"1"	"0"	"0"	"1"	"2"	"3"	"166"	"0"	"166"	""	""
"245"	"210"	"30"	"6"	"337"	"1"	"1"	"48"	"101"	"7"	"3"	"1"	"2"	"2"	"1"	"3"	"3"	"1"	"547"	"0"	"547"	""	""
"246"	"Round- 15"	"8887"	"3829"	"45533"	"987"	"229"	"1814"	"10919"	"426"	"2042"	"649"	"288"	"567"	"260"	"649"	"249"	"677"	"78005"	"0"	"78005"	""	""
"247"	"211"	"51"	"2"	"376"	"5"	"0"	"12"	"43"	"3"	"12"	"0"	"0"	"1"	"1"	"2"	"0"	"1"	"509"	"0"	"509"	""	""
"248"	"Round- 16"	"8938"	"3831"	"45909"	"992"	"229"	"1826"	"10962"	"429"	"2054"	"649"	"288"	"568"	"261"	"651"	"249"	"678"	"78514"	"0"	"78514"	""	""
"249"	"Total No. of voters recorded on Polling Stations"	"8938"	"3831"	"45909"	"992"	"229"	"1826"	"10962"	"429"	"2054"	"649"	"288"	"568"	"261"	"651"	"249"	"678"	"78514"	"0"	"78514"	""	""
"250"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"251"	""	"Upendra Kumar Singh"	"Sita Sharan Bind"	"Sunil Kumar"	"Jitendra Kumar"	"Rakesh Kumar"	"Bishb Mohan Chaudhar y"	"Sudhir Kumar"	"Amar Kant Paswan"	"Arun Kumar Singh"	"Arun Kumar"	"Awadhesh Kumar Nirala"	"Jay Narayan Prasad Sinha"	"Ranjeet Kumar"	"Sindhu Devi"	"Surendra Prasad Akela"	"Surya Prakash Purusharthi"	""	""	""	""	""
"252"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"253"	"No. of voters recorded on postal ballot papers"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""
"254"	"Total votes polled"	"8938"	"3831"	"45911"	"993"	"229"	"1826"	"10962"	"429"	"2054"	"649"	"288"	"568"	"261"	"651"	"249"	"678"	"78514"	"0"	"78514"	""	""
"255"	"Place :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"Date  :                                                                                                                                                                                                                                                                                                                               Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
