"izFke..pdz"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"
"1"	"ernku
dsUnz la[;k"	""	"vH;FkhZ;ksa  ds  i{k  esa  fn;s  x;s  cS/k  erksa  dh  la[;k  ,oa  vH;FkhZ;ksa  dk  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	""	"izfr{ksfir
erksa  dk la[;k"	""	""	""	";ksx"	""	""	""	""
"96"	"ernku
dsUnzksa  dh la[;k"	""	""	"vH;FkhZ;ksa ds i{k esa fn;s x;s cS/k erksa dh la[;k ,oa vH;FkhZ;ksa dk uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	""	""	""	"izfr{ksfir
erksa  dh la[;k"	""	""	";ksx"	""	""
"97"	""	""	""	"vfuy
dqekj"	""	""	"vkpk;Z
fo'oukFk cSBk"	""	""	"ekyrh
nsoh"	""	""	"dk'khukFk
ikloku"	""	""	"eukst
dqekj"	""	""	"jke  ujs'k
jke"	""	""	"jkek;.k
jke"	""	""	"lqjsaUnz
jke"	""	""	"vuhy
dqekj cSBk"	""	"fnfXot;
dqekj"	""	""	"fHkyksVu
eka>h"	""	""	"foUns'ojh"	""	""	""	""	""	""	""	""	""	""	""
"98"	"1"	""	""	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	"14"	""	""	""	"15"	""	""	"16"	""	""
"99"	"71"	""	""	"96"	""	""	"11"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	"126"	""	""	"10"	""	""	"19"	""	""	"11"	""	"10"	""	""	"6"	""	""	"10"	""	"320"	""	""	""	""	""	""	"320"	""	""
"100"	"72"	""	""	"85"	""	""	"12"	""	""	"4"	""	""	"4"	""	""	"11"	""	""	"254"	""	""	"15"	""	""	"51"	""	""	"23"	""	"4"	""	""	"3"	""	""	"15"	""	"481"	""	""	""	""	""	""	"481"	""	""
"101"	"73"	""	""	"100"	""	""	"9"	""	""	"5"	""	""	"5"	""	""	"8"	""	""	"146"	""	""	"4"	""	""	"67"	""	""	"17"	""	"6"	""	""	"3"	""	""	"16"	""	"386"	""	""	""	""	""	""	"386"	""	""
"102"	"74"	""	""	"137"	""	""	"17"	""	""	"9"	""	""	"2"	""	""	"14"	""	""	"254"	""	""	"14"	""	""	"57"	""	""	"26"	""	"5"	""	""	"9"	""	""	"34"	""	"578"	""	""	""	""	""	""	"578"	""	""
"103"	"75"	""	""	"98"	""	""	"10"	""	""	"6"	""	""	"4"	""	""	"4"	""	""	"83"	""	""	"2"	""	""	"107"	""	""	"27"	""	"8"	""	""	"1"	""	""	"8"	""	"358"	""	""	""	""	""	""	"358"	""	""
"104"	"76"	""	""	"224"	""	""	"47"	""	""	"14"	""	""	"8"	""	""	"7"	""	""	"10"	""	""	"4"	""	""	"92"	""	""	"35"	""	"3"	""	""	"3"	""	""	"7"	""	"454"	""	""	""	""	""	""	"454"	""	""
"105"	"77"	""	""	"98"	""	""	"24"	""	""	"3"	""	""	"4"	""	""	"1"	""	""	"75"	""	""	"5"	""	""	"256"	""	""	"42"	""	"11"	""	""	"17"	""	""	"29"	""	"565"	""	""	""	""	""	""	"565"	""	""
"106"	"78"	""	""	"194"	""	""	"14"	""	""	"8"	""	""	"5"	""	""	"10"	""	""	"115"	""	""	"14"	""	""	"36"	""	""	"18"	""	"8"	""	""	"8"	""	""	"16"	""	"446"	""	""	""	""	""	""	"446"	""	""
"107"	"79"	""	""	"146"	""	""	"53"	""	""	"8"	""	""	"3"	""	""	"5"	""	""	"83"	""	""	"2"	""	""	"54"	""	""	"20"	""	"5"	""	""	"8"	""	""	"19"	""	"406"	""	""	""	""	""	""	"406"	""	""
"108"	"80"	""	""	"93"	""	""	"16"	""	""	"16"	""	""	"10"	""	""	"11"	""	""	"196"	""	""	"18"	""	""	"40"	""	""	"8"	""	"14"	""	""	"8"	""	""	"19"	""	"449"	""	""	""	""	""	""	"449"	""	""
"109"	"81"	""	""	"89"	""	""	"23"	""	""	"17"	""	""	"9"	""	""	"13"	""	""	"194"	""	""	"13"	""	""	"88"	""	""	"35"	""	"16"	""	""	"12"	""	""	"26"	""	"535"	""	""	""	""	""	""	"535"	""	""
"110"	"82"	""	""	"192"	""	""	"25"	""	""	"9"	""	""	"8"	""	""	"10"	""	""	"259"	""	""	"11"	""	""	"66"	""	""	"23"	""	"8"	""	""	"2"	""	""	"7"	""	"620"	""	""	""	""	""	""	"620"	""	""
"111"	"83"	""	""	"198"	""	""	"22"	""	""	"4"	""	""	"2"	""	""	"2"	""	""	"184"	""	""	"9"	""	""	"45"	""	""	"14"	""	"10"	""	""	"5"	""	""	"26"	""	"521"	""	""	""	""	""	""	"521"	""	""
"112"	"84"	""	""	"190"	""	""	"30"	""	""	"11"	""	""	"7"	""	""	"8"	""	""	"17"	""	""	"3"	""	""	"155"	""	""	"45"	""	"2"	""	""	"3"	""	""	"12"	""	"483"	""	""	""	""	""	""	"483"	""	""
"113"	";ksx"	""	""	"1940"	""	""	"313"	""	""	"120"	""	""	"78"	""	""	"112"	""	""	"1996"	""	""	"124"	""	""	"1133"	""	""	"344"	""	"110"	""	""	"88"	""	""	"244"	""	"6602"	""	""	""	"0"	""	""	"6602"	""	""
"114"	"lIre pdz"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"ernku
dsUnksa dh la[;k"	""	"vH;FkhZ;ksa  ds  i{k  esa  fn;s  x;s  cS/k  erksa  dh  la[;k  ,oa  vH;FkhZ;ksa  dk  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	""	""	"izfr{ksfir
erksa dh la[;k"	""	""	""	";ksx"	""	""	""
"116"	""	""	"vfuy
dqekj"	""	""	"vkpk;Z
fo'oukFk cSBk"	""	"ekyrh
nsoh"	""	""	"dk'khukFk
ikloku"	""	""	""	"eukst
dqekj"	""	""	"jke ujs'k
jke"	""	"jkek;.k
jke"	""	""	"lqjsaUnz
jke"	""	""	""	"vuhy
dqekj cSBk"	""	"fnfXot;
dqekj"	""	""	"fHkyksVu
eka>h"	""	""	"foUns'ojh"	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	"5"	""	""	""	"6"	""	""	"7"	""	"8"	""	""	"9"	""	""	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	"14"	""	""	"15"	""	""	""	"16"	""	""	""
"118"	"85"	""	"271"	""	""	"10"	""	"2"	""	""	"2"	""	""	""	"6"	""	""	"19"	""	"1"	""	""	"73"	""	""	""	"15"	""	"4"	""	""	"1"	""	""	"34"	""	"438"	""	""	""	""	""	""	"438"	""	""	""
"119"	"86"	""	"197"	""	""	"13"	""	"21"	""	""	"4"	""	""	""	"1"	""	""	"5"	""	"1"	""	""	"118"	""	""	""	"35"	""	"4"	""	""	"2"	""	""	"13"	""	"414"	""	""	""	""	""	""	"414"	""	""	""
"120"	"87"	""	"113"	""	""	"4"	""	"3"	""	""	"0"	""	""	""	"3"	""	""	"5"	""	"2"	""	""	"82"	""	""	""	"15"	""	"0"	""	""	"1"	""	""	"5"	""	"233"	""	""	""	""	""	""	"233"	""	""	""
"121"	"88"	""	"214"	""	""	"28"	""	"6"	""	""	"4"	""	""	""	"9"	""	""	"30"	""	"9"	""	""	"131"	""	""	""	"25"	""	"1"	""	""	"7"	""	""	"30"	""	"494"	""	""	""	""	""	""	"494"	""	""	""
"122"	"89"	""	"56"	""	""	"10"	""	"4"	""	""	"6"	""	""	""	"2"	""	""	"6"	""	"3"	""	""	"417"	""	""	""	"20"	""	"1"	""	""	"0"	""	""	"6"	""	"531"	""	""	""	""	""	""	"531"	""	""	""
"123"	"90"	""	"26"	""	""	"83"	""	"67"	""	""	"2"	""	""	""	"4"	""	""	"11"	""	"3"	""	""	"176"	""	""	""	"26"	""	"0"	""	""	"3"	""	""	"10"	""	"411"	""	""	""	""	""	""	"411"	""	""	""
"124"	"91"	""	"125"	""	""	"20"	""	"11"	""	""	"5"	""	""	""	"4"	""	""	"81"	""	"4"	""	""	"52"	""	""	""	"13"	""	"3"	""	""	"2"	""	""	"8"	""	"328"	""	""	""	""	""	""	"328"	""	""	""
"125"	"92"	""	"125"	""	""	"10"	""	"44"	""	""	"3"	""	""	""	"1"	""	""	"8"	""	"5"	""	""	"80"	""	""	""	"19"	""	"3"	""	""	"8"	""	""	"22"	""	"328"	""	""	""	""	""	""	"328"	""	""	""
"126"	"93"	""	"301"	""	""	"11"	""	"9"	""	""	"4"	""	""	""	"5"	""	""	"9"	""	"7"	""	""	"38"	""	""	""	"17"	""	"6"	""	""	"6"	""	""	"32"	""	"445"	""	""	""	""	""	""	"445"	""	""	""
"127"	"94"	""	"108"	""	""	"8"	""	"11"	""	""	"6"	""	""	""	"4"	""	""	"53"	""	"4"	""	""	"44"	""	""	""	"18"	""	"1"	""	""	"3"	""	""	"9"	""	"269"	""	""	""	""	""	""	"269"	""	""	""
"128"	"95"	""	"161"	""	""	"6"	""	"15"	""	""	"2"	""	""	""	"7"	""	""	"70"	""	"6"	""	""	"26"	""	""	""	"10"	""	"3"	""	""	"2"	""	""	"13"	""	"321"	""	""	""	""	""	""	"321"	""	""	""
"129"	"96"	""	"199"	""	""	"12"	""	"11"	""	""	"6"	""	""	""	"7"	""	""	"16"	""	"3"	""	""	"98"	""	""	""	"24"	""	"2"	""	""	"6"	""	""	"10"	""	"394"	""	""	""	""	""	""	"394"	""	""	""
"130"	"97"	""	"80"	""	""	"26"	""	"30"	""	""	"13"	""	""	""	"15"	""	""	"213"	""	"19"	""	""	"70"	""	""	""	"16"	""	"7"	""	""	"4"	""	""	"7"	""	"500"	""	""	""	""	""	""	"500"	""	""	""
"131"	"98"	""	"104"	""	""	"110"	""	"38"	""	""	"10"	""	""	""	"20"	""	""	"262"	""	"22"	""	""	"29"	""	""	""	"11"	""	"15"	""	""	"7"	""	""	"13"	""	"641"	""	""	""	""	""	""	"641"	""	""	""
"132"	";ksx"	""	"2080"	""	""	"351"	""	"272"	""	""	"67"	""	""	""	"88"	""	""	"788"	""	"89"	""	""	"1434"	""	""	""	"264"	""	"50"	""	""	"52"	""	""	"212"	""	"5747"	""	""	"0"	""	""	""	"5747"	""	""	""
"133"	"v\"Ve pdz"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"ernku
dsUnzks dh la[;k"	""	"vH;FkhZ;ksa  ds  i{k  esa  fn;s  x;s  cS/k  erksa  dh  la[;k  ,oa  vH;FkhZ;ksa  dk  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	""	""	"izfr{ksfir
erksa  dh la[;k"	""	""	";ksx"	""	""	""	""
"135"	""	""	"vfuy
dqekj"	""	""	"vkpk;Z
fo'oukFk cSBk"	""	"ekyrh
nsoh"	""	""	"dk'khukFk
ikloku"	""	""	""	"eukst
dqekj"	""	""	"jke  ujs'k
jke"	""	"jkek;.k
jke"	""	""	"lqjsaUnz
jke"	""	""	""	"vuhy
dqekj cSBk"	""	"fnfXot;
dqekj"	""	""	"fHkyksVu
eka>h"	""	""	"foUns'ojh"	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	"5"	""	""	""	"6"	""	""	"7"	""	"8"	""	""	"9"	""	""	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	"14"	""	""	"15"	""	""	"16"	""	""	""	""
"137"	"99"	""	"63"	""	""	"13"	""	"8"	""	""	"1"	""	""	""	"5"	""	""	"240"	""	"4"	""	""	"24"	""	""	""	"5"	""	"8"	""	""	"3"	""	""	"13"	""	"387"	""	""	""	""	""	"387"	""	""	""	""
"138"	"100"	""	"155"	""	""	"120"	""	"10"	""	""	"9"	""	""	""	"11"	""	""	"162"	""	"10"	""	""	"48"	""	""	""	"22"	""	"6"	""	""	"7"	""	""	"11"	""	"571"	""	""	""	""	""	"571"	""	""	""	""
"139"	"101"	""	"113"	""	""	"7"	""	"7"	""	""	"2"	""	""	""	"3"	""	""	"108"	""	"8"	""	""	"16"	""	""	""	"4"	""	"5"	""	""	"0"	""	""	"3"	""	"276"	""	""	""	""	""	"276"	""	""	""	""
"140"	"102"	""	"76"	""	""	"15"	""	"16"	""	""	"4"	""	""	""	"5"	""	""	"183"	""	"13"	""	""	"232"	""	""	""	"29"	""	"8"	""	""	"9"	""	""	"28"	""	"618"	""	""	""	""	""	"618"	""	""	""	""
"141"	"103"	""	"62"	""	""	"56"	""	"6"	""	""	"1"	""	""	""	"3"	""	""	"16"	""	"3"	""	""	"146"	""	""	""	"34"	""	"3"	""	""	"6"	""	""	"8"	""	"344"	""	""	""	""	""	"344"	""	""	""	""
"142"	"104"	""	"351"	""	""	"27"	""	"38"	""	""	"1"	""	""	""	"1"	""	""	"15"	""	"1"	""	""	"134"	""	""	""	"16"	""	"1"	""	""	"3"	""	""	"17"	""	"605"	""	""	""	""	""	"605"	""	""	""	""
"143"	"105"	""	"264"	""	""	"41"	""	"20"	""	""	"8"	""	""	""	"4"	""	""	"28"	""	"6"	""	""	"117"	""	""	""	"41"	""	"6"	""	""	"1"	""	""	"8"	""	"544"	""	""	""	""	""	"544"	""	""	""	""
"144"	"106"	""	"63"	""	""	"14"	""	"3"	""	""	"0"	""	""	""	"6"	""	""	"72"	""	"6"	""	""	"75"	""	""	""	"28"	""	"7"	""	""	"3"	""	""	"12"	""	"289"	""	""	""	""	""	"289"	""	""	""	""
"145"	"107"	""	"95"	""	""	"16"	""	"29"	""	""	"7"	""	""	""	"4"	""	""	"196"	""	"11"	""	""	"77"	""	""	""	"16"	""	"8"	""	""	"8"	""	""	"18"	""	"485"	""	""	""	""	""	"485"	""	""	""	""
"146"	"108"	""	"93"	""	""	"11"	""	"9"	""	""	"11"	""	""	""	"15"	""	""	"363"	""	"31"	""	""	"47"	""	""	""	"19"	""	"7"	""	""	"5"	""	""	"22"	""	"633"	""	""	""	""	""	"633"	""	""	""	""
"147"	"109"	""	"211"	""	""	"14"	""	"11"	""	""	"4"	""	""	""	"3"	""	""	"105"	""	"8"	""	""	"116"	""	""	""	"19"	""	"8"	""	""	"8"	""	""	"17"	""	"524"	""	""	""	""	""	"524"	""	""	""	""
"148"	"110"	""	"56"	""	""	"19"	""	"3"	""	""	"6"	""	""	""	"23"	""	""	"215"	""	"7"	""	""	"90"	""	""	""	"12"	""	"5"	""	""	"3"	""	""	"8"	""	"447"	""	""	""	""	""	"447"	""	""	""	""
"149"	"111"	""	"102"	""	""	"7"	""	"1"	""	""	"0"	""	""	""	"2"	""	""	"3"	""	"1"	""	""	"111"	""	""	""	"9"	""	"1"	""	""	"2"	""	""	"6"	""	"245"	""	""	""	""	""	"245"	""	""	""	""
"150"	"112"	""	"140"	""	""	"21"	""	"75"	""	""	"5"	""	""	""	"10"	""	""	"33"	""	"6"	""	""	"181"	""	""	""	"24"	""	"6"	""	""	"6"	""	""	"13"	""	"520"	""	""	""	""	""	"520"	""	""	""	""
"151"	";ksx"	""	"1844"	""	""	"381"	""	"236"	""	""	"59"	""	""	""	"95"	""	""	"1739"	""	"115"	""	""	"1414"	""	""	""	"278"	""	"79"	""	""	"64"	""	""	"184"	""	"6488"	""	""	"0"	""	""	"6488"	""	""	""	""
"152"	"ernku
dsUnzks dh la[;k"	"vH;FkhZ;ksa  ds  i{k  esa  fn;s  x;s  cS/k  erksa  dh  la[;k  ,oa  vH;FkhZ;ksa  dk  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	""	""	""	"izfr{ksfir
erksa  dh la[;k"	""	""	";ksx"	""	""	""
"153"	""	"vfuy
dqekj"	""	""	"vkpk;Z
fo'oukFk cSBk"	""	""	"ekyrh
nsoh"	""	""	"dk'khukFk
ikloku"	""	""	""	"eukst
dqekj"	""	"jke  ujs'k
jke"	""	""	"jkek;.k
jke"	""	""	"lqjsaUnz
jke"	""	""	""	"vuhy
dqekj cSBk"	""	"fnfXot;
dqekj"	""	""	"fHkyksVu
eka>h"	""	""	"foUns'ojh"	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	""	"6"	""	"7"	""	""	"8"	""	""	"9"	""	""	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	"14"	""	""	""	"15"	""	""	"16"	""	""	""
"155"	"113"	"55"	""	""	"7"	""	""	"7"	""	""	"0"	""	""	""	"0"	""	"7"	""	""	"1"	""	""	"116"	""	""	""	"9"	""	"0"	""	""	"0"	""	""	"2"	""	"204"	""	""	""	""	""	""	"204"	""	""	""
"156"	"114"	"175"	""	""	"32"	""	""	"34"	""	""	"6"	""	""	""	"10"	""	"122"	""	""	"4"	""	""	"39"	""	""	""	"6"	""	"0"	""	""	"1"	""	""	"4"	""	"433"	""	""	""	""	""	""	"433"	""	""	""
"157"	"115"	"118"	""	""	"12"	""	""	"6"	""	""	"7"	""	""	""	"5"	""	"67"	""	""	"4"	""	""	"134"	""	""	""	"18"	""	"0"	""	""	"2"	""	""	"14"	""	"387"	""	""	""	""	""	""	"387"	""	""	""
"158"	"116"	"175"	""	""	"39"	""	""	"10"	""	""	"5"	""	""	""	"8"	""	"22"	""	""	"7"	""	""	"72"	""	""	""	"24"	""	"8"	""	""	"2"	""	""	"9"	""	"381"	""	""	""	""	""	""	"381"	""	""	""
"159"	"117"	"128"	""	""	"15"	""	""	"8"	""	""	"1"	""	""	""	"4"	""	"117"	""	""	"10"	""	""	"71"	""	""	""	"26"	""	"6"	""	""	"8"	""	""	"33"	""	"427"	""	""	""	""	""	""	"427"	""	""	""
"160"	"118"	"93"	""	""	"25"	""	""	"66"	""	""	"1"	""	""	""	"7"	""	"180"	""	""	"10"	""	""	"114"	""	""	""	"14"	""	"15"	""	""	"5"	""	""	"27"	""	"557"	""	""	""	""	""	""	"557"	""	""	""
"161"	"119"	"83"	""	""	"21"	""	""	"6"	""	""	"4"	""	""	""	"4"	""	"151"	""	""	"5"	""	""	"71"	""	""	""	"12"	""	"6"	""	""	"2"	""	""	"8"	""	"373"	""	""	""	""	""	""	"373"	""	""	""
"162"	"120"	"100"	""	""	"15"	""	""	"17"	""	""	"6"	""	""	""	"8"	""	"112"	""	""	"16"	""	""	"52"	""	""	""	"18"	""	"5"	""	""	"10"	""	""	"33"	""	"392"	""	""	""	""	""	""	"392"	""	""	""
"163"	"121"	"175"	""	""	"19"	""	""	"21"	""	""	"1"	""	""	""	"0"	""	"25"	""	""	"6"	""	""	"84"	""	""	""	"12"	""	"0"	""	""	"1"	""	""	"6"	""	"350"	""	""	""	""	""	""	"350"	""	""	""
"164"	"122"	"106"	""	""	"29"	""	""	"6"	""	""	"2"	""	""	""	"4"	""	"85"	""	""	"5"	""	""	"18"	""	""	""	"9"	""	"1"	""	""	"6"	""	""	"9"	""	"280"	""	""	""	""	""	""	"280"	""	""	""
"165"	"123"	"127"	""	""	"23"	""	""	"9"	""	""	"3"	""	""	""	"2"	""	"86"	""	""	"5"	""	""	"32"	""	""	""	"10"	""	"7"	""	""	"5"	""	""	"5"	""	"314"	""	""	""	""	""	""	"314"	""	""	""
"166"	"124"	"95"	""	""	"14"	""	""	"15"	""	""	"2"	""	""	""	"7"	""	"132"	""	""	"15"	""	""	"58"	""	""	""	"13"	""	"13"	""	""	"7"	""	""	"39"	""	"410"	""	""	""	""	""	""	"410"	""	""	""
"167"	"125"	"289"	""	""	"32"	""	""	"32"	""	""	"10"	""	""	""	"6"	""	"108"	""	""	"12"	""	""	"155"	""	""	""	"45"	""	"7"	""	""	"15"	""	""	"51"	""	"762"	""	""	""	""	""	""	"762"	""	""	""
"168"	"126"	"185"	""	""	"28"	""	""	"11"	""	""	"8"	""	""	""	"14"	""	"76"	""	""	"12"	""	""	"96"	""	""	""	"26"	""	"12"	""	""	"7"	""	""	"41"	""	"516"	""	""	""	""	""	""	"516"	""	""	""
"169"	";ksx"	"1904"	""	""	"311"	""	""	"248"	""	""	"56"	""	""	""	"79"	""	"1290"	""	""	"112"	""	""	"1112"	""	""	""	"242"	""	"80"	""	""	"71"	""	""	"281"	""	"5786"	""	""	""	"0"	""	""	"5786"	""	""	""
"170"	"nle pdz"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"ernku
dsUnzks dh la[;k"	""	"vH;FkhZ;ksa  ds  i{k  esa  fn;s  x;s  cS/k  erksa  dh  la[;k  ,oa  vH;FkhZ;ksa  dk  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	""	""	"izfr{ksfir
erksa  dh la[;k"	""	""	";ksx"	""	""	""
"172"	""	""	"vfuy
dqekj"	""	""	"vkpk;Z
fo'oukFk cSBk"	""	""	"ekyrh
nsoh"	""	""	"dk'khukFk
ikloku"	""	""	"eukst
dqekj"	""	""	"jke  ujs'k
jke"	""	""	"jkek;.k
jke"	""	""	"lqjsaUnz
jke"	""	""	"vuhy
dqekj cSBk"	""	""	"fnfXot;
dqekj"	""	"fHkyksVu
eka>h"	""	""	"foUns'ojh"	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"1"	""	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	"10"	""	""	"11"	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	"16"	""	""	""
"174"	"127"	""	"180"	""	""	"8"	""	""	"8"	""	""	"3"	""	""	"11"	""	""	"45"	""	""	"10"	""	""	"51"	""	""	"15"	""	""	"3"	""	"0"	""	""	"19"	""	""	"353"	""	""	""	""	""	"353"	""	""	""
"175"	"128"	""	"225"	""	""	"21"	""	""	"16"	""	""	"5"	""	""	"13"	""	""	"118"	""	""	"6"	""	""	"59"	""	""	"16"	""	""	"10"	""	"7"	""	""	"9"	""	""	"505"	""	""	""	""	""	"505"	""	""	""
"176"	"129"	""	"95"	""	""	"9"	""	""	"29"	""	""	"6"	""	""	"2"	""	""	"179"	""	""	"4"	""	""	"21"	""	""	"3"	""	""	"1"	""	"2"	""	""	"1"	""	""	"352"	""	""	""	""	""	"352"	""	""	""
"177"	"130"	""	"323"	""	""	"8"	""	""	"11"	""	""	"1"	""	""	"3"	""	""	"47"	""	""	"2"	""	""	"19"	""	""	"2"	""	""	"0"	""	"0"	""	""	"2"	""	""	"418"	""	""	""	""	""	"418"	""	""	""
"178"	"131"	""	"184"	""	""	"5"	""	""	"9"	""	""	"4"	""	""	"8"	""	""	"367"	""	""	"9"	""	""	"16"	""	""	"6"	""	""	"4"	""	"12"	""	""	"12"	""	""	"636"	""	""	""	""	""	"636"	""	""	""
"179"	"132"	""	"268"	""	""	"15"	""	""	"76"	""	""	"7"	""	""	"16"	""	""	"21"	""	""	"9"	""	""	"77"	""	""	"11"	""	""	"1"	""	"3"	""	""	"15"	""	""	"519"	""	""	""	""	""	"519"	""	""	""
"180"	"133"	""	"67"	""	""	"53"	""	""	"2"	""	""	"2"	""	""	"6"	""	""	"5"	""	""	"3"	""	""	"67"	""	""	"10"	""	""	"4"	""	"6"	""	""	"18"	""	""	"243"	""	""	""	""	""	"243"	""	""	""
"181"	"134"	""	"48"	""	""	"8"	""	""	"64"	""	""	"2"	""	""	"8"	""	""	"2"	""	""	"3"	""	""	"65"	""	""	"34"	""	""	"4"	""	"0"	""	""	"5"	""	""	"243"	""	""	""	""	""	"243"	""	""	""
"182"	"135"	""	"208"	""	""	"33"	""	""	"30"	""	""	"4"	""	""	"13"	""	""	"43"	""	""	"6"	""	""	"130"	""	""	"44"	""	""	"3"	""	"5"	""	""	"20"	""	""	"539"	""	""	""	""	""	"539"	""	""	""
"183"	"136"	""	"105"	""	""	"22"	""	""	"19"	""	""	"5"	""	""	"15"	""	""	"168"	""	""	"14"	""	""	"35"	""	""	"10"	""	""	"9"	""	"6"	""	""	"13"	""	""	"421"	""	""	""	""	""	"421"	""	""	""
"184"	"137"	""	"169"	""	""	"22"	""	""	"7"	""	""	"3"	""	""	"12"	""	""	"93"	""	""	"8"	""	""	"49"	""	""	"16"	""	""	"7"	""	"3"	""	""	"11"	""	""	"400"	""	""	""	""	""	"400"	""	""	""
"185"	"138"	""	"70"	""	""	"19"	""	""	"7"	""	""	"2"	""	""	"15"	""	""	"25"	""	""	"2"	""	""	"226"	""	""	"12"	""	""	"1"	""	"1"	""	""	"9"	""	""	"389"	""	""	""	""	""	"389"	""	""	""
"186"	"139"	""	"49"	""	""	"17"	""	""	"13"	""	""	"2"	""	""	"7"	""	""	"31"	""	""	"3"	""	""	"75"	""	""	"17"	""	""	"3"	""	"1"	""	""	"4"	""	""	"222"	""	""	""	""	""	"222"	""	""	""
"187"	"140"	""	"35"	""	""	"5"	""	""	"14"	""	""	"3"	""	""	"2"	""	""	"14"	""	""	"13"	""	""	"156"	""	""	"21"	""	""	"2"	""	"4"	""	""	"15"	""	""	"284"	""	""	""	""	""	"284"	""	""	""
"188"	";ksx"	""	"2026"	""	""	"245"	""	""	"305"	""	""	"49"	""	""	"131"	""	""	"1158"	""	""	"92"	""	""	"1046"	""	""	"217"	""	""	"52"	""	"50"	""	""	"153"	""	""	"5524"	""	""	"0"	""	""	"5524"	""	""	""
"189"	"X;kjgokWa pdz"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"ernku
dsUnzks dh la[;k"	"vH;FkhZ;ksa ds i{k esa fn;s x;s cS/k erksa dh la[;k ,oa vH;FkhZ;ksa dk uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	""	""	"izfr{ksfir
erksa  dh la[;k"	""	""	";ksx"	""	""	""	""
