"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"[SEE  RULE 56(7) FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"(To be used for recording the result of voting at polling station other than notified polling stations) Election to the Bihar Legistative assembly from the 170- JAMUI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total no of electors in assembly constituency- 2,48,526"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No. of"	"JAY"	"VIJAY"	"SUSHIL"	"ARJUN"	"UMESH"	""	"SHIV"	"AMAR"	"ASHOK"	"PREM"	"SURKHAB"	"Total of"	"No. of"	"Total"	"No. of"	""
"191"	"163"	"0"	"35"	"11"	"588"	"2"	""	"0"	"13"	"0"	"0"	"0"	"649"	"&"	"649"	"&"	""
"192"	"164"	"20"	"108"	"53"	"77"	"5"	""	"0"	"3"	"1"	"2"	"8"	"277"	"&"	"277"	"&"	""
"193"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"Sl. No. of"	"JAY"	"VIJAY"	"SUSHIL"	"ARJUN"	"UMESH"	""	"SHIV"	"AMAR"	"ASHOK"	"PREM"	"SURKHAB"	"Total of"	"No. of"	"Total"	"No. of"	""
"195"	"polling Station"	"NARAYAN
RAO"	"PRAKASH"	"KUMAR
SINGH"	"MANDAL"	"KUMAR
MANDAL"	""	"NANDAN
SINGH"	"KUMAR
BHAGAT"	"RAM"	"CHANDRA
RAM"	"AHMAD"	"valid votes"	"rejected votes"	""	"tendered
votes"	""
"196"	"no."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"198"	"165"	"0"	"809"	"2"	"5"	"0"	""	"0"	"1"	"0"	"0"	"0"	"817"	"&"	"817"	"&"	""
"199"	"166"	"25"	"85"	"128"	"588"	"1"	""	"0"	"1"	"0"	"0"	"0"	"828"	"&"	"828"	"&"	""
"200"	"167"	"5"	"394"	"3"	"19"	"0"	""	"2"	"5"	"0"	"0"	"1"	"429"	"&"	"429"	"&"	""
"201"	"168"	"4"	"84"	"72"	"537"	"1"	""	"9"	"4"	"0"	"0"	"0"	"711"	"&"	"711"	"&"	""
"202"	"169"	"12"	"81"	"26"	"103"	"6"	""	"3"	"30"	"5"	"4"	"8"	"278"	"&"	"278"	"&"	""
"203"	"170"	"16"	"195"	"27"	"343"	"20"	""	"14"	"88"	"12"	"11"	"29"	"755"	"&"	"755"	"&"	""
"204"	"171"	"16"	"84"	"4"	"366"	"2"	""	"3"	"16"	"3"	"4"	"8"	"506"	"&"	"506"	"&"	""
"205"	"172"	"27"	"156"	"16"	"164"	"5"	""	"7"	"14"	"2"	"8"	"6"	"405"	"&"	"405"	"&"	""
"206"	"173"	"0"	"17"	"3"	"741"	"2"	""	"0"	"8"	"0"	"0"	"0"	"771"	"&"	"771"	"&"	""
"207"	"174"	"10"	"638"	"4"	"34"	"0"	""	"3"	"18"	"0"	"0"	"5"	"712"	"&"	"712"	"&"	""
"208"	"175"	"37"	"635"	"1"	"8"	"0"	""	"0"	"0"	"0"	"0"	"0"	"681"	"&"	"681"	"&"	""
"209"	"176"	"40"	"182"	"26"	"182"	"4"	""	"9"	"40"	"6"	"3"	"7"	"499"	"&"	"499"	"&"	""
"210"	"177"	"26"	"134"	"26"	"238"	"9"	""	"10"	"52"	"2"	"15"	"25"	"537"	"&"	"537"	"&"	""
"211"	"178"	"51"	"283"	"39"	"176"	"8"	""	"12"	"46"	"15"	"6"	"28"	"664"	"&"	"664"	"&"	""
"212"	"179"	"3"	"59"	"30"	"173"	"9"	""	"9"	"32"	"1"	"10"	"13"	"339"	"&"	"339"	"&"	""
"213"	"180"	"0"	"84"	"11"	"261"	"1"	""	"2"	"1"	"0"	"0"	"0"	"360"	"&"	"360"	"&"	""
"214"	"181"	"11"	"75"	"22"	"165"	"5"	""	"2"	"22"	"2"	"2"	"3"	"309"	"&"	"309"	"&"	""
"215"	"182"	"9"	"242"	"10"	"474"	"4"	""	"1"	"15"	"2"	"1"	"3"	"761"	"&"	"761"	"&"	""
"216"	"183"	"31"	"407"	"23"	"103"	"4"	""	"7"	"36"	"2"	"10"	"15"	"638"	"&"	"638"	"&"	""
"217"	"184"	"53"	"61"	"22"	"176"	"1"	""	"11"	"16"	"2"	"5"	"8"	"355"	"&"	"355"	"&"	""
"218"	"185"	"30"	"111"	"3"	"145"	"6"	""	"13"	"69"	"6"	"6"	"27"	"416"	"&"	"416"	"&"	""
"219"	"186"	"16"	"305"	"68"	"103"	"8"	""	"6"	"40"	"9"	"9"	"20"	"584"	"&"	"584"	"&"	""
"220"	"187"	"13"	"88"	"14"	"46"	"4"	""	"9"	"14"	"5"	"8"	"13"	"214"	"&"	"214"	"&"	""
"221"	"188"	"3"	"460"	"20"	"102"	"5"	""	"1"	"15"	"0"	"1"	"2"	"609"	"&"	"609"	"&"	""
"222"	"189"	"30"	"564"	"76"	"30"	"0"	""	"1"	"3"	"0"	"0"	"0"	"704"	"&"	"704"	"&"	""
"223"	"190"	"15"	"211"	"26"	"124"	"5"	""	"2"	"17"	"6"	"4"	"8"	"418"	"&"	"418"	"&"	""
"224"	"191"	"0"	"395"	"1"	"3"	"0"	""	"0"	"0"	"0"	"0"	"1"	"400"	"&"	"400"	"&"	""
"225"	"192"	"142"	"285"	"15"	"105"	"7"	""	"14"	"35"	"9"	"6"	"25"	"643"	"&"	"643"	"&"	""
"226"	"193"	"27"	"329"	"20"	"41"	"3"	""	"2"	"5"	"4"	"4"	"12"	"447"	"&"	"447"	"&"	""
"227"	"194"	"3"	"369"	"0"	"20"	"0"	""	"1"	"3"	"1"	"0"	"1"	"398"	"&"	"398"	"&"	""
"228"	"195"	"5"	"414"	"10"	"40"	"0"	""	"0"	"11"	"2"	"4"	"4"	"490"	"&"	"490"	"&"	""
"229"	"196"	"26"	"816"	"10"	"70"	"7"	""	"10"	"30"	"7"	"6"	"19"	"1001"	"&"	"1001"	"&"	""
"230"	"197"	"16"	"385"	"48"	"38"	"10"	""	"1"	"12"	"1"	"3"	"4"	"518"	"&"	"518"	"&"	""
"231"	"198"	"3"	"219"	"2"	"16"	"0"	""	"1"	"4"	"1"	"2"	"3"	"251"	"&"	"251"	"&"	""
"232"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"Sl. No. of"	"JAY"	"VIJAY"	"SUSHIL"	"ARJUN"	"UMESH"	""	"SHIV"	"AMAR"	"ASHOK"	"PREM"	"SURKHAB"	"Total of"	"No. of"	"Total"	"No. of"	""
"234"	"polling Station"	"NARAYAN
RAO"	"PRAKASH"	"KUMAR
SINGH"	"MANDAL"	"KUMAR
MANDAL"	""	"NANDAN
SINGH"	"KUMAR
BHAGAT"	"RAM"	"CHANDRA
RAM"	"AHMAD"	"valid votes"	"rejected votes"	""	"tendered
votes"	""
"235"	"no."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"237"	"199"	"48"	"660"	"34"	"48"	"5"	""	"7"	"7"	"2"	"3"	"4"	"818"	"&"	"818"	"&"	""
"238"	"200"	"31"	"475"	"114"	"59"	"9"	""	"6"	"18"	"7"	"10"	"21"	"750"	"&"	"750"	"&"	""
"239"	"201"	"36"	"55"	"41"	"13"	"6"	""	"7"	"9"	"4"	"4"	"10"	"185"	"&"	"185"	"&"	""
"240"	"202"	"9"	"36"	"72"	"77"	"8"	""	"5"	"16"	"6"	"1"	"10"	"240"	"&"	"240"	"&"	""
"241"	"203"	"12"	"417"	"20"	"31"	"3"	""	"2"	"11"	"1"	"3"	"1"	"501"	"&"	"501"	"&"	""
"242"	"204"	"10"	"113"	"54"	"64"	"1"	""	"3"	"10"	"26"	"1"	"5"	"287"	"&"	"287"	"&"	""
"243"	"205"	"2"	"314"	"15"	"21"	"4"	""	"1"	"0"	"1"	"2"	"0"	"360"	"&"	"360"	"&"	""
"244"	"206"	"19"	"142"	"19"	"33"	"4"	""	"10"	"27"	"5"	"5"	"11"	"275"	"&"	"275"	"&"	""
"245"	"207"	"4"	"335"	"4"	"2"	"1"	""	"0"	"2"	"2"	"1"	"0"	"351"	"&"	"351"	"&"	""
"246"	"208"	"9"	"248"	"56"	"8"	"2"	""	"0"	"1"	"1"	"3"	"0"	"328"	"&"	"328"	"&"	""
"247"	"209"	"0"	"0"	"2"	"1"	"0"	""	"0"	"0"	"0"	"0"	"0"	"3"	"&"	"3"	"&"	""
"248"	"210"	"4"	"203"	"9"	"18"	"3"	""	"1"	"7"	"1"	"1"	"2"	"249"	"&"	"249"	"&"	""
"249"	"211"	"65"	"227"	"49"	"205"	"20"	""	"14"	"34"	"4"	"6"	"22"	"646"	"&"	"646"	"&"	""
"250"	"212"	"9"	"225"	"39"	"197"	"5"	""	"5"	"28"	"3"	"3"	"5"	"519"	"&"	"519"	"&"	""
"251"	"213"	"14"	"223"	"52"	"130"	"9"	""	"4"	"23"	"11"	"13"	"22"	"501"	"&"	"501"	"&"	""
"252"	"214"	"17"	"203"	"29"	"69"	"7"	""	"3"	"23"	"5"	"7"	"11"	"374"	"&"	"374"	"&"	""
"253"	"215"	"0"	"88"	"4"	"174"	"4"	""	"1"	"0"	"0"	"0"	"0"	"271"	"&"	"271"	"&"	""
"254"	"216"	"25"	"50"	"10"	"354"	"1"	""	"2"	"6"	"0"	"0"	"0"	"448"	"&"	"448"	"&"	""
"255"	"217"	"33"	"176"	"17"	"76"	"9"	""	"13"	"37"	"7"	"12"	"33"	"413"	"&"	"413"	"&"	""
"256"	"218"	"34"	"249"	"34"	"60"	"9"	""	"8"	"21"	"14"	"12"	"34"	"475"	"&"	"475"	"&"	""
"257"	"219"	"9"	"586"	"21"	"71"	"0"	""	"4"	"11"	"0"	"0"	"0"	"702"	"&"	"702"	"&"	""
"258"	"220"	"25"	"353"	"51"	"53"	"4"	""	"7"	"18"	"4"	"4"	"12"	"531"	"&"	"531"	"&"	""
"259"	"221"	"20"	"191"	"21"	"44"	"5"	""	"15"	"14"	"7"	"6"	"16"	"339"	"&"	"339"	"&"	""
"260"	"222"	"26"	"559"	"54"	"51"	"9"	""	"4"	"6"	"5"	"9"	"2"	"725"	"&"	"725"	"&"	""
"261"	"223"	"10"	"594"	"19"	"133"	"5"	""	"3"	"11"	"1"	"0"	"5"	"781"	"&"	"781"	"&"	""
"262"	"224"	"11"	"155"	"11"	"35"	"7"	""	"1"	"4"	"2"	"4"	"11"	"241"	"&"	"241"	"&"	""
"263"	"225"	"4"	"47"	"5"	"159"	"6"	""	"5"	"15"	"4"	"2"	"5"	"252"	"&"	"252"	"&"	""
"264"	"226"	"5"	"464"	"19"	"126"	"6"	""	"3"	"14"	"4"	"2"	"7"	"650"	"&"	"650"	"&"	""
"265"	"226(A)"	"4"	"238"	"4"	"70"	"1"	""	"3"	"20"	"4"	"2"	"10"	"356"	"&"	"356"	"&"	""
"266"	"227"	"7"	"143"	"77"	"380"	"7"	""	"5"	"59"	"8"	"3"	"13"	"702"	"&"	"702"	"&"	""
"267"	"228"	"10"	"114"	"13"	"202"	"10"	""	"5"	"31"	"4"	"8"	"17"	"414"	"&"	"414"	"&"	""
"268"	"229"	"0"	"69"	"1"	"270"	"0"	""	"1"	"4"	"1"	"0"	"0"	"346"	"&"	"346"	"&"	""
"269"	"230"	"0"	"608"	"2"	"25"	"0"	""	"0"	"1"	"0"	"0"	"0"	"636"	"&"	"636"	"&"	""
"270"	"231"	"4"	"72"	"52"	"412"	"8"	""	"27"	"20"	"0"	"0"	"1"	"596"	"&"	"596"	"&"	""
"271"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	"Sl. No. of"	"JAY"	"VIJAY"	"SUSHIL"	"ARJUN"	"UMESH"	""	"SHIV"	"AMAR"	"ASHOK"	"PREM"	"SURKHAB"	"Total of"	"No. of"	"Total"	"No. of"	""
"273"	"polling Station"	"NARAYAN
RAO"	"PRAKASH"	"KUMAR
SINGH"	"MANDAL"	"KUMAR
MANDAL"	""	"NANDAN
SINGH"	"KUMAR
BHAGAT"	"RAM"	"CHANDRA
RAM"	"AHMAD"	"valid votes"	"rejected votes"	""	"tendered
votes"	""
"274"	"no."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"276"	"232"	"0"	"558"	"1"	"2"	"0"	""	"0"	"0"	"0"	"0"	"0"	"561"	"&"	"561"	"&"	""
"277"	"233"	"37"	"67"	"19"	"405"	"11"	""	"10"	"36"	"6"	"5"	"9"	"605"	"&"	"605"	"&"	""
"278"	"234"	"4"	"87"	"5"	"323"	"9"	""	"3"	"18"	"5"	"8"	"11"	"473"	"&"	"473"	"&"	""
"279"	"235"	"2"	"911"	"1"	"17"	"0"	""	"0"	"0"	"0"	"0"	"0"	"931"	"&"	"931"	"&"	""
"280"	"236"	"39"	"190"	"14"	"149"	"5"	""	"9"	"28"	"2"	"4"	"7"	"447"	"&"	"447"	"&"	""
"281"	"237"	"2"	"41"	"100"	"94"	"6"	""	"3"	"25"	"1"	"1"	"3"	"276"	"&"	"276"	"&"	""
"282"	"238"	"0"	"82"	"168"	"177"	"2"	""	"2"	"16"	"1"	"2"	"1"	"451"	"&"	"451"	"&"	""
"283"	"239"	"15"	"150"	"25"	"262"	"12"	""	"10"	"40"	"13"	"9"	"29"	"565"	"&"	"565"	"&"	""
"284"	"240"	"17"	"308"	"12"	"218"	"6"	""	"6"	"16"	"1"	"5"	"0"	"589"	"&"	"589"	"&"	""
"285"	"241"	"3"	"366"	"5"	"29"	"3"	""	"1"	"1"	"2"	"1"	"2"	"413"	"&"	"413"	"&"	""
"286"	"242"	"27"	"147"	"37"	"50"	"10"	""	"24"	"16"	"6"	"9"	"8"	"334"	"&"	"334"	"&"	""
"287"	"243"	"4"	"55"	"4"	"198"	"13"	""	"0"	"12"	"1"	"0"	"7"	"294"	"&"	"294"	"&"	""
"288"	"244"	"25"	"329"	"18"	"192"	"4"	""	"6"	"36"	"11"	"11"	"15"	"647"	"&"	"647"	"&"	""
"289"	"245"	"15"	"220"	"17"	"59"	"3"	""	"6"	"16"	"2"	"0"	"3"	"341"	"&"	"341"	"&"	""
"290"	"246"	"11"	"131"	"89"	"66"	"8"	""	"8"	"32"	"0"	"0"	"4"	"349"	"&"	"349"	"&"	""
"291"	"247"	"8"	"53"	"72"	"168"	"2"	""	"7"	"50"	"5"	"1"	"9"	"375"	"&"	"375"	"&"	""
"292"	"248"	"286"	"24"	"27"	"30"	"3"	""	"8"	"6"	"0"	"2"	"5"	"391"	"&"	"391"	"&"	""
"293"	"249"	"26"	"332"	"57"	"201"	"5"	""	"1"	"13"	"2"	"5"	"1"	"643"	"&"	"643"	"&"	""
"294"	"250"	"23"	"207"	"61"	"109"	"5"	""	"7"	"18"	"3"	"2"	"15"	"450"	"&"	"450"	"&"	""
"295"	""	"3946"	"63611"	"6614"	"41538"	"1238"	""	"1338"	"6846"	"916"	"909"	"2179"	"129135"	"&"	"129135"	"&"	""
"296"	"Total no. of votes recorded at polling Stations"	""	""	""	""	""	"129135"	""	""	""	""	""	""	""	""	""	""
"297"	"No. of votes recorded on postal ballot papers"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""
"298"	"Grand Total"	""	""	""	""	""	"129135"	""	""	""	""	""	""	""	""	""	""
"299"	"Place ………………"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"Date ………………."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
