"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"
"52"	"Date     27-02-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"Total no. of"	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""	""
"55"	"of"	""	"AJAY PASWAN"	""	"JITAN  RAM MANJHI"	""	""	""	"VIJAY PRASAD"	""	""	""	""	"RAJENDRA RAJVANSHI"	""	""	""	""	"SHYAMDEO PASWAN"	""	""	""	""	"CHANDRA MANJHI"	""	""	""	""	""	""	""	"DHANANJAY PASWAN"	""	""	""	""	""	"NARESH RAM"	""	""	""	""	""	""	"RAJKUMAR MANJHI"	""	""	""	""	""	""	"RAM AADHAR CHAUDHARY"	""	""	""	""	""	"RAM NARESH PRASAD"	""	""	""	""	""	""	"SHIV SHANKAR PRASAD"	""	""	""	""	""	""	""	"No. of valid"	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""	""
"56"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""
"57"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"1"	""	"2"	""	"3"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	""	""
"59"	"29"	""	"58"	""	"3"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"50"	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"5"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"127"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"127"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"30"	""	"192"	""	"55"	""	""	""	"0"	""	""	""	""	"5"	""	""	""	""	"5"	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"260"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"260"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"31"	""	"139"	""	"70"	""	""	""	"2"	""	""	""	""	"14"	""	""	""	""	"115"	""	""	""	""	"13"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"10"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"6"	""	""	""	""	""	"4"	""	""	""	""	""	""	"31"	""	""	""	""	""	""	""	"411"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"411"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"32"	""	"181"	""	"279"	""	""	""	"5"	""	""	""	""	"3"	""	""	""	""	"6"	""	""	""	""	"12"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"11"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"512"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"512"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"33"	""	"14"	""	"219"	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"243"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"243"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"34"	""	"245"	""	"40"	""	""	""	"0"	""	""	""	""	"19"	""	""	""	""	"20"	""	""	""	""	"5"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	"62"	""	""	""	""	""	""	""	"402"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"35"	""	"33"	""	"54"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"11"	""	""	""	""	"17"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	"24"	""	""	""	""	""	""	""	"146"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"146"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"36"	""	"32"	""	"15"	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"359"	""	""	""	""	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"5"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"437"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"437"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"37"	""	"3"	""	"406"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"77"	""	""	""	""	"4"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"494"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"494"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"38"	""	"217"	""	"60"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"7"	""	""	""	""	"164"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"5"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	"9"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"482"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"482"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"39"	""	"10"	""	"31"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"13"	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"81"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"81"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"40"	""	"68"	""	"73"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"176"	""	""	""	""	"8"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"344"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"344"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"41"	""	"173"	""	"62"	""	""	""	"8"	""	""	""	""	"8"	""	""	""	""	"61"	""	""	""	""	"3"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"10"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"11"	""	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"368"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"368"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"42"	""	"12"	""	"301"	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	"20"	""	""	""	""	"6"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	"5"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"368"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"368"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"Total"	""	"1377"	""	"1668"	""	""	""	"25"	""	""	""	""	"60"	""	""	""	""	"921"	""	""	""	""	"249"	""	""	""	""	""	""	""	"18"	""	""	""	""	""	"59"	""	""	""	""	""	""	"29"	""	""	""	""	""	""	"29"	""	""	""	""	""	"50"	""	""	""	""	""	""	"190"	""	""	""	""	""	""	""	"4675"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"4675"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"(FORM 20)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"Election to the Bihar Legislative Assembly from the 237-Fatehpur (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"Round No. ……            4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"Total no. of"	""	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""
"80"	"of"	"AJAY PASWAN"	""	""	"JITAN  RAM MANJHI"	""	""	""	"VIJAY PRASAD"	""	""	""	""	"RAJENDRA RAJVANSHI"	""	""	""	""	""	"SHYAMDEO PASWAN"	""	""	""	""	"CHANDRA MANJHI"	""	""	""	""	""	""	""	"DHANANJAY PASWAN"	""	""	""	""	""	"NARESH RAM"	""	""	""	""	""	""	"RAJKUMAR MANJHI"	""	""	""	""	""	""	"RAM AADHAR CHAUDHARY"	""	""	""	""	""	"RAM NARESH PRASAD"	""	""	""	""	""	""	"SHIV SHANKAR PRASAD"	""	""	""	""	""	""	""	"No. of valid"	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""
"81"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""
"82"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"1"	"2"	""	""	"3"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	""
"84"	"43"	"92"	""	""	"132"	""	""	""	"2"	""	""	""	""	"5"	""	""	""	""	""	"154"	""	""	""	""	"8"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"400"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"44"	"66"	""	""	"269"	""	""	""	"7"	""	""	""	""	"1"	""	""	""	""	""	"31"	""	""	""	""	"14"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	"6"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	"4"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"429"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"429"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"45"	"72"	""	""	"331"	""	""	""	"9"	""	""	""	""	"5"	""	""	""	""	""	"62"	""	""	""	""	"16"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	"9"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	""	""	"51"	""	""	""	""	""	""	""	"570"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"570"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"46"	"164"	""	""	"119"	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	"7"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"6"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"4"	""	""	""	""	""	"8"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"333"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"333"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"47"	"102"	""	""	"34"	""	""	""	"7"	""	""	""	""	"5"	""	""	""	""	""	"60"	""	""	""	""	"5"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	"9"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"7"	""	""	""	""	""	"2"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"262"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"262"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"48"	"1"	""	""	"8"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"482"	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"492"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"492"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"49"	"673"	""	""	"77"	""	""	""	"7"	""	""	""	""	"1"	""	""	""	""	""	"44"	""	""	""	""	"3"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"816"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"816"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"50"	"11"	""	""	"27"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"470"	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"511"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"511"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"51"	"18"	""	""	"250"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"33"	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"18"	""	""	""	""	""	""	""	"320"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"320"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"52"	"371"	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"6"	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"380"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"380"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"53"	"8"	""	""	"177"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"191"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"191"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"54"	"228"	""	""	"156"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	"21"	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"7"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"421"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"421"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"55"	"392"	""	""	"107"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"507"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"507"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"56"	"349"	""	""	"23"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"400"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"Total"	"2547"	""	""	"1711"	""	""	""	"42"	""	""	""	""	"18"	""	""	""	""	""	"1369"	""	""	""	""	"65"	""	""	""	""	""	""	""	"19"	""	""	""	""	""	"32"	""	""	""	""	""	""	"45"	""	""	""	""	""	""	"50"	""	""	""	""	""	"18"	""	""	""	""	""	""	"116"	""	""	""	""	""	""	""	"6032"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"6032"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"Place    Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Date     27-02-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"Total no. of"	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""
"103"	"of"	"AJAY PASWAN"	""	""	"JITAN  RAM MANJHI"	""	""	""	""	"VIJAY PRASAD"	""	""	""	""	"RAJENDRA RAJVANSHI"	""	""	""	""	""	"SHYAMDEO PASWAN"	""	""	""	""	""	"CHANDRA MANJHI"	""	""	""	""	""	""	""	"DHANANJAY PASWAN"	""	""	""	""	""	"NARESH RAM"	""	""	""	""	""	""	"RAJKUMAR MANJHI"	""	""	""	""	""	""	"RAM AADHAR CHAUDHARY"	""	""	""	""	""	""	"RAM NARESH PRASAD"	""	""	""	""	""	"SHIV SHANKAR PRASAD"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""
"104"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""
