"PART.I"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"245"	"164"	"22"	"20"	"178"	"127"	"6"	"3"	"7"	"8"	"371"	""	"371"	""
"246"	"165"	"192"	"6"	"379"	"104"	"9"	"9"	"5"	"14"	"718"	""	"718"	""
"247"	"166"	"152"	"4"	"115"	"234"	"11"	"11"	"3"	"9"	"539"	""	"539"	""
"248"	"167"	"16"	"5"	"123"	"31"	"7"	"6"	"1"	"15"	"204"	""	"204"	""
"249"	"168"	"81"	"30"	"307"	"171"	"8"	"13"	"11"	"22"	"643"	""	"643"	""
"250"	"Page Total"	"24035"	"1816"	"39768"	"9325"	"1207"	"1225"	"825"	"2251"	"80452"	"0"	"80452"	"0"
"251"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"Serial No.of Polling Station*"	"Ashok Kumar"	"Upendra Das"	"Gajendra Prasad Singh"	"Vijay Kumar Choudhar y"	"Imteyaz Alam"	"Awadhesh Kumar Jha"	"Yogend ra Malik"	"Ram Kumar Prasad Singh"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"255"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	""	""	""	""
"256"	"B.F."	"24035"	"1816"	"39768"	"9325"	"1207"	"1225"	"825"	"2251"	"80452"	"0"	"80452"	"0"
"257"	"169"	"140"	"20"	"258"	"82"	"12"	"9"	"1"	"30"	"552"	""	"552"	""
"258"	"170"	"223"	"25"	"213"	"188"	"5"	"12"	"8"	"12"	"686"	""	"686"	""
"259"	"171"	"50"	"10"	"271"	"39"	"8"	"18"	"3"	"8"	"407"	""	"407"	""
"260"	"172"	"217"	"26"	"147"	"142"	"10"	"14"	"9"	"30"	"595"	""	"595"	""
"261"	"173"	"95"	"23"	"425"	"69"	"16"	"16"	"11"	"26"	"681"	""	"681"	""
"262"	"174"	"244"	"14"	"161"	"141"	"4"	"11"	"3"	"10"	"588"	""	"588"	""
"263"	"175"	"295"	"4"	"96"	"105"	"5"	"8"	"5"	"8"	"526"	""	"526"	""
"264"	"176"	"208"	"18"	"117"	"236"	"14"	"16"	"6"	"17"	"632"	""	"632"	""
"265"	"177"	"129"	"49"	"181"	"160"	"16"	"11"	"12"	"42"	"600"	""	"600"	""
"266"	"178"	"84"	"49"	"239"	"79"	"18"	"13"	"12"	"44"	"538"	""	"538"	""
"267"	"179"	"68"	"25"	"128"	"210"	"26"	"5"	"15"	"34"	"511"	""	"511"	""
"268"	"180"	"113"	"13"	"102"	"122"	"12"	"11"	"4"	"17"	"394"	""	"394"	""
"269"	"181"	"19"	"5"	"209"	"137"	"22"	"5"	"3"	"11"	"411"	""	"411"	""
"270"	"182"	"275"	"12"	"121"	"143"	"9"	"8"	"10"	"17"	"595"	""	"595"	""
"271"	"Page Total"	"26195"	"2109"	"42436"	"11178"	"1384"	"1382"	"927"	"2557"	"88168"	"0"	"88168"	"0"
"272"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"Serial No.of Polling Station*"	"Ashok Kumar"	"Upendra Das"	"Gajendra Prasad Singh"	"Vijay Kumar Choudhar y"	"Imteyaz Alam"	"Awadhesh Kumar Jha"	"Yogend ra Malik"	"Ram Kumar Prasad Singh"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"276"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	""	""	""	""
"277"	"B.F."	"26195"	"2109"	"42436"	"11178"	"1384"	"1382"	"927"	"2557"	"88168"	"0"	"88168"	"0"
"278"	"183"	"315"	"9"	"160"	"158"	"13"	"9"	"4"	"38"	"706"	""	"706"	""
"279"	"184"	"339"	"6"	"195"	"96"	"10"	"9"	"6"	"19"	"680"	""	"680"	""
"280"	"185"	"225"	"7"	"109"	"35"	"1"	"1"	"2"	"1"	"381"	""	"381"	""
"281"	"186"	"129"	"28"	"90"	"45"	"4"	"6"	"1"	"8"	"311"	""	"311"	""
"282"	"187"	"173"	"25"	"320"	"45"	"16"	"13"	"9"	"21"	"622"	""	"622"	""
"283"	"188"	"174"	"3"	"75"	"80"	"7"	"7"	"2"	"8"	"356"	""	"356"	""
"284"	"189"	"332"	"8"	"252"	"115"	"12"	"12"	"5"	"14"	"750"	""	"750"	""
"285"	"190"	"257"	"21"	"174"	"186"	"3"	"5"	"4"	"16"	"666"	""	"666"	""
"286"	"191"	"307"	"9"	"94"	"84"	"1"	"2"	"4"	"7"	"508"	""	"508"	""
"287"	"192"	"432"	"4"	"110"	"47"	"4"	"0"	"2"	"6"	"605"	""	"605"	""
"288"	"193"	"401"	"7"	"238"	"137"	"12"	"8"	"10"	"20"	"833"	""	"833"	""
"289"	"194"	"276"	"7"	"107"	"100"	"2"	"5"	"2"	"2"	"501"	""	"501"	""
"290"	"195"	"253"	"10"	"117"	"141"	"6"	"1"	"6"	"14"	"548"	""	"548"	""
"291"	"196"	"303"	"11"	"84"	"194"	"11"	"8"	"5"	"10"	"626"	""	"626"	""
"292"	"Page Total"	"30111"	"2264"	"44561"	"12641"	"1486"	"1468"	"989"	"2741"	"96261"	"0"	"96261"	"0"
"293"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"295"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""
"296"	"Serial No.of Polling Station*"	"Ashok Kumar"	"Upendra Das"	"Gajendra Prasad Singh"	"Vijay Kumar Choudhar y"	"Imteyaz Alam"	"Awadhesh Kumar Jha"	"Yogend ra Malik"	"Ram Kumar Prasad Singh"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"297"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	""	""	""	""
"298"	"B.F."	"30111"	"2264"	"44561"	"12641"	"1486"	"1468"	"989"	"2741"	"96261"	"0"	"96261"	"0"
"299"	"197"	"185"	"11"	"62"	"230"	"18"	"10"	"8"	"22"	"546"	""	"546"	""
"300"	"198"	"198"	"3"	"69"	"62"	"8"	"3"	"4"	"15"	"362"	""	"362"	""
"301"	"199"	"170"	"10"	"104"	"174"	"10"	"12"	"8"	"18"	"506"	""	"506"	""
"302"	"200"	"83"	"7"	"227"	"52"	"9"	"9"	"8"	"13"	"408"	""	"408"	""
"303"	"201"	"52"	"7"	"128"	"151"	"13"	"4"	"4"	"28"	"387"	""	"387"	""
"304"	"202"	"44"	"8"	"276"	"174"	"10"	"13"	"10"	"19"	"554"	""	"554"	""
"305"	"203"	"22"	"6"	"207"	"126"	"11"	"5"	"3"	"21"	"401"	""	"401"	""
"306"	"204"	"63"	"8"	"99"	"93"	"20"	"13"	"7"	"37"	"340"	""	"340"	""
"307"	"205"	"54"	"8"	"171"	"58"	"10"	"4"	"3"	"10"	"318"	""	"318"	""
"308"	"Page Total"	"30982"	"2332"	"45904"	"13761"	"1595"	"1541"	"1044"	"2924"	"100083"	"0"	"100083"	"0"
"309"	"Total No of votes recorded at Polling Stations"	"30982"	"2332"	"45904"	"13761"	"1595"	"1541"	"1044"	"2924"	"100083"	"0"	"100083"	"0"
"310"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"311"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"312"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"Serial No.of Polling Station*"	"Ashok Kumar"	"Upendra Das"	"Gajendra Prasad Singh"	"Vijay Kumar Choudhar y"	"Imteyaz Alam"	"Awadhesh Kumar Jha"	"Yogend ra Malik"	"Ram Kumar Prasad Singh"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"314"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	""	""	""	""
"315"	"No. of Votes recorded on Postal ballot Papers"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"4"	""	"4"	""
"316"	"Total Votes Polled"	"30984"	"2332"	"45906"	"13761"	"1595"	"1541"	"1044"	"2924"	"100087"	"0"	"100087"	"0"
"317"	"Place :- SAMASTIPUE COLLEGE, SAMASTIPUR                                                  Asstt. R.O."	""	""	""	""	""	""	""	""	""	""	""	""
"318"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""
"319"	"100- Rosera"	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"Date:- 27th Feb 2005                                                                                                                                             Samastipur"	""	""	""	""	""	""	""	""	""	""	""	""
