"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"157"	"147"	"257"	"79"	"60"	"38"	"5"	"17"	"9"	"3"	"4"	"7"	"5"	"12"	"15"	"-511"	"0"	"-511"	"NIL"	""
"158"	"148"	"252"	"54"	"14"	"62"	"5"	"19"	"1"	"0"	"0"	"2"	"2"	"2"	"5"	"-418"	"0"	"-418"	"NIL"	""
"159"	"149"	"0"	"145"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"-148"	"0"	"-148"	"NIL"	""
"160"	"150"	"168"	"192"	"64"	"47"	"28"	"7"	"13"	"0"	"6"	"5"	"6"	"26"	"7"	"-569"	"0"	"-569"	"NIL"	""
"161"	"151"	"94"	"124"	"72"	"18"	"1"	"0"	"0"	"3"	"5"	"6"	"8"	"12"	"15"	"-358"	"0"	"-358"	"NIL"	""
"162"	"152"	"407"	"61"	"77"	"33"	"1"	"0"	"3"	"3"	"0"	"7"	"6"	"3"	"2"	"-603"	"0"	"-603"	"NIL"	""
"163"	"153"	"44"	"83"	"3"	"44"	"2"	"1"	"2"	"0"	"4"	"1"	"2"	"1"	"8"	"-195"	"0"	"-195"	"NIL"	""
"164"	"PS NO."	"ASHOK KUMAR SINGH"	"MITHILESH PRASAD     YADAV"	"SHANKAR MAHTO"	"JITESH KUMAR"	"MOHAMMAD UMAR ANSARI"	"SHAKTI SAMANT"	"SURENDRA THAKUR"	"DINESH CHAUDHARY"	"DUKHAN RAM"	"RAJENDRA BHAKTA"	"RAJESH KUMAR"	"RAMPRIT RAI"	"RAM VINOD PRASAD SINGH"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF TENDERED VOTES"	""
"165"	"154"	"161"	"303"	"31"	"31"	"4"	"3"	"4"	"3"	"1"	"5"	"5"	"14"	"4"	"-569"	"0"	"-569"	"NIL"	""
"166"	"155"	"436"	"31"	"100"	"20"	"0"	"2"	"2"	"3"	"3"	"5"	"1"	"5"	"1"	"-609"	"0"	"-609"	"NIL"	""
"167"	"156"	"81"	"284"	"57"	"38"	"4"	"7"	"7"	"12"	"11"	"12"	"10"	"23"	"14"	"-560"	"0"	"-560"	"NIL"	""
"168"	"157"	"28"	"201"	"73"	"7"	"7"	"2"	"8"	"0"	"3"	"4"	"8"	"86"	"12"	"-439"	"0"	"-439"	"NIL"	""
"169"	"158"	"116"	"102"	"19"	"7"	"16"	"1"	"0"	"1"	"2"	"1"	"2"	"122"	"9"	"-398"	"0"	"-398"	"NIL"	""
"170"	"159"	"140"	"173"	"39"	"28"	"13"	"0"	"3"	"1"	"3"	"5"	"10"	"12"	"4"	"-431"	"0"	"-431"	"NIL"	""
"171"	"160"	"146"	"78"	"5"	"153"	"3"	"4"	"2"	"7"	"2"	"6"	"2"	"4"	"9"	"-421"	"0"	"-421"	"NIL"	""
"172"	"161"	"136"	"100"	"4"	"6"	"0"	"3"	"1"	"1"	"5"	"4"	"7"	"106"	"18"	"-391"	"0"	"-391"	"NIL"	""
"173"	"162"	"110"	"65"	"2"	"45"	"58"	"3"	"5"	"2"	"3"	"4"	"4"	"33"	"5"	"-339"	"0"	"-339"	"NIL"	""
"174"	"163"	"462"	"7"	"0"	"16"	"0"	"44"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"-531"	"0"	"-531"	"NIL"	""
"175"	"164"	"496"	"170"	"74"	"15"	"1"	"0"	"0"	"3"	"4"	"0"	"4"	"20"	"14"	"-801"	"0"	"-801"	"NIL"	""
"176"	"165"	"323"	"21"	"2"	"15"	"0"	"3"	"0"	"0"	"1"	"0"	"0"	"3"	"2"	"-370"	"0"	"-370"	"NIL"	""
"177"	"166"	"147"	"266"	"11"	"16"	"2"	"1"	"2"	"3"	"1"	"3"	"4"	"4"	"10"	"-470"	"0"	"-470"	"NIL"	""
"178"	"167"	"40"	"326"	"16"	"7"	"4"	"6"	"2"	"0"	"3"	"3"	"5"	"48"	"11"	"-471"	"0"	"-471"	"NIL"	""
"179"	"168"	"421"	"12"	"1"	"8"	"4"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"5"	"-453"	"0"	"-453"	"NIL"	""
"180"	"169"	"87"	"159"	"44"	"23"	"5"	"3"	"2"	"3"	"2"	"4"	"3"	"4"	"4"	"-343"	"0"	"-343"	"NIL"	""
"181"	"170"	"17"	"156"	"8"	"29"	"14"	"1"	"0"	"0"	"1"	"2"	"2"	"6"	"2"	"-238"	"0"	"-238"	"NIL"	""
"182"	"171"	"379"	"5"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-386"	"0"	"-386"	"NIL"	""
"183"	"172"	"78"	"66"	"5"	"21"	"66"	"3"	"4"	"3"	"2"	"4"	"2"	"5"	"15"	"-274"	"0"	"-274"	"NIL"	""
"184"	"173"	"173"	"1"	"0"	"5"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"-181"	"0"	"-181"	"NIL"	""
"185"	"174"	"281"	"25"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"-311"	"0"	"-311"	"NIL"	""
"186"	"175"	"255"	"139"	"23"	"4"	"4"	"4"	"4"	"1"	"2"	"4"	"6"	"4"	"8"	"-458"	"0"	"-458"	"NIL"	""
"187"	"176"	"50"	"189"	"6"	"1"	"1"	"3"	"1"	"2"	"0"	"2"	"1"	"3"	"10"	"-269"	"0"	"-269"	"NIL"	""
"188"	"177"	"798"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-801"	"0"	"-801"	"NIL"	""
"189"	"178"	"496"	"114"	"5"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"-621"	"0"	"-621"	"NIL"	""
"190"	"179"	"652"	"15"	"1"	"20"	"0"	"1"	"3"	"0"	"2"	"4"	"0"	"1"	"3"	"-702"	"0"	"-702"	"NIL"	""
"191"	"180"	"81"	"115"	"6"	"9"	"1"	"1"	"4"	"3"	"0"	"5"	"3"	"46"	"5"	"-279"	"0"	"-279"	"NIL"	""
"192"	"181"	"157"	"123"	"7"	"14"	"1"	"2"	"1"	"0"	"3"	"1"	"6"	"108"	"17"	"-440"	"0"	"-440"	"NIL"	""
"193"	"182"	"7"	"34"	"247"	"13"	"8"	"2"	"1"	"0"	"2"	"0"	"1"	"9"	"1"	"-325"	"0"	"-325"	"NIL"	""
"194"	"183"	"585"	"24"	"3"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"-631"	"0"	"-631"	"NIL"	""
"195"	"184"	"165"	"255"	"24"	"38"	"6"	"6"	"6"	"6"	"2"	"2"	"12"	"21"	"7"	"-550"	"0"	"-550"	"NIL"	""
"196"	"PS NO."	"ASHOK KUMAR SINGH"	"MITHILESH PRASAD     YADAV"	"SHANKAR MAHTO"	"JITESH KUMAR"	"MOHAMMAD UMAR ANSARI"	"SHAKTI SAMANT"	"SURENDRA THAKUR"	"DINESH CHAUDHARY"	"DUKHAN RAM"	"RAJENDRA BHAKTA"	"RAJESH KUMAR"	"RAMPRIT RAI"	"RAM VINOD PRASAD SINGH"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF TENDERED VOTES"	""
"197"	"185"	"309"	"8"	"38"	"16"	"11"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-386"	"0"	"-386"	"NIL"	""
"198"	"186"	"10"	"27"	"3"	"4"	"42"	"0"	"1"	"1"	"0"	"0"	"0"	"7"	"1"	"-96"	"0"	"-96"	"NIL"	""
"199"	"187"	"236"	"80"	"9"	"7"	"2"	"2"	"3"	"1"	"1"	"0"	"2"	"6"	"8"	"-357"	"0"	"-357"	"NIL"	""
"200"	"188"	"165"	"177"	"86"	"5"	"0"	"3"	"5"	"2"	"3"	"11"	"10"	"23"	"32"	"-522"	"0"	"-522"	"NIL"	""
"201"	"189"	"64"	"69"	"93"	"44"	"7"	"3"	"1"	"2"	"6"	"2"	"12"	"5"	"16"	"-324"	"0"	"-324"	"NIL"	""
"202"	"190"	"150"	"183"	"16"	"15"	"0"	"2"	"1"	"1"	"2"	"2"	"1"	"1"	"4"	"-378"	"0"	"-378"	"NIL"	""
"203"	"191"	"141"	"54"	"76"	"60"	"11"	"2"	"4"	"1"	"2"	"6"	"6"	"16"	"6"	"-385"	"0"	"-385"	"NIL"	""
"204"	"192"	"18"	"49"	"8"	"84"	"3"	"3"	"7"	"1"	"3"	"7"	"1"	"46"	"5"	"-235"	"0"	"-235"	"NIL"	""
"205"	"193"	"64"	"69"	"24"	"17"	"2"	"3"	"3"	"4"	"2"	"3"	"12"	"11"	"26"	"-240"	"0"	"-240"	"NIL"	""
"206"	"194"	"57"	"73"	"5"	"321"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"17"	"0"	"-477"	"0"	"-477"	"NIL"	""
"207"	"195"	"98"	"58"	"2"	"292"	"2"	"0"	"3"	"0"	"0"	"0"	"2"	"7"	"1"	"-465"	"0"	"-465"	"NIL"	""
"208"	"196"	"41"	"205"	"65"	"59"	"25"	"5"	"5"	"8"	"8"	"15"	"13"	"124"	"7"	"-580"	"0"	"-580"	"NIL"	""
"209"	"197"	"16"	"243"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"-266"	"0"	"-266"	"NIL"	""
"210"	"198"	"39"	"264"	"17"	"57"	"7"	"2"	"3"	"1"	"4"	"5"	"5"	"21"	"11"	"-436"	"0"	"-436"	"NIL"	""
"211"	"199"	"45"	"397"	"7"	"33"	"14"	"2"	"1"	"1"	"2"	"6"	"5"	"14"	"13"	"-540"	"0"	"-540"	"NIL"	""
"212"	"200"	"32"	"17"	"26"	"655"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"5"	"0"	"-736"	"0"	"-736"	"NIL"	""
"213"	"201"	"11"	"20"	"1"	"402"	"3"	"0"	"0"	"0"	"2"	"2"	"0"	"0"	"0"	"-441"	"0"	"-441"	"NIL"	""
"214"	"202"	"69"	"28"	"5"	"372"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"2"	"2"	"-482"	"0"	"-482"	"NIL"	""
"215"	"203"	"97"	"382"	"23"	"16"	"4"	"3"	"5"	"4"	"2"	"12"	"13"	"57"	"26"	"-644"	"0"	"-644"	"NIL"	""
"216"	"204"	"168"	"128"	"64"	"48"	"5"	"2"	"4"	"1"	"10"	"15"	"10"	"23"	"24"	"-502"	"0"	"-502"	"NIL"	""
"217"	"205"	"441"	"120"	"10"	"20"	"5"	"7"	"5"	"2"	"0"	"3"	"3"	"49"	"5"	"-670"	"0"	"-670"	"NIL"	""
"218"	"206"	"595"	"202"	"7"	"4"	"7"	"0"	"1"	"1"	"6"	"3"	"8"	"7"	"10"	"-851"	"0"	"-851"	"NIL"	""
"219"	"207"	"161"	"140"	"12"	"178"	"10"	"5"	"6"	"12"	"8"	"18"	"16"	"20"	"55"	"-641"	"0"	"-641"	"NIL"	""
"220"	"208"	"37"	"224"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-265"	"0"	"-265"	"NIL"	""
"221"	"209"	"87"	"30"	"4"	"47"	"3"	"1"	"1"	"0"	"4"	"2"	"2"	"1"	"3"	"-185"	"0"	"-185"	"NIL"	""
"222"	"210"	"160"	"133"	"7"	"36"	"2"	"2"	"3"	"2"	"1"	"2"	"3"	"3"	"4"	"-358"	"0"	"-358"	"NIL"	""
"223"	"211"	"459"	"75"	"17"	"17"	"54"	"4"	"3"	"3"	"3"	"6"	"8"	"97"	"15"	"-761"	"0"	"-761"	"NIL"	""
"224"	"212"	"410"	"74"	"6"	"23"	"4"	"0"	"1"	"1"	"1"	"0"	"2"	"31"	"8"	"-561"	"0"	"-561"	"NIL"	""
"225"	"213"	"281"	"7"	"4"	"10"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"7"	"0"	"-311"	"0"	"-311"	"NIL"	""
"226"	"214"	"213"	"62"	"6"	"36"	"5"	"1"	"3"	"1"	"1"	"3"	"3"	"46"	"14"	"-394"	"0"	"-394"	"NIL"	""
"227"	"215"	"151"	"154"	"15"	"7"	"84"	"2"	"0"	"1"	"6"	"2"	"6"	"11"	"17"	"-456"	"0"	"-456"	"NIL"	""
"228"	"PS NO."	"ASHOK KUMAR SINGH"	"MITHILESH PRASAD     YADAV"	"SHANKAR MAHTO"	"JITESH KUMAR"	"MOHAMMAD UMAR ANSARI"	"SHAKTI SAMANT"	"SURENDRA THAKUR"	"DINESH CHAUDHARY"	"DUKHAN RAM"	"RAJENDRA BHAKTA"	"RAJESH KUMAR"	"RAMPRIT RAI"	"RAM VINOD PRASAD SINGH"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF TENDERED VOTES"	""
"229"	"216"	"110"	"100"	"14"	"2"	"3"	"1"	"3"	"1"	"1"	"3"	"4"	"17"	"17"	"-276"	"0"	"-276"	"NIL"	""
"230"	"217"	"154"	"87"	"109"	"13"	"26"	"3"	"5"	"1"	"2"	"1"	"2"	"2"	"5"	"-410"	"0"	"-410"	"NIL"	""
"231"	"218"	"102"	"49"	"20"	"67"	"5"	"0"	"1"	"2"	"0"	"1"	"0"	"0"	"5"	"-252"	"0"	"-252"	"NIL"	""
"232"	"219"	"91"	"77"	"19"	"126"	"4"	"7"	"9"	"1"	"4"	"8"	"9"	"19"	"17"	"-391"	"0"	"-391"	"NIL"	""
"233"	"220"	"185"	"162"	"35"	"2"	"3"	"0"	"4"	"1"	"3"	"6"	"12"	"18"	"21"	"-452"	"0"	"-452"	"NIL"	""
"234"	"221"	"273"	"47"	"43"	"3"	"1"	"0"	"7"	"1"	"1"	"1"	"2"	"4"	"8"	"-391"	"0"	"-391"	"NIL"	""
"235"	"222"	"378"	"122"	"25"	"34"	"9"	"0"	"1"	"1"	"3"	"2"	"4"	"18"	"6"	"-603"	"0"	"-603"	"NIL"	""
"236"	"223"	"177"	"58"	"6"	"43"	"38"	"6"	"2"	"1"	"0"	"5"	"5"	"3"	"16"	"-360"	"0"	"-360"	"NIL"	""
"237"	"224"	"154"	"236"	"13"	"26"	"3"	"5"	"3"	"1"	"3"	"3"	"12"	"6"	"16"	"-481"	"0"	"-481"	"NIL"	""
"238"	"225"	"226"	"278"	"16"	"66"	"4"	"2"	"2"	"2"	"1"	"4"	"6"	"6"	"22"	"-635"	"0"	"-635"	"NIL"	""
"239"	"226"	"356"	"162"	"11"	"8"	"1"	"4"	"6"	"1"	"4"	"4"	"3"	"7"	"25"	"-592"	"0"	"-592"	"NIL"	""
"240"	"227"	"591"	"73"	"63"	"6"	"1"	"2"	"2"	"1"	"0"	"1"	"1"	"1"	"9"	"-751"	"0"	"-751"	"NIL"	""
"241"	"228"	"398"	"107"	"6"	"19"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"2"	"0"	"-536"	"0"	"-536"	"NIL"	""
"242"	"229"	"94"	"254"	"18"	"58"	"4"	"10"	"6"	"2"	"6"	"5"	"12"	"36"	"15"	"-520"	"0"	"-520"	"NIL"	""
"243"	"230"	"186"	"193"	"12"	"45"	"7"	"2"	"4"	"1"	"4"	"6"	"17"	"121"	"24"	"-622"	"0"	"-622"	"NIL"	""
"244"	"231"	"29"	"169"	"6"	"164"	"10"	"3"	"3"	"4"	"4"	"13"	"5"	"129"	"19"	"-558"	"0"	"-558"	"NIL"	""
"245"	"232"	"154"	"432"	"23"	"139"	"7"	"3"	"3"	"2"	"3"	"7"	"7"	"12"	"12"	"-804"	"0"	"-804"	"NIL"	""
"246"	"233"	"317"	"22"	"1"	"532"	"5"	"0"	"1"	"0"	"0"	"2"	"0"	"1"	"0"	"-881"	"0"	"-881"	"NIL"	""
"247"	"Total"	"34058"	"38076"	"5469"	"10748"	"2288"	"561"	"672"	"420"	"590"	"933"	"1281"	"7984"	"2641"	"-105721"	"0"	"-105721"	"NIL"	""
"248"	"TOTAL NO OF VOTES RECORDED AT POLLING STATIONS"	""	""	""	""	""	""	""	""	"105721"	""	""	""	""	""	""	""	""	""
"249"	"NO OF VOTES RECORDED ON POSTAL BALLOT PAPERS."	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""
"250"	"TOTAL VOTES POLLED"	""	""	""	""	""	""	""	""	"105723"	""	""	""	""	""	""	""	""	""
"251"	"PLACE : MUZAFFARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"DATE : 27-02-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"ASSISTANT RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
