"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"FINAL RESULT SHEET SEE RULE 56"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"(To be used for recording the result of voting at polling stations other than notified polling stations) Election to the Vidhan Sabha from the 151-Gopalpur Assembly constituency:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly constituency:-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No. of valid votes      cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Serial No.
of Polling Station"	"AMIT RANA"	"NARENDRA KU. NIRAJ"	"VASUKI KUMAR MANDAL"	"ANIL KUMAR YADAV"	"GYANESHWAR PD. YADAV"	"VINDESHWARI MANDAL"	"SUBODH SAH"	"TEJ BAHADUR SINGH"	"RAMVILASH PASWAN"	"SHASHI
BHUSHAN YADAV"	"SURAJ
KUMAR YADAV"	"Total No.
of valid votes"	"No. of
rejected botes"	"Total"	"No. of
tendered votes"
"197"	"Serial No.
of Polling Station"	"AMIT RANA"	"NARENDRA KU. NIRAJ"	"VASUKI KUMAR MANDAL"	"ANIL KUMAR YADAV"	"GYANESHWAR PD. YADAV"	"VINDESHWARI MANDAL"	"SUBODH SAH"	"TEJ BAHADUR SINGH"	"RAMVILASH PASWAN"	"SHASHI
BHUSHAN YADAV"	"SURAJ
KUMAR YADAV"	"Total No.
of valid votes"	"No. of
rejected botes"	"Total"	"No. of
tendered votes"
"198"	"B F"	"49014"	"34628"	"1029"	"4675"	"535"	"793"	"1592"	"487"	"788"	"879"	"2035"	""	""	"96455"	""
"199"	"168"	"161"	"85"	"5"	"10"	"1"	"1"	"0"	"1"	"0"	"1"	"6"	""	""	"271"	""
"200"	"169"	"66"	"20"	"27"	"211"	"10"	"3"	"6"	"7"	"6"	"6"	"10"	""	""	"372"	""
"201"	"170"	"22"	"636"	"5"	"10"	"0"	"0"	"1"	"0"	"6"	"13"	"12"	""	""	"705"	""
"202"	"170 K"	"5"	"352"	"0"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	""	""	"361"	""
"203"	"171"	"47"	"266"	"4"	"65"	"9"	"4"	"7"	"7"	"4"	"4"	"15"	""	""	"432"	""
"204"	"172"	"51"	"416"	"4"	"222"	"3"	"11"	"7"	"12"	"14"	"19"	"17"	""	""	"776"	""
"205"	"173"	"63"	"333"	"8"	"248"	"7"	"4"	"3"	"5"	"8"	"4"	"13"	""	""	"696"	""
"206"	"174"	"308"	"304"	"6"	"7"	"2"	"0"	"2"	"1"	"6"	"1"	"6"	""	""	"643"	""
"207"	"175"	"661"	"2"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"665"	""
"208"	"176"	"16"	"672"	"3"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"694"	""
"209"	"177"	"983"	"2"	"3"	"56"	"7"	"3"	"3"	"0"	"1"	"1"	"2"	""	""	"1061"	""
"210"	"178"	"129"	"0"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	"138"	""
"211"	"179"	"341"	"214"	"4"	"5"	"0"	"3"	"8"	"1"	"7"	"7"	"5"	""	""	"595"	""
"212"	"180"	"263"	"26"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	""	""	"292"	""
"213"	"181"	"267"	"187"	"8"	"114"	"6"	"7"	"8"	"5"	"5"	"4"	"14"	""	""	"625"	""
"214"	"182"	"156"	"205"	"6"	"26"	"4"	"3"	"1"	"3"	"3"	"5"	"12"	""	""	"424"	""
"215"	"183"	"67"	"371"	"9"	"183"	"2"	"5"	"4"	"4"	"4"	"12"	"16"	""	""	"677"	""
"216"	"184"	"152"	"175"	"6"	"56"	"4"	"3"	"6"	"6"	"4"	"4"	"9"	""	""	"425"	""
"217"	"185"	"114"	"189"	"8"	"339"	"6"	"2"	"3"	"4"	"4"	"3"	"14"	""	""	"686"	""
"218"	"186"	"211"	"87"	"15"	"114"	"6"	"2"	"5"	"8"	"8"	"7"	"15"	""	""	"478"	""
"219"	"187"	"252"	"412"	"12"	"62"	"4"	"2"	"3"	"4"	"4"	"7"	"11"	""	""	"773"	""
"220"	"188"	"110"	"608"	"7"	"146"	"2"	"2"	"1"	"5"	"40"	"5"	"5"	""	""	"931"	""
"221"	"189"	"180"	"151"	"5"	"115"	"4"	"8"	"11"	"5"	"40"	"5"	"23"	""	""	"547"	""
"222"	"190"	"72"	"27"	"10"	"277"	"13"	"11"	"20"	"21"	"54"	"9"	"57"	""	""	"571"	""
"223"	"191"	"104"	"69"	"8"	"200"	"4"	"2"	"4"	"7"	"7"	"6"	"7"	""	""	"418"	""
"224"	"192"	"60"	"254"	"10"	"274"	"13"	"7"	"10"	"9"	"11"	"7"	"17"	""	""	"672"	""
"225"	"193"	"299"	"17"	"6"	"381"	"11"	"8"	"13"	"17"	"6"	"6"	"26"	""	""	"790"	""
"226"	"194"	"60"	"194"	"19"	"279"	"9"	"7"	"20"	"4"	"8"	"5"	"18"	""	""	"623"	""
"227"	"CF"	"54234"	"40902"	"1227"	"8090"	"663"	"891"	"1740"	"624"	"1039"	"1021"	"2365"	""	""	"112796"	""
"228"	"No. of valid votes      cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"Serial No.
of Polling Station"	"AMIT RANA"	"NARENDRA KU. NIRAJ"	"VASUKI KUMAR MANDAL"	"ANIL KUMAR YADAV"	"GYANESHWAR PD. YADAV"	"VINDESHWARI MANDAL"	"SUBODH SAH"	"TEJ BAHADUR SINGH"	"RAMVILASH PASWAN"	"SHASHI
BHUSHAN YADAV"	"SURAJ
KUMAR YADAV"	"Total No.
of valid votes"	"No. of
rejected botes"	"Total"	"No. of
tendered votes"
"230"	"B F"	"54234"	"40902"	"1227"	"8090"	"663"	"891"	"1740"	"624"	"1039"	"1021"	"2365"	""	""	"112796"	""
"231"	"195"	"20"	"238"	"48"	"46"	"0"	"4"	"2"	"6"	"1"	"5"	"12"	""	""	"382"	""
"232"	"196"	"84"	"64"	"184"	"21"	"2"	"1"	"7"	"2"	"7"	"7"	"9"	""	""	"388"	""
"233"	"Total No. of votes recorded at polling st."	"54338"	"41204"	"1459"	"8157"	"665"	"896"	"1749"	"632"	"1047"	"1033"	"2386"	""	""	"113566"	""
"234"	"No. of votes recorded on postal ballot papers"	""	"2"	""	""	""	""	""	""	""	""	""	""	""	"2"	""
"235"	"Total votes polled"	"54338"	"41206"	"1459"	"8157"	"665"	"896"	"1749"	"632"	"1047"	"1033"	"2386"	""	""	"113568"	""
"236"	"Place:- RAJKIYA  POLYTECHNIC COLLAGE BHAGALPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"DATE:- 27-02-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"151- Gopalpur Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
