"X.Statutory.Rules.and.Order........................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"156"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"158"	""	"ANANDI PRASAD YADAV"	"JAMIL AKHTAR"	"MANGAL KUMAR RAM"	"VIJAY KUMAR YADAV"	"MD. HAIDER YASIN"	"AFTAB AZIM"	"MD. ISMAIL AZAD"	"KHUSHI LAL SAH"	"KHOSHI DEVI"	"DILIP KUMAR YADAV"	"DEVA NAND MANDAL"	"BALAK DAS RISHI"	"MURLIDHAR MANDAL"	"MD. MURSHID ALAM"	"RANJEET YADAV"	"HASNAIN MIRZA"	""	""	""	""
"159"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"160"	"85"	"105"	"2"	"4"	"164"	"9"	"195"	"3"	"5"	"2"	"3"	"15"	"9"	"109"	"6"	"11"	"5"	"647"	""	"647"	""
"161"	"86"	"35"	"6"	"9"	"15"	"348"	"179"	"9"	"14"	"12"	"7"	"13"	"9"	"5"	"25"	"3"	"6"	"695"	""	"695"	""
"162"	"87"	"94"	"1"	"1"	"3"	"67"	"313"	"3"	"2"	"2"	"5"	"10"	"2"	"2"	"1"	"0"	"2"	"508"	""	"508"	""
"163"	"88"	"17"	"4"	"3"	"3"	"78"	"365"	"3"	"8"	"2"	"18"	"22"	"7"	"1"	"6"	"3"	"15"	"555"	""	"555"	""
"164"	"89"	"24"	"2"	"2"	"6"	"96"	"346"	"9"	"4"	"3"	"12"	"10"	"5"	"18"	"2"	"0"	"7"	"546"	""	"546"	""
"165"	"90"	"9"	"0"	"2"	"4"	"20"	"517"	"7"	"6"	"10"	"5"	"15"	"6"	"1"	"1"	"2"	"1"	"606"	""	"606"	""
"166"	"91"	"2"	"0"	"1"	"2"	"32"	"639"	"3"	"1"	"1"	"6"	"18"	"6"	"1"	"4"	"0"	"5"	"721"	""	"721"	""
"167"	"92"	"52"	"12"	"6"	"92"	"63"	"47"	"5"	"17"	"3"	"10"	"6"	"3"	"44"	"8"	"10"	"196"	"574"	""	"574"	""
"168"	"93"	"73"	"5"	"1"	"54"	"65"	"28"	"3"	"20"	"5"	"2"	"1"	"2"	"129"	"2"	"9"	"138"	"537"	""	"537"	""
"169"	"94"	"10"	"7"	"0"	"18"	"18"	"58"	"2"	"12"	"1"	"2"	"3"	"3"	"171"	"5"	"10"	"283"	"603"	""	"603"	""
"170"	"95"	"168"	"9"	"4"	"100"	"8"	"29"	"1"	"24"	"9"	"2"	"1"	"3"	"144"	"2"	"4"	"15"	"523"	""	"523"	""
"171"	"96"	"28"	"1"	"6"	"51"	"5"	"29"	"2"	"6"	"3"	"3"	"2"	"6"	"258"	"3"	"3"	"4"	"410"	""	"410"	""
"172"	"97"	"37"	"15"	"2"	"3"	"34"	"171"	"1"	"5"	"9"	"9"	"7"	"5"	"166"	"0"	"9"	"4"	"477"	""	"477"	""
"173"	"98"	"109"	"8"	"0"	"44"	"3"	"26"	"0"	"1"	"2"	"0"	"0"	"1"	"41"	"0"	"40"	"2"	"277"	""	"277"	""
"174"	"Current Round Total"	"763"	"72"	"41"	"559"	"846"	"2942"	"51"	"125"	"64"	"84"	"123"	"67"	"1090"	"65"	"104"	"683"	"7679"	"0"	"7679"	"0"
"175"	"Previous Round Total"	"5133"	"788"	"589"	"2924"	"3235"	"10271"	"403"	"817"	"544"	"526"	"839"	"914"	"20711"	"470"	"598"	"1691"	"50453"	"0"	"50453"	"0"
"176"	"TOTAL"	"5896"	"860"	"630"	"3483"	"4081"	"13213"	"454"	"942"	"608"	"610"	"962"	"981"	"21801"	"535"	"702"	"2374"	"58132"	"0"	"58132"	"0"
"177"	"(Statutory Rules and Order)                                                       ROUND : EIGHTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"183"	""	"ANANDI PRASAD YADAV"	"JAMIL AKHTAR"	"MANGAL KUMAR RAM"	"VIJAY KUMAR YADAV"	"MD. HAIDER YASIN"	"AFTAB AZIM"	"MD. ISMAIL AZAD"	"KHUSHI LAL SAH"	"KHOSHI DEVI"	"DILIP KUMAR YADAV"	"DEVA NAND MANDAL"	"BALAK DAS RISHI"	"MURLIDHAR MANDAL"	"MD. MURSHID ALAM"	"RANJEET YADAV"	"HASNAIN MIRZA"	""	""	""	""
"184"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"185"	"99"	"10"	"8"	"5"	"9"	"99"	"715"	"17"	"12"	"22"	"24"	"32"	"15"	"7"	"8"	"2"	"8"	"993"	""	"993"	""
"186"	"100"	"6"	"3"	"6"	"96"	"39"	"220"	"4"	"10"	"6"	"17"	"17"	"11"	"7"	"71"	"5"	"15"	"533"	""	"533"	""
"187"	"101"	"80"	"2"	"5"	"299"	"22"	"162"	"4"	"4"	"9"	"7"	"7"	"4"	"0"	"1"	"13"	"5"	"624"	""	"624"	""
"188"	"102"	"7"	"2"	"3"	"60"	"31"	"324"	"5"	"5"	"10"	"16"	"13"	"6"	"8"	"8"	"0"	"6"	"504"	""	"504"	""
"189"	"103"	"97"	"3"	"7"	"217"	"12"	"109"	"3"	"10"	"2"	"3"	"3"	"5"	"66"	"1"	"12"	"12"	"562"	""	"562"	""
"190"	"104"	"76"	"8"	"6"	"288"	"13"	"44"	"7"	"20"	"8"	"3"	"2"	"5"	"186"	"2"	"4"	"2"	"674"	""	"674"	""
"191"	"105"	"74"	"0"	"5"	"144"	"8"	"10"	"0"	"13"	"2"	"2"	"3"	"1"	"141"	"1"	"3"	"5"	"412"	""	"412"	""
"192"	"106"	"136"	"5"	"1"	"88"	"8"	"76"	"3"	"18"	"10"	"3"	"8"	"6"	"346"	"2"	"17"	"5"	"732"	""	"732"	""
"193"	"107"	"100"	"8"	"3"	"86"	"18"	"128"	"6"	"27"	"10"	"7"	"12"	"4"	"131"	"21"	"23"	"5"	"589"	""	"589"	""
"194"	"108"	"164"	"3"	"3"	"226"	"23"	"15"	"2"	"8"	"3"	"3"	"3"	"1"	"3"	"25"	"8"	"4"	"494"	""	"494"	""
"195"	"109"	"71"	"12"	"2"	"4"	"10"	"69"	"4"	"14"	"7"	"2"	"8"	"5"	"335"	"7"	"8"	"3"	"561"	""	"561"	""
"196"	"110"	"79"	"6"	"5"	"21"	"5"	"57"	"7"	"18"	"4"	"2"	"9"	"8"	"200"	"3"	"23"	"5"	"452"	""	"452"	""
"197"	"111"	"32"	"14"	"5"	"97"	"14"	"55"	"3"	"37"	"26"	"5"	"6"	"4"	"102"	"46"	"90"	"223"	"759"	""	"759"	""
"198"	"112"	"23"	"5"	"4"	"38"	"7"	"61"	"6"	"21"	"25"	"5"	"11"	"14"	"216"	"46"	"22"	"53"	"557"	""	"557"	""
"199"	"Current Round Total"	"955"	"79"	"60"	"1673"	"309"	"2045"	"71"	"217"	"144"	"99"	"134"	"89"	"1748"	"242"	"230"	"351"	"8446"	"0"	"8446"	"0"
"200"	"Previous Round Total"	"5896"	"860"	"630"	"3483"	"4081"	"13213"	"454"	"942"	"608"	"610"	"962"	"981"	"21801"	"535"	"702"	"2374"	"58132"	"0"	"58132"	"0"
"201"	"TOTAL"	"6851"	"939"	"690"	"5156"	"4390"	"15258"	"525"	"1159"	"752"	"709"	"1096"	"1070"	"23549"	"777"	"932"	"2725"	"66578"	"0"	"66578"	"0"
"202"	"(Statutory Rules and Order)                                                       ROUND : NINETH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"206"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"207"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"208"	""	"ANANDI PRASAD YADAV"	"JAMIL AKHTAR"	"MANGAL KUMAR RAM"	"VIJAY KUMAR YADAV"	"MD. HAIDER YASIN"	"AFTAB AZIM"	"MD. ISMAIL AZAD"	"KHUSHI LAL SAH"	"KHOSHI DEVI"	"DILIP KUMAR YADAV"	"DEVA NAND MANDAL"	"BALAK DAS RISHI"	"MURLIDHAR MANDAL"	"MD. MURSHID ALAM"	"RANJEET YADAV"	"HASNAIN MIRZA"	""	""	""	""
"209"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"210"	"113"	"15"	"9"	"4"	"20"	"6"	"64"	"2"	"6"	"25"	"2"	"5"	"2"	"102"	"90"	"25"	"10"	"387"	""	"387"	""
"211"	"114"	"4"	"2"	"2"	"2"	"9"	"24"	"3"	"3"	"1"	"1"	"3"	"0"	"4"	"213"	"5"	"36"	"312"	""	"312"	""
"212"	"115"	"33"	"0"	"1"	"60"	"30"	"214"	"3"	"1"	"3"	"11"	"9"	"6"	"26"	"3"	"5"	"4"	"409"	""	"409"	""
"213"	"116"	"3"	"1"	"1"	"5"	"27"	"380"	"6"	"5"	"14"	"15"	"21"	"6"	"3"	"1"	"2"	"8"	"498"	""	"498"	""
"214"	"117"	"35"	"13"	"7"	"18"	"177"	"227"	"9"	"6"	"8"	"4"	"7"	"6"	"5"	"160"	"3"	"9"	"694"	""	"694"	""
"215"	"118"	"6"	"3"	"4"	"20"	"102"	"192"	"4"	"3"	"6"	"15"	"6"	"3"	"60"	"28"	"26"	"9"	"487"	""	"487"	""
"216"	"119"	"167"	"0"	"2"	"24"	"7"	"110"	"4"	"10"	"9"	"2"	"5"	"4"	"131"	"4"	"5"	"8"	"492"	""	"492"	""
"217"	"120"	"197"	"10"	"5"	"28"	"47"	"196"	"4"	"10"	"6"	"7"	"10"	"4"	"21"	"4"	"19"	"6"	"574"	""	"574"	""
"218"	"121"	"122"	"3"	"4"	"31"	"6"	"95"	"5"	"9"	"17"	"4"	"38"	"1"	"248"	"28"	"65"	"19"	"695"	""	"695"	""
"219"	"122"	"77"	"2"	"2"	"32"	"3"	"18"	"0"	"3"	"15"	"1"	"3"	"2"	"176"	"2"	"82"	"3"	"421"	""	"421"	""
"220"	"123"	"26"	"2"	"1"	"39"	"6"	"78"	"4"	"24"	"16"	"6"	"16"	"18"	"394"	"29"	"22"	"10"	"691"	""	"691"	""
"221"	"124"	"47"	"7"	"14"	"24"	"25"	"148"	"13"	"22"	"18"	"16"	"17"	"11"	"289"	"76"	"27"	"11"	"765"	""	"765"	""
"222"	"125"	"0"	"2"	"3"	"1"	"2"	"16"	"3"	"1"	"3"	"1"	"2"	"2"	"6"	"437"	"5"	"6"	"490"	""	"490"	""
"223"	"126"	"3"	"0"	"4"	"1"	"1"	"26"	"1"	"2"	"2"	"3"	"3"	"1"	"4"	"355"	"8"	"12"	"426"	""	"426"	""
"224"	"Current Round Total"	"735"	"54"	"54"	"305"	"448"	"1788"	"61"	"105"	"143"	"88"	"145"	"66"	"1469"	"1430"	"299"	"151"	"7341"	"0"	"7341"	"0"
"225"	"Previous Round Total"	"6851"	"939"	"690"	"5156"	"4390"	"15258"	"525"	"1159"	"752"	"709"	"1096"	"1070"	"23549"	"777"	"932"	"2725"	"66578"	"0"	"66578"	"0"
"226"	"TOTAL"	"7586"	"993"	"744"	"5461"	"4838"	"17046"	"586"	"1264"	"895"	"797"	"1241"	"1136"	"25018"	"2207"	"1231"	"2876"	"73919"	"0"	"73919"	"0"
"227"	"(Statutory Rules and Order)                                                       ROUND : TENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"233"	""	"ANANDI PRASAD YADAV"	"JAMIL AKHTAR"	"MANGAL KUMAR RAM"	"VIJAY KUMAR YADAV"	"MD. HAIDER YASIN"	"AFTAB AZIM"	"MD. ISMAIL AZAD"	"KHUSHI LAL SAH"	"KHOSHI DEVI"	"DILIP KUMAR YADAV"	"DEVA NAND MANDAL"	"BALAK DAS RISHI"	"MURLIDHAR MANDAL"	"MD. MURSHID ALAM"	"RANJEET YADAV"	"HASNAIN MIRZA"	""	""	""	""
"234"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"235"	"127"	"319"	"7"	"11"	"9"	"15"	"100"	"3"	"12"	"7"	"7"	"21"	"3"	"108"	"6"	"5"	"8"	"641"	""	"641"	""
"236"	"128"	"159"	"3"	"3"	"9"	"60"	"330"	"5"	"6"	"5"	"10"	"9"	"2"	"18"	"10"	"1"	"2"	"632"	""	"632"	""
"237"	"129"	"6"	"6"	"5"	"23"	"101"	"358"	"2"	"4"	"6"	"5"	"15"	"4"	"98"	"2"	"4"	"5"	"644"	""	"644"	""
"238"	"130"	"6"	"4"	"1"	"11"	"102"	"277"	"1"	"5"	"5"	"6"	"8"	"6"	"99"	"2"	"0"	"6"	"539"	""	"539"	""
"239"	"131"	"10"	"2"	"5"	"1"	"43"	"366"	"6"	"7"	"6"	"2"	"12"	"5"	"0"	"0"	"1"	"6"	"472"	""	"472"	""
"240"	"132"	"42"	"1"	"2"	"3"	"7"	"94"	"3"	"5"	"4"	"1"	"7"	"2"	"154"	"2"	"0"	"3"	"330"	""	"330"	""
"241"	"133"	"35"	"2"	"8"	"2"	"50"	"127"	"4"	"3"	"5"	"3"	"11"	"5"	"8"	"39"	"6"	"22"	"330"	""	"330"	""
"242"	"134"	"23"	"14"	"10"	"11"	"202"	"234"	"9"	"6"	"7"	"10"	"12"	"2"	"1"	"18"	"4"	"8"	"571"	""	"571"	""
"243"	"135"	"56"	"3"	"4"	"40"	"96"	"90"	"1"	"0"	"2"	"3"	"0"	"4"	"2"	"29"	"3"	"9"	"342"	""	"342"	""
"244"	"136"	"3"	"1"	"1"	"17"	"90"	"74"	"3"	"3"	"5"	"3"	"5"	"3"	"6"	"44"	"2"	"13"	"273"	""	"273"	""
"245"	"137"	"5"	"1"	"0"	"13"	"113"	"87"	"3"	"4"	"5"	"7"	"9"	"13"	"6"	"72"	"7"	"12"	"357"	""	"357"	""
"246"	"138"	"10"	"2"	"6"	"2"	"18"	"101"	"3"	"0"	"2"	"0"	"3"	"3"	"3"	"116"	"2"	"0"	"271"	""	"271"	""
"247"	"139"	"20"	"6"	"4"	"45"	"30"	"187"	"7"	"7"	"4"	"14"	"8"	"7"	"10"	"126"	"13"	"11"	"499"	""	"499"	""
"248"	"140"	"45"	"4"	"3"	"11"	"31"	"96"	"4"	"5"	"14"	"4"	"2"	"4"	"9"	"132"	"171"	"9"	"544"	""	"544"	""
"249"	"Current Round Total"	"739"	"56"	"63"	"197"	"958"	"2521"	"54"	"67"	"77"	"75"	"122"	"63"	"522"	"598"	"219"	"114"	"6445"	"0"	"6445"	"0"
"250"	"Previous Round Total"	"7586"	"993"	"744"	"5461"	"4838"	"17046"	"586"	"1264"	"895"	"797"	"1241"	"1136"	"25018"	"2207"	"1231"	"2876"	"73919"	"0"	"73919"	"0"
"251"	"TOTAL"	"8325"	"1049"	"807"	"5658"	"5796"	"19567"	"640"	"1331"	"972"	"872"	"1363"	"1199"	"25540"	"2805"	"1450"	"2990"	"80364"	"0"	"80364"	"0"
"252"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"131-SIKTI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"Conduct of Election Rules 1961"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"(Statutory Rules and Order)                                                       ROUND : ELEVENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"261"	""	"ANANDI PRASAD YADAV"	"JAMIL AKHTAR"	"MANGAL KUMAR RAM"	"VIJAY KUMAR YADAV"	"MD. HAIDER YASIN"	"AFTAB AZIM"	"MD. ISMAIL AZAD"	"KHUSHI LAL SAH"	"KHOSHI DEVI"	"DILIP KUMAR YADAV"	"DEVA NAND MANDAL"	"BALAK DAS RISHI"	"MURLIDHAR MANDAL"	"MD. MURSHID ALAM"	"RANJEET YADAV"	"HASNAIN MIRZA"	""	""	""	""
"262"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"263"	"141"	"58"	"8"	"4"	"6"	"170"	"141"	"5"	"6"	"4"	"4"	"8"	"11"	"4"	"131"	"7"	"6"	"573"	""	"573"	""
"264"	"142"	"5"	"7"	"2"	"18"	"37"	"167"	"5"	"7"	"6"	"5"	"16"	"9"	"8"	"221"	"12"	"9"	"534"	""	"534"	""
"265"	"143"	"49"	"6"	"4"	"16"	"75"	"334"	"8"	"1"	"7"	"4"	"5"	"4"	"6"	"138"	"60"	"5"	"722"	""	"722"	""
"266"	"144"	"143"	"5"	"6"	"266"	"30"	"67"	"7"	"18"	"10"	"12"	"17"	"2"	"16"	"6"	"29"	"22"	"656"	""	"656"	""
"267"	"145"	"32"	"3"	"7"	"41"	"6"	"122"	"3"	"12"	"7"	"3"	"5"	"5"	"421"	"9"	"4"	"5"	"685"	""	"685"	""
"268"	"146"	"148"	"20"	"7"	"21"	"12"	"75"	"5"	"15"	"23"	"5"	"11"	"4"	"200"	"87"	"71"	"9"	"713"	""	"713"	""
"269"	"147"	"20"	"2"	"2"	"45"	"1"	"38"	"1"	"5"	"2"	"2"	"6"	"9"	"508"	"8"	"9"	"12"	"670"	""	"670"	""
"270"	"148"	"44"	"1"	"1"	"3"	"3"	"20"	"2"	"6"	"3"	"4"	"5"	"7"	"419"	"5"	"4"	"3"	"530"	""	"530"	""
"271"	"149"	"162"	"12"	"3"	"8"	"37"	"73"	"4"	"14"	"11"	"4"	"11"	"4"	"14"	"163"	"100"	"4"	"624"	""	"624"	""
"272"	"150"	"3"	"4"	"3"	"3"	"105"	"114"	"2"	"2"	"0"	"4"	"4"	"3"	"4"	"262"	"3"	"12"	"528"	""	"528"	""
"273"	"151"	"8"	"6"	"3"	"6"	"45"	"119"	"5"	"7"	"5"	"9"	"8"	"9"	"6"	"143"	"14"	"9"	"402"	""	"402"	""
"274"	"152"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"275"	"153"	"14"	"5"	"4"	"3"	"19"	"137"	"3"	"4"	"2"	"7"	"12"	"5"	"11"	"281"	"22"	"6"	"535"	""	"535"	""
"276"	"154"	"9"	"3"	"1"	"1"	"1"	"39"	"0"	"7"	"5"	"4"	"0"	"3"	"343"	"6"	"179"	"5"	"606"	""	"606"	""
"277"	"Current Round Total"	"695"	"82"	"47"	"437"	"541"	"1446"	"50"	"104"	"85"	"67"	"108"	"75"	"1960"	"1460"	"514"	"107"	"7778"	"0"	"7778"	"0"
"278"	"Previous Round Total"	"8325"	"1049"	"807"	"5658"	"5796"	"19567"	"640"	"1331"	"972"	"872"	"1363"	"1199"	"25540"	"2805"	"1450"	"2990"	"80364"	"0"	"80364"	"0"
"279"	"TOTAL"	"9020"	"1131"	"854"	"6095"	"6337"	"21013"	"690"	"1435"	"1057"	"939"	"1471"	"1274"	"27500"	"4265"	"1964"	"3097"	"88142"	"0"	"88142"	"0"
"280"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"131-SIKTI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"Conduct of Election Rules 1961"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	"(Statutory Rules and Order)                                                       ROUND : TWELVETH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"284"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"Election to the Bihar Legislative Assembly 2005 from the 131-SIKTI Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"289"	""	"ANANDI PRASAD YADAV"	"JAMIL AKHTAR"	"MANGAL KUMAR RAM"	"VIJAY KUMAR YADAV"	"MD. HAIDER YASIN"	"AFTAB AZIM"	"MD. ISMAIL AZAD"	"KHUSHI LAL SAH"	"KHOSHI DEVI"	"DILIP KUMAR YADAV"	"DEVA NAND MANDAL"	"BALAK DAS RISHI"	"MURLIDHAR MANDAL"	"MD. MURSHID ALAM"	"RANJEET YADAV"	"HASNAIN MIRZA"	""	""	""	""
"290"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"291"	"155"	"73"	"6"	"4"	"9"	"7"	"46"	"3"	"9"	"20"	"6"	"13"	"7"	"415"	"10"	"127"	"8"	"763"	""	"763"	""
"292"	"156"	"67"	"9"	"1"	"19"	"7"	"59"	"0"	"15"	"9"	"3"	"8"	"3"	"522"	"5"	"14"	"10"	"751"	""	"751"	""
"293"	"157"	"5"	"2"	"0"	"15"	"0"	"5"	"2"	"1"	"16"	"1"	"3"	"2"	"23"	"16"	"513"	"21"	"625"	""	"625"	""
"294"	"158"	"9"	"4"	"2"	"5"	"10"	"82"	"2"	"7"	"4"	"10"	"7"	"6"	"464"	"21"	"6"	"12"	"651"	""	"651"	""
"295"	"159"	"19"	"2"	"4"	"17"	"3"	"21"	"6"	"16"	"7"	"3"	"5"	"3"	"327"	"165"	"51"	"16"	"665"	""	"665"	""
"296"	"160"	"7"	"7"	"4"	"3"	"6"	"80"	"3"	"4"	"3"	"2"	"4"	"2"	"11"	"327"	"8"	"50"	"521"	""	"521"	""
"297"	"161"	"1"	"2"	"3"	"2"	"5"	"22"	"0"	"0"	"0"	"2"	"4"	"7"	"4"	"494"	"8"	"10"	"564"	""	"564"	""
"298"	"162"	"31"	"2"	"0"	"81"	"2"	"25"	"1"	"9"	"12"	"3"	"6"	"5"	"67"	"218"	"106"	"23"	"591"	""	"591"	""
"299"	"163"	"42"	"2"	"0"	"57"	"3"	"53"	"5"	"4"	"39"	"4"	"5"	"3"	"2"	"29"	"218"	"21"	"487"	""	"487"	""
"300"	"164"	"3"	"0"	"3"	"1"	"5"	"40"	"0"	"2"	"5"	"0"	"4"	"0"	"1"	"90"	"61"	"1"	"216"	""	"216"	""
"301"	"165"	"12"	"4"	"6"	"7"	"18"	"37"	"2"	"1"	"1"	"2"	"3"	"2"	"3"	"396"	"10"	"9"	"513"	""	"513"	""
"302"	"166"	"3"	"2"	"5"	"0"	"11"	"10"	"0"	"0"	"0"	"2"	"0"	"1"	"9"	"447"	"6"	"1"	"497"	""	"497"	""
"303"	"167"	"14"	"1"	"3"	"2"	"43"	"39"	"0"	"1"	"6"	"5"	"4"	"5"	"5"	"236"	"203"	"20"	"587"	""	"587"	""
"304"	"168"	"3"	"5"	"6"	"1"	"71"	"76"	"1"	"1"	"4"	"1"	"7"	"6"	"13"	"378"	"16"	"11"	"600"	""	"600"	""
"305"	"Current Round Total"	"289"	"48"	"41"	"219"	"191"	"595"	"25"	"70"	"126"	"44"	"73"	"52"	"1866"	"2832"	"1347"	"213"	"8031"	"0"	"8031"	"0"
"306"	"Previous Round Total"	"9020"	"1131"	"854"	"6095"	"6337"	"21013"	"690"	"1435"	"1057"	"939"	"1471"	"1274"	"27500"	"4265"	"1964"	"3097"	"88142"	"0"	"88142"	"0"
"307"	"TOTAL"	"9309"	"1179"	"895"	"6314"	"6528"	"21608"	"715"	"1505"	"1183"	"983"	"1544"	"1326"	"29366"	"7097"	"3311"	"3310"	"96173"	"0"	"96173"	"0"
"308"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"131-SIKTI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"310"	"(Statutory Rules and Order)                                                       ROUND : THIRTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
