"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"201"	"155"	"25"	"288"	"3"	"56"	"16"	"3"	"1"	"3"	"5"	"72"	"472"	""	"472"	""
"202"	"156"	"74"	"184"	"8"	"18"	"5"	"1"	"1"	"0"	"1"	"1"	"293"	""	"293"	""
"203"	"157"	"39"	"221"	"50"	"18"	"9"	"3"	"2"	"2"	"3"	"5"	"352"	""	"352"	""
"204"	"158"	"77"	"140"	"20"	"191"	"30"	"15"	"14"	"16"	"11"	"117"	"631"	""	"631"	""
"205"	"159"	"13"	"91"	"29"	"47"	"14"	"5"	"9"	"7"	"14"	"122"	"351"	""	"351"	""
"206"	"160"	"18"	"182"	"9"	"77"	"20"	"8"	"5"	"3"	"1"	"27"	"350"	""	"350"	""
"207"	"161"	"48"	"254"	"11"	"101"	"3"	"1"	"2"	"5"	"5"	"12"	"442"	""	"442"	""
"208"	"162"	"25"	"205"	"8"	"69"	"5"	"1"	"2"	"0"	"2"	"18"	"335"	""	"335"	""
"209"	"163"	"15"	"93"	"8"	"137"	"29"	"2"	"8"	"5"	"7"	"98"	"402"	""	"402"	""
"210"	"164"	"23"	"300"	"19"	"24"	"5"	"8"	"4"	"2"	"7"	"56"	"448"	""	"448"	""
"211"	"165"	"34"	"142"	"11"	"139"	"8"	"7"	"5"	"7"	"8"	"122"	"483"	""	"483"	""
"212"	"166"	"14"	"313"	"3"	"137"	"8"	"3"	"2"	"5"	"2"	"5"	"492"	""	"492"	""
"213"	"167"	"34"	"301"	"40"	"95"	"10"	"0"	"3"	"7"	"7"	"46"	"543"	""	"543"	""
"214"	"168"	"30"	"85"	"13"	"72"	"5"	"6"	"7"	"6"	"8"	"152"	"384"	""	"384"	""
"215"	"Total Round 12"	"469"	"2799"	"232"	"1181"	"167"	"63"	"65"	"68"	"81"	"853"	"5978"	"0"	"5978"	"0"
"216"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"217"	""	"NAVENDRA JHA"	"YUGESHWAR JHA"	"RAM BARAN RAM"	"RAMASHISH YADAV"	"RAMGULAM SAH"	"ANIL JHA"	"MANOJ KUMAR JHA"	"RAKESH SINGH Alias RIKKI SINGH"	"RAJENDAR YADAV"	"SHALIGRAM YADAV"	""	""	""	""
"218"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"219"	"169"	"67"	"233"	"5"	"4"	"4"	"1"	"0"	"6"	"1"	"26"	"347"	""	"347"	""
"220"	"170"	"76"	"79"	"40"	"88"	"20"	"15"	"13"	"8"	"8"	"161"	"508"	""	"508"	""
"221"	"171"	"60"	"159"	"48"	"107"	"34"	"13"	"13"	"13"	"8"	"211"	"666"	""	"666"	""
"222"	"172"	"18"	"130"	"10"	"193"	"36"	"9"	"8"	"6"	"7"	"13"	"430"	""	"430"	""
"223"	"173"	"98"	"189"	"15"	"78"	"5"	"5"	"2"	"3"	"5"	"63"	"463"	""	"463"	""
"224"	"174"	"88"	"42"	"12"	"60"	"3"	"5"	"6"	"6"	"14"	"76"	"312"	""	"312"	""
"225"	"175"	"29"	"85"	"29"	"222"	"78"	"5"	"15"	"7"	"6"	"12"	"488"	""	"488"	""
"226"	"176"	"18"	"233"	"11"	"66"	"14"	"3"	"4"	"2"	"0"	"7"	"358"	""	"358"	""
"227"	"177"	"26"	"409"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"439"	""	"439"	""
"228"	"178"	"10"	"362"	"7"	"7"	"17"	"3"	"1"	"0"	"1"	"2"	"410"	""	"410"	""
"229"	"179"	"61"	"178"	"17"	"76"	"39"	"2"	"4"	"4"	"4"	"66"	"451"	""	"451"	""
"230"	"180"	"18"	"17"	"1"	"118"	"153"	"9"	"5"	"2"	"1"	"53"	"377"	""	"377"	""
"231"	"181"	"109"	"268"	"14"	"65"	"23"	"5"	"0"	"2"	"4"	"36"	"526"	""	"526"	""
"232"	"182"	"25"	"133"	"146"	"116"	"111"	"12"	"7"	"5"	"7"	"55"	"617"	""	"617"	""
"233"	"Total Round 13"	"703"	"2517"	"357"	"1201"	"537"	"87"	"78"	"64"	"66"	"782"	"6392"	"0"	"6392"	"0"
"234"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"235"	""	"NAVENDRA JHA"	"YUGESHWAR JHA"	"RAM BARAN RAM"	"RAMASHISH YADAV"	"RAMGULAM SAH"	"ANIL JHA"	"MANOJ KUMAR JHA"	"RAKESH SINGH Alias RIKKI SINGH"	"RAJENDAR YADAV"	"SHALIGRAM YADAV"	""	""	""	""
"236"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"237"	"183"	"33"	"323"	"7"	"80"	"5"	"3"	"2"	"2"	"1"	"45"	"501"	""	"501"	""
"238"	"184"	"10"	"280"	"3"	"168"	"10"	"3"	"5"	"3"	"4"	"37"	"523"	""	"523"	""
"239"	"185"	"6"	"911"	"7"	"38"	"0"	"0"	"3"	"0"	"1"	"35"	"1001"	""	"1001"	""
"240"	"186"	"28"	"92"	"15"	"59"	"15"	"9"	"11"	"9"	"22"	"384"	"644"	""	"644"	""
"241"	"187"	"17"	"782"	"3"	"24"	"2"	"2"	"0"	"3"	"1"	"11"	"845"	""	"845"	""
"242"	"188"	"39"	"171"	"17"	"195"	"11"	"8"	"7"	"30"	"4"	"20"	"502"	""	"502"	""
"243"	"189"	"17"	"302"	"20"	"56"	"8"	"4"	"6"	"18"	"4"	"19"	"454"	""	"454"	""
"244"	"190"	"26"	"241"	"20"	"89"	"1"	"2"	"2"	"16"	"2"	"26"	"425"	""	"425"	""
"245"	"191"	"5"	"479"	"3"	"9"	"25"	"1"	"0"	"11"	"0"	"9"	"542"	""	"542"	""
"246"	"192"	"25"	"96"	"11"	"96"	"13"	"14"	"7"	"90"	"26"	"131"	"509"	""	"509"	""
"247"	"193"	"40"	"130"	"11"	"147"	"11"	"17"	"10"	"58"	"14"	"100"	"538"	""	"538"	""
"248"	"194"	"9"	"93"	"2"	"499"	"8"	"3"	"0"	"20"	"0"	"34"	"668"	""	"668"	""
"249"	"195"	"2"	"23"	"1"	"351"	"3"	"2"	"3"	"3"	"1"	"59"	"448"	""	"448"	""
"250"	"196"	"13"	"620"	"3"	"3"	"0"	"1"	"0"	"20"	"0"	"1"	"661"	""	"661"	""
"251"	"Total Round 14"	"270"	"4543"	"123"	"1814"	"112"	"69"	"56"	"283"	"80"	"911"	"8261"	"0"	"8261"	"0"
"252"	"Total No. of Electors in Assembly Constituency :- 215901"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 73 BENIPATTI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"259"	""	"NAVENDRA JHA"	"YUGESHWAR JHA"	"RAM BARAN RAM"	"RAMASHISH YADAV"	"RAMGULAM SAH"	"ANIL JHA"	"MANOJ KUMAR JHA"	"RAKESH SINGH Alias RIKKI SINGH"	"RAJENDAR YADAV"	"SHALIGRAM YADAV"	""	""	""	""
"260"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"261"	"197"	"37"	"181"	"14"	"201"	"22"	"8"	"12"	"10"	"11"	"37"	"533"	""	"533"	""
"262"	"198"	"13"	"123"	"5"	"32"	"4"	"3"	"1"	"0"	"1"	"4"	"186"	""	"186"	""
"263"	"199"	"8"	"88"	"2"	"85"	"3"	"2"	"2"	"0"	"5"	"9"	"204"	""	"204"	""
"264"	"200"	"39"	"188"	"29"	"163"	"11"	"8"	"4"	"7"	"9"	"16"	"474"	""	"474"	""
"265"	"201"	"13"	"76"	"13"	"121"	"7"	"6"	"2"	"5"	"3"	"16"	"262"	""	"262"	""
"266"	"Total Round 15"	"110"	"656"	"63"	"602"	"47"	"27"	"21"	"22"	"29"	"82"	"1659"	"0"	"1659"	"0"
"267"	"Total No. of Electors in Assembly Constituency :- 215901"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 73 BENIPATTI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"270"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"271"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"274"	""	"NAVENDRA JHA"	"YUGESHWAR JHA"	"RAM BARAN RAM"	"RAMASHISH YADAV"	"RAMGULAM SAH"	"ANIL JHA"	"MANOJ KUMAR JHA"	"RAKESH SINGH Alias RIKKI SINGH"	"RAJENDAR YADAV"	"SHALIGRAM YADAV"	""	""	""	""
"275"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"276"	"Total No. of votes recorded at Polling stations"	"9908"	"31672"	"2458"	"21006"	"2702"	"1230"	"1063"	"1178"	"1412"	"22529"	"95158"	"0"	"95158"	"0"
"277"	"No. of Votes recorded on postal ballot papers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"
"278"	"TOTAL VOTES POLLED"	"9908"	"31672"	"2458"	"21006"	"2702"	"1230"	"1063"	"1178"	"1412"	"22529"	"95158"	"1"	"95159"	"0"
