"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"166"	""	""	"SINGH"	""	"PATEL"	"SINGH"	""	"RAM"	""	"PRASAD"	""	""	""	""	""	"VOTES"	"VOTES"	""	"ED"
"167"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"VOTES"
"168"	"1"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"169"	"140"	"6"	"3"	"150"	"7"	"5"	"6"	"3"	"127"	"5"	"2"	"3"	"5"	"1"	"6"	"329"	"0"	"329"	"0"
"170"	"141"	"11"	"5"	"81"	"18"	"2"	"1"	"3"	"25"	"4"	"9"	"6"	"3"	"2"	"2"	"172"	"0"	"172"	"0"
"171"	"142"	"7"	"3"	"236"	"30"	"7"	"2"	"1"	"78"	"4"	"6"	"6"	"11"	"5"	"13"	"409"	"0"	"409"	"0"
"172"	"143"	"5"	"1"	"217"	"31"	"4"	"2"	"4"	"69"	"1"	"9"	"2"	"5"	"4"	"13"	"367"	"0"	"367"	"0"
"173"	"144"	"6"	"6"	"220"	"32"	"6"	"4"	"3"	"125"	"5"	"2"	"5"	"6"	"4"	"7"	"431"	"0"	"431"	"0"
"174"	"145"	"2"	"3"	"215"	"21"	"1"	"0"	"2"	"41"	"1"	"0"	"1"	"1"	"0"	"0"	"288"	"0"	"288"	"0"
"175"	"146"	"11"	"7"	"217"	"204"	"14"	"7"	"3"	"45"	"4"	"9"	"9"	"8"	"2"	"5"	"545"	"0"	"545"	"0"
"176"	"147"	"6"	"1"	"224"	"91"	"6"	"3"	"3"	"52"	"3"	"4"	"5"	"10"	"3"	"5"	"416"	"0"	"416"	"0"
"177"	"148"	"1"	"2"	"192"	"8"	"1"	"2"	"0"	"55"	"2"	"2"	"5"	"3"	"1"	"9"	"283"	"0"	"283"	"0"
"178"	"149"	"2"	"6"	"308"	"17"	"2"	"2"	"1"	"15"	"0"	"1"	"0"	"3"	"3"	"4"	"364"	"0"	"364"	"0"
"179"	"150"	"10"	"3"	"540"	"9"	"3"	"1"	"0"	"7"	"1"	"2"	"1"	"2"	"2"	"3"	"584"	"0"	"584"	"0"
"180"	"151"	"4"	"0"	"93"	"9"	"4"	"1"	"2"	"21"	"5"	"11"	"8"	"5"	"0"	"15"	"178"	"0"	"178"	"0"
"181"	"152"	"19"	"1"	"131"	"78"	"10"	"3"	"21"	"33"	"4"	"5"	"2"	"8"	"3"	"5"	"323"	"0"	"323"	"0"
"182"	"153"	"10"	"4"	"205"	"14"	"4"	"3"	"1"	"22"	"1"	"2"	"4"	"2"	"5"	"3"	"280"	"0"	"280"	"0"
"183"	"154"	"9"	"8"	"335"	"58"	"7"	"7"	"6"	"40"	"2"	"8"	"6"	"10"	"8"	"20"	"524"	"0"	"524"	"0"
"184"	"155"	"8"	"3"	"36"	"390"	"15"	"4"	"2"	"67"	"3"	"7"	"18"	"8"	"4"	"7"	"572"	"0"	"572"	"0"
"185"	"156"	"4"	"6"	"24"	"12"	"5"	"2"	"1"	"5"	"1"	"3"	"1"	"3"	"1"	"2"	"70"	"0"	"70"	"0"
"186"	"157"	"5"	"1"	"76"	"305"	"9"	"0"	"1"	"28"	"0"	"3"	"2"	"3"	"0"	"3"	"436"	"0"	"436"	"0"
"187"	"158"	"3"	"1"	"37"	"21"	"5"	"3"	"2"	"171"	"2"	"4"	"15"	"13"	"1"	"4"	"282"	"0"	"282"	"0"
"188"	"159"	"1"	"0"	"57"	"15"	"2"	"0"	"0"	"32"	"0"	"0"	"2"	"2"	"1"	"2"	"114"	"0"	"114"	"0"
"189"	"160"	"14"	"3"	"337"	"34"	"6"	"4"	"3"	"21"	"6"	"4"	"8"	"10"	"2"	"20"	"472"	"0"	"472"	"0"
"190"	"161"	"1"	"2"	"85"	"424"	"7"	"4"	"2"	"89"	"0"	"4"	"6"	"7"	"3"	"3"	"637"	"0"	"637"	"0"
"191"	"162"	"1"	"0"	"37"	"587"	"10"	"1"	"0"	"3"	"1"	"1"	"2"	"2"	"1"	"0"	"646"	"0"	"646"	"0"
"192"	"163"	"4"	"6"	"162"	"19"	"4"	"0"	"1"	"1"	"1"	"1"	"2"	"8"	"1"	"7"	"217"	"0"	"217"	"0"
"193"	"164"	"8"	"8"	"335"	"108"	"9"	"2"	"1"	"15"	"4"	"6"	"3"	"8"	"5"	"10"	"522"	"0"	"522"	"0"
"194"	"165"	"3"	"2"	"482"	"13"	"0"	"1"	"1"	"49"	"0"	"3"	"0"	"2"	"0"	"0"	"556"	"0"	"556"	"0"
"195"	"166"	"18"	"5"	"347"	"72"	"11"	"13"	"3"	"29"	"2"	"8"	"4"	"8"	"6"	"12"	"538"	"0"	"538"	"0"
"196"	"167"	"6"	"3"	"220"	"30"	"5"	"18"	"2"	"47"	"3"	"7"	"4"	"2"	"6"	"2"	"355"	"0"	"355"	"0"
"197"	"168"	"3"	"6"	"363"	"7"	"0"	"0"	"0"	"1"	"2"	"2"	"1"	"3"	"1"	"0"	"389"	"0"	"389"	"0"
"198"	"169"	"2"	"2"	"430"	"15"	"4"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"456"	"0"	"456"	"0"
"199"	"170"	"11"	"2"	"298"	"22"	"1"	"2"	"4"	"37"	"0"	"3"	"3"	"6"	"3"	"8"	"400"	"0"	"400"	"0"
"200"	"171"	"6"	"1"	"223"	"20"	"1"	"3"	"3"	"12"	"0"	"1"	"1"	"3"	"4"	"4"	"282"	"0"	"282"	"0"
"201"	"172"	"5"	"3"	"200"	"100"	"5"	"1"	"1"	"36"	"2"	"2"	"0"	"4"	"2"	"8"	"369"	"0"	"369"	"0"
"202"	"173"	"4"	"2"	"87"	"26"	"7"	"3"	"12"	"271"	"11"	"12"	"3"	"12"	"1"	"10"	"461"	"0"	"461"	"0"
"203"	"174"	"1"	"0"	"501"	"4"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"511"	"0"	"511"	"0"
"204"	"175"	"11"	"6"	"292"	"63"	"6"	"0"	"1"	"9"	"1"	"2"	"6"	"10"	"5"	"8"	"420"	"0"	"420"	"0"
"205"	"176"	"2"	"2"	"303"	"34"	"3"	"3"	"0"	"6"	"0"	"1"	"0"	"7"	"1"	"0"	"362"	"0"	"362"	"0"
"206"	"Booth"	"UDAYA"	"UPENDRA"	"PRAHLAD"	"PREM"	"ANIL"	"CHANDRA"	"MADAN"	"SATISH"	"ABADH"	"AWDHESH"	"CHANDA"	"NAGO"	"MANOJ"	"RAKESH"	"TOTAL"	"NO OF"	"TOTAL"	"NO OF"
"207"	"No"	"UDIT RAY"	"PRASAD"	"YADAV"	"RANJAN"	"KUMAR"	"DEO YADAV"	"MOHAN"	"KUMAR"	"KISHORE"	"KUMAR SINGH"	"DEVI"	"MISTIRI"	"KUMAR"	"PATEL"	"VALID"	"REJECTED"	""	"TENDER"
"208"	""	""	"SINGH"	""	"PATEL"	"SINGH"	""	"RAM"	""	"PRASAD"	""	""	""	""	""	"VOTES"	"VOTES"	""	"ED"
"209"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"VOTES"
"210"	"1"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"211"	"177"	"0"	"2"	"190"	"12"	"3"	"1"	"1"	"18"	"0"	"3"	"4"	"6"	"2"	"3"	"245"	"0"	"245"	"0"
"212"	"178"	"8"	"5"	"207"	"37"	"3"	"1"	"6"	"8"	"0"	"1"	"4"	"1"	"5"	"7"	"293"	"0"	"293"	"0"
"213"	"179"	"4"	"8"	"243"	"38"	"2"	"0"	"0"	"20"	"0"	"1"	"0"	"1"	"1"	"4"	"322"	"0"	"322"	"0"
"214"	"180"	"13"	"6"	"372"	"29"	"1"	"18"	"4"	"77"	"1"	"7"	"3"	"6"	"7"	"5"	"549"	"0"	"549"	"0"
"215"	"181"	"2"	"1"	"164"	"16"	"4"	"3"	"0"	"62"	"0"	"1"	"2"	"10"	"3"	"4"	"272"	"0"	"272"	"0"
"216"	"182"	"1"	"1"	"17"	"129"	"3"	"0"	"1"	"21"	"2"	"3"	"57"	"3"	"4"	"3"	"245"	"0"	"245"	"0"
"217"	"183"	"8"	"0"	"258"	"16"	"8"	"6"	"4"	"50"	"1"	"8"	"8"	"10"	"10"	"27"	"414"	"0"	"414"	"0"
"218"	"184"	"3"	"6"	"253"	"21"	"6"	"3"	"3"	"21"	"2"	"8"	"4"	"9"	"2"	"6"	"347"	"0"	"347"	"0"
"219"	"185"	"4"	"5"	"430"	"17"	"1"	"7"	"6"	"6"	"1"	"3"	"6"	"5"	"4"	"15"	"510"	"0"	"510"	"0"
"220"	"186"	"1"	"2"	"392"	"3"	"0"	"6"	"1"	"2"	"0"	"4"	"1"	"1"	"0"	"5"	"418"	"0"	"418"	"0"
"221"	"187"	"8"	"4"	"371"	"28"	"7"	"1"	"3"	"73"	"1"	"0"	"3"	"2"	"2"	"7"	"510"	"0"	"510"	"0"
"222"	"188"	"10"	"5"	"274"	"11"	"2"	"2"	"3"	"49"	"3"	"4"	"3"	"7"	"4"	"7"	"384"	"0"	"384"	"0"
"223"	"189"	"14"	"6"	"186"	"22"	"2"	"3"	"4"	"16"	"3"	"5"	"1"	"6"	"3"	"7"	"278"	"0"	"278"	"0"
"224"	"190"	"7"	"1"	"126"	"20"	"6"	"5"	"5"	"76"	"3"	"2"	"0"	"11"	"1"	"2"	"265"	"0"	"265"	"0"
"225"	"191"	"13"	"8"	"492"	"16"	"3"	"3"	"2"	"14"	"1"	"3"	"3"	"5"	"3"	"15"	"581"	"0"	"581"	"0"
"226"	"192"	"8"	"4"	"187"	"10"	"6"	"7"	"4"	"109"	"6"	"5"	"8"	"11"	"11"	"37"	"413"	"0"	"413"	"0"
"227"	"193"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"228"	"194"	"2"	"3"	"159"	"35"	"8"	"2"	"6"	"43"	"5"	"10"	"8"	"5"	"3"	"1"	"290"	"0"	"290"	"0"
"229"	"195"	"14"	"4"	"176"	"67"	"6"	"4"	"67"	"128"	"8"	"4"	"3"	"10"	"4"	"17"	"512"	"0"	"512"	"0"
"230"	"196"	"4"	"2"	"141"	"5"	"4"	"3"	"4"	"138"	"7"	"3"	"10"	"11"	"5"	"12"	"349"	"0"	"349"	"0"
"231"	"197"	"5"	"4"	"128"	"2"	"4"	"3"	"2"	"174"	"8"	"2"	"5"	"8"	"1"	"8"	"354"	"0"	"354"	"0"
"232"	"198"	"4"	"4"	"236"	"19"	"10"	"3"	"7"	"68"	"0"	"2"	"6"	"7"	"1"	"3"	"370"	"0"	"370"	"0"
"233"	"199"	"6"	"4"	"201"	"19"	"2"	"3"	"7"	"201"	"8"	"15"	"25"	"11"	"0"	"16"	"518"	"0"	"518"	"0"
"234"	"200"	"5"	"1"	"144"	"73"	"5"	"0"	"0"	"41"	"0"	"7"	"5"	"4"	"4"	"11"	"300"	"0"	"300"	"0"
"235"	"201"	"9"	"4"	"212"	"78"	"3"	"1"	"6"	"55"	"0"	"3"	"0"	"5"	"1"	"4"	"381"	"0"	"381"	"0"
"236"	"202"	"4"	"3"	"161"	"77"	"5"	"4"	"8"	"168"	"6"	"2"	"3"	"10"	"4"	"9"	"464"	"0"	"464"	"0"
"237"	"203"	"7"	"3"	"126"	"39"	"3"	"1"	"6"	"201"	"6"	"5"	"1"	"3"	"0"	"4"	"405"	"0"	"405"	"0"
"238"	"204"	"5"	"0"	"169"	"37"	"9"	"2"	"3"	"37"	"3"	"2"	"2"	"4"	"3"	"6"	"282"	"0"	"282"	"0"
"239"	"205"	"5"	"3"	"171"	"27"	"9"	"2"	"3"	"33"	"0"	"4"	"5"	"7"	"1"	"10"	"280"	"0"	"280"	"0"
"240"	"206"	"5"	"2"	"170"	"30"	"4"	"0"	"1"	"127"	"5"	"1"	"5"	"15"	"5"	"8"	"378"	"0"	"378"	"0"
"241"	"207"	"16"	"6"	"87"	"20"	"2"	"3"	"2"	"244"	"5"	"3"	"4"	"14"	"2"	"7"	"415"	"0"	"415"	"0"
"242"	"208"	"11"	"4"	"122"	"44"	"7"	"5"	"6"	"176"	"5"	"3"	"4"	"19"	"1"	"7"	"414"	"0"	"414"	"0"
"243"	"209"	"9"	"8"	"256"	"94"	"8"	"2"	"1"	"155"	"6"	"4"	"3"	"6"	"4"	"22"	"578"	"0"	"578"	"0"
"244"	"210"	"2"	"4"	"70"	"2"	"2"	"0"	"0"	"21"	"1"	"2"	"1"	"4"	"0"	"2"	"111"	"0"	"111"	"0"
"245"	"211"	"12"	"5"	"124"	"12"	"3"	"0"	"0"	"10"	"0"	"2"	"3"	"2"	"0"	"1"	"174"	"0"	"174"	"0"
"246"	"212"	"12"	"9"	"228"	"106"	"7"	"5"	"1"	"66"	"7"	"5"	"4"	"7"	"5"	"8"	"470"	"0"	"470"	"0"
"247"	"213"	"6"	"2"	"40"	"3"	"0"	"2"	"1"	"9"	"0"	"1"	"0"	"2"	"1"	"5"	"72"	"0"	"72"	"0"
"248"	"Booth"	"UDAYA"	"UPENDRA"	"PRAHLAD"	"PREM"	"ANIL"	"CHANDRA"	"MADAN"	"SATISH"	"ABADH"	"AWDHESH"	"CHANDA"	"NAGO"	"MANOJ"	"RAKESH"	"TOTAL"	"NO OF"	"TOTAL"	"NO OF"
"249"	"No"	"UDIT RAY"	"PRASAD"	"YADAV"	"RANJAN"	"KUMAR"	"DEO YADAV"	"MOHAN"	"KUMAR"	"KISHORE"	"KUMAR SINGH"	"DEVI"	"MISTIRI"	"KUMAR"	"PATEL"	"VALID"	"REJECTED"	""	"TENDER"
"250"	""	""	"SINGH"	""	"PATEL"	"SINGH"	""	"RAM"	""	"PRASAD"	""	""	""	""	""	"VOTES"	"VOTES"	""	"ED"
"251"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"VOTES"
"252"	"1"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"253"	"214"	"18"	"9"	"222"	"15"	"3"	"3"	"4"	"19"	"3"	"3"	"4"	"5"	"2"	"4"	"314"	"0"	"314"	"0"
"254"	"215"	"4"	"3"	"97"	"31"	"4"	"5"	"5"	"136"	"6"	"7"	"2"	"4"	"1"	"4"	"309"	"0"	"309"	"0"
"255"	"216"	"4"	"4"	"142"	"14"	"6"	"0"	"2"	"47"	"3"	"4"	"1"	"6"	"4"	"15"	"252"	"0"	"252"	"0"
"256"	"217"	"4"	"4"	"307"	"27"	"4"	"1"	"1"	"66"	"1"	"7"	"7"	"4"	"4"	"12"	"449"	"0"	"449"	"0"
"257"	"218"	"2"	"1"	"467"	"67"	"2"	"4"	"1"	"89"	"1"	"1"	"3"	"0"	"0"	"1"	"639"	"0"	"639"	"0"
"258"	"219"	"3"	"3"	"206"	"18"	"6"	"3"	"2"	"95"	"2"	"3"	"11"	"5"	"1"	"5"	"363"	"0"	"363"	"0"
"259"	"220"	"13"	"4"	"145"	"78"	"7"	"14"	"1"	"126"	"4"	"8"	"1"	"8"	"0"	"2"	"411"	"0"	"411"	"0"
"260"	"221"	"4"	"2"	"283"	"45"	"6"	"1"	"10"	"32"	"2"	"4"	"2"	"6"	"4"	"13"	"414"	"0"	"414"	"0"
"261"	"222"	"14"	"8"	"191"	"38"	"6"	"1"	"1"	"103"	"7"	"7"	"4"	"18"	"6"	"13"	"417"	"0"	"417"	"0"
"262"	"223"	"4"	"1"	"99"	"68"	"4"	"1"	"8"	"144"	"3"	"3"	"5"	"6"	"2"	"6"	"354"	"0"	"354"	"0"
"263"	"224"	"6"	"2"	"134"	"14"	"6"	"3"	"6"	"79"	"9"	"9"	"7"	"14"	"10"	"6"	"305"	"0"	"305"	"0"
"264"	"Total"	"1370"	"692"	"33856"	"28617"	"1740"	"806"	"891"	"15422"	"687"	"991"	"1768"	"1535"	"774"	"1930"	"91079"	"0"	"91079"	"0"
"265"	"Place             Bazar Samiti,Lakhisarai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"Returning officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Date              27/02/2005                                                                                                                   169-Surjagarha Assebmly Constituency,Bihar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
