"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"149"	"135"	"9"	"54"	"119"	"5"	"6"	"125"	"73"	"4"	"104"	"3"	"5"	"7"	"5"	"9"	"528"	"0"	"0"	"528"	"0"
"150"	"136"	"8"	"185"	"26"	"15"	"8"	"36"	"150"	"11"	"35"	"7"	"5"	"7"	"13"	"24"	"530"	"0"	"0"	"530"	"0"
"151"	"137"	"5"	"47"	"221"	"3"	"3"	"22"	"15"	"2"	"86"	"5"	"3"	"1"	"5"	"6"	"424"	"0"	"0"	"424"	"0"
"152"	"138"	"1"	"515"	"14"	"3"	"0"	"1"	"21"	"0"	"32"	"2"	"1"	"0"	"0"	"0"	"590"	"0"	"0"	"590"	"0"
"153"	"139"	"13"	"24"	"38"	"1"	"3"	"19"	"5"	"6"	"107"	"2"	"1"	"5"	"1"	"4"	"229"	"0"	"0"	"229"	"0"
"154"	"140"	"26"	"304"	"50"	"24"	"11"	"15"	"28"	"2"	"75"	"4"	"1"	"10"	"5"	"11"	"566"	"0"	"0"	"566"	"0"
"155"	"ROUND 10"	"133"	"2822"	"1093"	"146"	"83"	"360"	"652"	"64"	"1014"	"50"	"45"	"95"	"73"	"137"	"6767"	"0"	"0"	"6767"	"0"
"156"	"141"	"18"	"151"	"41"	"17"	"8"	"23"	"88"	"11"	"138"	"8"	"9"	"12"	"10"	"27"	"561"	"0"	"0"	"561"	"0"
"157"	"142"	"13"	"35"	"66"	"9"	"4"	"4"	"179"	"11"	"97"	"9"	"4"	"10"	"10"	"13"	"464"	"0"	"0"	"464"	"0"
"158"	"143"	"3"	"39"	"31"	"8"	"2"	"18"	"257"	"18"	"68"	"7"	"6"	"14"	"5"	"24"	"500"	"0"	"0"	"500"	"0"
"159"	"144"	"5"	"39"	"45"	"2"	"3"	"98"	"94"	"4"	"59"	"5"	"9"	"7"	"10"	"49"	"429"	"0"	"0"	"429"	"0"
"160"	"145"	"5"	"60"	"80"	"3"	"2"	"8"	"250"	"7"	"15"	"0"	"3"	"2"	"8"	"5"	"448"	"0"	"0"	"448"	"0"
"161"	"146"	"15"	"72"	"109"	"12"	"5"	"17"	"225"	"12"	"129"	"11"	"5"	"3"	"6"	"19"	"640"	"0"	"0"	"640"	"0"
"162"	"147"	"12"	"169"	"30"	"14"	"5"	"6"	"294"	"11"	"16"	"1"	"5"	"5"	"4"	"4"	"576"	"0"	"0"	"576"	"0"
"163"	"148"	"17"	"27"	"42"	"4"	"8"	"7"	"170"	"13"	"36"	"2"	"2"	"7"	"1"	"9"	"345"	"0"	"0"	"345"	"0"
"164"	"149"	"18"	"189"	"114"	"22"	"8"	"8"	"251"	"10"	"18"	"6"	"2"	"9"	"11"	"4"	"670"	"0"	"0"	"670"	"0"
"165"	"BOOTH    NO"	"ANIL KUMAR"	"MANINDRA KUMAR MANDAL"	"SIYARAM YADAV"	"RAMENDRA NARAYAN YADAV"	"SANJAY KUMAR YADAV"	"SURENDRA KUMAR"	"DR. ARUN KUMAR MANDAL"	"EKANAN KUWAR"	"CHANDRASHE KHAR YADAV"	"ZAHIR ABBAS"	"MITHILESH KUMAR"	"RAJEEV JOSHI"	"VANSHIDHAR SINGH"	"VIPIN KUMAR"	"TOTAL VALID VOTES POLLED"	"TOTAL REJECTED VOTES"	"TOTAL POSTAL VOTES POLLED"	"TOTAL VOTES POLLED"	"NO OF TENDER VOTES POLLED"
"166"	"150"	"5"	"18"	"21"	"2"	"2"	"3"	"135"	"6"	"19"	"2"	"1"	"2"	"4"	"2"	"222"	"0"	"0"	"222"	"0"
"167"	"151"	"9"	"92"	"104"	"13"	"20"	"12"	"8"	"4"	"49"	"10"	"2"	"5"	"8"	"19"	"355"	"0"	"0"	"355"	"0"
"168"	"152"	"15"	"32"	"177"	"7"	"4"	"0"	"6"	"2"	"52"	"9"	"2"	"2"	"5"	"17"	"330"	"0"	"0"	"330"	"0"
"169"	"153"	"22"	"46"	"216"	"17"	"19"	"10"	"24"	"24"	"267"	"13"	"4"	"8"	"7"	"14"	"691"	"0"	"0"	"691"	"0"
"170"	"154"	"17"	"142"	"268"	"16"	"4"	"59"	"13"	"0"	"26"	"5"	"6"	"10"	"5"	"20"	"591"	"0"	"0"	"591"	"0"
"171"	"ROUND 11"	"174"	"1111"	"1344"	"146"	"94"	"273"	"1994"	"133"	"989"	"88"	"60"	"96"	"94"	"226"	"6822"	"0"	"0"	"6822"	"0"
"172"	"155"	"4"	"63"	"89"	"8"	"1"	"0"	"17"	"5"	"74"	"2"	"4"	"0"	"4"	"5"	"276"	"0"	"0"	"276"	"0"
"173"	"156"	"4"	"254"	"90"	"16"	"2"	"3"	"11"	"0"	"11"	"1"	"1"	"3"	"1"	"5"	"402"	"0"	"0"	"402"	"0"
"174"	"157"	"14"	"249"	"49"	"11"	"5"	"3"	"11"	"3"	"50"	"2"	"1"	"7"	"4"	"4"	"413"	"0"	"0"	"413"	"0"
"175"	"158"	"23"	"249"	"66"	"17"	"5"	"5"	"3"	"3"	"47"	"4"	"6"	"17"	"6"	"8"	"459"	"0"	"0"	"459"	"0"
"176"	"159"	"14"	"140"	"169"	"12"	"4"	"6"	"4"	"4"	"108"	"8"	"7"	"9"	"5"	"11"	"501"	"0"	"0"	"501"	"0"
"177"	"160"	"12"	"369"	"89"	"21"	"5"	"9"	"12"	"4"	"96"	"3"	"2"	"13"	"12"	"18"	"665"	"0"	"0"	"665"	"0"
"178"	"161"	"7"	"252"	"63"	"10"	"1"	"4"	"9"	"5"	"79"	"0"	"1"	"7"	"1"	"0"	"439"	"0"	"0"	"439"	"0"
"179"	"162"	"1"	"65"	"39"	"3"	"1"	"3"	"1"	"10"	"343"	"13"	"7"	"2"	"6"	"15"	"509"	"0"	"0"	"509"	"0"
"180"	"163"	"11"	"187"	"82"	"23"	"3"	"3"	"6"	"6"	"125"	"11"	"6"	"8"	"6"	"11"	"488"	"0"	"0"	"488"	"0"
"181"	"164"	"18"	"451"	"68"	"19"	"3"	"9"	"6"	"6"	"129"	"5"	"0"	"5"	"0"	"7"	"726"	"0"	"0"	"726"	"0"
"182"	"165"	"8"	"172"	"108"	"16"	"9"	"4"	"2"	"3"	"117"	"2"	"1"	"5"	"1"	"9"	"457"	"0"	"0"	"457"	"0"
"183"	"166"	"11"	"43"	"51"	"3"	"113"	"17"	"4"	"2"	"155"	"7"	"6"	"1"	"2"	"3"	"418"	"0"	"0"	"418"	"0"
"184"	"167"	"42"	"187"	"153"	"23"	"14"	"25"	"26"	"13"	"197"	"12"	"7"	"8"	"6"	"16"	"729"	"0"	"0"	"729"	"0"
"185"	"168"	"1"	"22"	"40"	"0"	"8"	"0"	"0"	"3"	"520"	"1"	"1"	"0"	"1"	"3"	"600"	"0"	"0"	"600"	"0"
"186"	"ROUND 12"	"170"	"2703"	"1156"	"182"	"174"	"91"	"112"	"67"	"2051"	"71"	"50"	"85"	"55"	"115"	"7082"	"0"	"0"	"7082"	"0"
"187"	"169"	"2"	"43"	"65"	"1"	"0"	"2"	"4"	"2"	"157"	"3"	"1"	"1"	"0"	"0"	"281"	"0"	"0"	"281"	"0"
"188"	"170"	"6"	"187"	"61"	"5"	"1"	"2"	"9"	"2"	"43"	"4"	"4"	"9"	"3"	"6"	"342"	"0"	"0"	"342"	"0"
"189"	"171"	"12"	"309"	"15"	"10"	"4"	"4"	"65"	"3"	"20"	"2"	"0"	"5"	"0"	"3"	"452"	"0"	"0"	"452"	"0"
"190"	"172"	"21"	"174"	"52"	"19"	"10"	"21"	"17"	"5"	"90"	"11"	"10"	"17"	"12"	"20"	"479"	"0"	"0"	"479"	"0"
"191"	"173"	"21"	"113"	"93"	"7"	"4"	"59"	"96"	"5"	"44"	"4"	"3"	"7"	"3"	"7"	"466"	"0"	"0"	"466"	"0"
"192"	"174"	"2"	"116"	"80"	"11"	"6"	"3"	"35"	"2"	"6"	"0"	"2"	"3"	"0"	"10"	"276"	"0"	"0"	"276"	"0"
"193"	"175"	"3"	"38"	"82"	"5"	"6"	"1"	"11"	"4"	"212"	"11"	"1"	"12"	"3"	"14"	"403"	"0"	"0"	"403"	"0"
"194"	"176"	"7"	"58"	"109"	"9"	"2"	"7"	"15"	"4"	"97"	"9"	"7"	"6"	"10"	"17"	"357"	"0"	"0"	"357"	"0"
"195"	"177"	"6"	"79"	"51"	"13"	"5"	"3"	"14"	"6"	"74"	"1"	"1"	"11"	"1"	"19"	"284"	"0"	"0"	"284"	"0"
"196"	"178"	"5"	"286"	"57"	"8"	"2"	"0"	"32"	"0"	"20"	"0"	"0"	"6"	"3"	"2"	"421"	"0"	"0"	"421"	"0"
"197"	"179"	"3"	"150"	"22"	"7"	"2"	"3"	"47"	"6"	"8"	"2"	"2"	"3"	"7"	"6"	"268"	"0"	"0"	"268"	"0"
"198"	"BOOTH    NO"	"ANIL KUMAR"	"MANINDRA KUMAR MANDAL"	"SIYARAM YADAV"	"RAMENDRA NARAYAN YADAV"	"SANJAY KUMAR YADAV"	"SURENDRA KUMAR"	"DR. ARUN KUMAR MANDAL"	"EKANAN KUWAR"	"CHANDRASHE KHAR YADAV"	"ZAHIR ABBAS"	"MITHILESH KUMAR"	"RAJEEV JOSHI"	"VANSHIDHAR SINGH"	"VIPIN KUMAR"	"TOTAL VALID VOTES POLLED"	"TOTAL REJECTED VOTES"	"TOTAL POSTAL VOTES POLLED"	"TOTAL VOTES POLLED"	"NO OF TENDER VOTES POLLED"
"199"	"180"	"27"	"473"	"53"	"22"	"6"	"15"	"11"	"1"	"7"	"4"	"1"	"6"	"1"	"2"	"629"	"0"	"0"	"629"	"0"
"200"	"181"	"10"	"432"	"20"	"19"	"1"	"1"	"11"	"1"	"15"	"3"	"0"	"6"	"5"	"9"	"533"	"0"	"0"	"533"	"0"
"201"	"182"	"6"	"27"	"194"	"5"	"0"	"3"	"2"	"4"	"28"	"1"	"2"	"3"	"3"	"4"	"282"	"0"	"0"	"282"	"0"
"202"	"ROUND 13"	"131"	"2485"	"954"	"141"	"49"	"124"	"369"	"45"	"821"	"55"	"34"	"95"	"51"	"119"	"5473"	"0"	"0"	"5473"	"0"
"203"	"183"	"3"	"171"	"110"	"22"	"24"	"4"	"47"	"1"	"17"	"1"	"2"	"3"	"1"	"8"	"414"	"0"	"0"	"414"	"0"
"204"	"184"	"3"	"140"	"10"	"7"	"6"	"0"	"6"	"1"	"2"	"0"	"0"	"9"	"1"	"3"	"188"	"0"	"0"	"188"	"0"
"205"	"185"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"206"	"186"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"207"	"187"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"208"	"188"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"209"	"189"	"9"	"102"	"142"	"14"	"2"	"10"	"3"	"4"	"48"	"5"	"4"	"11"	"5"	"21"	"380"	"0"	"0"	"380"	"0"
"210"	"190"	"0"	"4"	"6"	"2"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"16"	"0"	"0"	"16"	"0"
"211"	"191"	"15"	"135"	"137"	"15"	"8"	"5"	"9"	"2"	"81"	"4"	"1"	"4"	"3"	"5"	"424"	"0"	"0"	"424"	"0"
"212"	"192"	"5"	"66"	"195"	"4"	"5"	"78"	"39"	"4"	"103"	"2"	"4"	"5"	"7"	"13"	"530"	"0"	"0"	"530"	"0"
"213"	"193"	"19"	"363"	"149"	"23"	"6"	"7"	"5"	"6"	"48"	"4"	"1"	"11"	"3"	"6"	"651"	"0"	"0"	"651"	"0"
"214"	"194"	"13"	"59"	"177"	"12"	"2"	"34"	"6"	"6"	"66"	"3"	"1"	"2"	"2"	"6"	"389"	"0"	"0"	"389"	"0"
"215"	"195"	"12"	"291"	"91"	"13"	"7"	"4"	"12"	"0"	"88"	"6"	"9"	"9"	"10"	"12"	"564"	"0"	"0"	"564"	"0"
"216"	"196"	"24"	"84"	"202"	"10"	"3"	"4"	"21"	"3"	"49"	"5"	"1"	"13"	"5"	"8"	"432"	"0"	"0"	"432"	"0"
"217"	"ROUND 14"	"103"	"1415"	"1219"	"122"	"63"	"146"	"148"	"27"	"506"	"30"	"23"	"67"	"37"	"82"	"3988"	"0"	"0"	"3988"	"0"
"218"	"197"	"19"	"297"	"107"	"33"	"24"	"4"	"7"	"5"	"30"	"5"	"2"	"5"	"1"	"5"	"544"	"0"	"0"	"544"	"0"
"219"	"198"	"8"	"156"	"96"	"24"	"3"	"19"	"51"	"10"	"20"	"4"	"6"	"18"	"89"	"29"	"533"	"0"	"0"	"533"	"0"
"220"	"199"	"4"	"142"	"21"	"8"	"1"	"1"	"20"	"0"	"22"	"1"	"1"	"4"	"5"	"3"	"233"	"0"	"0"	"233"	"0"
"221"	"200"	"6"	"141"	"40"	"7"	"4"	"4"	"18"	"1"	"34"	"2"	"0"	"6"	"3"	"5"	"271"	"0"	"0"	"271"	"0"
"222"	"201"	"8"	"160"	"26"	"10"	"8"	"6"	"62"	"13"	"105"	"11"	"3"	"9"	"7"	"17"	"445"	"0"	"0"	"445"	"0"
"223"	"202"	"16"	"39"	"357"	"3"	"4"	"1"	"45"	"1"	"291"	"1"	"2"	"12"	"2"	"0"	"774"	"0"	"0"	"774"	"0"
"224"	"ROUND 15"	"61"	"935"	"647"	"85"	"44"	"35"	"203"	"30"	"502"	"24"	"14"	"54"	"107"	"59"	"2800"	"0"	"0"	"2800"	"0"
