"Election.to.the.Bihar.Legislative.Assembly.from.the.236.Barachatti..SC..Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"265"	"199"	"57"	"594"	"43"	"21"	"70"	"16"	"801"	"0"	"801"	""
"266"	"200"	"80"	"327"	"71"	"60"	"32"	"16"	"586"	"0"	"586"	""
"267"	"201"	"48"	"56"	"6"	"1"	"7"	"2"	"120"	"0"	"120"	""
"268"	"202"	"159"	"149"	"21"	"10"	"2"	"6"	"347"	"0"	"347"	""
"269"	"203"	"11"	"233"	"224"	"7"	"13"	"13"	"501"	"0"	"501"	""
"270"	"204"	"45"	"97"	"103"	"10"	"73"	"38"	"366"	"0"	"366"	""
"271"	"205"	"1"	"559"	"1"	"0"	"0"	"0"	"561"	"0"	"561"	""
"272"	"206"	"1"	"1004"	"3"	"1"	"0"	"2"	"1011"	"0"	"1011"	""
"273"	"207"	"1"	"1098"	"3"	"0"	"4"	"0"	"1106"	"0"	"1106"	""
"274"	"208"	"0"	"357"	"0"	"1"	"0"	"0"	"358"	"0"	"358"	""
"275"	"209"	"1"	"689"	"1"	"0"	"0"	"0"	"691"	"0"	"691"	""
"276"	""	""	""	""	""	""	""	"0"	"0"	"0"	""
"277"	"Total"	"541"	"5429"	"698"	"155"	"285"	"141"	"7249"	"0"	"7249"	""
"278"	"Place                 Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""
"279"	"Date                  27-02-2005"	""	""	""	""	""	""	""	""	""	""
"280"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""
"281"	"(FORM 20)"	""	""	""	""	""	""	""	""	""	""
"282"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""
"283"	"Election to the Bihar Legislative Assembly from the 236-Barachatti (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""
"284"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""
"285"	"Round No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	"TOTAL No. of valid votes"	"No. of rejected votes"	"Total no. of votes"	"Total No. of tendered  votes"
"286"	""	"PANKAJ KUMAR"	"VIJAY KUMAR"	"VIJAY PASWAN"	"RAMDEEP PASWAN"	"RAMSWAROOP MANDAL"	"MANJARI DEVI"	""	""	""	""
"287"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"12"	"13"	"14"	"15"
"288"	"1"	"808"	"4783"	"2292"	"171"	"565"	"508"	"9127"	"0"	"9127"	""
"289"	"2"	"555"	"2368"	"2275"	"295"	"345"	"297"	"6135"	"0"	"6135"	""
"290"	"3"	"499"	"2796"	"2807"	"473"	"151"	"145"	"6871"	"0"	"6871"	""
"291"	"4"	"397"	"4437"	"1516"	"81"	"156"	"100"	"6687"	"0"	"6687"	""
"292"	"5"	"800"	"3664"	"713"	"105"	"282"	"131"	"5695"	"0"	"5695"	""
"293"	"6"	"584"	"2004"	"2223"	"447"	"678"	"322"	"6258"	"0"	"6258"	""
"294"	"7"	"653"	"1614"	"1882"	"205"	"713"	"359"	"5426"	"0"	"5426"	""
"295"	"8"	"532"	"2647"	"1071"	"119"	"879"	"184"	"5432"	"0"	"5432"	""
"296"	"9"	"233"	"2389"	"1099"	"122"	"1482"	"235"	"5560"	"0"	"5560"	""
"297"	"10"	"107"	"4082"	"191"	"34"	"840"	"82"	"5336"	"0"	"5336"	""
"298"	"11"	"256"	"3815"	"3185"	"454"	"267"	"144"	"8121"	"0"	"8121"	""
"299"	"12"	"181"	"3649"	"1282"	"118"	"1005"	"74"	"6309"	"0"	"6309"	""
"300"	"13"	"383"	"5624"	"668"	"84"	"327"	"125"	"7211"	"0"	"7211"	""
"301"	"14"	"829"	"4154"	"2341"	"279"	"583"	"202"	"8388"	"0"	"8388"	""
"302"	"15"	"541"	"5429"	"698"	"155"	"285"	"141"	"7249"	"0"	"7249"	""
"303"	"Total no. of votes recorded at polling
station"	"7358"	"53455"	"24243"	"3142"	"8558"	"3049"	"99805"	"0"	"99805"	""
"304"	"No. of vote recorded on postal ballot papers"	""	""	""	""	""	""	""	""	""	""
"305"	"Total vote polled"	"7358"	"53455"	"24243"	"3142"	"8558"	"3049"	"99805"	"0"	"99805"	""
"306"	"Place                 Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""
"307"	"Date                  27-02-2005"	""	""	""	""	""	""	""	""	""	""
"308"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""
