"FINAL.RESULTSHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"156"	"129"	"32"	"235"	"182"	"18"	"3"	"1"	"1"	"3"	"1"	"1"	"2"	"3"	"14"	"4"	"6"	"506"	"0"	"506"	""	""
"157"	"130"	"98"	"10"	"112"	"22"	"2"	"5"	"1"	"0"	"1"	"2"	"1"	"2"	"4"	"5"	"11"	"276"	"0"	"276"	""	""
"158"	"131"	"121"	"42"	"48"	"103"	"8"	"3"	"2"	"1"	"3"	"3"	"2"	"5"	"4"	"4"	"8"	"357"	"0"	"357"	""	""
"159"	"132"	"94"	"6"	"107"	"9"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"224"	"0"	"224"	""	""
"160"	"133"	"29"	"1"	"367"	"22"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"1"	"7"	"433"	"0"	"433"	""	""
"161"	"134"	"167"	"10"	"109"	"11"	"1"	"1"	"2"	"3"	"0"	"1"	"4"	"5"	"8"	"5"	"25"	"352"	"0"	"352"	""	""
"162"	"135"	"168"	"6"	"30"	"32"	"6"	"6"	"4"	"1"	"2"	"3"	"4"	"23"	"6"	"0"	"9"	"300"	"0"	"300"	""	""
"163"	"136"	"30"	"5"	"198"	"63"	"3"	"0"	"5"	"3"	"6"	"3"	"2"	"8"	"20"	"3"	"7"	"356"	"0"	"356"	""	""
"164"	"137"	"89"	"12"	"98"	"63"	"9"	"0"	"3"	"0"	"1"	"1"	"1"	"6"	"4"	"5"	"9"	"301"	"0"	"301"	""	""
"165"	"138"	"60"	"9"	"191"	"20"	"3"	"4"	"1"	"0"	"2"	"2"	"3"	"3"	"7"	"1"	"12"	"318"	"0"	"318"	""	""
"166"	"139"	"10"	"54"	"124"	"97"	"6"	"2"	"1"	"5"	"6"	"0"	"20"	"5"	"16"	"3"	"10"	"359"	"0"	"359"	""	""
"167"	"140"	"37"	"2"	"154"	"170"	"9"	"2"	"2"	"0"	"3"	"1"	"11"	"20"	"6"	"3"	"15"	"435"	"0"	"435"	""	""
"168"	"Round-10"	"10341"	"964"	"18850"	"8341"	"851"	"391"	"281"	"211"	"156"	"165"	"494"	"953"	"902"	"351"	"1021"	"44272"	"0"	"44272"	""	""
"169"	"141"	"71"	"0"	"2"	"45"	"5"	"0"	"1"	"0"	"1"	"1"	"2"	"9"	"2"	"1"	"11"	"151"	"0"	"151"	""	""
"170"	"142"	"22"	"1"	"103"	"21"	"0"	"2"	"0"	"2"	"1"	"1"	"12"	"2"	"1"	"0"	"4"	"172"	"0"	"172"	""	""
"171"	"143"	"110"	"0"	"1"	"112"	"2"	"0"	"0"	"1"	"1"	"0"	"1"	"2"	"3"	"0"	"3"	"236"	"0"	"236"	""	""
"172"	"144"	"68"	"1"	"40"	"60"	"6"	"3"	"3"	"0"	"0"	"0"	"0"	"1"	"3"	"2"	"2"	"189"	"0"	"189"	""	""
"173"	"145"	"123"	"5"	"69"	"54"	"0"	"1"	"0"	"3"	"0"	"1"	"0"	"5"	"6"	"0"	"7"	"274"	"0"	"274"	""	""
"174"	"146"	"240"	"4"	"0"	"24"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"13"	"286"	"0"	"286"	""	""
"175"	"147"	"139"	"8"	"218"	"24"	"4"	"2"	"2"	"2"	"1"	"1"	"0"	"0"	"5"	"3"	"3"	"412"	"0"	"412"	""	""
"176"	"148"	"38"	"5"	"208"	"98"	"9"	"2"	"4"	"10"	"1"	"3"	"1"	"12"	"14"	"8"	"16"	"429"	"0"	"429"	""	""
"177"	"149"	"32"	"3"	"57"	"66"	"5"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"4"	"2"	"2"	"175"	"0"	"175"	""	""
"178"	"150"	"24"	"10"	"232"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"11"	"0"	"0"	"0"	"1"	"282"	"0"	"282"	""	""
"179"	"151"	"110"	"3"	"10"	"6"	"1"	"1"	"3"	"1"	"1"	"1"	"0"	"2"	"2"	"3"	"5"	"149"	"0"	"149"	""	""
"180"	"152"	"82"	"0"	"382"	"45"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"6"	"2"	"3"	"525"	"0"	"525"	""	""
"181"	"153"	"28"	"9"	"238"	"25"	"4"	"2"	"7"	"3"	"36"	"1"	"0"	"7"	"4"	"1"	"4"	"369"	"0"	"369"	""	""
"182"	"154"	"3"	"0"	"396"	"17"	"4"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"4"	"0"	"6"	"433"	"0"	"433"	""	""
"183"	"Round-11"	"11431"	"1013"	"20806"	"8941"	"893"	"410"	"302"	"234"	"199"	"175"	"522"	"996"	"957"	"374"	"1101"	"48354"	"0"	"48354"	""	""
"184"	"155"	"9"	"0"	"236"	"22"	"2"	"2"	"1"	"0"	"2"	"0"	"0"	"1"	"1"	"0"	"4"	"280"	""	"280"	""	""
"185"	"156"	"12"	"1"	"292"	"13"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"8"	"1"	"3"	"345"	""	"345"	""	""
"186"	"157"	"44"	"8"	"327"	"12"	"1"	"4"	"3"	"1"	"0"	"0"	"1"	"0"	"10"	"6"	"8"	"425"	"0"	"425"	""	""
"187"	"158"	"12"	"0"	"282"	"6"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"305"	"0"	"305"	""	""
"188"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"189"	""	"Arjun Paswan (Ajay Paswan)"	"Reshami Devi"	"Satyadeo Narayan Arya"	"Anil Roy"	"Gayatri Devi"	"Jay Ram Manjhi"	"Baldeo Das"	"Shailendra Kumar"	"Surendra Kumar Arya"	"Gageshw ar Ravidas"	"Tarni Kumar"	"Dinesh Chaudhary"	"Dukhan Das"	"Ram Bilas Manjhi"	"Shiv Kumar Paswan"	""	""	""	""	""
"190"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"191"	"159"	"20"	"3"	"273"	"31"	"4"	"3"	"2"	"2"	"1"	"2"	"0"	"1"	"4"	"4"	"2"	"352"	"0"	"352"	""	""
"192"	"160"	"6"	"0"	"52"	"303"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"367"	"0"	"367"	""	""
"193"	"161"	"36"	"1"	"319"	"58"	"5"	"2"	"0"	"1"	"0"	"1"	"0"	"4"	"6"	"0"	"3"	"436"	"0"	"436"	""	""
"194"	"162"	"369"	"8"	"3"	"28"	"4"	"3"	"1"	"0"	"1"	"2"	"1"	"0"	"1"	"1"	"5"	"427"	"0"	"427"	""	""
"195"	"163"	"244"	"8"	"44"	"19"	"3"	"3"	"1"	"2"	"2"	"2"	"3"	"0"	"2"	"0"	"5"	"338"	"0"	"338"	""	""
"196"	"164"	"257"	"2"	"15"	"28"	"2"	"0"	"0"	"0"	"2"	"0"	"1"	"2"	"4"	"0"	"9"	"322"	"0"	"322"	""	""
"197"	"165"	"209"	"4"	"31"	"14"	"3"	"2"	"3"	"0"	"1"	"1"	"1"	"3"	"8"	"4"	"21"	"305"	"0"	"305"	""	""
"198"	"166"	"75"	"6"	"292"	"19"	"1"	"2"	"1"	"1"	"1"	"0"	"4"	"3"	"5"	"1"	"5"	"416"	"0"	"416"	""	""
"199"	"167"	"87"	"5"	"260"	"62"	"12"	"8"	"7"	"8"	"3"	"3"	"4"	"12"	"13"	"2"	"9"	"495"	"0"	"495"	""	""
"200"	"168"	"187"	"4"	"149"	"37"	"4"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"3"	"1"	"4"	"391"	"0"	"391"	""	""
"201"	"Round-12"	"12998"	"1063"	"23381"	"9593"	"939"	"442"	"323"	"252"	"214"	"188"	"539"	"1024"	"1025"	"395"	"1182"	"53558"	"0"	"53558"	""	""
"202"	"169"	"230"	"2"	"113"	"6"	"0"	"4"	"3"	"1"	"1"	"0"	"1"	"5"	"5"	"2"	"5"	"378"	"0"	"378"	""	""
"203"	"170"	"125"	"1"	"71"	"28"	"2"	"4"	"0"	"1"	"1"	"1"	"0"	"1"	"4"	"1"	"6"	"246"	"0"	"246"	""	""
"204"	"171"	"102"	"4"	"234"	"5"	"2"	"3"	"2"	"1"	"3"	"3"	"3"	"0"	"7"	"1"	"10"	"380"	"0"	"380"	""	""
"205"	"172"	"132"	"15"	"146"	"7"	"4"	"0"	"3"	"1"	"0"	"1"	"3"	"2"	"2"	"2"	"12"	"330"	"0"	"330"	""	""
"206"	"173"	"138"	"0"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"148"	"0"	"148"	""	""
"207"	"174"	"276"	"11"	"224"	"92"	"3"	"1"	"0"	"5"	"2"	"3"	"2"	"8"	"14"	"4"	"22"	"667"	"0"	"667"	""	""
"208"	"175"	"414"	"9"	"18"	"14"	"5"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"7"	"471"	"0"	"471"	""	""
"209"	"176"	"202"	"2"	"169"	"8"	"0"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"8"	"3"	"14"	"410"	"0"	"410"	""	""
"210"	"177"	"186"	"7"	"40"	"12"	"3"	"8"	"3"	"1"	"1"	"2"	"5"	"49"	"5"	"3"	"21"	"346"	"0"	"346"	""	""
"211"	"178"	"200"	"4"	"120"	"61"	"6"	"1"	"1"	"3"	"2"	"2"	"4"	"2"	"8"	"3"	"13"	"430"	"0"	"430"	""	""
"212"	"179"	"88"	"14"	"5"	"45"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"158"	"0"	"158"	""	""
"213"	"180"	"84"	"4"	"34"	"22"	"23"	"0"	"0"	"0"	"0"	"1"	"22"	"1"	"2"	"0"	"4"	"197"	"0"	"197"	""	""
"214"	"181"	"20"	"0"	"133"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"0"	"186"	""	""
"215"	"182"	"53"	"1"	"79"	"41"	"4"	"3"	"1"	"1"	"0"	"4"	"6"	"3"	"7"	"2"	"7"	"212"	"0"	"212"	""	""
"216"	"Round-13"	"15248"	"1137"	"24769"	"9972"	"993"	"471"	"337"	"266"	"225"	"206"	"587"	"1096"	"1090"	"416"	"1304"	"58117"	"0"	"58117"	""	""
"217"	"183"	"249"	"0"	"11"	"61"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"323"	"0"	"323"	""	""
"218"	"184"	"106"	"2"	"152"	"23"	"6"	"3"	"6"	"7"	"0"	"0"	"2"	"1"	"31"	"2"	"1"	"342"	"0"	"342"	""	""
"219"	"185"	"62"	"34"	"153"	"147"	"13"	"16"	"0"	"1"	"0"	"2"	"2"	"2"	"4"	"0"	"6"	"442"	"0"	"442"	""	""
"220"	"186"	"533"	"0"	"6"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"561"	"0"	"561"	""	""
"221"	"187"	"63"	"0"	"148"	"61"	"5"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"13"	"0"	"0"	"291"	"0"	"291"	""	""
"222"	"188"	"89"	"4"	"142"	"23"	"4"	"2"	"1"	"0"	"1"	"0"	"0"	"2"	"4"	"1"	"4"	"277"	"0"	"277"	""	""
"223"	"189"	"318"	"3"	"3"	"25"	"2"	"2"	"3"	"0"	"0"	"1"	"4"	"6"	"4"	"1"	"6"	"378"	"0"	"378"	""	""
"224"	"190"	"58"	"1"	"101"	"64"	"2"	"1"	"0"	"1"	"0"	"0"	"2"	"0"	"11"	"0"	"3"	"244"	"0"	"244"	""	""
"225"	"191"	"86"	"7"	"32"	"62"	"4"	"3"	"1"	"1"	"1"	"0"	"17"	"7"	"7"	"1"	"8"	"237"	"0"	"237"	""	""
"226"	"192"	"70"	"3"	"97"	"98"	"6"	"2"	"4"	"2"	"1"	"1"	"0"	"3"	"12"	"3"	"2"	"304"	"0"	"304"	""	""
"227"	"193"	"14"	"3"	"339"	"9"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"370"	"0"	"370"	""	""
"228"	"194"	"71"	"0"	"23"	"73"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"172"	"0"	"172"	""	""
"229"	"195"	"52"	"2"	"45"	"133"	"7"	"3"	"1"	"1"	"0"	"2"	"26"	"24"	"4"	"3"	"3"	"306"	"0"	"306"	""	""
"230"	"196"	"329"	"1"	"5"	"18"	"3"	"1"	"3"	"2"	"0"	"0"	"0"	"3"	"3"	"2"	"14"	"384"	"0"	"384"	""	""
"231"	"Round-14"	"17348"	"1197"	"26026"	"10787"	"1049"	"504"	"356"	"286"	"228"	"212"	"645"	"1144"	"1185"	"430"	"1351"	"62748"	"0"	"62748"	""	""
"232"	"197"	"82"	"2"	"6"	"8"	"0"	"2"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"105"	"0"	"105"	""	""
"233"	"198"	"43"	"0"	"53"	"35"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"2"	"2"	"0"	"4"	"143"	"0"	"143"	""	""
"234"	"199"	"42"	"1"	"60"	"72"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"182"	"0"	"182"	""	""
"235"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"236"	""	"Arjun Paswan (Ajay Paswan)"	"Reshami Devi"	"Satyadeo Narayan Arya"	"Anil Roy"	"Gayatri Devi"	"Jay Ram Manjhi"	"Baldeo Das"	"Shailendra Kumar"	"Surendra Kumar Arya"	"Gageshw ar Ravidas"	"Tarni Kumar"	"Dinesh Chaudhary"	"Dukhan Das"	"Ram Bilas Manjhi"	"Shiv Kumar Paswan"	""	""	""	""	""
"237"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"238"	"200"	"34"	"3"	"206"	"6"	"3"	"0"	"0"	"1"	"0"	"0"	"2"	"2"	"7"	"4"	"3"	"271"	"0"	"271"	""	""
"239"	"201"	"93"	"6"	"79"	"84"	"12"	"3"	"4"	"3"	"3"	"5"	"3"	"9"	"12"	"4"	"7"	"327"	"0"	"327"	""	""
"240"	"202"	"117"	"1"	"22"	"24"	"2"	"0"	"0"	"1"	"0"	"0"	"1"	"3"	"3"	"0"	"7"	"181"	"0"	"181"	""	""
"241"	"203"	"244"	"10"	"49"	"53"	"5"	"5"	"1"	"1"	"2"	"3"	"0"	"6"	"3"	"2"	"8"	"392"	"0"	"392"	""	""
"242"	"204"	"179"	"9"	"51"	"53"	"6"	"1"	"2"	"0"	"0"	"0"	"2"	"3"	"13"	"0"	"2"	"321"	"0"	"321"	""	""
"243"	"205"	"15"	"4"	"54"	"402"	"14"	"0"	"2"	"1"	"1"	"2"	"3"	"4"	"3"	"3"	"3"	"511"	"0"	"511"	""	""
"244"	"206"	"117"	"5"	"125"	"7"	"0"	"2"	"3"	"0"	"0"	"2"	"1"	"4"	"9"	"0"	"8"	"283"	"0"	"283"	""	""
"245"	"207"	"185"	"0"	"53"	"4"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"9"	"2"	"8"	"264"	"0"	"264"	""	""
"246"	"208"	"449"	"3"	"37"	"13"	"1"	"2"	"1"	"0"	"0"	"1"	"2"	"1"	"3"	"0"	"22"	"535"	"0"	"535"	""	""
"247"	"209"	"26"	"0"	"23"	"185"	"3"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"24"	"2"	"2"	"268"	"0"	"268"	""	""
"248"	"210"	"11"	"5"	"377"	"69"	"2"	"6"	"0"	"0"	"0"	"1"	"3"	"42"	"7"	"3"	"5"	"531"	"0"	"531"	""	""
"249"	"Round-15"	"18985"	"1246"	"27221"	"11802"	"1103"	"527"	"370"	"294"	"235"	"226"	"666"	"1222"	"1282"	"450"	"1433"	"67062"	"0"	"67062"	""	""
"250"	"211"	"0"	"2"	"369"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"376"	"0"	"376"	""	""
"251"	"212"	"12"	"25"	"234"	"59"	"4"	"3"	"2"	"1"	"4"	"8"	"2"	"2"	"7"	"4"	"2"	"369"	"0"	"369"	""	""
"252"	"213"	"92"	"0"	"214"	"60"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"2"	"0"	"4"	"377"	"0"	"377"	""	""
"253"	"214"	"171"	"3"	"42"	"9"	"8"	"1"	"4"	"0"	"0"	"1"	"3"	"0"	"3"	"3"	"14"	"262"	"0"	"262"	""	""
"254"	"215"	"54"	"2"	"261"	"7"	"1"	"2"	"1"	"0"	"0"	"0"	"2"	"2"	"3"	"0"	"0"	"335"	"0"	"335"	""	""
"255"	"216"	"55"	"6"	"407"	"74"	"5"	"6"	"3"	"5"	"0"	"1"	"3"	"7"	"7"	"3"	"6"	"588"	"0"	"588"	""	""
"256"	"217"	"102"	"53"	"465"	"55"	"3"	"1"	"7"	"3"	"1"	"1"	"2"	"2"	"2"	"3"	"4"	"704"	"0"	"704"	""	""
"257"	"218"	"143"	"5"	"110"	"86"	"3"	"3"	"0"	"0"	"0"	"1"	"2"	"5"	"15"	"4"	"24"	"401"	"0"	"401"	""	""
"258"	"Round-16"	"19614"	"1342"	"29323"	"12155"	"1129"	"543"	"388"	"304"	"240"	"238"	"681"	"1242"	"1321"	"467"	"1487"	"70474"	"0"	"70474"	""	""
"259"	"Total No. of votes recorded on Polling
Stations"	"19614"	"1342"	"29323"	"12155"	"1129"	"543"	"388"	"304"	"240"	"238"	"681"	"1242"	"1321"	"467"	"1487"	"70474"	"0"	"70474"	""	""
"260"	"No. of votes recorded on postal ballot papers"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	""	""
"261"	"Total votes polled"	"19614"	"1342"	"29324"	"12155"	"1129"	"543"	"388"	"304"	"240"	"238"	"681"	"1242"	"1321"	"467"	"1487"	"70475"	"0"	"70475"	""	""
"262"	"Place  :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"263"	"Date   :                                                                                                                                                                                                                                                                                                                          Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
