"ANNEURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"125"	"98 B"	"MIDDLE SCHOOL JAMIRA(OLD BUILDING)"	"11"	"3"	"212"	"11"	"3"	"1"	"0"	"1"	"13"	"26"	"1"	"1"	"5"	"8"	"20"	"316"	"0"	"316"	"0"
"126"	"98"	"MIDDLE SCHOOL JAMIRA(WESTERN PART)"	"12"	"3"	"171"	"10"	"1"	"5"	"4"	"4"	"13"	"168"	"1"	"5"	"1"	"4"	"25"	"427"	"0"	"427"	"0"
"127"	"99"	"MIDDLE SCHOOL JAMIRA(MIDDLE PART)"	"64"	"2"	"20"	"27"	"2"	"2"	"5"	"2"	"22"	"138"	"7"	"2"	"0"	"4"	"32"	"329"	"0"	"329"	"0"
"128"	"100"	"SARKARI GRAM KACHHARI JAMIRA"	"46"	"2"	"105"	"16"	"7"	"8"	"5"	"5"	"197"	"157"	"9"	"13"	"5"	"2"	"26"	"603"	"0"	"603"	"0"
"129"	"101"	"PRIMARY SCHOOL LAXMANPUR"	"232"	"4"	"22"	"26"	"2"	"2"	"13"	"8"	"206"	"48"	"3"	"6"	"6"	"1"	"9"	"588"	"0"	"588"	"0"
"130"	"102"	"PRIMARY SCHOOL ALIPUR"	"311"	"0"	"6"	"17"	"2"	"2"	"0"	"1"	"8"	"0"	"0"	"2"	"0"	"4"	"1"	"354"	"0"	"354"	"0"
"131"	"103"	"SAMUDAYIK HARIJAN DALAN,ALIPUR"	"177"	"8"	"3"	"10"	"0"	"3"	"6"	"5"	"262"	"2"	"2"	"2"	"1"	"0"	"0"	"481"	"0"	"481"	"0"
"132"	"104"	"PRIMARY SCHOOL HASANPURA"	"16"	"2"	"696"	"14"	"0"	"1"	"1"	"0"	"78"	"1"	"0"	"1"	"0"	"0"	"0"	"810"	"0"	"810"	"0"
"133"	"105"	"HARIJAN DALAN PIPARHIYAN"	"19"	"4"	"492"	"9"	"7"	"3"	"5"	"3"	"8"	"2"	"1"	"3"	"14"	"13"	"8"	"591"	"0"	"591"	"0"
"134"	"106"	"MIDDLE SCHOOL GOTHHULA"	"33"	"6"	"245"	"8"	"2"	"1"	"1"	"2"	"245"	"138"	"5"	"6"	"0"	"1"	"8"	"701"	"0"	"701"	"0"
"135"	"107"	"PRIMARY SCHOOL BARAULI"	"39"	"7"	"216"	"31"	"4"	"3"	"5"	"16"	"202"	"12"	"4"	"7"	"6"	"5"	"6"	"563"	"0"	"563"	"0"
"136"	"108"	"MIDDLE SCHOOL KARWAN"	"220"	"4"	"15"	"9"	"0"	"2"	"7"	"9"	"367"	"4"	"0"	"5"	"1"	"7"	"3"	"653"	"0"	"653"	"0"
"137"	"109"	"PRIMARY SCHOOL BHUSUHULA"	"4"	"3"	"410"	"3"	"1"	"0"	"0"	"0"	"3"	"2"	"0"	"1"	"0"	"2"	"0"	"429"	"0"	"429"	"0"
"138"	"110"	"URDU MIDDLE SCHOOL BALBATRA(MIDDLE PART)"	"19"	"3"	"443"	"25"	"3"	"2"	"0"	"3"	"65"	"24"	"1"	"7"	"6"	"3"	"5"	"609"	"0"	"609"	"0"
"139"	"SL."	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"140"	""	""	"Amrendra Pratap Singh"	"Treta Sawaliya Singh"	"Md. Nawaj Alam"	"Satyendra Narayan Singh"	"Ajit Kumar Singh"	"Nand Kishore Singh"	"Bharat Bhushan Pandey"	"Ram Sakal Singh"	"Sudama Prasad"	"Abdul Mallic"	"Balendu Shekhar Gupta"	"Mukhiya Ram"	"Rakesh Kumar"	"Bidya Niwas Singh"	"Surendra Ram"	""	""	""	""
"141"	""	""	"BJP"	"BSP"	"RJD"	"INC"	"SJP®"	"SAP"	"ABJS"	"SP"	"CPI(ML)(L)"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"142"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"143"	"111"	"URDU MIDDLE SCHOOL BALBATRA(NORTHERN PA"	"86"	"1"	"387"	"46"	"4"	"3"	"3"	"1"	"47"	"32"	"0"	"2"	"3"	"1"	"4"	"620"	"0"	"620"	"0"
"144"	"112"	"URDU MIDDLE SCHOOL BALBATRA(SOUTHERN PA"	"10"	"2"	"244"	"5"	"0"	"0"	"0"	"0"	"4"	"57"	"0"	"0"	"5"	"7"	"6"	"340"	"0"	"340"	"0"
"145"	"113"	"PARDA KANYA MIDDLE SCHOOL BINDTOLI(EASTE"	"109"	"3"	"92"	"9"	"0"	"4"	"5"	"10"	"187"	"0"	"1"	"10"	"15"	"5"	"6"	"456"	"0"	"456"	"0"
"146"	"114"	"PARDA KANYA MIDDLE SCHOOL BINDTOLI(NORTH"	"215"	"12"	"179"	"35"	"7"	"6"	"5"	"12"	"215"	"4"	"4"	"22"	"7"	"6"	"9"	"738"	"0"	"738"	"0"
"147"	"115"	"BRANCH OFFICE ELECTRIC DEPTT. BANSTAL"	"310"	"2"	"117"	"22"	"3"	"1"	"0"	"0"	"47"	"1"	"0"	"0"	"0"	"0"	"1"	"504"	"0"	"504"	"0"
"148"	"116"	"SANSKRIT HIGH SCHOOL MAJHUWAN(NORTHERN"	"233"	"1"	"77"	"22"	"2"	"1"	"1"	"3"	"108"	"3"	"2"	"9"	"5"	"4"	"2"	"473"	"0"	"473"	"0"
"149"	"117"	"SANSKRIT HIGH SCHOOL MAJHUWAN(SOUTHERN"	"264"	"1"	"13"	"38"	"4"	"0"	"1"	"1"	"40"	"1"	"1"	"1"	"2"	"2"	"3"	"372"	"0"	"372"	"0"
"150"	"118"	"SANSKRIT HIGH SCHOOL MAJHUWAN(MIDDLE PA"	"126"	"3"	"15"	"10"	"10"	"17"	"5"	"10"	"275"	"11"	"5"	"26"	"16"	"1"	"5"	"535"	"0"	"535"	"0"
"151"	"119"	"GURUNANAK ABHYASARTH MIDDLE SCHOOL MAU"	"184"	"1"	"66"	"23"	"3"	"4"	"0"	"4"	"63"	"2"	"1"	"1"	"2"	"3"	"5"	"362"	"0"	"362"	"0"
"152"	"120"	"GURUNANAK ABHAYASARTH MIDDLE SCHOOL MA"	"331"	"2"	"43"	"19"	"3"	"1"	"0"	"0"	"93"	"33"	"1"	"5"	"1"	"1"	"2"	"535"	"0"	"535"	"0"
"153"	"121"	"GURUNANAK ABHAYASARATH MIDDLE SCHOOL,M"	"129"	"0"	"87"	"16"	"1"	"0"	"0"	"1"	"27"	"6"	"1"	"1"	"1"	"1"	"3"	"274"	"0"	"274"	"0"
"154"	"122"	"NAGARPALIKA OFFICE,ARA"	"149"	"1"	"58"	"28"	"1"	"0"	"3"	"0"	"161"	"10"	"1"	"2"	"2"	"1"	"2"	"419"	"0"	"419"	"0"
"155"	"123"	"SALETAX OFFICE BHAWAN,ARA(NORTHERN PART"	"85"	"0"	"32"	"22"	"1"	"1"	"0"	"16"	"62"	"33"	"0"	"0"	"1"	"3"	"11"	"267"	"0"	"267"	"0"
"156"	"124"	"SALETAX OFFICE BHAWAN,ARA(SOUTHERN PART"	"116"	"1"	"143"	"38"	"4"	"2"	"2"	"3"	"136"	"13"	"3"	"3"	"3"	"4"	"4"	"475"	"0"	"475"	"0"
"157"	"125"	"ARA TOWN HIGH SCHOOL DRILLSHED(NORTHERN"	"121"	"1"	"85"	"25"	"3"	"1"	"1"	"0"	"168"	"8"	"1"	"2"	"0"	"1"	"2"	"419"	"0"	"419"	"0"
"158"	"126"	"ARA TOWN HIGH SCHOOL DRILLSHED(SOUTHERN"	"192"	"1"	"153"	"33"	"1"	"2"	"1"	"3"	"61"	"10"	"0"	"2"	"1"	"2"	"2"	"464"	"0"	"464"	"0"
"159"	"127"	"ARA TOWN HIGH SCHOOL(MIDDLE PART)"	"211"	"6"	"135"	"40"	"7"	"8"	"1"	"3"	"136"	"6"	"2"	"8"	"6"	"2"	"6"	"577"	"0"	"577"	"0"
"160"	"128"	"MADRASA BAHIDIYA TARI MOHLLA"	"60"	"1"	"91"	"37"	"0"	"1"	"0"	"1"	"25"	"3"	"0"	"1"	"0"	"0"	"1"	"221"	"0"	"221"	"0"
"161"	"129"	"SHISHU BHAWAN ARA(MIDDLE PART)"	"380"	"15"	"18"	"25"	"1"	"0"	"1"	"0"	"87"	"1"	"0"	"0"	"1"	"0"	"2"	"531"	"0"	"531"	"0"
"162"	"130"	"SHISHU BHAWAN ARA(WESTERN PART)"	"118"	"1"	"26"	"14"	"0"	"1"	"0"	"0"	"183"	"1"	"0"	"2"	"0"	"0"	"2"	"348"	"0"	"348"	"0"
"163"	"131"	"HARPRASAD JAIN HIGH SCHOOL ARA"	"150"	"2"	"58"	"34"	"0"	"1"	"0"	"1"	"84"	"3"	"2"	"0"	"1"	"1"	"1"	"338"	"0"	"338"	"0"
"164"	"132"	"BHUNESHWARI MIDDLE SCHOOL MAHAJANI SCHO"	"257"	"5"	"65"	"50"	"1"	"3"	"2"	"2"	"109"	"11"	"2"	"6"	"1"	"1"	"1"	"516"	"0"	"516"	"0"
"165"	"133"	"BHUNESHWARI MIDDLE SCHOOL MAHAJANI SCHO"	"102"	"1"	"29"	"35"	"3"	"0"	"2"	"1"	"219"	"14"	"0"	"1"	"1"	"1"	"1"	"410"	"0"	"410"	"0"
"166"	"134"	"MAHANT MAHADEVA NAND GIRI MAHILA COLLEGE"	"202"	"2"	"137"	"52"	"3"	"2"	"2"	"0"	"90"	"2"	"0"	"4"	"1"	"2"	"1"	"500"	"0"	"500"	"0"
"167"	"SL."	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"168"	""	""	"Amrendra Pratap Singh"	"Treta Sawaliya Singh"	"Md. Nawaj Alam"	"Satyendra Narayan Singh"	"Ajit Kumar Singh"	"Nand Kishore Singh"	"Bharat Bhushan Pandey"	"Ram Sakal Singh"	"Sudama Prasad"	"Abdul Mallic"	"Balendu Shekhar Gupta"	"Mukhiya Ram"	"Rakesh Kumar"	"Bidya Niwas Singh"	"Surendra Ram"	""	""	""	""
"169"	""	""	"BJP"	"BSP"	"RJD"	"INC"	"SJP®"	"SAP"	"ABJS"	"SP"	"CPI(ML)(L)"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"170"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"171"	"135"	"NEMICHAND SHASHTRI KANYA HIGH SCHOOL BAB"	"260"	"1"	"69"	"38"	"0"	"2"	"1"	"0"	"75"	"4"	"1"	"2"	"3"	"0"	"6"	"462"	"0"	"462"	"0"
"172"	"136"	"SERVEY OFFICE NEAR MOHAN CINEMA ARA"	"271"	"1"	"20"	"34"	"0"	"3"	"1"	"0"	"101"	"1"	"1"	"1"	"1"	"2"	"1"	"438"	"0"	"438"	"0"
"173"	"137"	"YADAV VIDYAPITH MAULABAG ARA"	"284"	"1"	"38"	"14"	"0"	"0"	"1"	"0"	"43"	"3"	"0"	"2"	"0"	"2"	"5"	"393"	"0"	"393"	"0"
"174"	"138"	"HARIJAN AWASIYE SCHOOL MAULABAG ARA(SOU"	"301"	"3"	"147"	"29"	"0"	"3"	"3"	"3"	"59"	"1"	"1"	"5"	"4"	"4"	"4"	"567"	"0"	"567"	"0"
"175"	"139"	"HARIJAN AWASIYE SCHOOL MAULABAG ARA(EAS"	"228"	"4"	"96"	"48"	"1"	"1"	"0"	"1"	"94"	"3"	"0"	"2"	"0"	"1"	"1"	"480"	"0"	"480"	"0"
"176"	"140"	"HARIJAN AWASIYE SCHOOL MAULABAG ARA(WES"	"146"	"6"	"172"	"67"	"2"	"1"	"4"	"5"	"80"	"16"	"0"	"7"	"3"	"9"	"10"	"528"	"0"	"528"	"0"
"177"	"141"	"SAWTEL MEMORIAL GIRLS H.S.(NEAR GAS AGENC"	"333"	"1"	"29"	"51"	"1"	"2"	"1"	"0"	"31"	"0"	"2"	"2"	"0"	"1"	"2"	"456"	"0"	"456"	"0"
"178"	"142"	"SAWTEL MEMORIAL G.H.S.(NEAR GAS AGENCY)S"	"248"	"4"	"78"	"54"	"2"	"1"	"4"	"5"	"177"	"4"	"1"	"8"	"3"	"4"	"7"	"600"	"0"	"600"	"0"
"179"	"143"	"SAHJANAND BARHAMRISHI COLLEGE ARA(EASTE"	"211"	"0"	"38"	"21"	"0"	"1"	"14"	"0"	"69"	"0"	"0"	"3"	"0"	"0"	"5"	"362"	"0"	"362"	"0"
"180"	"144"	"SAHJANAND BRAHAMRISHI COLLEGE ARA(WESTE"	"259"	"2"	"7"	"67"	"0"	"0"	"0"	"6"	"36"	"1"	"0"	"0"	"0"	"1"	"0"	"379"	"0"	"379"	"0"
"181"	"145"	"SAHJANAND BARHAMRISHI COLLEGE ARA (MIDDL"	"70"	"3"	"84"	"10"	"1"	"2"	"1"	"4"	"213"	"3"	"0"	"6"	"2"	"3"	"4"	"406"	"0"	"406"	"0"
"182"	"146"	"PRIMARY SCHOOL PAKRI ARA"	"203"	"6"	"160"	"15"	"3"	"4"	"0"	"3"	"150"	"11"	"0"	"3"	"1"	"4"	"3"	"566"	"0"	"566"	"0"
"183"	"147"	"URDU PRIMARY SCHOOL PAKRI ARA"	"121"	"3"	"151"	"32"	"2"	"4"	"9"	"5"	"181"	"8"	"3"	"18"	"1"	"10"	"16"	"564"	"0"	"564"	"0"
"184"	"148"	"PRIMARY SCHOOL CHANDWA ARA(NORTHERN PA"	"171"	"3"	"83"	"85"	"2"	"1"	"16"	"1"	"118"	"2"	"1"	"3"	"1"	"2"	"1"	"490"	"0"	"490"	"0"
"185"	"149"	"PRIMARY SCHOOL CHANDWA ARA(SOUTHERN PA"	"92"	"4"	"30"	"24"	"2"	"4"	"5"	"0"	"76"	"6"	"2"	"4"	"1"	"1"	"4"	"255"	"0"	"255"	"0"
"186"	"150"	"PRIMARY SCHOOL CHANDWA ARA(MIDDLE PART)"	"158"	"5"	"17"	"39"	"1"	"1"	"2"	"2"	"50"	"1"	"4"	"2"	"0"	"1"	"0"	"283"	"0"	"283"	"0"
"187"	"151"	"DIST.AGRICULTURE OFFICE MAHARAJA HATTA(MI"	"404"	"1"	"42"	"22"	"1"	"0"	"4"	"0"	"12"	"0"	"0"	"1"	"6"	"0"	"0"	"493"	"0"	"493"	"0"
"188"	"152"	"DIST.AGRICLUTURE OFFICE MAHARAJA HATTA(W"	"333"	"1"	"26"	"43"	"0"	"1"	"1"	"0"	"21"	"1"	"0"	"0"	"0"	"0"	"1"	"428"	"0"	"428"	"0"
"189"	"153"	"DIST.AGRICULTURE OFFICE MAHARAJA HATTA(EA"	"591"	"2"	"7"	"8"	"1"	"0"	"3"	"0"	"14"	"0"	"2"	"0"	"0"	"2"	"1"	"631"	"0"	"631"	"0"
"190"	"154"	"BLOCK OFFICE ARA(EASTERN PART)"	"556"	"1"	"18"	"47"	"2"	"2"	"0"	"1"	"16"	"2"	"0"	"0"	"0"	"0"	"0"	"645"	"0"	"645"	"0"
"191"	"155"	"BLOCK OFFICE ARA(WESTERN PART)"	"532"	"1"	"5"	"17"	"0"	"0"	"3"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"567"	"0"	"567"	"0"
"192"	"156"	"TRANING &PRODUCTION CENTRE ARA BLOCK(NO"	"726"	"2"	"8"	"8"	"0"	"0"	"4"	"0"	"11"	"0"	"0"	"1"	"2"	"0"	"0"	"762"	"0"	"762"	"0"
"193"	"157"	"TRANING & PRODUCTION CENTRE ARA BLOCK(SO"	"329"	"0"	"3"	"10"	"0"	"0"	"0"	"0"	"12"	"0"	"0"	"0"	"0"	"8"	"0"	"362"	"0"	"362"	"0"
"194"	"158"	"DIST.VETNARY OFFICE CLUB ROAD ARA"	"386"	"1"	"61"	"52"	"0"	"1"	"2"	"1"	"23"	"1"	"0"	"0"	"0"	"2"	"0"	"530"	"0"	"530"	"0"
"195"	"SL."	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"196"	""	""	"Amrendra Pratap Singh"	"Treta Sawaliya Singh"	"Md. Nawaj Alam"	"Satyendra Narayan Singh"	"Ajit Kumar Singh"	"Nand Kishore Singh"	"Bharat Bhushan Pandey"	"Ram Sakal Singh"	"Sudama Prasad"	"Abdul Mallic"	"Balendu Shekhar Gupta"	"Mukhiya Ram"	"Rakesh Kumar"	"Bidya Niwas Singh"	"Surendra Ram"	""	""	""	""
"197"	""	""	"BJP"	"BSP"	"RJD"	"INC"	"SJP®"	"SAP"	"ABJS"	"SP"	"CPI(ML)(L)"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"198"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"199"	"159"	"RAJKIYA KANYA HIGH SCHOOL ARA"	"236"	"0"	"8"	"54"	"1"	"0"	"0"	"0"	"25"	"1"	"0"	"1"	"0"	"2"	"0"	"328"	"0"	"328"	"0"
"200"	"160"	"MAHARAJA COLLEGE ARA(WESTERN PART)"	"250"	"0"	"7"	"51"	"3"	"2"	"1"	"0"	"32"	"0"	"0"	"2"	"0"	"1"	"0"	"349"	"0"	"349"	"0"
"201"	"161"	"MAHARAJA COLLEGE ARA(EASTERN PART)"	"210"	"0"	"20"	"34"	"1"	"0"	"0"	"1"	"31"	"1"	"0"	"0"	"2"	"0"	"0"	"300"	"0"	"300"	"0"
"202"	"162"	"MIDDLE SCHOOL NAWADA(NORTHERN PART)ARA"	"164"	"1"	"98"	"18"	"1"	"1"	"1"	"3"	"181"	"3"	"0"	"8"	"2"	"1"	"4"	"486"	"0"	"486"	"0"
"203"	"163"	"MIDDLE SCHOOL NAWADA(SOUTHERN PART)ARA"	"87"	"3"	"94"	"22"	"3"	"1"	"2"	"0"	"190"	"2"	"1"	"16"	"2"	"0"	"6"	"429"	"0"	"429"	"0"
"204"	"164"	"MIDDLE SCHOOL NAWADA(NAYA BHAWAN)ARA"	"147"	"3"	"80"	"14"	"2"	"1"	"0"	"0"	"146"	"2"	"0"	"3"	"1"	"0"	"2"	"401"	"0"	"401"	"0"
"205"	"165"	"LOKNIRMAN PARMANDAL ARA(NORTHERN PART)"	"57"	"2"	"36"	"23"	"0"	"1"	"1"	"2"	"153"	"3"	"3"	"11"	"2"	"4"	"3"	"301"	"0"	"301"	"0"
"206"	"166"	"LOK NIRMAN PARMANDAL(SOUTHERN PART)ARA"	"112"	"4"	"82"	"51"	"9"	"1"	"1"	"0"	"274"	"4"	"0"	"19"	"1"	"4"	"7"	"569"	"0"	"569"	"0"
"207"	"167"	"MIDDLE SCHOOL KARMAN TOLA(NORTHERN PAR"	"118"	"3"	"85"	"68"	"1"	"5"	"6"	"6"	"238"	"7"	"7"	"12"	"5"	"5"	"1"	"567"	"0"	"567"	"0"
"208"	"168"	"MIDDLE SCHOOL KARMAN TOLA(SOUTHERN PART"	"102"	"8"	"44"	"25"	"1"	"1"	"1"	"3"	"196"	"2"	"0"	"4"	"2"	"4"	"4"	"397"	"0"	"397"	"0"
"209"	"169"	"LAWARIS SEWA KENDRA ARA(NOTHERN PART)"	"146"	"3"	"48"	"55"	"6"	"2"	"0"	"3"	"120"	"2"	"0"	"7"	"0"	"3"	"1"	"396"	"0"	"396"	"0"
"210"	"170"	"LAWARIS SEWA KENDRA ARA(SOUTHERN PART)"	"294"	"1"	"38"	"36"	"9"	"1"	"1"	"1"	"61"	"3"	"0"	"2"	"1"	"1"	"3"	"452"	"0"	"452"	"0"
"211"	"171"	"LAWARIS SEWA KENDRA ARA(MIDDLE PART)"	"116"	"3"	"15"	"12"	"1"	"3"	"2"	"3"	"70"	"2"	"2"	"4"	"0"	"2"	"0"	"235"	"0"	"235"	"0"
"212"	"172"	"D.A.V.PUBLIC HIGH SCHOOL(EASTERN PART)ARA"	"41"	"13"	"7"	"76"	"4"	"5"	"3"	"9"	"378"	"12"	"7"	"9"	"4"	"2"	"6"	"576"	"0"	"576"	"0"
"213"	"173"	"D.A.V.PUBLIC HIGH SCHOOL(NORTHMIDDLE PART"	"143"	"0"	"8"	"28"	"0"	"3"	"0"	"2"	"83"	"1"	"2"	"1"	"2"	"0"	"1"	"274"	"0"	"274"	"0"
"214"	"174"	"D.A.V.HIGH PUBLIC HIGH SCHOOL)WESTERN PAR"	"74"	"8"	"10"	"33"	"1"	"0"	"2"	"5"	"277"	"2"	"1"	"6"	"2"	"1"	"2"	"424"	"0"	"424"	"0"
"215"	"175"	"BASANTLAL DHARAMSALA ARA(NORTHERN PART"	"215"	"6"	"79"	"77"	"1"	"3"	"2"	"5"	"214"	"4"	"3"	"13"	"6"	"1"	"9"	"638"	"0"	"638"	"0"
"216"	"176"	"BASANTLAL DHARAMSALA ARA(SOUTHERN PART)"	"260"	"1"	"38"	"49"	"5"	"3"	"5"	"3"	"126"	"10"	"2"	"7"	"2"	"0"	"3"	"514"	"0"	"514"	"0"
"217"	"177"	"INDU TAPESHWAR MAHILA COLLEGE(WESTERN P"	"114"	"1"	"8"	"82"	"0"	"2"	"0"	"3"	"150"	"1"	"0"	"5"	"0"	"0"	"1"	"367"	"0"	"367"	"0"
"218"	"178"	"INDU TAPESHWAR MAHILA COLLEGE(MIDDLE PAR"	"145"	"0"	"24"	"58"	"1"	"1"	"1"	"3"	"97"	"0"	"0"	"9"	"1"	"0"	"3"	"343"	"0"	"343"	"0"
"219"	"179"	"INDU TAPESHWAR MAHILA COLLEGE(EASTERN P"	"74"	"2"	"119"	"60"	"3"	"3"	"1"	"3"	"68"	"8"	"0"	"6"	"1"	"3"	"5"	"356"	"0"	"356"	"0"
"220"	"180"	"PRIMARY SCHOOL SHIVGANJ ARA"	"90"	"0"	"14"	"22"	"2"	"0"	"0"	"1"	"65"	"7"	"6"	"4"	"0"	"0"	"1"	"212"	"0"	"212"	"0"
"221"	"181"	"ARA MAINA SUNDER DHARAMSALA (EASTERN PA"	"160"	"1"	"14"	"44"	"2"	"2"	"1"	"1"	"133"	"4"	"2"	"1"	"2"	"2"	"1"	"370"	"0"	"370"	"0"
"222"	"182"	"ARA MAINA SUNDER DHARAMSALA(WESTERN PA"	"118"	"0"	"23"	"32"	"2"	"1"	"2"	"3"	"101"	"5"	"0"	"4"	"1"	"2"	"13"	"307"	"0"	"307"	"0"
"223"	"SL."	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"224"	""	""	"Amrendra Pratap Singh"	"Treta Sawaliya Singh"	"Md. Nawaj Alam"	"Satyendra Narayan Singh"	"Ajit Kumar Singh"	"Nand Kishore Singh"	"Bharat Bhushan Pandey"	"Ram Sakal Singh"	"Sudama Prasad"	"Abdul Mallic"	"Balendu Shekhar Gupta"	"Mukhiya Ram"	"Rakesh Kumar"	"Bidya Niwas Singh"	"Surendra Ram"	""	""	""	""
"225"	""	""	"BJP"	"BSP"	"RJD"	"INC"	"SJP®"	"SAP"	"ABJS"	"SP"	"CPI(ML)(L)"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"226"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"227"	"183"	"HAR PRASAD DAS JAIN DHARAMSALA(NORTHERN"	"254"	"0"	"6"	"23"	"0"	"1"	"0"	"0"	"38"	"0"	"0"	"0"	"1"	"3"	"0"	"326"	"0"	"326"	"0"
"228"	"184"	"HARPRASAD DAS JAIN DHARAMSALA(SOUTHERN"	"338"	"1"	"72"	"27"	"0"	"0"	"0"	"0"	"44"	"15"	"0"	"1"	"1"	"0"	"5"	"504"	"0"	"504"	"0"
"229"	"185"	"MANIKCHAND SCHOOL ARA(EASTERN PART)"	"320"	"0"	"34"	"39"	"2"	"3"	"2"	"0"	"100"	"0"	"0"	"2"	"1"	"2"	"2"	"507"	"0"	"507"	"0"
"230"	"186"	"MANIKCHAND SCHOOL ARA(WESTERN PART)"	"190"	"0"	"33"	"18"	"0"	"0"	"0"	"1"	"79"	"1"	"2"	"0"	"1"	"1"	"2"	"328"	"0"	"328"	"0"
"231"	"187"	"URDU PRIMARY SCHOOL KHETARI ARA"	"0"	"2"	"291"	"52"	"0"	"0"	"0"	"0"	"12"	"6"	"1"	"0"	"0"	"1"	"0"	"365"	"0"	"365"	"0"
"232"	"188"	"AMIRCHAND AGARWAL GIRLS HIGH SCHOOL(NOR"	"80"	"5"	"242"	"50"	"0"	"3"	"2"	"2"	"51"	"3"	"1"	"6"	"0"	"4"	"4"	"453"	"0"	"453"	"0"
"233"	"189"	"AMIRCHAND AGARWAL GIRLS HIGH SCHOOL(SOU"	"42"	"0"	"96"	"19"	"2"	"0"	"0"	"0"	"15"	"0"	"0"	"1"	"0"	"1"	"0"	"176"	"0"	"176"	"0"
"234"	"190"	"AMIRCHAND AGARWAL GIRLS HIGH SCHOOL(EAS"	"153"	"0"	"29"	"16"	"2"	"1"	"2"	"4"	"69"	"5"	"0"	"5"	"3"	"0"	"4"	"293"	"0"	"293"	"0"
"235"	"191"	"AMIRCHAND AGARWAL GIRLS HIGH SCHOOL(WES"	"198"	"1"	"84"	"23"	"3"	"1"	"2"	"3"	"47"	"5"	"0"	"6"	"4"	"3"	"3"	"383"	"0"	"383"	"0"
"236"	"192"	"URDU PRIMARY SCHOOL RAUJA(NORTHERN PAR"	"27"	"2"	"199"	"50"	"2"	"1"	"2"	"0"	"70"	"19"	"3"	"4"	"2"	"2"	"4"	"387"	"0"	"387"	"0"
"237"	"193"	"URDU PRIMARY SCHOOL RAUJA(SOUTHERN PAR"	"136"	"6"	"186"	"64"	"2"	"0"	"3"	"1"	"102"	"8"	"0"	"8"	"2"	"0"	"6"	"524"	"0"	"524"	"0"
"238"	"194"	"BABY GARDEN SCHOOL ARA"	"67"	"2"	"193"	"15"	"4"	"0"	"0"	"1"	"51"	"11"	"0"	"0"	"1"	"3"	"7"	"355"	"0"	"355"	"0"
"239"	"195"	"PRIMARY SCHOOL RAUJA(EASTERN PART)ARA"	"67"	"4"	"181"	"32"	"1"	"3"	"0"	"2"	"38"	"6"	"1"	"0"	"1"	"3"	"1"	"340"	"0"	"340"	"0"
"240"	"196"	"PRIMARY SCHOOL RAUJA(WESTREN PART)ARA"	"223"	"2"	"61"	"24"	"3"	"7"	"1"	"1"	"57"	"0"	"0"	"6"	"2"	"2"	"2"	"391"	"0"	"391"	"0"
"241"	"197"	"PRIMARY SCHOOL AHIRPURWA ARA"	"67"	"3"	"433"	"9"	"1"	"2"	"0"	"1"	"95"	"2"	"2"	"3"	"1"	"0"	"2"	"621"	"0"	"621"	"0"
"242"	"198"	"SANJAY COLLEGE DHARHARA ARA"	"80"	"4"	"55"	"10"	"2"	"18"	"3"	"3"	"58"	"32"	"0"	"6"	"2"	"3"	"10"	"286"	"0"	"286"	"0"
