"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"(CHAPTER XIV,PARA-26.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 30-MAIRWA(S.C) ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 30-Mairwa (S.C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No.of Electores in Assembly Constituency 170371                                                  Round No.-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"180"	"Booth No."	"GIRDHARI RAM"	"CHHATHU RAM"	"SHARMA NAND RAM"	"SHIV KUMAR MANJHI"	"SANJEET KUMAR"	"MEERA DEVI"	"RAM SAGAR RAM"	"SATAYDEV RAM"	"BALESHWAR RAM"	"RAJENDRA RAM"	"VIDHYA PATI NATH MANJHI"	""	""	""	""
"181"	"127"	"80"	"14"	"7"	"29"	"28"	"3"	"6"	"80"	"2"	"1"	"10"	"260"	"0"	"260"	"0"
"182"	"128"	"9"	"54"	"22"	"110"	"9"	"2"	"2"	"4"	"1"	"1"	"7"	"221"	"0"	"221"	"0"
"183"	"129"	"109"	"25"	"13"	"249"	"22"	"8"	"19"	"95"	"14"	"4"	"21"	"579"	"0"	"579"	"0"
"184"	"130"	"19"	"117"	"6"	"170"	"31"	"2"	"7"	"97"	"10"	"4"	"32"	"495"	"0"	"495"	"0"
"185"	"131"	"52"	"141"	"13"	"154"	"42"	"10"	"12"	"129"	"4"	"5"	"27"	"589"	"0"	"589"	"0"
"186"	"132"	"10"	"50"	"70"	"81"	"24"	"8"	"11"	"86"	"6"	"6"	"18"	"370"	"0"	"370"	"0"
"187"	"133"	"35"	"68"	"10"	"78"	"9"	"8"	"12"	"45"	"1"	"4"	"26"	"296"	"0"	"296"	"0"
"188"	"134"	"12"	"59"	"5"	"19"	"126"	"3"	"20"	"183"	"3"	"10"	"53"	"493"	"0"	"493"	"0"
"189"	"135"	"10"	"107"	"8"	"42"	"116"	"7"	"7"	"308"	"1"	"3"	"15"	"624"	"0"	"624"	"0"
"190"	"136"	"10"	"25"	"4"	"82"	"45"	"16"	"10"	"83"	"8"	"10"	"38"	"331"	"0"	"331"	"0"
"191"	"137"	"19"	"159"	"18"	"36"	"82"	"5"	"5"	"37"	"3"	"4"	"20"	"388"	"0"	"388"	"0"
"192"	"138"	"101"	"88"	"16"	"94"	"41"	"36"	"7"	"65"	"6"	"13"	"24"	"491"	"0"	"491"	"0"
"193"	"139"	"46"	"143"	"39"	"80"	"41"	"8"	"9"	"49"	"5"	"8"	"23"	"451"	"0"	"451"	"0"
"194"	"140"	"42"	"231"	"12"	"48"	"83"	"14"	"8"	"77"	"4"	"11"	"25"	"555"	"0"	"555"	"0"
"195"	"Round
Total"	"554"	"1281"	"243"	"1272"	"699"	"130"	"135"	"1338"	"68"	"84"	"339"	"6143"	"0"	"6143"	"0"
"196"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"197"	"Booth No."	"GIRDHARI RAM"	"CHHATHU RAM"	"SHARMA NAND RAM"	"SHIV KUMAR MANJHI"	"SANJEET KUMAR"	"MEERA DEVI"	"RAM SAGAR RAM"	"SATAYDEV RAM"	"BALESHWAR RAM"	"RAJENDRA RAM"	"VIDHYA PATI NATH MANJHI"	""	""	""	""
"198"	"141"	"39"	"173"	"7"	"99"	"49"	"9"	"11"	"40"	"7"	"13"	"36"	"483"	"0"	"483"	"0"
"199"	"142"	"5"	"21"	"7"	"62"	"93"	"6"	"7"	"50"	"6"	"3"	"23"	"283"	"0"	"283"	"0"
"200"	"143"	"54"	"189"	"19"	"116"	"68"	"15"	"24"	"99"	"10"	"12"	"41"	"647"	"0"	"647"	"0"
"201"	"144"	"55"	"196"	"7"	"94"	"75"	"7"	"13"	"78"	"10"	"6"	"25"	"566"	"0"	"566"	"0"
"202"	"145"	"17"	"38"	"6"	"45"	"13"	"3"	"5"	"102"	"5"	"4"	"19"	"257"	"0"	"257"	"0"
"203"	"146"	"18"	"16"	"13"	"107"	"18"	"2"	"5"	"83"	"2"	"2"	"18"	"284"	"0"	"284"	"0"
"204"	"147"	"32"	"140"	"6"	"125"	"75"	"4"	"7"	"32"	"3"	"3"	"8"	"435"	"0"	"435"	"0"
"205"	"148"	"35"	"105"	"14"	"140"	"36"	"11"	"11"	"97"	"18"	"11"	"65"	"543"	"0"	"543"	"0"
"206"	"149"	"26"	"52"	"10"	"92"	"34"	"9"	"10"	"183"	"15"	"11"	"58"	"500"	"0"	"500"	"0"
"207"	"150"	"37"	"68"	"6"	"31"	"35"	"27"	"14"	"46"	"6"	"6"	"33"	"309"	"0"	"309"	"0"
"208"	"151"	"14"	"54"	"6"	"26"	"73"	"5"	"9"	"289"	"9"	"9"	"59"	"553"	"0"	"553"	"0"
"209"	"152"	"22"	"181"	"11"	"56"	"22"	"9"	"18"	"88"	"1"	"2"	"20"	"430"	"0"	"430"	"0"
"210"	"153"	"41"	"62"	"10"	"76"	"24"	"5"	"6"	"97"	"5"	"4"	"24"	"354"	"0"	"354"	"0"
"211"	"154"	"19"	"47"	"22"	"164"	"24"	"16"	"9"	"42"	"6"	"6"	"15"	"370"	"0"	"370"	"0"
"212"	"Round
Total"	"414"	"1342"	"144"	"1233"	"639"	"128"	"149"	"1326"	"103"	"92"	"444"	"6014"	"0"	"6014"	"0"
"213"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"214"	"Booth No."	"GIRDHARI RAM"	"CHHATHU RAM"	"SHARMA NAND RAM"	"SHIV KUMAR MANJHI"	"SANJEET KUMAR"	"MEERA DEVI"	"RAM SAGAR RAM"	"SATAYDEV RAM"	"BALESHWAR RAM"	"RAJENDRA RAM"	"VIDHYA PATI NATH MANJHI"	""	""	""	""
"215"	"155"	"4"	"74"	"7"	"97"	"18"	"2"	"5"	"46"	"1"	"8"	"15"	"277"	"0"	"277"	"0"
"216"	"156"	"11"	"82"	"8"	"37"	"120"	"6"	"5"	"220"	"0"	"6"	"10"	"505"	"0"	"505"	"0"
"217"	"157"	"39"	"72"	"6"	"32"	"166"	"4"	"13"	"228"	"5"	"5"	"65"	"635"	"0"	"635"	"0"
"218"	"158"	"18"	"26"	"5"	"23"	"4"	"4"	"8"	"175"	"5"	"6"	"52"	"326"	"0"	"326"	"0"
"219"	"159"	"27"	"55"	"5"	"142"	"97"	"14"	"14"	"132"	"17"	"5"	"41"	"549"	"0"	"549"	"0"
"220"	"160"	"13"	"10"	"3"	"13"	"127"	"8"	"2"	"132"	"7"	"7"	"43"	"365"	"0"	"365"	"0"
"221"	"161"	"27"	"79"	"20"	"155"	"64"	"10"	"8"	"242"	"5"	"9"	"43"	"662"	"0"	"662"	"0"
"222"	"162"	"21"	"21"	"4"	"110"	"108"	"10"	"12"	"104"	"7"	"3"	"21"	"421"	"0"	"421"	"0"
"223"	"163"	"10"	"10"	"3"	"15"	"114"	"2"	"9"	"155"	"5"	"4"	"19"	"346"	"0"	"346"	"0"
"224"	"164"	"8"	"7"	"3"	"31"	"64"	"7"	"4"	"170"	"5"	"5"	"14"	"318"	"0"	"318"	"0"
"225"	"165"	"35"	"25"	"14"	"47"	"147"	"7"	"11"	"178"	"10"	"14"	"47"	"535"	"0"	"535"	"0"
"226"	"166"	"30"	"16"	"3"	"57"	"156"	"6"	"36"	"141"	"18"	"11"	"41"	"515"	"0"	"515"	"0"
"227"	"167"	"44"	"23"	"11"	"38"	"110"	"7"	"22"	"234"	"14"	"8"	"45"	"556"	"0"	"556"	"0"
"228"	"168"	"9"	"35"	"5"	"71"	"78"	"6"	"6"	"146"	"10"	"4"	"18"	"388"	"0"	"388"	"0"
"229"	"Round
Total"	"296"	"535"	"97"	"868"	"1373"	"93"	"155"	"2303"	"109"	"95"	"474"	"6398"	"0"	"6398"	"0"
"230"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"231"	"Booth No."	"GIRDHARI RAM"	"CHHATHU RAM"	"SHARMA NAND RAM"	"SHIV KUMAR MANJHI"	"SANJEET KUMAR"	"MEERA DEVI"	"RAM SAGAR RAM"	"SATAYDEV RAM"	"BALESHWAR RAM"	"RAJENDRA RAM"	"VIDHYA PATI NATH MANJHI"	""	""	""	""
"232"	"169"	"39"	"46"	"12"	"122"	"43"	"10"	"9"	"313"	"7"	"15"	"55"	"671"	"0"	"671"	"0"
"233"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"Round
Total"	"39"	"46"	"12"	"122"	"43"	"10"	"9"	"313"	"7"	"15"	"55"	"671"	"0"	"671"	"0"
"247"	"Date : 27-2-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"Time:…………………………."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"Place: Siwan                                                                                                                                                          30-Mairwa(S.C.)- Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
