"Serial.No..of.Polling.Station"	"No..of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"143"	"118"	"1"	"26"	"166"	"4"	"0"	"30"	"3"	"2"	"0"	"3"	"1"	"3"	"2"	"2"	"2"	"2"	"247"	""	"247"	""
"144"	"119"	"23"	"136"	"319"	"9"	"2"	"118"	"2"	"4"	"1"	"3"	"7"	"2"	"2"	"6"	"5"	"15"	"654"	""	"654"	""
"145"	"120"	"4"	"41"	"35"	"0"	"3"	"300"	"13"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"3"	"402"	""	"402"	""
"146"	"121"	"11"	"333"	"37"	"1"	"2"	"178"	"5"	"0"	"0"	"2"	"5"	"0"	"2"	"2"	"5"	"2"	"585"	""	"585"	""
"147"	"122"	"54"	"196"	"190"	"1"	"0"	"123"	"2"	"1"	"1"	"2"	"3"	"1"	"0"	"4"	"0"	"4"	"582"	""	"582"	""
"148"	"123"	"206"	"208"	"143"	"7"	"3"	"53"	"1"	"3"	"1"	"2"	"4"	"2"	"4"	"2"	"6"	"7"	"652"	""	"652"	""
"149"	"124"	"71"	"73"	"123"	"6"	"5"	"165"	"10"	"7"	"4"	"8"	"12"	"5"	"2"	"7"	"9"	"29"	"536"	""	"536"	""
"150"	"125"	"169"	"124"	"160"	"4"	"1"	"12"	"1"	"0"	"2"	"1"	"2"	"1"	"1"	"2"	"3"	"10"	"493"	""	"493"	""
"151"	"126"	"81"	"17"	"210"	"5"	"1"	"6"	"1"	"3"	"4"	"1"	"4"	"2"	"0"	"5"	"1"	"10"	"351"	""	"351"	""
"152"	"Grand
Total"	"640"	"2097"	"2119"	"52"	"25"	"1143"	"57"	"26"	"19"	"29"	"47"	"23"	"21"	"49"	"52"	"115"	"6514"	"0"	"6514"	"0"
"153"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"154"	""	"Mahesh Bhagat"	"Mohammad Tahir"	"Sunil Kumar Urf Pintu"	"Om Prakash"	"Nawal
Kishore Shahi"	"Md. Parvez Alam Ansari"	"Babloo Singh"	"Arun Kumar Yadav"	"Ganesh Prasad"	"Masoom Kamal"	"Ratneshwar Mishra"	"Rasool Ansari"	"Ramishwar
Prasad Yadav"	"Ram Krishna
Singh Kushwaha"	"Shankar Bhushan"	"Shyam
Sundar Yadav"	""	""	""	""
"155"	"127"	"5"	"94"	"277"	"6"	"3"	"23"	"1"	"6"	"3"	"1"	"2"	"2"	"0"	"0"	"4"	"2"	"429"	""	"429"	""
"156"	"128"	"120"	"18"	"184"	"6"	"5"	"45"	"5"	"4"	"3"	"1"	"4"	"3"	"0"	"2"	"2"	"1"	"403"	""	"403"	""
"157"	"129"	"137"	"65"	"241"	"9"	"0"	"36"	"7"	"6"	"4"	"8"	"6"	"8"	"2"	"0"	"6"	"9"	"544"	""	"544"	""
"158"	"130"	"273"	"101"	"74"	"7"	"2"	"10"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"7"	"6"	"484"	""	"484"	""
"159"	"131"	"242"	"40"	"101"	"3"	"1"	"23"	"2"	"1"	"0"	"2"	"1"	"1"	"0"	"0"	"2"	"6"	"425"	""	"425"	""
"160"	"132"	"159"	"49"	"157"	"1"	"2"	"9"	"0"	"5"	"0"	"2"	"4"	"5"	"4"	"6"	"8"	"7"	"418"	""	"418"	""
"161"	"133"	"54"	"78"	"317"	"18"	"6"	"97"	"8"	"9"	"4"	"9"	"14"	"5"	"12"	"7"	"10"	"14"	"662"	""	"662"	""
"162"	"134"	"1"	"138"	"174"	"0"	"1"	"11"	"2"	"6"	"0"	"1"	"3"	"1"	"0"	"2"	"1"	"1"	"342"	""	"342"	""
"163"	"135"	"52"	"55"	"276"	"6"	"0"	"7"	"1"	"1"	"2"	"0"	"3"	"1"	"0"	"1"	"0"	"0"	"405"	""	"405"	""
"164"	"136"	"25"	"18"	"311"	"3"	"0"	"19"	"4"	"3"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"385"	""	"385"	""
"165"	"137"	"5"	"303"	"12"	"4"	"1"	"132"	"2"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"6"	"469"	""	"469"	""
"166"	"138"	"28"	"273"	"31"	"3"	"5"	"145"	"7"	"1"	"0"	"1"	"5"	"3"	"0"	"0"	"3"	"7"	"512"	""	"512"	""
"167"	"139"	"2"	"156"	"8"	"1"	"2"	"88"	"2"	"1"	"1"	"1"	"2"	"1"	"0"	"1"	"7"	"4"	"277"	""	"277"	""
"168"	"140"	"3"	"173"	"157"	"3"	"1"	"110"	"3"	"1"	"1"	"1"	"0"	"2"	"2"	"1"	"4"	"12"	"474"	""	"474"	""
"169"	"Grand
Total"	"1106"	"1561"	"2320"	"70"	"29"	"755"	"44"	"45"	"19"	"28"	"46"	"33"	"22"	"21"	"55"	"75"	"6229"	"0"	"6229"	"0"
"170"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"171"	""	"Mahesh Bhagat"	"Mohammad Tahir"	"Sunil Kumar Urf Pintu"	"Om Prakash"	"Nawal
Kishore Shahi"	"Md. Parvez Alam Ansari"	"Babloo Singh"	"Arun Kumar Yadav"	"Ganesh Prasad"	"Masoom Kamal"	"Ratneshwar Mishra"	"Rasool Ansari"	"Ramishwar
Prasad Yadav"	"Ram Krishna
Singh Kushwaha"	"Shankar Bhushan"	"Shyam
Sundar Yadav"	""	""	""	""
"172"	"141"	"8"	"252"	"103"	"8"	"1"	"60"	"5"	"1"	"0"	"2"	"0"	"6"	"2"	"0"	"7"	"16"	"471"	""	"471"	""
"173"	"142"	"8"	"252"	"10"	"1"	"4"	"108"	"6"	"2"	"0"	"1"	"5"	"3"	"3"	"4"	"6"	"19"	"432"	""	"432"	""
"174"	"143"	"7"	"210"	"106"	"2"	"1"	"195"	"11"	"11"	"1"	"1"	"5"	"0"	"2"	"1"	"4"	"4"	"561"	""	"561"	""
"175"	"144"	"5"	"195"	"114"	"2"	"2"	"87"	"1"	"1"	"0"	"1"	"4"	"1"	"1"	"2"	"4"	"10"	"430"	""	"430"	""
"176"	"145"	"51"	"62"	"189"	"18"	"0"	"11"	"0"	"1"	"0"	"0"	"0"	"1"	"5"	"3"	"1"	"11"	"353"	""	"353"	""
"177"	"146"	"15"	"233"	"14"	"5"	"1"	"19"	"0"	"0"	"1"	"2"	"1"	"1"	"3"	"0"	"5"	"8"	"308"	""	"308"	""
"178"	"147"	"10"	"310"	"102"	"1"	"0"	"10"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"3"	"0"	"441"	""	"441"	""
"179"	"148"	"17"	"6"	"284"	"5"	"3"	"73"	"3"	"3"	"0"	"5"	"7"	"1"	"6"	"3"	"2"	"6"	"424"	""	"424"	""
"180"	"149"	"10"	"65"	"215"	"6"	"6"	"68"	"4"	"3"	"1"	"4"	"1"	"2"	"3"	"4"	"3"	"2"	"397"	""	"397"	""
"181"	"150"	"7"	"106"	"269"	"2"	"2"	"107"	"12"	"7"	"2"	"7"	"3"	"4"	"0"	"0"	"2"	"6"	"536"	""	"536"	""
"182"	"151"	"5"	"37"	"323"	"0"	"0"	"16"	"1"	"0"	"0"	"1"	"2"	"0"	"2"	"2"	"0"	"5"	"394"	""	"394"	""
"183"	"152"	"1"	"32"	"420"	"1"	"0"	"6"	"1"	"28"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"490"	""	"490"	""
"184"	"153"	"4"	"21"	"403"	"4"	"0"	"12"	"0"	"28"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"1"	"476"	""	"476"	""
"185"	"154"	"7"	"149"	"397"	"4"	"0"	"22"	"1"	"26"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"2"	"612"	""	"612"	""
"186"	"Grand
Total"	"155"	"1930"	"2949"	"59"	"20"	"794"	"47"	"112"	"5"	"24"	"29"	"23"	"27"	"23"	"38"	"90"	"6325"	"0"	"6325"	"0"
"187"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"188"	""	"Mahesh Bhagat"	"Mohammad Tahir"	"Sunil Kumar Urf Pintu"	"Om Prakash"	"Nawal
Kishore Shahi"	"Md. Parvez Alam Ansari"	"Babloo Singh"	"Arun Kumar Yadav"	"Ganesh Prasad"	"Masoom Kamal"	"Ratneshwar Mishra"	"Rasool Ansari"	"Ramishwar
Prasad Yadav"	"Ram Krishna
Singh Kushwaha"	"Shankar Bhushan"	"Shyam
Sundar Yadav"	""	""	""	""
"189"	"155"	"5"	"13"	"237"	"6"	"3"	"123"	"7"	"4"	"5"	"5"	"5"	"1"	"0"	"3"	"1"	"5"	"423"	""	"423"	""
"190"	"156"	"9"	"26"	"326"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"370"	""	"370"	""
"191"	"157"	"60"	"98"	"337"	"10"	"3"	"19"	"5"	"55"	"2"	"3"	"0"	"2"	"4"	"3"	"2"	"3"	"606"	""	"606"	""
"192"	"158"	"22"	"300"	"55"	"1"	"1"	"21"	"6"	"271"	"4"	"2"	"1"	"6"	"0"	"1"	"6"	"4"	"701"	""	"701"	""
"193"	"159"	"119"	"31"	"225"	"7"	"1"	"12"	"10"	"191"	"4"	"4"	"7"	"5"	"3"	"6"	"3"	"11"	"639"	""	"639"	""
"194"	"160"	"29"	"31"	"178"	"2"	"3"	"5"	"3"	"103"	"1"	"3"	"3"	"2"	"1"	"2"	"0"	"6"	"372"	""	"372"	""
"195"	"161"	"12"	"171"	"219"	"10"	"3"	"68"	"14"	"162"	"4"	"8"	"7"	"2"	"0"	"2"	"8"	"1"	"691"	""	"691"	""
"196"	"162"	"172"	"48"	"366"	"5"	"6"	"74"	"6"	"30"	"3"	"1"	"6"	"2"	"5"	"5"	"2"	"11"	"742"	""	"742"	""
"197"	"163"	"276"	"111"	"167"	"5"	"3"	"29"	"7"	"4"	"0"	"5"	"3"	"2"	"1"	"8"	"8"	"26"	"655"	""	"655"	""
"198"	"164"	"38"	"61"	"139"	"0"	"2"	"13"	"3"	"138"	"0"	"2"	"3"	"1"	"2"	"4"	"2"	"11"	"419"	""	"419"	""
"199"	"165"	"101"	"72"	"107"	"4"	"4"	"8"	"1"	"27"	"1"	"4"	"3"	"2"	"2"	"2"	"2"	"3"	"343"	""	"343"	""
"200"	"166"	"173"	"60"	"284"	"7"	"4"	"51"	"6"	"6"	"5"	"1"	"3"	"1"	"0"	"7"	"2"	"7"	"617"	""	"617"	""
"201"	"167"	"123"	"71"	"160"	"99"	"3"	"75"	"5"	"9"	"2"	"3"	"9"	"8"	"42"	"3"	"9"	"14"	"635"	""	"635"	""
"202"	"168"	"11"	"110"	"108"	"112"	"6"	"30"	"5"	"17"	"8"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"435"	""	"435"	""
"203"	"Grand
Total"	"1150"	"1203"	"2908"	"269"	"43"	"531"	"78"	"1017"	"39"	"69"	"50"	"34"	"61"	"48"	"46"	"102"	"7648"	"0"	"7648"	"0"
"204"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"205"	""	"Mahesh Bhagat"	"Mohammad Tahir"	"Sunil Kumar Urf Pintu"	"Om Prakash"	"Nawal
Kishore Shahi"	"Md. Parvez Alam Ansari"	"Babloo Singh"	"Arun Kumar Yadav"	"Ganesh Prasad"	"Masoom Kamal"	"Ratneshwar Mishra"	"Rasool Ansari"	"Ramishwar
Prasad Yadav"	"Ram Krishna
Singh Kushwaha"	"Shankar Bhushan"	"Shyam
Sundar Yadav"	""	""	""	""
"206"	"169"	"8"	"49"	"119"	"10"	"5"	"86"	"5"	"4"	"3"	"8"	"3"	"5"	"8"	"4"	"3"	"8"	"328"	""	"328"	""
"207"	"170"	"20"	"300"	"208"	"13"	"11"	"14"	"4"	"6"	"1"	"0"	"5"	"3"	"7"	"5"	"6"	"13"	"616"	""	"616"	""
"208"	"171"	"2"	"94"	"267"	"13"	"1"	"22"	"3"	"3"	"0"	"1"	"4"	"3"	"1"	"6"	"4"	"7"	"431"	""	"431"	""
"209"	"172"	"10"	"111"	"291"	"8"	"9"	"31"	"3"	"3"	"0"	"6"	"4"	"5"	"3"	"3"	"7"	"4"	"498"	""	"498"	""
"210"	"173"	"43"	"106"	"470"	"20"	"6"	"73"	"5"	"12"	"4"	"6"	"2"	"8"	"16"	"5"	"6"	"14"	"796"	""	"796"	""
"211"	"174"	"13"	"109"	"275"	"3"	"1"	"16"	"2"	"8"	"4"	"1"	"5"	"1"	"0"	"5"	"1"	"5"	"449"	""	"449"	""
"212"	"175"	"44"	"246"	"154"	"4"	"3"	"67"	"4"	"8"	"2"	"3"	"4"	"4"	"3"	"2"	"2"	"6"	"556"	""	"556"	""
"213"	"176"	"23"	"65"	"200"	"4"	"11"	"40"	"3"	"2"	"1"	"2"	"2"	"2"	"0"	"4"	"0"	"2"	"361"	""	"361"	""
"214"	"177"	"99"	"93"	"117"	"3"	"0"	"0"	"1"	"10"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"7"	"332"	""	"332"	""
"215"	"178"	"7"	"14"	"222"	"0"	"0"	"4"	"1"	"1"	"1"	"0"	"0"	"3"	"0"	"1"	"2"	"2"	"258"	""	"258"	""
"216"	"179"	"22"	"32"	"260"	"8"	"0"	"23"	"1"	"5"	"1"	"0"	"0"	"1"	"3"	"5"	"2"	"2"	"365"	""	"365"	""
"217"	"180"	"29"	"20"	"323"	"12"	"7"	"50"	"3"	"28"	"4"	"2"	"12"	"4"	"1"	"6"	"4"	"2"	"507"	""	"507"	""
"218"	"181"	"108"	"44"	"340"	"4"	"5"	"13"	"1"	"18"	"2"	"0"	"3"	"0"	"0"	"1"	"3"	"3"	"545"	""	"545"	""
"219"	"182"	"40"	"7"	"240"	"3"	"1"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	""	"302"	""
"220"	"Grand
Total"	"468"	"1290"	"3486"	"105"	"60"	"449"	"37"	"108"	"23"	"29"	"44"	"40"	"42"	"48"	"40"	"75"	"6344"	"0"	"6344"	"0"
"221"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"222"	""	"Mahesh Bhagat"	"Mohammad Tahir"	"Sunil Kumar Urf Pintu"	"Om Prakash"	"Nawal
Kishore Shahi"	"Md. Parvez Alam Ansari"	"Babloo Singh"	"Arun Kumar Yadav"	"Ganesh Prasad"	"Masoom Kamal"	"Ratneshwar Mishra"	"Rasool Ansari"	"Ramishwar
Prasad Yadav"	"Ram Krishna
Singh Kushwaha"	"Shankar Bhushan"	"Shyam
Sundar Yadav"	""	""	""	""
"223"	"183"	"53"	"11"	"279"	"5"	"2"	"9"	"2"	"27"	"1"	"1"	"0"	"0"	"1"	"2"	"0"	"0"	"393"	""	"393"	""
"224"	"184"	"9"	"191"	"96"	"3"	"0"	"2"	"2"	"1"	"0"	"0"	"7"	"9"	"1"	"2"	"3"	"10"	"336"	""	"336"	""
"225"	"185"	"55"	"140"	"247"	"15"	"3"	"3"	"2"	"11"	"1"	"0"	"18"	"2"	"1"	"4"	"1"	"6"	"509"	""	"509"	""
"226"	"186"	"178"	"66"	"129"	"2"	"1"	"37"	"1"	"4"	"2"	"7"	"58"	"1"	"0"	"2"	"5"	"8"	"501"	""	"501"	""
"227"	"187"	"250"	"71"	"124"	"6"	"3"	"47"	"3"	"3"	"1"	"2"	"6"	"3"	"2"	"2"	"5"	"12"	"540"	""	"540"	""
"228"	"188"	"84"	"78"	"206"	"5"	"3"	"62"	"2"	"1"	"2"	"3"	"12"	"3"	"9"	"7"	"10"	"14"	"501"	""	"501"	""
"229"	"189"	"128"	"82"	"148"	"10"	"3"	"59"	"5"	"6"	"3"	"2"	"7"	"7"	"2"	"4"	"9"	"25"	"500"	""	"500"	""
"230"	"190"	"19"	"31"	"150"	"3"	"1"	"13"	"0"	"3"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"223"	""	"223"	""
"231"	"191"	"47"	"141"	"180"	"1"	"2"	"101"	"1"	"1"	"0"	"2"	"0"	"1"	"0"	"0"	"2"	"2"	"481"	""	"481"	""
"232"	"192"	"7"	"9"	"306"	"7"	"7"	"13"	"2"	"2"	"1"	"3"	"2"	"1"	"1"	"6"	"1"	"3"	"371"	""	"371"	""
"233"	"193"	"2"	"22"	"305"	"8"	"1"	"3"	"0"	"2"	"1"	"0"	"1"	"0"	"0"	"4"	"1"	"1"	"351"	""	"351"	""
"234"	"194"	"19"	"90"	"115"	"8"	"3"	"146"	"12"	"11"	"2"	"1"	"8"	"1"	"0"	"2"	"3"	"2"	"423"	""	"423"	""
"235"	"195"	"29"	"246"	"79"	"4"	"5"	"12"	"2"	"9"	"0"	"0"	"3"	"3"	"5"	"6"	"6"	"16"	"425"	""	"425"	""
"236"	"196"	"4"	"19"	"121"	"3"	"2"	"6"	"3"	"40"	"2"	"0"	"2"	"3"	"1"	"0"	"1"	"3"	"210"	""	"210"	""
"237"	"Grand
Total"	"884"	"1197"	"2485"	"80"	"36"	"513"	"37"	"121"	"16"	"22"	"125"	"34"	"23"	"42"	"47"	"102"	"5764"	"0"	"5764"	"0"
"238"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"239"	""	"Mahesh Bhagat"	"Mohammad Tahir"	"Sunil Kumar Urf Pintu"	"Om Prakash"	"Nawal
Kishore Shahi"	"Md. Parvez Alam Ansari"	"Babloo Singh"	"Arun Kumar Yadav"	"Ganesh Prasad"	"Masoom Kamal"	"Ratneshwar Mishra"	"Rasool Ansari"	"Ramishwar
Prasad Yadav"	"Ram Krishna
Singh Kushwaha"	"Shankar Bhushan"	"Shyam
Sundar Yadav"	""	""	""	""
"240"	"197"	"15"	"57"	"97"	"5"	"3"	"162"	"12"	"103"	"5"	"10"	"12"	"6"	"1"	"5"	"12"	"22"	"527"	""	"527"	""
"241"	"198"	"74"	"103"	"27"	"1"	"0"	"5"	"1"	"49"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"5"	"269"	""	"269"	""
"242"	"199"	"53"	"48"	"28"	"2"	"0"	"16"	"7"	"34"	"0"	"1"	"4"	"1"	"2"	"1"	"0"	"6"	"203"	""	"203"	""
"243"	"200"	"3"	"274"	"1"	"0"	"0"	"30"	"0"	"3"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"314"	""	"314"	""
"244"	"201"	"17"	"85"	"71"	"3"	"0"	"18"	"4"	"11"	"1"	"2"	"1"	"3"	"0"	"4"	"4"	"3"	"227"	""	"227"	""
"245"	"202"	"33"	"111"	"249"	"5"	"8"	"40"	"5"	"13"	"4"	"8"	"7"	"2"	"2"	"5"	"1"	"14"	"507"	""	"507"	""
"246"	"203"	"14"	"16"	"122"	"3"	"1"	"55"	"2"	"14"	"0"	"0"	"1"	"1"	"0"	"1"	"2"	"1"	"233"	""	"233"	""
"247"	"204"	"23"	"220"	"99"	"2"	"3"	"47"	"5"	"80"	"2"	"6"	"4"	"5"	"1"	"2"	"7"	"10"	"516"	""	"516"	""
"248"	"205"	"9"	"89"	"149"	"3"	"0"	"62"	"1"	"1"	"3"	"6"	"9"	"1"	"0"	"11"	"2"	"7"	"353"	""	"353"	""
"249"	"206"	"51"	"27"	"180"	"0"	"2"	"87"	"2"	"2"	"2"	"3"	"2"	"3"	"1"	"0"	"2"	"3"	"367"	""	"367"	""
"250"	"207"	"13"	"116"	"111"	"4"	"8"	"119"	"4"	"2"	"0"	"2"	"2"	"1"	"0"	"5"	"3"	"8"	"398"	""	"398"	""
"251"	"208"	"20"	"425"	"107"	"10"	"4"	"59"	"2"	"4"	"5"	"1"	"6"	"7"	"2"	"3"	"9"	"6"	"670"	""	"670"	""
"252"	"209"	"12"	"91"	"225"	"13"	"8"	"70"	"7"	"0"	"1"	"3"	"5"	"0"	"2"	"7"	"4"	"1"	"449"	""	"449"	""
"253"	"210"	"17"	"95"	"64"	"3"	"3"	"138"	"2"	"5"	"1"	"4"	"12"	"4"	"1"	"3"	"6"	"3"	"361"	""	"361"	""
"254"	"Grand
Total"	"354"	"1757"	"1530"	"54"	"40"	"908"	"54"	"321"	"26"	"46"	"65"	"34"	"13"	"49"	"54"	"89"	"5394"	"0"	"5394"	"0"
"255"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"256"	""	"Mahesh Bhagat"	"Mohammad Tahir"	"Sunil Kumar Urf Pintu"	"Om Prakash"	"Nawal
Kishore Shahi"	"Md. Parvez Alam Ansari"	"Babloo Singh"	"Arun Kumar Yadav"	"Ganesh Prasad"	"Masoom Kamal"	"Ratneshwar Mishra"	"Rasool Ansari"	"Ramishwar
Prasad Yadav"	"Ram Krishna
Singh Kushwaha"	"Shankar Bhushan"	"Shyam
Sundar Yadav"	""	""	""	""
"257"	"211"	"1"	"108"	"146"	"4"	"3"	"15"	"0"	"0"	"0"	"0"	"1"	"3"	"1"	"5"	"3"	"3"	"293"	""	"293"	""
"258"	"212"	"25"	"69"	"110"	"6"	"3"	"59"	"1"	"2"	"0"	"0"	"2"	"1"	"7"	"3"	"3"	"5"	"296"	""	"296"	""
"259"	"213"	"9"	"146"	"166"	"5"	"2"	"10"	"1"	"1"	"0"	"1"	"3"	"6"	"6"	"14"	"12"	"11"	"393"	""	"393"	""
"260"	"214"	"1"	"212"	"19"	"1"	"1"	"9"	"0"	"1"	"0"	"1"	"3"	"1"	"0"	"2"	"9"	"8"	"268"	""	"268"	""
"261"	"215"	"27"	"159"	"135"	"7"	"6"	"106"	"6"	"2"	"7"	"6"	"9"	"4"	"8"	"0"	"10"	"10"	"502"	""	"502"	""
"262"	"216"	"12"	"20"	"245"	"5"	"2"	"75"	"2"	"3"	"2"	"5"	"4"	"3"	"2"	"2"	"2"	"5"	"389"	""	"389"	""
"263"	"217"	"3"	"195"	"176"	"1"	"2"	"43"	"2"	"4"	"2"	"2"	"2"	"0"	"0"	"1"	"0"	"0"	"433"	""	"433"	""
"264"	"218"	"19"	"155"	"150"	"4"	"4"	"24"	"4"	"3"	"1"	"1"	"4"	"0"	"2"	"2"	"3"	"12"	"388"	""	"388"	""
"265"	"219"	"3"	"41"	"113"	"4"	"1"	"67"	"4"	"7"	"0"	"5"	"2"	"2"	"0"	"2"	"7"	"6"	"264"	""	"264"	""
"266"	"220"	"10"	"95"	"121"	"1"	"1"	"29"	"3"	"7"	"1"	"2"	"8"	"2"	"4"	"6"	"2"	"19"	"311"	""	"311"	""
"267"	"221"	"3"	"28"	"324"	"10"	"3"	"87"	"7"	"5"	"2"	"2"	"2"	"3"	"3"	"7"	"4"	"10"	"500"	""	"500"	""
"268"	"222"	"9"	"17"	"174"	"4"	"5"	"31"	"2"	"7"	"1"	"2"	"8"	"3"	"4"	"8"	"1"	"5"	"281"	""	"281"	""
"269"	"223"	"13"	"26"	"208"	"5"	"2"	"102"	"11"	"4"	"3"	"5"	"8"	"6"	"3"	"3"	"5"	"7"	"411"	""	"411"	""
"270"	"224"	"15"	"27"	"546"	"6"	"7"	"93"	"13"	"21"	"6"	"7"	"10"	"4"	"0"	"4"	"6"	"0"	"765"	""	"765"	""
"271"	"Grand
Total"	"150"	"1298"	"2633"	"63"	"42"	"750"	"56"	"67"	"25"	"39"	"66"	"38"	"40"	"59"	"67"	"101"	"5494"	"0"	"5494"	"0"
"272"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"273"	""	"Mahesh Bhagat"	"Mohammad Tahir"	"Sunil Kumar Urf Pintu"	"Om Prakash"	"Nawal
Kishore Shahi"	"Md. Parvez Alam Ansari"	"Babloo Singh"	"Arun Kumar Yadav"	"Ganesh Prasad"	"Masoom Kamal"	"Ratneshwar Mishra"	"Rasool Ansari"	"Ramishwar
Prasad Yadav"	"Ram Krishna
Singh Kushwaha"	"Shankar Bhushan"	"Shyam
Sundar Yadav"	""	""	""	""
"274"	"225"	"11"	"129"	"86"	"4"	"4"	"53"	"5"	"1"	"3"	"2"	"12"	"2"	"5"	"10"	"6"	"8"	"341"	""	"341"	""
"275"	"226"	"7"	"101"	"53"	"2"	"8"	"116"	"5"	"4"	"3"	"5"	"15"	"3"	"5"	"5"	"4"	"4"	"340"	""	"340"	""
"276"	"227"	"2"	"20"	"149"	"3"	"1"	"64"	"4"	"6"	"0"	"4"	"5"	"1"	"1"	"0"	"1"	"0"	"261"	""	"261"	""
"277"	"228"	"5"	"155"	"123"	"7"	"4"	"36"	"3"	"5"	"3"	"3"	"4"	"3"	"4"	"3"	"13"	"17"	"388"	""	"388"	""
"278"	"229"	"41"	"39"	"205"	"2"	"2"	"79"	"8"	"4"	"2"	"5"	"5"	"1"	"4"	"5"	"3"	"16"	"421"	""	"421"	""
"279"	"230"	"10"	"81"	"133"	"2"	"2"	"211"	"7"	"4"	"2"	"8"	"27"	"5"	"8"	"11"	"15"	"27"	"553"	""	"553"	""
"280"	"231"	"11"	"132"	"30"	"0"	"4"	"162"	"9"	"6"	"4"	"1"	"21"	"6"	"1"	"4"	"2"	"18"	"411"	""	"411"	""
"281"	"232"	"5"	"368"	"94"	"5"	"5"	"73"	"6"	"8"	"5"	"4"	"5"	"2"	"2"	"4"	"5"	"6"	"597"	""	"597"	""
"282"	"233"	"8"	"193"	"114"	"3"	"2"	"3"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"1"	"3"	"2"	"333"	""	"333"	""
"283"	"234"	"4"	"370"	"10"	"0"	"1"	"13"	"0"	"3"	"0"	"0"	"0"	"0"	"2"	"0"	"3"	"4"	"410"	""	"410"	""
"284"	"235"	"5"	"224"	"12"	"0"	"0"	"66"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"311"	""	"311"	""
"285"	"Grand
Total"	"109"	"1812"	"1009"	"28"	"33"	"876"	"48"	"41"	"23"	"34"	"94"	"25"	"33"	"43"	"55"	"103"	"4366"	"0"	"4366"	"0"
