"ELECTION.TO.THE.BIHAR.LEGISLATIVE.ASSEMBLY.FROM.106.ABARAUNI.A.C"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly  :  106- BARAUNI"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Ram Krishna Singh"	"Ram Naresh Prasad Singh"	"Total of
valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"222"	"143"	"269"	"15"	"144"	"12"	"13"	"9"	"7"	"41"	"510"	"0"	"510"	"0"
"223"	"144"	"287"	"15"	"199"	"3"	"2"	"8"	"7"	"44"	"565"	"0"	"565"	"0"
"224"	"145"	"321"	"29"	"145"	"5"	"4"	"1"	"6"	"15"	"526"	"0"	"526"	"0"
"225"	"146"	"249"	"4"	"208"	"12"	"4"	"7"	"2"	"31"	"517"	"0"	"517"	"0"
"226"	"147"	"322"	"5"	"208"	"3"	"4"	"2"	"2"	"28"	"574"	"0"	"574"	"0"
"227"	"148"	"246"	"11"	"201"	"11"	"6"	"10"	"10"	"45"	"540"	"0"	"540"	"0"
"228"	"149"	"189"	"4"	"232"	"10"	"1"	"5"	"36"	"47"	"524"	"0"	"524"	"0"
"229"	"150"	"289"	"15"	"172"	"9"	"1"	"2"	"32"	"16"	"536"	"0"	"536"	"0"
"230"	"Total"	"3807"	"160"	"2154"	"125"	"67"	"91"	"693"	"430"	"7527"	"0"	"7527"	"0"
"231"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 106 ABARAUNI A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"Name of the Assembly  :  106- BARAUNI"	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Ram Krishna Singh"	"Ram Naresh Prasad Singh"	"Total of
valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"235"	""	"Rajendra Prasad Singh"	"Sapna Devi"	"Padip Rai"	"Birendra Kumar Sahu"	"Khakho Yadav"	"Gopal Rai"	""	""	""	""	""	""
"236"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"237"	"151"	"137"	"24"	"374"	"17"	"7"	"6"	"16"	"68"	"649"	"0"	"649"	"0"
"238"	"152"	"160"	"14"	"466"	"16"	"5"	"4"	"5"	"56"	"726"	"0"	"726"	"0"
"239"	"153"	"222"	"13"	"204"	"14"	"2"	"7"	"6"	"33"	"501"	"0"	"501"	"0"
"240"	"154"	"170"	"7"	"202"	"7"	"5"	"4"	"7"	"19"	"421"	"0"	"421"	"0"
"241"	"155"	"183"	"23"	"465"	"22"	"3"	"12"	"14"	"41"	"763"	"0"	"763"	"0"
"242"	"156"	"148"	"9"	"71"	"2"	"4"	"3"	"3"	"18"	"258"	"0"	"258"	"0"
"243"	"157"	"383"	"12"	"206"	"10"	"11"	"10"	"19"	"62"	"713"	"0"	"713"	"0"
"244"	"158"	"291"	"39"	"205"	"5"	"1"	"2"	"9"	"25"	"577"	"0"	"577"	"0"
"245"	"159"	"379"	"27"	"165"	"8"	"10"	"14"	"36"	"50"	"689"	"0"	"689"	"0"
"246"	"160"	"264"	"16"	"153"	"5"	"7"	"6"	"3"	"31"	"485"	"0"	"485"	"0"
"247"	"161"	"172"	"5"	"117"	"5"	"7"	"2"	"15"	"39"	"362"	"0"	"362"	"0"
"248"	"162"	"206"	"9"	"142"	"7"	"4"	"5"	"5"	"26"	"404"	"0"	"404"	"0"
"249"	"163"	"436"	"12"	"107"	"6"	"0"	"3"	"13"	"21"	"598"	"0"	"598"	"0"
"250"	"164"	"214"	"11"	"117"	"10"	"2"	"3"	"7"	"21"	"385"	"0"	"385"	"0"
"251"	"Total"	"3365"	"221"	"2994"	"134"	"68"	"81"	"158"	"510"	"7531"	"0"	"7531"	"0"
"252"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 106 ABARAUNI A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"Name of the Assembly  :  106- BARAUNI"	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Ram Krishna Singh"	"Ram Naresh Prasad Singh"	"Total of
valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"256"	""	"Rajendra Prasad Singh"	"Sapna Devi"	"Padip Rai"	"Birendra Kumar Sahu"	"Khakho Yadav"	"Gopal Rai"	""	""	""	""	""	""
"257"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"258"	"165"	"191"	"6"	"160"	"5"	"6"	"2"	"26"	"20"	"416"	"0"	"416"	"0"
"259"	"166"	"68"	"8"	"181"	"21"	"9"	"15"	"82"	"26"	"410"	"0"	"410"	"0"
"260"	"167"	"95"	"10"	"214"	"8"	"3"	"11"	"8"	"29"	"378"	"0"	"378"	"0"
"261"	"168"	"23"	"4"	"210"	"15"	"5"	"3"	"5"	"13"	"278"	"0"	"278"	"0"
"262"	"169"	"180"	"17"	"226"	"18"	"16"	"12"	"11"	"27"	"507"	"0"	"507"	"0"
"263"	"170"	"203"	"15"	"203"	"15"	"11"	"11"	"27"	"31"	"516"	"0"	"516"	"0"
"264"	"171"	"102"	"8"	"302"	"24"	"12"	"27"	"24"	"59"	"558"	"0"	"558"	"0"
"265"	"172"	"160"	"51"	"275"	"8"	"8"	"11"	"16"	"41"	"570"	"0"	"570"	"0"
"266"	"173"	"158"	"9"	"342"	"15"	"3"	"10"	"31"	"34"	"602"	"0"	"602"	"0"
"267"	"174"	"170"	"5"	"162"	"4"	"4"	"5"	"10"	"16"	"376"	"0"	"376"	"0"
"268"	"175"	"229"	"7"	"184"	"14"	"8"	"8"	"28"	"56"	"534"	"0"	"534"	"0"
"269"	"176"	"83"	"8"	"101"	"11"	"6"	"7"	"78"	"33"	"327"	"0"	"327"	"0"
"270"	"177"	"217"	"30"	"125"	"13"	"12"	"10"	"79"	"59"	"545"	"0"	"545"	"0"
"271"	"178"	"154"	"15"	"166"	"11"	"10"	"13"	"52"	"70"	"491"	"0"	"491"	"0"
"272"	"Total"	"2033"	"193"	"2851"	"182"	"113"	"145"	"477"	"514"	"6508"	"0"	"6508"	"0"
"273"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 106 ABARAUNI A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"Name of the Assembly  :  106- BARAUNI"	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Ram Krishna Singh"	"Ram Naresh Prasad Singh"	"Total of
valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"277"	""	"Rajendra Prasad Singh"	"Sapna Devi"	"Padip Rai"	"Birendra Kumar Sahu"	"Khakho Yadav"	"Gopal Rai"	""	""	""	""	""	""
"278"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"279"	"179"	"83"	"121"	"165"	"9"	"4"	"6"	"48"	"21"	"457"	"0"	"457"	"0"
"280"	"Total No. of Votes recorded on Polling Stations"	"44449"	"2102"	"39529"	"1917"	"1457"	"1499"	"6313"	"6002"	"103268"	"0"	"103268"	"0"
"281"	"No. of Votes recorded on Postal Ballot
papers"	"2"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"5"	"1"	"6"	"0"
"282"	"Total Votes
Polled"	"44451"	"2102"	"39532"	"1917"	"1457"	"1499"	"6313"	"6002"	"103273"	"1"	"103274"	"0"
"283"	"Place :         Bazar Samitee Begusarai"	""	""	""	""	""	""	""	""	""	""	""	""
"284"	"Date :          02/27/2005"	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"Assistant Returning Officer                                   Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"106- BARAUNI A.C.                                        106- BARAUNI A.C."	""	""	""	""	""	""	""	""	""	""	""	""
