"No..and.Name.of.Assembly.segment..........46..Raghopur"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"169"	"114"	"30"	"229"	"26"	"9"	"9"	"5"	"20"	"6"	"1"	"5"	"6"	"9"	"23"	"378"	"0"	"378"	"0"
"170"	"115"	"7"	"300"	"10"	"4"	"7"	"3"	"18"	"2"	"0"	"3"	"0"	"13"	"25"	"392"	"0"	"392"	"0"
"171"	"116"	"43"	"217"	"56"	"21"	"14"	"9"	"24"	"7"	"6"	"6"	"4"	"12"	"113"	"532"	"0"	"532"	"0"
"172"	"117"	"11"	"123"	"7"	"3"	"0"	"1"	"16"	"1"	"1"	"0"	"1"	"2"	"5"	"171"	"0"	"171"	"0"
"173"	"118"	"4"	"458"	"13"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"22"	"501"	"0"	"501"	"0"
"174"	"119"	"18"	"102"	"57"	"7"	"9"	"4"	"24"	"3"	"0"	"1"	"1"	"5"	"35"	"266"	"0"	"266"	"0"
"175"	"120"	"29"	"427"	"20"	"4"	"15"	"6"	"73"	"2"	"3"	"7"	"8"	"4"	"78"	"676"	"0"	"676"	"0"
"176"	"No. and Name of Assembly segment  :-      46- Raghopur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"Total no. of Electors in Assembly constituency/Segment :- 219347"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"179"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"180"	""	"JD  (U)"	"RJD"	"BSP"	"IJP"	"RVNP"	"AD"	"LJP"	"RGD"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"181"	""	"NAGESHWAR RAI"	"RABRI DEVI"	"LALA DAS"	"DEVENDRA PASWAN"	"MANJU DEVI"	"RAVI PRAKASH CHAUDHARY"	"RAJIV RANJAN"	"RAMJEE CHAUBAY"	"KIRAN DEVI"	"RAVI KUMAR"	"BASHISTH RAI"	"VIDYA KUMARI"	"SACCHIDA NAND SINGH"	""	""	""	""
"182"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"183"	"121"	"13"	"473"	"6"	"3"	"10"	"1"	"10"	"0"	"0"	"0"	"1"	"3"	"21"	"541"	"0"	"541"	"0"
"184"	"122"	"6"	"330"	"11"	"4"	"2"	"2"	"4"	"2"	"0"	"0"	"0"	"8"	"21"	"390"	"0"	"390"	"0"
"185"	"123"	"5"	"462"	"18"	"0"	"4"	"0"	"9"	"0"	"0"	"0"	"1"	"0"	"11"	"510"	"0"	"510"	"0"
"186"	"124"	"25"	"568"	"2"	"0"	"1"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"11"	"611"	"0"	"611"	"0"
"187"	"125"	"1"	"332"	"2"	"1"	"1"	"0"	"4"	"0"	"1"	"0"	"0"	"2"	"11"	"355"	"0"	"355"	"0"
"188"	"126"	"5"	"183"	"113"	"6"	"0"	"1"	"2"	"0"	"2"	"4"	"4"	"10"	"10"	"340"	"0"	"340"	"0"
"189"	"127"	"13"	"248"	"11"	"2"	"5"	"1"	"45"	"2"	"2"	"6"	"3"	"8"	"35"	"381"	"0"	"381"	"0"
"190"	"128"	"28"	"33"	"36"	"9"	"8"	"8"	"4"	"12"	"3"	"3"	"1"	"15"	"228"	"388"	"0"	"388"	"0"
"191"	"129"	"1"	"843"	"3"	"0"	"0"	"0"	"31"	"2"	"0"	"1"	"0"	"1"	"24"	"906"	"0"	"906"	"0"
"192"	"130"	"2"	"634"	"2"	"0"	"1"	"0"	"43"	"0"	"0"	"0"	"0"	"0"	"16"	"698"	"0"	"698"	"0"
"193"	"131"	"6"	"304"	"20"	"6"	"3"	"1"	"3"	"1"	"1"	"1"	"0"	"3"	"50"	"399"	"0"	"399"	"0"
"194"	"132"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"195"	"133"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"196"	"134"	"1"	"437"	"8"	"2"	"1"	"1"	"3"	"3"	"0"	"0"	"1"	"8"	"9"	"474"	"0"	"474"	"0"
"197"	"135"	"0"	"697"	"2"	"0"	"0"	"0"	"7"	"0"	"0"	"0"	"0"	"1"	"2"	"709"	"0"	"709"	"0"
"198"	"No. and Name of Assembly segment  :-      46- Raghopur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"Total no. of Electors in Assembly constituency/Segment :- 219347"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"201"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"202"	""	"JD  (U)"	"RJD"	"BSP"	"IJP"	"RVNP"	"AD"	"LJP"	"RGD"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"203"	""	"NAGESHWAR RAI"	"RABRI DEVI"	"LALA DAS"	"DEVENDRA PASWAN"	"MANJU DEVI"	"RAVI PRAKASH CHAUDHARY"	"RAJIV RANJAN"	"RAMJEE CHAUBAY"	"KIRAN DEVI"	"RAVI KUMAR"	"BASHISTH RAI"	"VIDYA KUMARI"	"SACCHIDA NAND SINGH"	""	""	""	""
"204"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"205"	"136"	"3"	"322"	"6"	"4"	"5"	"0"	"45"	"2"	"0"	"0"	"0"	"4"	"4"	"395"	"0"	"395"	"0"
"206"	"137"	"12"	"75"	"20"	"4"	"7"	"7"	"7"	"3"	"4"	"3"	"5"	"72"	"219"	"438"	"0"	"438"	"0"
"207"	"138"	"18"	"324"	"17"	"5"	"13"	"2"	"20"	"1"	"0"	"2"	"2"	"12"	"102"	"518"	"0"	"518"	"0"
"208"	"139"	"6"	"330"	"10"	"5"	"4"	"1"	"5"	"0"	"0"	"0"	"0"	"1"	"27"	"389"	"0"	"389"	"0"
"209"	"140"	"24"	"493"	"9"	"3"	"0"	"4"	"11"	"1"	"0"	"0"	"0"	"0"	"5"	"550"	"0"	"550"	"0"
"210"	"141"	"30"	"365"	"17"	"3"	"3"	"4"	"8"	"2"	"1"	"1"	"1"	"3"	"12"	"450"	"0"	"450"	"0"
"211"	"142"	"12"	"268"	"15"	"2"	"7"	"8"	"40"	"2"	"0"	"1"	"2"	"0"	"5"	"362"	"0"	"362"	"0"
"212"	"143"	"2"	"454"	"4"	"1"	"0"	"2"	"23"	"0"	"0"	"0"	"0"	"0"	"52"	"538"	"0"	"538"	"0"
"213"	"144"	"25"	"354"	"50"	"15"	"6"	"4"	"15"	"2"	"1"	"6"	"5"	"20"	"51"	"554"	"0"	"554"	"0"
"214"	"145"	"1"	"717"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"721"	"0"	"721"	"0"
"215"	"146"	"71"	"490"	"37"	"9"	"15"	"6"	"56"	"8"	"0"	"1"	"2"	"3"	"9"	"707"	"0"	"707"	"0"
"216"	"147"	"13"	"256"	"52"	"7"	"9"	"3"	"24"	"4"	"1"	"1"	"2"	"5"	"26"	"403"	"0"	"403"	"0"
"217"	"148"	"5"	"10"	"2"	"2"	"13"	"0"	"8"	"5"	"0"	"0"	"1"	"5"	"423"	"474"	"0"	"474"	"0"
"218"	"149"	"4"	"9"	"1"	"2"	"2"	"0"	"5"	"20"	"1"	"0"	"1"	"3"	"844"	"892"	"0"	"892"	"0"
"219"	"150"	"1"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"3"	"1"	"2"	"447"	"460"	"0"	"460"	"0"
"220"	"No. and Name of Assembly segment  :-      46- Raghopur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"Total no. of Electors in Assembly constituency/Segment :- 219347"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"223"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"224"	""	"JD  (U)"	"RJD"	"BSP"	"IJP"	"RVNP"	"AD"	"LJP"	"RGD"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"225"	""	"NAGESHWAR RAI"	"RABRI DEVI"	"LALA DAS"	"DEVENDRA PASWAN"	"MANJU DEVI"	"RAVI PRAKASH CHAUDHARY"	"RAJIV RANJAN"	"RAMJEE CHAUBAY"	"KIRAN DEVI"	"RAVI KUMAR"	"BASHISTH RAI"	"VIDYA KUMARI"	"SACCHIDA NAND SINGH"	""	""	""	""
"226"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"227"	"151"	"3"	"10"	"0"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"2"	"0"	"492"	"511"	"0"	"511"	"0"
"228"	"152"	"11"	"10"	"7"	"11"	"18"	"12"	"221"	"24"	"9"	"11"	"4"	"10"	"104"	"452"	"0"	"452"	"0"
"229"	"153"	"5"	"2"	"0"	"2"	"6"	"2"	"15"	"1"	"1"	"0"	"0"	"3"	"298"	"335"	"0"	"335"	"0"
"230"	"154"	"22"	"380"	"31"	"5"	"14"	"2"	"22"	"4"	"4"	"5"	"5"	"17"	"72"	"583"	"0"	"583"	"0"
"231"	"155"	"23"	"244"	"12"	"4"	"9"	"3"	"10"	"5"	"7"	"3"	"6"	"13"	"47"	"386"	"0"	"386"	"0"
"232"	"156"	"1"	"785"	"8"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"23"	"820"	"0"	"820"	"0"
"233"	"157"	"14"	"360"	"6"	"4"	"9"	"1"	"23"	"2"	"1"	"1"	"1"	"2"	"29"	"453"	"0"	"453"	"0"
"234"	"158"	"18"	"283"	"19"	"2"	"2"	"4"	"60"	"5"	"2"	"2"	"1"	"4"	"14"	"416"	"0"	"416"	"0"
"235"	"159"	"49"	"373"	"63"	"11"	"15"	"3"	"22"	"4"	"2"	"9"	"3"	"9"	"38"	"601"	"0"	"601"	"0"
"236"	"160"	"16"	"453"	"20"	"5"	"4"	"5"	"21"	"2"	"4"	"5"	"7"	"5"	"35"	"582"	"0"	"582"	"0"
"237"	"161"	"10"	"312"	"12"	"1"	"1"	"3"	"4"	"1"	"0"	"2"	"1"	"11"	"53"	"411"	"0"	"411"	"0"
"238"	"162"	"24"	"385"	"62"	"13"	"5"	"6"	"21"	"4"	"1"	"2"	"1"	"4"	"17"	"545"	"0"	"545"	"0"
"239"	"163"	"18"	"402"	"57"	"5"	"3"	"2"	"6"	"2"	"2"	"5"	"2"	"7"	"10"	"521"	"0"	"521"	"0"
"240"	"164"	"25"	"472"	"12"	"6"	"5"	"1"	"50"	"7"	"2"	"2"	"0"	"4"	"16"	"602"	"0"	"602"	"0"
"241"	"165"	"14"	"336"	"13"	"8"	"11"	"2"	"122"	"2"	"6"	"1"	"1"	"3"	"8"	"527"	"0"	"527"	"0"
"242"	"166"	"32"	"190"	"31"	"2"	"3"	"6"	"113"	"3"	"5"	"2"	"1"	"2"	"7"	"397"	"0"	"397"	"0"
"243"	"No. and Name of Assembly segment  :-      46- Raghopur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"Total no. of Electors in Assembly constituency/Segment :- 219347"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"246"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"247"	""	"JD  (U)"	"RJD"	"BSP"	"IJP"	"RVNP"	"AD"	"LJP"	"RGD"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"248"	""	"NAGESHWAR RAI"	"RABRI DEVI"	"LALA DAS"	"DEVENDRA PASWAN"	"MANJU DEVI"	"RAVI PRAKASH CHAUDHARY"	"RAJIV RANJAN"	"RAMJEE CHAUBAY"	"KIRAN DEVI"	"RAVI KUMAR"	"BASHISTH RAI"	"VIDYA KUMARI"	"SACCHIDA NAND SINGH"	""	""	""	""
"249"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"250"	"167"	"14"	"138"	"69"	"5"	"16"	"2"	"26"	"3"	"5"	"6"	"6"	"3"	"28"	"321"	"0"	"321"	"0"
"251"	"168"	"12"	"254"	"10"	"7"	"14"	"1"	"37"	"6"	"11"	"6"	"7"	"14"	"140"	"519"	"0"	"519"	"0"
"252"	"169"	"9"	"35"	"2"	"1"	"1"	"2"	"17"	"1"	"0"	"1"	"1"	"2"	"429"	"501"	"0"	"501"	"0"
"253"	"170"	"22"	"104"	"4"	"5"	"5"	"4"	"41"	"2"	"2"	"0"	"1"	"5"	"102"	"297"	"0"	"297"	"0"
"254"	"171"	"10"	"64"	"0"	"2"	"6"	"2"	"23"	"0"	"0"	"1"	"0"	"4"	"156"	"268"	"0"	"268"	"0"
"255"	"172"	"11"	"61"	"5"	"8"	"13"	"3"	"119"	"3"	"1"	"4"	"1"	"3"	"29"	"261"	"0"	"261"	"0"
"256"	"173"	"5"	"585"	"8"	"3"	"6"	"1"	"24"	"1"	"1"	"0"	"1"	"1"	"31"	"667"	"0"	"667"	"0"
"257"	"174"	"21"	"385"	"9"	"5"	"5"	"3"	"8"	"2"	"0"	"1"	"0"	"1"	"1"	"441"	"0"	"441"	"0"
"258"	"175"	"22"	"452"	"12"	"2"	"4"	"2"	"11"	"0"	"1"	"2"	"1"	"0"	"2"	"511"	"0"	"511"	"0"
"259"	"176"	"0"	"477"	"2"	"0"	"0"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"7"	"496"	"0"	"496"	"0"
"260"	"176(K)"	"2"	"530"	"2"	"0"	"1"	"0"	"3"	"6"	"0"	"0"	"0"	"0"	"16"	"560"	"0"	"560"	"0"
"261"	"177"	"4"	"886"	"2"	"0"	"4"	"0"	"17"	"4"	"0"	"0"	"1"	"1"	"8"	"927"	"0"	"927"	"0"
"262"	"178"	"9"	"59"	"8"	"0"	"1"	"1"	"7"	"0"	"0"	"0"	"1"	"5"	"217"	"308"	"0"	"308"	"0"
"263"	"179"	"32"	"164"	"10"	"3"	"10"	"3"	"85"	"1"	"2"	"5"	"1"	"1"	"85"	"402"	"0"	"402"	"0"
"264"	"180"	"15"	"150"	"23"	"2"	"9"	"1"	"54"	"3"	"0"	"2"	"4"	"4"	"97"	"364"	"0"	"364"	"0"
"265"	"No. and Name of Assembly segment  :-      46- Raghopur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"Total no. of Electors in Assembly constituency/Segment :- 219347"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"268"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"269"	""	"JD  (U)"	"RJD"	"BSP"	"IJP"	"RVNP"	"AD"	"LJP"	"RGD"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"270"	""	"NAGESHWAR RAI"	"RABRI DEVI"	"LALA DAS"	"DEVENDRA PASWAN"	"MANJU DEVI"	"RAVI PRAKASH CHAUDHARY"	"RAJIV RANJAN"	"RAMJEE CHAUBAY"	"KIRAN DEVI"	"RAVI KUMAR"	"BASHISTH RAI"	"VIDYA KUMARI"	"SACCHIDA NAND SINGH"	""	""	""	""
"271"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"272"	"181"	"39"	"225"	"58"	"17"	"20"	"4"	"36"	"5"	"1"	"4"	"6"	"9"	"51"	"475"	"0"	"475"	"0"
"273"	"182"	"29"	"29"	"141"	"6"	"10"	"6"	"16"	"6"	"6"	"7"	"5"	"2"	"25"	"288"	"0"	"288"	"0"
"274"	"183"	"13"	"511"	"4"	"1"	"4"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"4"	"541"	"0"	"541"	"0"
"275"	"184"	"18"	"113"	"4"	"4"	"5"	"1"	"15"	"0"	"0"	"2"	"0"	"3"	"85"	"250"	"0"	"250"	"0"
"276"	"185"	"2"	"355"	"40"	"0"	"4"	"0"	"9"	"0"	"0"	"0"	"0"	"1"	"10"	"421"	"0"	"421"	"0"
"277"	"186"	"23"	"165"	"8"	"3"	"8"	"1"	"23"	"1"	"1"	"1"	"2"	"8"	"76"	"320"	"0"	"320"	"0"
"278"	"187"	"0"	"472"	"25"	"3"	"0"	"0"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"521"	"0"	"521"	"0"
"279"	"188"	"7"	"828"	"6"	"0"	"0"	"2"	"49"	"2"	"0"	"0"	"0"	"0"	"12"	"906"	"0"	"906"	"0"
"280"	"189"	"38"	"274"	"23"	"15"	"12"	"8"	"48"	"4"	"3"	"2"	"1"	"3"	"74"	"505"	"0"	"505"	"0"
"281"	"190"	"4"	"492"	"3"	"1"	"3"	"0"	"9"	"1"	"0"	"0"	"0"	"0"	"80"	"593"	"0"	"593"	"0"
"282"	"191"	"32"	"127"	"8"	"6"	"47"	"4"	"67"	"2"	"1"	"0"	"1"	"2"	"167"	"464"	"0"	"464"	"0"
"283"	"192"	"28"	"57"	"69"	"9"	"10"	"5"	"31"	"4"	"2"	"2"	"3"	"6"	"66"	"292"	"0"	"292"	"0"
"284"	"193"	"11"	"337"	"24"	"3"	"7"	"5"	"78"	"7"	"0"	"0"	"1"	"2"	"226"	"701"	"0"	"701"	"0"
"285"	"194"	"5"	"364"	"5"	"0"	"3"	"2"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"396"	"0"	"396"	"0"
"286"	"195"	"20"	"70"	"0"	"5"	"13"	"5"	"128"	"6"	"4"	"6"	"3"	"4"	"86"	"350"	"0"	"350"	"0"
"287"	"196"	"20"	"61"	"4"	"4"	"14"	"7"	"227"	"23"	"6"	"16"	"6"	"13"	"90"	"491"	"0"	"491"	"0"
"288"	"197"	"1"	"694"	"0"	"0"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"702"	"0"	"702"	"0"
"289"	"198"	"19"	"55"	"175"	"24"	"13"	"2"	"46"	"3"	"2"	"4"	"0"	"3"	"24"	"370"	"0"	"370"	"0"
"290"	"132"	"27"	"318"	"36"	"7"	"4"	"1"	"104"	"Page No. 134"	"/ 14              2"	"3"	"1"	"3"	"30"	"540"	"0"	"540"	"0"
"291"	"133"	"15"	"322"	"9"	"2"	"7"	"9"	"14"	"2"	"2"	"6"	"3"	"9"	"40"	"440"	"0"	"440"	"0"
"292"	"No. and Name of Assembly segment  :-      46- Raghopur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"Total no. of Electors in Assembly constituency/Segment :- 219347"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"295"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"296"	""	"JD  (U)"	"RJD"	"BSP"	"IJP"	"RVNP"	"AD"	"LJP"	"RGD"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"297"	""	"NAGESHWAR RAI"	"RABRI DEVI"	"LALA DAS"	"DEVENDRA PASWAN"	"MANJU DEVI"	"RAVI PRAKASH CHAUDHARY"	"RAJIV RANJAN"	"RAMJEE CHAUBAY"	"KIRAN DEVI"	"RAVI KUMAR"	"BASHISTH RAI"	"VIDYA KUMARI"	"SACCHIDA NAND SINGH"	""	""	""	""
"298"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"299"	"Total No. of Votes recorded of polling
stations"	"4287"	"48680"	"3092"	"1133"	"1978"	"1373"	"23419"	"848"	"439"	"687"	"407"	"902"	"9953"	"97198"	"0"	"97198"	"0"
"300"	"No. of Votes Recorded on Postal Ballot Papers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"301"	"Total Votes Polled"	"4287"	"48680"	"3092"	"1133"	"1978"	"1373"	"23419"	"848"	"439"	"687"	"407"	"902"	"9953"	"97198"	"0"	"97198"	"0"
"302"	"Place :- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	"Date :- 27-02-2005                                                                                                                                                                                                                                                                                 46- Raghopur Assembly"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"Page No. 14 / 14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"306"	"Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
