"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"144"	"6"	"62"	"181"	"65"	"5"	"28"	"5"	"4"	"67"	"1"	"0"	"3"	"2"	"17"	"0"	"0"	"4"	"7"	"7"	"6"	"1"	"403"	"0"	"403"	"0"
"145"	"7"	"63"	"168"	"123"	"43"	"17"	"8"	"3"	"57"	"8"	"4"	"13"	"3"	"7"	"4"	"3"	"6"	"19"	"8"	"10"	"6"	"510"	"0"	"510"	"0"
"146"	"8"	"64"	"68"	"56"	"1"	"8"	"8"	"1"	"36"	"3"	"3"	"4"	"6"	"139"	"3"	"1"	"1"	"6"	"1"	"0"	"1"	"346"	"0"	"346"	"0"
"147"	"9"	"65"	"43"	"11"	"7"	"5"	"8"	"4"	"121"	"6"	"2"	"7"	"5"	"23"	"7"	"2"	"0"	"9"	"0"	"1"	"0"	"261"	"0"	"261"	"0"
"148"	"10"	"66"	"153"	"61"	"15"	"29"	"12"	"4"	"148"	"3"	"1"	"9"	"4"	"6"	"6"	"4"	"7"	"13"	"13"	"4"	"2"	"494"	"0"	"494"	"0"
"149"	"11"	"67"	"63"	"39"	"4"	"10"	"2"	"6"	"125"	"8"	"7"	"14"	"2"	"12"	"6"	"4"	"11"	"7"	"12"	"6"	"4"	"342"	"0"	"342"	"0"
"150"	"12"	"68"	"80"	"78"	"3"	"54"	"108"	"2"	"7"	"1"	"2"	"5"	"3"	"3"	"1"	"1"	"1"	"14"	"0"	"9"	"0"	"372"	"0"	"372"	"0"
"151"	"13"	"69"	"116"	"59"	"3"	"4"	"7"	"0"	"1"	"0"	"0"	"2"	"0"	"253"	"2"	"2"	"0"	"4"	"4"	"0"	"0"	"457"	"0"	"457"	"0"
"152"	"14"	"70"	"82"	"93"	"2"	"4"	"5"	"2"	"110"	"3"	"3"	"11"	"3"	"93"	"4"	"3"	"0"	"2"	"0"	"1"	"0"	"421"	"0"	"421"	"0"
"153"	"Total Votes Polled"	""	"1722"	"764"	"103"	"214"	"180"	"51"	"1460"	"55"	"39"	"86"	"51"	"702"	"52"	"28"	"40"	"118"	"52"	"41"	"17"	"5775"	"0"	"5775"	"0"
"154"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"41402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	"243-Hasua Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"Election to the State Legislative Assembly from the 243 - Hasua  Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"163"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"164"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"Table No."	"No. & Name of Polling Station"	"AADITYA SINGH"	"GANESH SHANKAR VIDYARTHI"	"JITENDRA KUMAR"	"BIJAY KUMAR SINHA"	"RAMESH PRASAD"	"AJAY KUMAR"	"ANIL SINGH"	"ASHOK YADAV"	"MD. KURBAN ALI"	"GIRANI CHAUDHARI"	"CHANDRASHWAR PRASAD GUPT"	"CHANDRIKA YADAV"	"TRIPIT SINGH"	"NAVIN KUMAR PASWAN"	"MANOJ KUMAR"	"SHASHIKANT SINGH"	"SATYENDRA KUMAR"	"SURENDRA PRASAD"	"SURENDRA RAJBANSHI"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"169"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"170"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"1"	"71"	"103"	"33"	"6"	"13"	"9"	"8"	"153"	"6"	"4"	"6"	"4"	"15"	"3"	"3"	"3"	"14"	"5"	"27"	"3"	"418"	"0"	"418"	"0"
"172"	"2"	"72R"	"238"	"45"	"1"	"11"	"3"	"1"	"72"	"6"	"0"	"9"	"1"	"17"	"4"	"0"	"2"	"9"	"2"	"0"	"1"	"422"	"0"	"422"	"0"
"173"	"3"	"73R"	"88"	"135"	"9"	"8"	"4"	"1"	"75"	"6"	"5"	"1"	"0"	"1"	"3"	"1"	"1"	"3"	"5"	"2"	"0"	"348"	"0"	"348"	"0"
"174"	"4"	"74"	"31"	"116"	"8"	"4"	"8"	"1"	"68"	"6"	"1"	"5"	"2"	"49"	"4"	"1"	"12"	"4"	"1"	"1"	"0"	"322"	"0"	"322"	"0"
"175"	"5"	"75R"	"79"	"54"	"0"	"5"	"2"	"1"	"60"	"0"	"1"	"1"	"1"	"0"	"2"	"0"	"5"	"9"	"4"	"2"	"1"	"227"	"0"	"227"	"0"
"176"	"6"	"76"	"50"	"17"	"2"	"22"	"8"	"1"	"64"	"2"	"2"	"6"	"2"	"7"	"1"	"2"	"2"	"14"	"2"	"0"	"2"	"206"	"0"	"206"	"0"
"177"	"7"	"77"	"28"	"45"	"2"	"7"	"4"	"1"	"102"	"4"	"4"	"8"	"1"	"4"	"3"	"4"	"2"	"40"	"2"	"5"	"2"	"268"	"0"	"268"	"0"
"178"	"8"	"78"	"181"	"17"	"1"	"17"	"3"	"1"	"151"	"3"	"1"	"3"	"0"	"0"	"1"	"2"	"0"	"12"	"2"	"1"	"1"	"397"	"0"	"397"	"0"
"179"	"9"	"79"	"5"	"185"	"1"	"25"	"0"	"0"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"1"	"0"	"225"	"0"	"225"	"0"
"180"	"10"	"80"	"6"	"533"	"2"	"10"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"12"	"0"	"1"	"0"	"3"	"0"	"0"	"0"	"570"	"0"	"570"	"0"
"181"	"11"	"81R"	"157"	"66"	"0"	"9"	"0"	"1"	"36"	"0"	"2"	"1"	"0"	"0"	"1"	"1"	"0"	"2"	"4"	"1"	"0"	"281"	"0"	"281"	"0"
"182"	"12"	"82"	"86"	"69"	"3"	"29"	"5"	"9"	"156"	"6"	"2"	"7"	"1"	"9"	"1"	"1"	"1"	"10"	"0"	"0"	"0"	"395"	"0"	"395"	"0"
"183"	"13"	"83"	"270"	"16"	"0"	"22"	"0"	"6"	"537"	"10"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"54"	"8"	"0"	"0"	"926"	"0"	"926"	"0"
"184"	"14"	"84"	"96"	"70"	"6"	"70"	"6"	"3"	"83"	"2"	"0"	"3"	"5"	"18"	"2"	"1"	"3"	"16"	"1"	"1"	"1"	"387"	"0"	"387"	"0"
"185"	"Total Votes Polled"	""	"1418"	"1401"	"41"	"252"	"53"	"34"	"1560"	"52"	"22"	"52"	"18"	"133"	"26"	"17"	"32"	"192"	"37"	"41"	"11"	"5392"	"0"	"5392"	"0"
"186"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"187"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	"41402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"189"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"243-Hasua Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"Election to the State Legislative Assembly from the 243 - Hasua  Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Table No."	"No. & Name of Polling Station"	"AADITYA SINGH"	"GANESH SHANKAR VIDYARTHI"	"JITENDRA KUMAR"	"BIJAY KUMAR SINHA"	"RAMESH PRASAD"	"AJAY KUMAR"	"ANIL SINGH"	"ASHOK YADAV"	"MD. KURBAN ALI"	"GIRANI CHAUDHARI"	"CHANDRASHWAR PRASAD GUPT"	"CHANDRIKA YADAV"	"TRIPIT SINGH"	"NAVIN KUMAR PASWAN"	"MANOJ KUMAR"	"SHASHIKANT SINGH"	"SATYENDRA KUMAR"	"SURENDRA PRASAD"	"SURENDRA RAJBANSHI"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"201"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"202"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"1"	"85"	"42"	"200"	"8"	"32"	"5"	"2"	"47"	"2"	"1"	"1"	"0"	"17"	"11"	"6"	"6"	"3"	"2"	"2"	"1"	"388"	"0"	"388"	"0"
"204"	"2"	"86"	"169"	"38"	"1"	"37"	"5"	"1"	"122"	"0"	"1"	"2"	"0"	"0"	"2"	"0"	"2"	"5"	"0"	"0"	"1"	"386"	"0"	"386"	"0"
"205"	"3"	"87"	"99"	"174"	"9"	"23"	"18"	"3"	"32"	"12"	"1"	"7"	"3"	"17"	"10"	"12"	"23"	"37"	"4"	"4"	"0"	"488"	"0"	"488"	"0"
"206"	"4"	"88"	"36"	"70"	"0"	"22"	"4"	"2"	"4"	"2"	"2"	"7"	"6"	"54"	"3"	"4"	"3"	"24"	"4"	"5"	"1"	"253"	"0"	"253"	"0"
"207"	"5"	"89"	"80"	"7"	"0"	"57"	"3"	"0"	"136"	"0"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"2"	"295"	"0"	"295"	"0"
"208"	"6"	"90"	"18"	"9"	"5"	"146"	"5"	"0"	"27"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"216"	"0"	"216"	"0"
"209"	"7"	"91"	"70"	"31"	"4"	"15"	"7"	"3"	"115"	"8"	"4"	"19"	"2"	"5"	"3"	"6"	"8"	"15"	"2"	"60"	"1"	"378"	"0"	"378"	"0"
"210"	"8"	"92"	"206"	"3"	"13"	"11"	"2"	"0"	"5"	"2"	"0"	"0"	"1"	"19"	"1"	"0"	"1"	"5"	"0"	"1"	"0"	"270"	"0"	"270"	"0"
"211"	"9"	"93"	"324"	"18"	"1"	"6"	"1"	"0"	"150"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"503"	"0"	"503"	"0"
"212"	"10"	"94R"	"170"	"9"	"2"	"28"	"16"	"4"	"152"	"4"	"2"	"6"	"1"	"2"	"4"	"1"	"3"	"9"	"0"	"1"	"5"	"419"	"0"	"419"	"0"
"213"	"11"	"95"	"143"	"55"	"1"	"22"	"4"	"1"	"72"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"102"	"4"	"2"	"0"	"409"	"0"	"409"	"0"
"214"	"12"	"96"	"497"	"31"	"0"	"2"	"0"	"0"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"570"	"0"	"570"	"0"
"215"	"13"	"97"	"87"	"48"	"3"	"25"	"5"	"2"	"52"	"5"	"3"	"7"	"7"	"38"	"6"	"3"	"4"	"99"	"4"	"3"	"2"	"403"	"0"	"403"	"0"
"216"	"14"	"98R"	"82"	"68"	"7"	"19"	"1"	"6"	"82"	"6"	"3"	"8"	"5"	"8"	"5"	"7"	"7"	"9"	"8"	"8"	"6"	"345"	"0"	"345"	"0"
"217"	"Total Votes Polled"	""	"2023"	"761"	"54"	"445"	"76"	"24"	"1033"	"46"	"19"	"62"	"26"	"160"	"45"	"39"	"58"	"314"	"32"	"87"	"19"	"5323"	"0"	"5323"	"0"
"218"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"41402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"243-Hasua Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"Election to the State Legislative Assembly from the 243 - Hasua  Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"Table No."	"No. & Name of Polling Station"	"AADITYA SINGH"	"GANESH SHANKAR VIDYARTHI"	"JITENDRA KUMAR"	"BIJAY KUMAR SINHA"	"RAMESH PRASAD"	"AJAY KUMAR"	"ANIL SINGH"	"ASHOK YADAV"	"MD. KURBAN ALI"	"GIRANI CHAUDHARI"	"CHANDRASHWAR PRASAD GUPT"	"CHANDRIKA YADAV"	"TRIPIT SINGH"	"NAVIN KUMAR PASWAN"	"MANOJ KUMAR"	"SHASHIKANT SINGH"	"SATYENDRA KUMAR"	"SURENDRA PRASAD"	"SURENDRA RAJBANSHI"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"233"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"234"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"1"	"99"	"162"	"16"	"2"	"38"	"3"	"0"	"67"	"0"	"3"	"1"	"0"	"4"	"0"	"0"	"1"	"15"	"16"	"7"	"15"	"350"	"0"	"350"	"0"
"236"	"2"	"100R"	"102"	"25"	"4"	"3"	"3"	"3"	"269"	"8"	"11"	"18"	"4"	"2"	"8"	"2"	"2"	"7"	"1"	"1"	"1"	"474"	"0"	"474"	"0"
"237"	"3"	"101"	"35"	"123"	"8"	"12"	"3"	"2"	"17"	"7"	"4"	"24"	"8"	"22"	"5"	"10"	"13"	"8"	"7"	"212"	"11"	"531"	"0"	"531"	"0"
"238"	"4"	"102"	"207"	"228"	"2"	"24"	"3"	"2"	"85"	"4"	"1"	"1"	"1"	"0"	"0"	"0"	"5"	"7"	"0"	"2"	"0"	"572"	"0"	"572"	"0"
"239"	"5"	"103"	"191"	"204"	"10"	"40"	"9"	"3"	"38"	"5"	"2"	"6"	"6"	"3"	"3"	"3"	"3"	"9"	"0"	"1"	"0"	"536"	"0"	"536"	"0"
"240"	"6"	"104"	"99"	"160"	"4"	"21"	"1"	"0"	"9"	"0"	"1"	"1"	"3"	"6"	"1"	"2"	"1"	"1"	"1"	"0"	"1"	"312"	"0"	"312"	"0"
"241"	"7"	"105"	"269"	"161"	"4"	"118"	"3"	"3"	"16"	"5"	"3"	"2"	"2"	"3"	"5"	"4"	"7"	"13"	"4"	"0"	"0"	"622"	"0"	"622"	"0"
"242"	"8"	"106"	"165"	"143"	"16"	"79"	"7"	"1"	"32"	"2"	"3"	"0"	"2"	"0"	"0"	"1"	"2"	"36"	"1"	"2"	"2"	"494"	"0"	"494"	"0"
"243"	"9"	"107"	"133"	"189"	"4"	"65"	"8"	"0"	"47"	"2"	"1"	"2"	"13"	"38"	"0"	"5"	"3"	"3"	"0"	"5"	"3"	"521"	"0"	"521"	"0"
"244"	"10"	"108"	"120"	"171"	"15"	"15"	"3"	"0"	"74"	"7"	"4"	"6"	"2"	"9"	"7"	"2"	"9"	"15"	"2"	"10"	"0"	"471"	"0"	"471"	"0"
"245"	"11"	"109"	"163"	"91"	"1"	"74"	"11"	"0"	"60"	"1"	"7"	"5"	"3"	"3"	"1"	"1"	"1"	"6"	"1"	"2"	"12"	"443"	"0"	"443"	"0"
"246"	"12"	"109A"	"93"	"99"	"3"	"23"	"5"	"2"	"12"	"1"	"4"	"1"	"1"	"0"	"2"	"3"	"1"	"11"	"2"	"2"	"0"	"265"	"0"	"265"	"0"
"247"	"13"	"110"	"209"	"150"	"2"	"137"	"11"	"0"	"46"	"7"	"0"	"3"	"7"	"4"	"5"	"5"	"4"	"13"	"5"	"13"	"1"	"622"	"0"	"622"	"0"
"248"	"14"	"111"	"73"	"329"	"20"	"36"	"4"	"0"	"13"	"9"	"2"	"2"	"1"	"1"	"7"	"6"	"13"	"18"	"2"	"5"	"9"	"550"	"0"	"550"	"0"
"249"	"Total Votes Polled"	""	"2021"	"2089"	"95"	"685"	"74"	"16"	"785"	"58"	"46"	"72"	"53"	"95"	"44"	"44"	"65"	"162"	"42"	"262"	"55"	"6763"	"0"	"6763"	"0"
"250"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"41402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"243-Hasua Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"Election to the State Legislative Assembly from the 243 - Hasua  Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"263"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"Table No."	"No. & Name of Polling Station"	"AADITYA SINGH"	"GANESH SHANKAR VIDYARTHI"	"JITENDRA KUMAR"	"BIJAY KUMAR SINHA"	"RAMESH PRASAD"	"AJAY KUMAR"	"ANIL SINGH"	"ASHOK YADAV"	"MD. KURBAN ALI"	"GIRANI CHAUDHARI"	"CHANDRASHWAR PRASAD GUPT"	"CHANDRIKA YADAV"	"TRIPIT SINGH"	"NAVIN KUMAR PASWAN"	"MANOJ KUMAR"	"SHASHIKANT SINGH"	"SATYENDRA KUMAR"	"SURENDRA PRASAD"	"SURENDRA RAJBANSHI"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"265"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"266"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"1"	"112"	"96"	"158"	"7"	"49"	"4"	"9"	"129"	"15"	"6"	"13"	"8"	"12"	"21"	"14"	"12"	"15"	"2"	"0"	"0"	"570"	"0"	"570"	"0"
"268"	"2"	"113"	"53"	"316"	"8"	"6"	"5"	"1"	"41"	"3"	"2"	"6"	"1"	"1"	"5"	"4"	"9"	"12"	"1"	"13"	"5"	"492"	"0"	"492"	"0"
"269"	"3"	"114"	"98"	"310"	"11"	"17"	"1"	"1"	"63"	"3"	"5"	"5"	"2"	"8"	"0"	"3"	"4"	"7"	"0"	"5"	"0"	"543"	"0"	"543"	"0"
"270"	"4"	"115"	"62"	"125"	"1"	"8"	"1"	"0"	"81"	"1"	"2"	"4"	"0"	"1"	"1"	"1"	"3"	"7"	"0"	"1"	"1"	"300"	"0"	"300"	"0"
"271"	"5"	"116"	"659"	"8"	"0"	"4"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"16"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"690"	"0"	"690"	"0"
"272"	"6"	"117"	"89"	"1"	"1"	"7"	"3"	"1"	"131"	"0"	"3"	"5"	"3"	"1"	"0"	"0"	"1"	"3"	"1"	"0"	"0"	"250"	"0"	"250"	"0"
"273"	"7"	"118R"	"172"	"31"	"0"	"5"	"0"	"4"	"157"	"9"	"6"	"7"	"1"	"4"	"5"	"5"	"4"	"29"	"12"	"6"	"5"	"462"	"0"	"462"	"0"
"274"	"8"	"119"	"1"	"6"	"1"	"1"	"0"	"0"	"805"	"0"	"1"	"0"	"0"	"13"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"830"	"0"	"830"	"0"
"275"	"9"	"120R"	"56"	"112"	"10"	"6"	"3"	"3"	"68"	"5"	"4"	"18"	"2"	"20"	"2"	"7"	"12"	"22"	"6"	"5"	"1"	"362"	"0"	"362"	"0"
"276"	"10"	"121"	"19"	"3"	"0"	"0"	"0"	"4"	"475"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"502"	"0"	"502"	"0"
"277"	"11"	"122"	"223"	"203"	"6"	"16"	"7"	"0"	"53"	"5"	"5"	"1"	"8"	"39"	"5"	"1"	"2"	"5"	"2"	"22"	"2"	"605"	"0"	"605"	"0"
"278"	"12"	"123"	"47"	"134"	"3"	"13"	"2"	"0"	"88"	"4"	"1"	"6"	"3"	"77"	"0"	"2"	"1"	"7"	"8"	"3"	"3"	"402"	"0"	"402"	"0"
"279"	"13"	"124"	"138"	"35"	"6"	"12"	"5"	"5"	"33"	"4"	"2"	"8"	"8"	"69"	"7"	"6"	"5"	"13"	"10"	"2"	"2"	"370"	"0"	"370"	"0"
"280"	"14"	"125"	"182"	"17"	"4"	"9"	"5"	"2"	"68"	"4"	"5"	"5"	"4"	"4"	"9"	"8"	"7"	"25"	"5"	"5"	"19"	"387"	"0"	"387"	"0"
"281"	"Total Votes Polled"	""	"1895"	"1459"	"58"	"153"	"36"	"30"	"2193"	"53"	"43"	"78"	"40"	"266"	"55"	"52"	"60"	"145"	"47"	"63"	"39"	"6765"	"0"	"6765"	"0"
"282"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"284"	"41402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"243-Hasua Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"Election to the State Legislative Assembly from the 243 - Hasua  Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
