"izFke..pdz"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"
"1"	"ernku
dsUnz la[;k"	""	"vH;FkhZ;ksa  ds  i{k  esa  fn;s  x;s  cS/k  erksa  dh  la[;k  ,oa  vH;FkhZ;ksa  dk  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erks  dh la[;k"	""	""	"izfr{ksfir
erksa  dh la[;k"	""	";ksx"	""	""	""
"109"	"82"	""	"9"	""	"2"	""	""	""	"33"	""	""	"107"	""	"14"	""	""	"9"	""	""	"3"	""	""	"7"	""	"143"	""	"5"	""	""	"16"	""	""	"348"	""	""	""	""	"348"	""	""
"110"	"83"	""	"62"	""	"22"	""	""	""	"60"	""	""	"216"	""	"51"	""	""	"9"	""	""	"4"	""	""	"4"	""	"53"	""	"8"	""	""	"11"	""	""	"500"	""	""	""	""	"500"	""	""
"111"	"84"	""	"14"	""	"23"	""	""	""	"21"	""	""	"94"	""	"6"	""	""	"3"	""	""	"1"	""	""	"3"	""	"8"	""	"0"	""	""	"3"	""	""	"176"	""	""	""	""	"176"	""	""
"112"	";ksx"	""	"1600"	""	"491"	""	""	""	"673"	""	""	"1825"	""	"285"	""	""	"156"	""	""	"83"	""	""	"77"	""	"1080"	""	"85"	""	""	"175"	""	""	"6530"	""	"0"	""	""	"6530"	""	""
"113"	"lIre  pzd"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"ernku
dsUnz la[;k"	"vH;FkhZ;ksa ds i{k esa fn;s x;s cS/k erksa dh la[;k ,oa vH;FkhZ;ksa dk uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erks  dh la[;k"	""	""	"izfr{ksfir
erks  dh la[;k"	""	";ksx"	""	""	""	""
"115"	""	"Mk0
vnuku [kk°"	""	"/kujkt
flag"	""	""	"e0
userqYykg"	""	""	"jkeizos'k
jk;"	""	""	"vcjkj
fln~ndh"	""	"vejsUn
flag"	""	""	"rlyhe
teky"	""	""	"eqdqUn
izlkn"	""	""	"t;ukFk
izlkn
;kno"	""	"ckcq
gqlSu"	""	"fodkl
izrki flag"	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"1"	"2"	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	"7"	""	""	"8"	""	""	"9"	""	""	"10"	""	"11"	""	"12"	""	""	"13"	""	""	"14"	""	"15"	""	""	""	""
"117"	"85"	"210"	""	"49"	""	""	"82"	""	""	"150"	""	""	"25"	""	"17"	""	""	"16"	""	""	"5"	""	""	"12"	""	"8"	""	"23"	""	""	"597"	""	""	""	""	"597"	""	""	""	""
"118"	"86"	"4"	""	"5"	""	""	"73"	""	""	"12"	""	""	"2"	""	"3"	""	""	"1"	""	""	"4"	""	""	"82"	""	"1"	""	"3"	""	""	"190"	""	""	""	""	"190"	""	""	""	""
"119"	"87"	"2"	""	"4"	""	""	"70"	""	""	"17"	""	""	"7"	""	"5"	""	""	"1"	""	""	"4"	""	""	"83"	""	"1"	""	"2"	""	""	"196"	""	""	""	""	"196"	""	""	""	""
"120"	"88"	"61"	""	"139"	""	""	"144"	""	""	"90"	""	""	"25"	""	"7"	""	""	"6"	""	""	"8"	""	""	"135"	""	"9"	""	"21"	""	""	"645"	""	""	""	""	"645"	""	""	""	""
"121"	"89"	"27"	""	"18"	""	""	"67"	""	""	"13"	""	""	"42"	""	"24"	""	""	"19"	""	""	"9"	""	""	"219"	""	"16"	""	"8"	""	""	"462"	""	""	""	""	"462"	""	""	""	""
"122"	"90"	"46"	""	"15"	""	""	"139"	""	""	"57"	""	""	"8"	""	"7"	""	""	"1"	""	""	"3"	""	""	"32"	""	"3"	""	"6"	""	""	"317"	""	""	""	""	"317"	""	""	""	""
"123"	"91"	"18"	""	"14"	""	""	"126"	""	""	"127"	""	""	"9"	""	"3"	""	""	"7"	""	""	"6"	""	""	"12"	""	"4"	""	"11"	""	""	"337"	""	""	""	""	"337"	""	""	""	""
"124"	"92"	"52"	""	"77"	""	""	"81"	""	""	"274"	""	""	"27"	""	"8"	""	""	"15"	""	""	"5"	""	""	"18"	""	"10"	""	"15"	""	""	"582"	""	""	""	""	"582"	""	""	""	""
"125"	"93"	"72"	""	"136"	""	""	"74"	""	""	"183"	""	""	"18"	""	"14"	""	""	"6"	""	""	"7"	""	""	"31"	""	"5"	""	"10"	""	""	"556"	""	""	""	""	"556"	""	""	""	""
"126"	"94"	"34"	""	"153"	""	""	"95"	""	""	"29"	""	""	"6"	""	"7"	""	""	"4"	""	""	"2"	""	""	"293"	""	"7"	""	"15"	""	""	"645"	""	""	""	""	"645"	""	""	""	""
"127"	"95"	"37"	""	"108"	""	""	"84"	""	""	"104"	""	""	"12"	""	"18"	""	""	"4"	""	""	"8"	""	""	"33"	""	"1"	""	"7"	""	""	"416"	""	""	""	""	"416"	""	""	""	""
"128"	"96"	"241"	""	"7"	""	""	"82"	""	""	"44"	""	""	"13"	""	"7"	""	""	"6"	""	""	"3"	""	""	"30"	""	"4"	""	"33"	""	""	"470"	""	""	""	""	"470"	""	""	""	""
"129"	"97"	"116"	""	"20"	""	""	"114"	""	""	"163"	""	""	"7"	""	"1"	""	""	"3"	""	""	"5"	""	""	"29"	""	"2"	""	"20"	""	""	"480"	""	""	""	""	"480"	""	""	""	""
"130"	"98"	"36"	""	"26"	""	""	"164"	""	""	"98"	""	""	"30"	""	"10"	""	""	"8"	""	""	"16"	""	""	"81"	""	"15"	""	"38"	""	""	"522"	""	""	""	""	"522"	""	""	""	""
"131"	";ksx"	"956"	""	"771"	""	""	"1395"	""	""	"1361"	""	""	"231"	""	"131"	""	""	"97"	""	""	"85"	""	""	"1090"	""	"86"	""	"212"	""	""	"6415"	""	""	"0"	""	"6415"	""	""	""	""
"132"	"v\"Be  pzd"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"ernku
dsUnz la[;k"	""	"vH;FkhZ;ksa ds i{k esa fn;s x;s cS/k erksa dh la[;k ,oa vH;FkhZ;ksa dk uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erks  dh la[;k"	""	"izfr{ksfir
erks  dh la[;k"	""	""	";ksx"	""	""	""
"134"	""	""	"Mk0
vnuku [kk°"	""	"/kujkt
flag"	""	""	"e0
userqYykg"	""	""	"jkeizos'k
jk;"	""	"vcjkj
fln~ndh"	""	""	"vejsUn
flag"	""	""	"rlyhe
teky"	""	""	"eqdqUn
izlkn"	""	"t;ukFk
izlkn
;kno"	""	"ckcq
gqlSu"	""	""	"fodkl
izrki flag"	""	""	""	""	""	""	""	""	""	""	""
"135"	"1"	""	"2"	""	"3"	""	""	"4"	""	""	"5"	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	"14"	""	""	"15"	""	""	""
"136"	"99"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	""
"137"	"100"	""	"5"	""	"4"	""	""	"17"	""	""	"53"	""	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	"6"	""	"1"	""	""	"1"	""	""	"90"	""	""	""	""	"90"	""	""	""
"138"	"101"	""	"33"	""	"26"	""	""	"82"	""	""	"120"	""	"22"	""	""	"3"	""	""	"4"	""	""	"8"	""	"49"	""	"8"	""	""	"9"	""	""	"364"	""	""	""	""	"364"	""	""	""
"139"	"102"	""	"30"	""	"8"	""	""	"159"	""	""	"93"	""	"19"	""	""	"11"	""	""	"6"	""	""	"4"	""	"81"	""	"4"	""	""	"8"	""	""	"423"	""	""	""	""	"423"	""	""	""
"140"	"103"	""	"20"	""	"48"	""	""	"196"	""	""	"124"	""	"11"	""	""	"5"	""	""	"2"	""	""	"8"	""	"26"	""	"13"	""	""	"34"	""	""	"487"	""	""	""	""	"487"	""	""	""
"141"	"104"	""	"20"	""	"29"	""	""	"72"	""	""	"189"	""	"18"	""	""	"11"	""	""	"3"	""	""	"7"	""	"85"	""	"5"	""	""	"9"	""	""	"448"	""	""	""	""	"448"	""	""	""
"142"	"105"	""	"26"	""	"103"	""	""	"160"	""	""	"181"	""	"15"	""	""	"8"	""	""	"4"	""	""	"8"	""	"18"	""	"10"	""	""	"6"	""	""	"539"	""	""	""	""	"539"	""	""	""
"143"	"106"	""	"7"	""	"11"	""	""	"85"	""	""	"271"	""	"5"	""	""	"3"	""	""	"3"	""	""	"2"	""	"9"	""	"2"	""	""	"11"	""	""	"409"	""	""	""	""	"409"	""	""	""
"144"	"107"	""	"44"	""	"11"	""	""	"168"	""	""	"137"	""	"16"	""	""	"14"	""	""	"6"	""	""	"3"	""	"13"	""	"3"	""	""	"11"	""	""	"426"	""	""	""	""	"426"	""	""	""
"145"	"108"	""	"147"	""	"58"	""	""	"251"	""	""	"127"	""	"45"	""	""	"4"	""	""	"7"	""	""	"6"	""	"28"	""	"4"	""	""	"15"	""	""	"692"	""	""	""	""	"692"	""	""	""
"146"	"109"	""	"56"	""	"53"	""	""	"198"	""	""	"155"	""	"12"	""	""	"6"	""	""	"5"	""	""	"10"	""	"32"	""	"9"	""	""	"30"	""	""	"566"	""	""	""	""	"566"	""	""	""
"147"	"110"	""	"45"	""	"23"	""	""	"251"	""	""	"65"	""	"18"	""	""	"8"	""	""	"8"	""	""	"10"	""	"126"	""	"11"	""	""	"11"	""	""	"576"	""	""	""	""	"576"	""	""	""
"148"	"111"	""	"63"	""	"96"	""	""	"89"	""	""	"167"	""	"23"	""	""	"3"	""	""	"2"	""	""	"2"	""	"109"	""	"14"	""	""	"20"	""	""	"588"	""	""	""	""	"588"	""	""	""
"149"	"112"	""	"152"	""	"103"	""	""	"114"	""	""	"117"	""	"13"	""	""	"7"	""	""	"7"	""	""	"8"	""	"52"	""	"9"	""	""	"42"	""	""	"624"	""	""	""	""	"624"	""	""	""
"150"	";ksx"	""	"648"	""	"573"	""	""	"1842"	""	""	"1799"	""	"218"	""	""	"84"	""	""	"58"	""	""	"76"	""	"634"	""	"93"	""	""	"207"	""	""	"6232"	""	"0"	""	""	"6232"	""	""	""
"151"	"uoe  pzd"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"ernku
dsUnz la[;k"	""	"vH;FkhZ;ksa ds i{k esa fn;s x;s cS/k erksa dh la[;k ,oa vH;FkhZ;ksa dk uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erks  dh la[;k"	""	"izfr{ksfir
erks  dh la[;k"	""	""	";ksx"	""	""	""
"153"	""	""	"Mk0
vnuku [kk°"	""	"/kujkt
flag"	""	""	"e0
userqYykg"	""	""	"jkeizos'k
jk;"	""	"vcjkj
fln~ndh"	""	""	"vejsUn
flag"	""	""	"rlyhe
teky"	""	""	"eqdqUn
izlkn"	""	"t;ukFk
izlkn
;kno"	""	"ckcq
gqlSu"	""	""	"fodkl
izrki flag"	""	""	""	""	""	""	""	""	""	""	""
"154"	"1"	""	"2"	""	"3"	""	""	"4"	""	""	"5"	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	"10"	""	"11"	""	""	"12"	""	""	"13"	""	"14"	""	""	"15"	""	""	""
"155"	"113"	""	"51"	""	"11"	""	""	"151"	""	""	"184"	""	"19"	""	""	"8"	""	""	"5"	""	""	"13"	""	"52"	""	"2"	""	""	"11"	""	""	"507"	""	""	""	""	"507"	""	""	""
"156"	"114"	""	"52"	""	"17"	""	""	"205"	""	""	"103"	""	"22"	""	""	"3"	""	""	"3"	""	""	"6"	""	"91"	""	"1"	""	""	"2"	""	""	"505"	""	""	""	""	"505"	""	""	""
"157"	"115"	""	"145"	""	"20"	""	""	"230"	""	""	"164"	""	"5"	""	""	"3"	""	""	"1"	""	""	"3"	""	"7"	""	"5"	""	""	"9"	""	""	"592"	""	""	""	""	"592"	""	""	""
"158"	"116"	""	"24"	""	"31"	""	""	"104"	""	""	"74"	""	"21"	""	""	"4"	""	""	"4"	""	""	"3"	""	"44"	""	"1"	""	""	"9"	""	""	"319"	""	""	""	""	"319"	""	""	""
"159"	"117"	""	"47"	""	"40"	""	""	"344"	""	""	"208"	""	"11"	""	""	"5"	""	""	"11"	""	""	"11"	""	"56"	""	"5"	""	""	"33"	""	""	"771"	""	""	""	""	"771"	""	""	""
"160"	"118"	""	"68"	""	"29"	""	""	"239"	""	""	"287"	""	"14"	""	""	"6"	""	""	"6"	""	""	"6"	""	"24"	""	"6"	""	""	"8"	""	""	"693"	""	""	""	""	"693"	""	""	""
"161"	"119"	""	"61"	""	"19"	""	""	"184"	""	""	"70"	""	"3"	""	""	"5"	""	""	"1"	""	""	"5"	""	"7"	""	"8"	""	""	"19"	""	""	"382"	""	""	""	""	"382"	""	""	""
"162"	"120"	""	"50"	""	"42"	""	""	"230"	""	""	"255"	""	"37"	""	""	"5"	""	""	"10"	""	""	"4"	""	"24"	""	"9"	""	""	"22"	""	""	"688"	""	""	""	""	"688"	""	""	""
"163"	"121"	""	"72"	""	"12"	""	""	"79"	""	""	"206"	""	"36"	""	""	"6"	""	""	"9"	""	""	"8"	""	"8"	""	"7"	""	""	"11"	""	""	"454"	""	""	""	""	"454"	""	""	""
"164"	"122"	""	"43"	""	"7"	""	""	"128"	""	""	"198"	""	"34"	""	""	"3"	""	""	"5"	""	""	"2"	""	"20"	""	"3"	""	""	"3"	""	""	"446"	""	""	""	""	"446"	""	""	""
"165"	"123"	""	"41"	""	"13"	""	""	"22"	""	""	"196"	""	"13"	""	""	"4"	""	""	"3"	""	""	"4"	""	"115"	""	"4"	""	""	"15"	""	""	"430"	""	""	""	""	"430"	""	""	""
"166"	"124"	""	"64"	""	"11"	""	""	"34"	""	""	"76"	""	"15"	""	""	"2"	""	""	"3"	""	""	"1"	""	"61"	""	"3"	""	""	"4"	""	""	"274"	""	""	""	""	"274"	""	""	""
"167"	"125"	""	"151"	""	"46"	""	""	"102"	""	""	"131"	""	"16"	""	""	"8"	""	""	"8"	""	""	"9"	""	"56"	""	"12"	""	""	"7"	""	""	"546"	""	""	""	""	"546"	""	""	""
"168"	"126"	""	"59"	""	"19"	""	""	"203"	""	""	"203"	""	"16"	""	""	"5"	""	""	"5"	""	""	"7"	""	"14"	""	"2"	""	""	"16"	""	""	"549"	""	""	""	""	"549"	""	""	""
"169"	";ksx"	""	"928"	""	"317"	""	""	"2255"	""	""	"2355"	""	"262"	""	""	"67"	""	""	"74"	""	""	"82"	""	"579"	""	"68"	""	""	"169"	""	""	"7156"	""	"0"	""	""	"7156"	""	""	""
"170"	"ernku
dsUn la[;k"	"vH;FkhZ;ksa ds i{k esa fn;s x;s cS/k erksa dh la[;k ,oa vH;FkhZ;ksa dk uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erks  dh la[;k"	""	""	"izfr{ksfir
erks  dh la[;k"	""	";ksx"	""	""	""	""
"171"	""	"Mk0 vnuku
[kk°"	""	""	"/kujkt
flag"	""	""	"e0
userqYykg"	""	"jkeizos'k
jk;"	""	""	"vcjkj
fln~ndh"	""	""	"vejsUn
flag"	""	""	"rlyhe
teky"	""	"eqdqUn
izlkn"	""	""	"t;ukFk
izlkn
;kno"	""	"ckcq
gqlSu"	""	"fodkl
izrki flag"	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"1"	"2"	""	""	"3"	""	""	"4"	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	""	"10"	""	"11"	""	"12"	""	""	"13"	""	""	"14"	""	"15"	""	""	""	""
"173"	"127"	"94"	""	""	"42"	""	""	"288"	""	"73"	""	""	"13"	""	""	"3"	""	""	"7"	""	"8"	""	""	"47"	""	"16"	""	"39"	""	""	"630"	""	""	""	""	"630"	""	""	""	""
"174"	"128"	"125"	""	""	"99"	""	""	"184"	""	"89"	""	""	"28"	""	""	"5"	""	""	"7"	""	"5"	""	""	"17"	""	"16"	""	"30"	""	""	"605"	""	""	""	""	"605"	""	""	""	""
"175"	"129"	"57"	""	""	"16"	""	""	"179"	""	"159"	""	""	"13"	""	""	"6"	""	""	"7"	""	"6"	""	""	"24"	""	"6"	""	"17"	""	""	"490"	""	""	""	""	"490"	""	""	""	""
"176"	"130"	"45"	""	""	"3"	""	""	"228"	""	"104"	""	""	"7"	""	""	"6"	""	""	"3"	""	"10"	""	""	"60"	""	"3"	""	"21"	""	""	"490"	""	""	""	""	"490"	""	""	""	""
"177"	"131"	"298"	""	""	"6"	""	""	"25"	""	"19"	""	""	"1"	""	""	"0"	""	""	"1"	""	"1"	""	""	"2"	""	"0"	""	"3"	""	""	"356"	""	""	""	""	"356"	""	""	""	""
"178"	"132"	"57"	""	""	"87"	""	""	"174"	""	"144"	""	""	"16"	""	""	"7"	""	""	"1"	""	"3"	""	""	"262"	""	"4"	""	"9"	""	""	"764"	""	""	""	""	"764"	""	""	""	""
"179"	"133"	"161"	""	""	"55"	""	""	"104"	""	"131"	""	""	"23"	""	""	"9"	""	""	"7"	""	"5"	""	""	"107"	""	"3"	""	"12"	""	""	"617"	""	""	""	""	"617"	""	""	""	""
"180"	"134"	"193"	""	""	"16"	""	""	"25"	""	"86"	""	""	"59"	""	""	"5"	""	""	"4"	""	"1"	""	""	"14"	""	"4"	""	"10"	""	""	"417"	""	""	""	""	"417"	""	""	""	""
"181"	"135"	"65"	""	""	"17"	""	""	"267"	""	"187"	""	""	"26"	""	""	"5"	""	""	"5"	""	"6"	""	""	"28"	""	"2"	""	"8"	""	""	"616"	""	""	""	""	"616"	""	""	""	""
"182"	"136"	"94"	""	""	"18"	""	""	"151"	""	"281"	""	""	"13"	""	""	"11"	""	""	"6"	""	"9"	""	""	"14"	""	"0"	""	"9"	""	""	"606"	""	""	""	""	"606"	""	""	""	""
"183"	"137"	"71"	""	""	"17"	""	""	"181"	""	"287"	""	""	"38"	""	""	"6"	""	""	"2"	""	"6"	""	""	"9"	""	"3"	""	"6"	""	""	"626"	""	""	""	""	"626"	""	""	""	""
"184"	"138"	"51"	""	""	"10"	""	""	"200"	""	"84"	""	""	"23"	""	""	"14"	""	""	"10"	""	"12"	""	""	"22"	""	"11"	""	"29"	""	""	"466"	""	""	""	""	"466"	""	""	""	""
"185"	"139"	"86"	""	""	"20"	""	""	"125"	""	"130"	""	""	"89"	""	""	"13"	""	""	"8"	""	"6"	""	""	"18"	""	"9"	""	"13"	""	""	"517"	""	""	""	""	"517"	""	""	""	""
"186"	"140"	"92"	""	""	"24"	""	""	"238"	""	"283"	""	""	"16"	""	""	"8"	""	""	"6"	""	"9"	""	""	"21"	""	"5"	""	"15"	""	""	"717"	""	""	""	""	"717"	""	""	""	""
"187"	";ksx"	"1489"	""	""	"430"	""	""	"2369"	""	"2057"	""	""	"365"	""	""	"98"	""	""	"74"	""	"87"	""	""	"645"	""	"82"	""	"221"	""	""	"7917"	""	""	"0"	""	"7917"	""	""	""	""
"188"	"X;kjgoaka  pÿ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"189"	"ernku
dsUnz la[;k"	"vH;FkhZ;ksa ds i{k esa fn;s x;s cS/k erksa dh la[;k ,oa vH;FkhZ;ksa dk uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erks  dh la[;k"	""	""	"izfr{ksfir
erks  dh la[;k"	""	";ksx"	""	""	""	""
"190"	""	"Mk0 vnuku
[kk°"	""	""	"/kujkt
flag"	""	"e0
userqYykg"	""	""	"jkeizos'k
jk;"	""	""	"vcjkj
fln~ndh"	""	"vejsUn
flag"	""	""	"rlyhe
teky"	""	""	"eqdqUn
izlkn"	""	""	"t;ukFk
izlkn
;kno"	""	"ckcq
gqlSu"	""	"fodkl
izrki flag"	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"1"	"2"	""	""	"3"	""	"4"	""	""	"5"	""	""	"6"	""	"7"	""	""	"8"	""	""	"9"	""	""	"10"	""	"11"	""	"12"	""	""	"13"	""	""	"14"	""	"15"	""	""	""	""
"192"	"141"	"44"	""	""	"2"	""	"89"	""	""	"304"	""	""	"16"	""	"1"	""	""	"3"	""	""	"6"	""	""	"9"	""	"1"	""	"7"	""	""	"482"	""	""	""	""	"482"	""	""	""	""
"193"	"142"	"30"	""	""	"5"	""	"30"	""	""	"190"	""	""	"15"	""	"2"	""	""	"4"	""	""	"6"	""	""	"24"	""	"2"	""	"10"	""	""	"318"	""	""	""	""	"318"	""	""	""	""
"194"	"143"	"126"	""	""	"25"	""	"145"	""	""	"134"	""	""	"27"	""	"12"	""	""	"8"	""	""	"10"	""	""	"14"	""	"3"	""	"11"	""	""	"515"	""	""	""	""	"515"	""	""	""	""
"195"	"144"	"164"	""	""	"10"	""	"19"	""	""	"257"	""	""	"4"	""	"6"	""	""	"1"	""	""	"8"	""	""	"4"	""	"5"	""	"12"	""	""	"490"	""	""	""	""	"490"	""	""	""	""
"196"	"145"	"88"	""	""	"11"	""	"78"	""	""	"285"	""	""	"14"	""	"7"	""	""	"3"	""	""	"29"	""	""	"15"	""	"7"	""	"6"	""	""	"543"	""	""	""	""	"543"	""	""	""	""
"197"	"146"	"233"	""	""	"38"	""	"106"	""	""	"139"	""	""	"14"	""	"5"	""	""	"5"	""	""	"19"	""	""	"10"	""	"7"	""	"6"	""	""	"582"	""	""	""	""	"582"	""	""	""	""
"198"	"147"	"57"	""	""	"31"	""	"106"	""	""	"122"	""	""	"29"	""	"7"	""	""	"27"	""	""	"26"	""	""	"62"	""	"7"	""	"12"	""	""	"486"	""	""	""	""	"486"	""	""	""	""
"199"	"148"	"226"	""	""	"8"	""	"138"	""	""	"58"	""	""	"10"	""	"8"	""	""	"9"	""	""	"10"	""	""	"52"	""	"12"	""	"34"	""	""	"565"	""	""	""	""	"565"	""	""	""	""
"200"	"149"	"240"	""	""	"18"	""	"98"	""	""	"83"	""	""	"11"	""	"4"	""	""	"4"	""	""	"2"	""	""	"8"	""	"6"	""	"14"	""	""	"488"	""	""	""	""	"488"	""	""	""	""
"201"	"150"	"269"	""	""	"17"	""	"68"	""	""	"105"	""	""	"5"	""	"3"	""	""	"1"	""	""	"4"	""	""	"6"	""	"1"	""	"6"	""	""	"485"	""	""	""	""	"485"	""	""	""	""
"202"	"151"	"222"	""	""	"10"	""	"115"	""	""	"50"	""	""	"3"	""	"1"	""	""	"1"	""	""	"1"	""	""	"2"	""	"9"	""	"21"	""	""	"435"	""	""	""	""	"435"	""	""	""	""
"203"	"152"	"219"	""	""	"31"	""	"69"	""	""	"301"	""	""	"11"	""	"6"	""	""	"4"	""	""	"6"	""	""	"3"	""	"2"	""	"12"	""	""	"664"	""	""	""	""	"664"	""	""	""	""
"204"	"153"	"51"	""	""	"8"	""	"267"	""	""	"32"	""	""	"10"	""	"2"	""	""	"0"	""	""	"2"	""	""	"4"	""	"3"	""	"7"	""	""	"386"	""	""	""	""	"386"	""	""	""	""
"205"	"154"	"76"	""	""	"8"	""	"264"	""	""	"169"	""	""	"8"	""	"5"	""	""	"1"	""	""	"6"	""	""	"5"	""	"3"	""	"3"	""	""	"548"	""	""	""	""	"548"	""	""	""	""
"206"	";ksx"	"2045"	""	""	"222"	""	"1592"	""	""	"2229"	""	""	"177"	""	"69"	""	""	"71"	""	""	"135"	""	""	"218"	""	"68"	""	"161"	""	""	"6987"	""	""	"0"	""	"6987"	""	""	""	""
"207"	"ckjgoak  pzd"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"ernku
dsUnz la[;k"	""	"vH;FkhZ;ksa ds i{k esa fn;s x;s cS/k erksa dh la[;k ,oa vH;FkhZ;ksa dk uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; erks  dh la[;k"	""	""	"izfr{ksfir
erksa  dh la[;k"	""	""	";ksx"	""	""	""
"209"	""	""	"Mk0
vnuku [kk°"	""	"/kujkt
flag"	""	""	"e0
userqYykg"	""	""	"jkeizos'k
jk;"	""	"vcjkj
fln~ndh"	""	""	"vejsUn
flag"	""	""	"rlyhe
teky"	""	""	"eqdqUn
izlkn"	""	"t;ukFk
izlkn
;kno"	""	"ckcq
gqlSu"	""	""	"fodkl
izrki flag"	""	""	""	""	""	""	""	""	""	""	""
"210"	"1"	""	"2"	""	"3"	""	""	"4"	""	""	"5"	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	"10"	""	"11"	""	""	"12"	""	"13"	""	""	"14"	""	""	"15"	""	""	""
"211"	"155"	""	"26"	""	"63"	""	""	"87"	""	""	"67"	""	"46"	""	""	"11"	""	""	"10"	""	""	"7"	""	"126"	""	"14"	""	""	"21"	""	"478"	""	""	""	""	""	"478"	""	""	""
"212"	"156"	""	"27"	""	"60"	""	""	"61"	""	""	"116"	""	"26"	""	""	"15"	""	""	"10"	""	""	"18"	""	"234"	""	"17"	""	""	"53"	""	"637"	""	""	""	""	""	"637"	""	""	""
"213"	"157"	""	"37"	""	"33"	""	""	"46"	""	""	"191"	""	"49"	""	""	"18"	""	""	"4"	""	""	"13"	""	"128"	""	"12"	""	""	"29"	""	"560"	""	""	""	""	""	"560"	""	""	""
"214"	"158"	""	"30"	""	"29"	""	""	"137"	""	""	"180"	""	"43"	""	""	"10"	""	""	"2"	""	""	"13"	""	"57"	""	"7"	""	""	"12"	""	"520"	""	""	""	""	""	"520"	""	""	""
"215"	"159"	""	"90"	""	"30"	""	""	"54"	""	""	"165"	""	"40"	""	""	"16"	""	""	"11"	""	""	"6"	""	"23"	""	"12"	""	""	"10"	""	"457"	""	""	""	""	""	"457"	""	""	""
"216"	"160"	""	"42"	""	"43"	""	""	"145"	""	""	"55"	""	"26"	""	""	"7"	""	""	"5"	""	""	"3"	""	"12"	""	"5"	""	""	"7"	""	"350"	""	""	""	""	""	"350"	""	""	""
"217"	"161"	""	"27"	""	"39"	""	""	"28"	""	""	"113"	""	"48"	""	""	"8"	""	""	"1"	""	""	"8"	""	"54"	""	"13"	""	""	"32"	""	"371"	""	""	""	""	""	"371"	""	""	""
"218"	"162"	""	"42"	""	"47"	""	""	"24"	""	""	"157"	""	"52"	""	""	"8"	""	""	"11"	""	""	"13"	""	"61"	""	"23"	""	""	"49"	""	"487"	""	""	""	""	""	"487"	""	""	""
"219"	"163"	""	"63"	""	"52"	""	""	"177"	""	""	"157"	""	"31"	""	""	"7"	""	""	"6"	""	""	"15"	""	"47"	""	"10"	""	""	"28"	""	"593"	""	""	""	""	""	"593"	""	""	""
