"inamnailaiKt.AByaiqa.yaaoM.ko.pxa.maoM.ide.gae.ivaiQamaanya.mataoM.kI.saM.yaa"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"192"	"158"	"297"	"11"	"3"	"1"	"2"	"89"	"21"	"6"	"5"	"435"	""	"435"	""
"193"	"159"	"218"	"35"	"6"	"1"	"5"	"62"	"24"	"71"	"9"	"431"	""	"431"	""
"194"	"160"	"94"	"22"	"7"	"8"	"5"	"307"	"2"	"6"	"13"	"464"	""	"464"	""
"195"	"161"	"151"	"43"	"14"	"11"	"13"	"330"	"9"	"12"	"32"	"615"	""	"615"	""
"196"	"162"	"300"	"40"	"12"	"5"	"5"	"120"	"20"	"9"	"21"	"532"	""	"532"	""
"197"	"163"	"201"	"66"	"11"	"5"	"11"	"126"	"10"	"7"	"17"	"454"	""	"454"	""
"198"	"164"	"175"	"42"	"34"	"10"	"7"	"319"	"15"	"13"	"44"	"659"	""	"659"	""
"199"	"165"	"57"	"37"	"3"	"20"	"8"	"319"	"4"	"8"	"27"	"483"	""	"483"	""
"200"	"166"	"114"	"41"	"17"	"17"	"6"	"322"	"10"	"5"	"23"	"555"	""	"555"	""
"201"	"167"	"74"	"30"	"23"	"10"	"7"	"237"	"15"	"6"	"23"	"425"	""	"425"	""
"202"	"168"	"175"	"17"	"10"	"17"	"9"	"250"	"19"	"10"	"49"	"556"	""	"556"	""
"203"	"TOTAL-XII"	"2043"	"488"	"154"	"121"	"86"	"3342"	"183"	"177"	"326"	"6920"	""	"6920"	""
"204"	"inamnailaiKt AByaiqa-yaaoM ko pxa maoM ide gae ivaiQamaanya mataoM kI saM#yaa"	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"ernku dsUnz dh Øe la[;k"	"vuwwiwwi  yky  ;kno"	"fueZZyZZy  dqqeqqekj fujkyk"	"eqq¡¡qq¡¡xk  yky  lkg"	"t;  dqqeqqekj  ljnkj"	"nhi  uk0  eaaMaaMy"	"fo'o  ekssgssgu  dqqeqqekj"	"txnh'k  izz0zz0  ;kno"	"fnyhi  dqqeqqekj"	"f'kogfj  vxzzozzoky"	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"206"	"169"	"47"	"46"	"13"	"20"	"14"	"416"	"25"	"14"	"54"	"649"	""	"649"	""
"207"	"170"	"93"	"14"	"5"	"7"	"4"	"272"	"10"	"5"	"33"	"443"	""	"443"	""
"208"	"171"	"65"	"18"	"8"	"15"	"2"	"299"	"8"	"4"	"16"	"435"	""	"435"	""
"209"	"172"	"68"	"7"	"1"	"30"	"6"	"228"	"19"	"2"	"30"	"391"	""	"391"	""
"210"	"173"	"145"	"23"	"16"	"14"	"4"	"124"	"7"	"5"	"10"	"348"	""	"348"	""
"211"	"174"	"357"	"7"	"1"	"1"	"0"	"18"	"3"	"2"	"1"	"390"	""	"390"	""
"212"	"175"	"91"	"29"	"5"	"11"	"2"	"202"	"11"	"7"	"21"	"379"	""	"379"	""
"213"	"176"	"110"	"38"	"0"	"4"	"2"	"192"	"7"	"14"	"25"	"392"	""	"392"	""
"214"	"177"	"187"	"25"	"5"	"13"	"6"	"149"	"10"	"6"	"19"	"420"	""	"420"	""
"215"	"178"	"143"	"48"	"63"	"8"	"6"	"188"	"13"	"3"	"17"	"489"	""	"489"	""
"216"	"179"	"349"	"17"	"4"	"3"	"2"	"43"	"39"	"7"	"14"	"478"	""	"478"	""
"217"	"180"	"140"	"19"	"10"	"3"	"5"	"78"	"23"	"14"	"23"	"315"	""	"315"	""
"218"	"181"	"276"	"9"	"3"	"3"	"2"	"59"	"1"	"1"	"5"	"359"	""	"359"	""
"219"	"TOTAL-XIII"	"2071"	"300"	"134"	"132"	"55"	"2268"	"176"	"84"	"268"	"5488"	""	"5488"	""
"220"	"matdana kond`aoM pr AiBailaiKt mataoM kI saM#yaa :"	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	""	"31744"	"9039"	"1902"	"1496"	"962"	"38616"	"2008"	"1086"	"3556"	"90400"	""	"90400"	""
"222"	"Dak matp~aoM pr AiBailaiKt mataoM kI saM#yaa :"	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"224"	"Dalao gayao kula mat :"	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	""	"31744"	"9039"	"1902"	"1496"	"962"	"38616"	"2008"	"1086"	"3556"	"90400"	""	"90400"	""
"226"	"sqaana : saupaOla                                                                                                                                              irTina--Mga Aaifsar ko hstaxar"	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"tarIK : 27.02.2005                                                                                                                                      113 ¹i~vaoNaIgaMja"	""	""	""	""	""	""	""	""	""	""	""	""	""
