"FINAL.RESULTSHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"172"	"141"	"58"	"29"	"3"	"2"	"0"	"13"	"3"	"0"	"1"	"2"	"2"	"3"	"15"	"131"	"0"	"131"	""	""
"173"	"142"	"96"	"93"	"4"	"2"	"16"	"109"	"5"	"5"	"8"	"12"	"2"	"9"	"15"	"376"	"0"	"376"	""	""
"174"	"143"	"62"	"160"	"0"	"0"	"0"	"12"	"0"	"2"	"2"	"3"	"2"	"10"	"10"	"263"	"0"	"263"	""	""
"175"	"144"	"111"	"157"	"0"	"1"	"13"	"67"	"6"	"0"	"0"	"5"	"4"	"3"	"10"	"377"	"0"	"377"	""	""
"176"	"145"	"29"	"173"	"15"	"1"	"32"	"98"	"5"	"5"	"1"	"27"	"1"	"8"	"3"	"398"	"0"	"398"	""	""
"177"	"146"	"155"	"2"	"0"	"1"	"0"	"31"	"3"	"3"	"0"	"73"	"0"	"1"	"1"	"270"	"0"	"270"	""	""
"178"	"147"	"83"	"39"	"2"	"1"	"4"	"13"	"0"	"2"	"0"	"0"	"2"	"5"	"9"	"160"	"0"	"160"	""	""
"179"	"148"	"26"	"9"	"2"	"1"	"13"	"120"	"3"	"4"	"4"	"10"	"4"	"1"	"2"	"199"	"0"	"199"	""	""
"180"	"149"	"408"	"5"	"0"	"1"	"14"	"0"	"1"	"1"	"1"	"18"	"5"	"0"	"1"	"455"	"0"	"455"	""	""
"181"	"150"	"16"	"161"	"5"	"1"	"11"	"65"	"6"	"4"	"2"	"8"	"3"	"9"	"12"	"303"	"0"	"303"	""	""
"182"	"151"	"31"	"60"	"19"	"4"	"19"	"50"	"5"	"6"	"8"	"8"	"9"	"13"	"14"	"246"	"0"	"246"	""	""
"183"	"152"	"75"	"298"	"70"	"0"	"15"	"19"	"2"	"2"	"3"	"37"	"1"	"14"	"5"	"541"	"0"	"541"	""	""
"184"	"153"	"16"	"90"	"31"	"3"	"38"	"6"	"3"	"3"	"3"	"134"	"19"	"4"	"2"	"352"	"0"	"352"	""	""
"185"	"154"	"73"	"171"	"43"	"0"	"23"	"5"	"4"	"4"	"2"	"9"	"8"	"9"	"12"	"363"	"0"	"363"	""	""
"186"	"Round-11"	"12219"	"30744"	"2057"	"246"	"4027"	"2408"	"418"	"274"	"301"	"2750"	"1044"	"1042"	"1331"	"58861"	"0"	"58861"	""	""
"187"	"155"	"27"	"387"	"5"	"0"	"70"	"14"	"3"	"3"	"2"	"15"	"23"	"31"	"4"	"584"	"0"	"584"	""	""
"188"	"156"	"4"	"190"	"0"	"0"	"17"	"0"	"0"	"1"	"2"	"33"	"13"	"2"	"1"	"263"	"0"	"263"	""	""
"189"	"157"	"52"	"264"	"11"	"2"	"16"	"17"	"0"	"1"	"3"	"14"	"6"	"4"	"3"	"393"	"0"	"393"	""	""
"190"	"158"	"23"	"301"	"9"	"0"	"12"	"8"	"1"	"1"	"0"	"39"	"5"	"7"	"10"	"416"	"0"	"416"	""	""
"191"	"159"	"53"	"185"	"5"	"1"	"101"	"90"	"9"	"8"	"4"	"12"	"10"	"8"	"13"	"499"	"0"	"499"	""	""
"192"	"160"	"73"	"37"	"18"	"1"	"3"	"20"	"2"	"2"	"3"	"129"	"4"	"1"	"3"	"296"	"0"	"296"	""	""
"193"	"161"	"58"	"102"	"28"	"3"	"14"	"0"	"0"	"2"	"3"	"81"	"11"	"15"	"21"	"338"	"0"	"338"	""	""
"194"	"162"	"30"	"140"	"40"	"2"	"50"	"5"	"2"	"1"	"0"	"92"	"6"	"9"	"4"	"381"	"0"	"381"	""	""
"195"	"163"	"35"	"108"	"194"	"4"	"40"	"5"	"3"	"7"	"11"	"49"	"8"	"11"	"32"	"507"	"0"	"507"	""	""
"196"	"164"	"23"	"87"	"50"	"4"	"21"	"5"	"2"	"1"	"2"	"50"	"2"	"9"	"9"	"265"	"0"	"265"	""	""
"197"	"165"	"48"	"244"	"77"	"6"	"7"	"2"	"2"	"3"	"3"	"88"	"5"	"11"	"4"	"500"	"0"	"500"	""	""
"198"	"166"	"12"	"147"	"17"	"2"	"16"	"7"	"4"	"2"	"2"	"26"	"2"	"13"	"5"	"255"	"0"	"255"	""	""
"199"	"167"	"266"	"42"	"11"	"2"	"24"	"2"	"1"	"1"	"3"	"36"	"3"	"3"	"3"	"397"	"0"	"397"	""	""
"200"	"168"	"156"	"37"	"79"	"7"	"110"	"6"	"2"	"0"	"1"	"33"	"2"	"1"	"2"	"436"	""	"436"	""	""
"201"	"Round-12"	"13079"	"33015"	"2601"	"280"	"4528"	"2589"	"449"	"307"	"340"	"3447"	"1144"	"1167"	"1445"	"64391"	"0"	"64391"	""	""
"202"	"169"	"29"	"58"	"117"	"5"	"4"	"6"	"0"	"3"	"1"	"78"	"8"	"2"	"4"	"315"	"0"	"315"	""	""
"203"	"170"	"19"	"29"	"204"	"5"	"13"	"4"	"0"	"0"	"4"	"69"	"3"	"2"	"6"	"358"	"0"	"358"	""	""
"204"	"171"	"29"	"73"	"189"	"2"	"9"	"11"	"1"	"1"	"3"	"100"	"7"	"6"	"12"	"443"	"0"	"443"	""	""
"205"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"206"	""	"Rakesh Kumar Roshan"	"Ramswaroop Prasad"	"Md. Sahabuddin"	"Ajay Kumar"	"Dilip Chaudhary"	"Virendra Prasad"	"Satendra Sao"	"Surendra Prasad"	"Chandrika Paswan"	"Naresh Kumar Yadav"	"Bharat Prasad Singh"	"Vidya Paswan"	"Shivanand Singh"	""	""	""	""	""
"207"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"208"	"172"	"6"	"176"	"9"	"0"	"19"	"1"	"1"	"0"	"0"	"12"	"5"	"0"	"0"	"229"	"0"	"229"	""	""
"209"	"173"	"144"	"235"	"35"	"4"	"59"	"6"	"4"	"1"	"23"	"36"	"8"	"14"	"21"	"590"	"0"	"590"	""	""
"210"	"174"	"11"	"451"	"10"	"1"	"30"	"37"	"0"	"1"	"1"	"5"	"3"	"11"	"4"	"565"	"0"	"565"	""	""
"211"	"175"	"65"	"61"	"2"	"0"	"32"	"19"	"1"	"0"	"3"	"181"	"0"	"0"	"1"	"365"	"0"	"365"	""	""
"212"	"176"	"0"	"9"	"0"	"0"	"8"	"1"	"0"	"0"	"3"	"158"	"0"	"0"	"0"	"179"	"0"	"179"	""	""
"213"	"177"	"3"	"432"	"5"	"0"	"14"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"459"	"0"	"459"	""	""
"214"	"178"	"53"	"36"	"14"	"3"	"41"	"11"	"5"	"2"	"4"	"78"	"5"	"7"	"22"	"281"	"0"	"281"	""	""
"215"	"179"	"1"	"548"	"7"	"0"	"40"	"8"	"0"	"0"	"0"	"0"	"17"	"0"	"0"	"621"	"0"	"621"	""	""
"216"	"180"	"33"	"254"	"11"	"3"	"84"	"92"	"14"	"8"	"8"	"44"	"6"	"11"	"15"	"583"	"0"	"583"	""	""
"217"	"181"	"14"	"141"	"2"	"1"	"129"	"12"	"21"	"5"	"6"	"39"	"7"	"9"	"6"	"392"	"0"	"392"	""	""
"218"	"182"	"71"	"10"	"2"	"1"	"3"	"1"	"1"	"0"	"0"	"255"	"1"	"0"	"0"	"345"	"0"	"345"	""	""
"219"	"Round-13"	"13557"	"35528"	"3208"	"305"	"5013"	"2799"	"498"	"328"	"396"	"4502"	"1214"	"1231"	"1537"	"70116"	"0"	"70116"	""	""
"220"	"183"	"27"	"132"	"1"	"0"	"26"	"42"	"1"	"0"	"1"	"11"	"0"	"1"	"1"	"243"	"0"	"243"	""	""
"221"	"184"	"3"	"232"	"14"	"0"	"45"	"87"	"5"	"1"	"0"	"4"	"9"	"1"	"0"	"401"	"0"	"401"	""	""
"222"	"185"	"166"	"60"	"36"	"5"	"125"	"25"	"5"	"1"	"5"	"5"	"3"	"2"	"9"	"447"	"0"	"447"	""	""
"223"	"186"	"30"	"7"	"1"	"1"	"1"	"4"	"2"	"0"	"6"	"335"	"4"	"3"	"5"	"399"	"0"	"399"	""	""
"224"	"187"	"14"	"253"	"1"	"0"	"64"	"5"	"2"	"0"	"1"	"31"	"10"	"29"	"1"	"411"	"0"	"411"	""	""
"225"	"188"	"45"	"54"	"182"	"5"	"18"	"113"	"3"	"1"	"2"	"77"	"5"	"4"	"1"	"510"	"0"	"510"	""	""
"226"	"189"	"73"	"1"	"0"	"0"	"11"	"0"	"1"	"0"	"1"	"65"	"0"	"0"	"0"	"152"	"0"	"152"	""	""
"227"	"190"	"305"	"15"	"0"	"0"	"18"	"125"	"1"	"0"	"0"	"42"	"1"	"1"	"6"	"514"	"0"	"514"	""	""
"228"	"191"	"41"	"345"	"3"	"1"	"85"	"6"	"0"	"1"	"3"	"4"	"6"	"10"	"13"	"518"	"0"	"518"	""	""
"229"	"192"	"90"	"116"	"5"	"1"	"226"	"11"	"2"	"1"	"0"	"58"	"8"	"2"	"1"	"521"	"0"	"521"	""	""
"230"	"193"	"152"	"109"	"3"	"2"	"31"	"2"	"1"	"2"	"0"	"30"	"1"	"7"	"6"	"346"	"0"	"346"	""	""
"231"	"194"	"10"	"161"	"9"	"5"	"26"	"68"	"4"	"1"	"2"	"91"	"0"	"1"	"3"	"381"	"0"	"381"	""	""
"232"	"195"	"3"	"547"	"6"	"1"	"18"	"2"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"581"	"0"	"581"	""	""
"233"	"196"	"34"	"28"	"25"	"2"	"52"	"16"	"6"	"2"	"11"	"115"	"5"	"6"	"28"	"330"	"0"	"330"	""	""
"234"	"Round-14"	"14550"	"37588"	"3494"	"328"	"5759"	"3305"	"531"	"338"	"428"	"5374"	"1266"	"1298"	"1611"	"75870"	"0"	"75870"	""	""
"235"	"197"	"145"	"10"	"6"	"3"	"8"	"11"	"10"	"8"	"10"	"268"	"16"	"4"	"27"	"526"	"0"	"526"	""	""
"236"	"198"	"54"	"111"	"3"	"2"	"8"	"79"	"0"	"3"	"3"	"120"	"6"	"1"	"4"	"394"	"0"	"394"	""	""
"237"	"199"	"73"	"59"	"2"	"0"	"22"	"38"	"3"	"1"	"0"	"61"	"0"	"4"	"1"	"264"	"0"	"264"	""	""
"238"	"200"	"249"	"38"	"3"	"2"	"4"	"3"	"0"	"0"	"0"	"13"	"0"	"2"	"6"	"320"	"0"	"320"	""	""
"239"	"201"	"104"	"16"	"0"	"1"	"16"	"47"	"0"	"1"	"0"	"169"	"1"	"0"	"2"	"357"	"0"	"357"	""	""
"240"	"202"	"112"	"7"	"0"	"0"	"3"	"238"	"5"	"4"	"3"	"25"	"2"	"2"	"7"	"408"	"0"	"408"	""	""
"241"	"203"	"37"	"60"	"2"	"0"	"23"	"63"	"4"	"1"	"3"	"97"	"5"	"4"	"1"	"300"	"0"	"300"	""	""
"242"	"204"	"194"	"16"	"1"	"0"	"7"	"194"	"3"	"0"	"1"	"8"	"1"	"0"	"0"	"425"	"0"	"425"	""	""
"243"	"205"	"124"	"48"	"0"	"0"	"29"	"43"	"2"	"0"	"0"	"12"	"2"	"0"	"1"	"261"	"0"	"261"	""	""
"244"	"206"	"232"	"2"	"0"	"0"	"1"	"32"	"1"	"5"	"2"	"20"	"2"	"1"	"2"	"300"	"0"	"300"	""	""
"245"	"207"	"105"	"18"	"2"	"2"	"10"	"172"	"9"	"5"	"8"	"36"	"3"	"1"	"3"	"374"	"0"	"374"	""	""
"246"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"247"	""	"Rakesh Kumar Roshan"	"Ramswaroop Prasad"	"Md. Sahabuddin"	"Ajay Kumar"	"Dilip Chaudhary"	"Virendra Prasad"	"Satendra Sao"	"Surendra Prasad"	"Chandrika Paswan"	"Naresh Kumar Yadav"	"Bharat Prasad Singh"	"Vidya Paswan"	"Shivanand Singh"	""	""	""	""	""
"248"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"249"	"208"	"36"	"259"	"2"	"1"	"4"	"107"	"4"	"6"	"4"	"8"	"3"	"3"	"11"	"448"	"0"	"448"	""	""
"250"	"209"	"54"	"42"	"3"	"3"	"3"	"76"	"8"	"4"	"6"	"41"	"3"	"8"	"8"	"259"	"0"	"259"	""	""
"251"	"210"	"112"	"98"	"6"	"4"	"6"	"154"	"7"	"5"	"4"	"13"	"10"	"11"	"23"	"453"	"0"	"453"	""	""
"252"	"Round-15"	"16181"	"38372"	"3524"	"346"	"5903"	"4562"	"587"	"381"	"472"	"6265"	"1320"	"1339"	"1707"	"80959"	"0"	"80959"	""	""
"253"	"211"	"86"	"41"	"6"	"0"	"4"	"68"	"6"	"9"	"8"	"115"	"13"	"13"	"37"	"406"	"0"	"406"	""	""
"254"	"212"	"272"	"36"	"3"	"2"	"3"	"39"	"1"	"1"	"2"	"0"	"0"	"2"	"2"	"363"	"0"	"363"	""	""
"255"	"213"	"201"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"210"	"0"	"210"	""	""
"256"	"214"	"90"	"69"	"0"	"0"	"1"	"74"	"3"	"1"	"2"	"13"	"8"	"10"	"43"	"314"	"0"	"314"	""	""
"257"	"215"	"254"	"17"	"3"	"7"	"12"	"152"	"4"	"4"	"17"	"17"	"9"	"6"	"19"	"521"	"0"	"521"	""	""
"258"	"216"	"353"	"16"	"1"	"2"	"22"	"48"	"2"	"1"	"0"	"11"	"8"	"1"	"12"	"477"	"0"	"477"	""	""
"259"	"217"	"129"	"9"	"4"	"4"	"22"	"93"	"12"	"4"	"2"	"12"	"13"	"7"	"17"	"328"	"0"	"328"	""	""
"260"	"218"	"228"	"63"	"8"	"1"	"17"	"121"	"7"	"6"	"6"	"14"	"9"	"16"	"44"	"540"	"0"	"540"	""	""
"261"	"219"	"87"	"7"	"3"	"2"	"6"	"3"	"1"	"1"	"0"	"72"	"0"	"2"	"5"	"189"	"0"	"189"	""	""
"262"	"220"	"35"	"8"	"4"	"3"	"8"	"18"	"7"	"1"	"3"	"203"	"2"	"2"	"2"	"296"	"0"	"296"	""	""
"263"	"221"	"159"	"50"	"4"	"2"	"80"	"11"	"22"	"5"	"8"	"3"	"3"	"8"	"15"	"370"	"0"	"370"	""	""
"264"	"222"	"68"	"9"	"3"	"0"	"6"	"1"	"0"	"0"	"1"	"12"	"0"	"0"	"4"	"104"	"0"	"104"	""	""
"265"	"223"	"143"	"33"	"3"	"3"	"8"	"60"	"2"	"3"	"1"	"17"	"2"	"4"	"0"	"279"	"0"	"279"	""	""
"266"	"224"	"215"	"38"	"5"	"2"	"2"	"29"	"2"	"4"	"2"	"4"	"8"	"10"	"37"	"358"	"0"	"358"	""	""
"267"	"Round-16"	"18501"	"38772"	"3573"	"374"	"6094"	"5279"	"656"	"421"	"524"	"6758"	"1395"	"1421"	"1946"	"85714"	"0"	"85714"	""	""
"268"	"225"	"84"	"158"	"3"	"0"	"6"	"11"	"1"	"1"	"3"	"22"	"2"	"8"	"4"	"303"	"0"	"303"	""	""
"269"	"226"	"73"	"160"	"17"	"1"	"47"	"61"	"12"	"5"	"8"	"20"	"12"	"17"	"13"	"446"	"0"	"446"	""	""
"270"	"227"	"134"	"56"	"1"	"2"	"1"	"0"	"1"	"0"	"0"	"2"	"0"	"4"	"8"	"209"	"0"	"209"	""	""
"271"	"228"	"75"	"156"	"9"	"2"	"28"	"38"	"4"	"3"	"9"	"9"	"8"	"21"	"18"	"380"	"0"	"380"	""	""
"272"	"229"	"87"	"196"	"5"	"2"	"5"	"107"	"6"	"9"	"9"	"95"	"6"	"10"	"11"	"548"	"0"	"548"	""	""
"273"	"230"	"67"	"210"	"34"	"9"	"16"	"59"	"8"	"8"	"3"	"166"	"5"	"16"	"7"	"608"	"0"	"608"	""	""
"274"	"231"	"19"	"9"	"6"	"10"	"17"	"46"	"4"	"3"	"1"	"211"	"2"	"0"	"10"	"338"	"0"	"338"	""	""
"275"	"232"	"49"	"56"	"4"	"1"	"6"	"61"	"4"	"7"	"7"	"57"	"10"	"9"	"10"	"281"	"0"	"281"	""	""
"276"	"233"	"46"	"22"	"13"	"5"	"4"	"68"	"5"	"0"	"1"	"88"	"0"	"2"	"1"	"255"	"0"	"255"	""	""
"277"	"234"	"6"	"31"	"0"	"3"	"29"	"10"	"0"	"1"	"0"	"179"	"2"	"3"	"5"	"269"	"0"	"269"	""	""
"278"	"235"	"113"	"18"	"23"	"5"	"13"	"150"	"9"	"13"	"11"	"126"	"7"	"9"	"28"	"525"	"0"	"525"	""	""
"279"	"236"	"56"	"27"	"2"	"10"	"21"	"38"	"11"	"9"	"17"	"152"	"10"	"6"	"12"	"371"	"0"	"371"	""	""
"280"	"237"	"154"	"71"	"2"	"5"	"14"	"50"	"8"	"9"	"4"	"48"	"6"	"6"	"6"	"383"	"0"	"383"	""	""
"281"	"238"	"48"	"298"	"6"	"0"	"131"	"6"	"4"	"2"	"1"	"5"	"1"	"6"	"2"	"510"	"0"	"510"	""	""
"282"	"Round-17"	"19512"	"40240"	"3698"	"429"	"6432"	"5984"	"733"	"491"	"598"	"7938"	"1466"	"1538"	"2081"	"91140"	"0"	"91140"	""	""
"283"	"239"	"70"	"38"	"7"	"5"	"25"	"35"	"4"	"2"	"6"	"189"	"5"	"6"	"5"	"397"	"0"	"397"	""	""
"284"	"240"	"68"	"54"	"2"	"6"	"5"	"186"	"7"	"8"	"1"	"17"	"0"	"2"	"4"	"360"	"0"	"360"	""	""
"285"	"241"	"146"	"32"	"1"	"2"	"10"	"410"	"9"	"7"	"6"	"37"	"6"	"7"	"7"	"680"	"0"	"680"	""	""
"286"	"242"	"57"	"74"	"7"	"5"	"18"	"415"	"15"	"18"	"6"	"18"	"8"	"11"	"16"	"668"	"0"	"668"	""	""
"287"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"288"	""	"Rakesh Kumar Roshan"	"Ramswaroop Prasad"	"Md. Sahabuddin"	"Ajay Kumar"	"Dilip Chaudhary"	"Virendra Prasad"	"Satendra Sao"	"Surendra Prasad"	"Chandrika Paswan"	"Naresh Kumar Yadav"	"Bharat Prasad Singh"	"Vidya Paswan"	"Shivanand Singh"	""	""	""	""	""
"289"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"290"	"243"	"224"	"36"	"6"	"4"	"4"	"173"	"6"	"9"	"3"	"11"	"7"	"7"	"24"	"514"	"0"	"514"	""	""
"291"	"244"	"116"	"98"	"10"	"3"	"18"	"91"	"4"	"0"	"4"	"17"	"2"	"4"	"3"	"370"	"0"	"370"	""	""
"292"	"245"	"57"	"80"	"5"	"3"	"17"	"96"	"6"	"10"	"1"	"37"	"9"	"4"	"14"	"339"	"0"	"339"	""	""
"293"	"246"	"80"	"0"	"0"	"0"	"0"	"4"	"1"	"1"	"1"	"63"	"0"	"0"	"0"	"150"	"0"	"150"	""	""
"294"	"247"	"19"	"42"	"3"	"2"	"32"	"60"	"7"	"1"	"4"	"70"	"53"	"5"	"3"	"301"	"0"	"301"	""	""
"295"	"248"	"172"	"35"	"5"	"2"	"2"	"134"	"4"	"1"	"4"	"80"	"21"	"6"	"3"	"469"	"0"	"469"	""	""
"296"	"249"	"105"	"16"	"1"	"1"	"25"	"72"	"2"	"0"	"1"	"9"	"35"	"0"	"1"	"268"	"0"	"268"	""	""
"297"	"250"	"14"	"4"	"9"	"3"	"6"	"64"	"3"	"2"	"2"	"125"	"153"	"11"	"22"	"418"	"0"	"418"	""	""
"298"	"251"	"49"	"3"	"5"	"1"	"6"	"12"	"7"	"4"	"3"	"168"	"5"	"3"	"8"	"274"	"0"	"274"	""	""
"299"	"Round-18"	"20689"	"40752"	"3759"	"466"	"6600"	"7736"	"808"	"554"	"640"	"8779"	"1770"	"1604"	"2191"	"96348"	"0"	"96348"	""	""
"300"	"Total No. of votes recorded on Polling Stations"	"20689"	"40752"	"3759"	"466"	"6600"	"7736"	"808"	"554"	"640"	"8779"	"1770"	"1604"	"2191"	"96348"	"0"	"96348"	"0"	"0"
"301"	"No. of votes recorded on postal ballot papers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"302"	"Total votes
polled"	"20689"	"40752"	"3759"	"466"	"6600"	"7736"	"808"	"554"	"640"	"8779"	"1770"	"1604"	"2191"	"96348"	"0"	"96348"	"0"	"0"
"303"	"Place  :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	"Date   :                                                                                                                                                                                                                                                                                                                                   Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
