"izFke..pdz"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"
"57"	"38"	""	""	""	"16"	""	""	""	"361"	""	""	""	"10"	""	""	""	""	"18"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"11"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"5"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"425"	""	""	""	""	""	""	""	"425"	""	""	""	""
"58"	"39"	""	""	""	"14"	""	""	""	"188"	""	""	""	"14"	""	""	""	""	"14"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	"0"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	"35"	""	""	""	""	"1"	""	""	""	"3"	""	""	""	""	"23"	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"310"	""	""	""	""	""	""	""	"310"	""	""	""	""
"59"	"40"	""	""	""	"26"	""	""	""	"143"	""	""	""	"40"	""	""	""	""	"62"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"5"	""	""	""	"7"	""	""	""	""	"4"	""	""	""	"25"	""	""	""	""	"7"	""	""	""	"5"	""	""	""	""	"283"	""	""	""	"10"	""	""	""	""	"5"	""	""	""	""	"17"	""	""	""	"643"	""	""	""	""	""	""	""	"643"	""	""	""	""
"60"	"41"	""	""	""	"16"	""	""	""	"35"	""	""	""	"26"	""	""	""	""	"99"	""	""	""	""	"9"	""	""	""	"2"	""	""	""	"2"	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"88"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	""	"32"	""	""	""	"12"	""	""	""	""	"7"	""	""	""	""	"1"	""	""	""	"339"	""	""	""	""	""	""	""	"339"	""	""	""	""
"61"	"42"	""	""	""	"17"	""	""	""	"133"	""	""	""	"23"	""	""	""	""	"10"	""	""	""	""	"0"	""	""	""	"2"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"12"	""	""	""	""	"1"	""	""	""	"3"	""	""	""	""	"74"	""	""	""	"6"	""	""	""	""	"10"	""	""	""	""	"10"	""	""	""	"304"	""	""	""	""	""	""	""	"304"	""	""	""	""
"62"	";ksx"	""	""	""	"396"	""	""	""	"1533"	""	""	""	"1461"	""	""	""	""	"681"	""	""	""	""	"86"	""	""	""	"129"	""	""	""	"48"	""	""	""	"52"	""	""	""	""	"43"	""	""	""	"861"	""	""	""	""	"54"	""	""	""	"55"	""	""	""	""	"860"	""	""	""	"82"	""	""	""	""	"44"	""	""	""	""	"81"	""	""	""	"6466"	""	""	""	"0"	""	""	""	"6466"	""	""	""	""
"63"	"prqFkZ pdzz"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"ernku
dsUnz la0"	""	""	"vH;FkhZ;ksa ds  i{k  esa  fn;s  x;s  cS/k  erksa  dh  la[;k  ,oa  vH;FkhZ;ksa dk  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	""	""	""	"izfr{ks0
erksa  dh la[;k"	""	""	""	"dqy"	""	""	""	""	""
"65"	""	""	""	"bErs;kt
vgen"	""	""	""	"vkseizdk'k
flag"	""	""	""	"ckcq)hu
[kkWu"	""	""	""	""	"jkelsod
flag"	""	""	""	""	"fo'oukFk
flag"	""	""	""	"ykycgknqj
flag"	""	""	""	"Jhjke
flag"	""	""	""	"larks\"k
pkS/kjh"	""	""	""	""	"izHkqukFk
pkS/kjh"	""	""	""	"izHkqukFk
flag  ;kno"	""	""	""	""	"eq[kyky
jke"	""	""	""	"jk/kofd'kksj
flag"	""	""	""	""	"jkts'k
dqekj flag"	""	""	""	"jkeujs'k
izlkn"	""	""	""	""	"lq/khj
dqekj"	""	""	""	""	"gjsUnz  jke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"1"	""	""	"2"	""	""	""	"3"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	""	"10"	""	""	""	"11"	""	""	""	""	"12"	""	""	""	"13"	""	""	""	""	"14"	""	""	""	"15"	""	""	""	""	"16"	""	""	""	""	"17"	""	""	""	"18"	""	""	""	"19"	""	""	""	"20"	""	""	""	""	""
"67"	"43"	""	""	"26"	""	""	""	"106"	""	""	""	"294"	""	""	""	""	"47"	""	""	""	""	"11"	""	""	""	"5"	""	""	""	"7"	""	""	""	"15"	""	""	""	""	"10"	""	""	""	"52"	""	""	""	""	"5"	""	""	""	"5"	""	""	""	""	"53"	""	""	""	"27"	""	""	""	""	"5"	""	""	""	""	"5"	""	""	""	"673"	""	""	""	"0"	""	""	""	"673"	""	""	""	""	""
"68"	"44"	""	""	"161"	""	""	""	"162"	""	""	""	"95"	""	""	""	""	"8"	""	""	""	""	"1"	""	""	""	"3"	""	""	""	"3"	""	""	""	"6"	""	""	""	""	"5"	""	""	""	"48"	""	""	""	""	"2"	""	""	""	"3"	""	""	""	""	"18"	""	""	""	"10"	""	""	""	""	"3"	""	""	""	""	"7"	""	""	""	"535"	""	""	""	"0"	""	""	""	"535"	""	""	""	""	""
"69"	"45"	""	""	"113"	""	""	""	"90"	""	""	""	"123"	""	""	""	""	"52"	""	""	""	""	"6"	""	""	""	"5"	""	""	""	"1"	""	""	""	"6"	""	""	""	""	"5"	""	""	""	"83"	""	""	""	""	"3"	""	""	""	"9"	""	""	""	""	"20"	""	""	""	"10"	""	""	""	""	"4"	""	""	""	""	"13"	""	""	""	"543"	""	""	""	"0"	""	""	""	"543"	""	""	""	""	""
"70"	"46"	""	""	"40"	""	""	""	"26"	""	""	""	"48"	""	""	""	""	"27"	""	""	""	""	"6"	""	""	""	"6"	""	""	""	"8"	""	""	""	"4"	""	""	""	""	"27"	""	""	""	"103"	""	""	""	""	"10"	""	""	""	"10"	""	""	""	""	"232"	""	""	""	"5"	""	""	""	""	"4"	""	""	""	""	"13"	""	""	""	"569"	""	""	""	"0"	""	""	""	"569"	""	""	""	""	""
"71"	"47"	""	""	"105"	""	""	""	"145"	""	""	""	"150"	""	""	""	""	"33"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"4"	""	""	""	"3"	""	""	""	""	"5"	""	""	""	"27"	""	""	""	""	"2"	""	""	""	"5"	""	""	""	""	"167"	""	""	""	"10"	""	""	""	""	"8"	""	""	""	""	"9"	""	""	""	"674"	""	""	""	"0"	""	""	""	"674"	""	""	""	""	""
"72"	"48"	""	""	"197"	""	""	""	"71"	""	""	""	"85"	""	""	""	""	"38"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"6"	""	""	""	"2"	""	""	""	""	"11"	""	""	""	"31"	""	""	""	""	"3"	""	""	""	"5"	""	""	""	""	"44"	""	""	""	"94"	""	""	""	""	"12"	""	""	""	""	"25"	""	""	""	"628"	""	""	""	"0"	""	""	""	"628"	""	""	""	""	""
"73"	"49"	""	""	"77"	""	""	""	"27"	""	""	""	"79"	""	""	""	""	"64"	""	""	""	""	"5"	""	""	""	"4"	""	""	""	"4"	""	""	""	"7"	""	""	""	""	"3"	""	""	""	"34"	""	""	""	""	"6"	""	""	""	"10"	""	""	""	""	"114"	""	""	""	"95"	""	""	""	""	"5"	""	""	""	""	"5"	""	""	""	"539"	""	""	""	"0"	""	""	""	"539"	""	""	""	""	""
"74"	"50"	""	""	"56"	""	""	""	"33"	""	""	""	"134"	""	""	""	""	"25"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	"5"	""	""	""	"5"	""	""	""	""	"1"	""	""	""	"64"	""	""	""	""	"5"	""	""	""	"4"	""	""	""	""	"31"	""	""	""	"34"	""	""	""	""	"4"	""	""	""	""	"6"	""	""	""	"413"	""	""	""	"0"	""	""	""	"413"	""	""	""	""	""
"75"	"51"	""	""	"102"	""	""	""	"33"	""	""	""	"12"	""	""	""	""	"125"	""	""	""	""	"4"	""	""	""	"5"	""	""	""	"25"	""	""	""	"3"	""	""	""	""	"7"	""	""	""	"284"	""	""	""	""	"5"	""	""	""	"6"	""	""	""	""	"20"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"13"	""	""	""	"653"	""	""	""	"0"	""	""	""	"653"	""	""	""	""	""
"76"	"52"	""	""	"170"	""	""	""	"82"	""	""	""	"59"	""	""	""	""	"57"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"9"	""	""	""	"3"	""	""	""	""	"10"	""	""	""	"125"	""	""	""	""	"7"	""	""	""	"2"	""	""	""	""	"42"	""	""	""	"7"	""	""	""	""	"6"	""	""	""	""	"25"	""	""	""	"608"	""	""	""	"0"	""	""	""	"608"	""	""	""	""	""
"77"	"53"	""	""	"172"	""	""	""	"15"	""	""	""	"23"	""	""	""	""	"13"	""	""	""	""	"8"	""	""	""	"5"	""	""	""	"4"	""	""	""	"3"	""	""	""	""	"7"	""	""	""	"69"	""	""	""	""	"1"	""	""	""	"4"	""	""	""	""	"39"	""	""	""	"98"	""	""	""	""	"1"	""	""	""	""	"16"	""	""	""	"478"	""	""	""	"0"	""	""	""	"478"	""	""	""	""	""
"78"	"54"	""	""	"23"	""	""	""	"9"	""	""	""	"33"	""	""	""	""	"21"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"3"	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"228"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"9"	""	""	""	"19"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	"356"	""	""	""	"0"	""	""	""	"356"	""	""	""	""	""
"79"	"55"	""	""	"57"	""	""	""	"29"	""	""	""	"18"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"6"	""	""	""	"6"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	"77"	""	""	""	""	"4"	""	""	""	"3"	""	""	""	""	"21"	""	""	""	"2"	""	""	""	""	"4"	""	""	""	""	"16"	""	""	""	"255"	""	""	""	"0"	""	""	""	"255"	""	""	""	""	""
"80"	"56"	""	""	"94"	""	""	""	"60"	""	""	""	"34"	""	""	""	""	"173"	""	""	""	""	"20"	""	""	""	"23"	""	""	""	"11"	""	""	""	"18"	""	""	""	""	"11"	""	""	""	"48"	""	""	""	""	"7"	""	""	""	"35"	""	""	""	""	"91"	""	""	""	"32"	""	""	""	""	"9"	""	""	""	""	"25"	""	""	""	"691"	""	""	""	"0"	""	""	""	"691"	""	""	""	""	""
"81"	";ksx"	""	""	"1393"	""	""	""	"888"	""	""	""	"1187"	""	""	""	""	"684"	""	""	""	""	"72"	""	""	""	"68"	""	""	""	"96"	""	""	""	"82"	""	""	""	""	"108"	""	""	""	"1273"	""	""	""	""	"61"	""	""	""	"102"	""	""	""	""	"901"	""	""	""	"447"	""	""	""	""	"73"	""	""	""	""	"180"	""	""	""	"7615"	""	""	""	"0"	""	""	""	"7615"	""	""	""	""	""
"82"	"ernku  dsUnz
la0"	""	""	""	"vH;FkhZ;ksa ds  i{k  esa  fn;s  x;s  cS/k  erksa  dh  la[;k  ,oa  vH;FkhZ;ksa dk  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k
ekU;  er"	""	""	""	"izfr{ks0
erksa  dh la[;k"	""	""	""	";ksx"	""	""	""	""
"83"	""	""	""	""	"bErs;kt
vgen"	""	""	""	"vkseizdk'k
flag"	""	""	""	"ckcq)hu
[kkWu"	""	""	""	""	"jkelsod
flag"	""	""	""	""	"fo'oukFk
flag"	""	""	""	"ykycgknqj
flag"	""	""	""	"Jhjke
flag"	""	""	""	"larks\"k
pkS/kjh"	""	""	""	""	"izHkqukFk
pkS/kjh"	""	""	""	"izHkqukFk
flag  ;kno"	""	""	""	""	"eq[kyky
jke"	""	""	""	"jk/kofd'kksj
flag"	""	""	""	""	"jkts'k
dqekj flag"	""	""	""	"jkeujs'k
izlkn"	""	""	""	""	"lq/khj
dqekj"	""	""	""	""	"gjsUnz  jke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"1"	""	""	""	"2"	""	""	""	"3"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	""	"10"	""	""	""	"11"	""	""	""	""	"12"	""	""	""	"13"	""	""	""	""	"14"	""	""	""	"15"	""	""	""	""	"16"	""	""	""	""	"17"	""	""	""	"18"	""	""	""	"19"	""	""	""	"20"	""	""	""	""
"85"	"57"	""	""	""	"96"	""	""	""	"45"	""	""	""	"91"	""	""	""	""	"77"	""	""	""	""	"6"	""	""	""	"29"	""	""	""	"8"	""	""	""	"5"	""	""	""	""	"4"	""	""	""	"20"	""	""	""	""	"5"	""	""	""	"20"	""	""	""	""	"59"	""	""	""	"29"	""	""	""	""	"5"	""	""	""	""	"9"	""	""	""	"508"	""	""	""	""	""	""	""	"508"	""	""	""	""
"86"	"58"	""	""	""	"40"	""	""	""	"75"	""	""	""	"46"	""	""	""	""	"203"	""	""	""	""	"8"	""	""	""	"4"	""	""	""	"4"	""	""	""	"6"	""	""	""	""	"4"	""	""	""	"42"	""	""	""	""	"2"	""	""	""	"4"	""	""	""	""	"35"	""	""	""	"14"	""	""	""	""	"7"	""	""	""	""	"12"	""	""	""	"506"	""	""	""	""	""	""	""	"506"	""	""	""	""
"87"	"59"	""	""	""	"64"	""	""	""	"32"	""	""	""	"27"	""	""	""	""	"91"	""	""	""	""	"8"	""	""	""	"3"	""	""	""	"5"	""	""	""	"4"	""	""	""	""	"11"	""	""	""	"179"	""	""	""	""	"8"	""	""	""	"4"	""	""	""	""	"30"	""	""	""	"12"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"483"	""	""	""	""	""	""	""	"483"	""	""	""	""
"88"	"60"	""	""	""	"96"	""	""	""	"17"	""	""	""	"28"	""	""	""	""	"312"	""	""	""	""	"20"	""	""	""	"4"	""	""	""	"7"	""	""	""	"4"	""	""	""	""	"6"	""	""	""	"35"	""	""	""	""	"10"	""	""	""	"17"	""	""	""	""	"131"	""	""	""	"22"	""	""	""	""	"3"	""	""	""	""	"28"	""	""	""	"740"	""	""	""	""	""	""	""	"740"	""	""	""	""
"89"	"61"	""	""	""	"23"	""	""	""	"94"	""	""	""	"9"	""	""	""	""	"175"	""	""	""	""	"20"	""	""	""	"23"	""	""	""	"17"	""	""	""	"3"	""	""	""	""	"8"	""	""	""	"16"	""	""	""	""	"5"	""	""	""	"13"	""	""	""	""	"138"	""	""	""	"41"	""	""	""	""	"6"	""	""	""	""	"4"	""	""	""	"595"	""	""	""	""	""	""	""	"595"	""	""	""	""
"90"	"62"	""	""	""	"67"	""	""	""	"11"	""	""	""	"53"	""	""	""	""	"175"	""	""	""	""	"17"	""	""	""	"5"	""	""	""	"19"	""	""	""	"4"	""	""	""	""	"18"	""	""	""	"143"	""	""	""	""	"4"	""	""	""	"20"	""	""	""	""	"63"	""	""	""	"20"	""	""	""	""	"3"	""	""	""	""	"5"	""	""	""	"627"	""	""	""	""	""	""	""	"627"	""	""	""	""
"91"	"63"	""	""	""	"4"	""	""	""	"1"	""	""	""	"38"	""	""	""	""	"177"	""	""	""	""	"18"	""	""	""	"2"	""	""	""	"3"	""	""	""	"4"	""	""	""	""	"1"	""	""	""	"16"	""	""	""	""	"3"	""	""	""	"7"	""	""	""	""	"52"	""	""	""	"8"	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	"341"	""	""	""	""	""	""	""	"341"	""	""	""	""
"92"	"64"	""	""	""	"12"	""	""	""	"3"	""	""	""	"24"	""	""	""	""	"255"	""	""	""	""	"7"	""	""	""	"0"	""	""	""	"4"	""	""	""	"3"	""	""	""	""	"2"	""	""	""	"48"	""	""	""	""	"5"	""	""	""	"8"	""	""	""	""	"213"	""	""	""	"16"	""	""	""	""	"3"	""	""	""	""	"16"	""	""	""	"619"	""	""	""	""	""	""	""	"619"	""	""	""	""
"93"	"65"	""	""	""	"21"	""	""	""	"38"	""	""	""	"11"	""	""	""	""	"16"	""	""	""	""	"1"	""	""	""	"6"	""	""	""	"2"	""	""	""	"7"	""	""	""	""	"3"	""	""	""	"16"	""	""	""	""	"7"	""	""	""	"8"	""	""	""	""	"39"	""	""	""	"347"	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	"545"	""	""	""	""	""	""	""	"545"	""	""	""	""
"94"	"66"	""	""	""	"13"	""	""	""	"22"	""	""	""	"13"	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	"3"	""	""	""	"8"	""	""	""	"2"	""	""	""	""	"7"	""	""	""	"89"	""	""	""	""	"5"	""	""	""	"2"	""	""	""	""	"21"	""	""	""	"257"	""	""	""	""	"5"	""	""	""	""	"21"	""	""	""	"475"	""	""	""	""	""	""	""	"475"	""	""	""	""
"95"	"67"	""	""	""	"25"	""	""	""	"3"	""	""	""	"11"	""	""	""	""	"19"	""	""	""	""	"3"	""	""	""	"3"	""	""	""	"4"	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"12"	""	""	""	""	"1"	""	""	""	"10"	""	""	""	""	"24"	""	""	""	"619"	""	""	""	""	"12"	""	""	""	""	"27"	""	""	""	"778"	""	""	""	""	""	""	""	"778"	""	""	""	""
"96"	"68"	""	""	""	"98"	""	""	""	"10"	""	""	""	"22"	""	""	""	""	"22"	""	""	""	""	"4"	""	""	""	"7"	""	""	""	"7"	""	""	""	"3"	""	""	""	""	"5"	""	""	""	"51"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"42"	""	""	""	"268"	""	""	""	""	"4"	""	""	""	""	"18"	""	""	""	"563"	""	""	""	""	""	""	""	"563"	""	""	""	""
"97"	"69"	""	""	""	"55"	""	""	""	"28"	""	""	""	"74"	""	""	""	""	"58"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"1"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	"13"	""	""	""	""	"3"	""	""	""	"5"	""	""	""	""	"26"	""	""	""	"142"	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	"421"	""	""	""	""	""	""	""	"421"	""	""	""	""
"98"	"70"	""	""	""	"257"	""	""	""	"43"	""	""	""	"33"	""	""	""	""	"54"	""	""	""	""	"9"	""	""	""	"4"	""	""	""	"5"	""	""	""	"5"	""	""	""	""	"5"	""	""	""	"16"	""	""	""	""	"7"	""	""	""	"5"	""	""	""	""	"84"	""	""	""	"31"	""	""	""	""	"1"	""	""	""	""	"8"	""	""	""	"567"	""	""	""	""	""	""	""	"567"	""	""	""	""
"99"	";ksx"	""	""	""	"871"	""	""	""	"422"	""	""	""	"480"	""	""	""	""	"1639"	""	""	""	""	"124"	""	""	""	"95"	""	""	""	"94"	""	""	""	"55"	""	""	""	""	"81"	""	""	""	"696"	""	""	""	""	"66"	""	""	""	"124"	""	""	""	""	"957"	""	""	""	"1826"	""	""	""	""	"69"	""	""	""	""	"169"	""	""	""	"7768"	""	""	""	"0"	""	""	""	"7768"	""	""	""	""
"100"	"\"k\"Ve pd"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"ernku
dssUnz la0"	""	"vH;FkhZ;ksa ds  i{k  esa  fn;s  x;s  cS/k  erksa  dh  la[;k  ,oa  vH;FkhZ;ksa dk  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	""	""	""	"izfr{ks0
erksa  dh la[;k"	""	""	""	";ksx"	""	""	""	""	""	""	""
"102"	""	""	"bErs;kt
vgen"	""	""	"vkseizdk'k
flag"	""	""	""	"ckcq)hu
[kkWu"	""	""	""	""	"jkelsod
flag"	""	""	""	""	"fo'oukFk
flag"	""	""	""	"ykycgknqj
flag"	""	""	""	"Jhjke
flag"	""	""	""	"larks\"k
pkS/kjh"	""	""	""	""	"izHkqukFk
pkS/kjh"	""	""	""	"izHkqukFk
flag  ;kno"	""	""	""	""	"eq[kyky
jke"	""	""	""	"jk/kofd'kksj
flag"	""	""	""	""	"jkts'k
dqekj flag"	""	""	""	""	"jkeujs'k
izlkn"	""	""	""	"lq/khj
dqekj"	""	""	""	""	"gjsUnz  jke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"1"	""	"2"	""	""	"3"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	""	"10"	""	""	""	"11"	""	""	""	""	"12"	""	""	""	"13"	""	""	""	""	"14"	""	""	""	""	"15"	""	""	""	"16"	""	""	""	""	"17"	""	""	""	"18"	""	""	""	"19"	""	""	""	"20"	""	""	""	""	""	""	""
"104"	"71"	""	"76"	""	""	"18"	""	""	""	"54"	""	""	""	""	"24"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	""	"4"	""	""	""	"7"	""	""	""	""	"18"	""	""	""	""	"167"	""	""	""	"4"	""	""	""	""	"15"	""	""	""	"396"	""	""	""	""	""	""	""	"396"	""	""	""	""	""	""	""
"105"	"72"	""	"426"	""	""	"14"	""	""	""	"81"	""	""	""	""	"6"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"3"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"14"	""	""	""	"3"	""	""	""	""	"3"	""	""	""	"552"	""	""	""	""	""	""	""	"552"	""	""	""	""	""	""	""
"106"	"73"	""	"139"	""	""	"24"	""	""	""	"16"	""	""	""	""	"136"	""	""	""	""	"8"	""	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"30"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"8"	""	""	""	""	"3"	""	""	""	"0"	""	""	""	""	"6"	""	""	""	"376"	""	""	""	""	""	""	""	"376"	""	""	""	""	""	""	""
"107"	"74"	""	"118"	""	""	"21"	""	""	""	"8"	""	""	""	""	"40"	""	""	""	""	"8"	""	""	""	"3"	""	""	""	"3"	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"86"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"19"	""	""	""	""	"7"	""	""	""	"4"	""	""	""	""	"14"	""	""	""	"335"	""	""	""	""	""	""	""	"335"	""	""	""	""	""	""	""
"108"	"75"	""	"79"	""	""	"82"	""	""	""	"10"	""	""	""	""	"75"	""	""	""	""	"7"	""	""	""	"1"	""	""	""	"7"	""	""	""	"2"	""	""	""	""	"6"	""	""	""	"42"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	""	"8"	""	""	""	""	"7"	""	""	""	"3"	""	""	""	""	"11"	""	""	""	"345"	""	""	""	""	""	""	""	"345"	""	""	""	""	""	""	""
"109"	"76"	""	"104"	""	""	"32"	""	""	""	"21"	""	""	""	""	"39"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	"6"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	"73"	""	""	""	""	"2"	""	""	""	"9"	""	""	""	""	"54"	""	""	""	""	"6"	""	""	""	"5"	""	""	""	""	"16"	""	""	""	"379"	""	""	""	""	""	""	""	"379"	""	""	""	""	""	""	""
"110"	"77"	""	"109"	""	""	"52"	""	""	""	"7"	""	""	""	""	"112"	""	""	""	""	"11"	""	""	""	"2"	""	""	""	"7"	""	""	""	"2"	""	""	""	""	"5"	""	""	""	"20"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	""	"7"	""	""	""	""	"0"	""	""	""	"2"	""	""	""	""	"8"	""	""	""	"348"	""	""	""	""	""	""	""	"348"	""	""	""	""	""	""	""
"111"	"78"	""	"25"	""	""	"45"	""	""	""	"76"	""	""	""	""	"103"	""	""	""	""	"15"	""	""	""	"5"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"4"	""	""	""	"21"	""	""	""	""	"1"	""	""	""	"4"	""	""	""	""	"34"	""	""	""	""	"8"	""	""	""	"3"	""	""	""	""	"10"	""	""	""	"357"	""	""	""	""	""	""	""	"357"	""	""	""	""	""	""	""
"112"	"79"	""	"11"	""	""	"31"	""	""	""	"179"	""	""	""	""	"222"	""	""	""	""	"14"	""	""	""	"5"	""	""	""	"5"	""	""	""	"2"	""	""	""	""	"5"	""	""	""	"79"	""	""	""	""	"4"	""	""	""	"10"	""	""	""	""	"15"	""	""	""	""	"9"	""	""	""	"5"	""	""	""	""	"9"	""	""	""	"605"	""	""	""	""	""	""	""	"605"	""	""	""	""	""	""	""
"113"	"80"	""	"10"	""	""	"8"	""	""	""	"102"	""	""	""	""	"77"	""	""	""	""	"7"	""	""	""	"1"	""	""	""	"6"	""	""	""	"10"	""	""	""	""	"5"	""	""	""	"73"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"18"	""	""	""	""	"4"	""	""	""	"4"	""	""	""	""	"8"	""	""	""	"336"	""	""	""	""	""	""	""	"336"	""	""	""	""	""	""	""
"114"	"80  d"	""	"18"	""	""	"21"	""	""	""	"102"	""	""	""	""	"169"	""	""	""	""	"15"	""	""	""	"5"	""	""	""	"9"	""	""	""	"6"	""	""	""	""	"5"	""	""	""	"6"	""	""	""	""	"2"	""	""	""	"3"	""	""	""	""	"8"	""	""	""	""	"6"	""	""	""	"4"	""	""	""	""	"6"	""	""	""	"385"	""	""	""	""	""	""	""	"385"	""	""	""	""	""	""	""
