"140"	""	"86"	"21"	"516"	"32"	"1"	"1"	"1"	"3"	"33"	"0"	"1"	"18"	"1"	"0"	""	"0"	"-628"	"0"	""	"-628"	"0"	""
"141"	""	"87"	"84"	"30"	"17"	"5"	"3"	"2"	"8"	"13"	"3"	"16"	"86"	"12"	"6"	""	"9"	"-294"	"0"	""	"-294"	"0"	""
"142"	""	"88"	"13"	"62"	"205"	"2"	"1"	"2"	"1"	"113"	"5"	"0"	"3"	"2"	"0"	""	"2"	"-411"	"0"	""	"-411"	"0"	""
"143"	""	"89"	"139"	"164"	"93"	"6"	"2"	"8"	"10"	"39"	"2"	"2"	"17"	"6"	"7"	""	"14"	"-509"	"0"	""	"-509"	"0"	""
"144"	""	"90"	"121"	"153"	"83"	"1"	"2"	"5"	"2"	"28"	"1"	"3"	"4"	"3"	"3"	""	"5"	"-414"	"0"	""	"-414"	"0"	""
"145"	""	"91"	"64"	"551"	"22"	"1"	"1"	"0"	"5"	"65"	"1"	"1"	"3"	"1"	"2"	""	"2"	"-719"	"0"	""	"-719"	"0"	""
"146"	""	"92"	"84"	"295"	"107"	"1"	"0"	"2"	"5"	"91"	"0"	"2"	"6"	"0"	"1"	""	"0"	"-594"	"0"	""	"-594"	"0"	""
"147"	""	"93"	"119"	"457"	"10"	"2"	"3"	"1"	"0"	"38"	"3"	"4"	"3"	"2"	"1"	""	"7"	"-650"	"0"	""	"-650"	"0"	""
"148"	""	"94"	"160"	"45"	"81"	"4"	"5"	"196"	"8"	"5"	"3"	"2"	"7"	"2"	"3"	""	"4"	"-525"	"0"	""	"-525"	"0"	""
"149"	""	"95"	"522"	"14"	"47"	"1"	"3"	"97"	"3"	"15"	"0"	"0"	"5"	"2"	"0"	""	"6"	"-715"	"0"	""	"-715"	"0"	""
"150"	""	"96"	"517"	"17"	"13"	"1"	"1"	"13"	"0"	"47"	"0"	"1"	"5"	"0"	"0"	""	"2"	"-617"	"0"	""	"-617"	"0"	""
"151"	""	"97"	"55"	"38"	"637"	"3"	"0"	"4"	"0"	"2"	"0"	"0"	"18"	"0"	"0"	""	"0"	"-757"	"0"	""	"-757"	"0"	""
"152"	""	"98"	"277"	"110"	"97"	"6"	"8"	"8"	"6"	"9"	"3"	"3"	"10"	"2"	"8"	""	"14"	"-561"	"0"	""	"-561"	"0"	""
"153"	"TOTAL"	""	"-2260"	"-2531"	"-1448"	"-36"	"-31"	"-344"	"-55"	"-511"	"-22"	"-37"	"-213"	"-36"	"-35"	""	"-71"	"-7630"	"0"	""	"-7630"	"0"	""
"154"	""	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	""	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 200-BRAHAMPUR CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	""	"233241+1405
200 BRAHAMPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	""	"Total"	"No. of Tendere d Votes"	""
"159"	""	""	"Ajit Choudhary"	"Narvadeshwar Tiwari"	"Hare Ram Pandey"	"Anklesh Giri"	"Krishna Kumar Pandey"	"Jai Raj Chaudhary"	"Sudhakar Pandey"	"SwamiNath Tiwari"	"Abhishek Singh alias Pappu"	"Kamal Dev Ojha"	"Kedar Singh"	"Raj Kishore Singh"	"Shalik Ram"	""	"Shah Mohamm ad Ansri"	""	""	""	""	""	""
"160"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	""	""	""	""	""	""
"161"	"R
o u n d
8"	"99"	"7"	"507"	"8"	"3"	"0"	"0"	"0"	"9"	"0"	"0"	"1"	"0"	"0"	""	"1"	"-536"	"0"	""	"-536"	"0"	""
"162"	""	"100"	"10"	"270"	"158"	"0"	"4"	"4"	"0"	"98"	"0"	"1"	"1"	"0"	"0"	""	"0"	"-546"	"0"	""	"-546"	"0"	""
"163"	""	"101"	"84"	"197"	"101"	"20"	"1"	"5"	"2"	"82"	"1"	"3"	"2"	"1"	"1"	""	"11"	"-511"	"0"	""	"-511"	"0"	""
"164"	""	"102"	"3"	"284"	"21"	"0"	"0"	"0"	"2"	"29"	"0"	"1"	"11"	"0"	"0"	""	"0"	"-351"	"0"	""	"-351"	"0"	""
"165"	""	"103"	"238"	"91"	"22"	"0"	"1"	"3"	"0"	"22"	"0"	"3"	"128"	"2"	"0"	""	"1"	"-511"	"0"	""	"-511"	"0"	""
"166"	""	"104"	"31"	"222"	"161"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	""	"1"	"-420"	"0"	""	"-420"	"0"	""
"167"	""	"105"	"112"	"114"	"145"	"2"	"0"	"6"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	""	"1"	"-386"	"0"	""	"-386"	"0"	""
"168"	""	"106"	"40"	"337"	"50"	"1"	"3"	"129"	"7"	"4"	"3"	"2"	"10"	"1"	"2"	""	"4"	"-593"	"0"	""	"-593"	"0"	""
"169"	""	"107"	"295"	"77"	"46"	"4"	"5"	"6"	"7"	"40"	"55"	"1"	"3"	"2"	"3"	""	"6"	"-550"	"0"	""	"-550"	"0"	""
"170"	""	"108"	"270"	"47"	"178"	"2"	"3"	"3"	"7"	"8"	"4"	"2"	"2"	"1"	"3"	""	"7"	"-537"	"0"	""	"-537"	"0"	""
"171"	""	"109"	"224"	"141"	"141"	"7"	"3"	"5"	"8"	"3"	"33"	"5"	"20"	"5"	"3"	""	"4"	"-602"	"0"	""	"-602"	"0"	""
"172"	""	"110"	"281"	"192"	"8"	"1"	"2"	"56"	"3"	"15"	"8"	"2"	"0"	"2"	"2"	""	"9"	"-581"	"0"	""	"-581"	"0"	""
"173"	""	"111"	"290"	"173"	"14"	"1"	"0"	"24"	"4"	"6"	"18"	"5"	"3"	"2"	"8"	""	"14"	"-562"	"0"	""	"-562"	"0"	""
"174"	""	"112"	"373"	"64"	"42"	"1"	"4"	"35"	"7"	"6"	"32"	"3"	"3"	"1"	"2"	""	"9"	"-582"	"0"	""	"-582"	"0"	""
"175"	"TOTAL"	""	"-2258"	"-2716"	"-1095"	"-43"	"-26"	"-277"	"-49"	"-324"	"-155"	"-29"	"-185"	"-17"	"-26"	""	"-68"	"-7268"	"0"	""	"-7268"	"0"	""
"176"	""	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	""	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 200-BRAHAMPUR CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	""	"233241+1405
200 BRAHAMPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	""	"Total"	"No. of Tendere d Votes"	""
"181"	""	""	"Ajit Choudhary"	"Narvadeshwar Tiwari"	"Hare Ram Pandey"	"Anklesh Giri"	"Krishna Kumar Pandey"	"Jai Raj Chaudhary"	"Sudhakar Pandey"	"SwamiNath Tiwari"	"Abhishek Singh alias Pappu"	"Kamal Dev Ojha"	"Kedar Singh"	"Raj Kishore Singh"	"Shalik Ram"	""	"Shah Mohamm ad Ansri"	""	""	""	""	""	""
"182"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	""	""	""	""	""	""
"183"	"R
o u n d
9"	"113"	"184"	"45"	"15"	"0"	"1"	"236"	"1"	"6"	"1"	"3"	"19"	"1"	"2"	""	"7"	"-521"	"0"	""	"-521"	"0"	""
"184"	""	"114"	"38"	"21"	"12"	"0"	"1"	"74"	"4"	"5"	"1"	"2"	"22"	"1"	"0"	""	"0"	"-181"	"0"	""	"-181"	"0"	""
"185"	""	"115"	"326"	"42"	"1"	"0"	"1"	"67"	"2"	"2"	"2"	"1"	"0"	"2"	"0"	""	"12"	"-458"	"0"	""	"-458"	"0"	""
"186"	""	"116"	"257"	"144"	"6"	"1"	"1"	"89"	"6"	"5"	"0"	"0"	"3"	"2"	"0"	""	"9"	"-523"	"0"	""	"-523"	"0"	""
"187"	""	"117"	"374"	"34"	"11"	"0"	"7"	"185"	"8"	"1"	"1"	"2"	"10"	"3"	"2"	""	"7"	"-645"	"0"	""	"-645"	"0"	""
"188"	""	"118"	"247"	"45"	"14"	"3"	"5"	"225"	"5"	"3"	"1"	"1"	"2"	"1"	"1"	""	"7"	"-560"	"0"	""	"-560"	"0"	""
"189"	""	"119"	"150"	"53"	"152"	"2"	"5"	"34"	"4"	"23"	"4"	"4"	"3"	"1"	"2"	""	"13"	"-450"	"0"	""	"-450"	"0"	""
"190"	""	"120"	"162"	"172"	"6"	"0"	"1"	"107"	"8"	"6"	"3"	"2"	"3"	"4"	"2"	""	"13"	"-489"	"0"	""	"-489"	"0"	""
"191"	""	"121"	"303"	"8"	"5"	"0"	"5"	"340"	"1"	"3"	"0"	"1"	"2"	"1"	"1"	""	"2"	"-672"	"0"	""	"-672"	"0"	""
"192"	""	"122"	"393"	"26"	"9"	"0"	"3"	"166"	"5"	"2"	"1"	"0"	"1"	"2"	"0"	""	"3"	"-611"	"0"	""	"-611"	"0"	""
"193"	""	"122 A"	"160"	"9"	"1"	"0"	"2"	"252"	"2"	"3"	"0"	"0"	"30"	"4"	"0"	""	"5"	"-468"	"0"	""	"-468"	"0"	""
"194"	""	"123"	"237"	"121"	"0"	"2"	"2"	"63"	"6"	"222"	"6"	"5"	"3"	"3"	"4"	""	"6"	"-680"	"0"	""	"-680"	"0"	""
"195"	""	"124"	"48"	"256"	"3"	"1"	"14"	"17"	"4"	"15"	"0"	"1"	"0"	"1"	"1"	""	"6"	"-367"	"0"	""	"-367"	"0"	""
"196"	""	"125"	"97"	"262"	"71"	"7"	"22"	"15"	"10"	"36"	"3"	"2"	"3"	"1"	"2"	""	"4"	"-535"	"0"	""	"-535"	"0"	""
"197"	"TOTAL"	""	"-2976"	"-1238"	"-306"	"-16"	"-70"	"-1870"	"-66"	"-332"	"-23"	"-24"	"-101"	"-27"	"-17"	""	"-94"	"-7160"	"0"	""	"-7160"	"0"	""
"198"	""	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	""	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 200-BRAHAMPUR CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	""	"233241+1405
200 BRAHAMPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	""	"Total"	"No. of Tendere d Votes"	""
"203"	""	""	"Ajit Choudhary"	"Narvadeshwar Tiwari"	"Hare Ram Pandey"	"Anklesh Giri"	"Krishna Kumar Pandey"	"Jai Raj Chaudhary"	"Sudhakar Pandey"	"SwamiNath Tiwari"	"Abhishek Singh alias Pappu"	"Kamal Dev Ojha"	"Kedar Singh"	"Raj Kishore Singh"	"Shalik Ram"	""	"Shah Mohamm ad Ansri"	""	""	""	""	""	""
"204"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	""	""	""	""	""	""
"205"	"R
o u n d
1
0"	"126"	"390"	"48"	"30"	"2"	"3"	"34"	"6"	"94"	"1"	"3"	"11"	"0"	"3"	""	"15"	"-640"	"0"	""	"-640"	"0"	""
"206"	""	"127"	"215"	"30"	"27"	"1"	"2"	"27"	"5"	"29"	"1"	"4"	"3"	"2"	"2"	""	"6"	"-354"	"0"	""	"-354"	"0"	""
"207"	""	"128"	"246"	"95"	"4"	"1"	"4"	"60"	"4"	"73"	"2"	"2"	"1"	"0"	"1"	""	"0"	"-493"	"0"	""	"-493"	"0"	""
"208"	""	"129"	"273"	"188"	"73"	"0"	"1"	"8"	"3"	"57"	"0"	"3"	"1"	"2"	"4"	""	"2"	"-615"	"0"	""	"-615"	"0"	""
"209"	""	"130"	"317"	"104"	"13"	"1"	"3"	"74"	"5"	"41"	"4"	"5"	"15"	"11"	"5"	""	"14"	"-612"	"0"	""	"-612"	"0"	""
"210"	""	"131"	"97"	"178"	"133"	"5"	"2"	"4"	"4"	"1"	"2"	"0"	"2"	"3"	"3"	""	"5"	"-439"	"0"	""	"-439"	"0"	""
"211"	""	"132"	"315"	"10"	"38"	"2"	"1"	"19"	"0"	"4"	"0"	"0"	"2"	"0"	"0"	""	"3"	"-394"	"0"	""	"-394"	"0"	""
"212"	""	"133"	"347"	"44"	"3"	"112"	"6"	"2"	"1"	"4"	"1"	"0"	"21"	"5"	"0"	""	"3"	"-549"	"0"	""	"-549"	"0"	""
"213"	""	"134"	"251"	"11"	"33"	"1"	"2"	"44"	"2"	"4"	"1"	"3"	"90"	"2"	"3"	""	"3"	"-450"	"0"	""	"-450"	"0"	""
"214"	""	"135"	"15"	"115"	"5"	"57"	"6"	"0"	"1"	"10"	"1"	"1"	"2"	"0"	"1"	""	"2"	"-216"	"0"	""	"-216"	"0"	""
"215"	""	"136"	"596"	"49"	"20"	"0"	"0"	"4"	"0"	"15"	"0"	"1"	"0"	"0"	"0"	""	"1"	"-686"	"0"	""	"-686"	"0"	""
"216"	""	"137"	"340"	"148"	"25"	"0"	"2"	"31"	"4"	"20"	"25"	"5"	"35"	"4"	"1"	""	"4"	"-644"	"0"	""	"-644"	"0"	""
"217"	""	"138"	"182"	"116"	"122"	"6"	"4"	"4"	"6"	"50"	"28"	"7"	"18"	"1"	"1"	""	"11"	"-556"	"0"	""	"-556"	"0"	""
"218"	""	"139"	"273"	"10"	"0"	"0"	"0"	"6"	"0"	"1"	"3"	"1"	"23"	"3"	"2"	""	"8"	"-330"	"0"	""	"-330"	"0"	""
"219"	"TOTAL"	""	"-3857"	"-1146"	"-526"	"-188"	"-36"	"-317"	"-41"	"-403"	"-69"	"-35"	"-224"	"-33"	"-26"	""	"-77"	"-6978"	"0"	""	"-6978"	"0"	""
"220"	""	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	""	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 200-BRAHAMPUR CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	""	"233241+1405
200 BRAHAMPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	""	"Total"	"No. of Tendere d Votes"	""
"225"	""	""	"Ajit Choudhary"	"Narvadeshwar Tiwari"	"Hare Ram Pandey"	"Anklesh Giri"	"Krishna Kumar Pandey"	"Jai Raj Chaudhary"	"Sudhakar Pandey"	"SwamiNath Tiwari"	"Abhishek Singh alias Pappu"	"Kamal Dev Ojha"	"Kedar Singh"	"Raj Kishore Singh"	"Shalik Ram"	""	"Shah Mohamm ad Ansri"	""	""	""	""	""	""
"226"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	""	""	""	""	""	""
"227"	"R
o u n d
1
1"	"140"	"136"	"2"	"1"	"1"	"2"	"72"	"2"	"4"	"0"	"1"	"15"	"3"	"0"	""	"0"	"-239"	"0"	""	"-239"	"0"	""
"228"	""	"141"	"91"	"193"	"85"	"1"	"2"	"34"	"15"	"14"	"19"	"1"	"6"	"3"	"2"	""	"6"	"-472"	"0"	""	"-472"	"0"	""
"229"	""	"142"	"69"	"29"	"205"	"0"	"0"	"29"	"2"	"17"	"5"	"4"	"3"	"3"	"1"	""	"3"	"-370"	"0"	""	"-370"	"0"	""
"230"	""	"143"	"79"	"17"	"184"	"6"	"4"	"71"	"9"	"6"	"2"	"0"	"8"	"3"	"3"	""	"5"	"-397"	"0"	""	"-397"	"0"	""
"231"	""	"144"	"343"	"10"	"7"	"0"	"4"	"87"	"2"	"2"	"0"	"1"	"1"	"2"	"0"	""	"2"	"-461"	"0"	""	"-461"	"0"	""
"232"	""	"145"	"115"	"122"	"37"	"3"	"2"	"88"	"3"	"55"	"25"	"3"	"10"	"2"	"0"	""	"2"	"-467"	"0"	""	"-467"	"0"	""
"233"	""	"146"	"108"	"17"	"224"	"2"	"2"	"48"	"5"	"15"	"15"	"2"	"30"	"1"	"0"	""	"6"	"-475"	"0"	""	"-475"	"0"	""
"234"	""	"147"	"884"	"5"	"0"	"0"	"0"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	""	"1"	"-905"	"0"	""	"-905"	"0"	""
"235"	""	"148"	"177"	"25"	"24"	"0"	"1"	"181"	"4"	"1"	"0"	"0"	"11"	"1"	"1"	""	"4"	"-430"	"0"	""	"-430"	"0"	""
"236"	""	"149"	"22"	"223"	"29"	"1"	"0"	"135"	"0"	"7"	"21"	"1"	"106"	"6"	"0"	""	"0"	"-551"	"0"	""	"-551"	"0"	""
"237"	""	"150"	"53"	"166"	"2"	"0"	"2"	"372"	"1"	"5"	"2"	"0"	"1"	"0"	"0"	""	"0"	"-604"	"0"	""	"-604"	"0"	""
"238"	""	"151"	"219"	"160"	"4"	"0"	"0"	"97"	"1"	"8"	"7"	"0"	"0"	"0"	"0"	""	"0"	"-496"	"0"	""	"-496"	"0"	""
"239"	""	"152"	"103"	"95"	"10"	"0"	"2"	"218"	"2"	"0"	"1"	"0"	"9"	"0"	"0"	""	"0"	"-440"	"0"	""	"-440"	"0"	""
"240"	""	"153"	"501"	"99"	"0"	"1"	"2"	"91"	"0"	"1"	"0"	"0"	"17"	"1"	"0"	""	"1"	"-714"	"0"	""	"-714"	"0"	""
"241"	"TOTAL"	""	"-2900"	"-1163"	"-812"	"-15"	"-23"	"-1537"	"-46"	"-135"	"-97"	"-13"	"-217"	"-25"	"-8"	""	"-30"	"-7021"	"0"	""	"-7021"	"0"	""
"242"	""	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	""	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 200-BRAHAMPUR CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	""	"233241+1405
200 BRAHAMPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	""	"Total"	"No. of Tendere d Votes"	""
"247"	""	""	"Ajit Choudhary"	"Narvadeshwar Tiwari"	"Hare Ram Pandey"	"Anklesh Giri"	"Krishna Kumar Pandey"	"Jai Raj Chaudhary"	"Sudhakar Pandey"	"SwamiNath Tiwari"	"Abhishek Singh alias Pappu"	"Kamal Dev Ojha"	"Kedar Singh"	"Raj Kishore Singh"	"Shalik Ram"	""	"Shah Mohamm ad Ansri"	""	""	""	""	""	""
"248"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	""	""	""	""	""	""
"249"	"R
o u n d
1
2"	"154"	"55"	"223"	"125"	"1"	"0"	"0"	"3"	"1"	"3"	"0"	"0"	"0"	"1"	""	"0"	"-412"	"0"	""	"-412"	"0"	""
"250"	""	"155"	"139"	"119"	"18"	"0"	"1"	"45"	"2"	"20"	"58"	"3"	"4"	"0"	"2"	""	"11"	"-422"	"0"	""	"-422"	"0"	""
"251"	""	"156"	"83"	"139"	"34"	"0"	"1"	"0"	"2"	"2"	"7"	"2"	"0"	"0"	"2"	""	"1"	"-273"	"0"	""	"-273"	"0"	""
"252"	""	"157"	"148"	"124"	"65"	"2"	"1"	"0"	"3"	"3"	"29"	"1"	"0"	"1"	"1"	""	"2"	"-380"	"0"	""	"-380"	"0"	""
"253"	""	"158"	"47"	"145"	"13"	"4"	"2"	"3"	"5"	"43"	"13"	"1"	"0"	"3"	"2"	""	"0"	"-281"	"0"	""	"-281"	"0"	""
"254"	""	"159"	"67"	"100"	"108"	"1"	"2"	"1"	"9"	"0"	"0"	"2"	"2"	"2"	"1"	""	"12"	"-307"	"0"	""	"-307"	"0"	""
"255"	""	"160"	"182"	"85"	"48"	"2"	"6"	"123"	"4"	"6"	"4"	"2"	"8"	"0"	"1"	""	"5"	"-476"	"0"	""	"-476"	"0"	""
"256"	""	"161"	"317"	"58"	"15"	"2"	"3"	"184"	"10"	"7"	"1"	"4"	"7"	"0"	"1"	""	"1"	"-610"	"0"	""	"-610"	"0"	""
"257"	""	"162"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	""	"0"	"0"	""
"258"	""	"163"	"94"	"50"	"66"	"12"	"17"	"245"	"9"	"12"	"1"	"5"	"5"	"1"	"3"	""	"15"	"-535"	"0"	""	"-535"	"0"	""
"259"	""	"164"	"283"	"116"	"109"	"22"	"10"	"25"	"6"	"5"	"5"	"1"	"2"	"5"	"5"	""	"33"	"-627"	"0"	""	"-627"	"0"	""
"260"	""	"165"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	""	"0"	"0"	""
"261"	""	"166"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	""	"0"	"0"	""
"262"	""	"167"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	""	"0"	"0"	""
"263"	"TOTAL"	""	"-1415"	"-1159"	"-601"	"-46"	"-43"	"-626"	"-53"	"-99"	"-121"	"-21"	"-28"	"-12"	"-19"	""	"-80"	"-4323"	"0"	""	"-4323"	"0"	""
"264"	""	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	""	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 200-BRAHAMPUR CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	""	"233241+1405
200 BRAHAMPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	""	"Total"	"No. of Tendere d Votes"	""
"269"	""	""	"Ajit Choudhary"	"Narvadeshwar Tiwari"	"Hare Ram Pandey"	"Anklesh Giri"	"Krishna Kumar Pandey"	"Jai Raj Chaudhary"	"Sudhakar Pandey"	"SwamiNath Tiwari"	"Abhishek Singh alias Pappu"	"Kamal Dev Ojha"	"Kedar Singh"	"Raj Kishore Singh"	"Shalik Ram"	""	"Shah Mohamm ad Ansri"	""	""	""	""	""	""
"270"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	""	""	""	""	""	""
"271"	"R
o u n d
1
3"	"168"	"0"	"0"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"-35"	"0"	""	"-35"	"0"	""
"272"	""	"169"	"177"	"54"	"320"	"5"	"5"	"18"	"6"	"4"	"1"	"4"	"1"	"2"	"1"	""	"3"	"-601"	"0"	""	"-601"	"0"	""
"273"	""	"170"	"96"	"20"	"213"	"5"	"0"	"8"	"5"	"1"	"1"	"0"	"1"	"3"	"0"	""	"3"	"-356"	"0"	""	"-356"	"0"	""
"274"	""	"171"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	""	"0"	"0"	""
"275"	""	"172"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	""	"0"	"0"	""
"276"	""	"173"	"349"	"79"	"26"	"1"	"5"	"98"	"6"	"10"	"2"	"3"	"6"	"1"	"2"	""	"10"	"-598"	"0"	""	"-598"	"0"	""
"277"	""	"174"	"107"	"139"	"66"	"1"	"1"	"13"	"4"	"21"	"0"	"0"	"1"	"1"	"2"	""	"5"	"-361"	"0"	""	"-361"	"0"	""
"278"	""	"175"	"143"	"206"	"103"	"2"	"2"	"4"	"8"	"33"	"0"	"2"	"0"	"5"	"2"	""	"6"	"-516"	"0"	""	"-516"	"0"	""
"279"	""	"176"	"344"	"44"	"107"	"4"	"2"	"0"	"0"	"13"	"0"	"1"	"0"	"0"	"0"	""	"4"	"-519"	"0"	""	"-519"	"0"	""
"280"	""	"177"	"210"	"124"	"96"	"4"	"5"	"4"	"3"	"13"	"1"	"1"	"2"	"1"	"0"	""	"1"	"-465"	"0"	""	"-465"	"0"	""
"281"	""	"178"	"190"	"70"	"166"	"6"	"3"	"1"	"9"	"6"	"2"	"2"	"5"	"3"	"1"	""	"2"	"-466"	"0"	""	"-466"	"0"	""
