"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"162"	"12"	"80"	"25"	"183"	"5"	"3"	"6"	"3"	"4"	"10"	"188"	"3"	"2"	"1"	"1"	"2"	"2"	"438"	"0"	"438"	"0"
"163"	"13"	"81R"	"14"	"284"	"5"	"1"	"18"	"2"	"5"	"6"	"145"	"2"	"2"	"5"	"5"	"20"	"10"	"524"	"0"	"524"	"0"
"164"	"14"	"82"	"53"	"89"	"13"	"4"	"3"	"2"	"3"	"5"	"225"	"4"	"1"	"1"	"1"	"4"	"2"	"410"	"0"	"410"	"0"
"165"	"Total Votes Polled"	""	"763"	"1422"	"309"	"73"	"326"	"58"	"89"	"138"	"2147"	"86"	"51"	"41"	"66"	"94"	"172"	"5835"	"0"	"5835"	"0"
"166"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"Table No."	"No. & Name of Polling Station"	"GAYATRI DEVI"	"PRO. K.B.PRASAD"	"SANJAY KUMAR KUSHWAHA"	"KRISHNA BALLAV YADAV"	"GAUTAM KAPUR"	"JAY KARAN SHARMA"	"NARESH CHANDRA VIDYARTHI"	"KAMLESH PRASAD"	"KAUSHAL YADAV"	"DEVENDRA YADAV"	"NARESH PANDEY"	"PRAKAMPAN KUMAR BHASKER"	"MEENA DEVI"	"RAMDHANI RAM"	"HARI DAS"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"177"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"178"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"1"	"83"	"21"	"7"	"0"	"0"	"3"	"0"	""	""	"361"	"2"	""	"0"	"0"	"0"	"1"	"395"	"0"	"395"	"0"
"180"	"2"	"84"	"10"	"159"	"5"	"2"	"3"	"2"	"3"	"5"	"162"	"2"	"4"	"1"	"6"	"2"	"7"	"373"	"0"	"373"	"0"
"181"	"3"	"85"	"3"	"17"	"2"	"2"	"2"	"0"	"6"	"6"	"474"	"1"	"1"	"1"	"6"	"3"	"1"	"525"	"0"	"525"	"0"
"182"	"4"	"86"	"20"	"58"	"8"	"3"	"10"	"4"	"5"	"8"	"113"	"5"	"2"	"1"	"9"	"6"	"13"	"265"	"0"	"265"	"0"
"183"	"5"	"87"	"69"	"107"	"4"	"0"	"52"	"4"	"3"	"3"	"438"	"6"	"4"	"1"	"4"	"4"	"6"	"705"	"0"	"705"	"0"
"184"	"6"	"88R"	"37"	"14"	"3"	"5"	"22"	"9"	"14"	"19"	"183"	"10"	"6"	"3"	"2"	"4"	"15"	"346"	"0"	"346"	"0"
"185"	"7"	"89"	"96"	"123"	"27"	"2"	"16"	"1"	"3"	"11"	"109"	"1"	"1"	"1"	"3"	"6"	"4"	"404"	"0"	"404"	"0"
"186"	"8"	"90"	"93"	"36"	"1"	"0"	"1"	"0"	"0"	"2"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"0"	"155"	"0"
"187"	"9"	"91"	"136"	"18"	"0"	"2"	"2"	"1"	"0"	"4"	"356"	"0"	"0"	"0"	"1"	"0"	"2"	"522"	"0"	"522"	"0"
"188"	"10"	"92"	"63"	"8"	"25"	"0"	"2"	"0"	"0"	"1"	"119"	"1"	"0"	"0"	"0"	"0"	"0"	"219"	"0"	"219"	"0"
"189"	"11"	"93"	"62"	"139"	"28"	"2"	"5"	"1"	"4"	"5"	"44"	"7"	"2"	"3"	"3"	"10"	"11"	"326"	"0"	"326"	"0"
"190"	"12"	"94"	"60"	"167"	"17"	"2"	"10"	"2"	"3"	"3"	"14"	"2"	"0"	"5"	"0"	"7"	"12"	"304"	"0"	"304"	"0"
"191"	"13"	"95"	"147"	"110"	"23"	"2"	"37"	"3"	"3"	"5"	"53"	"3"	"0"	"1"	"0"	"2"	"12"	"401"	"0"	"401"	"0"
"192"	"14"	"96"	"233"	"12"	"2"	"0"	"10"	"11"	"2"	"3"	"228"	"3"	"4"	"0"	"2"	"2"	"22"	"534"	"0"	"534"	"0"
"193"	"Total Votes Polled"	""	"1050"	"975"	"145"	"22"	"175"	"38"	"46"	"75"	"2676"	"43"	"24"	"17"	"36"	"46"	"106"	"5474"	"0"	"5474"	"0"
"194"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"Table No."	"No. & Name of Polling Station"	"GAYATRI DEVI"	"PRO. K.B.PRASAD"	"SANJAY KUMAR KUSHWAHA"	"KRISHNA BALLAV YADAV"	"GAUTAM KAPUR"	"JAY KARAN SHARMA"	"NARESH CHANDRA VIDYARTHI"	"KAMLESH PRASAD"	"KAUSHAL YADAV"	"DEVENDRA YADAV"	"NARESH PANDEY"	"PRAKAMPAN KUMAR BHASKER"	"MEENA DEVI"	"RAMDHANI RAM"	"HARI DAS"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"205"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"206"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"207"	"1"	"97"	"185"	"74"	"29"	"8"	"25"	"2"	"7"	"6"	"81"	"2"	"2"	"1"	"2"	"0"	"6"	"430"	"0"	"430"	"0"
"208"	"2"	"98"	"19"	"230"	"7"	"2"	"11"	"15"	"6"	"10"	"134"	"5"	"4"	"2"	"10"	"14"	"17"	"486"	"0"	"486"	"0"
"209"	"3"	"99"	"221"	"262"	"7"	"3"	"63"	"6"	"4"	"20"	"67"	"7"	"5"	"2"	"4"	"2"	"10"	"683"	"0"	"683"	"0"
"210"	"4"	"100"	"52"	"276"	"6"	"1"	"1"	"1"	"1"	"5"	"2"	"0"	"1"	"0"	"1"	"5"	"10"	"362"	"0"	"362"	"0"
"211"	"5"	"101"	"9"	"252"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"0"	"263"	"0"
"212"	"6"	"102"	"14"	"101"	"14"	"1"	"2"	"0"	"2"	"0"	"67"	"0"	"0"	"0"	"0"	"1"	"1"	"203"	"0"	"203"	"0"
"213"	"7"	"103"	"145"	"86"	"14"	"5"	"2"	"3"	"4"	"2"	"7"	"2"	"3"	"1"	"2"	"4"	"12"	"292"	"0"	"292"	"0"
"214"	"8"	"104"	"40"	"101"	"13"	"2"	"39"	"2"	"2"	"2"	"186"	"7"	"2"	"5"	"6"	"8"	"10"	"425"	"0"	"425"	"0"
"215"	"9"	"105"	"133"	"258"	"4"	"0"	"3"	"6"	"0"	"0"	"52"	"1"	"1"	"0"	"8"	"0"	"2"	"468"	"0"	"468"	"0"
"216"	"10"	"106"	"76"	"87"	"6"	"3"	"14"	"7"	"5"	"2"	"55"	"5"	"5"	"5"	"4"	"5"	"7"	"286"	"0"	"286"	"0"
"217"	"11"	"107"	"53"	"201"	"12"	"5"	"45"	"4"	"1"	"16"	"65"	"7"	"4"	"4"	"12"	"15"	"31"	"475"	"0"	"475"	"0"
"218"	"12"	"108"	"55"	"143"	"7"	"8"	"23"	"4"	"3"	"13"	"82"	"5"	"6"	"6"	"14"	"7"	"22"	"398"	"0"	"398"	"0"
"219"	"13"	"109"	"34"	"168"	"7"	"5"	"23"	"5"	"5"	"12"	"132"	"5"	"4"	"2"	"8"	"12"	"21"	"443"	"0"	"443"	"0"
"220"	"14"	"110"	"38"	"401"	"12"	"3"	"13"	"3"	"7"	"12"	"60"	"6"	"3"	"3"	"8"	"11"	"10"	"590"	"0"	"590"	"0"
"221"	"Total Votes Polled"	""	"1074"	"2640"	"138"	"46"	"264"	"59"	"47"	"100"	"991"	"52"	"40"	"31"	"79"	"84"	"159"	"5804"	"0"	"5804"	"0"
"222"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"Table No."	"No. & Name of Polling Station"	"GAYATRI DEVI"	"PRO. K.B.PRASAD"	"SANJAY KUMAR KUSHWAHA"	"KRISHNA BALLAV YADAV"	"GAUTAM KAPUR"	"JAY KARAN SHARMA"	"NARESH CHANDRA VIDYARTHI"	"KAMLESH PRASAD"	"KAUSHAL YADAV"	"DEVENDRA YADAV"	"NARESH PANDEY"	"PRAKAMPAN KUMAR BHASKER"	"MEENA DEVI"	"RAMDHANI RAM"	"HARI DAS"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"233"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"234"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"1"	"111R"	"26"	"204"	"9"	"3"	"10"	"3"	"2"	"14"	"58"	"6"	"4"	"5"	"6"	"19"	"25"	"394"	"0"	"394"	"0"
"236"	"2"	"112"	"200"	"150"	"3"	"1"	"6"	"7"	"1"	"6"	"51"	"3"	"1"	"1"	"1"	"6"	"8"	"445"	"0"	"445"	"0"
"237"	"3"	"113"	"14"	"68"	"8"	"2"	"12"	"3"	"8"	"12"	"109"	"3"	"2"	"1"	"1"	"3"	"4"	"250"	"0"	"250"	"0"
"238"	"4"	"114"	"16"	"193"	"4"	"2"	"14"	"2"	"1"	"9"	"85"	"3"	"2"	"1"	"4"	"5"	"9"	"350"	"0"	"350"	"0"
"239"	"5"	"115"	"32"	"160"	"58"	"3"	"16"	"2"	"4"	"3"	"31"	"2"	"2"	"0"	"8"	"8"	"13"	"342"	"0"	"342"	"0"
"240"	"6"	"116"	"11"	"81"	"4"	"2"	"17"	"1"	"3"	"13"	"88"	"5"	"1"	"0"	"6"	"3"	"11"	"246"	"0"	"246"	"0"
"241"	"7"	"117"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"242"	"8"	"118"	"9"	"341"	"8"	"1"	"19"	"0"	"1"	"5"	"14"	"1"	"1"	"1"	"0"	"5"	"3"	"409"	"0"	"409"	"0"
"243"	"9"	"119"	"16"	"351"	"7"	"2"	"9"	"0"	"9"	"7"	"57"	"3"	"2"	"1"	"6"	"5"	"10"	"485"	"0"	"485"	"0"
"244"	"10"	"120"	"48"	"74"	"116"	"4"	"41"	"6"	"11"	"5"	"122"	"10"	"4"	"4"	"5"	"1"	"13"	"464"	"0"	"464"	"0"
"245"	"11"	"121"	"20"	"91"	"11"	"8"	"16"	"9"	"57"	"14"	"143"	"4"	"9"	"7"	"19"	"12"	"27"	"447"	"0"	"447"	"0"
"246"	"12"	"122"	"9"	"64"	"1"	"0"	"9"	"0"	"4"	"4"	"525"	"3"	"0"	"0"	"0"	"0"	"0"	"619"	"0"	"619"	"0"
"247"	"13"	"123"	"277"	"1"	"30"	"3"	"69"	"3"	"8"	"1"	"266"	"9"	"0"	"0"	"1"	"0"	"0"	"668"	"0"	"668"	"0"
"248"	"14"	"124"	"4"	"5"	"0"	"0"	"7"	"0"	"1"	"0"	"564"	"1"	"0"	"0"	"0"	"0"	"0"	"582"	"0"	"582"	"0"
"249"	"Total Votes Polled"	""	"682"	"1783"	"259"	"31"	"245"	"36"	"110"	"93"	"2113"	"53"	"28"	"21"	"57"	"67"	"123"	"5701"	"0"	"5701"	"0"
"250"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"Table No."	"No. & Name of Polling Station"	"GAYATRI DEVI"	"PRO. K.B.PRASAD"	"SANJAY KUMAR KUSHWAHA"	"KRISHNA BALLAV YADAV"	"GAUTAM KAPUR"	"JAY KARAN SHARMA"	"NARESH CHANDRA VIDYARTHI"	"KAMLESH PRASAD"	"KAUSHAL YADAV"	"DEVENDRA YADAV"	"NARESH PANDEY"	"PRAKAMPAN KUMAR BHASKER"	"MEENA DEVI"	"RAMDHANI RAM"	"HARI DAS"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"261"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"262"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"263"	"1"	"125"	"12"	"0"	"0"	"0"	"4"	"1"	"0"	"0"	"747"	"11"	"0"	"0"	"0"	"0"	"0"	"775"	"0"	"775"	"0"
"264"	"2"	"126"	"21"	"4"	"2"	"0"	"17"	"0"	"0"	"1"	"504"	"2"	"0"	"0"	"0"	"0"	"1"	"552"	"0"	"552"	"0"
"265"	"3"	"127R"	"7"	"2"	"1"	"5"	"34"	"3"	"3"	"4"	"79"	"7"	"6"	"2"	"0"	"2"	"1"	"156"	"0"	"156"	"0"
"266"	"4"	"128"	"25"	"3"	"0"	"3"	"26"	"0"	"0"	"0"	"404"	"5"	"0"	"0"	"0"	"0"	"0"	"466"	"0"	"466"	"0"
"267"	"5"	"129"	"206"	"3"	"0"	"2"	"35"	"3"	"3"	"4"	"261"	"8"	"0"	""	"1"	"2"	"4"	"532"	"0"	"532"	"0"
"268"	"6"	"130"	"231"	"17"	"4"	"9"	"53"	"12"	"7"	"16"	"283"	"12"	"5"	"2"	"2"	"5"	"13"	"671"	"0"	"671"	"0"
"269"	"7"	"131"	"13"	"4"	"1"	"0"	"27"	"0"	"0"	"0"	"405"	"1"	"0"	"0"	"0"	"0"	"0"	"451"	"0"	"451"	"0"
"270"	"8"	"132"	"28"	"0"	"3"	"3"	"51"	"5"	"7"	"5"	"206"	"5"	"2"	"2"	"2"	"0"	"5"	"324"	"0"	"324"	"0"
"271"	"9"	"133R"	"24"	"6"	"1"	"1"	"17"	"5"	"10"	"19"	"134"	"11"	"5"	"10"	"4"	"8"	"8"	"263"	"0"	"263"	"0"
"272"	"10"	"134"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"500"	"0"	"0"	"0"	"0"	"0"	"0"	"503"	"0"	"503"	"0"
"273"	"11"	"135"	"1"	"2"	"0"	"0"	"3"	"0"	"0"	"1"	"830"	"1"	"0"	"0"	"0"	"0"	"0"	"838"	"0"	"838"	"0"
"274"	"12"	"136"	"104"	"1"	"0"	"1"	"157"	"3"	"0"	"6"	"351"	"10"	"5"	"1"	"3"	"0"	"7"	"649"	"0"	"649"	"0"
"275"	"13"	"137"	"29"	"2"	"0"	"0"	"14"	"0"	"0"	"2"	"397"	"3"	"0"	"0"	"0"	"2"	"2"	"451"	"0"	"451"	"0"
"276"	"14"	"138"	"61"	"6"	"2"	"2"	"64"	"3"	"2"	"1"	"455"	"7"	"1"	"1"	"4"	"0"	"4"	"613"	"0"	"613"	"0"
"277"	"Total Votes Polled"	""	"763"	"50"	"14"	"26"	"503"	"35"	"32"	"60"	"5556"	"83"	"24"	"18"	"16"	"19"	"45"	"7244"	"0"	"7244"	"0"
"278"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"284"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"Table No."	"No. & Name of Polling Station"	"GAYATRI DEVI"	"PRO. K.B.PRASAD"	"SANJAY KUMAR KUSHWAHA"	"KRISHNA BALLAV YADAV"	"GAUTAM KAPUR"	"JAY KARAN SHARMA"	"NARESH CHANDRA VIDYARTHI"	"KAMLESH PRASAD"	"KAUSHAL YADAV"	"DEVENDRA YADAV"	"NARESH PANDEY"	"PRAKAMPAN KUMAR BHASKER"	"MEENA DEVI"	"RAMDHANI RAM"	"HARI DAS"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"289"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"290"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"1"	"139"	"7"	"154"	"15"	"2"	"27"	"2"	"2"	"1"	"192"	"5"	"0"	"0"	"1"	"0"	"1"	"409"	"0"	"409"	"0"
"292"	"2"	"140"	"3"	"3"	"2"	"3"	"13"	"0"	"0"	"1"	"455"	"0"	"0"	"0"	"1"	"0"	"0"	"481"	"0"	"481"	"0"
"293"	"3"	"141"	"5"	"4"	"10"	"1"	"9"	"1"	"0"	"1"	"713"	"1"	"1"	"0"	"0"	"0"	"1"	"747"	"0"	"747"	"0"
"294"	"4"	"142"	"14"	"1"	"0"	"0"	"9"	"0"	"0"	"0"	"210"	"2"	"0"	"0"	"0"	"0"	"2"	"238"	"0"	"238"	"0"
"295"	"5"	"143"	"87"	"11"	"60"	"3"	"216"	"16"	"7"	"3"	"58"	"7"	"5"	"5"	"4"	"2"	"10"	"494"	"0"	"494"	"0"
"296"	"6"	"144"	"67"	"42"	"30"	"5"	"59"	"4"	"2"	"9"	"134"	"10"	"7"	"3"	"1"	"1"	"9"	"383"	"0"	"383"	"0"
"297"	"7"	"145"	"34"	"102"	"3"	"18"	"105"	"3"	"0"	"5"	"128"	"13"	"1"	"0"	"2"	"2"	"7"	"423"	"0"	"423"	"0"
"298"	"8"	"146"	"29"	"16"	"0"	"1"	"244"	"0"	"3"	"1"	"37"	"3"	"0"	"0"	"0"	"0"	"0"	"334"	"0"	"334"	"0"
"299"	"9"	"147"	"32"	"6"	"106"	"7"	"22"	"2"	"4"	"4"	"114"	"2"	"3"	"3"	"4"	"5"	"16"	"330"	"0"	"330"	"0"
"300"	"10"	"148"	"21"	"4"	"99"	"12"	"56"	"8"	"8"	"7"	"121"	"4"	"1"	"1"	"1"	"1"	"3"	"347"	"0"	"347"	"0"
"301"	"11"	"149"	"36"	"119"	"13"	"1"	"74"	"7"	"7"	"7"	"174"	"22"	"4"	"0"	"1"	"5"	"8"	"478"	"0"	"478"	"0"
"302"	"12"	"150R"	"9"	"4"	"1"	"15"	"58"	"1"	"3"	"3"	"297"	"6"	"1"	"1"	"1"	"0"	"1"	"401"	"0"	"401"	"0"
"303"	"13"	"151"	"88"	"10"	"3"	"13"	"44"	"4"	"5"	"9"	"282"	"6"	"4"	"4"	"0"	"4"	"6"	"482"	"0"	"482"	"0"
"304"	"14"	"152"	"20"	"9"	"5"	"1"	"41"	"1"	"2"	"2"	"521"	"5"	"1"	"2"	"0"	"3"	"3"	"616"	"0"	"616"	"0"
"305"	"Total Votes Polled"	""	"452"	"485"	"347"	"82"	"977"	"49"	"43"	"53"	"3436"	"86"	"28"	"19"	"16"	"23"	"67"	"6163"	"0"	"6163"	"0"
"306"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"307"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"308"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"310"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"311"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"312"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"316"	"Table No."	"No. & Name of Polling Station"	"GAYATRI DEVI"	"PRO. K.B.PRASAD"	"SANJAY KUMAR KUSHWAHA"	"KRISHNA BALLAV YADAV"	"GAUTAM KAPUR"	"JAY KARAN SHARMA"	"NARESH CHANDRA VIDYARTHI"	"KAMLESH PRASAD"	"KAUSHAL YADAV"	"DEVENDRA YADAV"	"NARESH PANDEY"	"PRAKAMPAN KUMAR BHASKER"	"MEENA DEVI"	"RAMDHANI RAM"	"HARI DAS"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"317"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"318"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"319"	"1"	"153"	"238"	"3"	"4"	"3"	"59"	"4"	"1"	"6"	"323"	"10"	"1"	"1"	"1"	"1"	"6"	"661"	"0"	"661"	"0"
"320"	"2"	"154"	"51"	"13"	"20"	"4"	"127"	"6"	"10"	"2"	"114"	"11"	"1"	"0"	"1"	"1"	"3"	"364"	"0"	"364"	"0"
"321"	"3"	"155"	"3"	"11"	"8"	"2"	"45"	"3"	"1"	"3"	"384"	"11"	"3"	"1"	"1"	"1"	"4"	"481"	"0"	"481"	"0"
"322"	"4"	"156"	"18"	"13"	"5"	"2"	"12"	"0"	"0"	"1"	"380"	"6"	"0"	"1"	"0"	"0"	"1"	"439"	"0"	"439"	"0"
"323"	"5"	"157R"	"3"	"0"	"0"	"0"	"9"	"0"	"0"	"0"	"508"	"1"	"0"	"0"	"0"	"0"	"0"	"521"	"0"	"521"	"0"
"324"	"6"	"158"	"16"	"10"	"0"	"0"	"7"	"0"	"0"	"1"	"346"	"0"	"0"	"0"	"0"	"0"	"0"	"380"	"0"	"380"	"0"
