"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendere.d.Votes"
"120"	"94"	"10"	"1"	"15"	"0"	"0"	"1"	"72"	"2"	"3"	"1"	"0"	"0"	"3"	"0"	"4"	"9"	"4"	"1"	"23"	"57"	"206"	""	"206"	""
"121"	"95"	"7"	"4"	"8"	"1"	"3"	"2"	"7"	"124"	"2"	"6"	"9"	"73"	"3"	"4"	"4"	"32"	"3"	"84"	"43"	"69"	"488"	""	"488"	""
"122"	"96"	"19"	"2"	"25"	"1"	"0"	"2"	"182"	"8"	"5"	"3"	"24"	"4"	"4"	"7"	"4"	"14"	"20"	"8"	"79"	"87"	"498"	""	"498"	""
"123"	"97"	"9"	"6"	"38"	"2"	"0"	"0"	"15"	"5"	"2"	"2"	"98"	"4"	"3"	"28"	"5"	"4"	"17"	"7"	"13"	"76"	"334"	""	"334"	""
"124"	"98"	"20"	"3"	"36"	"5"	"5"	"5"	"49"	"20"	"5"	"8"	"413"	"7"	"2"	"15"	"9"	"5"	"4"	"5"	"10"	"4"	"630"	""	"630"	""
"125"	"Total Round 7"	"902"	"60"	"390"	"28"	"20"	"16"	"428"	"253"	"26"	"42"	"721"	"1110"	"28"	"60"	"40"	"113"	"66"	"119"	"296"	"861"	"5579"	"0"	"5579"	"0"
"126"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"127"	""	"MD. AHMAR HASAN"	"MD. JIYAUDDI N"	"MANOJ KUMAR YADAV"	"SATRUG HAN RAM"	"IFTKHAR JILANI"	"RAJINDAR PRASAD YADAV"	"RAM CHANDRA YADAV"	"ABDUS SALAM"	"MD. AMANUD DIN"	"MD. ASRAF ALI"	"ASHA DEVI"	"KAMRUL HODA"	"BINDESH WAR MAHTO"	"RUDAL PURVEY"	"PRO. LAL BABU YADAV"	"MD. SAHABU DDIN"	"SHIV SHANKE R YADAV"	"SWETAM BER YADAV"	"SURYA NA. SINGH YADAV"	"HARI BHUSAN THAKUR"	""	""	""	""
"128"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"129"	"99"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"494"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"501"	""	"501"	""
"130"	"100"	"10"	"0"	"29"	"1"	"0"	"1"	"24"	"9"	"1"	"3"	"13"	"5"	"3"	"8"	"293"	"12"	"1"	"9"	"18"	"3"	"443"	""	"443"	""
"131"	"101"	"16"	"1"	"2"	"1"	"1"	"0"	"108"	"3"	"12"	"1"	"36"	"3"	"2"	"2"	"2"	"6"	"0"	"6"	"23"	"5"	"230"	""	"230"	""
"132"	"102"	"55"	"6"	"26"	"7"	"5"	"8"	"59"	"3"	"2"	"2"	"19"	"33"	"6"	"6"	"8"	"13"	"3"	"29"	"48"	"51"	"389"	""	"389"	""
"133"	"103"	"112"	"3"	"65"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"14"	"2"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"100"	"310"	""	"310"	""
"134"	"104"	"51"	"0"	"54"	"0"	"0"	"1"	"5"	"0"	"1"	"0"	"45"	"2"	"0"	"5"	"1"	"2"	"1"	"1"	"13"	"80"	"262"	""	"262"	""
"135"	"105"	"48"	"2"	"279"	"12"	"1"	"1"	"6"	"4"	"2"	"4"	"1"	"4"	"0"	"12"	"1"	"8"	"0"	"5"	"11"	"2"	"403"	""	"403"	""
"136"	"106"	"96"	"10"	"117"	"43"	"6"	"4"	"58"	"25"	"3"	"6"	"52"	"52"	"12"	"15"	"4"	"9"	"14"	"32"	"43"	"38"	"639"	""	"639"	""
"137"	"107"	"39"	"11"	"106"	"35"	"2"	"0"	"1"	"13"	"3"	"6"	"7"	"9"	"3"	"11"	"10"	"16"	"12"	"4"	"22"	"137"	"447"	""	"447"	""
"138"	"108"	"479"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"487"	""	"487"	""
"139"	"109"	"593"	"2"	"1"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"605"	""	"605"	""
"140"	"110"	"520"	"12"	"1"	"0"	"4"	"0"	"0"	"3"	"0"	"0"	"0"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"550"	""	"550"	""
"141"	"111"	"905"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"910"	""	"910"	""
"142"	"112"	"125"	"8"	"65"	"3"	"1"	"1"	"3"	"1"	"0"	"2"	"5"	"13"	"1"	"3"	"3"	"14"	"4"	"0"	"2"	"1"	"255"	""	"255"	""
"143"	"Total Round 8"	"3050"	"58"	"746"	"111"	"21"	"16"	"268"	"64"	"24"	"26"	"686"	"141"	"29"	"62"	"323"	"84"	"38"	"87"	"180"	"417"	"6431"	"0"	"6431"	"0"
"144"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"145"	""	"MD. AHMAR HASAN"	"MD. JIYAUDDI N"	"MANOJ KUMAR YADAV"	"SATRUG HAN RAM"	"IFTKHAR JILANI"	"RAJINDAR PRASAD YADAV"	"RAM CHANDRA YADAV"	"ABDUS SALAM"	"MD. AMANUD DIN"	"MD. ASRAF ALI"	"ASHA DEVI"	"KAMRUL HODA"	"BINDESH WAR MAHTO"	"RUDAL PURVEY"	"PRO. LAL BABU YADAV"	"MD. SAHABU DDIN"	"SHIV SHANKE R YADAV"	"SWETAM BER YADAV"	"SURYA NA. SINGH YADAV"	"HARI BHUSAN THAKUR"	""	""	""	""
"146"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"147"	"113"	"252"	"2"	"35"	"1"	"1"	"0"	"4"	"67"	"1"	"0"	"0"	"1"	"0"	"2"	"0"	"1"	"2"	"1"	"0"	"1"	"371"	""	"371"	""
"148"	"114"	"103"	"3"	"25"	"1"	"1"	"0"	"0"	"6"	"0"	"1"	"3"	"26"	"45"	"2"	"2"	"10"	"0"	"0"	"1"	"0"	"229"	""	"229"	""
"149"	"115"	"52"	"7"	"233"	"7"	"6"	"19"	"13"	"68"	"4"	"12"	"105"	"10"	"40"	"23"	"8"	"36"	"3"	"3"	"6"	"8"	"663"	""	"663"	""
"150"	"116"	"262"	"6"	"80"	"1"	"1"	"1"	"3"	"53"	"4"	"4"	"1"	"2"	"2"	"1"	"1"	"4"	"3"	"0"	"1"	"0"	"430"	""	"430"	""
"151"	"117"	"119"	"2"	"48"	"1"	"1"	"1"	"3"	"191"	"3"	"7"	"8"	"29"	"3"	"8"	"0"	"23"	"5"	"1"	"1"	"0"	"454"	""	"454"	""
"152"	"118"	"281"	"30"	"2"	"1"	"1"	"0"	"2"	"57"	"0"	"2"	"1"	"41"	"2"	"0"	"0"	"7"	"4"	"0"	"0"	"1"	"432"	""	"432"	""
"153"	"119"	"44"	"7"	"4"	"0"	"31"	"2"	"0"	"105"	"2"	"3"	"0"	"13"	"0"	"1"	"0"	"1"	"3"	"0"	"2"	"2"	"220"	""	"220"	""
"154"	"120"	"77"	"7"	"1"	"3"	"188"	"1"	"4"	"66"	"2"	"5"	"0"	"5"	"0"	"0"	"0"	"5"	"2"	"0"	"0"	"0"	"366"	""	"366"	""
"155"	"121"	"172"	"2"	"165"	"4"	"14"	"16"	"17"	"138"	"12"	"16"	"1"	"1"	"4"	"11"	"6"	"15"	"5"	"6"	"11"	"8"	"624"	""	"624"	""
"156"	"122"	"115"	"6"	"134"	"2"	"21"	"12"	"4"	"24"	"0"	"7"	"2"	"2"	"5"	"4"	"2"	"8"	"3"	"1"	"2"	"4"	"358"	""	"358"	""
"157"	"123"	"2"	"2"	"146"	"2"	"29"	"1"	"24"	"9"	"1"	"1"	"1"	"4"	"0"	"0"	"1"	"4"	"1"	"0"	"11"	"37"	"276"	""	"276"	""
"158"	"124"	"29"	"2"	"139"	"4"	"4"	"4"	"224"	"47"	"2"	"1"	"3"	"4"	"0"	"4"	"3"	"12"	"0"	"1"	"4"	"20"	"507"	""	"507"	""
"159"	"125"	"1"	"0"	"609"	"1"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"617"	""	"617"	""
"160"	"126"	"3"	"0"	"299"	"0"	"1"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"2"	"0"	"1"	"0"	"3"	"317"	""	"317"	""
"161"	"Total Round 9"	"1512"	"76"	"1920"	"28"	"299"	"63"	"299"	"833"	"31"	"59"	"125"	"138"	"101"	"60"	"23"	"128"	"31"	"14"	"39"	"85"	"5864"	"0"	"5864"	"0"
"162"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"163"	""	"MD. AHMAR HASAN"	"MD. JIYAUDDI N"	"MANOJ KUMAR YADAV"	"SATRUG HAN RAM"	"IFTKHAR JILANI"	"RAJINDAR PRASAD YADAV"	"RAM CHANDRA YADAV"	"ABDUS SALAM"	"MD. AMANUD DIN"	"MD. ASRAF ALI"	"ASHA DEVI"	"KAMRUL HODA"	"BINDESH WAR MAHTO"	"RUDAL PURVEY"	"PRO. LAL BABU YADAV"	"MD. SAHABU DDIN"	"SHIV SHANKE R YADAV"	"SWETAM BER YADAV"	"SURYA NA. SINGH YADAV"	"HARI BHUSAN THAKUR"	""	""	""	""
"164"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"165"	"127"	"6"	"0"	"352"	"1"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"367"	""	"367"	""
"166"	"128"	"13"	"0"	"294"	"2"	"0"	"2"	"27"	"0"	"0"	"1"	"19"	"0"	"1"	"1"	"1"	"4"	"6"	"6"	"11"	"9"	"397"	""	"397"	""
"167"	"129"	"15"	"1"	"169"	"4"	"3"	"23"	"11"	"45"	"2"	"5"	"0"	"4"	"3"	"10"	"6"	"14"	"1"	"3"	"5"	"31"	"355"	""	"355"	""
"168"	"130"	"45"	"5"	"135"	"5"	"6"	"2"	"67"	"3"	"1"	"3"	"9"	"4"	"8"	"5"	"6"	"11"	"7"	"5"	"33"	"42"	"402"	""	"402"	""
"169"	"131"	"34"	"3"	"92"	"1"	"0"	"0"	"8"	"1"	"1"	"2"	"0"	"5"	"3"	"5"	"0"	"6"	"5"	"5"	"48"	"96"	"315"	""	"315"	""
"170"	"132"	"63"	"4"	"368"	"1"	"4"	"0"	"31"	"8"	"2"	"1"	"14"	"1"	"5"	"4"	"2"	"7"	"8"	"2"	"8"	"49"	"582"	""	"582"	""
"171"	"133"	"97"	"10"	"188"	"3"	"2"	"3"	"36"	"13"	"3"	"5"	"11"	"20"	"4"	"2"	"4"	"23"	"4"	"0"	"15"	"74"	"517"	""	"517"	""
"172"	"134"	"92"	"13"	"27"	"0"	"3"	"5"	"32"	"6"	"4"	"8"	"4"	"14"	"8"	"5"	"4"	"6"	"4"	"1"	"19"	"16"	"271"	""	"271"	""
"173"	"135"	"14"	"4"	"167"	"2"	"0"	"3"	"18"	"5"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"2"	"3"	"1"	"22"	"42"	"287"	""	"287"	""
"174"	"136"	"12"	"2"	"58"	"0"	"1"	"3"	"40"	"68"	"3"	"2"	"0"	"0"	"1"	"0"	"1"	"0"	"6"	"1"	"0"	"48"	"246"	""	"246"	""
"175"	"137"	"3"	"0"	"33"	"2"	"2"	"1"	"44"	"34"	"6"	"3"	"3"	"1"	"2"	"1"	"0"	"5"	"12"	"3"	"15"	"22"	"192"	""	"192"	""
"176"	"138"	"13"	"0"	"78"	"5"	"1"	"2"	"5"	"9"	"2"	"2"	"5"	"4"	"41"	"6"	"1"	"3"	"6"	"4"	"21"	"28"	"236"	""	"236"	""
"177"	"139"	"46"	"6"	"152"	"16"	"3"	"9"	"78"	"59"	"6"	"8"	"14"	"8"	"8"	"14"	"6"	"13"	"13"	"21"	"56"	"29"	"565"	""	"565"	""
"178"	"140"	"10"	"1"	"31"	"1"	"2"	"19"	"20"	"10"	"2"	"6"	"3"	"8"	"5"	"8"	"7"	"16"	"1"	"12"	"41"	"9"	"212"	""	"212"	""
"179"	"Total Round 10"	"463"	"49"	"2144"	"43"	"27"	"72"	"418"	"263"	"32"	"47"	"83"	"69"	"90"	"65"	"39"	"110"	"76"	"64"	"294"	"496"	"4944"	"0"	"4944"	"0"
"180"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"181"	""	"MD. AHMAR HASAN"	"MD. JIYAUDDI N"	"MANOJ KUMAR YADAV"	"SATRUG HAN RAM"	"IFTKHAR JILANI"	"RAJINDAR PRASAD YADAV"	"RAM CHANDRA YADAV"	"ABDUS SALAM"	"MD. AMANUD DIN"	"MD. ASRAF ALI"	"ASHA DEVI"	"KAMRUL HODA"	"BINDESH WAR MAHTO"	"RUDAL PURVEY"	"PRO. LAL BABU YADAV"	"MD. SAHABU DDIN"	"SHIV SHANKE R YADAV"	"SWETAM BER YADAV"	"SURYA NA. SINGH YADAV"	"HARI BHUSAN THAKUR"	""	""	""	""
"182"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"183"	"141"	"158"	"5"	"103"	"1"	"0"	"0"	"6"	"3"	"2"	"4"	"1"	"48"	"3"	"4"	"4"	"7"	"7"	"5"	"67"	"0"	"428"	""	"428"	""
"184"	"142"	"18"	"4"	"336"	"6"	"2"	"5"	"6"	"12"	"0"	"3"	"12"	"13"	"29"	"6"	"2"	"3"	"8"	"25"	"43"	"18"	"551"	""	"551"	""
"185"	"143"	"4"	"10"	"92"	"2"	"2"	"3"	"143"	"3"	"0"	"5"	"11"	"1"	"9"	"9"	"3"	"3"	"9"	"6"	"51"	"18"	"384"	""	"384"	""
"186"	"144"	"14"	"2"	"19"	"2"	"1"	"6"	"93"	"0"	"1"	"3"	"3"	"3"	"1"	"2"	"3"	"6"	"7"	"2"	"117"	"21"	"306"	""	"306"	""
"187"	"145"	"6"	"1"	"41"	"0"	"0"	"0"	"9"	"6"	"3"	"0"	"1"	"0"	"7"	"1"	"1"	"6"	"10"	"13"	"193"	"123"	"421"	""	"421"	""
"188"	"146"	"49"	"2"	"66"	"8"	"6"	"6"	"8"	"12"	"8"	"11"	"13"	"15"	"20"	"11"	"11"	"31"	"18"	"25"	"127"	"122"	"569"	""	"569"	""
"189"	"147"	"237"	"9"	"1"	"2"	"1"	"1"	"3"	"37"	"3"	"1"	"0"	"82"	"1"	"1"	"0"	"13"	"1"	"3"	"8"	"1"	"405"	""	"405"	""
"190"	"148"	"13"	"0"	"3"	"0"	"0"	"0"	"0"	"8"	"0"	"0"	"1"	"310"	"0"	"0"	"0"	"0"	"18"	"0"	"43"	"6"	"402"	""	"402"	""
"191"	"149"	"137"	"0"	"21"	"1"	"0"	"0"	"0"	"3"	"2"	"0"	"1"	"0"	"15"	"0"	"3"	"1"	"2"	"0"	"46"	"50"	"282"	""	"282"	""
"192"	"150"	"73"	"2"	"51"	"0"	"0"	"3"	"1"	"2"	"2"	"1"	"0"	"1"	"1"	"0"	"1"	"17"	"3"	"12"	"67"	"138"	"375"	""	"375"	""
"193"	"151"	"45"	"4"	"33"	"3"	"2"	"1"	"1"	"7"	"1"	"0"	"6"	"5"	"1"	"4"	"4"	"54"	"4"	"13"	"179"	"78"	"445"	""	"445"	""
"194"	"152"	"130"	"1"	"7"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"1"	"3"	"0"	"2"	"4"	"9"	"13"	"2"	"12"	"114"	"302"	""	"302"	""
"195"	"153"	"359"	"2"	"1"	"0"	"0"	"0"	"7"	"18"	"0"	"1"	"1"	"53"	"2"	"0"	"1"	"5"	"0"	"0"	"1"	"0"	"451"	""	"451"	""
"196"	"154"	"32"	"0"	"2"	"0"	"0"	"0"	"0"	"9"	"1"	"1"	"1"	"0"	"2"	"1"	"4"	"2"	"8"	"8"	"252"	"38"	"361"	""	"361"	""
"197"	"Total Round 11"	"1275"	"42"	"776"	"25"	"14"	"25"	"277"	"121"	"25"	"31"	"52"	"534"	"91"	"41"	"41"	"157"	"108"	"114"	"1206"	"727"	"5682"	"0"	"5682"	"0"
"198"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"199"	""	"MD. AHMAR HASAN"	"MD. JIYAUDDI N"	"MANOJ KUMAR YADAV"	"SATRUG HAN RAM"	"IFTKHAR JILANI"	"RAJINDAR PRASAD YADAV"	"RAM CHANDRA YADAV"	"ABDUS SALAM"	"MD. AMANUD DIN"	"MD. ASRAF ALI"	"ASHA DEVI"	"KAMRUL HODA"	"BINDESH WAR MAHTO"	"RUDAL PURVEY"	"PRO. LAL BABU YADAV"	"MD. SAHABU DDIN"	"SHIV SHANKE R YADAV"	"SWETAM BER YADAV"	"SURYA NA. SINGH YADAV"	"HARI BHUSAN THAKUR"	""	""	""	""
"200"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"201"	"155"	"71"	"2"	"46"	"1"	"1"	"2"	"1"	"17"	"1"	"2"	"2"	"1"	"5"	"2"	"1"	"6"	"7"	"2"	"86"	"104"	"360"	""	"360"	""
"202"	"156"	"42"	"0"	"14"	"3"	"0"	"6"	"3"	"6"	"1"	"2"	"3"	"2"	"5"	"8"	"0"	"4"	"10"	"4"	"153"	"28"	"294"	""	"294"	""
"203"	"157"	"29"	"1"	"2"	"0"	"0"	"0"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"8"	"2"	"65"	"195"	"308"	""	"308"	""
"204"	"158"	"93"	"3"	"23"	"3"	"1"	"1"	"4"	"5"	"4"	"0"	"3"	"1"	"2"	"11"	"2"	"10"	"7"	"1"	"53"	"104"	"331"	""	"331"	""
"205"	"159"	"19"	"3"	"20"	"6"	"1"	"3"	"16"	"3"	"0"	"0"	"3"	"6"	"7"	"14"	"8"	"29"	"5"	"6"	"148"	"95"	"392"	""	"392"	""
"206"	"160"	"119"	"1"	"0"	"1"	"2"	"1"	"0"	"0"	"1"	"1"	"4"	"5"	"1"	"0"	"0"	"4"	"2"	"0"	"121"	"4"	"267"	""	"267"	""
"207"	"161"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"607"	"0"	"615"	""	"615"	""
"208"	"162"	"16"	"4"	"3"	"0"	"1"	"0"	"50"	"2"	"0"	"2"	"1"	"0"	"1"	"1"	"0"	"0"	"24"	"7"	"273"	"86"	"471"	""	"471"	""
"209"	"163"	"45"	"0"	"23"	"0"	"1"	"20"	"5"	"1"	"0"	"2"	"6"	"1"	"1"	"3"	"2"	"6"	"8"	"18"	"520"	"4"	"666"	""	"666"	""
"210"	"164"	"19"	"2"	"47"	"0"	"1"	"2"	"4"	"4"	"1"	"3"	"7"	"2"	"6"	"6"	"3"	"7"	"5"	"15"	"207"	"26"	"367"	""	"367"	""
"211"	"165"	"155"	"7"	"34"	"1"	"0"	"2"	"7"	"6"	"3"	"5"	"12"	"5"	"4"	"20"	"5"	"25"	"9"	"4"	"135"	"15"	"454"	""	"454"	""
"212"	"166"	"21"	"1"	"18"	"3"	"1"	"4"	"6"	"1"	"2"	"3"	"0"	"3"	"3"	"23"	"1"	"12"	"6"	"14"	"165"	"32"	"319"	""	"319"	""
"213"	"167"	"25"	"0"	"29"	"0"	"0"	"0"	"2"	"2"	"0"	"0"	"0"	"2"	"1"	"0"	"2"	"2"	"3"	"0"	"14"	"689"	"771"	""	"771"	""
"214"	"168"	"30"	"0"	"41"	"0"	"1"	"4"	"4"	"2"	"0"	"3"	"5"	"2"	"5"	"6"	"3"	"1"	"10"	"10"	"359"	"24"	"510"	""	"510"	""
"215"	"Total Round 12"	"684"	"24"	"300"	"18"	"10"	"46"	"106"	"49"	"14"	"24"	"47"	"30"	"41"	"95"	"27"	"106"	"104"	"88"	"2906"	"1406"	"6125"	"0"	"6125"	"0"
"216"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"217"	""	"MD. AHMAR HASAN"	"MD. JIYAUDDI N"	"MANOJ KUMAR YADAV"	"SATRUG HAN RAM"	"IFTKHAR JILANI"	"RAJINDAR PRASAD YADAV"	"RAM CHANDRA YADAV"	"ABDUS SALAM"	"MD. AMANUD DIN"	"MD. ASRAF ALI"	"ASHA DEVI"	"KAMRUL HODA"	"BINDESH WAR MAHTO"	"RUDAL PURVEY"	"PRO. LAL BABU YADAV"	"MD. SAHABU DDIN"	"SHIV SHANKE R YADAV"	"SWETAM BER YADAV"	"SURYA NA. SINGH YADAV"	"HARI BHUSAN THAKUR"	""	""	""	""
"218"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"219"	"169"	"21"	"3"	"91"	"0"	"2"	"1"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"1"	"0"	"1"	"8"	"4"	"85"	"51"	"271"	""	"271"	""
"220"	"170"	"87"	"20"	"114"	"1"	"2"	"3"	"4"	"6"	"2"	"5"	"5"	"3"	"15"	"9"	"5"	"4"	"9"	"1"	"123"	"24"	"442"	""	"442"	""
"221"	"171"	"31"	"1"	"91"	"20"	"8"	"0"	"28"	"3"	"2"	"3"	"5"	"2"	"24"	"9"	"2"	"8"	"57"	"5"	"90"	"41"	"430"	""	"430"	""
"222"	"172"	"35"	"3"	"21"	"1"	"2"	"6"	"3"	"6"	"1"	"1"	"7"	"9"	"52"	"11"	"9"	"13"	"46"	"14"	"103"	"159"	"502"	""	"502"	""
"223"	"173"	"3"	"0"	"5"	"0"	"0"	"0"	"2"	"2"	"1"	"4"	"2"	"2"	"0"	"0"	"0"	"3"	"273"	"2"	"94"	"10"	"403"	""	"403"	""
"224"	"174"	"25"	"3"	"306"	"2"	"0"	"1"	"2"	"27"	"1"	"3"	"0"	"1"	"3"	"7"	"0"	"4"	"62"	"3"	"30"	"10"	"490"	""	"490"	""
"225"	"175"	"48"	"4"	"240"	"8"	"2"	"3"	"11"	"7"	"3"	"9"	"3"	"19"	"5"	"14"	"6"	"12"	"7"	"2"	"37"	"71"	"511"	""	"511"	""
"226"	"176"	"43"	"7"	"158"	"10"	"1"	"3"	"41"	"7"	"3"	"3"	"13"	"8"	"9"	"24"	"7"	"33"	"15"	"9"	"85"	"22"	"501"	""	"501"	""
"227"	"177"	"101"	"15"	"59"	"14"	"7"	"7"	"7"	"9"	"6"	"9"	"8"	"3"	"7"	"18"	"23"	"49"	"22"	"18"	"212"	"182"	"776"	""	"776"	""
"228"	"178"	"109"	"13"	"48"	"21"	"2"	"9"	"37"	"20"	"5"	"11"	"12"	"8"	"72"	"19"	"7"	"32"	"18"	"13"	"84"	"50"	"590"	""	"590"	""
"229"	"179"	"35"	"0"	"41"	"14"	"0"	"4"	"3"	"5"	"0"	"0"	"1"	"1"	"1"	"9"	"3"	"5"	"5"	"4"	"61"	"107"	"299"	""	"299"	""
"230"	"180"	"66"	"7"	"28"	"1"	"0"	"3"	"2"	"3"	"0"	"0"	"8"	"1"	"1"	"7"	"4"	"46"	"3"	"2"	"33"	"6"	"221"	""	"221"	""
"231"	"181"	"73"	"7"	"58"	"5"	"0"	"3"	"3"	"18"	"6"	"0"	"3"	"3"	"8"	"10"	"9"	"42"	"27"	"8"	"124"	"20"	"427"	""	"427"	""
"232"	"182"	"28"	"3"	"137"	"4"	"8"	"1"	"3"	"18"	"6"	"4"	"3"	"5"	"4"	"9"	"2"	"9"	"7"	"15"	"226"	"52"	"544"	""	"544"	""
"233"	"Total Round 13"	"705"	"86"	"1397"	"101"	"34"	"44"	"146"	"131"	"36"	"55"	"70"	"65"	"201"	"147"	"77"	"261"	"559"	"100"	"1387"	"805"	"6407"	"0"	"6407"	"0"
"234"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"235"	""	"MD. AHMAR HASAN"	"MD. JIYAUDDI N"	"MANOJ KUMAR YADAV"	"SATRUG HAN RAM"	"IFTKHAR JILANI"	"RAJINDAR PRASAD YADAV"	"RAM CHANDRA YADAV"	"ABDUS SALAM"	"MD. AMANUD DIN"	"MD. ASRAF ALI"	"ASHA DEVI"	"KAMRUL HODA"	"BINDESH WAR MAHTO"	"RUDAL PURVEY"	"PRO. LAL BABU YADAV"	"MD. SAHABU DDIN"	"SHIV SHANKE R YADAV"	"SWETAM BER YADAV"	"SURYA NA. SINGH YADAV"	"HARI BHUSAN THAKUR"	""	""	""	""
"236"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"237"	"183"	"64"	"8"	"32"	"3"	"11"	"0"	"6"	"3"	"2"	"3"	"8"	"14"	"4"	"19"	"12"	"20"	"6"	"3"	"168"	"36"	"422"	""	"422"	""
"238"	"184"	"48"	"3"	"166"	"2"	"1"	"2"	"1"	"2"	"0"	"1"	"1"	"0"	"1"	"7"	"0"	"7"	"4"	"1"	"91"	"49"	"387"	""	"387"	""
"239"	"185"	"508"	"9"	"34"	"0"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"10"	"0"	"1"	"1"	"1"	"2"	"1"	"21"	"15"	"607"	""	"607"	""
"240"	"186"	"49"	"3"	"218"	"9"	"4"	"2"	"1"	"2"	"4"	"2"	"3"	"6"	"3"	"15"	"1"	"5"	"3"	"1"	"5"	"5"	"341"	""	"341"	""
